Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Wonderfully entertaining.,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.Like so many Indian films, this is a very, very long film--with a run-time of almost three hours. When a movie is bad or just okay, this can seem like forever, but since ""3 Idiots"" is a very, very good film I loved its length. And, like most films of the genre, it has its share of the usual singing and dancing so foreign to films from other countries. One thing you should know, however, is that defining the type of film it is isn't really easy. Much of it is a comedy, but it also has many poignant moments (keep the Kleenex nearby), some existential moments where they explore the meaning of life and work and it's also a tender film about friendship. And, as my daughter pointed out when she saw the film, she loved that the men in the movie are not afraid to cry--something you rarely see in western films.As for the plot, it's very long and involved and I could recount what occurs. But I don't want to spoil a single wonderful moment, so my advice is just sit back and watch--and if you give it a chance, I can almost guarantee you'll have a great time with this poignant and funny film. Wonderful and well worth your time--with a delightful script, wonderful characters and lots of moments that made me smile...and a few that brought me to tears. See this film.",wonderfully entertaining,its hard me review this film as i have not seen huge number indian films probably no more than couple dozen most ones ive seen were wonderfully entertaining but i am far expert bollywood because this i have hard time knowing how good this film is relative other films this country so consider this when you read this review this may be among very best india has offer or it just seems that way me like so many indian films this is very very long film with run time almost three hours when movie is bad or just okay this can seem like forever but since 3 idiots is very very good film i loved its length like most films genre it has its share usual singing dancing so foreign films other countries one thing you should know however is that defining type film it is isnt really easy much it is comedy but it also has many poignant moments keep kleenex nearby some existential moments where they explore meaning life work its also tender film about friendship as my daughter pointed out when she saw film she loved that men movie are not afraid cry something you rarely see western films as plot its very long involved i could recount what occurs but i dont want spoil single wonderful moment so my advice is just sit back watch if you give it chance i can almost guarantee youll have great time with this poignant funny film wonderful well worth your time with delightful script wonderful characters lots moments that made me smile few that brought me tears see this film,0.5564231601731603,0.26212662337662346,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.17, 'Fear': 0.42}"
9,Wow this American loves this movie,"I asked my co-workers to recommend a Bollywood movie. I expected ""Dumb and Dumber"" by the title. It wasn't that at all. It is more of an inspirational comedy with some serious but good messages. A more accurate title would have been ""The Legend of Rancho"".Odd to me is that they speak in part English, part Hindi through the movie, kinda like some speak ""Spanglish"" here I suppose. I know none of the actors but the acting was good, and there was plenty of humor. The characters were believable. Most movie dancing I find a little silly but I even liked the dancing routines in the bathroom.I will be asking my co-workers for more recommendations after this one!",wow this american loves this movie,i asked my co workers recommend bollywood movie i expected dumb dumber by title it wasnt that at all it is more inspirational comedy with some serious but good messages more accurate title would have been legend rancho odd me is that they speak part english part hindi through movie kinda like some speak spanglish here i suppose i know none actors but acting was good there was plenty humor characters were believable most movie dancing i find little silly but i even liked dancing routines bathroom i will be asking my co workers more recommendations after this one,0.5162500000000001,0.191875,Positive,"{'Happy': 0.28, 'Angry': 0.0, 'Surprise': 0.06, 'Sad': 0.0, 'Fear': 0.67}"
10,Finally a masterpiece from Bollywood. Aamir Khan is the best thing to happen to Bollywood.,"Awesome film man. Saw this with my family in a theatre. Worth every penny n worth every minute. Never seen such an amazing film from Bollywood. What is so great about the movie is that it moves you, it gives you hope. It is a simple film, yet it has an everlasting message. The last 30 mins were beautifully shot. Very good direction by Hirani. The star cast is good n Aamir khan steals the show. The editing is top notch. U don't feel bore for even a sec. Awesome screenplay. It's hands down the best film in the history of Bollywood.",finally masterpiece bollywood aamir khan is best thing happen bollywood,awesome film man saw this with my family theatre worth every penny n worth every minute never seen such amazing film bollywood what is so great about movie is that it moves you it gives you hope it is simple film yet it has everlasting message last 30 mins were beautifully shot very good direction by hirani star cast is good n aamir khan steals show editing is top notch u dont feel bore even sec awesome screenplay its hands down best film history bollywood,0.5634832451499119,0.48358024691358026,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.48, 'Sad': 0.05, 'Fear': 0.33}"
7,One of the better Bollywood movies I saw,"Because the movie had such a high rating on IMDb I was intrigued. Bollywood movies are not particularly on the top of my list I must admit. But I gave it a shot and I'm glad I did. It only has two scenes where they start singing and dancing so that was not too much. Why they start singing and dancing that I will never get. The story does not need that at all. The story itself was very pleasant to follow. Full of mixed emotions, happy ones and sad ones. The cast and the filming was great. All actors gave a good performance throughout the whole movie. Like in most American television series they want to give you a lesson in life and most of the time it makes me want to barf but in this Bollywood movie it works perfectly well. I had fun watching this and I get why I am not the only one. Certainly worth a watch.",one better bollywood movies i saw,because movie had such high rating imdb i was intrigued bollywood movies are not particularly top my list i must admit but i gave it shot im glad i did it only has two scenes where they start singing dancing so that was not too much why they start singing dancing that i will never get story does not need that at all story itself was very pleasant follow full mixed emotions happy ones sad ones cast filming was great all actors gave good performance throughout whole movie like most american television series they want give you lesson life most time it makes me want barf but this bollywood movie it works perfectly well i had fun watching this i get why i am not only one certainly worth watch,0.5949999999999999,0.3187878787878788,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.46}"
10,THE BEST OF BOLLYWOOD; please sing along....,"When I was 13, I had my first movie-love; There was nothing that compared to this movie; Nobody could eva stop me watchn this cult; It had me goin crazy, oh I was star-struck!Watched every weekend, didn't need no other work; Made me laugh made me cry made me become what I am today; Inspired me, motivated me to achieve success every day;I was choking in the crowd, it made me roar aloud; I was nowhere in my career, it made me a flourisher; I used to be havin a bad time, it took me to cloud nine; I was in pieces, it fixed me; It made me a it made me a believer, believer.I was in pieces, it fixed me.It gave me another chance, I grew up once again Na na na.... Na na na.... Na na na.... Na na nana na....",best bollywood please sing along,when i was 13 i had my first movie love there was nothing that compared this movie nobody could eva stop me watchn this cult it had me goin crazy oh i was star struck watched every weekend didnt need no other work made me laugh made me cry made me become what i am today inspired me motivated me achieve success every day i was choking crowd it made me roar aloud i was nowhere my career it made me flourisher i used be havin bad time it took me cloud nine i was pieces it fixed me it made me it made me believer believer i was pieces it fixed me it gave me another chance i grew up once again na na na na na na na na na na na nana na,0.36750000000000005,0.13125000000000003,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.21, 'Sad': 0.46, 'Fear': 0.17}"
9,Hat-Trick Heroes x 3...,"Like Dead Poets Society but with Robin Williams as a student and some extra tonic and spice thrown in for good measure. Serious, sad and silly, often concurrently but overwhelmingly very, very funny and engaging, as engineering students at an Indian college end up teaching as much as they learn. Who could disagree with the distinction between education and learning while recognising the often sizable gulf that exists between the two after watching this. Who would dissuade those with aspiration and passion from pursuing their dreams and goals. Weighing in not too shy of three hours you'll be shocked how quickly the time flies as your attention is vacuumed up and your view of the world turned on its head, or inverted, depending what you've learned.",hat trick heroes x 3,like dead poets society but with robin williams as student some extra tonic spice thrown good measure serious sad silly often concurrently but overwhelmingly very very funny engaging as engineering students at indian college end up teaching as much as they learn who could disagree with distinction between education learning while recognising often sizable gulf that exists between two after watching this who would dissuade those with aspiration passion pursuing their dreams goals weighing not too shy three hours youll be shocked how quickly time flies as your attention is vacuumed up your view world turned its head or inverted depending what youve learned,0.6118055555555556,-0.06458333333333333,Negative,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.24, 'Fear': 0.35}"
10,"Scarcely has a comedy provided its audience with so much insight, intelligence, and human affection","""All is well,"" the three ""idiot"" heroes of 3 Idiots recite when they become frazzled or nervous, while frantically tapping their hearts. They know that reciting the oversimplifying phrase will not provide their problems with a solution, or even a catalyst, but it gives them the onset courage they desperately need at a time of uncertainty and despair. One character even tries to use the line after an amateurishly-given birth may have gone terribly wrong. It's times like that when the saying may not be so effective, even if its goal is not to provide certain relief.But all is well, as they so often say. Rajkumar Hirani's 3 Idiots, my introduction to the world of Bollywood cinema, is a comedy-drama unlike any one I've ever seen, long, but never drawn out, frantic, but never desperate, and emotional, but never manipulating. It provides us with three of the most likable characters of the last decade, and with insight to the culture of Indians and their parents. Rarely has a comedy had this big of a brain in its head and a canvas of opportunities in mind, while possessing a title not even fit for a farce.Our title characters are ambitious but stunted Farhan Qureshi (R. Madhavan), jittery, fearful Raju Rastogi (Sharman Joshi), and borderline prodigy Ranchhoddas ""Rancho"" Shamaldas Chhanchad (Aamir Khan), three close friends who attend the Imperial College of Engineering (ICE), one of India's most prestigious colleges where only the best are accepted. The young boys already are facing some of life's greatest challenges, all of them pursuing the field of engineering when the only one who seems to have a passion for the material is Rancho. Farhan was forced to become skilled in the field because of his strict father, and Raju is pursuing the field with the goal of getting his family out of poverty, with his father's expensive health bills, his mother's fragile core, and his sister's inability to marry all on the table. Rancho is studying because he feels that one should pursue passion and make a career out of it, so it doesn't feel like work. If you're passionate and devoted to your work, success will find you - yet this is only one of the countless morals and insights 3 Idiots provide its viewer with.The film chronicles their issues in college in flashback, with instances in the presence popping up to show Farhan and Raju searching for their pal Rancho, who has disappeared and avoided contact for several years now. This is not your typical flashback film, however. It uses this method much to its advantage, and doesn't feel like a narrative within a narrative. It seals both stories nicely, but it takes the viewer on a roller-coaster ride of emotions through carefully constructed events before it even arrives at those endings.One of their problems in college is the professor/dean of the campus, Viru Sahastrabuddhe (Boman Irani), who the three derogatorily call ""Virus"" when his back is turned. Virus is strict and often largely unsympathetic to the problems of his students, which allows the film to explore a dark topic one assumes a comedy wouldn't dare cross paths with and that is the issue of Indian teen suicide. One kid had his father have a stroke, rendering him unable to focus on academics for months, falling gravely behind. Virus is grossly unsympathetic to his case, denying him an extension on a project he's work so unrealistically hard on but can not perfect.If anything, we can say 3 Idiots is a message to the parents of the Indian youth and that is to stop applying pressure to an already stressed out demographic. I've read several articles articulating the point that Indian teenagers are among one of the highest in suicide rates, and that many parents put an unrealistic amount of pressure, duty, and responsibility on the child to the point of a physical and mental collapse. You're given the unalienable freedom to raise your kids with the method you choose, but not every method is perfect, and when your method is one of the ones that leads to suicide, mental health problems, and perpetuates fear and anxiety in the minds of teenagers, then you may want to reevaluate your methods.3 Idiots also provides us with the idea that many Indian children are told what to become in life early and are discouraged from exploration or even personal ambition. This I can't believe. What an unhappy, uninspiring, completely wasted life to slog through everyday doing something you loathe all because it was the lucky career choice of your parents. Yet I'm sure millions have been lead through this same life. It's the worst way of ""living through a person"" that I can imagine.The film runs ten minutes shy of three hours, which for few viewers may seem too long and uncomfortable. I was skeptical myself walking in rather blind. Almost every Bollywood film I've conducted research on seems to run an upwards of three hours, some extending and testing the waters to roughly five hours. If other Bollywood works have characters drawn along the same lines of being relatable, human, and easily accessible and not biased towards race or social class, I can't see it being a struggle to get through any of the industry's films.Through every quick-witted song and dance number, through every comedic scene, through every instance of dramatic despair, emotionally alive moment, solemnly poignant sequence, suspenseful setup, to a lovely, heartfelt conclusion, 3 Idiots is a wonderful, invaluable endeavor in the world of film. Its actors are beautifully fitting for their roles, assisted by a script so human and true to life that it is honestly hard to believe, and captured through beautifully alive cinematography to collectively give us a beautiful package not just in the figurative sense. This is arguably one of the best comedies I've ever seen.",scarcely has comedy provided its audience with so much insight intelligence human affection,all is well three idiot heroes 3 idiots recite when they become frazzled or nervous while frantically tapping their hearts they know that reciting oversimplifying phrase will not provide their problems with solution or even catalyst but it gives them onset courage they desperately need at time uncertainty despair one character even tries use line after amateurishly given birth may have gone terribly wrong its times like that when saying may not be so effective even if its goal is not provide certain relief but all is well as they so often say rajkumar hiranis 3 idiots my introduction world bollywood cinema is comedy drama unlike any one ive ever seen long but never drawn out frantic but never desperate emotional but never manipulating it provides us with three most likable characters last decade with insight culture indians their parents rarely has comedy had this big brain its head canvas opportunities mind while possessing title not even fit farce our title characters are ambitious but stunted farhan qureshi r madhavan jittery fearful raju rastogi sharman joshi borderline prodigy ranchhoddas rancho shamaldas chhanchad aamir khan three close friends who attend imperial college engineering ice one indias most prestigious colleges where only best are accepted young boys already are facing some lifes greatest challenges all them pursuing field engineering when only one who seems have passion material is rancho farhan was forced become skilled field because his strict father raju is pursuing field with goal getting his family out poverty with his fathers expensive health bills his mothers fragile core his sisters inability marry all table rancho is studying because he feels that one should pursue passion make career out it so it doesnt feel like work if youre passionate devoted your work success will find you yet this is only one countless morals insights 3 idiots provide its viewer with film chronicles their issues college flashback with instances presence popping up show farhan raju searching their pal rancho who has disappeared avoided contact several years now this is not your typical flashback film however it uses this method much its advantage doesnt feel like narrative within narrative it seals both stories nicely but it takes viewer roller coaster ride emotions through carefully constructed events before it even arrives at those endings one their problems college is professor dean campus viru sahastrabuddhe boman irani who three derogatorily call virus when his back is turned virus is strict often largely unsympathetic problems his students which allows film explore dark topic one assumes comedy wouldnt dare cross paths with that is issue indian teen suicide one kid had his father have stroke rendering him unable focus academics months falling gravely behind virus is grossly unsympathetic his case denying him extension project hes work so unrealistically hard but can not perfect if anything we can say 3 idiots is message parents indian youth that is stop applying pressure already stressed out demographic ive read several articles articulating point that indian teenagers are among one highest suicide rates that many parents put unrealistic amount pressure duty responsibility child point physical mental collapse youre given unalienable freedom raise your kids with method you choose but not every method is perfect when your method is one ones that leads suicide mental health problems perpetuates fear anxiety minds teenagers then you may want reevaluate your methods 3 idiots also provides us with idea that many indian children are told what become life early are discouraged exploration or even personal ambition this i cant believe what unhappy uninspiring completely wasted life slog through everyday doing something you loathe all because it was lucky career choice your parents yet im sure millions have been lead through this same life its worst way living through person that i can imagine film runs ten minutes shy three hours which few viewers may seem too long uncomfortable i was skeptical myself walking rather blind almost every bollywood film ive conducted research seems run upwards three hours some extending testing waters roughly five hours if other bollywood works have characters drawn along same lines being relatable human easily accessible not biased towards race or social class i cant see it being struggle get through any industrys films through every quick witted song dance number through every comedic scene through every instance dramatic despair emotionally alive moment solemnly poignant sequence suspenseful setup lovely heartfelt conclusion 3 idiots is wonderful invaluable endeavor world film its actors are beautifully fitting their roles assisted by script so human true life that it is honestly hard believe captured through beautifully alive cinematography collectively give us beautiful package not just figurative sense this is arguably one best comedies ive ever seen,0.5366179475090365,-0.01638378123526638,Negative,"{'Happy': 0.09, 'Angry': 0.07, 'Surprise': 0.15, 'Sad': 0.18, 'Fear': 0.51}"
9,"Aal izz very, very, very, very, very Well","""Whatever the problem in life is... just say to yourself 'Aal Izz Well'.. This wont solve your problems but it will give the courage to face it.."" ""Chase Excellence and success will follow"".. "" Life is not about getting marks, grades but chasing your dreams"".. These are the golden rules which 3 IDIOTS teaches you in a very light and entertaining way.. The movie makes you laugh and in the process you learn many golden rules which can alter your life in a big manner...3 actors from the path-breaking blockbuster RANG DE BASANTI( Aamir, Sharman, Madhvan) team up together with Rajkumar Hirani.. It couldn't get bigger! Loosely based on blockbuster novel ' Five Point Someone ' by Chetan Bhagat the movie deals with the present education system in India that whether getting more marks and better grades is better than gaining knowledge and is mugging up everything more useful than understanding it..The movie has many hilarious scenes and everyone in the film form Aamir to Boman Irani to Omi Vaidya were superb in their roles.. Aamir has outdone himself.. Never in the film he has looked 44 year old... Film's music sounds mediocre but when viewed on the screen then the music sounds perfect.. Cinematography is awesome and so is the direction.. Raju Hirani's screenplay(you can easily ignore a few loose points) is a masterpiece and the film will achieve cult status for engineering students in a short period of time.. It has the soul which Five Point Someone had.. It is easily Aamir Khan's finest film to date.. The film's climax is fantabulous and is a shocker.. It takes everyone by surprise...To conclude 3 IDIOTS has the potential to break all records and sweep all awards.. Watch it... You will Love it...My Rating: 9/10Thanks and Regards",aal izz very very very very very well,whatever problem life is just say yourself aal izz well this wont solve your problems but it will give courage face it chase excellence success will follow life is not about getting marks grades but chasing your dreams these are golden rules which 3 idiots teaches you very light entertaining way movie makes you laugh process you learn many golden rules which can alter your life big manner 3 actors path breaking blockbuster rang de basanti aamir sharman madhvan team up together with rajkumar hirani it couldnt get bigger loosely based blockbuster novel five point someone by chetan bhagat movie deals with present education system india that whether getting more marks better grades is better than gaining knowledge is mugging up everything more useful than understanding it movie has many hilarious scenes everyone film form aamir boman irani omi vaidya were superb their roles aamir has outdone himself never film he has looked 44 year old films music sounds mediocre but when viewed screen then music sounds perfect cinematography is awesome so is direction raju hiranis screenplay you can easily ignore few loose points is masterpiece film will achieve cult status engineering students short period time it has soul which five point someone had it is easily aamir khans finest film date films climax is fantabulous is shocker it takes everyone by surprise conclude 3 idiots has potential break all records sweep all awards watch it you will love it my rating 9 10thanks regards,0.5365190365190367,0.25129759129759127,Positive,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.34, 'Sad': 0.16, 'Fear': 0.36}"
10,Missed this gem for 12 years - Thanks to my wife,"Thought provoking movie, it shows how Indian Parents force their children's. In every aspects (what to study, what to wear, where to work, so & so.Really if i had seen this movie before 12 years, my life would have been different.Must seeeee!!!!!!",missed this gem 12 years thanks my wife,thought provoking movie it shows how indian parents force their childrens every aspects what study what wear where work so so really if i had seen this movie before 12 years my life would have been different must seeeee,0.3333333333333333,0.13333333333333333,Positive,"{'Happy': 0.0, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.56}"
10,If this had come from Hollywood and not Bollywood it might have cleaned up at the Oscars.,"The title may conjur up images of the 3 Stooges and the crude humour of the opening might suggest a Hindi ""Porky's"" but with a running time of almost three hours ""3 Idiots"" clearly has its mind on higher things. It's a Bollywood buddy-movie devised as an epic and determined to outdo all the competition and being a Bollywood movie is full of large-scale musical numbers as well as a lot of very broad and very funny comedy.The 3 idiots of the title meet as engineering students, become life-long friends but are separated by that old fickle finger of fate. It's also bold enough to deal with such issues as suicide and poverty and, of course, the caste system and is lifted onto an altogether higher plain by a terrific performance from Aamir Khan as 'the idiot' the other two worship and who, naturally, isn't an idiot at all but the sharpest tool in the box and he's brilliantly supported by Sharman Joshi as his potentially suicidal friend and Omi Vaidya as his number one rival. Brilliantly directed by Rajkumar Hirani this is the kind of film Hollywood could learn a lot from and which, had it been a Hollywood film, might well have swept the boards come Oscar time.",if this had come hollywood not bollywood it might have cleaned up at oscars,title may conjur up images 3 stooges crude humour opening might suggest hindi porkys but with running time almost three hours 3 idiots clearly has its mind higher things its bollywood buddy movie devised as epic determined outdo all competition being bollywood movie is full large scale musical numbers as well as lot very broad very funny comedy 3 idiots title meet as engineering students become life long friends but are separated by that old fickle finger fate its also bold enough deal with such issues as suicide poverty course caste system is lifted onto altogether higher plain by terrific performance aamir khan as idiot other two worship who naturally isnt idiot at all but sharpest tool box hes brilliantly supported by sharman joshi as his potentially suicidal friend omi vaidya as his number one rival brilliantly directed by rajkumar hirani this is kind film hollywood could learn lot which had it been hollywood film might well have swept boards come oscar time,0.6172949735449736,0.011651234567901247,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.15, 'Sad': 0.18, 'Fear': 0.47}"
