Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2.0,High Noon at Mega Suck-fest,"First off, this is a kids movie so certain allowances should be made for its rubbishness. But I expect that the majority of 7 year olds would find High Noon an unrewarding and painful experience.The film concerns a group of extremely unscary baddies who decide that world domination can be best achieved by hijacking an amusement park. Two things prevent the villains from carrying out their evil plan. Firstly, the bad guys find themselves easily defeated at every turn by three children and Hulk Hogan. Secondly, those aforementioned bad guys are morons.The three children are, of course, the 3 Ninjas. They defeat fully grown men in martial art combat at every turn. Particularly remarkable, since one of the kids appears to be about four years old. Of especial note is the second youngest as he sports a haircut that is so abysmally misguided it makes Billy Ray Cyrus's mullet look tasteful. It is a bowl-cut/pony-tail combo; two haircuts from hell all on one head - it is truly horrendous and should really not be seen by younger viewers.An interesting aspect of the movie is that despite the fact that the fairground has been hijacked, no one seems to have informed the extras. They carry on enjoying the rides as if nothing has happened. As I said earlier, the bad guys are essentially idiots, so its just possible that they have not got their heads round the technicalities of hijacking. But, at the end of the day, it doesn't matter as the film is not exactly convincing in a general sense.Do I recommend it? Not really but it is an ideal birthday present for a child you dislike.",high noon at mega suck fest,first off this is kids movie so certain allowances should be made its rubbishness but i expect that majority 7 year olds would find high noon unrewarding painful experience film concerns group extremely unscary baddies who decide that world domination can be best achieved by hijacking amusement park two things prevent villains carrying out their evil plan firstly bad guys find themselves easily defeated at every turn by three children hulk hogan secondly those aforementioned bad guys are morons three children are course 3 ninjas they defeat fully grown men martial art combat at every turn particularly remarkable since one kids appears be about four years old especial note is second youngest as he sports haircut that is so abysmally misguided it makes billy ray cyruss mullet look tasteful it is bowl cut pony tail combo two haircuts hell all one head it is truly horrendous should really not be seen by younger viewers interesting aspect movie is that despite fact that fairground has been hijacked no one seems have informed extras they carry enjoying rides as if nothing has happened as i said earlier bad guys are essentially idiots so its just possible that they have not got their heads round technicalities hijacking but at end day it doesnt matter as film is not exactly convincing general sense do i recommend it not really but it is ideal birthday present child you dislike,0.520877976190476,-0.03616815476190473,Negative,"{'Happy': 0.19, 'Angry': 0.03, 'Surprise': 0.27, 'Sad': 0.24, 'Fear': 0.27}"
10.0,Epic,"Every once in a while a film comes along that makes you glad to be alive. Cinema is a beautiful art form, and no cinema is more gorgeous than 3 Ninjas: High Noon at Mega Mountain. Epic on a grand scale, the cinematic majesty on display would make Kurosawa's corpse reanimate just so it could kill itself in shame at never meeting the grandeur of vision presented herein. I saw this movie and broke down in tears, as I knew my eyes had witnessed the most beautiful sight since Stallone and Carl Weathers flirting with each other on the beach in one of the Rocky films. You'll laugh, you'll cry, you'll curse yourself for thinking that the greatness of the previous 3 Ninjas movies could ever be topped.Bravo. Bravo.",epic,every once while film comes along that makes you glad be alive cinema is beautiful art form no cinema is more gorgeous than 3 ninjas high noon at mega mountain epic grand scale cinematic majesty display would make kurosawas corpse reanimate just so it could kill itself shame at never meeting grandeur vision presented herein i saw this movie broke down tears as i knew my eyes had witnessed most beautiful sight since stallone carl weathers flirting with each other beach one rocky films youll laugh youll cry youll curse yourself thinking that greatness previous 3 ninjas movies could ever be topped bravo bravo,0.5481597222222222,0.2945486111111111,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.48, 'Sad': 0.19, 'Fear': 0.1}"
10.0,Wonderful Flick,"This movie was a real treat. I say ""treat"" in the sense that it was one of the worst movies I've ever seen, hence I love it. The plot is ridiculous & other posters have done a good job at pointing out the shortcomings so I'll keep this brief. As someone alluded to previously & after a secondary viewing last night re-enforced, it is quite comical how the ""terrorists"" go through extreme measures to get into the park (ie; having a ship offshore, jet skis, scuba diving, underwater lasers etc,) when they could just pay the nominal fee to gain access to the park! That was great. Hulk Hogan as always, is a crowd pleaser. I like at the end when he knocks off the tops of the underwater breathing apparatuses with a single blow & they masquerade as oxygen diffusing projectiles! Jim Varney obviously was funny in his role as the antagonist, no doubt ashamed to be cast in such a lousy movie. And the three ""ninjas""? Don't even get me started. So cheesy with the Ayais! over & over. Terrible actors, but it all adds to the ambiance of a wonderful film, albeit low budget & misconstrued, unintentional comedy. Would highly recommend, & it goes without saying that a solid buzz while embarking on such a journey will no doubt add to the enjoyment derived from this little gem. Cheers!",wonderful flick,this movie was real treat i say treat sense that it was one worst movies ive ever seen hence i love it plot is ridiculous other posters have done good job at pointing out shortcomings so ill keep this brief as someone alluded previously after secondary viewing last night re enforced it is quite comical how terrorists go through extreme measures get into park ie having ship offshore jet skis scuba diving underwater lasers etc when they could just pay nominal fee gain access park that was great hulk hogan as always is crowd pleaser i like at end when he knocks off tops underwater breathing apparatuses with single blow they masquerade as oxygen diffusing projectiles jim varney obviously was funny his role as antagonist no doubt ashamed be cast such lousy movie three ninjas dont even get me started so cheesy with ayais over over terrible actors but it all adds ambiance wonderful film albeit low budget misconstrued unintentional comedy would highly recommend it goes without saying that solid buzz while embarking such journey will no doubt add enjoyment derived this little gem cheers,0.6123554421768709,0.01075255102040817,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.32, 'Sad': 0.18, 'Fear': 0.37}"
10.0,My kids LOVED this movie when they were little!,"My boys love Hulk Hogan so when they first saw this corny movie years ago, they loved it! We had it on VCR & they played it to death. It's very silly & corny but just right for kids. We found it on Netflix recently & what fun it has been to watch it again! My oldest son is having a blast sharing this movie with his girlfriend. It's been fun watching him laugh at it all over again. (BTW, my sons are currently 21 & 17...lol) Even though it doesn't have all the same boys in it as the previous 3 Ninja movies do, you don't need to have seen them to watch this one. In fact, we actually saw this one first, then the others. My sons still like this one best.",my kids loved this movie when they were little,my boys love hulk hogan so when they first saw this corny movie years ago they loved it we had it vcr they played it death its very silly corny but just right kids we found it netflix recently what fun it has been watch it again my oldest son is having blast sharing this movie with his girlfriend its been fun watching him laugh at it all over again btw my sons are currently 21 17 lol even though it doesnt have all same boys it as previous 3 ninja movies do you dont need have seen them watch this one fact we actually saw this one first then others my sons still like this one best,0.41435574229691874,0.25773809523809527,Positive,"{'Happy': 0.37, 'Angry': 0.0, 'Surprise': 0.37, 'Sad': 0.05, 'Fear': 0.21}"
9.0,great movie!,"I'm not a child, but I still enjoyed this movie. I enjoyed the first three, although in the second movie (kicks back) the youngest kid barely fought at all. I enjoyed this movie because all the kids have action. They all have black belts so the action is really good. It's a great movie. I liked it. This movie is great entertainment for children. This is also a good movie to watch if you are bored or there's nothing good on. I enjoyed this movie a lot. I've seen all the 3 ninjas movies and enjoyed them all. This is also a good action film for children. They would probably enjoy it as much as I did. Victor Wong acted really well returning as grandpa mori. The rest of the cast is good also, and the movie as a good storyline.",great movie,im not child but i still enjoyed this movie i enjoyed first three although second movie kicks back youngest kid barely fought at all i enjoyed this movie because all kids have action they all have black belts so action is really good its great movie i liked it this movie is great entertainment children this is also good movie watch if you are bored or theres nothing good i enjoyed this movie lot ive seen all 3 ninjas movies enjoyed them all this is also good action film children they would probably enjoy it as much as i did victor wong acted really well returning as grandpa mori rest cast is good also movie as good storyline,0.489506172839506,0.3864197530864196,Positive,"{'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.1, 'Fear': 0.17}"
,CRRRRRRRRRAP!!!!!!!!,"1992's ""3 Ninjas"" was a really cool movie, back in 2nd grade! I felt that it would of been best to leave it alone. But, like all money hungry executives do, they have to go and make 3 lame sequels that overexpose what made the first one successful: fighting. And I don't know what the hell the filmakers were doing while shooting these movies and casting the stars? I guess they filmed the third one right after the first and intended for that to be the second one, since the kids in it are the same as the kids in the first! (still with me?) But overall, this is the worst of the four. Was it supposed to be a prequel or something, 'cause all three kids look about 5 years younger than in the previous movies. And even if it was a prequel, the filmakers obviously didn't realize the kids don't get their names until later. Please don't rent this movie to enjoy it with your kids or yourself. Rent it to make fun of it with a friend or sibling, but beware, it might bore you or cheese you to death before you finish it!!Note: A black belt doesn't screech out a high-pitched ""HI-YA"" when doing something like throwing an egg at a bad guy or cutting a rope that releases an anvil or something of that sort that black-belts don't do.",crrrrrrrrrap,1992s 3 ninjas was really cool movie back 2nd grade i felt that it would been best leave it alone but like all money hungry executives do they have go make 3 lame sequels that overexpose what made first one successful fighting i dont know what hell filmakers were doing while shooting these movies casting stars i guess they filmed third one right after first intended that be second one since kids it are same as kids first still with me but overall this is worst four was it supposed be prequel or something cause all three kids look about 5 years younger than previous movies even if it was prequel filmakers obviously didnt realize kids dont get their names until later please dont rent this movie enjoy it with your kids or yourself rent it make fun it with friend or sibling but beware it might bore you or cheese you death before you finish it note black belt doesnt screech out high pitched hi ya when doing something like throwing egg at bad guy or cutting rope that releases anvil or something that sort that black belts dont do,0.3711813186813187,0.026758241758241777,Positive,"{'Happy': 0.27, 'Angry': 0.03, 'Surprise': 0.18, 'Sad': 0.33, 'Fear': 0.18}"
10.0,Awesome,Hasn't anyone ever dreamed of being a ninja as a child? I watched this movie years ago and would have told you then that the 3 ninjas movies were the absolute best movies ever made. Looking at this movie from an adults perspective defeats the propose of this being a Children's MOVIE. From a child's perspective this movie is one of the best martial arts movies ever made. Think back to when you were a kid. Wouldn't you love to see a movie where kids your age can take on fully grown men and win? This movie was a favorite of mine growing up and I would still sit down and watch all of the 3 ninjas movies because they were so epic as a child.,awesome,hasnt anyone ever dreamed being ninja as child i watched this movie years ago would have told you then that 3 ninjas movies were absolute best movies ever made looking at this movie adults perspective defeats propose this being childrens movie childs perspective this movie is one best martial arts movies ever made think back when you were kid wouldnt you love see movie where kids your age can take fully grown men win this movie was favorite mine growing up i would still sit down watch all 3 ninjas movies because they were so epic as child,0.47171717171717176,0.44949494949494945,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.45, 'Sad': 0.15, 'Fear': 0.15}"
9.0,"My kids loved this movie, we're going out to buy it today.","My kids loved this movie, we're going out to buy it today. We just rented this movie and my kids liked it so much that we have to go and buy it today. My wife and I liked that the fight scenes were fun and not violent. A GREAT kids movie.",my kids loved this movie were going out buy it today,my kids loved this movie were going out buy it today we just rented this movie my kids liked it so much that we have go buy it today my wife i liked that fight scenes were fun not violent great kids movie,0.6687500000000001,0.5375,Positive,"{'Happy': 0.73, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.09, 'Fear': 0.18}"
10.0,Tam Tam - Tam Tam - Tam Tam,"You might think, that this movie sucks, but you´re dead wrong!This is the funniest piece, I´ve ever seen in my life!Seriously, I was laughing tears the whole movie - then I tried to kill myself!Normally, in a Hogan movie, you can expect, that he´s the one, beating up the bad guys, but not here, Hogan mostly stands - or lies - in the way, while the villains get an ass-kicking from an 3-year-old, and his two wannabe-ninja brothers!I won´t write something about the story, because:a) There is no story, and even if you find one (I didn´t), you should forget about it wright now!b) I have seen this movie 3 years ago, which makes it difficult, to write a good comment!Hey, I rated this one 10, and YOU should do the same!But please rate it, BEFORE you watch it! ;)",tam tam tam tam tam tam,you might think that this movie sucks but you re dead wrong this is funniest piece i ve ever seen my life seriously i was laughing tears whole movie then i tried kill myself normally hogan movie you can expect that he s one beating up bad guys but not here hogan mostly stands or lies way while villains get ass kicking 3 year old his two wannabe ninja brothers i won t write something about story because there is no story even if you find one i didn t you should forget about it wright now b i have seen this movie 3 years ago which makes it difficult write good comment hey i rated this one 10 you should do same but please rate it before you watch it,0.5340277777777778,-0.07361111111111109,Negative,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.2}"
10.0,This is the best film ever!!!,"This is one of the funniest films I've ever seen. Watched it on a hangover with a mate and we couldn't stop laughing the whole time and, despite having a lot of work to do, were compelled to watch to the end to see if the 3 ninjas won. It's the most ludicrous story line I've ever seen in a film, I was just sitting there thinking how is that little kid beating up grown men 'ninjas' - surely just knee him in the head, he's about 6. And that ridiculous girl with all the gadgets, ""Let me just reroute the encryption through the CPU"" or some bollox, on what was essentially a toy computer. The female leader of the terrorist looks like an 80s porn star (so does the Hulk as well, I guess), speaking of which, Mr. Hogan put in one of his best performances since Muppets from Space. It is genuinely the worst, least believable film you will ever see and as a result is truly hilarious. Also, one of the kids has literally the worst haircut you will ever see, it's worth watching the film purely for that. Long live Dave Dragon!!!",this is best film ever,this is one funniest films ive ever seen watched it hangover with mate we couldnt stop laughing whole time despite having lot work do were compelled watch end see if 3 ninjas won its most ludicrous story line ive ever seen film i was just sitting there thinking how is that little kid beating up grown men ninjas surely just knee him head hes about 6 that ridiculous girl with all gadgets let me just reroute encryption through cpu or some bollox what was essentially toy computer female leader terrorist looks like 80s porn star so does hulk as well i guess speaking which mr hogan put one his best performances since muppets space it is genuinely worst least believable film you will ever see as result is truly hilarious also one kids has literally worst haircut you will ever see its worth watching film purely that long live dave dragon,0.5419753086419754,0.10998977873977878,Positive,"{'Happy': 0.09, 'Angry': 0.03, 'Surprise': 0.44, 'Sad': 0.21, 'Fear': 0.24}"
