Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Masterpiece of the decade! Fun and emotional,Amazing performance from Charlie and Rakshith. Charlie has done so well sometimes we forget it's a dog. Great effort from director. Very strong and emotional storyline. 1st half is full on comedy. We won't get another dog movie for next 10 years. Pls do watch and be prepared to cry last 30 min. All the characters have done justice. Music is great and it keeps you hooked. Cinematography is top notch. Kashmir scenes are shot very well.,masterpiece decade fun emotional,amazing performance charlie rakshith charlie has done so well sometimes we forget its dog great effort director very strong emotional storyline 1st half is full comedy we wont get another dog movie next 10 years pls do watch be prepared cry last 30 min all characters have done justice music is great it keeps you hooked cinematography is top notch kashmir scenes are shot very well,0.4951282051282051,0.3035897435897436,Positive,"{'Happy': 0.29, 'Angry': 0.07, 'Surprise': 0.36, 'Sad': 0.14, 'Fear': 0.14}"
10,Excellent film,"It is an outstanding movie of international standards with no language barrier. Superb direction,acting,music and photography. It has strong theme & message to society.Must watch with your family. I'm sure you would love your pet after waching this movieMy rating 1010.",excellent film,it is outstanding movie international standards with no language barrier superb direction acting music photography it has strong theme message society must watch with your family im sure you would love your pet after waching this moviemy rating 1010,0.6371527777777777,0.49166666666666664,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.0, 'Fear': 0.2}"
9,777Charlie 4.25/5. An emotional epic👌,"777Charlie 4.25/5. An emotional epic.. DON'T MISS THIS, at any cost!Whether you are a pet lover or not, you'll be moved to tears. Extraordinary roadtrip journey in the 2nd half with #Dharma & #Charlie. Superb making & grt audience connect.@rakshitshetty.",777charlie 4 25 5 emotional epic,777charlie 4 25 5 emotional epic dont miss this at any cost whether you are pet lover or not youll be moved tears extraordinary roadtrip journey 2nd half with superb making grt audience connect,0.5333333333333333,0.17083333333333334,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.56, 'Fear': 0.11}"
7,Everyone with a beating heart go see this!,"No wonder they say that man's best friend is a dog. There has been many movies made about self discovery, finding oneself and this is one of the best in that list. Here our Protagonist Dharma (Rakshit Shetty) is the kinda guy who'd be hated by kids and families in the neighbourhood. But he is also the kinda guy who values his solitude with anxiety simmering below the surface. His seemingly normal life of is suddenly unsettled, the constant ringing of his door bells, presence of people, all for the uninvited guest, our snow loving Charlie. It's only when he reintegrates with his surrounding which leads to a beautiful, affectionate, touching film, a journey that touches on topics of life, pet adoption, overcoming anxiety, and most importantly love. Firstly, many will be familiar with the key concept of the film and it be no longer surprising but trust me you will be proven wrong.From choo choo to naming Charlie after the great Chaplin, there are a lot of such touching moments in the film and i'm sure it will be very hard to hold back tears while watching. At the same time, the picture is a wonderful sketch of the soul of an ordinary Dharma and Charlie's last wish as they both find love, including a new addition to the family.To conclude ""777 Charlie"" is good movie with very little flaws, also it is cleverly constructed love story, where the emotions are truly at heart and it perfectly sums up ""The tale of Dharmaraj in Kaliyug."" I went to the film and knew that I would enjoy it and with a brilliant cast and a cute dog, which is impossible not to love. I strongly recommend to stop looking for similarities with other movies that shares the same theme and enjoy this wholesome journey.",everyone with beating heart go see this,no wonder they say that mans best friend is dog there has been many movies made about self discovery finding oneself this is one best that list here our protagonist dharma rakshit shetty is kinda guy whod be hated by kids families neighbourhood but he is also kinda guy who values his solitude with anxiety simmering below surface his seemingly normal life is suddenly unsettled constant ringing his door bells presence people all uninvited guest our snow loving charlie its only when he reintegrates with his surrounding which leads beautiful affectionate touching film journey that touches topics life pet adoption overcoming anxiety most importantly love firstly many will be familiar with key concept film it be no longer surprising but trust me you will be proven wrong choo choo naming charlie after great chaplin there are lot such touching moments film im sure it will be very hard hold back tears while watching at same time picture is wonderful sketch soul ordinary dharma charlies last wish as they both find love including new addition family conclude 777 charlie is good movie with very little flaws also it is cleverly constructed love story where emotions are truly at heart it perfectly sums up tale dharmaraj kaliyug i went film knew that i would enjoy it with brilliant cast cute dog which is impossible not love i strongly recommend stop looking similarities with other movies that shares same theme enjoy this wholesome journey,0.6099833562901745,0.2794722796143251,Positive,"{'Happy': 0.25, 'Angry': 0.04, 'Surprise': 0.21, 'Sad': 0.29, 'Fear': 0.21}"
10,Deserves a Oscar Nomination.,"Heart Touching Story with class actors. One of the greatest movie seen in a while. Rakshit Shetty's best acting till date.Supporting roles are great to hold the movie. Charlie steals the show, highly trained and superb trained.",deserves oscar nomination,heart touching story with class actors one greatest movie seen while rakshit shettys best acting till date supporting roles are great hold movie charlie steals show highly trained superb trained,0.5425,0.58875,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.29, 'Fear': 0.0}"
10,"Super brilliantly made,fantastic","This was so far the best dog film ever made in the world....kudos to rakshit,Sangeetha,Raj,sharvari,Bobby and offcourse the unforgettable Charlie.I laughed,offcourse cried more than i laughed...emotional roller coaster ride with all those teary eyes moments...Charlie's cuteness has no limitations....overall best of the best...",super brilliantly made fantastic,this was so far best dog film ever made world kudos rakshit sangeetha raj sharvari bobby offcourse unforgettable charlie i laughed offcourse cried more than i laughed emotional roller coaster ride with all those teary eyes moments charlies cuteness has no limitations overall best best,0.5397435897435897,0.5717948717948718,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.36, 'Fear': 0.18}"
10,#SuperDirection #AwesomeStory #Wellmade,"If They Have Hachi, Then We Have Charlie 🐕 Life Time Theatrical Experience 👌 🐶😘 Movie Lovers Do Watch In Theater.Pet Lovers Must Watch In Theater.No One Can Leave The Theater Without Wet Eyes..",,if they have hachi then we have charlie life time theatrical experience movie lovers do watch theater pet lovers must watch theater no one can leave theater without wet eyes,0.2,-0.05,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.33}"
9,blockbuster Movie,"BEST EMOTIONAL MOVIE FOR MEUndoubtedly, Charlie is the frontrunner in making one watch the film. The story is simple and even predictable sometimes, but Charlie makes it beautiful with its lovely performance, especially in emotional scenes. Besides, Rakshit Shetty justifies his role.",blockbuster movie,best emotional movie meundoubtedly charlie is frontrunner making one watch film story is simple even predictable sometimes but charlie makes it beautiful with its lovely performance especially emotional scenes besides rakshit shetty justifies his role,0.6510204081632652,0.3071428571428571,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.2}"
10,Boycott bollywood,"The very first thing is bollywood need to learn a lot from this movie .. Once there was a sh*it made in Bollywood and that was entertainment movie ...I just would firstly like to give bollywood a suggestion to pls stop playing with nepo stars or only thinking of money ...🙏Such quality content really touches our heart 💓and I am sleepless last nite after watching this movie ...such a 🎈wonderful,feelingful,lovely,amazing movie ....",boycott bollywood,very first thing is bollywood need learn lot this movie once there was sh it made bollywood that was entertainment movie i just would firstly like give bollywood suggestion pls stop playing with nepo stars or only thinking money such quality content really touches our heart i am sleepless last nite after watching this movie such wonderful feelingful lovely amazing movie,0.5683333333333334,0.2875,Positive,"{'Happy': 0.06, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.25, 'Fear': 0.25}"
10,Great Movie,"Easily the best Kannada movie of the last 12 months. Great acting and screenplay. The story made me emotional quick.To those who have had pets, - please watch this movie with tissue paper in hand LOL. I can guarantee you no matter how stone hearted you may be, this movie is bound to melt your heart.And Rakshit Shetty - Please, for your next movies, we need funnier story lines. Do comedy or thrillers instead of making us drown in tears because of an emotional roller coaster such as this one haha.",great movie,easily best kannada movie last 12 months great acting screenplay story made me emotional quick those who have had pets please watch this movie with tissue paper hand lol i can guarantee you no matter how stone hearted you may be this movie is bound melt your heart rakshit shetty please your next movies we need funnier story lines do comedy or thrillers instead making us drown tears because emotional roller coaster such as this one haha,0.4305555555555556,0.3277777777777778,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.14, 'Sad': 0.38, 'Fear': 0.29}"
