Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Thanush owns this all the way,"Let me try to break down my scoring criteria.....1) Casting is nothing short of perfection. Not a character out of place and every character is perfectly suited for the movie. No one tries to stand out or any over the top heroism or villain.2) Dialog is exactly how it needs to be. Again not a word out of place. No ""punch"" dialogues as such.3) Songs - Too good. No silly duets in some eye candy place. Songs are placed at the exact moments it needs to be in the movie.4) Theme - Not often we see such themes on movies and its very hard to make a movie that is interesting and gripping out of such themes. Very well done.5) Last but not the least - Thanush had made a killer of a performance here. Doesn't try to overact or try to be a ""mass"" hero. He fits in exactly how the movie needs him to be. My respect for him as a actor has grown many folds after I watched this movie.Im 100% satisfied with this movie. Top class stuff in every department.",thanush owns this all way,let me try break down my scoring criteria 1 casting is nothing short perfection not character out place every character is perfectly suited movie no one tries stand out or any over top heroism or villain 2 dialog is exactly how it needs be again not word out place no punch dialogues as such 3 songs too good no silly duets some eye candy place songs are placed at exact moments it needs be movie 4 theme not often we see such themes movies its very hard make movie that is interesting gripping out such themes very well done 5 last but not least thanush had made killer performance here doesnt try overact or try be mass hero he fits exactly how movie needs him be my respect him as actor has grown many folds after i watched this movie im 100 satisfied with this movie top class stuff every department,0.5083964646464646,0.2461489898989899,Positive,"{'Happy': 0.14, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.14, 'Fear': 0.38}"
8.0,One of the best movies of Tamil cinema,"Once we know, Tamil cinema is filled with actors and directors, who concentrate on movies, which concentrated on unbelievable fight scenes and songs in unusual circumstances. But i can see that it is slowly moving into the other side of the cinema, which touches the heart of normal people and in the mean time giving what they need. The movie must have been a complete drama or power packed actions, but the director he brilliantly made this movie in neither of the genre but mixes several genre like action, drama, romance, thriller etc in a single movie but concentrating more on the thrill in the drama, which is very rare in world movies. The songs are beautiful and he used it at right times. Brilliant performance by dhanush, haven't seen him doing a believable performance in many of his movies. In this movie, he was perfect in most of the scenes with his dialogues. But the best part is the movie is not just concentrated on a single character of the movie(99% of Tamil movies will have a story centers around a single character) but it focuses on multiple characters. The other actors performed equally and some better than dhanush. the movie deserves many awards and for sure it is a path breaking movie in Tamil cinema.",one best movies tamil cinema,once we know tamil cinema is filled with actors directors who concentrate movies which concentrated unbelievable fight scenes songs unusual circumstances but i can see that it is slowly moving into other side cinema which touches heart normal people mean time giving what they need movie must have been complete drama or power packed actions but director he brilliantly made this movie neither genre but mixes several genre like action drama romance thriller etc single movie but concentrating more thrill drama which is very rare world movies songs are beautiful he used it at right times brilliant performance by dhanush havent seen him doing believable performance many his movies this movie he was perfect most scenes with his dialogues but best part is movie is not just concentrated single character movie 99 tamil movies will have story centers around single character but it focuses multiple characters other actors performed equally some better than dhanush movie deserves many awards sure it is path breaking movie tamil cinema,0.5420954941116232,0.3048041474654378,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.35}"
8.0,Tamil movie of the season,"I was pleasantly surprised and full of emotions after watching Aadukalam. Initially centered around rooster fights and a love story, I wondered what this movie could tell. But masterful direction by Vetrimaran and a wonderful performance from Dhanush and other actors puts this movie alongside the best in Tamil.Dhanush has displayed a myriad of emotions in this movie and has proved to be a great actor. The story seems to be long but it stays in your mind. The darkness of the Pettaikaran character may irk you a bit. Aadukalam has trust, betrayal, angst, happiness, sorrow and what not? The Behind-the-screen departments have performed a tremendous job. The rooster-fight graphics was awesome.Overall I'd say, it's one of a kind movie! Go for Aadukalam at once!!",tamil movie season,i was pleasantly surprised full emotions after watching aadukalam initially centered around rooster fights love story i wondered what this movie could tell but masterful direction by vetrimaran wonderful performance dhanush other actors puts this movie alongside best tamil dhanush has displayed myriad emotions this movie has proved be great actor story seems be long but it stays your mind darkness pettaikaran character may irk you bit aadukalam has trust betrayal angst happiness sorrow what not behind screen departments have performed tremendous job rooster fight graphics was awesome overall id say its one kind movie go aadukalam at once,0.6046875000000002,0.4630208333333333,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.3, 'Sad': 0.3, 'Fear': 0.23}"
10.0,GREAT CHARACTERIZATION,"Another masterpiece from Vetrimaaran... great characterization.. stunning dialogues, marvelous acting, again dhanush is just an character every one is important characters in this movie...music is also awesome.. climax little disappointed at that time but now it's need for that movie",great characterization,another masterpiece vetrimaaran great characterization stunning dialogues marvelous acting again dhanush is just character every one is important characters this movie music is also awesome climax little disappointed at that time but now its need that movie,0.75,0.3958333333333333,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.1, 'Fear': 0.2}"
,This is how world class movies are like,"In the league of Devar Magan, Paruthiveeran yet another movie that portrays the life of people as it is in the reality. Aadukalam is a movie based on the life of rooster-fighters, their passion, love, emotions and everything.After success of Polladhavan, Dhanush and Vetrimaaran have tagged again for this classical venture and have succeeded too, making it both commercial and critically acclaimed movie.Plot: Pettaikaran and Rathnasamy are the rivals in the rooster fight. Karuppu, the jockey of Pettaikaran team, goes to win the best rooster award and a ransom price money in a tournament despite Pettaikaran denial to compete with his rooster. Rest of the movie depicts how situations go bad as people change after Karuppu gaining popularity.Yet another brilliant acting from the lead, Dhanush and excellent acting from the support casts Jayabalan, Kishore, and Narien. Tapsee who does the love interest of Dhanush, has done a recent job as well.Music is done by G.V Prakash Kumar has delivered exactly what it is supposed to.Full credits to Vetrimaaran for this excellent direction and superlative screenplay.No wonder that this movie has bagged six National awards including best actor, best director and best screenplay.For those who are looking for an honest and a quality movie, I would highly recommend this.",this is how world class movies are like,league devar magan paruthiveeran yet another movie that portrays life people as it is reality aadukalam is movie based life rooster fighters their passion love emotions everything after success polladhavan dhanush vetrimaaran have tagged again this classical venture have succeeded too making it both commercial critically acclaimed movie plot pettaikaran rathnasamy are rivals rooster fight karuppu jockey pettaikaran team goes win best rooster award ransom price money tournament despite pettaikaran denial compete with his rooster rest movie depicts how situations go bad as people change after karuppu gaining popularity yet another brilliant acting lead dhanush excellent acting support casts jayabalan kishore narien tapsee who does love interest dhanush has done recent job as well music is done by g v prakash kumar has delivered exactly what it is supposed full credits vetrimaaran this excellent direction superlative screenplay no wonder that this movie has bagged six national awards including best actor best director best screenplay those who are looking honest quality movie i would highly recommend this,0.4434848484848484,0.4390909090909091,Positive,"{'Happy': 0.19, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.31}"
10.0,Amores perros of India,"I wanted to watch Amores perros for a long time and thanks to vetrimaran for giving credits at the end of this film. Innaritu's one deals with the human emotions with the Dog fighting in the background while vetrimaran's is Rooster fight. But they are totally different. Only thing which bugs me is why they had to reprise a particular soundtrack from the film. Except for that it isn't a rip off. The director's research about Rooster fight,Madurai(location where the film takes place) and the people are all sure for a great applause keeping in mind that the director hails from northern part of Tamilnadu. CG part involving the rooster fight were mediocre. But they killed it with an amazing screenplay.",amores perros india,i wanted watch amores perros long time thanks vetrimaran giving credits at end this film innaritus one deals with human emotions with dog fighting background while vetrimarans is rooster fight but they are totally different only thing which bugs me is why they had reprise particular soundtrack film except that it isnt rip off directors research about rooster fight madurai location where film takes place people are all sure great applause keeping mind that director hails northern part tamilnadu cg part involving rooster fight were mediocre but they killed it with amazing screenplay,0.5611111111111111,0.1378787878787879,Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.24, 'Fear': 0.33}"
8.0,Blend of entertainment and artistic,"I am stun after watching the movie. The first half of the movie is a very well made entertainer set on a different backdrop (rooster fights). The second half of the movie is totally new for Tamil cinema industry. It deals with the dark side of a man who once used to be good and a governess. Humiliated by his wrong decisions and greediness, how a good man turns self centered and egotistic is what Aadukalam deals with.Dhanush as an actor is at his best after Pudupettai. He has done a lot of hard work for this movie. Topsee the female lead has shown good performance for a new comer. Vetrimaran, this man is really clever and he knows how to make a splendid entertainer which will be considered a good movie even after many years. The characterization of the movie is so fine, that they stay in our hearts for a longtime. Some very important events that happen in the movie are not filmed as part of the movie, but the way they are been conveyed it to the audience, it is wonderful, for example the Pettaikaran getting beaten by the policemen and when Karupus's (Dhanush) mother dies.With regards to the graphics used in the movie, it is very well made and has come out natural that does not make you feel that its graphics but there is a notice in the upfront very beginning of the movie, that the rooster fights shown in this movie are graphics. The interval sequence, WOW it is an edge of the seat thriller. I nearly wondered what could be there in a movie after such a wonderful interval sequence. But there is really something thoughtful even after the interval. Finally the climax of the movie, which made me think for at least two weeks, whether I have seen a similar climax in any other movies so far. My answer was NO, I haven't come across this kind of climax. But to make clear the climax is not so huge or entertaining it is very soft, subtle and accepted, which makes the film more appealing.There is everything in the movie rage, egocentric, humor, love, warmth, and passion. This is definitely a must watch!!!",blend entertainment artistic,i am stun after watching movie first half movie is very well made entertainer set different backdrop rooster fights second half movie is totally new tamil cinema industry it deals with dark side man who once used be good governess humiliated by his wrong decisions greediness how good man turns self centered egotistic is what aadukalam deals with dhanush as actor is at his best after pudupettai he has done lot hard work this movie topsee female lead has shown good performance new comer vetrimaran this man is really clever he knows how make splendid entertainer which will be considered good movie even after many years characterization movie is so fine that they stay our hearts longtime some very important events that happen movie are not filmed as part movie but way they are been conveyed it audience it is wonderful example pettaikaran getting beaten by policemen when karupuss dhanush mother dies with regards graphics used movie it is very well made has come out natural that does not make you feel that its graphics but there is notice upfront very beginning movie that rooster fights shown this movie are graphics interval sequence wow it is edge seat thriller i nearly wondered what could be there movie after such wonderful interval sequence but there is really something thoughtful even after interval finally climax movie which made me think at least two weeks whether i have seen similar climax any other movies so far my answer was no i havent come across this kind climax but make clear climax is not so huge or entertaining it is very soft subtle accepted which makes film more appealing there is everything movie rage egocentric humor love warmth passion this is definitely must watch,0.5568907828282827,0.247695707070707,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.32, 'Fear': 0.2}"
8.0,Raw film,This was the masterpiece by the director vetrimaaran. It portrays how a sense of jealousy can turn a good man. Acting and the slang they speak was realistic.,raw film,this was masterpiece by director vetrimaaran it portrays how sense jealousy can turn good man acting slang they speak was realistic,0.34871794871794876,0.15897435897435896,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.0, 'Fear': 0.2}"
10.0,"Vetrimaaran's all time best cult classic "" Vaazhviyal""","Vetrimaaran is a Gem of Tamil Cinema .. This one is a cult classic film.. It reflects the life of Rural Madurai .. Their slang .. their lifestyle.. If you involve in the movie , you experience a beautiful lifestyle... Emotional... Pain last for days after watching movies",vetrimaarans all time best cult classic vaazhviyal,vetrimaaran is gem tamil cinema this one is cult classic film it reflects life rural madurai their slang their lifestyle if you involve movie you experience beautiful lifestyle emotional pain last days after watching movies,0.33571428571428574,0.31190476190476196,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.29}"
8.0,"A sheer brilliance of Vetrimaaran in a classic drama of traditional pride, ego, friendship, betrayal, jealousy and sacrifice.","Aadukalam (2011) : Brief Review -A sheer brilliance of Vetrimaaran in a classic drama of traditional pride, ego, friendship, betrayal, jealousy and sacrifice. Aadukalam may feel over the top for non-india audience because it uses the regional topic like cockfight as the main vitamin of the body. But Indian audience who are aware of such traditions especially Tamil audience will find convincing and far more connective. In a village in South India, rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people and Aadukalam revolves around this thing. Aadulalam is not an extraordinary story to look from neutral point of view but the way Vetrimaan has directed it and made us believe in whenever he shows is simply remarkable. Like i said, a sheer brilliance of Vettimaaran. Why? Because just look how he has shot those scenes of cockfights and how gripping, tensed and engaging he made all the situations. It was far more superior than human fights we see in films. Keeping the suspense intact even with inhuman elements is a rare thing and that's what Vetrimaaran has done and that too without using artificial elements like sci-fi stuff we see in Hollywood films. Dhanush and Jayapalan's chemistry is fantastic in both positive and negative ways. One more speciality of Aadukalam comes with Jayapalan's character because till the intermission point we are fooled that the negative character is the main villian but in the second half this positive and respected character of Jayapalan turns into negative which is the best trick played by the writer. The Supporting cast, cinematography, dialogues, music everything is well balanced in this terrific film. In a nutshell, Aadukalam is a big nice break from typical films with great use of regional traditions and pride. A rich cock-tail of multiple contents.RATING - 8/10*By - #samthebestest.",sheer brilliance vetrimaaran classic drama traditional pride ego friendship betrayal jealousy sacrifice,aadukalam 2011 brief review sheer brilliance vetrimaaran classic drama traditional pride ego friendship betrayal jealousy sacrifice aadukalam may feel over top non india audience because it uses regional topic like cockfight as main vitamin body but indian audience who are aware such traditions especially tamil audience will find convincing far more connective village south india rearing roosters maintaining them using them fights are way life matter honor lifeline many people aadukalam revolves around this thing aadulalam is not extraordinary story look neutral point view but way vetrimaan has directed it made us believe whenever he shows is simply remarkable like i said sheer brilliance vettimaaran why because just look how he has shot those scenes cockfights how gripping tensed engaging he made all situations it was far more superior than human fights we see films keeping suspense intact even with inhuman elements is rare thing thats what vetrimaaran has done that too without using artificial elements like sci fi stuff we see hollywood films dhanush jayapalans chemistry is fantastic both positive negative ways one more speciality aadukalam comes with jayapalans character because till intermission point we are fooled that negative character is main villian but second half this positive respected character jayapalan turns into negative which is best trick played by writer supporting cast cinematography dialogues music everything is well balanced this terrific film nutshell aadukalam is big nice break typical films with great use regional traditions pride rich cock tail multiple contents rating 8 10 by,0.5802371541501976,0.18796113306982876,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.19, 'Fear': 0.36}"
