Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Great movie,"An excellent movie and a definite must see. Great plot, screenplay, direction and cast - with just the right amount of Nana. Goes to show that Bollywood can produce movies of cinematic brilliance second to none. I saw shades of Training Day in the beginning of this movie (corrupt cop showing the ropes to a rookie cop), but the similarities ended there. IMHO, Nana did a way more credible job than Denzel's overhyped and overrated Oscar winning performance. A very serious and realistic movie, but not very dark and it did not treat the subject with a heavy-hand. I think this was why the movie moved along at a good pace, and always kept the viewer involved. Gets bonus points for having a white person on screen that can actually speak English [if you've heard white people speak English in Hindi movies, you know what I'm talking about]. A very solid 9/10.",great movie,excellent movie definite must see great plot screenplay direction cast with just right amount nana goes show that bollywood can produce movies cinematic brilliance second none i saw shades training day beginning this movie corrupt cop showing ropes rookie cop but similarities ended there imho nana did way more credible job than denzels overhyped overrated oscar winning performance very serious realistic movie but not very dark it did not treat subject with heavy hand i think this was why movie moved along at good pace always kept viewer involved gets bonus points having white person screen that can actually speak english very solid 9 10,0.4693685679399965,0.18619396476539332,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.14, 'Fear': 0.41}"
7.0,Nana Patekar steals another movie,"Nana Patekar once again proves that he is the best actor working in Bombay without a doubt. His recent movies involved shouting his lines that does not bode well for the theater trained thespian. One wonders why he is always not given his accolades during awards season.""Shakti-The Power"" was one of his flicks that was an utter disapointment along with Kohram (a missed oppurtunity to create screen magic with Amitabh Bachchan).But Patekar exudes a cool calm in this film playing a cop on a sort of social justice journey. Ridding the streets of Bombay of underworld dons in fake encounters, Patekars character takes control of the screen (and the viewers attention) and never lets go. The editing is tightly paced and there are no annoying songs to distract from the story.Along the same lines as the modern day cult classic ""Company"", the movie is well acted, directed and should have a long shelf life on DVD. The final ten minutes that see Nana and the main villain talk at his offshore haven are bound to be part of Hindi cinema classics. Won't be dissapointed with this cops and robbers flick.",nana patekar steals another movie,nana patekar once again proves that he is best actor working bombay without doubt his recent movies involved shouting his lines that does not bode well theater trained thespian one wonders why he is always not given his accolades during awards season shakti power was one his flicks that was utter disapointment along with kohram missed oppurtunity create screen magic with amitabh bachchan but patekar exudes cool calm this film playing cop sort social justice journey ridding streets bombay underworld dons fake encounters patekars character takes control screen viewers attention never lets go editing is tightly paced there are no annoying songs distract story along same lines as modern day cult classic company movie is well acted directed should have long shelf life dvd final ten minutes that see nana main villain talk at his offshore haven are bound be part hindi cinema classics wont be dissapointed with this cops robbers flick,0.4737433862433863,0.14933862433862435,Positive,"{'Happy': 0.08, 'Angry': 0.03, 'Surprise': 0.19, 'Sad': 0.22, 'Fear': 0.47}"
9.0,"""Hum sab system ka hissa hain. System decide karta hai. Apun follow karta hai.""","I still remember watching Satya for the first time. I was completely blown away. Here was a movie that was very different so from the other Gangster films that I had seen. So realistic, so Mumbaiyya and so believable. Despite ""Company"" (which was a very good effort) and ""Vaastav"" (more focused on the journey of the protagonist) which came close, no underworld movie could ever live up to Satya.When I watched Ab Tak 56 for the first time, I said to myself ""Indian Cops have their own 'Satya' now"". The quote by Nietzsche in the beginning itself tells you that this is no ordinary film. What strikes you about the ""encounter"" at the start of the film is the relaxed manner in which it is carried out. There is a cold and scary feel to it cos you realize that it is part of their routine.Ab Tak 56 is not the story of an honest cop or a corrupt cop but of a cop who is ready to do what it takes to get rid of the criminals when all lawful means are exhausted. With simple shots and camera angles, director Shimit Amin manages to capture the essence of the characters and gives a realistic and rough feel to the movie. Editing seems non-existent and hence effective. The music is also impressive and haunting and stays with you long after you've left the movie hall.But for me, what really takes the cake are the dialogues and the superlative acting from each and every character. Sandeep Srivastava has done a brilliant job as the dialogue writer. If I start listing my favourite dialogues, I'm afraid I'll end up re-writing the entire script of the movie.The movie boasts of some stellar performances. Yashpal Sharma is detestable as Sub-Inspector Imtiaz Siddiqui and so is Jeeva as Joint Commissioner Suchak. Revathi, Hrishita Bhatt, Mohan Agashe and Kunal Vijaykar have small roles which they play to perfection. Nakul Vaid as the rookie Jatin Shukla was a revelation. The scene where he has to hesitantly shoot the wounded gangster  Oh My God! He learns under the tutelage of Sadhu Aghashe and firmly believes in him.Prasad Purandhare as Zameer Zafar is impressive. His conversations with Sadhu are real jewels of dialogue writing. Never before in Indian cinema has any film brought out such a beautiful relation between a cop and a gangster.Not that I have not been a fan of Nana Patekar before this film but this film pushed me from a fan to a devotee. Nana as Inspector Sadhu Agashe gives the performance of a lifetime and one of the best I've ever seen in Hindi cinema. From the way he talks to his expressions, from the way he taps his cigarette to the way sips his tea  it's almost as if Nana can do no wrong. He is at his best in each and every scene especially when he's teaching Jatin about how the police force functions. His cool and composed manner of doing things is scary at times. His dialogue delivery and body language had me convinced that he is one of the finest actors in the country. It's a shame that he did not win any popular awards for this one.Last but in no way the least, Shimit Amin does a brilliant job of bringing all this talent together and exploiting them to the fullest to come up with a modern masterpiece of Indian cinema. In an industry that is sickeningly accustomed to lifting stories from here and there, Amin takes an original script and brings it to life with a beautiful treatment. I just hope that he continues the great work and doesn't give in to Bollywood-isation! If he can do that, I'm sure he'll be a force to reckon with in the coming years.",hum sab system ka hissa hain system decide karta hai apun follow karta hai,i still remember watching satya first time i was completely blown away here was movie that was very different so other gangster films that i had seen so realistic so mumbaiyya so believable despite company which was very good effort vaastav more focused journey protagonist which came close no underworld movie could ever live up satya when i watched ab tak 56 first time i said myself indian cops have their own satya now quote by nietzsche beginning itself tells you that this is no ordinary film what strikes you about encounter at start film is relaxed manner which it is carried out there is cold scary feel it cos you realize that it is part their routine ab tak 56 is not story honest cop or corrupt cop but cop who is ready do what it takes get rid criminals when all lawful means are exhausted with simple shots camera angles director shimit amin manages capture essence characters gives realistic rough feel movie editing seems non existent hence effective music is also impressive haunting stays with you long after youve left movie hall but me what really takes cake are dialogues superlative acting each every character sandeep srivastava has done brilliant job as dialogue writer if i start listing my favourite dialogues im afraid ill end up re writing entire script movie movie boasts some stellar performances yashpal sharma is detestable as sub inspector imtiaz siddiqui so is jeeva as joint commissioner suchak revathi hrishita bhatt mohan agashe kunal vijaykar have small roles which they play perfection nakul vaid as rookie jatin shukla was revelation scene where he has hesitantly shoot wounded gangster oh my god he learns under tutelage sadhu aghashe firmly believes him prasad purandhare as zameer zafar is impressive his conversations with sadhu are real jewels dialogue writing never before indian cinema has any film brought out such beautiful relation between cop gangster not that i have not been fan nana patekar before this film but this film pushed me fan devotee nana as inspector sadhu agashe gives performance lifetime one best ive ever seen hindi cinema way he talks his expressions way he taps his cigarette way sips his tea its almost as if nana can do no wrong he is at his best each every scene especially when hes teaching jatin about how police force functions his cool composed manner doing things is scary at times his dialogue delivery body language had me convinced that he is one finest actors country its shame that he did not win any popular awards this one last but no way least shimit amin does brilliant job bringing all this talent together exploiting them fullest come up with modern masterpiece indian cinema industry that is sickeningly accustomed lifting stories here there amin takes original script brings it life with beautiful treatment i just hope that he continues great work doesnt give bollywood isation if he can do that im sure hell be force reckon with coming years,0.6054648526077095,0.18579816017316017,Positive,"{'Happy': 0.15, 'Angry': 0.07, 'Surprise': 0.31, 'Sad': 0.13, 'Fear': 0.34}"
8.0,The most definitive film on cops,"It is by far the most definitive film on the police force which I have seen. Although not directed by Ram Gopal Varma, it has all the elements of an RGV film. Dead straight dialogues, blunt treatment of the subject, brilliant direction, and superb performances (even by those with little job to do in the movie). The chemistry between Nana and the Don, even if they are professional rivals, is amazing. And so are the small events like an insider not giving information to Imtiaz even while he is being bashed up in the locker, but only to Nana when he is out. The change in working conditions with the change of the senior is dealt wonderfully. The first half keeps one absolutely engrossed, moving like a documentary with Nana acting like a mentor to Jatin explaining to him the intricacies and philosophy of the work.Overall one of the most brilliant films on cops in Indian cinema. Definitely not to be missed.",most definitive film cops,it is by far most definitive film police force which i have seen although not directed by ram gopal varma it has all elements rgv film dead straight dialogues blunt treatment subject brilliant direction superb performances even by those with little job do movie chemistry between nana don even if they are professional rivals is amazing so are small events like insider not giving information imtiaz even while he is being bashed up locker but only nana when he is out change working conditions with change senior is dealt wonderfully first half keeps one absolutely engrossed moving like documentary with nana acting like mentor jatin explaining him intricacies philosophy work overall one most brilliant films cops indian cinema definitely not be missed,0.5196969696969697,0.21723484848484853,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.1, 'Fear': 0.57}"
8.0,Fictional story based on a very real cop...,"No music. No stupid masala. A reasonably realistic portrayal of the police system in India and based on a real ""encounter"" specialist in India, Daya Nayak. That is Ab Tak 56 (56 symbolises how many criminals the lead ""Sadhu Agashe"" has killed"" - well you already know that bit)Brilliance exudes Nan Patekar in the role as a relaxed and calculating Indian cop. THe one liners are just hilarious. The plot though slightly predictable on review, is intriguing all the same. Another one of the films from Ram Gopal Vermas The Factory. Movies which are either decent or really good, Ab Tak CHappan meanders close to very good. But yet remains one of the Top 70 films released from India, commercial and artsy included.What is great is the story telling is relaxed and showcases finally (in an Indian flick) how the police network works. The cast is really damn good but seriously the one liners are funny as hell (though i dont know if the subtitled version will appear as funny) The producers are trying for a Cannes release, which is interesting. Made by debut director Shamit Aman (i think thats his name).Again 55 y.o. Nana Patekar is brilliant away from his silly shouting roles of the past, just shows what a good director can do with a good actor. Really good stuff. If you are interested in Indian movies and are disgusted by the nonsense some of our guys dish out then this is definitely a relief. Again Patekar is the guy who happilly carries the movie on his shoulders and epitomises the style of the movie- relaxed, funny, intelligent and calculating. Good dialoges, good acting, nice direction all in all Great stuff. Recommendations: Gangaajal, Ram Gopal Verma's Company (both Indian flicks)",fictional story based very real cop,no music no stupid masala reasonably realistic portrayal police system india based real encounter specialist india daya nayak that is ab tak 56 56 symbolises how many criminals lead sadhu agashe has killed well you already know that bit brilliance exudes nan patekar role as relaxed calculating indian cop one liners are just hilarious plot though slightly predictable review is intriguing all same another one films ram gopal vermas factory movies which are either decent or really good ab tak chappan meanders close very good but yet remains one top 70 films released india commercial artsy included what is great is story telling is relaxed showcases finally indian flick how police network works cast is really damn good but seriously one liners are funny as hell though i dont know if subtitled version will appear as funny producers are trying cannes release which is interesting made by debut director shamit aman i think thats his name again 55 y o nana patekar is brilliant away his silly shouting roles past just shows what good director can do with good actor really good stuff if you are interested indian movies are disgusted by nonsense some our guys dish out then this is definitely relief again patekar is guy who happilly carries movie his shoulders epitomises style movie relaxed funny intelligent calculating good dialoges good acting nice direction all all great stuff recommendations gangaajal ram gopal vermas company both indian flicks,0.5959166666666668,0.298,Positive,"{'Happy': 0.28, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.23, 'Fear': 0.21}"
8.0,Great movie and Exceptionally good acting,"I almost stopped watching Hindi movies because of the mediocre quality and story lines. One exception for this is Ramgopal Verma movies. This is a nice movie with great performances from the star cast. This is must see movie for those who are sick of watching stupid dancing and love stories. The adaptation of the story and characterization was exceptional good.You should watch this movie for Nana Patekar. based on the life of Mumbai cop Daya Naik this movie deals in a more realistic way. The film delves into the life of the common man, which he has apart from being an encounter specialist. I rate this as one of the best movie of the year",great movie exceptionally good acting,i almost stopped watching hindi movies because mediocre quality story lines one exception this is ramgopal verma movies this is nice movie with great performances star cast this is must see movie those who are sick watching stupid dancing love stories adaptation story characterization was exceptional good you should watch this movie nana patekar based life mumbai cop daya naik this movie deals more realistic way film delves into life common man which he has apart being encounter specialist i rate this as one best movie year,0.6526984126984128,0.27460317460317457,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.33}"
10.0,Absolutely stunning performance from Nana Patekar,"Breathtaking performance & an app-laudable achievement for Nana Patekar is Ab Tak Chappan.Shimit Amin brings to us the most definitive cop movie Indian Cinema has seen after a long time.The movie shares the relation between underworld & police on screen.As well as one man commitment to his job as well as to other things.Dialog Delivery of Nana Patekar is sensational.Rest of the casting is perfect.Finesse though i think is added by Prasad Purandhare as Zameer.His acting & his dialog delivery seriously collides with the brilliance of Nana.Superb performance by him.This movie has no songs so this gives a Hollywood kind of an atmosphere.Dialog delivery are stupendous.The ending & the last conversation of Inspector Sadhu Agashe & Zameer just makes your day.Totally amazing ending.Also to go along slight soundtrack like the voice of great Nusrat Fateh Ali Khan just adds that extra spice.There is no limit on what frequency i see this.Mostly when i have nothing to do,i switch on my DVD player just to see this movie.Definitive entertainment focusing on the nexus of police & underworld.",absolutely stunning performance nana patekar,breathtaking performance app laudable achievement nana patekar is ab tak chappan shimit amin brings us most definitive cop movie indian cinema has seen after long time movie shares relation between underworld police screen as well as one man commitment his job as well as other things dialog delivery nana patekar is sensational rest casting is perfect finesse though i think is added by prasad purandhare as zameer his acting his dialog delivery seriously collides with brilliance nana superb performance by him this movie has no songs so this gives hollywood kind atmosphere dialog delivery are stupendous ending last conversation inspector sadhu agashe zameer just makes your day totally amazing ending also go along slight soundtrack like voice great nusrat fateh ali khan just adds that extra spice there is no limit what frequency i see this mostly when i have nothing do i switch my dvd player just see this movie definitive entertainment focusing nexus police underworld,0.5877450980392156,0.38186274509803914,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.27, 'Sad': 0.3, 'Fear': 0.23}"
10.0,Oscar material from India!!,"This is by far one of the best films that India has ever made. Following are the plus points of the film...Wonderful direction, cinematography and editing, the editing is very smooth and the timing of changeovers is excellent.Even though the film shows the life of Mumbai Policemen and their hardships, it never gets boring or sympathetic.Mind-blowing acting by lead actor Nana Patekar. One can surely hope that he gets nominated for the Best actor for the academy awards.Controlled violence. The violence is controlled and the film doesn't become a bloody mess.No stupid songs as in usual Indian movies.",oscar material india,this is by far one best films that india has ever made following are plus points film wonderful direction cinematography editing editing is very smooth timing changeovers is excellent even though film shows life mumbai policemen their hardships it never gets boring or sympathetic mind blowing acting by lead actor nana patekar one can surely hope that he gets nominated best actor academy awards controlled violence violence is controlled film doesnt become bloody mess no stupid songs as usual indian movies,0.6375925925925927,0.25300000000000006,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.44, 'Sad': 0.19, 'Fear': 0.19}"
6.0,Close Encounter of the Good Cinema Kind.,"Nana Patekar, the ""Morgan Freeman"" of Indian Cinema, has given some great perfs. as a village head in ""Shakti"", a mute in ""Khamoshi"". No one with an eye for good acting can miss the brilliance of this performer. A good script,a good supporting cast like Revathi, Yashpal Sharma, a crisp editing and direction makes this movie a winner. There are some great scenes and dialog-like when he first meets Zameer and explains him the ""nuisance value,"" when he invites his subordinate for dinner and cooks ""Sambar"". The movie is dominated and sustained by Patekar, who takes you into the web of underworld-deceit,deception and corruption which may border on exxageration at some point but the outline to some extent is real life dilemma faced by the law enforcement. The word ""Encounter"" is a misnomer but it is accepted as most accept the word ""Bollywood"". Any movie that can hold your interest with one actor and a clever dialog is a good movie and coming from an established film House-it is even better.",close encounter good cinema kind,nana patekar morgan freeman indian cinema has given some great perfs as village head shakti mute khamoshi no one with eye good acting can miss brilliance this performer good script good supporting cast like revathi yashpal sharma crisp editing direction makes this movie winner there are some great scenes dialog like when he first meets zameer explains him nuisance value when he invites his subordinate dinner cooks sambar movie is dominated sustained by patekar who takes you into web underworld deceit deception corruption which may border exxageration at some point but outline some extent is real life dilemma faced by law enforcement word encounter is misnomer but it is accepted as most accept word bollywood any movie that can hold your interest with one actor clever dialog is good movie coming established film house it is even better,0.5333333333333333,0.4885416666666667,Positive,"{'Happy': 0.29, 'Angry': 0.09, 'Surprise': 0.26, 'Sad': 0.14, 'Fear': 0.23}"
10.0,one the best films RGV has produced,I love the way he experiments. Ab Tak Chappan was a thrill to watch just as much Satya and company was. Jatin the new comer also lived up to his role and Nana Patekar was at his best. Suchak was really irritating but I think he fit the character he was playing - he had really ugly teeth. The story has a great progress and no songs in the movie makes it better. I only wish he signs up Urmila for his other up coming movies. I think they are the best director and actress combination I have seen. I have not seen Naach as yet but I am looking forward for it. I for some reason don't find Antra Maali that exciting to watch on the screen - unlike Urmila.,one best films rgv has produced,i love way he experiments ab tak chappan was thrill watch just as much satya company was jatin new comer also lived up his role nana patekar was at his best suchak was really irritating but i think he fit character he was playing he had really ugly teeth story has great progress no songs movie makes it better i only wish he signs up urmila his other up coming movies i think they are best director actress combination i have seen i have not seen naach as yet but i am looking forward it i some reason dont find antra maali that exciting watch screen unlike urmila,0.5556818181818182,0.3293831168831169,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.52, 'Sad': 0.16, 'Fear': 0.16}"
