Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,"Airlift is nail-biting, reality-based action thriller that is going to give you goose bumps. Brilliant !!","Over the years Akshay Kumar's choice of selecting the films has certainly improved with significant examples being Holiday, Baby, Special Chabbis, Gabbar Is Back to name few. Move over commercial masala potboilers with item songs, hero smashing 10 guys with a single blow and typical song-dance routine – Raja Menon's Airlift will give you goosebumps with fast-paced gritting thrills and excitement.Based on a true story, Airlift speaks about the Ranjit Katyal (played by Akshay Kumar) who helps the Indian Government collaborate with Air India to help evacuate 1,70,000 Indians from Kuwait after Iraq raided the country.From the director of critical acclaimed films like Bas Yun Hi and Barah Aana, Raja Menon does a fantastic research about the feat that was even recorded in the Guinness Book of World Record and surprisingly people are unaware about it. Airlift will consume you right from the beginning especially when Akshay's family faces the issue of Iraqi raiding Kuwait. From here onward, there is no turning back as the movie gives you nice twist-n-turns with well- choreographed action scenes. Icing on the cake is the climax scenes which has been well executed. On the flip side, length of the movie could have been reduced little further. But brilliant screenplay, Art direction and cinematography is spellbinding. Background score gels well with the mood of the film. Dialogues are fine. The music of the film is doing well on the chartbuster. The soulful number such as 'Soch Na Sake' is already a superhit among the viewers. Besides, other tracks are catching up fast as well.It is Akshay Kumar's show all the way. A thumbs up to him for doing something different from his usual masala potboilers. After giving back-to-back hits in 2015 with Baby, Gabbar Is Back and Singh Is Bliing, Akshay Kumar is definitely on a roll. With Holiday, Baby and now Airlift, Akshay Kumar has managed to create a image of ""Mera Bharat Mahaan"" actor and fans will love him in new avatar. The fresh pairing of Akshay Kumar and Nimrat Kaur works well. Nimrat Kaur's realistic subtlety would harness Akshay Kumar's machismo and give us that perfect thrillerOverall , Airlift is nail-biting, reality-based action thriller that is going to give you goose bumps. Brilliant 4.5/5",airlift is nail biting reality based action thriller that is going give you goose bumps brilliant,over years akshay kumars choice selecting films has certainly improved with significant examples being holiday baby special chabbis gabbar is back name few move over commercial masala potboilers with item songs hero smashing 10 guys with single blow typical song dance routine raja menons airlift will give you goosebumps with fast paced gritting thrills excitement based true story airlift speaks about ranjit katyal played by akshay kumar who helps indian government collaborate with air india help evacuate 1 70 000 indians kuwait after iraq raided country director critical acclaimed films like bas yun hi barah aana raja menon does fantastic research about feat that was even recorded guinness book world record surprisingly people are unaware about it airlift will consume you right beginning especially when akshays family faces issue iraqi raiding kuwait here onward there is no turning back as movie gives you nice twist n turns with well choreographed action scenes icing cake is climax scenes which has been well executed flip side length movie could have been reduced little further but brilliant screenplay art direction cinematography is spellbinding background score gels well with mood film dialogues are fine music film is doing well chartbuster soulful number such as soch na sake is already superhit among viewers besides other tracks are catching up fast as well it is akshay kumars show all way thumbs up him doing something different his usual masala potboilers after giving back back hits 2015 with baby gabbar is back singh is bliing akshay kumar is definitely roll with holiday baby now airlift akshay kumar has managed create image mera bharat mahaan actor fans will love him new avatar fresh pairing akshay kumar nimrat kaur works well nimrat kaurs realistic subtlety would harness akshay kumars machismo give us that perfect thrilleroverall airlift is nail biting reality based action thriller that is going give you goose bumps brilliant 4 5 5,0.4935889507318079,0.20955344258915684,Positive,"{'Happy': 0.14, 'Angry': 0.11, 'Surprise': 0.25, 'Sad': 0.11, 'Fear': 0.4}"
9,Airlift will surely touch all Indians by heart!,"As this year has been started well with Wazir, the good work of Bollywood is on the road with increasing the speed and performance. Yes, I'm talking about Akshay Kumar starer Airlift, directed by Raja Krishna Menon, and which is based on true events! Film starts in Kuwait. Rajiv Katyal (Akki) has been reached on the top level in business with his ability. He refers himself as a Kuwait citizen. But when the government leaves their citizens when Iraq attacks on Kuwait under the order of Saddam Hussain, the people becomes needless. Rajiv now feels that he is an Indian, and so along with other 1,70,000 people who are actually Indians but lives in Kuwait, he starts the mission to run from Kuwait as soon as possible. His tries, his communication to India for the help, and the officer's help from India - These things you can find out in this movie. Some factors, like emotions of love for the family, for the nation, for the coworkers and their relatives, for the people who are only belongs to the same nation, have been described very well. Many moments where we can feel patriotism. Raja has directed a superb film. Akshay has given a stunning performance as usual. I was comparing Baby film with this, but both are different. But if you ask for just one movie, than I'll go with this one. Nimrat Kaur is my favorite since The Lunchbox and Dairy Milk commercials. She has delivered a fine supportive job. She shines as a wife of a rich businessman and a caring mother. Kumud Mishra fits absolutely in the character of a government officer. Poorab Kohli has a small role. Supportive cast are fine, too. De Di and Soch Na Sake are very small songs. Perfectly situated. Tu Bhula Jise is the song to remember. Background score suits to the film. Dialogues are good. Nimrat's 3/4 minuets long conversation with a unsatisfied man of the camp who always complains, is a must! Cinematography is good. Some scenes give are shaky, those could have been shoot better. Editing is fine. Indian flag has been waved by an airport staff of Jordan and Akki is watching that, while Tu Bhula Jise song is playing - the scene has been brought so many whistles and shouts. And than one more, in which Air India plane is taking off, while Akki is watching that and in background Vande Mataram is playing - a truly emotional scene! It will surely gives you goosebumps! Overall, a must watch movie for every Indians, to know the largest human evacuation. Salute to all the real heroes! Jai Hind!",airlift will surely touch all indians by heart,as this year has been started well with wazir good work bollywood is road with increasing speed performance yes im talking about akshay kumar starer airlift directed by raja krishna menon which is based true events film starts kuwait rajiv katyal akki has been reached top level business with his ability he refers himself as kuwait citizen but when government leaves their citizens when iraq attacks kuwait under order saddam hussain people becomes needless rajiv now feels that he is indian so along with other 1 70 000 people who are actually indians but lives kuwait he starts mission run kuwait as soon as possible his tries his communication india help officers help india these things you can find out this movie some factors like emotions love family nation coworkers their relatives people who are only belongs same nation have been described very well many moments where we can feel patriotism raja has directed superb film akshay has given stunning performance as usual i was comparing baby film with this but both are different but if you ask just one movie than ill go with this one nimrat kaur is my favorite since lunchbox dairy milk commercials she has delivered fine supportive job she shines as wife rich businessman caring mother kumud mishra fits absolutely character government officer poorab kohli has small role supportive cast are fine too de di soch na sake are very small songs perfectly situated tu bhula jise is song remember background score suits film dialogues are good nimrats 3 4 minuets long conversation with unsatisfied man camp who always complains is must cinematography is good some scenes give are shaky those could have been shoot better editing is fine indian flag has been waved by airport staff jordan akki is watching that while tu bhula jise song is playing scene has been brought so many whistles shouts than one more which air india plane is taking off while akki is watching that background vande mataram is playing truly emotional scene it will surely gives you goosebumps overall must watch movie every indians know largest human evacuation salute all real heroes jai hind,0.6070899470899471,0.24384920634920637,Positive,"{'Happy': 0.18, 'Angry': 0.03, 'Surprise': 0.23, 'Sad': 0.23, 'Fear': 0.33}"
10,Steals Hearts!,"After Bajrangi Bhaijaan, this one is the next heart stealer! In an industry where good films are not as often coming, movies like these are hugely treasured. Airlift is a real story where humanity is celebrated, and a movie on humanity needs to strike the right chord to enter the audience's hearts. And this one very memorably goes! Akshay Kumar gives his heart and soul to the role and is a huge reason why the movie achieves its heights. The screenplay and direction are top notch, and the music is very hum worthy. And best thing, it felt like it ended early as audiences were wanting more. Seriously Indian cinema standards will take a rise more with this movie. Highly recommended watch!",steals hearts,after bajrangi bhaijaan this one is next heart stealer industry where good films are not as often coming movies like these are hugely treasured airlift is real story where humanity is celebrated movie humanity needs strike right chord enter audiences hearts this one very memorably goes akshay kumar gives his heart soul role is huge reason why movie achieves its heights screenplay direction are top notch music is very hum worthy best thing it felt like it ended early as audiences were wanting more seriously indian cinema standards will take rise more with this movie highly recommended watch,0.5642577030812325,0.34974789915966387,Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.35, 'Fear': 0.2}"
10,"Great Movie, must watch.","What do you say about a movie like Airlift? THIS IS IT! (Remo Fernandes in Jhalak Dikhla Ja) One hasn't been to too many First Day Shows in the recent past. But this story was too compelling to pass up. One lugged a child and his friend and the friend's mother. All 4 to a First Day Show. And what a treat! The background music blends in so subtly you don't even notice it. The rest of the score is soothing, melodious and easy on the ears - not a mean feat for a quasi action film. BUT.. the best part is this - the characters are so beautifully etched. Each one of them - including the ensemble cast. Everyone has a place to fill, and everyone fills that place so well. Full marks to the Casting Director! And the actors, of course.I have become an Akshay Kumar fan in the recent years. From being Bollywood's favourite Khiladi in more ways than one, this person has matured as an actor. He brings that rare thing to the screen - persona. Nimrat Kaur does justice to her role. I would have liked a lot more layering in the expressions of this rather complex character, but that's just me. Joseph - who grows in stature from that first shot when Akshay Kumar is asking him how much moneys they have, to the end. Purab Kohli as Iqbal.. what can one say? He stands out, really, REALLY stands out, is all. You will have to see his performance to know what I mean. From the man who escorts the hero to a small gathering of friends in a supermarket, to the man who ensures an identity for a woman with an infant, and then looks the hero in the eye as he walks past, this man truly is an equal.But this was not one man's victory. Nor was it the story of one man. There were so many invisible hands who made this happen. They have been acknowledged in the end, but only in passing. They deserved so much more credit for standing by a man and supporting his battle.One Lakh Seventy Thousand WOWs for this movie. I can only imagine the scale of that number. A full residential complex with 1000 flats has only 5000 people on average. A full movie hall - maybe 150. A flight - 300? 448 flights. Those are numbers that will remain in our mind for a long, long time. Sad that it took so long for someone to tell such an inspirational story, but that time only makes it more special, as we are in a position to look back and appreciate how that one battle of 1990 changed the course of world history, and continues to do so - 25 years later.",great movie must watch,what do you say about movie like airlift this is it remo fernandes jhalak dikhla ja one hasnt been too many first day shows recent past but this story was too compelling pass up one lugged child his friend friends mother all 4 first day show what treat background music blends so subtly you dont even notice it rest score is soothing melodious easy ears not mean feat quasi action film but best part is this characters are so beautifully etched each one them including ensemble cast everyone has place fill everyone fills that place so well full marks casting director actors course i have become akshay kumar fan recent years being bollywoods favourite khiladi more ways than one this person has matured as actor he brings that rare thing screen persona nimrat kaur does justice her role i would have liked lot more layering expressions this rather complex character but thats just me joseph who grows stature that first shot when akshay kumar is asking him how much moneys they have end purab kohli as iqbal what can one say he stands out really really stands out is all you will have see his performance know what i mean man who escorts hero small gathering friends supermarket man who ensures identity woman with infant then looks hero eye as he walks past this man truly is equal but this was not one mans victory nor was it story one man there were so many invisible hands who made this happen they have been acknowledged end but only passing they deserved so much more credit standing by man supporting his battle one lakh seventy thousand wows this movie i can only imagine scale that number full residential complex with 1000 flats has only 5000 people average full movie hall maybe 150 flight 300 448 flights those are numbers that will remain our mind long long time sad that it took so long someone tell such inspirational story but that time only makes it more special as we are position look back appreciate how that one battle 1990 changed course world history continues do so 25 years later,0.5120783730158729,0.16772693452380952,Positive,"{'Happy': 0.13, 'Angry': 0.01, 'Surprise': 0.28, 'Sad': 0.18, 'Fear': 0.4}"
10,Great Movie. Nice start for 2016,"Airlift is simply a great movie whether you talk about direction or acting,its simply mind blowing. Akshay kumar's gritty acting is simply mesmerizing.Unlike other movies , songs of this movie are soothing and full of melody. Its great that they didn't put a item song. The film is based on the real-life conflict and bloodshed that took place twenty five years back in Kuwait, and the way it is done—with a sense of urgency and immediacy, bringing alive a city over-run and under siege—sends out a crucial message to star-driven-yet-drivel- producing Bollywood.Other than that Nimrat kaur's was also very good. Overall, 'Airlift' is a good film,solidly plotted, well executed and well- acted. A must watch. Its a perfect movie for Republic Day Week !",great movie nice start 2016,airlift is simply great movie whether you talk about direction or acting its simply mind blowing akshay kumars gritty acting is simply mesmerizing unlike other movies songs this movie are soothing full melody its great that they didnt put item song film is based real life conflict bloodshed that took place twenty five years back kuwait way it is done with sense urgency immediacy bringing alive city over run under siege sends out crucial message star driven yet drivel producing bollywood other than that nimrat kaurs was also very good overall airlift is good film solidly plotted well executed well acted must watch its perfect movie republic day week,0.5017687074829931,0.3004761904761905,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.26, 'Fear': 0.22}"
6,A historical achievement enfeebled by poor film-making! Airlift is mediocre. Period.,"Yes, we had a great plot in our baggage. A true story intended to pan out a biopic that could have turned heads, made some noise about the plight of 170000 stuck Indians in a warzone. An immaculate rescue operation that was so colossal that it lodged its name in the Guinness Book of World Records for being one of the largest evacuations of all times.But what does Menon do with it? He changes facts, people, creates sheer fiction, rules out details, comes with a hand-woven shoddy script to replace the truth, places his own fake characters to enrich melodrama, throws in some songs in there to deliberately connect with the Indian audience, enforces unrealistic patriotism for emphasis, and squeezes in pointless unwanted tantrums to say the least.SPOILERS AHEAD: The movie begins by depicting the lavish life of the protagonist whilst noisily pointing out how little Katyal, a big fish in the Kuwait business suburbs, thought of his homeland. He had turned, as suggested by a brayed intentional laugh of his friends, more Kuwaitian than a Kuwaitian himself. These bits again seemed forced rather than appear natural so as to benefit the script.Chaos depicted by some pathetic CGI bombing, tanks and helicopters raids manifest how little we have progressed in movie making. Third grade young actors chosen here try to scare you with guns and a foreign accent. They fail terribly at it. Their acts were excruciatingly unpromising as they try to kick someone lethargically on the butt, shoot people to nail in absent fear, make advances at young girls, or occasionally stop people for intimidating enquiry. Amidst all the mayhem Akshay Kumar cries which somehow doesn't blend in with the unconvincing setup. Also, when he runs home to not discover his wife and child, whilst looking unperturbed by the snot lazily hanging from his nose (which seemed a very forceful shot by Menon BTW), really squeezed out acting from him, which pretty soon disappeared in its next impending frames. Menon tries to shoehorn drama in there which seemed more enacted to have ever reached a gut-wrenching point.What was however quite endearing to watch was how the movie unfurls into better horizons from there as the protagonist starts taking effective measures to get the job done. The way the story oscillates with the 'how' is the crux of the flick. It however also tries to milk a character called George, played by Prakash Belawadi, depictive of a head that doesn't work well with the mass. What it failed to cash on was its moniker. The fact that Air India flew over 488 air planes in a war-hit zone was humongous, but it was vaguely mentioned in a daft line by Akshay. True heroics get overshadowed right there.After watching this you will miss Neeraj Pandey big time, or even hope the likes of Anurag Kashyap, Dibakar Banerjee or even the newcomer Neeraj Ghaywan to have picked this up. Airlift failed to engage and rivet us. The music couldn't captivate us and there was hardly an adrenaline moment to keep our jaws wide open for long. To say that it even came close to the likes of Argo would be downright foolish.Alas! the damage has been done. What you have is mediocre served on your platter! What could have turned into something phenomenal ends up being an average Indian mainstream movie. It is quite unfortunate that the Indian mass loves this kind of stuff. I would call it nothing but an average crowd entertainer.Go with lesser expectations and you might enjoy it.",historical achievement enfeebled by poor film making airlift is mediocre period,yes we had great plot our baggage true story intended pan out biopic that could have turned heads made some noise about plight 170000 stuck indians warzone immaculate rescue operation that was so colossal that it lodged its name guinness book world records being one largest evacuations all times but what does menon do with it he changes facts people creates sheer fiction rules out details comes with hand woven shoddy script replace truth places his own fake characters enrich melodrama throws some songs there deliberately connect with indian audience enforces unrealistic patriotism emphasis squeezes pointless unwanted tantrums say least spoilers ahead movie begins by depicting lavish life protagonist whilst noisily pointing out how little katyal big fish kuwait business suburbs thought his homeland he had turned as suggested by brayed intentional laugh his friends more kuwaitian than kuwaitian himself these bits again seemed forced rather than appear natural so as benefit script chaos depicted by some pathetic cgi bombing tanks helicopters raids manifest how little we have progressed movie making third grade young actors chosen here try scare you with guns foreign accent they fail terribly at it their acts were excruciatingly unpromising as they try kick someone lethargically butt shoot people nail absent fear make advances at young girls or occasionally stop people intimidating enquiry amidst all mayhem akshay kumar cries which somehow doesnt blend with unconvincing setup also when he runs home not discover his wife child whilst looking unperturbed by snot lazily hanging his nose which seemed very forceful shot by menon btw really squeezed out acting him which pretty soon disappeared its next impending frames menon tries shoehorn drama there which seemed more enacted have ever reached gut wrenching point what was however quite endearing watch was how movie unfurls into better horizons there as protagonist starts taking effective measures get job done way story oscillates with how is crux flick it however also tries milk character called george played by prakash belawadi depictive head that doesnt work well with mass what it failed cash was its moniker fact that air india flew over 488 air planes war hit zone was humongous but it was vaguely mentioned daft line by akshay true heroics get overshadowed right there after watching this you will miss neeraj pandey big time or even hope likes anurag kashyap dibakar banerjee or even newcomer neeraj ghaywan have picked this up airlift failed engage rivet us music couldnt captivate us there was hardly adrenaline moment keep our jaws wide open long say that it even came close likes argo would be downright foolish alas damage has been done what you have is mediocre served your platter what could have turned into something phenomenal ends up being average indian mainstream movie it is quite unfortunate that indian mass loves this kind stuff i would call it nothing but average crowd entertainer go with lesser expectations you might enjoy it,0.5102849336455892,-0.041081186572989835,Negative,"{'Happy': 0.1, 'Angry': 0.04, 'Surprise': 0.27, 'Sad': 0.22, 'Fear': 0.37}"
10,Every Indian must watch Airlift for once.2016 starts with bang. Akshay kumar nailed the role....,"Airlift is the best film of Akshay kumar till date. The story is all about a business man in Kuwait(Akshay) thinks that he is also a Kuwaiti. But when Iraq invades Kuwait he realizes that he is an Indian and helped all 170000 Indian. This movie give u goosebumps there is no boring scene in the movie. A perfect movie for Rebublic day. This movie is perfect for classy movie lovers who love this type of patriotic movies. All the star cast of the movie done a fantastic job. This time Akshay will surely get an award for Airlift. ...... Go with yours friends, family and watch AIRLIFT in theaters. U guys surely fell proud to be an Indian after watching this movie.",every indian must watch airlift once 2016 starts with bang akshay kumar nailed role,airlift is best film akshay kumar till date story is all about business man kuwait akshay thinks that he is also kuwaiti but when iraq invades kuwait he realizes that he is indian helped all 170000 indian this movie give u goosebumps there is no boring scene movie perfect movie rebublic day this movie is perfect classy movie lovers who love this type patriotic movies all star cast movie done fantastic job this time akshay will surely get award airlift go with yours friends family watch airlift theaters u guys surely fell proud be indian after watching this movie,0.8477777777777777,0.63,Positive,"{'Happy': 0.25, 'Angry': 0.05, 'Surprise': 0.35, 'Sad': 0.15, 'Fear': 0.2}"
7,A good movie 4 an event to remember!,"Airlift is a movie about about how 1 lakh, 70 thousand Indians were safely moved out of war torn Kuwait in Year 1990. It is shown that one man named Ranjit Katyal (fictional character) was mainly responsible for safety of all this Indians in Kuwait. Ranjit could have fled to safety all alone but chooses to save life of other Indians First.Pros: It's a biography of an event which has its name even in Guiness book of world records, people must know about it, so a movie.. plus point there. One man centered story gives us a hero to praise for. Quality of a worthy leader is well portrayed.Cons: Historically inaccurate, but that's fine.Rating: 7.5/10.",good movie 4 event remember,airlift is movie about about how 1 lakh 70 thousand indians were safely moved out war torn kuwait year 1990 it is shown that one man named ranjit katyal fictional character was mainly responsible safety all this indians kuwait ranjit could have fled safety all alone but chooses save life other indians first pros its biography event which has its name even guiness book world records people must know about it so movie plus point there one man centered story gives us hero praise quality worthy leader is well portrayed cons historically inaccurate but thats fine rating 7 5 10,0.4564814814814816,0.25277777777777777,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.57}"
10,A must Watch Movie For every Indian and its doesn't matter u r Hindu or Muslim but if u are a real Indian and go and watch awesome movie,"Guys a must watch movie for all peoples we are always watching Hollywood movie and think they are awesome and if u want a Indian heroism story so go and watch airlift best performance by akshay and nimrat and other star cast ""Some stories *should* be told. #Airlift sheds light on the evacuation of Indians in Kuwait after the invasion by Iraq. Narrated BRILLIANTLY. #Airlift is taut, engrossing, leaves a hammer-strong impact. Raja Krishna Menon is a director to watch out for. Deserves brownie points. #Airlift is a must must watch. One of the finest films to come out of the Hindi film industry. Just do not miss this one",must watch movie every indian its doesnt matter u r hindu or muslim but if u are real indian go watch awesome movie,guys must watch movie all peoples we are always watching hollywood movie think they are awesome if u want indian heroism story so go watch airlift best performance by akshay nimrat other star cast some stories should be told sheds light evacuation indians kuwait after invasion by iraq narrated brilliantly is taut engrossing leaves hammer strong impact raja krishna menon is director watch out deserves brownie points is must must watch one finest films come out hindi film industry just do not miss this one,0.6787037037037037,0.6009259259259259,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.62, 'Sad': 0.19, 'Fear': 0.1}"
10,Airlift - Stays true to its name!!!,"It is one of those movies which will test your sensibilities and in the end will only make you stand up and clap.Just like an aircraft takes time to lift ,same is the case with Airlift.It takes time to build up in the first half but in the second it just flies and knocks you left right and center.Credit goes to Akshay Kumar who invested in the script.He brought the real patriotic Indian on screen.His performance was a total standout.It is a must watch for all those cynical and worthless Indians who do nothing but portray the essence of the nation in a bad light.Feeling really proud after watching this.Such movies really need to be encouraged!!!Vande Matram",airlift stays true its name,it is one those movies which will test your sensibilities end will only make you stand up clap just like aircraft takes time lift same is case with airlift it takes time build up first half but second it just flies knocks you left right center credit goes akshay kumar who invested script he brought real patriotic indian screen his performance was total standout it is must watch all those cynical worthless indians who do nothing but portray essence nation bad light feeling really proud after watching this such movies really need be encouraged vande matram,0.49596560846560844,0.006613756613756624,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.32, 'Sad': 0.23, 'Fear': 0.36}"
