Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Mani Ratnam Attempts An Urban Love Story,"With 'Alai Payuthey', Mani Ratnam comes back with an urban love story set in contemporary India. While he has used similar themes in his previous films such as 'Bombay', it was usually against the backdrop of another theme such as the case of political Hindu-Muslim dilemma in 'Bombay'. 'Alai Payuthey' solely focuses on Karthik and Shakti's love story and how it develops from before till after marriage. Ratnam's storytelling is sincere and even though one has witnessed such story numerous times in Indian cinema, 'Alai Payuthey' feels fresh. The chemistry between Madhavan and Shalini, the romantic moments, Karthik and Shakti's struggle post marriage, the guilt etc..all of it is well demonstrated. There are a few glitches here and there, like some of the petty fights between the newly weds seems a little too petty to be believable. A.R. Rehman's melodious soundtrack is mesmerizing but a few of the songs, especially the item number, could have better been left out. The two leads are outstanding but the 'Alai Payuthey' belongs to Madhavan. The actor really gets under the skin of the character. Shalini too is brilliant though at times she's a little over the top. The supporting cast is adequate. Overall, this is another winner for Mani Ratnam and I hope he comes back to making good films like he did before 'Yuva'.",mani ratnam attempts urban love story,with alai payuthey mani ratnam comes back with urban love story set contemporary india while he has used similar themes his previous films such as bombay it was usually against backdrop another theme such as case political hindu muslim dilemma bombay alai payuthey solely focuses karthik shaktis love story how it develops before till after marriage ratnams storytelling is sincere even though one has witnessed such story numerous times indian cinema alai payuthey feels fresh chemistry between madhavan shalini romantic moments karthik shaktis struggle post marriage guilt etc all it is well demonstrated there are few glitches here there like some petty fights between newly weds seems little too petty be believable r rehmans melodious soundtrack is mesmerizing but few songs especially item number could have better been left out two leads are outstanding but alai payuthey belongs madhavan actor really gets under skin character shalini too is brilliant though at times shes little over top supporting cast is adequate overall this is another winner mani ratnam i hope he comes back making good films like he did before yuva,0.39178951678951673,0.16472153972153972,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.2, 'Fear': 0.3}"
8.0,A great movie on human relations,"The story of Alaipayuthey may be simple(like any other love story)but the way it is shown,i think all the credit goes to the brilliant Mani Ratnam,A.R.Rahman and cinematographer P.C.Sreeram.Every frame has some meaning in this movie.This movie is not only technically good,but also has moral sense.The lead roles played by madhavan and shalini are very impressive.Every single person who acted in this movie have given their full skills.I personally liked every single scene in this movie.Songs given by A.R.Rahman is one of his best.I think this movie is one of the best in tamil cinema's history.A must see movie for all movie lovers.I'd recommend the DVD if you don't know the language.",great movie human relations,story alaipayuthey may be simple like any other love story but way it is shown i think all credit goes brilliant mani ratnam r rahman cinematographer p c sreeram every frame has some meaning this movie this movie is not only technically good but also has moral sense lead roles played by madhavan shalini are very impressive every single person who acted this movie have given their full skills i personally liked every single scene this movie songs given by r rahman is one his best i think this movie is one best tamil cinemas history must see movie all movie lovers id recommend dvd if you dont know language,0.5256696428571429,0.4113839285714286,Positive,"{'Happy': 0.26, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.05, 'Fear': 0.42}"
10.0,Simply superb!! Heart warming love story!,"I have NO words to describe HOW WELL this movie has been made. This movie rediscovers the beauty of LOVE, long after the success of DDLJ, when creativity started dwindling with more and more movies trying to replicate it rather than coming up with something altogether different or FRESH. We thought to ourselves, WILL WE EVER GET TO SEE A DECENT AND TOUCHING LOVE STORY??!!!! Mani Rathnam heard us and gave us `Alai Payudhe'.As we all know, Mani is the JACK-OF-ALL-TRADES and MASTER of none, but after watching this movie, we feel that is an UNDERSTATEMENT to praise such a talented Filmmaker who's always filled with new ideas. Hats off to him and his GREY CELLS, which come in use ever so often.It is the way in which he goes about telling the story which GLUES us to our seat and makes us LAUGH till we CRY. The treatment is what is important in a LOVE STORY and NOT the Cast or the Locales, which has been given MOST importance in Bollywood and nowadays, even Madrasi filmmakers are going the same way. Mani tries to prove all of them WRONG.Truly different, this movie has the Best of Mani's creativity, Rahman's music, P.C.Sreeram's cinematography (though it's a bit shaky in the climax), and SUPERB performances by the WHOLE cast. Well worth the money I spent on the VCD!!!Pros Award winning Direction, Music, Cinematography, Dialogues, First rate performances by the whole cast, simple storyline and Superb screenplay.Cons Few clichés, minor glitches in photography, tear jerking climax and the scantily clad Sophiya Haque song.",simply superb heart warming love story,i have no words describe how well this movie has been made this movie rediscovers beauty love long after success ddlj when creativity started dwindling with more more movies trying replicate it rather than coming up with something altogether different or fresh we thought ourselves will we ever get see decent touching love story mani rathnam heard us gave us alai payudhe as we all know mani is jack all trades master none but after watching this movie we feel that is understatement praise such talented filmmaker whos always filled with new ideas hats off him his grey cells which come use ever so often it is way which he goes about telling story which glues us our seat makes us laugh till we cry treatment is what is important love story not cast or locales which has been given most importance bollywood nowadays even madrasi filmmakers are going same way mani tries prove all them wrong truly different this movie has best manis creativity rahmans music p c sreerams cinematography though its bit shaky climax superb performances by whole cast well worth money i spent vcd pros award winning direction music cinematography dialogues first rate performances by whole cast simple storyline superb screenplay cons few clich s minor glitches photography tear jerking climax scantily clad sophiya haque song,0.5022812713602187,0.2834130781499203,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.19, 'Sad': 0.29, 'Fear': 0.31}"
9.0,A Love story that goes after Love..,"This is a repost. It is an urban love story. In Mani's own style. Not like usual love stories in which heroes will be diving over boards and bikes to fight against the will of (mostly) heroine's dad or some wicked uncle, this one goes some months after a love marriage and tries to look in the problems somewhat realistically. Basic elements of love story such as good songs, photography and interesting scenes are amply available. So it's a treat and fun to watch. I watched this movie between 15 to 50 times(max). The foremost reason being Shalini for whom I had got such a likening. It's unfortunate that she did not continue acting after her marriage. She gives a good performance with Madhavan(introduced in this film).AR Rahman's songs of this film are still standing melodies. The film was a huge hit in A and B centers in TamilNad, India. I even know certain instances of marriages following this film's logic. Heard somebody said this one was from an English movie and all. This one might have some influence but definitely not a copy. Another interesting thing to me in this film is the narration style. If the same story narrated in a linear mode then it would not have evoked the same emotions one would feel. Writer(director)'s choice was good. I bet at least 70% of Chennai city lovers would have watched this movie. Was such a popular one at that time. This is a well made, perfectly acted, scored, photographed and scored movie. But can not be a classic. My rating is a 7. Oh..+ 2(just for Shalini alone).Watch it to get your mind wavered with love(alai payuthey's literal meaning is '{my mind} is wavering').",love story that goes after love,this is repost it is urban love story manis own style not like usual love stories which heroes will be diving over boards bikes fight against will mostly heroines dad or some wicked uncle this one goes some months after love marriage tries look problems somewhat realistically basic elements love story such as good songs photography interesting scenes are amply available so its treat fun watch i watched this movie between 15 50 times max foremost reason being shalini whom i had got such likening its unfortunate that she did not continue acting after her marriage she gives good performance with madhavan introduced this film ar rahmans songs this film are still standing melodies film was huge hit b centers tamilnad india i even know certain instances marriages following this films logic heard somebody said this one was english movie all this one might have some influence but definitely not copy another interesting thing me this film is narration style if same story narrated linear mode then it would not have evoked same emotions one would feel writer director s choice was good i bet at least 70 chennai city lovers would have watched this movie was such popular one at that time this is well made perfectly acted scored photographed scored movie but can not be classic my rating is 7 oh 2 just shalini alone watch it get your mind wavered with love alai payutheys literal meaning is my mind is wavering,0.4767526455026456,0.26752645502645506,Positive,"{'Happy': 0.24, 'Angry': 0.13, 'Surprise': 0.22, 'Sad': 0.13, 'Fear': 0.29}"
10.0,Holds your attention to the end,"Many friends recommended this movie by Mani Ratnam. I had been impressed by the Hindi Dil Se (1998) by this director, so even though I don't know a word of Tamil, I rented the DVD since it has English subtitles.I was not disappointed! The dialogue is very natural, and you start to identify with the young couple and the people around them. The location shooting is also vintage Mani Ratnam.The DVD by Aingharan U.K. is superb---much better than most Indian DVDs, and comparable to the DVD of Dil Se by DEI. The colorful song sequences can be enjoyed by themselves.",holds your attention end,many friends recommended this movie by mani ratnam i had been impressed by hindi dil se 1998 by this director so even though i dont know word tamil i rented dvd since it has english subtitles i was not disappointed dialogue is very natural you start identify with young couple people around them location shooting is also vintage mani ratnam dvd by aingharan u k is superb much better than most indian dvds comparable dvd dil se by dei colorful song sequences can be enjoyed by themselves,0.5700000000000001,0.4459090909090909,Positive,"{'Happy': 0.5, 'Angry': 0.1, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.0}"
9.0,a poignant work,"At first sight this may seem like just another feel good film about love.But the core theme of this film is the complexities that lovers-turned-couples face.The chemistry between the film's lead pair is good.the hero steals your heart with his expressions right from his introductory song. the score is exceptional in the original version.But in the Hindi version the lyrics suffer proving that the music is complex.The lyrics deserve a special mention. especially when the lyricist tries to visualise the colour red through the legs of a new born baby and brings out the difference between marriage and love.Cinematography is the hallmark of this film. various parts of India such as Kashmir,kerala,chennai and goa are picturised beautifully in the song sequences.The maker has been successful in bringing the muted emotions to the fore.The film sends a subtle message that love before marriage is shortlived and more of illusion while the affection that blossoms after marriage is permanent and real.",poignant work,at first sight this may seem like just another feel good film about love but core theme this film is complexities that lovers turned couples face chemistry between films lead pair is good hero steals your heart with his expressions right his introductory song score is exceptional original version but hindi version lyrics suffer proving that music is complex lyrics deserve special mention especially when lyricist tries visualise colour red through legs new born baby brings out difference between marriage love cinematography is hallmark this film various parts india such as kashmir kerala chennai goa are picturised beautifully song sequences maker has been successful bringing muted emotions fore film sends subtle message that love before marriage is shortlived more illusion while affection that blossoms after marriage is permanent real,0.5736965932618107,0.28424148315452663,Positive,"{'Happy': 0.19, 'Angry': 0.1, 'Surprise': 0.16, 'Sad': 0.26, 'Fear': 0.29}"
10.0,Another Heart Soothing Movie ...,"Mani Ratnam has once again created a movie par excellence. A movie with a romantic touch takes you through a romantic journey in which you are glued to your seat on account of the excellent cinematography...A.R.Rehman's ear soothing numbers add color to the movie..Pleasing choreography and camera work for the song ""Pachai Niramae"" is a treat for eyes...Unique editing adds to the success of the movie..Overall a movie that any movie buff does not want to miss... Mani continues to mesmerize people with his simple telling techniques.. Creativity added with good script has been always been Mani Ratnam's trademark.. ""Roja"",""Nayagan"",""Thalapathi"" and now ""Alai Payuthey"" speak why Mani Ratnam is one of the best directors' India has ever seen...",another heart soothing movie,mani ratnam has once again created movie par excellence movie with romantic touch takes you through romantic journey which you are glued your seat account excellent cinematography r rehmans ear soothing numbers add color movie pleasing choreography camera work song pachai niramae is treat eyes unique editing adds success movie overall movie that any movie buff does not want miss mani continues mesmerize people with his simple telling techniques creativity added with good script has been always been mani ratnams trademark roja nayagan thalapathi now alai payuthey speak why mani ratnam is one best directors india has ever seen,0.473015873015873,0.375,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.24, 'Sad': 0.38, 'Fear': 0.21}"
,"Aside from being longer than it can sustain, this is an enjoyable genre film with higher than normal production values","Karthik goes to meet his wife at the train station but finds that she hasn't turned up. He begins a frantic search for her and we assume that they must be a great couple. However the film flashbacks to their first meeting, courting, conflict over being different classes, their secret wedding and the reality of day to day marriage.I'm not a big fan of this genre but will always give them a stab just to be fair and not prejudge the genre. This film is, as almost all of them are, overlong by about 30 minutes, but it still worked quite well. The plot is a different type of love story and can be quite moving at times, it isn't afraid to show the reality of married life and how things do change as the type of love changes. I found it quite hard to watch because it resembled my own life in some ways but it was moving without the parallels.The songs are actually pretty good and, for the first time for me, actually sound different across the film as a whole. There is one artificial dance number (the beach party) but the others, even if they have dancing, seem less work and fit into the film. Technically, the sound quality is good and doesn't sound totally different during the songs. Also the cinematography is great apart from a few ill judged slow motion moments towards the conclusion.The two leads are quite good. They can do the usual genre stuff of falling into romantic love, but they also really perform in the marriage and make it feel like a real couple battling it out and being insensitive to each other daily.Overall this is not a great film mainly because it is a little flabby and overlong  didn't it have editors? I can only assume that they are worried of not giving value for money  but quality is always better than quantity in these matters. The songs are good (first time I've said that in a review of this genre) and the plot is quite moving at times.",aside being longer than it can sustain this is enjoyable genre film with higher than normal production values,karthik goes meet his wife at train station but finds that she hasnt turned up he begins frantic search her we assume that they must be great couple however film flashbacks their first meeting courting conflict over being different classes their secret wedding reality day day marriage im not big fan this genre but will always give them stab just be fair not prejudge genre this film is as almost all them are overlong by about 30 minutes but it still worked quite well plot is different type love story can be quite moving at times it isnt afraid show reality married life how things do change as type love changes i found it quite hard watch because it resembled my own life some ways but it was moving without parallels songs are actually pretty good first time me actually sound different across film as whole there is one artificial dance number beach party but others even if they have dancing seem less work fit into film technically sound quality is good doesnt sound totally different during songs also cinematography is great apart few ill judged slow motion moments towards conclusion two leads are quite good they can do usual genre stuff falling into romantic love but they also really perform marriage make it feel like real couple battling it out being insensitive each other daily overall this is not great film mainly because it is little flabby overlong didnt it have editors i can only assume that they are worried not giving value money but quality is always better than quantity these matters songs are good first time ive said that review this genre plot is quite moving at times,0.520748299319728,0.16726190476190483,Positive,"{'Happy': 0.28, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.14, 'Fear': 0.29}"
8.0,This is Love in India,"Most Indian movies that you see are mostly belong to this category.1) Boy sees a girl . 2) Boy falls in love but the girl rejects. 3) Then the girl realizes that she also like the boy so they start loving. 4)Fortunately or unfortunately there is an enemy which doesn't let them to unite. 5) After all the hurdles they get married and the end.But this movie doesn't just end after the marriage , it shows the problem in marriages and what true love really is.Also watch this movie for great song picturisation.Super hit movie with super hit songs.",this is love india,most indian movies that you see are mostly belong this category 1 boy sees girl 2 boy falls love but girl rejects 3 then girl realizes that she also like boy so they start loving 4 fortunately or unfortunately there is enemy which doesnt let them unite 5 after all hurdles they get married end but this movie doesnt just end after marriage it shows problem marriages what true love really is also watch this movie great song picturisation super hit movie with super hit songs,0.6102564102564103,0.3743589743589743,Positive,"{'Happy': 0.41, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.06}"
9.0,Classic!,"Alai Payuthey is a 2000 Tamil romantic drama film directed by Mani Ratnam which stars Madhavan Ranganathan and Shalini Ajith in the lead roles while Swarnamalya, Aravind Swamy, Kushboo Sundar, Jeyasudha Kapoor, Ravi Prakash, V. Nadharajan, Venu Aravinth, Vivek and Karthik Kumar play other pivotal roles. The cinematography was handled by P.C. Sriram while A. Sreekar Prasad did the editing. Farah Khan who had earlier worked with Mani Ratmam in Iruvar was signed up to do the choreography. The film carries a popular soundtrack which was composed by the Academy Award winning composer A.R Rahman and the lyrics were written by ''Kaviperarasu'' Vairamuthu. The late G. Srinivasan who was Mani Ratnam's elder brother produced the film.The film revolves the story of a troubled couple who fell in love and got married against their parent's wish. Karthik (Madhavan Ranganathan) and Shakthi (Shalini Ajith) are two young individuals from different class of family. Karthik, a computer engineering graduate, is son of a famous criminal lawyer named Varadharajan (V. Nadharajan) while Shakthi, a medical student, is daughter of a railways employee named Selvaraaj (Ravi Prakash). They both meet for the first time at a wedding and later begin to meet on suburban trains frequently. They both fall in love, but Shakthi denies to get married to him without her parent's consent. Karthik's parents meet Shakthi's parents and ask for their consent to a marriage between Karthik and Shakthi, but eventually disagree because of misunderstandings and cancel the wedding plans. Shakthi breaks up with Karthik and decides to move on.Shakthi later goes to a medical camp in another city and Karthik decides to go after her. While Shakthi is at the medical camp and Karthik is traveling to find her, they both realize that they miss each other so much that they can not live without each other. When Karthik arrives the medical camp, Shakthi hugs him and asks him to marry her. They both get secretly married at a temple and begin to live with their parents. One day when Raghu (Venu Aravinth) and his family come to ask Shakthi's parents to a marriage between him and Shakthi's elder sister Poorni (Swarnamalya), his father asks Selvaraaj for his consent to a marriage between Shakthi and his younger son (Karthik Kumar) as well. Shakthi denies and tells the truth that she is already married to Karthik. Both Shakthi and Karthik get kicked out of their house and they move together to an apartment and begin to live their married life.After several months Shakthi meets her mother (Jeyasudha Kapoor) and Poorni on a suburban train. She gets to know that her father is about to die. She asks Karthik to come with her to go and visit her sick father, but Karthik denies because her father slapped him before. Shakthi then decides to not go to a house where people do not respect Karthik, but Karthik changes his mind and they both decide to go and visit her father the next day. The next day they get to know that Selvaraaj is dead. Her mother gets angry, tells Shakthi to get out of the house and the relationship between the two young lovers begins to walk on the edge. Misunderstandings gradually turn out to be suspicions and the silence begins to speak.The couple stop talking, but Karthik re-arranges the wedding plans for Poorni and Raghu to win back Shakthi's heart. One day when Shakthi gets to know that Poorni and Raghu are going to get married and that Karthik was behind everything, she decides to go to Karthik's office to meet him and ask for apology. On the way to Karthik's office Shakthi gets into an accident and is taken to the hospital. Shakthi is admitted at the hospital and fights for her life while in Karthik's mind Shakthi is missing. He has no clue about where she is. How Karthik finds Shakthi forms the crux of the story.Madhavan Ranganathan (credited as R. Madhavan in films) made his debut as a big screen actor with this movie and quickly got everybody's attention because of his acting skills and his look. Both him and Shalini were faithful to their roles and they had a beautiful chemistry throughout the film. The film had great visuals and colorful locations which not only made the couple to look beautiful, but the whole movie beautiful. It did not surprise me that the film carries a popular soundtrack. With A.R Rahman's music and ''Kaviperarasu'' Vairamuthu's lines you can be 100% sure and say that the soundtrack will definitely be a hit and this soundtrack did not fail to win everybody's heart. It is still popular all over the world. Songs like ''Endrendrum Punnagai'', ''Pachai Nirame'' and ''Snegithane'' have turned out to be nowadays youngster's favorite songs when it comes to Tamil Cinema Music. If you ask for my opinion I would say that this album is the finest work by both A.R Rahman and Vairamuthu.Like Mani Ratnam's earlier films this film does not have focus on politics, terrorism and today's society. This film explores a marriage life and learns the audience about how important the word ''sacrificing'' is when it comes to marriage. I am sure that every married couple who love their life-partner from the bottom of their heart will enjoy this film and learn the meaning of true love. Alai Payuthey will definitely be one of the best romantic drama films in Tamil Cinema's history for the next 20-30 years. According to me this is the finest work by Mani Ratnam till date.Verdict: Alai Payuthey... A treat of love!",classic,alai payuthey is 2000 tamil romantic drama film directed by mani ratnam which stars madhavan ranganathan shalini ajith lead roles while swarnamalya aravind swamy kushboo sundar jeyasudha kapoor ravi prakash v nadharajan venu aravinth vivek karthik kumar play other pivotal roles cinematography was handled by p c sriram while sreekar prasad did editing farah khan who had earlier worked with mani ratmam iruvar was signed up do choreography film carries popular soundtrack which was composed by academy award winning composer r rahman lyrics were written by kaviperarasu vairamuthu late g srinivasan who was mani ratnams elder brother produced film film revolves story troubled couple who fell love got married against their parents wish karthik madhavan ranganathan shakthi shalini ajith are two young individuals different class family karthik computer engineering graduate is son famous criminal lawyer named varadharajan v nadharajan while shakthi medical student is daughter railways employee named selvaraaj ravi prakash they both meet first time at wedding later begin meet suburban trains frequently they both fall love but shakthi denies get married him without her parents consent karthiks parents meet shakthis parents ask their consent marriage between karthik shakthi but eventually disagree because misunderstandings cancel wedding plans shakthi breaks up with karthik decides move shakthi later goes medical camp another city karthik decides go after her while shakthi is at medical camp karthik is traveling find her they both realize that they miss each other so much that they can not live without each other when karthik arrives medical camp shakthi hugs him asks him marry her they both get secretly married at temple begin live with their parents one day when raghu venu aravinth his family come ask shakthis parents marriage between him shakthis elder sister poorni swarnamalya his father asks selvaraaj his consent marriage between shakthi his younger son karthik kumar as well shakthi denies tells truth that she is already married karthik both shakthi karthik get kicked out their house they move together apartment begin live their married life after several months shakthi meets her mother jeyasudha kapoor poorni suburban train she gets know that her father is about die she asks karthik come with her go visit her sick father but karthik denies because her father slapped him before shakthi then decides not go house where people do not respect karthik but karthik changes his mind they both decide go visit her father next day next day they get know that selvaraaj is dead her mother gets angry tells shakthi get out house relationship between two young lovers begins walk edge misunderstandings gradually turn out be suspicions silence begins speak couple stop talking but karthik re arranges wedding plans poorni raghu win back shakthis heart one day when shakthi gets know that poorni raghu are going get married that karthik was behind everything she decides go karthiks office meet him ask apology way karthiks office shakthi gets into accident is taken hospital shakthi is admitted at hospital fights her life while karthiks mind shakthi is missing he has no clue about where she is how karthik finds shakthi forms crux story madhavan ranganathan credited as r madhavan films made his debut as big screen actor with this movie quickly got everybodys attention because his acting skills his look both him shalini were faithful their roles they had beautiful chemistry throughout film film had great visuals colorful locations which not only made couple look beautiful but whole movie beautiful it did not surprise me that film carries popular soundtrack with r rahmans music kaviperarasu vairamuthus lines you can be 100 sure say that soundtrack will definitely be hit this soundtrack did not fail win everybodys heart it is still popular all over world songs like endrendrum punnagai pachai nirame snegithane have turned out be nowadays youngsters favorite songs when it comes tamil cinema music if you ask my opinion i would say that this album is finest work by both r rahman vairamuthu like mani ratnams earlier films this film does not have focus politics terrorism todays society this film explores marriage life learns audience about how important word sacrificing is when it comes marriage i am sure that every married couple who love their life partner bottom their heart will enjoy this film learn meaning true love alai payuthey will definitely be one best romantic drama films tamil cinemas history next 20 30 years according me this is finest work by mani ratnam till date verdict alai payuthey treat love,0.4513914004420333,0.18690202202860431,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.2, 'Fear': 0.42}"
