Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,"God awful camera work. Ok acting, trash story riddled with errors.","Once you get through the entry setup it quickly jumps right into the bank heist. The are portrayed as clueless, yet the Boss Jake has loads of expensive toys from his successful robbing career.The robbery is super simple, and it's over in 10 mins. The rest of the movie, the remaining 2 hours, is the chase. Each bag has 8Mil in 100s, which weighs 176 pounds. Both actors carry them around like they are empty. The constant erratic unstable camera work will give you a head ache, needless and annoying.Tons of character issues. The female paramedic fleeing the ambulance with a person in critical condition. Armed gunman refuse to leave an ambulance and stays in an emergency vehicle. Lead investigator is gay and in marriage counseling at the time he gets a call. Lead cop calls off a 15 car police chase cause his dog is in one of the cars?? Wtf. Jake is making calls and arguing about party favors.And of course it has to get even more outrageous. Lets try open chest surgery in the back of a moving ambulance rocking down the highway. More unnecessary shaky camera work. Phone battery dies.So the same hero EMT who flees, jumps into the line of fire to prevent the group from being shot. Just so many terrible character decisions. Two brothers get into a front seat fight while driving. Ugh. Let's spray paint an EMT vehicle to disguise it.The entire movie is based on the fear of shooting/killing a cop, then an entire attack is designed to kill cops. Unreal. Ending is just unappealing as they come. Directed by Michael Bay, one of his worst.",god awful camera work ok acting trash story riddled with errors,once you get through entry setup it quickly jumps right into bank heist are portrayed as clueless yet boss jake has loads expensive toys his successful robbing career robbery is super simple its over 10 mins rest movie remaining 2 hours is chase each bag has 8mil 100s which weighs 176 pounds both actors carry them around like they are empty constant erratic unstable camera work will give you head ache needless annoying tons character issues female paramedic fleeing ambulance with person critical condition armed gunman refuse leave ambulance stays emergency vehicle lead investigator is gay marriage counseling at time he gets call lead cop calls off 15 car police chase cause his dog is one cars wtf jake is making calls arguing about party favors course it has get even more outrageous lets try open chest surgery back moving ambulance rocking down highway more unnecessary shaky camera work phone battery dies so same hero emt who flees jumps into line fire prevent group being shot just so many terrible character decisions two brothers get into front seat fight while driving ugh lets spray paint emt vehicle disguise it entire movie is based fear shooting killing cop then entire attack is designed kill cops unreal ending is just unappealing as they come directed by michael bay one his worst,0.5955233134920636,-0.11155753968253969,Negative,"{'Happy': 0.03, 'Angry': 0.05, 'Surprise': 0.17, 'Sad': 0.3, 'Fear': 0.45}"
1.0,I NEEDED AN AMBULANCE AFTER THIS,"Michael Bay has made more rubbish films than good. The studios should stop giving him ridiculous budgets because he's just gonna spend it on smashing up as many vehicles as the budget will allow, regardless of trying to entertain the audience with anything resembling a decent film.All 3 of us hated it.1/10.",i needed ambulance after this,michael bay has made more rubbish films than good studios should stop giving him ridiculous budgets because hes just gonna spend it smashing up as many vehicles as budget will allow regardless trying entertain audience with anything resembling decent film all 3 us hated it 1 10,0.6611111111111111,0.10555555555555557,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.2}"
1.0,stoopid!,"This is the dumbest film i have ever seen. If you don't believe me, plunk down your money and see for yourself. The fascinating thing is that you stick around just to see what stupid thing happens next. The real problem is jake. He's just not the bad guy type. How many cop cars does it take to stop an ambulance? A lot more than you think.",stoopid,this is dumbest film i have ever seen if you dont believe me plunk down your money see yourself fascinating thing is that you stick around just see what stupid thing happens next real problem is jake hes just not bad guy type how many cop cars does it take stop ambulance lot more than you think,0.5131944444444445,0.16180555555555554,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.3}"
1.0,Michael Bay-master of crapola,"The only director that can have a thousand insane things happening on screen at the same time and still the movie is boring and dull, story is stupid and plot is nonsensical and probably the worst melodramatic music ever.Another Bay another dud.",michael bay master crapola,only director that can have thousand insane things happening screen at same time still movie is boring dull story is stupid plot is nonsensical probably worst melodramatic music ever another bay another dud,0.8035714285714286,-0.5845238095238096,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.38, 'Fear': 0.12}"
3.0,"Dumb, dumber, and even more dumber!","Dumb, dumber, and even more dumber! Ambulance is one those thrill rides you watch for the thrill for the first time. Years latter or the second time you watch Ambulance and says this is so stupid. Ambulance is a mix of the movie Heat and Speed all in one. There is the Woke characters, and the brothers from different mothers theme which is shows Hollywood is dying from running out of ideas. There is a bank robbery turned into a Ambulance jack. With chases with Ambulance surgery done online by an E M T. After that a drug cartel workout with a plan of several Ambulance as an escape plan. This over top attempts tires to over come flat characters from the usual Hollywood stereotypes. Drug cartels guys, tough E M T women, the army vet black guy trying help his family, which has the same old just done over and over in so many different ways. In spite of this a thrill ride which is fun to watch for first time, Ambulance is a desperate attempt to re do another Lethal Weapon, Taken, and Die Hard type movie. So over the top it's different, but the usual flat characters mixed with little story makes this a B movie. 3 stars.",dumb dumber even more dumber,dumb dumber even more dumber ambulance is one those thrill rides you watch thrill first time years latter or second time you watch ambulance says this is so stupid ambulance is mix movie heat speed all one there is woke characters brothers different mothers theme which is shows hollywood is dying running out ideas there is bank robbery turned into ambulance jack with chases with ambulance surgery done online by e m t after that drug cartel workout with plan several ambulance as escape plan this over top attempts tires over come flat characters usual hollywood stereotypes drug cartels guys tough e m t women army vet black guy trying help his family which has same old just done over over so many different ways spite this thrill ride which is fun watch first time ambulance is desperate attempt re do another lethal weapon taken die hard type movie so over top its different but usual flat characters mixed with little story makes this b movie 3 stars,0.4068965517241379,-0.011542145593869724,Negative,"{'Happy': 0.03, 'Angry': 0.03, 'Surprise': 0.5, 'Sad': 0.19, 'Fear': 0.25}"
,More Exhausting Than Exhilarating,"Stylishly directed, jam-packed with chases and keeping the fun aspect alive for the most part if not all the way, Ambulance moves into top gear relatively quick and never takes the foot off the pedal once it gets going but the road it takes to reach its destination ends up being longer than what the gas in the tank can handle, thus resulting in a ride that's running on fumes way before the end is in sight.Directed by Michael Bay, the premise is simple, setup is quick & thrills are endless even if much of the narrative elements seem underdeveloped. Bay utilises his usual unabashed over-the-top approach that provide his standard blockbuster fares an explosive, extravagant flavour and he amplifies the nonstop action some more with kinetic camerawork, chaotic vibe, frenetic editing and wicked character interplay.The energy & passion is evident in execution and the use of drones to film the chase sequences is undoubtedly inspiring but this would've been an even better action-thriller if it was trimmed to a tight & tense 90 mins ride. Jake Gyllenhaal, Yahya Abdul-Mateen II & Eiza González remain in sync with the craziness on display. And while the interest & momentum isn't lost, one does start to feel its 136 mins runtime in the remaining half.Overall, Ambulance is amusing, entertaining & preposterous in all the ways a Michael Bay film is expected to be but it is also a whole lot of fast fun & furious frivolity that manages to get plenty of mileage out of its barebone premise. The lack of restraint isn't an issue since it is one of the fine qualities of a Bayhem production but its overlong length does leave you feeling more exhausted than exhilarated in the end. In short, a gleeful & enjoyable delight.",more exhausting than exhilarating,stylishly directed jam packed with chases keeping fun aspect alive most part if not all way ambulance moves into top gear relatively quick never takes foot off pedal once it gets going but road it takes reach its destination ends up being longer than what gas tank can handle thus resulting ride thats running fumes way before end is sight directed by michael bay premise is simple setup is quick thrills are endless even if much narrative elements seem underdeveloped bay utilises his usual unabashed over top approach that provide his standard blockbuster fares explosive extravagant flavour he amplifies nonstop action some more with kinetic camerawork chaotic vibe frenetic editing wicked character interplay energy passion is evident execution use drones film chase sequences is undoubtedly inspiring but this wouldve been even better action thriller if it was trimmed tight tense 90 mins ride jake gyllenhaal yahya abdul mateen ii eiza gonz lez remain sync with craziness display while interest momentum isnt lost one does start feel its 136 mins runtime remaining half overall ambulance is amusing entertaining preposterous all ways michael bay film is expected be but it is also whole lot fast fun furious frivolity that manages get plenty mileage out its barebone premise lack restraint isnt issue since it is one fine qualities bayhem production but its overlong length does leave you feeling more exhausted than exhilarated end short gleeful enjoyable delight,0.4556628056628056,0.20756113256113257,Positive,"{'Happy': 0.27, 'Angry': 0.15, 'Surprise': 0.22, 'Sad': 0.07, 'Fear': 0.29}"
1.0,"Should come with a warning, horrendous camera work.","I lasted for 60 minutes.This film was literally like being on a rollercoaster. I've never witnessed such horrendous filming. Impossible to follow due to constant and unrelenting sweeping and changing angles. I didn't know what was happening. I felt SO sick I had to leave.There was zero story within the first 60 minutes before I left.Vue kindly gave me a refund.Avoid at all costs.Who makes these films? There were two people in the theatre so this will bomb, as it deserves to.",should come with warning horrendous camera work,i lasted 60 minutes this film was literally like being rollercoaster ive never witnessed such horrendous filming impossible follow due constant unrelenting sweeping changing angles i didnt know what was happening i felt so sick i had leave there was zero story within first 60 minutes before i left vue kindly gave me refund avoid at all costs who makes these films there were two people theatre so this will bomb as it deserves,0.5373511904761905,-0.08199404761904762,Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.33}"
4.0,Crazy Action Flick with Uneven Pacing,"Lately, Jake Gyllenhaal had been tackling very high-strung excitable characters, like supervillain Mysterio in ""Spider-Man: Far from Home"" (2019) and the troubled 911 operator in ""The Guilty"" (2021). His character Danny Sharp here was really a scary, crazy guy who simply snapped as things did not go his way on this particular day, when his perfectly-laid plans miscarried and was unraveling in the worst possible way.Yahya Abdul-Mateen II turned heads as the charismatic Black Panther head Bobby Seale in ""The Trial of the Chicago 7"" (2020). His William Sharp is a considerably more vulnerable character -- a man driven to crime by sheer desperation. In her biggest role since her breakthrough in ""Baby Driver"" (2017), Eiza Gonzalez's fearless EMT Cam is quite attention-getting, especially for her ""successful"" surgery using her hair clip as a vascular clamp.This remake of a 2005 Danish film was one big, over-the-top, exaggerated hyperbole, a Bay trademark. To add more chaos, he made sure that the ambulance had fruits or flowers or dresses to hit and scatter around. The camera was in constant dizzying motion, coming in and out from various angles. Running at a hefty 136 minutes, the whole thing felt bloated and can actually be tiresome to watch with all the medical absurdities and manic energy it had.",crazy action flick with uneven pacing,lately jake gyllenhaal had been tackling very high strung excitable characters like supervillain mysterio spider man far home 2019 troubled 911 operator guilty 2021 his character danny sharp here was really scary crazy guy who simply snapped as things did not go his way this particular day when his perfectly laid plans miscarried was unraveling worst possible way yahya abdul mateen ii turned heads as charismatic black panther head bobby seale trial chicago 7 2020 his william sharp is considerably more vulnerable character man driven crime by sheer desperation her biggest role since her breakthrough baby driver 2017 eiza gonzalezs fearless emt cam is quite attention getting especially her successful surgery using her hair clip as vascular clamp this remake 2005 danish film was one big over top exaggerated hyperbole bay trademark add more chaos he made sure that ambulance had fruits or flowers or dresses hit scatter around camera was constant dizzying motion coming out various angles running at hefty 136 minutes whole thing felt bloated can actually be tiresome watch with all medical absurdities manic energy it had,0.6749421101774042,-0.032117647058823535,Negative,"{'Happy': 0.05, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.2, 'Fear': 0.41}"
1.0,Lame.,"No idea why the talented Jake Gyllenhaal would want to be in this mess of a movie. Cardboard cutout characters who utter painfully stupid dialogue in an underdeveloped plot. Its attempt to pay homage to paramedics, police officers, and surgeons is obvious and eye roll worthy. The most laughable scene is an operation being performed in the back of the ambulance while FaceTiming with a surgeon who is on a golf course and he's walking them through it. No wait - maybe its the paramedic using her hair clip to clamp a squirting artery. Not kidding. It's THAT bad!",lame,no idea why talented jake gyllenhaal would want be this mess movie cardboard cutout characters who utter painfully stupid dialogue underdeveloped plot its attempt pay homage paramedics police officers surgeons is obvious eye roll worthy most laughable scene is operation being performed back ambulance while facetiming with surgeon who is golf course hes walking them through it no wait maybe its paramedic using her hair clip clamp squirting artery not kidding its that bad,0.6810606060606061,-0.10378787878787876,Negative,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.33}"
2.0,"Unsure Which is Shakier, the Cam or the Script",What should be a fun action flick becomes literally unwatchable as the overuse of shaky cam causes even more headaches and eye rolls than a plot with holes big enough to drive an ambulance through.,unsure which is shakier cam or script,what should be fun action flick becomes literally unwatchable as overuse shaky cam causes even more headaches eye rolls than plot with holes big enough drive ambulance through,0.3166666666666667,0.09444444444444444,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.71}"
3.0,More garbage from Bay,I made it 20 minutes and turned this hunk of crap off. This director needs to go away and retire. His movies have been garbage since like 2000. Do yourself a favor and skip this.,more garbage bay,i made it 20 minutes turned this hunk crap off this director needs go away retire his movies have been garbage since like 2000 do yourself favor skip this,0.65,-0.15000000000000002,Negative,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.0}"
3.0,Bad is an understatement.,"You can see they had a budget for this movie, with big action scenes that must have cost a lot, but that's not a guarantee for success. Quite the opposite I would say, as Ambulance started okay to quickly lose every credibility it might have had. The story is full of holes or scenes that just don't make much sense. Whomever wrote this plot, these dialogues, should just stop immediately with that and find himself another job. I heard McDonalds is hiring so maybe that's an option for him. Michael Bay should just quit movie making, it's just awful what he does with that much money. I normally do like Jake Gyllenhaal but this must be the worst movie he ever appeared in. The cast wasn't bad but with a script like that it's just impossible to do something good. The more the story went on the lesser stars I was going to rate it. Three stars is actually still too much, but considering the cast I'll leave it at that. In short, Ambulance looks like a high budget movie but feels like a very low budget movie. The only really good thing about this movie is when the end credits appeared. Finally I could start forgetting everything about this monstrosity.",bad is understatement,you can see they had budget this movie with big action scenes that must have cost lot but thats not guarantee success quite opposite i would say as ambulance started okay quickly lose every credibility it might have had story is full holes or scenes that just dont make much sense whomever wrote this plot these dialogues should just stop immediately with that find himself another job i heard mcdonalds is hiring so maybe thats option him michael bay should just quit movie making its just awful what he does with that much money i normally do like jake gyllenhaal but this must be worst movie he ever appeared cast wasnt bad but with script like that its just impossible do something good more story went lesser stars i was going rate it three stars is actually still too much but considering cast ill leave it at that short ambulance looks like high budget movie but feels like very low budget movie only really good thing about this movie is when end credits appeared finally i could start forgetting everything about this monstrosity,0.5134567901234568,-0.006419753086419749,Negative,"{'Happy': 0.06, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.44, 'Fear': 0.25}"
4.0,A hilarious bloodbath in a Bay's nightmare world,"Warning: this film can seriously damage your brain.The beginning of the film was ok and showed no red flags.Then grown men started talking like saucy 15-year-olds, and I got that feeling...like I've heard this before. Checked the director - Bay.Bingo.Then everything made perfect sense. Thirty-minute-long actions scenes with insane camera work - check. Surreal decision-making in a world that operates in Grand Theft Auto V logic - check. Blatant mockery of politically relevant topics - check.I can enjoy a Bay film, I love the Rock, and it's very similar. But this one is of complete insanity. It's so incredibly over the top you can't even see the top from here.And then Bay tries to do drama, and of course, it's excruciating.There's no reason to try to understand the story since it exists only in this nightmare world where everyone is aggressive, careless, stupid, and has no regard for their or others' lives.Pros: some decent action scenes and excellent acting by Gyllenhaal.Cons: it's a nightmare.Overall, it's a solid live adaptation of a GTA V five-star car chase but with no tanks.",hilarious bloodbath bays nightmare world,warning this film can seriously damage your brain beginning film was ok showed no red flags then grown men started talking like saucy 15 year olds i got that feeling like ive heard this before checked director bay bingo then everything made perfect sense thirty minute long actions scenes with insane camera work check surreal decision making world that operates grand theft auto v logic check blatant mockery politically relevant topics check i can enjoy bay film i love rock its very similar but this one is complete insanity its so incredibly over top you cant even see top here then bay tries do drama course its excruciating theres no reason try understand story since it exists only this nightmare world where everyone is aggressive careless stupid has no regard their or others lives pros some decent action scenes excellent acting by gyllenhaal cons its nightmare overall its solid live adaptation gta v five star car chase but with no tanks,0.6052873563218392,0.14378265412748173,Positive,"{'Happy': 0.19, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.34}"
1.0,So bad its...,"...just bad. I was laughing my ass off at the movie for roughly the first half. It was just so ridiculous. Then it started taking itself too seriously, characters got killed off or forgotten about. It was just a mess.You don't think that you'd ever say that Michael bay is losing it, you know, because he never really had it to begin with. But man, it just stopped being funny even to laugh at and I started thinking that Mr. Bay might have a brain tumor or something.I hope all is well with you Mr. Bay.",so bad its,just bad i was laughing my ass off at movie roughly first half it was just so ridiculous then it started taking itself too seriously characters got killed off or forgotten about it was just mess you dont think that youd ever say that michael bay is losing it you know because he never really had it begin with but man it just stopped being funny even laugh at i started thinking that mr bay might have brain tumor or something i hope all is well with you mr bay,0.4522727272727272,-0.17348484848484846,Negative,"{'Happy': 0.0, 'Angry': 0.18, 'Surprise': 0.53, 'Sad': 0.18, 'Fear': 0.12}"
1.0,Speed 3,Massive waste of resources both mechanical and human. Absurd and unbelievable concept. Interactive insanity between the main characters. The real shocker is that it's more than 2 hours of madness and a Michael Bay movie.,speed 3,massive waste resources both mechanical human absurd unbelievable concept interactive insanity between main characters real shocker is that its more than 2 hours madness michael bay movie,0.5291666666666667,-0.010416666666666657,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
