Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One of the most powerful movies I have ever seen.,"I was expecting a kind of a moralistic movie with an overly present, almost preaching like message. The movie however turned out to be extremely powerful mainly due to the professionalism it was made with.The movie its story is told 'beautifuly' in black & white and color. The quite original directing from Tony Kaye gives the movie a nice visual style and certain atmosphere. The story itself isn't that complicated or extremely original on its own and perhaps at most points even predictable but the way the story is told is phenomenal. This is not a movie with an happy ending or a movie that provides a solution to the racial discrimination problems. It shows what is NOT the solution to the problems and that everything that is occurring is like a vicious circle. The movie does not give a hopeful message but instead shows the dangers and pain you're causing to yourself and your close environment when you're thinking as a white supremacist.As an anti Neo-Nazi movie this movie works really powerful. I think that its a really good and important thing that this movie is often shown in classrooms.Edward Norton is truly fantastic in his role. He is very well believable as a Neo-Nazi as well as the reformed person he later turns into in the movie. It's almost like he's playing 2 different characters and he does that so extremely well. Also really good was Edward Furlong who we all long had not seen in a big production. Furlong and Norton are both acting well together in their scene's are highly believable as two brothers.Also surprising good was the musical score by Anne Dudley who had already won an Oscar for ""The Full Monty"", the year before.This was a movie that surprisingly impressed me. As a movie its extremely powerful and important.10/10http://bobafett1138.blogspot.com/",one most powerful movies i have ever seen,i was expecting kind moralistic movie with overly present almost preaching like message movie however turned out be extremely powerful mainly due professionalism it was made with movie its story is told beautifuly black white color quite original directing tony kaye gives movie nice visual style certain atmosphere story itself isnt that complicated or extremely original its own perhaps at most points even predictable but way story is told is phenomenal this is not movie with happy ending or movie that provides solution racial discrimination problems it shows what is not solution problems that everything that is occurring is like vicious circle movie does not give hopeful message but instead shows dangers pain youre causing yourself your close environment when youre thinking as white supremacist as anti neo nazi movie this movie works really powerful i think that its really good important thing that this movie is often shown classrooms edward norton is truly fantastic his role he is very well believable as neo nazi as well as reformed person he later turns into movie its almost like hes playing 2 different characters he does that so extremely well also really good was edward furlong who we all long had not seen big production furlong norton are both acting well together their scenes are highly believable as two brothers also surprising good was musical score by anne dudley who had already won oscar full monty year before this was movie that surprisingly impressed me as movie its extremely powerful important 10 10,0.5935657596371884,0.25351473922902495,Positive,"{'Happy': 0.23, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.1, 'Fear': 0.37}"
10.0,Edward Norton owned this movie,"I give this movie a 10 because1) Edward Norton was the meaning of masterful acting, you could just look at his eyes and understand every little pain he felt and caused. His smile and manner switching before and after was so distinguishing that if you did not speak English you could just follow him.2) cinematography : not only the black and white phase was amazing some other shots was masterful3) the cause , I watched this movie in 2019 and it is as important and as relevant as it was 21 years ago",edward norton owned this movie,i give this movie 10 because1 edward norton was meaning masterful acting you could just look at his eyes understand every little pain he felt caused his smile manner switching before after was so distinguishing that if you did not speak english you could just follow him 2 cinematography not only black white phase was amazing some other shots was masterful3 cause i watched this movie 2019 it is as important as relevant as it was 21 years ago,0.5173611111111112,0.18506944444444443,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.38}"
10.0,The Most Dangerous Person To Us Is Ourselves,"American History X is a movie of its own. It has a little bit of everything in the way it touches you. This of course making it a very though provoking film. There isn't a genre you can place this film in because it is a not a crime story, action or even a simple drama instead it is a humanistic thriller. What it is about, is the battle over ourselves.Who better than to display these wild but common complexities within people than Edward Norton. The range he shows here is astounding in only his fifth movie. Norton plays Derek Vinyard, a skin head that realizes through cruel yet necessary events in his life that he has gone down the wrong path. When he comes out of jail he attempts to stop his brother played Edward Furlong from going down the same road he had done. Through all his efforts though some things just prove to be inevitable. Avery Brooks also gives a great performance as Derek Vinyard's former teacher and now principal of his former school. His words may not be of the most inspiring but his actions and messages sent across are subtle yet strong and to the point.Norton's performance though wasn't just about range but exploring different dimensions of life. Whether it proved to be psychological, social or even political on a certain level. It is a transforming performance revealing something mind blowing and eye opening. That we, and this includes anyone, can take a devastating turn in life no matter how intelligent we are or thoughtful. That the person that determines the outcome of your life is yourself whether it is good or bad. Norton's realizations aren't through teachings such as the ones that got him in jail but they are through the events in the time he spent in jail. He saw the truth for himself realizing then what is false and what is real.The screenplay written by David McKenna is about as versatile as the performance Norton gives. Not only because of the Derek Vinyard character but because of the characters involved in his life. For example the root of his evil did not come from the murder of his father but rather his father himself. Through just a conversation at breakfast did his negative thoughts get really embedded eventually then leading to them dramatically taking over his mind and way of life. Only when his father got killed did these negative thoughts seem justified. The way this screenplay and direction was able to display this message in just a plethora of other underlying tones was spectacular.What makes this movie great though is that you can truly find yourself in the messages delivered. As much as the main character might not seem relevant or connected to many people it his emotions and functioning of his mind that all of us are able to connect with. Yet what makes a movie great is not simply the message or messages sent across but how powerfully they are delivered. American History X delivers its multiple and intertwining messages about as powerfully as I've seen from a film.",most dangerous person us is ourselves,american history x is movie its own it has little bit everything way it touches you this course making it very though provoking film there isnt genre you can place this film because it is not crime story action or even simple drama instead it is humanistic thriller what it is about is battle over ourselves who better than display these wild but common complexities within people than edward norton range he shows here is astounding only his fifth movie norton plays derek vinyard skin head that realizes through cruel yet necessary events his life that he has gone down wrong path when he comes out jail he attempts stop his brother played edward furlong going down same road he had done through all his efforts though some things just prove be inevitable avery brooks also gives great performance as derek vinyards former teacher now principal his former school his words may not be most inspiring but his actions messages sent across are subtle yet strong point nortons performance though wasnt just about range but exploring different dimensions life whether it proved be psychological social or even political certain level it is transforming performance revealing something mind blowing eye opening that we this includes anyone can take devastating turn life no matter how intelligent we are or thoughtful that person that determines outcome your life is yourself whether it is good or bad nortons realizations arent through teachings such as ones that got him jail but they are through events time he spent jail he saw truth himself realizing then what is false what is real screenplay written by david mckenna is about as versatile as performance norton gives not only because derek vinyard character but because characters involved his life example root his evil did not come murder his father but rather his father himself through just conversation at breakfast did his negative thoughts get really embedded eventually then leading them dramatically taking over his mind way life only when his father got killed did these negative thoughts seem justified way this screenplay direction was able display this message just plethora other underlying tones was spectacular what makes this movie great though is that you can truly find yourself messages delivered as much as main character might not seem relevant or connected many people it his emotions functioning his mind that all us are able connect with yet what makes movie great is not simply message or messages sent across but how powerfully they are delivered american history x delivers its multiple intertwining messages about as powerfully as ive seen film,0.5267195767195767,0.07561628186628185,Positive,"{'Happy': 0.07, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.22, 'Fear': 0.51}"
10.0,Changed My Life.,"American History X really opened my eyes to the world of racism and how cruel human beings can be sometimes. This story follows a violent extreme skin-head (Norton) that spends three years in jail for killing two black people and how he changed through jail. He then tries to help his younger brother, who idolizes him, not to go down the same path he did. You really can't find a more powerful movie than this. This movie forces you to open your eyes through harsh realism and although some things are disturbing, it makes you take notice. Everything about this movie is so incredible I can't even find words for it. All I can say is that if you have not seen this movie, it really is a must to see because it teaches you something and is really powerful.Norton's best performance and a must for everyone.",changed my life,american history x really opened my eyes world racism how cruel human beings can be sometimes this story follows violent extreme skin head norton that spends three years jail killing two black people how he changed through jail he then tries help his younger brother who idolizes him not go down same path he did you really cant find more powerful movie than this this movie forces you open your eyes through harsh realism although some things are disturbing it makes you take notice everything about this movie is so incredible i cant even find words it all i can say is that if you have not seen this movie it really is must see because it teaches you something is really powerful nortons best performance must everyone,0.46292270531400975,0.015338164251207733,Positive,"{'Happy': 0.0, 'Angry': 0.04, 'Surprise': 0.44, 'Sad': 0.2, 'Fear': 0.32}"
9.0,great American cinema,"Derek Vinyard (Edward Norton) grew angry after his firefighter father was shot and killed while putting out a fire in a drug den. He becomes a white supremacist under the tutelage of Cameron Alexander (Stacy Keach). Along with girlfriend Stacey (Fairuza Balk) and idiot Seth Ryan (Ethan Suplee), he aims to take back the neighborhood from the minorities. He kills 3 black guys who are breaking into his truck and gets sent to prison for 3 years. His brother Danny (Edward Furlong) idolizes him. However, Derek leaves prison a changed man as he tries to get his family away from his past.This is a shocking revealing portrayal of personal racism. Norton is insanely powerful. Furlong does some solid work as the teen with a chip on his shoulder. This is a movie worthy of recognition.",great american cinema,derek vinyard edward norton grew angry after his firefighter father was shot killed while putting out fire drug den he becomes white supremacist under tutelage cameron alexander stacy keach along with girlfriend stacey fairuza balk idiot seth ryan ethan suplee he aims take back neighborhood minorities he kills 3 black guys who are breaking into his truck gets sent prison 3 years his brother danny edward furlong idolizes him however derek leaves prison changed man as he tries get his family away his past this is shocking revealing portrayal personal racism norton is insanely powerful furlong does some solid work as teen with chip his shoulder this is movie worthy recognition,0.43958333333333327,-0.09895833333333334,Negative,"{'Happy': 0.05, 'Angry': 0.2, 'Surprise': 0.4, 'Sad': 0.15, 'Fear': 0.2}"
8.0,Gutsy and compelling,"American History X is a real surprise, a searing look at racism in America today, told from the point of view of members of a skinhead gang. It's a lengthy film that's punctuated with moments of unflinching brutality, and yet it keeps you hooked to the screen throughout. And the reason for that? Edward Norton. Norton burns up the screen in this film; he's even better than he was in FIGHT CLUB, his big break-out picture. He somehow makes his Neo-Nazi character frightening, compelling and sympathetic in equal measure, a fully realised human being rather than a caricature. Furlong isn't bad, and supporting players like Gould and Keach are great, but let's not kid ourselves here. This is Norton's movie, and he owns it.This film works well because it isn't judgemental in the slightest. It presents all the sides of a situation without ever TAKING sides. It refuses to preach to the viewer, too, which is something to be commended. It gradually draws you into the plot, and for once the many and lengthy flashbacks are more interesting than the present-time story; the prison flashbacks are among the most powerful I've seen presented. It's not quite a perfect film - I'm not too sure about that ending, when it comes down to it, it feels forced and disconnected from the rest of the movie - but it's certainly up there with the best that Hollywood had to offer during the 1990s.",gutsy compelling,american history x is real surprise searing look at racism america today told point view members skinhead gang its lengthy film thats punctuated with moments unflinching brutality yet it keeps you hooked screen throughout reason that edward norton norton burns up screen this film hes even better than he was fight club his big break out picture he somehow makes his neo nazi character frightening compelling sympathetic equal measure fully realised human being rather than caricature furlong isnt bad supporting players like gould keach are great but lets not kid ourselves here this is nortons movie he owns it this film works well because it isnt judgemental slightest it presents all sides situation without ever taking sides it refuses preach viewer too which is something be commended it gradually draws you into plot once many lengthy flashbacks are more interesting than present time story prison flashbacks are among most powerful ive seen presented its not quite perfect film im not too sure about that ending when it comes down it it feels forced disconnected rest movie but its certainly up there with best that hollywood had offer during 1990s,0.4946349206349207,0.24834920634920635,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.21, 'Sad': 0.31, 'Fear': 0.33}"
9.0,"""Has anything you've done made your life better?""","I've seen a lot of movies and have seen a lot of violence in them - war films, Westerns, horror and even some of those slasher/gore flicks that go so way over the top. For the most part, the violence depicted is far removed from any sense of reality, because after all, it's a movie and the director can be as unrealistic as he wants to get with flying bodies, severed limbs and the like. However the curb stomp by Edward Norton's character on the black hood in the street was probably as visceral an experience that one can get from simply watching the event on screen. I think that comes from internalizing the impact such a trauma can have if it was personally done to you. It's a little hard to put into words, but I hope you can catch my meaning.What I think the film does effectively is show how a hardened racist like Derek Vinyard (Norton) can slowly come to terms with his prejudices when forced to confront them in a restricted environment. Not only is Derek influenced by his co-worker Lamont (Guy Torry) in the laundry, but also the hypocrisy of the segregated racial groups in the prison yard who break those boundaries for self expediency and personal profit. It's also noteworthy to remark on the character of Cameron Alexander (Stacy Keach), who foments racism and violence from a safe distance, never forcing a confrontation for himself, but only through surrogates like Derek and Seth (Ethan Suple).If the film does anything, it should help instruct the viewer to rely on one's own life and experiences to see the humanity and good in all people, regardless of race or ethnic background. I'll never understand why racists and haters focus on what's 'different' about others instead of seeing what makes all people the 'same' - a desire to amount to something, be part of a family and have a sense of belonging to a larger community of mankind.",has anything youve done made your life better,ive seen lot movies have seen lot violence them war films westerns horror even some those slasher gore flicks that go so way over top most part violence depicted is far removed any sense reality because after all its movie director can be as unrealistic as he wants get with flying bodies severed limbs like however curb stomp by edward nortons character black hood street was probably as visceral experience that one can get simply watching event screen i think that comes internalizing impact such trauma can have if it was personally done you its little hard put into words but i hope you can catch my meaning what i think film does effectively is show how hardened racist like derek vinyard norton can slowly come terms with his prejudices when forced confront them restricted environment not only is derek influenced by his co worker lamont guy torry laundry but also hypocrisy segregated racial groups prison yard who break those boundaries self expediency personal profit its also noteworthy remark character cameron alexander stacy keach who foments racism violence safe distance never forcing confrontation himself but only through surrogates like derek seth ethan suple if film does anything it should help instruct viewer rely ones own life experiences see humanity good all people regardless race or ethnic background ill never understand why racists haters focus whats different about others instead seeing what makes all people same desire amount something be part family have sense belonging larger community mankind,0.5702857142857143,0.07816666666666666,Positive,"{'Happy': 0.04, 'Angry': 0.1, 'Surprise': 0.29, 'Sad': 0.18, 'Fear': 0.39}"
10.0,Why can't we just stop hating each other?,"This movie, got to me! I mean got under my skin got to me. It is so effective, the performances were just perfect. We have Edward Norton and Edward Furlong, two fine actors, they play two skin head Nazi racist brothers who are very violent. We start off at a very disturbing scene where we see how Edward Norton's character is put in jail for killing an African American very violently. When he comes back, he has just learned so much that no school, no white man could ever teach him: self respect, respect for others, respect for life, for his family, and knowing that ""We can't live our lives p*ssed off"". He is touched when he learns that his brother's teacher is asking him to write a paper about racism and how it effects today's society called ""American History X"". But when Eddie just gives a wrong look to the black kid in school, some things go terribly wrong.First off, Ed Norton's old ""friends"" turn on him because he wishes not to be part of their very racist gang. Even his own brother who followed his footsteps hates him for turning on the gang. But Ed Norton takes Eddie and tells him his passionate and harrowing experience in prison. Eddie seems to start to see the light, but there is an extremely powerful ending that will make even the toughest guy shed a tear. I highly, very much highly, recommend this movie for everyone. Even for the kids, though you might want to turn them away for a few scenes, but that's how powerful this movie is. Trust me, this movie should not be missed and it sends a message.10/10",why cant we just stop hating each other,this movie got me i mean got under my skin got me it is so effective performances were just perfect we have edward norton edward furlong two fine actors they play two skin head nazi racist brothers who are very violent we start off at very disturbing scene where we see how edward nortons character is put jail killing african american very violently when he comes back he has just learned so much that no school no white man could ever teach him self respect respect others respect life his family knowing that we cant live our lives p ssed off he is touched when he learns that his brothers teacher is asking him write paper about racism how it effects todays society called american history x but when eddie just gives wrong look black kid school some things go terribly wrong first off ed nortons old friends turn him because he wishes not be part their very racist gang even his own brother who followed his footsteps hates him turning gang but ed norton takes eddie tells him his passionate harrowing experience prison eddie seems start see light but there is extremely powerful ending that will make even toughest guy shed tear i highly very much highly recommend this movie everyone even kids though you might want turn them away few scenes but thats how powerful this movie is trust me this movie should not be missed it sends message 10 10,0.5282471264367816,0.0020297805642633267,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.25, 'Fear': 0.27}"
10.0,Edward Norton delivers a staggering performance as an extremely intelligent white supremacist who realizes the wrongness of his views and must then try to prevent his younger brother form going down the same,"American History X is one of the most powerful movies released in years. Not since Schindler's List has the subject of racism been so potently presented. The use of black and white cinematography to portray painful flashbacks is amazing, and the settings, while not necessarily pretty, fit the story flawlessly. Derek Vineyard's (Edward Norton) transition from a white supremacy leader's protege to a gang leader himself to a changed man is shown mainly through a series of flashbacks to the time before he was sent to prison. The character development and story are amazingly well done, and this is largely a factor of the high quality of the acting. Edward Norton especially, but also Edward Furlong, Beverly D'Angelo, and all of the rest of the cast down to Avery Brooks as Bob Sweeney, the African American high school teacher who comes up with the term American History X, and Stacy Keach as the wonderfully hateable Cameron Alexander. Keach, by the way, would have been the perfect choice to play Francis Dolarhyde in Manhunter, the film the precedes The Silence of the Lambs, but oh well. Unfortunately, despite the fact that American History X is one of the best films in years, it is horribly underrated. Much like Norton's last film, Primal Fear, which was also a great movie, this movie did not get nearly the recognition that it deserves.",edward norton delivers staggering performance as extremely intelligent white supremacist who realizes wrongness his views must then try prevent his younger brother form going down same,american history x is one most powerful movies released years not since schindlers list has subject racism been so potently presented use black white cinematography portray painful flashbacks is amazing settings while not necessarily pretty fit story flawlessly derek vineyards edward norton transition white supremacy leaders protege gang leader himself changed man is shown mainly through series flashbacks time before he was sent prison character development story are amazingly well done this is largely factor high quality acting edward norton especially but also edward furlong beverly dangelo all rest cast down avery brooks as bob sweeney african american high school teacher who comes up with term american history x stacy keach as wonderfully hateable cameron alexander keach by way would have been perfect choice play francis dolarhyde manhunter film precedes silence lambs but oh well unfortunately despite fact that american history x is one best films years it is horribly underrated much like nortons last film primal fear which was also great movie this movie did not get nearly recognition that it deserves,0.4622568172568173,0.16747456247456247,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.15, 'Fear': 0.42}"
9.0,Norton's astounding performance!!!!!!,"American History X is a 1998 American crime drama film directed by Tony Kaye and written by David McKenna. It stars Edward Norton and Edward Furlong, and co-stars Fairuza Balk, Stacy Keach, Elliott Gould, Avery Brooks, Ethan Suplee and Beverly D'Angelo.In a shocking opening scene, teen Danny Vinyard (Edward Furlong) races to tell his older brother, neo-Nazi Derek (Edward Norton), about the young blacks breaking into his car in front of the house, whereupon Derek gets his gun and with no forethought shoots the youths in their tracks. Tried and convicted, Derek is sent away for three years in prison, where he acquires a different outlook as he contrasts white-power prisoners with black Lamont (Guy Torry), his prison laundry co-worker and eventual pal. Meanwhile, Danny, with a shaved head and a rebellious attitude, seems destined to follow in his big brother's footsteps. After Danny writes a favorable review of Hitler's Mein Kampf, black high-school principal Sweeney (Avery Brooks) puts Danny in his private ""American History X"" course and assigns him to do a paper about his older brother, who was a former student of Sweeney's. This serves to introduce flashbacks, with the film backtracking to illustrate Danny's account of Derek's life prior to the night of the shooting. Monochrome sequences of Derek leading a Venice, California gang are inter cut with color footage of the mature Derek ending his past neo-Nazi associations and attempting to detour Danny away from the group led by white supremacist, Cameron (Stacy Keach), who once influenced Derek",nortons astounding performance,american history x is 1998 american crime drama film directed by tony kaye written by david mckenna it stars edward norton edward furlong co stars fairuza balk stacy keach elliott gould avery brooks ethan suplee beverly dangelo shocking opening scene teen danny vinyard edward furlong races tell his older brother neo nazi derek edward norton about young blacks breaking into his car front house whereupon derek gets his gun with no forethought shoots youths their tracks tried convicted derek is sent away three years prison where he acquires different outlook as he contrasts white power prisoners with black lamont guy torry his prison laundry co worker eventual pal meanwhile danny with shaved head rebellious attitude seems destined follow his big brothers footsteps after danny writes favorable review hitlers mein kampf black high school principal sweeney avery brooks puts danny his private american history x course assigns him do paper about his older brother who was former student sweeneys this serves introduce flashbacks with film backtracking illustrate dannys account dereks life prior night shooting monochrome sequences derek leading venice california gang are inter cut with color footage mature derek ending his past neo nazi associations attempting detour danny away group led by white supremacist cameron stacy keach who once influenced derek,0.28087301587301583,-0.013809523809523808,Negative,"{'Happy': 0.0, 'Angry': 0.15, 'Surprise': 0.21, 'Sad': 0.21, 'Fear': 0.44}"
