Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Very good,"In 1991, Bret Easton Ellis' controversial novel ""American Psycho"" took the world by storm - women accused it of being misogynist, sexist filth and others were understandably shaken by its brutal and graphic depictions of unprovoked violence and torture.Set in the 1980s, the book follows the story of a 27-year-old Harvard graduate named Patrick Bateman, who goes on a killing spree and murders ""twenty, maybe forty people."" It was originally slated for circulation in 1990, but Random House pulled out of distribution, fearing backlash. It was later released as part of a Vintage Series, and quickly sold over 250,000 copies, becoming one of the most popular (and, to some, important) literary works of our time.In the movie, Welsh actor Christian Bale portrays Bateman gleefully tongue-in-cheek, whether it's confessing to manslaughter over the phone (""I just had to kill a lot of people!"") or dancing to Huey Lewis and the News' ""Fore"" album before hitting an associate over the head with an axe.Patrick is a troubled guy. On the surface, he appears to be normal - he's a Wall Street broker with a secretary, an expensive apartment suite, his own limo and a fancy business card. But on the inside, he's a monster - complete with an insatiable blood lust and lack of empathy for fellow human beings. (If he can indeed be classified as one.) As a film and a novel, ""American Psycho"" is an attack on the absurdities of the '80s yuppie era - sometimes the satire isn't very subtle, in fact it's often made very clear, but I liked it. Because the movie is so eccentric and over-the-top, and Bale is so loony and maniacal, the satire needs to be equally strong - and it is. Whether it's business men drooling over each other's fetishistic business cards or Patrick discussing the nuances of modern pop music before killing more victims, ""American Psycho"" hits strong and hard - this is a great, overwhelming cinematic and visual experience. It cannot be condemned for being unsubtle - it never was.The performances are wonderful. Bale is superb as Bateman, totally embodying the character. As a man bewildered by his environment, and wanting only desperately to fit in, Bateman listens to Genesis and ""Hip to Be Square""; finally we have proof that too much Phil Collins and Huey Lewis will turn you into the next Ed Gein.Perhaps some fans of the novel will dislike Bale's performance (at times, it almost seems comical, such as when he murders his coworker Paul Allen, played by Jared Leto). But I thought it was the perfect mix of introspection, self-hatred, outer-loathing, lust, conformity and schizophrenia. Bale manages to capture all of this perfectly, and by the end of the film, I could not imagine anyone else in the role.Willem Dafoe, Chloe Sevigny and Reese Witherspoon all have co-starring roles, but at the end of the day it is Bale who really drives this film home - he's the reason it's worth seeing, and in part the reason it exceeds beyond the typical restraints of its genre.Since its release, many critics have accused ""American Psycho"" of being a watered-down version of the book, being both ""politically correct"" and ""lacking satire."" However, I don't recall the last time I saw a man beat a dog to death with the heel of his shoe in a mainstream motion picture. Or chase after a prostitute completely naked, wielding a bloodied chainsaw. Or hold a gun to a cat's head and threaten to feed it to an ATM machine.In fact, when ""American Psycho"" was previewed before the Motion Picture Association of America, they gave it an NC-17 rating - not for its violence, as one might expect, but rather for its threesome scene between Patrick and two prostitutes.Director Mary Harron cut footage from the film and finally managed to achieve an R-rating, but on a new ""Uncut Killer Collector's Edition"" DVD, you can see the film as it was intended to be seen - and it's a real fine treat. Now excuse me, I have to go return some videotapes.",very good,1991 bret easton ellis controversial novel american psycho took world by storm women accused it being misogynist sexist filth others were understandably shaken by its brutal graphic depictions unprovoked violence torture set 1980s book follows story 27 year old harvard graduate named patrick bateman who goes killing spree murders twenty maybe forty people it was originally slated circulation 1990 but random house pulled out distribution fearing backlash it was later released as part vintage series quickly sold over 250 000 copies becoming one most popular some important literary works our time movie welsh actor christian bale portrays bateman gleefully tongue cheek whether its confessing manslaughter over phone i just had kill lot people or dancing huey lewis news fore album before hitting associate over head with axe patrick is troubled guy surface he appears be normal hes wall street broker with secretary expensive apartment suite his own limo fancy business card but inside hes monster complete with insatiable blood lust lack empathy fellow human beings if he can indeed be classified as one as film novel american psycho is attack absurdities 80s yuppie era sometimes satire isnt very subtle fact its often made very clear but i liked it because movie is so eccentric over top bale is so loony maniacal satire needs be equally strong it is whether its business men drooling over each others fetishistic business cards or patrick discussing nuances modern pop music before killing more victims american psycho hits strong hard this is great overwhelming cinematic visual experience it cannot be condemned being unsubtle it never was performances are wonderful bale is superb as bateman totally embodying character as man bewildered by his environment wanting only desperately fit bateman listens genesis hip be square finally we have proof that too much phil collins huey lewis will turn you into next ed gein perhaps some fans novel will dislike bales performance at times it almost seems comical such as when he murders his coworker paul allen played by jared leto but i thought it was perfect mix introspection self hatred outer loathing lust conformity schizophrenia bale manages capture all this perfectly by end film i could not imagine anyone else role willem dafoe chloe sevigny reese witherspoon all have co starring roles but at end day it is bale who really drives this film home hes reason its worth seeing part reason it exceeds beyond typical restraints its genre since its release many critics have accused american psycho being watered down version book being both politically correct lacking satire however i dont recall last time i saw man beat dog death with heel his shoe mainstream motion picture or chase after prostitute completely naked wielding bloodied chainsaw or hold gun cats head threaten feed it atm machine fact when american psycho was previewed before motion picture association america they gave it nc 17 rating not its violence as one might expect but rather its threesome scene between patrick two prostitutes director mary harron cut footage film finally managed achieve r rating but new uncut killer collectors edition dvd you can see film as it was intended be seen its real fine treat now excuse me i have go return some videotapes,0.5237964257964257,0.18698679098679097,Positive,"{'Happy': 0.13, 'Angry': 0.08, 'Surprise': 0.16, 'Sad': 0.21, 'Fear': 0.41}"
8.0,Grisly black comedy with unforgettable scenes,"A controversial adaptation of the controversial Brett Easton Ellis novel, this is actually a brilliantly conceived movie that sheds new life on the disturbed world of the serial killer – and as such may be the most innovative ""psycho"" movie since, well, PSYCHO! Filmly embedded in a hilariously '80s setting, this is both a thriller and a biting satire of the decade, with tons of subtle comedy and lashings of black humour to make the grisly subject matter a lot easier to digest.It's a wonderfully shot movie with plenty of memorable scenes, such as the infamous chainsaw murder, or the bit where Jared Leto gets an axe in the face. The movie works so well thanks to the strong acting which really makes it entertaining. Christian Bale is outstanding, a wonderful and scary and believable performance as a emotionless psychopath who realises that his own murderous inclinations are evil but is unable to do anything about it. His performance never falters for a moment.Similarly, the supporting cast of quirky characters are excellent – Reese Witherspoon's dumb-as-nails bitch; Samantha Mathis's junkie; Willem Dafoe's weirdo detective, plus a vivid array of minor roles. Although the movie is violent and pretty disgusting in places, it remains watchable and entertaining throughout thanks to the quirkily playful script and Bale's engaging performance. Definitely worth a look!",grisly black comedy with unforgettable scenes,controversial adaptation controversial brett easton ellis novel this is actually brilliantly conceived movie that sheds new life disturbed world serial killer as such may be most innovative psycho movie since well psycho filmly embedded hilariously 80s setting this is both thriller biting satire decade with tons subtle comedy lashings black humour make grisly subject matter lot easier digest its wonderfully shot movie with plenty memorable scenes such as infamous chainsaw murder or bit where jared leto gets axe face movie works so well thanks strong acting which really makes it entertaining christian bale is outstanding wonderful scary believable performance as emotionless psychopath who realises that his own murderous inclinations are evil but is unable do anything about it his performance never falters moment similarly supporting cast quirky characters are excellent reese witherspoons dumb as nails bitch samantha mathiss junkie willem dafoes weirdo detective plus vivid array minor roles although movie is violent pretty disgusting places it remains watchable entertaining throughout thanks quirkily playful script bales engaging performance definitely worth look,0.6741563360881542,0.1667355371900827,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.11, 'Sad': 0.19, 'Fear': 0.44}"
8.0,"""I think my mask of sanity is about to slip.""","I've been letting my thoughts for this film percolate now for about twenty four hours, so before any more time goes by I'll try to get it all down here. I thought there was something up with the picture when Patrick Bateman (Christian Bale) and his cronies were comparing business cards for the first time. I got the impression that it was all a sham, that none of them were actually Vice Presidents of Pierce and Pierce, and that they were actually role playing the position of executives in anticipation of an eventual promotion. Bateman himself never seemed to do any work, other than having his secretary line up his appointments to meet associates or clients so he could spend additional time not working some more.The bigger tip off that this was possibly all just an imaginary story was the 'Feed me a stray cat' scene. By this time it was pretty well established that Bateman was unhinged, but the question is, to what degree. Did he really engage in those prior killing sprees or did he just imagine it? Or a third possibility, was he envisioning what it would be like to go completely berserk if all bets were off and he could completely get away with it. By the time the story's over, I think you'd have to be open to all these various interpretations, because in the 'real' world, you wouldn't have a realtor showing an apartment where bodies hung in the closet just days before.Going in, I had some trepidation when the DVD opened to a menu screen suggesting a splatter flick, and if I'm not mistaken, an image of a chain saw somewhere along the way. I've seen a couple of slasher/gore films in my time, and though I'm not that squeamish (any more), that kind of stuff does nothing for me. So anticipating a chain saw scene, I could only groan at the impossibility of the physics involved in poor Jean (Chloe Sevigny) taking a direct bull's eye hit like that at the bottom of the staircase. Just one more suggestion that this wasn't really happening.And what of Donald Kimball (Willem Dafoe)? What happened to him? Was this Bateman's guilt becoming manifest, either because of an actual murder or because of his own malicious thoughts? Generally I get really upset about movies like this because they tamper with one's ability to follow a coherent story and come to a reliable conclusion about what happened in it. But then again, it's got the word 'Psycho' in the title, so I guess all bets are off. Personally, twenty five dollars for a couple of drinks at a trendy New York City night club is about as psycho as I'll ever get.",i think my mask sanity is about slip,ive been letting my thoughts this film percolate now about twenty four hours so before any more time goes by ill try get it all down here i thought there was something up with picture when patrick bateman christian bale his cronies were comparing business cards first time i got impression that it was all sham that none them were actually vice presidents pierce pierce that they were actually role playing position executives anticipation eventual promotion bateman himself never seemed do any work other than having his secretary line up his appointments meet associates or clients so he could spend additional time not working some more bigger tip off that this was possibly all just imaginary story was feed me stray cat scene by this time it was pretty well established that bateman was unhinged but question is what degree did he really engage those prior killing sprees or did he just imagine it or third possibility was he envisioning what it would be like go completely berserk if all bets were off he could completely get away with it by time storys over i think youd have be open all these various interpretations because real world you wouldnt have realtor showing apartment where bodies hung closet just days before going i had some trepidation when dvd opened menu screen suggesting splatter flick if im not mistaken image chain saw somewhere along way ive seen couple slasher gore films my time though im not that squeamish any more that kind stuff does nothing me so anticipating chain saw scene i could only groan at impossibility physics involved poor jean chloe sevigny taking direct bulls eye hit like that at bottom staircase just one more suggestion that this wasnt really happening what donald kimball willem dafoe what happened him was this batemans guilt becoming manifest either because actual murder or because his own malicious thoughts generally i get really upset about movies like this because they tamper with ones ability follow coherent story come reliable conclusion about what happened it but then again its got word psycho title so i guess all bets are off personally twenty five dollars couple drinks at trendy new york city night club is about as psycho as ill ever get,0.48425704412546505,0.12252126528442317,Positive,"{'Happy': 0.1, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.15, 'Fear': 0.42}"
9.0,American Psycho is not a story about murder,"The film looks to examine our own distorted points of view or detachments from reality. Like Patrick Bateman, we may be trapped craving the approval of others and denying ourselves the ability to distinguish fantasies from our reality. People are obsessed with how the others perceive them likewise in American Psycho Bateman achieves no catharsis, he's trapped in his own personal hell because he requires the recognition of the other yuppies to confirm his identity as a murderer. The irony is that Feynman's real crimes may as well be fantasy. The lack of acknowledging his reality drives Bateman further into madness and existential despairIt's about yuppie culture, the melding of identity, and the craving to stand out from a superficial homogenized society. Bateman's interpretation of the world is skewed by his inflated ego and his evident psychosis as well as presumably multiple mental illnesses. Bateman is a killer, but still, he's not the killer he thinks he is, as he goes insane he can't distinguish reality from fantasy. His over the top chainsaw massacre style killings may be an aestheticized elaboration on partial truths, ultimately the film doesn't care. The more significant point of the movies absurdity is that within his society Batemans not the psycho at all he's just one more normal guy amidst a horde of uncaring detached from reality, secretly discontented American psychos. Bateman is surrounded by like-minded superficial people obsessed with all the wrong things like making impossible reservations at Dorsia and the tasteful thickness of their business cards. Within the homogenized upper-class elite identities blur as everyone strives after a generic yet highly specific image of success.Everyone we see in Bateman's company appears to be the same person. It's no wonder that identity is mistaken continuously and swapped throughout the film. The lawyer has mistaken Paul Allen or perhaps Batman has killed the wrong person becomes not only plausible but also an expression of the general confusion resulting from the loss of individual identity.Meanwhile, although Batman tries like the rest to fit in, the emptiness of his lifestyle also fuels a craving to stand out. To escape the conformity that he on some level despises Batman leads a second life as a killer, where he's unfettered from the bounds of society. Although he actually wants to be seen as a murderer as someone different from the rest of society Bateman is denied even the satisfaction by every self-absorbed yuppie he meets. When he's seen stuffing a body into the trunk of a car, the witness is only interested in the bag.This is a great movie. Look for the subtext under the dialogue.",american psycho is not story about murder,film looks examine our own distorted points view or detachments reality like patrick bateman we may be trapped craving approval others denying ourselves ability distinguish fantasies our reality people are obsessed with how others perceive them likewise american psycho bateman achieves no catharsis hes trapped his own personal hell because he requires recognition other yuppies confirm his identity as murderer irony is that feynmans real crimes may as well be fantasy lack acknowledging his reality drives bateman further into madness existential despairits about yuppie culture melding identity craving stand out superficial homogenized society batemans interpretation world is skewed by his inflated ego his evident psychosis as well as presumably multiple mental illnesses bateman is killer but still hes not killer he thinks he is as he goes insane he cant distinguish reality fantasy his over top chainsaw massacre style killings may be aestheticized elaboration partial truths ultimately film doesnt care more significant point movies absurdity is that within his society batemans not psycho at all hes just one more normal guy amidst horde uncaring detached reality secretly discontented american psychos bateman is surrounded by like minded superficial people obsessed with all wrong things like making impossible reservations at dorsia tasteful thickness their business cards within homogenized upper class elite identities blur as everyone strives after generic yet highly specific image success everyone we see batemans company appears be same person its no wonder that identity is mistaken continuously swapped throughout film lawyer has mistaken paul allen or perhaps batman has killed wrong person becomes not only plausible but also expression general confusion resulting loss individual identity meanwhile although batman tries like rest fit emptiness his lifestyle also fuels craving stand out escape conformity that he some level despises batman leads second life as killer where hes unfettered bounds society although he actually wants be seen as murderer as someone different rest society bateman is denied even satisfaction by every self absorbed yuppie he meets when hes seen stuffing body into trunk car witness is only interested bag this is great movie look subtext under dialogue,0.4691489361702127,0.029432624113475178,Positive,"{'Happy': 0.14, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.16, 'Fear': 0.37}"
9.0,Strangely satisfying,One of the weirdest movies I've seen. Saw on video tape when it came out then recently watched it again 18 years later. Forgot how fun it is to watch. The absurdity of Bale's character Patrick Bateman's shallowness and preoccupation with superficial things like how upset he gets over a colleague having a better business card than him makes this movie comedic while he's slicing up victims. Still not sure about whether or not all of the things happening were all in his head. I guess that's up for anyone's interpretation of the story. Very well done and one of Bale's best performances as if he's ever performed badly.,strangely satisfying,one weirdest movies ive seen saw video tape when it came out then recently watched it again 18 years later forgot how fun it is watch absurdity bales character patrick batemans shallowness preoccupation with superficial things like how upset he gets over colleague having better business card than him makes this movie comedic while hes slicing up victims still not sure about whether or not all things happening were all his head i guess thats up anyones interpretation story very well done one bales best performances as if hes ever performed badly,0.4561728395061728,0.17222222222222225,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.48, 'Sad': 0.1, 'Fear': 0.33}"
10.0,Yes Bateman. I'm laughing AT you.,"Your pretentiousness is over-the-top ridiculous and makes you look like a fool. Yes, your fictional, but I've seen so many of you around walking down the streets of Manhattan on my way to my office. I've even seen you in elevators that we shared, and I have to hide the laughter I'm tempted to burst out with. I may even have exchanged a glance with you in a club and rolled my eyes and turned away. In all seriousness, I've talked to people socially who have Patrick Bateman qualities (or lack of qualities as a better phrase), utilize the most pretentious of body cleaning products, but they are so much better than everybody else simply because of a label on a pair of jeans. Am I surprised that Patrick Bateman turns out to be a psychopath? Absolutely not.The performance of Christian Bale is calculatingly brilliant, and that is due to how wonderfully despicable he is from the start, and it only gets worse. The way he talks is absolutely annoying, and that makes the film hysterical from the start. His facial expressions through the eyes and the way he talks makes me instantly discus him, but there are a lot of fools around in the business world who thinks latching on to a person like that would be an aid to their career. Then there's the women in his life, a fiance (Reese Witherspoon), a mistress (Samantha Mathis), and the secretaries and other assorted acquaintances that he abuses mentally and some physically as the audience gets to see how deranged he really is.Jared Leto and Josh Lucas are among the men in his social circle, through business and personal, and as the murders begin to happen, William Dafoe joins the story as the detective on the case. It all starts when he brutally assaults and murders a homeless man, not just killing him but verbally abusing him in the minutes before he strikes. He thinks he is acting like God and a deliverer, and this scene is very hard to watch even though it is necessary to get the plot moving.I have avoided this film for years, but I did break down and go to see the short-lived Broadway musical a few years ago. Both the original movie and the musical are a slap at the ridiculous pretentiousness of the higher echelon society when it gets to be too much, focusing on pretentious meals at overpriced restaurants, getting laughs through the announcement of the daily specials. This is not going to be for all tastes, but I love how it ridicules personality types like Bateman, probably not all psychopaths, but so hateful in their uppity manner that you can't help but enjoy watching them being taken down a notch or ten.",yes bateman im laughing at you,your pretentiousness is over top ridiculous makes you look like fool yes your fictional but ive seen so many you around walking down streets manhattan my way my office ive even seen you elevators that we shared i have hide laughter im tempted burst out with i may even have exchanged glance with you club rolled my eyes turned away all seriousness ive talked people socially who have patrick bateman qualities or lack qualities as better phrase utilize most pretentious body cleaning products but they are so much better than everybody else simply because label pair jeans am i surprised that patrick bateman turns out be psychopath absolutely not performance christian bale is calculatingly brilliant that is due how wonderfully despicable he is start it only gets worse way he talks is absolutely annoying that makes film hysterical start his facial expressions through eyes way he talks makes me instantly discus him but there are lot fools around business world who thinks latching person like that would be aid their career then theres women his life fiance reese witherspoon mistress samantha mathis secretaries other assorted acquaintances that he abuses mentally some physically as audience gets see how deranged he really is jared leto josh lucas are among men his social circle through business personal as murders begin happen william dafoe joins story as detective case it all starts when he brutally assaults murders homeless man not just killing him but verbally abusing him minutes before he strikes he thinks he is acting like god deliverer this scene is very hard watch even though it is necessary get plot moving i have avoided this film years but i did break down go see short lived broadway musical few years ago both original movie musical are slap at ridiculous pretentiousness higher echelon society when it gets be too much focusing pretentious meals at overpriced restaurants getting laughs through announcement daily specials this is not going be all tastes but i love how it ridicules personality types like bateman probably not all psychopaths but so hateful their uppity manner that you cant help but enjoy watching them being taken down notch or ten,0.4733506944444444,0.013628472222222228,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.28}"
10.0,Not everyone will understand what this movie is trying to say.,"The author of the novel and the director of the film both say that it wasn't in his head. All of the yuppies dress the same, act the same, have the same job position (vice president), and have the same haircuts, which is why everyone always confused Patrick with someone else. Additionally, the satire was to show that everyone at the time was extremely narcissistic and superficial. The landlord of the apartment cleaned up all of the bodies and gore that Bateman left behind in order to protect the property value. The point is that Bateman is an actual psychopath who lives in a society that's somehow even more crazy than he is.",not everyone will understand what this movie is trying say,author novel director film both say that it wasnt his head all yuppies dress same act same have same job position vice president have same haircuts which is why everyone always confused patrick with someone else additionally satire was show that everyone at time was extremely narcissistic superficial landlord apartment cleaned up all bodies gore that bateman left behind order protect property value point is that bateman is actual psychopath who lives society thats somehow even more crazy than he is,0.4,-0.09318181818181817,Negative,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.15, 'Fear': 0.46}"
10.0,You can always look thinner,"'American Psycho' is NOT a slasher movie. It is a depiction, a fantasy if you will, of the life of modern man and his place in society.Nothing is enough. Money, sex, social stature, there is always someone else who has more and everyone else expect from you to try harder for even more.This movie is about eliminating competition the easy way. By killing your opponents. By eating your sexual partners. By destroying everyone around you.'American Psycho' retains the balance between this psychotic state, a chilling thriller and a very funny movie.The scenes that show Patrick playing music for his guests are absolutely hilarious, as he comments very seriously on records by artists such as Whitney Houston, Phil Collins and Huey Lewis & the News. The funny thing is that he chooses the most commercial or sold out records of these artists, to explain how much better they are compared to their previous, more artistic work. Another message of the state of the receivers of commercial art.You can analyze 'American Psycho' for hours. It can be perceived both as a deep and a fun movie. Even if you don't like the story, you will love Christian Bale's excellent performance.Enjoy.10/10",you can always look thinner,american psycho is not slasher movie it is depiction fantasy if you will life modern man his place society nothing is enough money sex social stature there is always someone else who has more everyone else expect you try harder even more this movie is about eliminating competition easy way by killing your opponents by eating your sexual partners by destroying everyone around you american psycho retains balance between this psychotic state chilling thriller very funny movie scenes that show patrick playing music his guests are absolutely hilarious as he comments very seriously records by artists such as whitney houston phil collins huey lewis news funny thing is that he chooses most commercial or sold out records these artists explain how much better they are compared their previous more artistic work another message state receivers commercial art you can analyze american psycho hours it can be perceived both as deep fun movie even if you dont like story you will love christian bales excellent performance enjoy 10 10,0.4739583333333333,0.16796875,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.38}"
9.0,Dark Commentary on 80s Wall Street Culture,"Patrick Bateman is a heartless man with no concern for those around him. Serial killer... or capitalist? This film explains there might not be much difference and perhaps shows us why serial killers in the 1980s were more celebrated than any time before or since in popular culture.This is not a film for everyone. Some (like myself) will love every little aspect, while others might be turned off my the sex and violence... or just be really confused by the style (the directing is weird, but actually pretty straight-forward once you've read the book). I suppose that is to be expected. Even those looking for a horror film might be let down, as that isn't the real focus here.The cast of this film is amazing. Willem Defoe needs no introduction. Chloe Sevigny (one of my favorites), Jared Leto, Reese Witherspoon (not my favorite but good for her role) and Gwen Turner. Even Samantha Mathis shows up. But, of course, stealing the show is Christian Bale.Bale was the perfect choice to play Bateman and I'm glad director Mary Harron would settle for no one else (turning down Ed Norton, who gets compared to Bale but remains inferior). Bale is able to be any character he wants (comapre this to ""Batman Begins"", ""The Prestige"" and especially ""The Machinist"" and see if there's any of the same characters here). As Bateman, he is perfectly self-absorbed and also maniacally distant. The little dance during the Huey Lewis scene (one I have heard he added himself) remains for me one of the two key scenes (the other involving a chainsaw).Besides the great acting (the real reason to watch this), the music is very noteworthy. The book does a fine job of elaborating on the music of the 1980s, and I think they incorporated that well here (throwing it in to death scenes rather than as solo pieces adds an interesting twist). This film, along with the gentlemen I go to the tavern with, really got me into Huey Lewis and Phil Collins. Which is really wonderful. Not so much on the Robert Palmer or Whitney Houston...I guess I should also compliment them on the tasteful way (read: artistic) the sex and violence was done. Ax wounds, chainsaws and bite marks... threesomes and science-knows-what done with a coat hangar. But the vast majority is shot from such angles that it's almost all left to the imagination: you think you see more than you really do.Clearly, I really want you to see this film. It's possibly Bale's best, or at least the one that pushed him into the spotlight. He steals the show. You won't like it if you don't like horror, but the title is ""American Psycho"" and the cover has a man with a knife, so you know what you're getting yourself into. Grab some popcorn and a Cherry Coke Zero and kick your feet up. Enjoy!",dark commentary 80s wall street culture,patrick bateman is heartless man with no concern those around him serial killer or capitalist this film explains there might not be much difference perhaps shows us why serial killers 1980s were more celebrated than any time before or since popular culture this is not film everyone some like myself will love every little aspect while others might be turned off my sex violence or just be really confused by style directing is weird but actually pretty straight forward once youve read book i suppose that is be expected even those looking horror film might be let down as that isnt real focus here cast this film is amazing willem defoe needs no introduction chloe sevigny one my favorites jared leto reese witherspoon not my favorite but good her role gwen turner even samantha mathis shows up but course stealing show is christian bale bale was perfect choice play bateman im glad director mary harron would settle no one else turning down ed norton who gets compared bale but remains inferior bale is able be any character he wants comapre this batman begins prestige especially machinist see if theres any same characters here as bateman he is perfectly self absorbed also maniacally distant little dance during huey lewis scene one i have heard he added himself remains me one two key scenes other involving chainsaw besides great acting real reason watch this music is very noteworthy book does fine job elaborating music 1980s i think they incorporated that well here throwing it death scenes rather than as solo pieces adds interesting twist this film along with gentlemen i go tavern with really got me into huey lewis phil collins which is really wonderful not so much robert palmer or whitney houston i guess i should also compliment them tasteful way read artistic sex violence was done ax wounds chainsaws bite marks threesomes science knows what done with coat hangar but vast majority is shot such angles that its almost all left imagination you think you see more than you really do clearly i really want you see this film its possibly bales best or at least one that pushed him into spotlight he steals show you wont like it if you dont like horror but title is american psycho cover has man with knife so you know what youre getting yourself into grab some popcorn cherry coke zero kick your feet up enjoy,0.5461328976034858,0.22919389978213503,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.32, 'Sad': 0.19, 'Fear': 0.26}"
10.0,Classic masterpiece,"This movie is a masterpiece, and it is so underrated. So many quotable moments, true perfect cult piece. Violence is measured, much milder than in the book, which is improved on. It shows the true side of Wall Street morality, of all the little Eichmanns that lived and still live in Manhattan. Dark comedy genius, with classic shiny ax scene perfectly in tune with ""Hip to be Square"" music, that Weird Al and Huey Lewis parodied in perfect meta homage. This movie works on so many levels, and although it was hated by the corporate elite and their paid hypocrite critics, time has shown that this movie is going to last. This is Wolf of Wall Street on steroids, wrapped in metaphysical, if murderous, clothing.",classic masterpiece,this movie is masterpiece it is so underrated so many quotable moments true perfect cult piece violence is measured much milder than book which is improved it shows true side wall street morality all little eichmanns that lived still live manhattan dark comedy genius with classic shiny ax scene perfectly tune with hip be square music that weird al huey lewis parodied perfect meta homage this movie works so many levels although it was hated by corporate elite their paid hypocrite critics time has shown that this movie is going last this is wolf wall street steroids wrapped metaphysical if murderous clothing,0.5294117647058824,0.21365864527629233,Positive,"{'Happy': 0.0, 'Angry': 0.19, 'Surprise': 0.19, 'Sad': 0.38, 'Fear': 0.25}"
