Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,an-NO-END,"What an outstanding movie!! I have heard all the prior generation people rave about this movie, so, I decided to check this movie out myself. I only have faint memories of having watched parts of this movie from my mom's lap when she and dad were watching this in the theater. The other reason why I decided to check this out was a Super-bowl half-time debate on whether Amitabh was better than Rajesh Khanna. I could not participate in this debate for two reasons: first, I was eagerly awaiting another ""wardrobe malfunction"" for one of the cheerleaders and secondly, I only had memories of one Rajesh Khanna movie, Haathi Mere Saathi. I remember having enjoyed it very much as a child. But that alone was not enough to quantify anything. The more recent performances of AB were fresh in my mind, but after having seen this movie, I decided that Rajesh had a class of his own. His chirpy performance in this movie is really unparalleled! What an amazing performance! Amitabh, being more junior, has not equaled Rajesh, but has done his share very well. Thus, even after watching this movie, the debate will continue.What's New? What can possibly be new in an old movie? Guess what? there is plenty for the younger generation to take away! There is no education in the movies these days, whatsoever, except perhaps bedroom or bar sequences. The inadequacies in the field of medicine are so nicely brought forward by this movie, which is certainly over 30 years old! Now, I can understand why Munnabhai MBBS was such a hit. It had so beautifully adapted from this movie to match the present generation. Kudos to Vidhu Vinod Chopra and Sanjay Dutt (& Kamal Hassan too) for carrying this forward.Noticeable: ""BaaabuMushaai"", the nick name for Amitabh, as heard from Rajesh throughout the movie, will ring in your ears even hours after you have seen the six letters ""The End"" on the screen. There really is no end to such people! Some sequences were simply amazing. Those that stood apart in my mind were the last scene, with a tape that had a significant pause in between; the moun-vrath guru, who so symbolically said that there is so much more than the decaying body to Anand's soul; then of course the Munirbhai sequences and the eventual backfiring of this strategy and so many more! The songs were so gentle and heart warming! The comic timing of Rajesh Khanna was simply amazing! Verdict Present day filmmakers really need to rework their brains and start thinking much much better! There is much more to Hindi cinema than just skin-show and catchy item number songs. This is a MUST-WATCH movie! I did not think so when others told me, but having experienced it myself, I believe them! I am gonna check out the other MUST-WATCH movies prescribed by the previous generation.",no end,what outstanding movie i have heard all prior generation people rave about this movie so i decided check this movie out myself i only have faint memories having watched parts this movie my moms lap when she dad were watching this theater other reason why i decided check this out was super bowl half time debate whether amitabh was better than rajesh khanna i could not participate this debate two reasons first i was eagerly awaiting another wardrobe malfunction one cheerleaders secondly i only had memories one rajesh khanna movie haathi mere saathi i remember having enjoyed it very much as child but that alone was not enough quantify anything more recent performances ab were fresh my mind but after having seen this movie i decided that rajesh had class his own his chirpy performance this movie is really unparalleled what amazing performance amitabh being more junior has not equaled rajesh but has done his share very well thus even after watching this movie debate will continue whats new what can possibly be new old movie guess what there is plenty younger generation take away there is no education movies these days whatsoever except perhaps bedroom or bar sequences inadequacies field medicine are so nicely brought forward by this movie which is certainly over 30 years old now i can understand why munnabhai mbbs was such hit it had so beautifully adapted this movie match present generation kudos vidhu vinod chopra sanjay dutt kamal hassan too carrying this forward noticeable baaabumushaai nick name amitabh as heard rajesh throughout movie will ring your ears even hours after you have seen six letters end screen there really is no end such people some sequences were simply amazing those that stood apart my mind were last scene with tape that had significant pause between moun vrath guru who so symbolically said that there is so much more than decaying body anands soul then course munirbhai sequences eventual backfiring this strategy so many more songs were so gentle heart warming comic timing rajesh khanna was simply amazing verdict present day filmmakers really need rework their brains start thinking much much better there is much more hindi cinema than just skin show catchy item number songs this is must watch movie i did not think so when others told me but having experienced it myself i believe them i am gonna check out other must watch movies prescribed by previous generation,0.5058103896103895,0.22444025974025972,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.44, 'Sad': 0.17, 'Fear': 0.21}"
10,Excellent Melodrama !,"Rajesh Khanna had always won acclaim and registered his credits in the box office hits, whenever he portrayed a sentimental, morally strong and emotionally focused role. He also did a great job in SAFAR, wherein he portrayed a similar role of a cancer stricken patient.Nevertheless, he is not well at portraying the roles of ""an angry man"", ""a fighting sequence"", ""an overly volatile role"" and ""clownish comedy roles"" that can all be performed in a masterly manner by his arch rival, Amitabh Bachan.However, Rajesh Khanna's personification of a lively, vivacious, death defying and winsome portrayal of a cancer stricken man was stupendously performed. His person consummately excels in mimicking soft, romantic, sad, morose and boisterously exuberant roles.Many people contend that Amitabh would had done a better characterization if he had been offered an author backed role instead of Rajesh Khanna in ANAND. Here it may be kept in mind that Amitabh could not match a stunning performance in MILLI, where his real life spouse Jaya Bahaduri outperformed him. The bullock cart scene immediately followed by the song ""Kaheen door jab din dhal Jaye"" in ANAND speaks volumes of the excellently crafted direction of Hirsihkish Mukherjee and has enlisted his name among all time great directors. This song and the one ""Zindagi Kaisi he Paheli"" touch the latent strings of sublime imagination with poignant originality, which cannot even remotely be identified anywhere, among the fast, untamed, crazy and meaningless songs of this age of Indian Cinema ......which seems to be overly swamped by the temporal, vulgar and money minting mentality of the producers, directors and actors.That is to say, there is nothing worthwhile in contemporary cinema, which happens to be laden with tawdry vulgarity and incompetent intellectual standing, vis-a-vis the cerebral and in-depth creativity of movie makers of erstwhile days.",excellent melodrama,rajesh khanna had always won acclaim registered his credits box office hits whenever he portrayed sentimental morally strong emotionally focused role he also did great job safar wherein he portrayed similar role cancer stricken patient nevertheless he is not well at portraying roles angry man fighting sequence overly volatile role clownish comedy roles that can all be performed masterly manner by his arch rival amitabh bachan however rajesh khannas personification lively vivacious death defying winsome portrayal cancer stricken man was stupendously performed his person consummately excels mimicking soft romantic sad morose boisterously exuberant roles many people contend that amitabh would had done better characterization if he had been offered author backed role instead rajesh khanna anand here it may be kept mind that amitabh could not match stunning performance milli where his real life spouse jaya bahaduri outperformed him bullock cart scene immediately followed by song kaheen door jab din dhal jaye anand speaks volumes excellently crafted direction hirsihkish mukherjee has enlisted his name among all time great directors this song one zindagi kaisi he paheli touch latent strings sublime imagination with poignant originality which cannot even remotely be identified anywhere among fast untamed crazy meaningless songs this age indian cinema which seems be overly swamped by temporal vulgar money minting mentality producers directors actors that is say there is nothing worthwhile contemporary cinema which happens be laden with tawdry vulgarity incompetent intellectual standing vis vis cerebral depth creativity movie makers erstwhile days,0.6311827956989249,0.1398826979472141,Positive,"{'Happy': 0.2, 'Angry': 0.06, 'Surprise': 0.16, 'Sad': 0.22, 'Fear': 0.35}"
10,One of the best Hindi movies ever made.,"It is very rare for guys to shed tears after watching a movie, this movie does make you shed tears for Anand, the main protagonist played by the superstar of the 70's Rajesh Khanna.The movie has everything going for it. Acting, direction, story, music, dialogues etc... everything is fabulous. It has drama, humor, emotions in dollops. It is a story a dying man who looks at life with a positive attitude and enjoys his time knowing fully well his disease is incurable and that he is going to die soon.Rajesh Khanna as Anand is absolutely brilliant, this is his career-best performance , notwithstanding movies like Kati Patang, Roti, Aradhana, Amar Prem etc. You cannot think of any other actor in this role and to think Rajesh Khanna was not the original choice(Shashi Kapoor was). He makes you laugh and cry. He causes anxiety and goose bumps. Simply superb.Amitabh Bachchan is fantastic as babumoshai( a name with which Raj Kapoor used to address the film's director Hrishikesh Mukherjee). He showed the world that the next superstar was coming, though he really ""arrived"" a couple of years later. The rest of the supporting cast is also brilliant be it Johhny Walker(stands out) or Ramesh Deo or Seema or Sumitra. Everyone is wonderful.Music is the hallmark of all great hindi movies and this one has music ranking right up there, on the top. Be it ""Kahin door jab din dhal jaye"" or "" Maine tere liye hi saath rang"" or ""Zindagi kaisi hai paheli"". Maverick composer Salil Chowdury comes up with an absolutely fantastic score and singers Mukhesh and Manna Dey do complete justice to his tunes.About the director Hrishikesh Mukherjee, what can one say, he is one of the best directors ever in the Indian film history. A guy with a complete repertoire,a complete entertainer (though people consider other directors to be more entertaining, but real movie buffs will agree with me). All his movies, he has been directing movies since 1957 are worth a watch. Some are brilliant and others watchable. None of his movies can be rated as unwatchable(except maybe Jooth bole Kauwa kaate and Jhooti).Simply put, this is one of the best Hindi movies ever made.",one best hindi movies ever made,it is very rare guys shed tears after watching movie this movie does make you shed tears anand main protagonist played by superstar 70s rajesh khanna movie has everything going it acting direction story music dialogues etc everything is fabulous it has drama humor emotions dollops it is story dying man who looks at life with positive attitude enjoys his time knowing fully well his disease is incurable that he is going die soon rajesh khanna as anand is absolutely brilliant this is his career best performance notwithstanding movies like kati patang roti aradhana amar prem etc you cannot think any other actor this role think rajesh khanna was not original choice shashi kapoor was he makes you laugh cry he causes anxiety goose bumps simply superb amitabh bachchan is fantastic as babumoshai name with which raj kapoor used address films director hrishikesh mukherjee he showed world that next superstar was coming though he really arrived couple years later rest supporting cast is also brilliant be it johhny walker stands out or ramesh deo or seema or sumitra everyone is wonderful music is hallmark all great hindi movies this one has music ranking right up there top be it kahin door jab din dhal jaye or maine tere liye hi saath rang or zindagi kaisi hai paheli maverick composer salil chowdury comes up with absolutely fantastic score singers mukhesh manna dey do complete justice his tunes about director hrishikesh mukherjee what can one say he is one best directors ever indian film history guy with complete repertoire complete entertainer though people consider other directors be more entertaining but real movie buffs will agree with me all his movies he has been directing movies since 1957 are worth watch some are brilliant others watchable none his movies can be rated as unwatchable except maybe jooth bole kauwa kaate jhooti simply put this is one best hindi movies ever made,0.5131012506012508,0.38561537999038004,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.34, 'Sad': 0.24, 'Fear': 0.24}"
8,zindagi badi honi chahiye lambi nahin (life should be big not long),"In 1970, Rajesh Khanna was the biggest star and was shooting for multiple movies along with Anand. But it seems he would take some time out from his other schedules would come to Hrishi da and ask him if he could shoot the next scene from Anand. That's how eager and dedicated he was to Anand. Probably he knew that this was the movie that he would be remembered for.The movie narrates like the pages of a diary of one Dr. Bhaskar Bannerjee and his relationship with Anand Sehgal who he treated for cancer. Despite of such a heavy theme the movie is high spirited just like Anand Sehgal who likes to laugh in the face of death. Special mention should be made for attention given to each character in the movie. All the characters are well etched and everyone has given a truly inspired performance.The last sequence must be the most dramatic sequence that I have seen in any movie. Music by Salil Chaudhary and lyrics by Yogesh and Gulzar are apt and wonderful. Definitely one of the best movies made in India.",zindagi badi honi chahiye lambi nahin life should be big not long,1970 rajesh khanna was biggest star was shooting multiple movies along with anand but it seems he would take some time out his other schedules would come hrishi da ask him if he could shoot next scene anand thats how eager dedicated he was anand probably he knew that this was movie that he would be remembered movie narrates like pages diary one dr bhaskar bannerjee his relationship with anand sehgal who he treated cancer despite such heavy theme movie is high spirited just like anand sehgal who likes laugh face death special mention should be made attention given each character movie all characters are well etched everyone has given truly inspired performance last sequence must be most dramatic sequence that i have seen any movie music by salil chaudhary lyrics by yogesh gulzar are apt wonderful definitely one best movies made india,0.4473941798941799,0.20465608465608465,Positive,"{'Happy': 0.07, 'Angry': 0.04, 'Surprise': 0.15, 'Sad': 0.19, 'Fear': 0.56}"
10,Hrishikesh Mukherjee's best work...,"Hrishikesh Mukherjee has enriched Hindi cinema with such masterpieces as Gol Maal, Chupke Chupke, Mili, Abhimaan, Bawarchi, Khubsoorat. All of them relatively low on budget and high in quality. To think of it that he was directing at the breakneck speed of more than two movies a year. Mukherjee's movies were light hearted comic dramas, Anand too is comical at times. His other movies featured people struggling to keep a job, or fancying a marriage to film star, or struggling to keep up with a practical joke, Anand on the other hand is about struggling to live the short life you have.Anand is without doubt the best (and most popular) of Mukherjee's works. Rajesh Khanna's role as Anand, a patient with 'Lymphosarcoma (cancer) of the intestine' is probably his best acting ever. How Anand fights cancer brings tears to your eyes, even if you see this movie for the umpteenth. You laugh with Anand, you cry with him, you sing with him, you live the life he lives. Amitabh Bachchan's (Dr Banerjee) role of his square faced Bengali doctor, in a role so different from the roles that made him a superstar, (Bachchan was voted the greatest actor ever in the online BBC pole, though he played it down saying - this proves Indians do not have much to do on Internet) Amitabh does a wonderful job. Being a Bollywood movie that it is, there are some beautiful songs. I wonder - a Hollywood movie with songs is called a musical and all Bollywood movies are characterised as song and dance sequences. This is a stereotype that a lot of Hindi Movies won't fit into (then there are a lot that will). Anand for one has no dance sequence. Lot of beautiful songs though, that help the narrative and in character development like acting can't.For example you never see Anand unhappy for a second. You think he has no sorrows. Even the name of his illness is something to enjoy. Lymphosarcoma of the intestine is quite a name to have for a disease, Anand says in his ever cheerful voice (the word Anand means pleasure btw). Deep inside Anand knows he has limited time in the world and he wants to fill every life that he touches with happiness. In the process he starts growing closer to you. He talks to a complete stranger on the street like he knew him forever. He shares the sorrows of people he meets, gives them reason to smile. But never will let you into his own sad past. It is only through a song (a sort of soliloquy) he sings that you get a bit of information about his sad past - he himself wont share it with you.The movie won the 1972 Filmfare Award. One of the best works to come out of Bollywood.",hrishikesh mukherjees best work,hrishikesh mukherjee has enriched hindi cinema with such masterpieces as gol maal chupke chupke mili abhimaan bawarchi khubsoorat all them relatively low budget high quality think it that he was directing at breakneck speed more than two movies year mukherjees movies were light hearted comic dramas anand too is comical at times his other movies featured people struggling keep job or fancying marriage film star or struggling keep up with practical joke anand other hand is about struggling live short life you have anand is without doubt best most popular mukherjees works rajesh khannas role as anand patient with lymphosarcoma cancer intestine is probably his best acting ever how anand fights cancer brings tears your eyes even if you see this movie umpteenth you laugh with anand you cry with him you sing with him you live life he lives amitabh bachchans dr banerjee role his square faced bengali doctor role so different roles that made him superstar bachchan was voted greatest actor ever online bbc pole though he played it down saying this proves indians do not have much do internet amitabh does wonderful job being bollywood movie that it is there are some beautiful songs i wonder hollywood movie with songs is called musical all bollywood movies are characterised as song dance sequences this is stereotype that lot hindi movies wont fit into then there are lot that will anand one has no dance sequence lot beautiful songs though that help narrative character development like acting cant example you never see anand unhappy second you think he has no sorrows even name his illness is something enjoy lymphosarcoma intestine is quite name have disease anand says his ever cheerful voice word anand means pleasure btw deep inside anand knows he has limited time world he wants fill every life that he touches with happiness process he starts growing closer you he talks complete stranger street like he knew him forever he shares sorrows people he meets gives them reason smile but never will let you into his own sad past it is only through song sort soliloquy he sings that you get bit information about his sad past he himself wont share it with you movie won 1972 filmfare award one best works come out bollywood,0.4791860857818304,0.25969666267538605,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.31, 'Fear': 0.29}"
9,Poetry in Motion,"I saw this movie at the tender age of 13, the era, when Shammi Kapoor was rollicking on the slopes of Kashmir screaming yahoo! Yes, this word was invented by Shammi Kapoor! who I hear is a computer buff, I wonder if he has Yahoo email..yahoo@yahoo.com! When you can remember when and where you saw a movie it says something about the impact it made on you. A haunting melody, an exuberant performance, or a damsel actress that you had a secret crush on (I should confess that it was Asha Parekh!) So the scene that was struck in my young mind was, Rajesh Khanna, singing ""Kahin Door Jab Din Dhal Jaaye""...a haunting melody by any standards. So, when I wanted to watch a movie in solitude, one of my few choices was ""Anand"". I wanted the nostalgia that only a good movie can bring. Yes, the movie not only brought nostalgia, but also brought tears, melancholy and sadness, at which time, I realized, that a great director has worked me over. No one could have done justice to portraying a cancer stricken patient as Rajesh Khanna did in this classic. Khanna, was an upcoming actor at that time, and somehow the films he starred had some enchanting melodies and hummable tunes. ""Anand"", is one of the rare movies you enjoy watching because there is this silence afterwords, where words spoken would be a nuisance. The performance is subtle as compared to some of the garish over acting that we see by the imbecile Khans in the latter year movies so much so you hope there is never be a remake of this. This is one of the best performance by an actor, wherever this profession is practiced. Like any good movie, this was an amalgamation of talent, like the direction of Hrishikesh Mukherjee, music of Salil Chaudhry and a fine supporting cast that included Amitab Bachchan, who, incidentally, is subdued. That leaves me wondering if he was watching and learning from a great fellow actor at work. All said and done, this movie is etched in my memory, so much so, this is one of the Top Ten Indian Movies on my short list. Yes, a sheer Poetry in Motion.",poetry motion,i saw this movie at tender age 13 era when shammi kapoor was rollicking slopes kashmir screaming yahoo yes this word was invented by shammi kapoor who i hear is computer buff i wonder if he has yahoo email yahoo com when you can remember when where you saw movie it says something about impact it made you haunting melody exuberant performance or damsel actress that you had secret crush i should confess that it was asha parekh so scene that was struck my young mind was rajesh khanna singing kahin door jab din dhal jaaye haunting melody by any standards so when i wanted watch movie solitude one my few choices was anand i wanted nostalgia that only good movie can bring yes movie not only brought nostalgia but also brought tears melancholy sadness at which time i realized that great director has worked me over no one could have done justice portraying cancer stricken patient as rajesh khanna did this classic khanna was upcoming actor at that time somehow films he starred had some enchanting melodies hummable tunes anand is one rare movies you enjoy watching because there is this silence afterwords where words spoken would be nuisance performance is subtle as compared some garish over acting that we see by imbecile khans latter year movies so much so you hope there is never be remake this this is one best performance by actor wherever this profession is practiced like any good movie this was amalgamation talent like direction hrishikesh mukherjee music salil chaudhry fine supporting cast that included amitab bachchan who incidentally is subdued that leaves me wondering if he was watching learning great fellow actor at work all said done this movie is etched my memory so much so this is one top ten indian movies my short list yes sheer poetry motion,0.4948717948717949,0.18653846153846157,Positive,"{'Happy': 0.17, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.21, 'Fear': 0.21}"
10,A masterpiece cannot be remade.,This is one of masterpiece of Bollywood which cannot be re-made.. yes this is true.. Acting done by each and every character specially (Kaka) is remarkable..10/10 for sure.,masterpiece cannot be remade,this is one masterpiece bollywood which cannot be re made yes this is true acting done by each every character specially kaka is remarkable 10 10 sure,0.572063492063492,0.3914285714285714,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.29}"
10,A very touching movie.,"Excellent performances by Rajesh Khanna and Amitabh Bachchan. Both showed maturity and depth in their role. This movie is about a person (rajesh Khanna) who is dying of a dreaded disease but lives every moment of his life to fullest. He entertains others and brings happiness to their life. On the contrary, Amitabh Bachchan is young doctor who is frustrated and angry. Rajesh khanna befriends him and both go well with each other. Amitabh tries hard to cure Rajesh Khanna but in vain. Ultimately Rajesh khanna leaves not before leaving a message of love and happiness. Amitabh Bachchan was at his best. This was the first movie when he was seriously noticed by Bollywood. He exceed expectations. A versatile actor this is one of his many movies where he plays a role of serious, angry young man who hardly smiles. Though it was primarily Rajesh Khanna's movie but it catapulted Amitabh Bachchan into fame ultimately replacing Rajesh Khanna as numero uno. A must watchable for Rajesh Khanna and Amitabh fans.",very touching movie,excellent performances by rajesh khanna amitabh bachchan both showed maturity depth their role this movie is about person rajesh khanna who is dying dreaded disease but lives every moment his life fullest he entertains others brings happiness their life contrary amitabh bachchan is young doctor who is frustrated angry rajesh khanna befriends him both go well with each other amitabh tries hard cure rajesh khanna but vain ultimately rajesh khanna leaves not before leaving message love happiness amitabh bachchan was at his best this was first movie when he was seriously noticed by bollywood he exceed expectations versatile actor this is one his many movies where he plays role serious angry young man who hardly smiles though it was primarily rajesh khannas movie but it catapulted amitabh bachchan into fame ultimately replacing rajesh khanna as numero uno must watchable rajesh khanna amitabh fans,0.5670454545454545,0.12386363636363633,Positive,"{'Happy': 0.22, 'Angry': 0.17, 'Surprise': 0.09, 'Sad': 0.13, 'Fear': 0.39}"
10,My Favourite Movie Ever,"Anand is the most impressive movie by the director ""Hrishikesh Mukherjee"". his other movies like ""Abhimaan"" and ""Milli"" that also shows his directional sensitivity. Anand is a movie which speaks more than it scripts. It tells us more than its characters narrates the story. The impressive character no doubt is of Rajesh Khannna, but Amitabh is too much impressive. The ""Anand"" tells us how a man decided and then spent rest of his short life. A Man who had short time, but he wanted to live too much. for him, not the quantity but quality of life does matter. I recommend to see this movies more than once. And every time u see this movie, u'll end up with more brighter definition of film and life. The movie is too simple to narrate here, and tooo deep to express what i actually think about it.",my favourite movie ever,anand is most impressive movie by director hrishikesh mukherjee his other movies like abhimaan milli that also shows his directional sensitivity anand is movie which speaks more than it scripts it tells us more than its characters narrates story impressive character no doubt is rajesh khannna but amitabh is too much impressive anand tells us how man decided then spent rest his short life man who had short time but he wanted live too much him not quantity but quality life does matter i recommend see this movies more than once every time u see this movie ull end up with more brighter definition film life movie is too simple narrate here tooo deep express what i actually think about it,0.4783613445378151,0.33008021390374337,Positive,"{'Happy': 0.16, 'Angry': 0.08, 'Surprise': 0.24, 'Sad': 0.12, 'Fear': 0.4}"
8,"""Anand"" may be a tad bit too melodramatic in today's world, but it's timeless message still resonates today.","I enjoyed this movie because I thought the main character was extremely likable and consistently brought a smile to my face. This movie essentially tells you how it will end as soon as it starts, but it still wraps up with an emotional punch.",anand may be tad bit too melodramatic todays world but its timeless message still resonates today,i enjoyed this movie because i thought main character was extremely likable consistently brought smile my face this movie essentially tells you how it will end as soon as it starts but it still wraps up with emotional punch,0.4047619047619047,0.24523809523809523,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.36, 'Fear': 0.27}"
