Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,I became very sad at the end.,"First of all, I am also from Arunachal and Hitomi and we r from same tribe Galo so I watched this movie for her. It was such a good movie. Very funny at the beginning and by the end, I couldn't understand whose fault it was? Although Robot did malfunction at the end but still I too fell in love with that robot and it really felt like a child. Just like now we cannot live without our smartphone, similarly, life without robot became very difficult for Bhaskar that too when he cared and loved for that piece. I am very sad. Just finished watching.",i became very sad at end,first all i am also arunachal hitomi we r same tribe galo so i watched this movie her it was such good movie very funny at beginning by end i couldnt understand whose fault it was although robot did malfunction at end but still i too fell love with that robot it really felt like child just like now we cannot live without our smartphone similarly life without robot became very difficult bhaskar that too when he cared loved that piece i am very sad just finished watching,0.6198717948717949,0.06625874125874125,Positive,"{'Happy': 0.18, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.24, 'Fear': 0.24}"
8,A very rare Malayalam cinema.,"AKV5.25 is a sci-fi comedy movie. A sci-fi genre is a rare case in Mollywood and we should note that the films under this genre are not remembered in Mollywood. But this movie will be remembered and cherished for a long time. The film is very funny and at the same time thoughtful. All the technical departments like direction, cinematography, editing, music etc. has done a very good job. They have done a pretty decent job in scenes in Russia too. All the performances were very good and Suraj Venjarammodu was another level. He was in his top form and he proves again that he is one of the best actors in Malayalam. Soubin Shahir have also done a good job. The performances of Saiju Kurippu, Kendy Zirdo and Maala Parvathi also deserves to be noted. One of the main character in this movie is the robot and they have done a very good job in making it realistic. The first half was very entertaining but the second half was very slow at some parts. The ending was also good and it will make us wonder for sometime. Overall, AKV5.25 is a very good movie and a must watch entertainment time.",very rare malayalam cinema,akv5 25 is sci fi comedy movie sci fi genre is rare case mollywood we should note that films under this genre are not remembered mollywood but this movie will be remembered cherished long time film is very funny at same time thoughtful all technical departments like direction cinematography editing music etc has done very good job they have done pretty decent job scenes russia too all performances were very good suraj venjarammodu was another level he was his top form he proves again that he is one best actors malayalam soubin shahir have also done good job performances saiju kurippu kendy zirdo maala parvathi also deserves be noted one main character this movie is robot they have done very good job making it realistic first half was very entertaining but second half was very slow at some parts ending was also good it will make us wonder sometime overall akv5 25 is very good movie must watch entertainment time,0.5027777777777778,0.33820987654320983,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.11, 'Fear': 0.39}"
9,"A small Sci-Fi Emotional Comedy/drama movie, that us Malayalis can be proud of!","I didn't go into this movie with much expectations but this movie surely surprised me. A career best performance by Suraj, good direction and a well executed emotional Sci-Fi story about human values and how an Android brings about a change in an Old Man and also the people surrounding him. Hopefully, this movie does well at the box office cause it would be a shame if it fails.",small sci fi emotional comedy drama movie that us malayalis can be proud,i didnt go into this movie with much expectations but this movie surely surprised me career best performance by suraj good direction well executed emotional sci fi story about human values how android brings about change old man also people surrounding him hopefully this movie does well at box office cause it would be shame if it fails,0.4818181818181818,0.19545454545454544,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.22}"
9,Big hug to Suraj Sir.,"I have nothing to tell excepting ""Lots of Love from TN"". Becoming a big fan of him after Driving Licence and this",big hug suraj sir,i have nothing tell excepting lots love tn becoming big fan him after driving licence this,0.41250000000000003,0.2375,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.25}"
7,"Funny, relevant, and occasionally thought-provoking! [+71%]","Sci-fi has never been Malayalam cinema's forte and previous efforts in the genre have largely been half-baked. Android Kunjappan is probably one of the most hard-hitting sci-fi entries in Indian cinema, and for that effort, writer-director Ratheesh Poduval deserves applause. The all-too-ghastly opening scene gives hints of a sci-fi spectacle. But in a jiffy, it cuts away to a by-now-familiar village setting in Kerala. The scene introducing Bhaskaran (played by a nuanced Suraj Venjaramoodu) and his notoriously grumpy attitude is terrific. It's a post-death-ritual scene laced with plenty of humour and it showcases Bhaskaran's shades sufficiently well.Subramanian is the son of Bhaskaran who hasn't made it big in life largely because he was forced to be around his ageing, needy dad. When the opportunity to take up a job in Russia pops up, he tries to pull off every trick in the book to ensure that he gets out of the small-town life and from the clutches of his dad. But his miseries don't end even while he's away in a different continent. Home-nurses leave as quickly as they arrive, citing Bhaskaran's tough-to-deal-with attitude. This is where the adorable Android (a prototype-project that Subramanian's employer is working on) superficially enters the life of Bhaskaran as a helping hand.While the intentions of the writer/director are genuine, how the way-too-old-fashioned Bhaskaran takes to the robot's growing presence in his life isn't portrayed properly. It feels more like a storyline contrivance that the writer does not want to address. The film asks its viewers to conveniently accept this because the scenes revolving around the idea are supremely entertaining and at times laugh-out-loud funny. It also helps that the humour is always situational and the lead characters are handled by actors such as Suraj and Soubin.The film is tonally all over the place. While it poses contemporary and relevant ideas, it also appears slightly regressive in its approach on very few occasions. That said, the bigger theme that the writer is trying to convey is of the sense of belonging that human nature comes packaged with and that every human being (however their outlook towards life maybe) long for care, affection, and attention. The point is not completely driven home through that detached finale though. This may also be the reason why the scenes in Payyanur can connect better with the audience than the ones that play out in Russia.The Russia sequences also feature a romantic development between Subramani and Hitomi (a half Malayali, half Japanese engineer and Subramanian's colleague) which aren't the film's most convincing stretches. But Kendy Zirdo does amp up the cuteness quotient of the already-cute flick (thanks to the appearance and mannerisms of the actual robot). Android Kunjappan's strong points also include the humour-filled dialogues/one-liners that writer/director Ratheesh Poduval offers to the supporting (fellow-villager) characters played by Saiju Kurup, Rajesh Madhavan, Unni Raja, Sivadas Kannur, Maala Parvathi, and many more.The film is very E.T-like in its approach. An unfamiliar entity landing in a regular neighbourhood and the impact it has on certain people - that's the core of Android Kunjappan as well. It does go the route of Joaquin Phoenix's Her for a bit, but thanks to the more-humour-and-less-depressing-philosophy treatment of the script, the film stays afloat. It's the little things that work in favour of Android Kunjappan and that's a fair reason to give it your time!",funny relevant occasionally thought provoking,sci fi has never been malayalam cinemas forte previous efforts genre have largely been half baked android kunjappan is probably one most hard hitting sci fi entries indian cinema that effort writer director ratheesh poduval deserves applause all too ghastly opening scene gives hints sci fi spectacle but jiffy it cuts away by now familiar village setting kerala scene introducing bhaskaran played by nuanced suraj venjaramoodu his notoriously grumpy attitude is terrific its post death ritual scene laced with plenty humour it showcases bhaskarans shades sufficiently well subramanian is son bhaskaran who hasnt made it big life largely because he was forced be around his ageing needy dad when opportunity take up job russia pops up he tries pull off every trick book ensure that he gets out small town life clutches his dad but his miseries dont end even while hes away different continent home nurses leave as quickly as they arrive citing bhaskarans tough deal with attitude this is where adorable android prototype project that subramanians employer is working superficially enters life bhaskaran as helping hand while intentions writer director are genuine how way too old fashioned bhaskaran takes robots growing presence his life isnt portrayed properly it feels more like storyline contrivance that writer does not want address film asks its viewers conveniently accept this because scenes revolving around idea are supremely entertaining at times laugh out loud funny it also helps that humour is always situational lead characters are handled by actors such as suraj soubin film is tonally all over place while it poses contemporary relevant ideas it also appears slightly regressive its approach very few occasions that said bigger theme that writer is trying convey is sense belonging that human nature comes packaged with that every human being however their outlook towards life maybe long care affection attention point is not completely driven home through that detached finale though this may also be reason why scenes payyanur can connect better with audience than ones that play out russia russia sequences also feature romantic development between subramani hitomi half malayali half japanese engineer subramanians colleague which arent films most convincing stretches but kendy zirdo does amp up cuteness quotient already cute flick thanks appearance mannerisms actual robot android kunjappans strong points also include humour filled dialogues one liners that writer director ratheesh poduval offers supporting fellow villager characters played by saiju kurup rajesh madhavan unni raja sivadas kannur maala parvathi many more film is very e t like its approach unfamiliar entity landing regular neighbourhood impact it has certain people thats core android kunjappan as well it does go route joaquin phoenixs her bit but thanks more humour less depressing philosophy treatment script film stays afloat its little things that work favour android kunjappan thats fair reason give it your time,0.44738880167451595,0.13052595112118925,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.19, 'Sad': 0.18, 'Fear': 0.42}"
9,A big salute to Malayalam Cinema for giving a lesson to Hollywood and World Cinema on how to make a Masterpiece Human Drama with Sci Fi touch.,"Android Kunjappan Version 5.25 (2019) : Brief Review -A big salute to Malayalam Cinema for giving a lesson to Hollywood and World Cinema on how to make a Masterpiece Human Drama with Sci Fi touch. What are those Cult sci-fi flicks you remember from world cinema? Let me help you, ok so the first Masterpiece in this genre was German Flick 'Metropolis' (1927) then there was a big gap untill we met Spielberg's 'ET The Extra Terrestrial' and Cameron's 'Terminator'. Then there were animated flicks like 'Big Hero 6' and 'Wall-E' and Shankar's action oriented 'Endhiran'. So, this is my list of those sci-fi flicks which had human characters as well as Machine character, of course that doesn't apply to ET but see, even in that film we had Alien's character which is sort of sci-fi, if not a machine. The point is these films tried to create a bond between Human and Inhuman character (that's perfect word i guess, better than Sci-Fi or Machines) and the cumulative efforts were highly moving. Here's something new with the same old storyline Android Kunjappan Version 5.25. It's highly innovative, very intelligent, smartly crafted story with heart at right place. It's just not that, it is something more that cannot be explained here in brief summary. It must be watched to feel it and understand and believe me, just like me you will also find it difficult to explain it to someone. What even Spielberg's ET couldn't achieve, that intellectual and thoughtful material is achieved by this film. This is not an overstatement, i mean it fully. It is much more emotional, clever and heart touching than ET, Period. I don't give 9/10* to even many Cult films, but I'm gonna give it to this film and the reason is, it has sent a message to world cinema that, ""yes, if we try then can do better than you."" The climax is so powerful and effective that it easily makes it one of the greatest film of the decade. Strongly recommended and i just wish that you really understand the subtle meaning of it.RATING - 9/10*By - #samthebestest.",big salute malayalam cinema giving lesson hollywood world cinema how make masterpiece human drama with sci fi touch,android kunjappan version 5 25 2019 brief review big salute malayalam cinema giving lesson hollywood world cinema how make masterpiece human drama with sci fi touch what are those cult sci fi flicks you remember world cinema let me help you ok so first masterpiece this genre was german flick metropolis 1927 then there was big gap untill we met spielbergs et extra terrestrial camerons terminator then there were animated flicks like big hero 6 wall e shankars action oriented endhiran so this is my list those sci fi flicks which had human characters as well as machine character course that doesnt apply et but see even that film we had aliens character which is sort sci fi if not machine point is these films tried create bond between human inhuman character thats perfect word i guess better than sci fi or machines cumulative efforts were highly moving heres something new with same old storyline android kunjappan version 5 25 its highly innovative very intelligent smartly crafted story with heart at right place its just not that it is something more that cannot be explained here brief summary it must be watched feel it understand believe me just like me you will also find it difficult explain it someone what even spielbergs et couldnt achieve that intellectual thoughtful material is achieved by this film this is not overstatement i mean it fully it is much more emotional clever heart touching than et period i dont give 9 10 even many cult films but im gonna give it this film reason is it has sent message world cinema that yes if we try then can do better than you climax is so powerful effective that it easily makes it one greatest film decade strongly recommended i just wish that you really understand subtle meaning it rating 9 10 by,0.459900383707202,0.22576962809917356,Positive,"{'Happy': 0.0, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.3, 'Fear': 0.4}"
7,Decent movie.,"The movie is actually good. Suraj, Soubin, Saiju and Kujappan robot done a great job. The movie is little bit laggy and im got angry while hearing the malayalam of Japanese character. I ts a unwanted character in the movie. I would rated high if the movie is without that character.The ending also feel bit sloppy. A better ending and little fast paced story would made it a class. They already showed all best scenes in Youtube which made me disappointed.",decent movie,movie is actually good suraj soubin saiju kujappan robot done great job movie is little bit laggy im got angry while hearing malayalam japanese character i ts unwanted character movie i would rated high if movie is without that character ending also feel bit sloppy better ending little fast paced story would made it class they already showed all best scenes youtube which made me disappointed,0.5735897435897436,0.11423076923076919,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.14, 'Fear': 0.45}"
10,Thoroughly Enjoyable And Entertaining Film,"I don't usually care for anything that looks like sci - fi so Android Kunjappan was not initially on my To Watch list. But the reviews were good and Suraj Venjaramoodu is an excellent actor so I decided to give it a shot last night on PrimeVideo with English subtitles. I am so glad I did.AK is really such an entertaining and enjoyable film. One cant help but fall in love with the ever so cute robot Kunjappan - as he is lovingly named by Bhaskaran's neighbours.Brilliant acting by Suraj and a wonderfully different plot, superb camera work, great sets and locations, a fair dose of humour as well as several poignant moments and a touching story.If you havent seen this already, dont miss it. It is really worth a watch. Well done Android Kunjappan the entire team.",thoroughly enjoyable entertaining film,i dont usually care anything that looks like sci fi so android kunjappan was not initially my watch list but reviews were good suraj venjaramoodu is excellent actor so i decided give it shot last night primevideo with english subtitles i am so glad i did ak is really such entertaining enjoyable film one cant help but fall love with ever so cute robot kunjappan as he is lovingly named by bhaskarans neighbours brilliant acting by suraj wonderfully different plot superb camera work great sets locations fair dose humour as well as several poignant moments touching story if you havent seen this already dont miss it it is really worth watch well done android kunjappan entire team,0.5592948717948718,0.375,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.1, 'Fear': 0.28}"
7,A clean movie with a new plot,One of the best and clean movies devoid of violence and sex. All the actors have done well especially the father son duo.Direction is also flawless. A must to see family movie.,clean movie with new plot,one best clean movies devoid violence sex all actors have done well especially father son duo direction is also flawless must see family movie,0.6220779220779222,0.3956709956709957,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.33, 'Fear': 0.0}"
10,A perfect masterpiece,Machine and human. Therir bond. Pros and cons. A future analysis. It also discuss about loneliness of old people.,perfect masterpiece,machine human therir bond pros cons future analysis it also discuss about loneliness old people,0.35625,0.275,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.5}"
