Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,A very neat murder mystery thriller.,"This is definitely a worth watching murder mystery thriller. The thrilling tone is maintained right from the beginning till the end.At first, some initial scenes may give an impression that the movie would become goofy as it progresses. But it doesn't. It maintains the amount of seriousness and logic one expects out of such movies.There is absolutely no digression from the main story. No songs. No super star heroism. No melodrama.The plot is one hell of a one. Keeps us really engaged.Coming to acting, Kunchacko Boban did his part of a psychologist neatly. Then there is a stellar performance from Unnimaya Gopan. There are other excellent performances which cannot be told without it being spoilers.Music really elevates the scenes and thrills to another level. The camera work was good even though it could have been made better. The editing was very good.If there are flaws, they are all minor ones. Even though the story/plot is clearly the winner here, some parts in the beginning of the second act made the plot go slow. But it soon gets compensated as the movie goes forward. It can also be said that the last few scenes had some minor problems with logic. But it doesn't really compromise on the thrills and suspense.Another minor problem was the character of Sreenath Bhasi. He comes as a young techie. The character is one in which Bhasi has got typecasted. His presence was mainly to give some comic relief. Such a character's presence cannot actually be justified. But it doesn't really affect the whole movie. Just a minor flaw. Maybe they didn't have the confidence to make the film without any comic relief.The dialogues at some points felt a bit artificial. But for the most part they were good.All these minor problems are just nitpicking. If you want to see a murder mystery thriller movie with a very good plot, you definitely need to see this.",very neat murder mystery thriller,this is definitely worth watching murder mystery thriller thrilling tone is maintained right beginning till end at first some initial scenes may give impression that movie would become goofy as it progresses but it doesnt it maintains amount seriousness logic one expects out such movies there is absolutely no digression main story no songs no super star heroism no melodrama plot is one hell one keeps us really engaged coming acting kunchacko boban did his part psychologist neatly then there is stellar performance unnimaya gopan there are other excellent performances which cannot be told without it being spoilers music really elevates scenes thrills another level camera work was good even though it could have been made better editing was very good if there are flaws they are all minor ones even though story plot is clearly winner here some parts beginning second act made plot go slow but it soon gets compensated as movie goes forward it can also be said that last few scenes had some minor problems with logic but it doesnt really compromise thrills suspense another minor problem was character sreenath bhasi he comes as young techie character is one which bhasi has got typecasted his presence was mainly give some comic relief such characters presence cannot actually be justified but it doesnt really affect whole movie just minor flaw maybe they didnt have confidence make film without any comic relief dialogues at some points felt bit artificial but most part they were good all these minor problems are just nitpicking if you want see murder mystery thriller movie with very good plot you definitely need see this,0.42305291005291007,0.17994179894179899,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.16, 'Fear': 0.46}"
7,Loopholes,2 loopholes at the end which lopsided the so far balanced movie.Fidget Spinner is a common thing nowadays with that tracing back the old criminal didn't impress me.How do they conclude the 2 suspects death suicide? No ballistics report? With the ballistics forensics they could have easily found third person in the house.,loopholes,2 loopholes at end which lopsided so far balanced movie fidget spinner is common thing nowadays with that tracing back old criminal didnt impress me how do they conclude 2 suspects death suicide no ballistics report with ballistics forensics they could have easily found third person house,0.4404761904761905,-0.009523809523809521,Negative,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.2, 'Fear': 0.6}"
7,Decent thriller movie - (6.8),"Anjaam Pathira is a serial killer thriller movie. TLDR it's a decent thriller movie to watch. It's a good thriller movie released in Malayalam.First half was good with thrilling scenes and second half was decent.Direction and cinematography is good.Coming to negatives, there are some loopholes in the movie. Story is not that great with many cliche's.Acting is ok. The actor who played the serial killer is a good actor, but I felt he was a miscast for this role.Final Verdict - A decent serial killer thriller movie.",decent thriller movie 6 8,anjaam pathira is serial killer thriller movie tldr its decent thriller movie watch its good thriller movie released malayalam first half was good with thrilling scenes second half was decent direction cinematography is good coming negatives there are some loopholes movie story is not that great with many cliches acting is ok actor who played serial killer is good actor but i felt he was miscast this role final verdict decent serial killer thriller movie,0.5268518518518518,0.30185185185185187,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.47, 'Sad': 0.12, 'Fear': 0.12}"
7,"Some minor plot holes can be overlooked in a gripping, well made thriller that keeps you on the edge of your seats!!","The director that we knew and loved from the Aadu series makes a roaring comeback with Anjaam Pathiraa, a murder mystery thriller that keeps you hooked throughout. Midhun Manuel Thomas deftly combines a haunting background score with smart visuals and an in-form Kunjacko Boban to gradually build suspense and intrigue, delivering the best Malayalam crime thriller I have seen since Memories and Drishyam.Although there are significant plot holes towards the end, the well written characters and their back stories leave you wanting for more. Loved the subtle homages to Hannibal Lecter and to the Creep series in the second half.An engaging thriller and surely the first big hit of 2020!",some minor plot holes can be overlooked gripping well made thriller that keeps you edge your seats,director that we knew loved aadu series makes roaring comeback with anjaam pathiraa murder mystery thriller that keeps you hooked throughout midhun manuel thomas deftly combines haunting background score with smart visuals form kunjacko boban gradually build suspense intrigue delivering best malayalam crime thriller i have seen since memories drishyam although there are significant plot holes towards end well written characters their back stories leave you wanting more loved subtle homages hannibal lecter creep series second half engaging thriller surely first big hit 2020,0.4886160714285714,0.2930803571428572,Positive,"{'Happy': 0.15, 'Angry': 0.15, 'Surprise': 0.15, 'Sad': 0.3, 'Fear': 0.25}"
9,A special treat for anyone who loves crime mystery/thrillers,"After a long time (read 'after Drishyam'), Malayalam film industry has produced yet another gem of a crime thriller. The story is about an aspirong criminologist who gets involved with the police in catching a serial killer who goes about killing policemen one by one. It is also said to be inspired by true events.Right from the first shot itself, the director wastes no time in putting the characters & plot into motion. With each passing scene, you're drawn deeper into the mystery of the killers, who they & what do they want. The pacing is immensely good, the dialogues are realistic & crisp, the editing is superb & the background score is chilling enough. The visuals are powerful & borderline spooky at times. All the actors are in fine form & convince us enough to invest all our attention into the plot. In the first half, there literally isn't one single moment where you're not thinking 'What's next?'. Credit goes to the script writers for writing a gripping plot that keeps you engaged throughout the movie. The mystery unravels well & is quite satisfactory in the end.The movie isn't without its cons. The regular usage of the term 'psychology' in the movie isn't validated as the director chooses not to explore much in that direction in the second half. This causes discrepancies in the thought process in the first half amd second half of the movie. Also, the second half gets a tad bit dragged because it carries the burden of revealing all the answers to the questions it raises in the first half. Apart from this, the movie is an excellent crime thriller & a MUST WATCH",special treat anyone who loves crime mystery thrillers,after long time read after drishyam malayalam film industry has produced yet another gem crime thriller story is about aspirong criminologist who gets involved with police catching serial killer who goes about killing policemen one by one it is also said be inspired by true events right first shot itself director wastes no time putting characters plot into motion with each passing scene youre drawn deeper into mystery killers who they what do they want pacing is immensely good dialogues are realistic crisp editing is superb background score is chilling enough visuals are powerful borderline spooky at times all actors are fine form convince us enough invest all our attention into plot first half there literally isnt one single moment where youre not thinking whats next credit goes script writers writing gripping plot that keeps you engaged throughout movie mystery unravels well is quite satisfactory end movie isnt without its cons regular usage term psychology movie isnt validated as director chooses not explore much that direction second half this causes discrepancies thought process first half amd second half movie also second half gets tad bit dragged because it carries burden revealing all answers questions it raises first half apart this movie is excellent crime thriller must watch,0.4009319112260288,0.15602240896358535,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.35, 'Sad': 0.15, 'Fear': 0.3}"
6,An average psycho thriller movie,This movie gives me the Ratsasan vibe to some extend. The movie started well but somehow ending messed up all. I don't know why the director needed to put the revenge concept in it.,average psycho thriller movie,this movie gives me ratsasan vibe some extend movie started well but somehow ending messed up all i dont know why director needed put revenge concept it,0.39999999999999997,-0.15,Negative,"{'Happy': 0.0, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.5}"
8,Loved it!,"This is indeed an immersive seat edger and a major game changer for Malayalam movies. From now on, probably most of the investigation/killer movies are going to be benchmarked based on this one. Pretty much everything about this movie, right from casting till direction is overly impressive. The sound design and music gets my special attention since it created a ""never before"" feel among Malayalam or maybe even other Indian language movies.This is the end product of a quintessential amalgamation of all the individual and minute building blocks that makes a movie. Wonderful!",loved it,this is indeed immersive seat edger major game changer malayalam movies now probably most investigation killer movies are going be benchmarked based this one pretty much everything about this movie right casting till direction is overly impressive sound design music gets my special attention since it created never before feel among malayalam or maybe even other indian language movies this is end product quintessential amalgamation all individual minute building blocks that makes movie wonderful,0.5909340659340659,0.3254120879120879,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.2, 'Fear': 0.27}"
7,A gritty tale,"I am marvelled at South's ability to churn out quality thrillers one after another. Anjaam Pathira (The Fifth Midnight) is the latest Malayalam film to be a part of this bandwagon.The story is about a shadowy serial killer who targets Cops!!! After a string of gruesome killings, Kochi Police DCP Catherine (Unnimaya) upon the advice of ACP Anil (Jinu) ropes in criminal psychologist Anwar Hussain (Kunchako) to help them crack the case. Together they begin the hunt for the perpetrator who employs brutal and unique methods for committing the murders.I have always believed grit is the most vital component of a thriller. The moment you lose the tempo, the story is bound to lose the edge. This is where the movie scores brilliantly. Writer Director Midhun Manuel Thomas renders a taut tale where we come across ghastly crimes, compelling scenes and sharp twists & turns at every crucial juncture. This engaging treatment which doesn't allow the tone to slack off is the movie's strongest asset. Yes there are flaws. There are certain minute details which call for an explanation (the figurine story, the burning incident hypothesis). English dialogues appeared a bit contrived. There are a few cliches which could have been avoided.But Anjaam Pathira overall remains a riveting tale of suspense where the right elements are combined in apt proportions. There are horrific crimes, startling revelations and a good backstory. One can't help drawing a parallel to the Tamil movie Ratsasan (The Devil). While Ratsasan had a more interesting plot development, Anjaam Pathira's ending is better fleshed out.You will love it.",gritty tale,i am marvelled at souths ability churn out quality thrillers one after another anjaam pathira fifth midnight is latest malayalam film be part this bandwagon story is about shadowy serial killer who targets cops after string gruesome killings kochi police dcp catherine unnimaya upon advice acp anil jinu ropes criminal psychologist anwar hussain kunchako help them crack case together they begin hunt perpetrator who employs brutal unique methods committing murders i have always believed grit is most vital component thriller moment you lose tempo story is bound lose edge this is where movie scores brilliantly writer director midhun manuel thomas renders taut tale where we come across ghastly crimes compelling scenes sharp twists turns at every crucial juncture this engaging treatment which doesnt allow tone slack off is movies strongest asset yes there are flaws there are certain minute details which call explanation figurine story burning incident hypothesis english dialogues appeared bit contrived there are few cliches which could have been avoided but anjaam pathira overall remains riveting tale suspense where right elements are combined apt proportions there are horrific crimes startling revelations good backstory one cant help drawing parallel tamil movie ratsasan devil while ratsasan had more interesting plot development anjaam pathiras ending is better fleshed out you will love it,0.6312807881773399,0.09568965517241379,Positive,"{'Happy': 0.07, 'Angry': 0.09, 'Surprise': 0.35, 'Sad': 0.26, 'Fear': 0.23}"
6,A respectable effort,"Anjaam Pathira wasn't half bad. It was very gripping until the last 20 minutes. Despite some bad casting, a feminist character that adds nothing to the movie and a ridiculous ending, the film was gripping throughout. No Malayalam movie in the last one year has held my attention like Anjaam Pathira did.The film was really intriguing until the last thirty minutes. There are some nice twists. The police procedural elements were very imaginative and really got me involved in the movie. Writer-director Midhun Manuel Thomas has done a good job here.The audience clapped at both the interval and ending time.",respectable effort,anjaam pathira wasnt half bad it was very gripping until last 20 minutes despite some bad casting feminist character that adds nothing movie ridiculous ending film was gripping throughout no malayalam movie last one year has held my attention like anjaam pathira did film was really intriguing until last thirty minutes there are some nice twists police procedural elements were very imaginative really got me involved movie writer director midhun manuel thomas has done good job here audience clapped at both interval ending time,0.554,0.15533333333333338,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.33}"
7,Anjaam Pathiraa joins the ranks of Memories and Mumbai Police ; a superb taut thriller.,"For those who wondering why i gave Anjaam Pathiraa a 7 after describing the film as beyond excellent, the reason lies in the fact that Malayalam film industry, although one of the best in the country, haven't had that many crime thrillers that we can boast about. Drishyam might be your response, but hey that's just one.Kunchacko Boban delivers yet again a Kunchacko Boban performance. Sreenath Bhasi was the most natural out of the cast ; shines as always. Indrans. Oh Indrans. He delivers a spine-chilling monologue for the film, which is quite unusual for malayalam films. If you're missing the 'monologue-esque' opening of Anjaam Pathiraa, you are missing the best scene of the film. Other performances, although average, never made me pull out of the atmosphere the film had set.The film has its drawbacks. I'm just admitting it right away. It's not the 'perfect' crime thriller and partly the reason why critics are gonna hit on this film. I can see the 3/5 ratings a mile away (hey TOI). It's a better film than what those 3/5 reviews may make you think the film is, but it's not something that you should build your inner hype train for.I'm not gonna stretch this review, just gonna say that Midhun Manuel Thomas did a full 180 from his previous semi-disaster flick Argentina Fans Katoorkadavu. So naturally i had quite a bit worry before going in to watch Anjaam Pathiraa.",anjaam pathiraa joins ranks memories mumbai police superb taut thriller,those who wondering why i gave anjaam pathiraa 7 after describing film as beyond excellent reason lies fact that malayalam film industry although one best country havent had that many crime thrillers that we can boast about drishyam might be your response but hey thats just one kunchacko boban delivers yet again kunchacko boban performance sreenath bhasi was most natural out cast shines as always indrans oh indrans he delivers spine chilling monologue film which is quite unusual malayalam films if youre missing monologue esque opening anjaam pathiraa you are missing best scene film other performances although average never made me pull out atmosphere film had set film has its drawbacks im just admitting it right away its not perfect crime thriller partly reason why critics are gonna hit this film i can see 3 5 ratings mile away hey toi its better film than what those 3 5 reviews may make you think film is but its not something that you should build your inner hype train im not gonna stretch this review just gonna say that midhun manuel thomas did full 180 his previous semi disaster flick argentina fans katoorkadavu so naturally i had quite bit worry before going watch anjaam pathiraa,0.504702380952381,0.23470238095238086,Positive,"{'Happy': 0.05, 'Angry': 0.1, 'Surprise': 0.23, 'Sad': 0.38, 'Fear': 0.25}"
