Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,My Introduction To Satyajit Ray,"Even as the middle segment of a trilogy, this was my introduction to Satyajit Ray, turning me into an instant fan, and is one of the greatest films I've seen. The neo-realist leanness the film is completely absorbing & is perfectly matched to the characters. Not having been to India, I'll admit to being unsure of how true to reality the look of the film is, but Ray's gift for detail is in a league of its' own - I consider the opening scenes (establishing shots from Benares intercut with shots of young Apu running through narrow lanes) to be among cinema's most memorable moments, and a great example of allowing images and rhythm to tell a story. I don't want to overstate it, but this is a really beautiful, haunting film - from it's warmest to it's most tragic elements, I was thinking about it for quite a while afterwards. APARAJITO is obviously the work of a genuinely enthusiastic filmmaker, and also a great thinker as well - every cinephile should see it. Would love to see all of Ray's work available in the US, and on DVD.",my introduction satyajit ray,even as middle segment trilogy this was my introduction satyajit ray turning me into instant fan is one greatest films ive seen neo realist leanness film is completely absorbing is perfectly matched characters not having been india ill admit being unsure how true reality look film is but rays gift detail is league its own i consider opening scenes establishing shots benares intercut with shots young apu running through narrow lanes be among cinemas most memorable moments great example allowing images rhythm tell story i dont want overstate it but this is really beautiful haunting film its warmest its most tragic elements i was thinking about it quite while afterwards aparajito is obviously work genuinely enthusiastic filmmaker also great thinker as well every cinephile should see it would love see all rays work available us dvd,0.7007936507936507,0.34523809523809523,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.25, 'Fear': 0.33}"
9.0,Superior Film-making,"Although Satajit Ray was to old, sick and spent to fully appreciate his special Oscar, it was to the Academy's credit that it finally did recognize this supreme artist.It's often been said that ""Aparajito"" is the lesser of the three film that comprise ""The Apu Trilogy."" I personally don't buy that. Here is a finely etched portrait of a young man as he leaves his primitive Indian village and widowed mother to better himself through education at a Calcutta University.The relationship between mother and son are beautifully presented, with their differing values representative of passing generations. The circumstances may be specific, while the story is universal.It is about the age-old tension between human choices and challenging environments, about the balancing of values in achieving one's heart's desires.The emotional fluctuations felt by both mother and son are sharply depicted, including the loss of one's parents as a unique, one-time experience. One must pick up the pieces and move on, as Apu does.Viewing ""Pather Panchali,"" ""Aparajito"" and ""The World of Apu"" in one continuous sequence is the proper way to get the full impact of this incredible piece of work.",superior film making,although satajit ray was old sick spent fully appreciate his special oscar it was academys credit that it finally did recognize this supreme artist its often been said that aparajito is lesser three film that comprise apu trilogy i personally dont buy that here is finely etched portrait young man as he leaves his primitive indian village widowed mother better himself through education at calcutta university relationship between mother son are beautifully presented with their differing values representative passing generations circumstances may be specific while story is universal it is about age old tension between human choices challenging environments about balancing values achieving ones hearts desires emotional fluctuations felt by both mother son are sharply depicted including loss ones parents as unique one time experience one must pick up pieces move as apu does viewing pather panchali aparajito world apu one continuous sequence is proper way get full impact this incredible piece work,0.5305900621118014,0.18737060041407871,Positive,"{'Happy': 0.08, 'Angry': 0.12, 'Surprise': 0.15, 'Sad': 0.23, 'Fear': 0.42}"
10.0,Another Masterpiece from Ray,"'Aparajito', the second film of Satyajit Ray's brilliant 'Apu Trilogy', is one of the great masterpieces of film. The gritty realism melds expertly with the beautiful shot selection and cinematography. In fact, I would say Ray's India is presented at least as well as John Ford's American West. What is essentially a simple tale of one particular family turns into an epic of emotion and the difficulties of growing up. Truly amazing.",another masterpiece ray,aparajito second film satyajit rays brilliant apu trilogy is one great masterpieces film gritty realism melds expertly with beautiful shot selection cinematography fact i would say rays india is presented at least as well as john fords american west what is essentially simple tale one particular family turns into epic emotion difficulties growing up truly amazing,0.5354978354978356,0.2833333333333334,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.08, 'Fear': 0.23}"
7.0,Parents do not Live Forever,"In 1920, in Benares, the ten-year old boy Apu lives happily with his mother and his father. When his father dies, Apu and his mother move to a village with her uncle. Soon Apu asks his mother to study in the local school where he becomes a distinguished student. When Apu is a teenager, the headmaster offers a scholarship to him to study in Calcutta and her mother gives her savings to him to support his new life. Apu works at a printing press at night to support himself in Calcutta while his mother misses him. But soon he neglects his mother and the college. When he learns that his mother is sick, he returns to the village where she is to visit her, but it may be too late.""Aparajito"" is a realistic drama with the coming of age of Apu in a big city and the loneliness of his mother in a village in the poor Bengal countryside. The story is very simple but with great performances that give the sensation of a documentary. Apu's new life makes him forget his beloved mother and in the end he learns that parents do not live forever and he should have given more attention to her before it is too late. My vote is seven.Title (Brazil): ""O Invencível"" (""The Invincible"")",parents do not live forever,1920 benares ten year old boy apu lives happily with his mother his father when his father dies apu his mother move village with her uncle soon apu asks his mother study local school where he becomes distinguished student when apu is teenager headmaster offers scholarship him study calcutta her mother gives her savings him support his new life apu works at printing press at night support himself calcutta while his mother misses him but soon he neglects his mother college when he learns that his mother is sick he returns village where she is visit her but it may be too late aparajito is realistic drama with coming age apu big city loneliness his mother village poor bengal countryside story is very simple but with great performances that give sensation documentary apus new life makes him forget his beloved mother end he learns that parents do not live forever he should have given more attention her before it is too late my vote is seven title brazil o invenc vel invincible,0.44569264069264064,0.07943722943722945,Positive,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.04, 'Sad': 0.22, 'Fear': 0.59}"
,"Haunting, moving, enduring","This is one of the few films that, ever since first viewing, have reverberated daily in my consciousness--and no doubt on a subconscious level as well.If somebody wanted to acclaim ""Aparajito"" as the finest film ever made, I would not offer resistance, though of course that's a kind of meaningless claim to make. It's similar to calling Mozart the finest composer who ever lived--meaningless, yet somehow appropriate.See ""Aparajito"" and find out if you don't agree. This film can change the way you look at life and human interaction--forever.Only slightly weaker, in my opinion, is the first of the three films in this ""Apu Trilogy,"" ""Pather Panchali."" ""Pather Panchali"" may be even stronger than ""Aparajito"" in that it repeatedly reaches heart-wrenching emotional peaks with the slightest of cinematic means. Both films are testimony to the great human heart of Satyajit Ray, surely one of the masterful geniuses of any day, in any medium.I wish the third member of the trilogy, ""The World of Apu,"" lived up to the standard of the first two. Unfortunately, it's flawed by an excess of sentimentality and melodrama. Still a fine film by ordinary standards, it does fail when measured against its two masterful predecessors. But that's often the way in multi-volume works. All three films should be seen by anybody who considers film important as a means of human communication, or who cherishes learning about other cultures, or who simply feels in need of some affirmation of the occasional nobility of spirit and mysterious ways of the souls of ordinary human beings.",haunting moving enduring,this is one few films that ever since first viewing have reverberated daily my consciousness no doubt subconscious level as well if somebody wanted acclaim aparajito as finest film ever made i would not offer resistance though course thats kind meaningless claim make its similar calling mozart finest composer who ever lived meaningless yet somehow appropriate see aparajito find out if you dont agree this film can change way you look at life human interaction forever only slightly weaker my opinion is first three films this apu trilogy pather panchali pather panchali may be even stronger than aparajito that it repeatedly reaches heart wrenching emotional peaks with slightest cinematic means both films are testimony great human heart satyajit ray surely one masterful geniuses any day any medium i wish third member trilogy world apu lived up standard first two unfortunately its flawed by excess sentimentality melodrama still fine film by ordinary standards it does fail when measured against its two masterful predecessors but thats often way multi volume works all three films should be seen by anybody who considers film important as means human communication or who cherishes learning about other cultures or who simply feels need some affirmation occasional nobility spirit mysterious ways souls ordinary human beings,0.4827756327756328,0.05878378378378378,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.31, 'Fear': 0.19}"
,Documentary/Fiction,"Each of the three films of the Apu Trilogy exhibit the extraordinary quality of a documentary film on the conditions of life in India at the time they are set. I think this is what I like best in them through numerous viewings. The films are shot in locations that appear untouched by any art department - remote countryside in Bengal, the great cities - Benares and Calcutta. The characters eke out an adequate life in their sufficient poverty - a life sustained by their faith and simple devotion to one another. At the same time there are moments that are pure cinema. There is an exquisite swish pan cut from Kurana (the mother) leaning against a tree, full of emptiness as Apu has just left for Calcutta, to the swift dynamo of the train crossing a bridge with the trestles a blur. At the moment Kanu (the father) gives up his soul a flock of birds alights over the Ganges. Later as Kurana is gradually sinking into the depths of loneliness - a sickness unto death - she has a vision of fireflies swirling around in the falling darkness. These films traverse the drama of life and death touching gently on all of the salient points along the path. They put us face to face with the challenge of living in a world, which constantly gives us disappointment. At the same time there is a celebration of that ineffable quality which gives life meaning.",documentary fiction,each three films apu trilogy exhibit extraordinary quality documentary film conditions life india at time they are set i think this is what i like best them through numerous viewings films are shot locations that appear untouched by any art department remote countryside bengal great cities benares calcutta characters eke out adequate life their sufficient poverty life sustained by their faith simple devotion one another at same time there are moments that are pure cinema there is exquisite swish pan cut kurana mother leaning against tree full emptiness as apu has just left calcutta swift dynamo train crossing bridge with trestles blur at moment kanu father gives up his soul flock birds alights over ganges later as kurana is gradually sinking into depths loneliness sickness unto death she has vision fireflies swirling around falling darkness these films traverse drama life death touching gently all salient points along path they put us face face with challenge living world which constantly gives us disappointment at same time there is celebration that ineffable quality which gives life meaning,0.3886904761904762,0.2015476190476191,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.16, 'Sad': 0.23, 'Fear': 0.48}"
10.0,continuation of a masterpiece,"Ray's 'Aparajito' continues with its second installment as we see the beautiful but harsh world through the eyes of 'Apu'. Ray's portrayal of Apu's innocence and curiosity during his maturation into adolescence was spectacular. However, the pinnacle of the film is heart wretching performance of Apu's Mother, whose portrayal of fretfulness, nurturing, and loneliness pulled at this reviewer's heart strings. Although this film is filled with moments of sadness and despair, this film is about Apu weathering the seemingly endless storm of personal tragedy and eventually reaching maturation.",continuation masterpiece,rays aparajito continues with its second installment as we see beautiful but harsh world through eyes apu rays portrayal apus innocence curiosity during his maturation into adolescence was spectacular however pinnacle film is heart wretching performance apus mother whose portrayal fretfulness nurturing loneliness pulled at this reviewers heart strings although this film is filled with moments sadness despair this film is about apu weathering seemingly endless storm personal tragedy eventually reaching maturation,0.65,0.21785714285714283,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.43, 'Fear': 0.21}"
,Documentary/Fiction,"Each of the three films of the Apu Trilogy exhibit the extraordinary quality of a documentary film on the conditions of life in India at the time they are set. I think this is what I like best in them through numerous viewings. The films are shot in locations that appear untouched by any art department - remote countryside in Bengal, the great cities - Benares and Calcutta. The characters eke out an adequate life in their sufficient poverty - a life sustained by their faith and simple devotion to one another. At the same time there are moments that are pure cinema. There is an exquisite swish pan cut from Kurana (the mother) leaning against a tree, full of emptiness as Apu has just left for Calcutta, to the swift dynamo of the train crossing a bridge with the trestles a blur. At the moment Kanu (the father) gives up his soul a flock of birds alights over the Ganges. Later as Kurana is gradually sinking into the depths of loneliness - a sickness unto death - she has a vision of fireflies swirling around in the falling darkness. These films traverse the drama of life and death touching gently on all of the salient points along the path. They put us face to face with the challenge of living in a world, which constantly give us disappointment. At the same time there is a celebration of that ineffable quality which gives life meaning.",documentary fiction,each three films apu trilogy exhibit extraordinary quality documentary film conditions life india at time they are set i think this is what i like best them through numerous viewings films are shot locations that appear untouched by any art department remote countryside bengal great cities benares calcutta characters eke out adequate life their sufficient poverty life sustained by their faith simple devotion one another at same time there are moments that are pure cinema there is exquisite swish pan cut kurana mother leaning against tree full emptiness as apu has just left calcutta swift dynamo train crossing bridge with trestles blur at moment kanu father gives up his soul flock birds alights over ganges later as kurana is gradually sinking into depths loneliness sickness unto death she has vision fireflies swirling around falling darkness these films traverse drama life death touching gently all salient points along path they put us face face with challenge living world which constantly give us disappointment at same time there is celebration that ineffable quality which gives life meaning,0.3886904761904762,0.2015476190476191,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.16, 'Sad': 0.23, 'Fear': 0.48}"
8.0,Excellent,"The first film of Satyajit Ray's Apu Trilogy, Pather Panchali, was such a great film that, naturally, the second film in the series was bound to suffer a bit of a let down. Thus, Aparajito (The Unvanquished)- based on the novel Aparajita, by Bibhutibhushan Banerjee, is not the unadulterated great piece of art that Pather Panchali is. Like many middle films of a series, it suffers from the infamous middle filmitis; when films that are not first in a series rely too heavily upon an audience's memories of earlier films to inform them of the traits of characters, the chronology of prior events, and a general knowledge of the world the film series is set in.Aparajito falls into this trap, however, in a way different from your average Hollywood blockbuster film. Whereas most middle films feel a need to fall back on what already passed in a first film, Aparajito spends too much time ignoring the traits and actions that occurred in Pather Panchali; almost as if Ray wanted to sever connections between the two films. He achieves this by having the film's lead character, Apu, not being played by the child who portrayed him in the first film- Subir Banerjee. In this film, Apu is first played by Pinaki Sen Gupta, when ten; and later by Smaran Ghosal, when in hi slate teens. Two of the actors from the first film were retained: Kanu Banerjee as Harihar- Apu's father, and his wife Sarbajaya- still played by Karuna Banerjee. However, there has been a major personality shift in Sarbajaya- likely the only evidence of the death of Durga- Apu's older sister, from the first film. Whereas Sarbajaya was bossy and condescending in the first film- while also being loving, in this film she's timid and let's life play her; whereas in the first film she was restive, and dissatisfied with what life brought....The abrupt and disappointing ending is merely the most manifest sign of this tendency to rely on the fact that the viewer will have seen Pather Panchali. If coming to Aparajito on its own, most viewers will be a) lost, or b) more likely simply not as prone to care for either Sarbajaya nor Apu.That stated, this is an excellent film which, asides from the death scenes, contains excellent poesy and metaphors- such as a scene where Apu enters Calcutta on a train, holding a small globe, given to him as a gift by the headmaster at the school in his mother's employer's village. The film also makes good use of humor, such as scenes where the young Apu plays around with monkeys and bells, and later, as a student, in an English class, where he falls asleep (due to working a job and his studiousness) during a lecture on synecdoche and metonymy. It also has moments of universality, such as when the mother and son reacquaint after a long stay at school, and the first thing Sarbajaya says is that Apu has grown taller and doesn't appear to be eating well, despite the fact that neither is true. But, the film's greatest strength is its depiction of fortuity. Despite its flaws, Aparajito is a great what if? movie- had his sister and father not died early, would Apu have ended up in college? Had his mother not been emotionally devastated by both losses, would she have domineered her son into submission when he wanted to go abroad? All of his family's losses, and deaths- his auntie, his sister, his father, his mother, all serve Apu's benefit. In short, death has been very, very good for Apu- both in allowing him to grow and removing obstacles to his own self-fulfillment, which may be the most damning (and tangential) criticism of religion (and its fetishizing by religion) that Ray makes in this whole film (as well as in the first film).Like the domestic troubles and idiocies that abound in a typical Yasujiro Ozu film, which almost always transcends to the universal, Satyajit Ray's films seem to likewise contain personal and comic moments that all viewers, from any background, can relate to. The problem with Aparajito- especially in relation to Pather Panchali, is that- as far as domestic troubles go, the first film's were more existential and deeper in nature, making those suffered in Aparajito seem trivial by comparison. But, that is the trouble with comparing excellent art to great art- it always suffers by the comparison. On its own, Aparajito is an outstanding film, and, hopefully, provides merely a relatively weak link to a final film that is the equal of Pather Panchali, and one that shows Apu finally taking center stage in his titular trilogy's plight.",excellent,first film satyajit rays apu trilogy pather panchali was such great film that naturally second film series was bound suffer bit let down thus aparajito unvanquished based novel aparajita by bibhutibhushan banerjee is not unadulterated great piece art that pather panchali is like many middle films series it suffers infamous middle filmitis when films that are not first series rely too heavily upon audiences memories earlier films inform them traits characters chronology prior events general knowledge world film series is set aparajito falls into this trap however way different your average hollywood blockbuster film whereas most middle films feel need fall back what already passed first film aparajito spends too much time ignoring traits actions that occurred pather panchali almost as if ray wanted sever connections between two films he achieves this by having films lead character apu not being played by child who portrayed him first film subir banerjee this film apu is first played by pinaki sen gupta when ten later by smaran ghosal when hi slate teens two actors first film were retained kanu banerjee as harihar apus father his wife sarbajaya still played by karuna banerjee however there has been major personality shift sarbajaya likely only evidence death durga apus older sister first film whereas sarbajaya was bossy condescending first film while also being loving this film shes timid lets life play her whereas first film she was restive dissatisfied with what life brought abrupt disappointing ending is merely most manifest sign this tendency rely fact that viewer will have seen pather panchali if coming aparajito its own most viewers will be lost or b more likely simply not as prone care either sarbajaya nor apu that stated this is excellent film which asides death scenes contains excellent poesy metaphors such as scene where apu enters calcutta train holding small globe given him as gift by headmaster at school his mothers employers village film also makes good use humor such as scenes where young apu plays around with monkeys bells later as student english class where he falls asleep due working job his studiousness during lecture synecdoche metonymy it also has moments universality such as when mother son reacquaint after long stay at school first thing sarbajaya says is that apu has grown taller doesnt appear be eating well despite fact that neither is true but films greatest strength is its depiction fortuity despite its flaws aparajito is great what if movie had his sister father not died early would apu have ended up college had his mother not been emotionally devastated by both losses would she have domineered her son into submission when he wanted go abroad all his familys losses deaths his auntie his sister his father his mother all serve apus benefit short death has been very very good apu both allowing him grow removing obstacles his own self fulfillment which may be most damning tangential criticism religion its fetishizing by religion that ray makes this whole film as well as first film like domestic troubles idiocies that abound typical yasujiro ozu film which almost always transcends universal satyajit rays films seem likewise contain personal comic moments that all viewers any background can relate problem with aparajito especially relation pather panchali is that as far as domestic troubles go first films were more existential deeper nature making those suffered aparajito seem trivial by comparison but that is trouble with comparing excellent art great art it always suffers by comparison its own aparajito is outstanding film hopefully provides merely relatively weak link final film that is equal pather panchali one that shows apu finally taking center stage his titular trilogys plight,0.4982189793480117,0.1727628434886499,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.19, 'Sad': 0.2, 'Fear': 0.43}"
,My favourite film of all time,"After watching Pather Panchali, I watched the sequel Aparajito the next day. My only criticism with the first film was the slow pace, but it looks like Satyajit Ray improved on this aspect for the sequel and thus eliminated any pacing issues I may have had with the original. This time the story moved along at a fairly quick pace, as we see months and sometimes years go by in a matter of minutes.Although I often hear about Pather Panchali being regarded as the best in the Apu Trilogy, I personally liked Aparajito even better than the first. The story was gripping throughout the entire film, Karuna Bannerjee gave a truly Oscar-worthy performance as Apu's mother (even though it was only her second film) and the ending was just as powerful as the original (although Pather Panchali had a more powerful theme music). In fact, I might even go as far as saying Aparajito could possibly be my favourite film of all time.10/10",my favourite film all time,after watching pather panchali i watched sequel aparajito next day my only criticism with first film was slow pace but it looks like satyajit ray improved this aspect sequel thus eliminated any pacing issues i may have had with original this time story moved along at fairly quick pace as we see months sometimes years go by matter minutes although i often hear about pather panchali being regarded as best apu trilogy i personally liked aparajito even better than first story was gripping throughout entire film karuna bannerjee gave truly oscar worthy performance as apus mother even though it was only her second film ending was just as powerful as original although pather panchali had more powerful theme music fact i might even go as far as saying aparajito could possibly be my favourite film all time 10 10,0.6567460317460317,0.2579365079365079,Positive,"{'Happy': 0.17, 'Angry': 0.09, 'Surprise': 0.43, 'Sad': 0.04, 'Fear': 0.26}"
