Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
5.0,The whole movie felt loud and relentless and so long,"There was embarrassing writing, embarrassing acting, and listening to Amber Heard trying to deliver this terrible dialogue with zero inflection was exhausting. Why does half of the population of Atlantis sound like they're from California? The dialogue was never more than cliche with a predictable plot. The ""advanced ancient civilization hidden away from the world"" trope is already old. There was so much CGI that none of the action ever felt impressive or tense or real. Any time someone said ""Ocean Master"" with a straight face I wanted to laugh.This would've been the perfect movie to not take itself too seriously, go for a more lighthearted and irreverent tone like Thor Ragnarok, but they just try so hard. It has none of the superhero charm that Marvel manages to carry over from the comics and thus you have one very long boring slog.How many scenes did we need where a quiet moment was interrupted by an exploding wall that didn't hurt anybody? I counted three or four. Also, that paint-by-numbers forced romance - ""Wow there was a surprise and now we're accidentally holding hands"", ""Wow there was an explosion or something and I grabbed you "" - give me a break. And whoever put together the soundtrack for this film should be summarily executed.",whole movie felt loud relentless so long,there was embarrassing writing embarrassing acting listening amber heard trying deliver this terrible dialogue with zero inflection was exhausting why does half population atlantis sound like theyre california dialogue was never more than cliche with predictable plot advanced ancient civilization hidden away world trope is already old there was so much cgi that none action ever felt impressive or tense or real any time someone said ocean master with straight face i wanted laugh this wouldve been perfect movie not take itself too seriously go more lighthearted irreverent tone like thor ragnarok but they just try so hard it has none superhero charm that marvel manages carry over comics thus you have one very long boring slog how many scenes did we need where quiet moment was interrupted by exploding wall that didnt hurt anybody i counted three or four also that paint by numbers forced romance wow there was surprise now were accidentally holding hands wow there was explosion or something i grabbed you give me break whoever put together soundtrack this film should be summarily executed,0.49983333333333324,0.03922222222222224,Positive,"{'Happy': 0.08, 'Angry': 0.1, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.36}"
1.0,DC needs to get their sh** together.,"There are so many things wrong with this movie. The acting is mediocre. The script feels like it was written by a 12-year-old boy. The CGI is inexcusably cheesy. The plot is not compelling. The jokes aren't funny. They kept explaining things that I don't care about. Ocean Master. Trident of Atlan. Robots in ancient Atlantis. Blah, blah, blah. So. Much. Exposition. I have hated the last several DC films, Wonder Woman being the least terrible. This one is officially the worst. If you want something about Atlantis, the Disney one was way better.",dc needs get their sh together,there are so many things wrong with this movie acting is mediocre script feels like it was written by 12 year old boy cgi is inexcusably cheesy plot is not compelling jokes arent funny they kept explaining things that i dont care about ocean master trident atlan robots ancient atlantis blah blah blah so much exposition i have hated last several dc films wonder woman being least terrible this one is officially worst if you want something about atlantis disney one was way better,0.5666666666666667,-0.20625,Negative,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.45, 'Sad': 0.27, 'Fear': 0.18}"
1.0,Not as good as I expected,"Boring movie. It surprises me because there were some great actors, but there was some terrible actors too. A lot of unnecessary scenes in my opinion. I was so bored! I feel like the plot was all over the place.",not as good as i expected,boring movie it surprises me because there were some great actors but there was some terrible actors too lot unnecessary scenes my opinion i was so bored i feel like plot was all over place,0.8071428571428572,-0.21428571428571427,Negative,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.3, 'Fear': 0.3}"
1.0,Nope.,"I was gonna give this a couple stars for effort, but then there was an octopus drumming. So nope. One star.",nope,i was gonna give this couple stars effort but then there was octopus drumming so nope one star,0.0,0.0,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
4.0,Your usual style-over-substance comic book movie,"Your usual style-over-substance comic book movie. Flimsy plot, really just a vehicle to move you from one action scene to another. Formulaic and cliched: change the characters and settings and you've got pretty much the story of every comic book superhero. Good CGI, but that's a given nowadays.",your usual style over substance comic book movie,your usual style over substance comic book movie flimsy plot really just vehicle move you one action scene another formulaic cliched change characters settings youve got pretty much story every comic book superhero good cgi but thats given nowadays,0.3727272727272727,0.15454545454545454,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.38}"
1.0,"SO disappointed, and was really excited when I saw the trailer","I thought the movie would be at least decent, given the publicity that the film made $1 billion. When I watched the film, it appeared to be too fake. The conversation dynamic was so unnatural and unrealistic, the movements. Just everything about the film. So disappointed.",so disappointed was really excited when i saw trailer,i thought movie would be at least decent given publicity that film made 1 billion when i watched film it appeared be too fake conversation dynamic was so unnatural unrealistic movements just everything about film so disappointed,0.6854166666666666,-0.28229166666666666,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.54, 'Fear': 0.15}"
1.0,One of the most boring films I've ever seen.,"Totally boring. I started watching it two months ago and for some reason I was busy for a while, so, I stopped watching it. To this day, I don't even want to watch and also, I don't remember to continue to watch it.",one most boring films ive ever seen,totally boring i started watching it two months ago some reason i was busy while so i stopped watching it this day i dont even want watch also i dont remember continue watch it,0.7,-0.35,Negative,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.3, 'Fear': 0.1}"
1.0,What a waste,"World hunger could have been solved with the money it took to make this garbage, and the money paid by the idiots who paid to watch this. Idiotic content for idiotic people.",what waste,world hunger could have been solved with money it took make this garbage money paid by idiots who paid watch this idiotic content idiotic people,0.6166666666666667,-0.5833333333333333,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.4}"
4.0,"Visually striking, but little else to hold your attention","STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningArthur Curry (Jason Momoa) is a half man, half aquarian warrior, who has been raised on Earth, and uses his special abilities to fight for justice. His latest escapades have seen him rescue an underwater boat from a group of vicious hijackers, one of whom is now eager for revenge. Meanwhile, in his underwater second home, tensions are brewing between rival kings Orm (Patrick Wilson) and Nereus (Dolph Lundgren), plunging him into a desperate inter-world battle, alongside the beautiful Mera (Amber Heard), to discover his true self.Suspension of disbelief is sometimes something you must be willing to engage with any regular movie, but with superhero movies, it's always something of a foregone conclusion, naturally with the inevitable fantasy element that is attached to the story. But, even by these standards, Aquaman, one of the most recent additions to the staple, rather pushes the boundaries. Opening in 1985, Nicole Kidman, as a mermaid, leaps out of the water by some guys house and comes into his life, living as a couple and raising a son (without, it seems, raising any eyebrows or contravening any marriage laws.) But this brief spark of incredulity serves as a sweetener for the lengthy vapidness that is to follow.Jason Momoa was a guy I'd never heard of before this film, and who on the back of it, it would seem, suddenly garnered the star power to charge £95 for his autograph at Comic Con. He certainly has the physical frame to fit the title role, and within the constraints of it, pulls off the grunting, edgy, wise-cracking tough guy in a perfectly serviceable manner, but nothing more than is required. The support cast is littered with big names, from Dafoe, Heard, Wilson, Kidman, and Lundgren making a pleasing big screen return in a none fighting role, all of whom are pretty much equally perfunctory.The film's big saving grace is it's magnificent visual spectacle, with some amazing CGI capturing a wonderous underwater kingdom, along with some snazzy costume design and amazing action. But it's at least twenty minutes too long and over indulgent, with a threadbare, unengaging story and empty, soulless performances. And that renders all that pretty meaningless. **",visually striking but little else hold your attention,star rating saturday night friday night friday morning sunday night monday morningarthur curry jason momoa is half man half aquarian warrior who has been raised earth uses his special abilities fight justice his latest escapades have seen him rescue underwater boat group vicious hijackers one whom is now eager revenge meanwhile his underwater second home tensions are brewing between rival kings orm patrick wilson nereus dolph lundgren plunging him into desperate inter world battle alongside beautiful mera amber heard discover his true self suspension disbelief is sometimes something you must be willing engage with any regular movie but with superhero movies its always something foregone conclusion naturally with inevitable fantasy element that is attached story but even by these standards aquaman one most recent additions staple rather pushes boundaries opening 1985 nicole kidman as mermaid leaps out water by some guys house comes into his life living as couple raising son without it seems raising any eyebrows or contravening any marriage laws but this brief spark incredulity serves as sweetener lengthy vapidness that is follow jason momoa was guy id never heard before this film who back it it would seem suddenly garnered star power charge 95 his autograph at comic con he certainly has physical frame fit title role within constraints it pulls off grunting edgy wise cracking tough guy perfectly serviceable manner but nothing more than is required support cast is littered with big names dafoe heard wilson kidman lundgren making pleasing big screen return none fighting role all whom are pretty much equally perfunctory films big saving grace is its magnificent visual spectacle with some amazing cgi capturing wonderous underwater kingdom along with some snazzy costume design amazing action but its at least twenty minutes too long over indulgent with threadbare unengaging story empty soulless performances that renders all that pretty meaningless,0.5402808302808303,0.1180379188712522,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.32}"
3.0,More cheese than I can handle,"If you are a preteen, the story may work for you. If you have any common sense, the bad dialogue and blatant rip off of every sci-fi and fantasy movie cliche will drive you crazy.Special effects are decent, and the story moves along at a decent pace. Momoa carries the film despite being surrounded by one dimensional characters with digitally botoxed faces. I would never watch this movie again.",more cheese than i can handle,if you are preteen story may work you if you have any common sense bad dialogue blatant rip off every sci fi fantasy movie cliche will drive you crazy special effects are decent story moves along at decent pace momoa carries film despite being surrounded by one dimensional characters with digitally botoxed faces i would never watch this movie again,0.5523809523809524,-0.10105820105820101,Negative,"{'Happy': 0.0, 'Angry': 0.12, 'Surprise': 0.35, 'Sad': 0.06, 'Fear': 0.47}"
