Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2,Misleading Rating,"This film has one of the most misleading rating like some films in IMDb. Maybe the rating and review were falsely submitted as most of 10/10 review giver has 1 movie review only.This film has no strong story, no exceptional acting, no exciting storyline and furthermore the script was million light years from reality.It seemed liked as if the writer thought that the viewer has no idea nor they can use their common sense about how television program was shoot, prepared and executed.The film wanted to portray a strong message about how women are treated in a developing society. But the logic less and unrealistic depiction of the events discredited the message it was supposed to spread.For the lack of credibility and content the final verdict about the film is:NOT RECOMMENDED.",misleading rating,this film has one most misleading rating like some films imdb maybe rating review were falsely submitted as most 10 10 review giver has 1 movie review only this film has no strong story no exceptional acting no exciting storyline furthermore script was million light years reality it seemed liked as if writer thought that viewer has no idea nor they can use their common sense about how television program was shoot prepared executed film wanted portray strong message about how women are treated developing society but logic less unrealistic depiction events discredited message it was supposed spread lack credibility content final verdict about film is not recommended,0.6622222222222223,0.02444444444444444,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.54}"
7,Good emotional drama spoilt by its reviews,"I don't dislike this movie and at the same time I dont think it is a path breaking experience and questions society as I have seen in some reviews.Though it is high on emotions,the ratings,and the beginning 20 mins are highly misleading.Heck even the storyline present in imdb is misleading.The protagonist as said in that storyline does not take hard on people instead she is amicable and playful which is a huge let down for me because I was misled by its ratings and initial 20 minutes.I wanted her to be rebellious and question the perception of majority.The movie doesn't put forward a moral and critical question but instead gives a lament message which it does very well indeed.I don't know why people think otherwise and say that their perception is changed.If this movie came 10-15 years before I may have agreed with that statement.Because if you had a contradicting perception before I don't know how do you fit in 21st century.Is this movie a new attempt and is never tried before?Yes but isn't as courageous as I have expected.Now coming to the positives the emotional thread of protagonist is well executed and the actress who did it is amazing.I don't want to spoil too much but the life of lead character is shown very well with little diversions here and there.There are some flaws in other characters but it is acceptable if you overlook it.These are my opinions about the movie.Avoid falling for its high ratings and reviews and enjoy the emotional drama and exceptional performance of the lead character.",good emotional drama spoilt by its reviews,i dont dislike this movie at same time i dont think it is path breaking experience questions society as i have seen some reviews though it is high emotions ratings beginning 20 mins are highly misleading heck even storyline present imdb is misleading protagonist as said that storyline does not take hard people instead she is amicable playful which is huge let down me because i was misled by its ratings initial 20 minutes i wanted her be rebellious question perception majority movie doesnt put forward moral critical question but instead gives lament message which it does very well indeed i dont know why people think otherwise say that their perception is changed if this movie came 10 15 years before i may have agreed with that statement because if you had contradicting perception before i dont know how do you fit 21st century is this movie new attempt is never tried before yes but isnt as courageous as i have expected now coming positives emotional thread protagonist is well executed actress who did it is amazing i dont want spoil too much but life lead character is shown very well with little diversions here there there are some flaws other characters but it is acceptable if you overlook it these are my opinions about movie avoid falling its high ratings reviews enjoy emotional drama exceptional performance lead character,0.4594481855592967,0.1304928918817808,Positive,"{'Happy': 0.16, 'Angry': 0.03, 'Surprise': 0.21, 'Sad': 0.21, 'Fear': 0.39}"
10,A lifetime Experience,"ARUVI A lifetime experience. A stirring poetry of comfort and conflict . Movie carefully but consistently travels between the montage and narrative movie patterns complimented by a strong non-linear screenplay. Movie heads to a climax of profound human connectedness but with a profound agony.A Must watch.Aruvi will leave a deep impact on its viewers. It may leave an impression, or nostalgia or a scar based on what kinda of a person you are. But this movie is not going to go way without making a mark in everyone's mind. Gift from a new kid in the block(Arun), to remind the world, TAMIL cinema is much ahead of ""so called"" progressive cinema in the spectrum of international film fraternity.",lifetime experience,aruvi lifetime experience stirring poetry comfort conflict movie carefully but consistently travels between montage narrative movie patterns complimented by strong non linear screenplay movie heads climax profound human connectedness but with profound agony must watch aruvi will leave deep impact its viewers it may leave impression or nostalgia or scar based what kinda person you are but this movie is not going go way without making mark everyones mind gift new kid block arun remind world tamil cinema is much ahead so called progressive cinema spectrum international film fraternity,0.5137878787878789,0.10863636363636364,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.12, 'Sad': 0.41, 'Fear': 0.29}"
7,"If it doesn't arouse, is it art? ARUVI does","This is one of the best films of 2017 with an almost watertight screenplay that keeps you completely engrossed from start to finish with some mesmerizing central performances from the characters and the sidekicks but the main attraction of this movie has to be Aditi Balan. This actress manages to pull you in the story. She brings an intensity to the screen that only a few actors and actresses are able to do. You will love her and care for her. Through her you will experience a morality play showing how evil does not necessarily manifest itself in an orgy of destruction caused by war, that its roots may lie concealed in the malicious pranks of everyday life. I had no idea what to expect when I sat down to watch this, and I was pleasantly surprised by a film that confounded all of my expectations.Aditi Balan, the lead actress at the center of ARUVI has lived the character and her ability to portray both utter intelligence and unknowable vacancy, as she does here, shows an uncommon deal of range. Her character in ARUVI has dropped out of society and every hint that we get is greeted with a contradiction. It then unfolds, flashbacks sandwiched between the main story. This way the movie never lets go of the suspense, while on the same time, it unravels new things for the viewer. Well there are abundant world movies on psycho-cultural mirrors, harassment, male domination and abuse that are far better than Aruvi, but come on, we don't see films like this releasing often in Indian cinema. I'm hyped for Arun Karthick's The Strange Case Of Shiva. Also, I can't deny the fact that the Godhi Banna Sadharana Mykattu's ending with 'Katheyondu Shuruvaagide' song runs through towards the climax of the Aruvi. Do not go to this movie expecting right to win and evil to perish, it won't happen, but along the way you will be asked to question every assumption. But believe me it's not easy being a woman in India and on the other hand this not a feminist movie as few of my friends had stated so. This is uncompromising, unashamed and a smash in your face, post-modernism, philosophical drama in short and on the side note the war between the rat race sexes and hedonist will rage on regardless.",if it doesnt arouse is it art aruvi does,this is one best films 2017 with almost watertight screenplay that keeps you completely engrossed start finish with some mesmerizing central performances characters sidekicks but main attraction this movie has be aditi balan this actress manages pull you story she brings intensity screen that only few actors actresses are able do you will love her care her through her you will experience morality play showing how evil does not necessarily manifest itself orgy destruction caused by war that its roots may lie concealed malicious pranks everyday life i had no idea what expect when i sat down watch this i was pleasantly surprised by film that confounded all my expectations aditi balan lead actress at center aruvi has lived character her ability portray both utter intelligence unknowable vacancy as she does here shows uncommon deal range her character aruvi has dropped out society every hint that we get is greeted with contradiction it then unfolds flashbacks sandwiched between main story this way movie never lets go suspense while same time it unravels new things viewer well there are abundant world movies psycho cultural mirrors harassment male domination abuse that are far better than aruvi but come we dont see films like this releasing often indian cinema im hyped arun karthicks strange case shiva also i cant deny fact that godhi banna sadharana mykattus ending with katheyondu shuruvaagide song runs through towards climax aruvi do not go this movie expecting right win evil perish it wont happen but along way you will be asked question every assumption but believe me its not easy being woman india other hand this not feminist movie as few my friends had stated so this is uncompromising unashamed smash your face post modernism philosophical drama short side note war between rat race sexes hedonist will rage regardless,0.5244042465471037,0.06880540094825811,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.1, 'Fear': 0.53}"
10,Best Tamil film of 2017,"This might be the greatest movie Kollywood has offered us this year. With riveting screenplay and an excellent performance from newcomer Aditi Balan, Aruvi will keep you at the edge of your seats with nail biting sequences and an emotional backstory. Pretty much every element in this movie works cohesively with the script, and I'm hard-pressed to even find a flaw that is worth mentioning.Finally Tamil heroines are no longer props used for dance sequences but are the center point of a film that deals with real-life problems.. I don't want to spoil it for people haven't seen it yet, but this is a must watch for anybody who watches Tamil cinema.",best tamil film 2017,this might be greatest movie kollywood has offered us this year with riveting screenplay excellent performance newcomer aditi balan aruvi will keep you at edge your seats with nail biting sequences emotional backstory pretty much every element this movie works cohesively with script im hard pressed even find flaw that is worth mentioning finally tamil heroines are no longer props used dance sequences but are center point film that deals with real life problems i dont want spoil it people havent seen it yet but this is must watch anybody who watches tamil cinema,0.5993055555555554,0.33819444444444446,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.38}"
5,"Good attempt at total social commentary, but ultimately flawed..","(This is the longest review I have ever written! Why I wrote this long because I needed to pour out my whole brain in to a thing which was all against what I am hearing from people. I might be going harsh on this film but it is to express my flaws in the movie. I have no idea if you would read all this, but hey if you are up for it, let go on this ride.) Guess I'm the black ship. Because I think the movie is okay, not much more than that. I think it had great potential to be more. This large hype and this hysteria, I really don't know, maybe because people always got/saw 'mass' films and over the top films, not the down to earth one. If you loved and enjoyed this film, good for you!The beginning montage shots through Aruvi's life was brilliant. The director deserves due respect for those moments, just beautiful. The way he concealed how her family ostracize her, how she got aids, the family misunderstanding was very good.But for me in the 2nd act while the director, Arun prabhu was getting on with his commentary of reality shows (the comedy moments) ,when the three guys were called up, she reveals she has aids and all hell breaks loose, the movie faltered for me. The timing of her coming to the show is off. Because temple guy, friend's dad all violated her when she was still in home (with her parents) or after she left her home. Then she arranged the 1 lakh for her father, where the 3rd person (guy who hired her for tailoring) comes into play. But after that she goes on a vacation with her friend and all. All these must have taken at least some months before the tv show events right? Then all of a sudden, she wanted to bring this into fore. Maybe she was mulling on this on her vacation and wanted some justice or some reveal to happen. I don't know.Main question. What was her motive to come to the show - For them to apologize. She tells that beforehand. I guess she must have called them or confronted before for the apology. She might not have got what she wanted, so she took it to the next level - TV show. So, what was her plan (after the aids reveal) if they don't apologize. Get the gun from her bag and force them? Kind of stupid! So seriously what was her motive??? Reveal to them in a shocking fashion that they could have contradicted aids? To shame them on TV? Expose them? That seems like a more probable reason. What if they don't act as they have done any wrong? I really don't know. So all three must have had raped her or some form of sexual acts on her judging by their reactions on hearing the reveal. The guy who employed her asked for some sexual favour for money. But knowing she has aids she shouldn't have indulged in that, but that guy is bad for asking for sex but still I don't know if she should transfer the disease knowingly. Friend's dad guy and temple dude did bad things to her when she was not conscious, so they are very much in the guilty side. They raped her! But it's okay she don't want to file a case or anything, she just wants them to apologize to her. Not very good scenario if all girls just want apologies if something horrible happens to them. But I guess she didn't want anything more from them, because she was feeling guilty that they might have contracted aids and she didn't tell them after what they have done to her.Also the bashing scene of her (for not revealing being an aids patient) by the host was so stupid, because if they (the 3 bad guys) did anything bad to her, it was while she was NOT conscious except that guy who hired her. Any 'fault' on her part might be that she didn't inform them but they were monsters, I don't think they deserve that info considering she didn't report to the authorities, maybe that was best punishment for them. So everybody ignoring that aspect is just plain stupidity. Aruvi kind of mentions about it in a blitz but it wasn't stressed enough in the movie.Major plot point - Shooting the director of TV show The 'All hope lost aids' card can't be played like that while she shot the director. She could have just shot up the ceiling if she wanted everyone to quieten down. Also she could have really lost control and shot the director but then the scene was not convincingly set up, she didn't look angry or anything to commit the act. And this scene is very important because it changes the whole dynamics of the film. When she shot that director, you can't argue she was trained in shooting. Though she saw the gun from her childhood, it's not like she has shot or practised shooting. So basically, she could have killed the director which is very much important, you just can't take life of a person just because you are sick of the person or irritated or angry or whatever. She just met that guy! You can't claim that this was all a plan because she herelf confirms everything got out of hand.The fact that she carries her gun in bag is very unsettling, plus the bullets! What is she preparing for. So was she staging a big commotion on a big regional TV, if so it would be for nothing.The ragging scene. Blah. I was like all the people in the TV show room must be knowing at this point that she is just messing around and stuff. Felt more like put in for comedy relief and to reflect the hypocrisy in reality shows about everything being staged and not real. She could have just walked off at the start itself and surrender to the police. But she just wanted to be a college senior for a while, mess around and later feed them. Kind of like an exposition scene to show how loving,caring, funny she is?Police catches her. I understand they be kept in medical camps but that doesn't mean that all aids people can cause crime and not be punished. What happened in between, did I miss anything? Doesn't the case still exist? Well it was a national news and a hostage crisis case's culprit (also an attempted murder, also shooting the director itself could be brought in focus her mental instability ) can't be released just like that. Even if all the people involved were to be like she was very loving towards us or we were treated nicely etc, we don't have any complains, can a case of such public attention and high profile be left like that and not punished. No security details around them???? How did she, how can she escape with such deteriorated, fragile health and supposedly police surveillance around her? How did she acquire money to living alone somewhere remote, consuming her ART medications and cooking stuff, internet connection? I don't know the legal side to all this so there's that.The last scenes were projected as the sad scenes, didn't really feel real to me. While she was explaining about how she missed everyone and how she was scared, the director could have atleast removed the background sad music to make it more real and though wind sounds were put in it doesn't at all feel like something taken in a smartphone, her voice was so crisp and clear (ADR done in a studio), it removed the originality. Also the above things bothered me and took me out of the scene completely. (Also how did they track her down, it's not like she told anyone her address and if it was possible to track her, I can't imagine how much media people would be trying to get to her because she presents a great story. And like I said above is the case still on, doesn't the police want her for court trial?)Finally this is all seems like a rant (having myself read this essay) but I don't want this to be so. Just a thought process by an average joe. Maybe there is answers to all questions that I have posed here, but from what the movie showed me, I wasn't satisfied. For me the film is a flawed attempt with a good short film at the beginning.",good attempt at total social commentary but ultimately flawed,this is longest review i have ever written why i wrote this long because i needed pour out my whole brain thing which was all against what i am hearing people i might be going harsh this film but it is express my flaws movie i have no idea if you would read all this but hey if you are up it let go this ride guess im black ship because i think movie is okay not much more than that i think it had great potential be more this large hype this hysteria i really dont know maybe because people always got saw mass films over top films not down earth one if you loved enjoyed this film good you beginning montage shots through aruvis life was brilliant director deserves due respect those moments just beautiful way he concealed how her family ostracize her how she got aids family misunderstanding was very good but me 2nd act while director arun prabhu was getting with his commentary reality shows comedy moments when three guys were called up she reveals she has aids all hell breaks loose movie faltered me timing her coming show is off because temple guy friends dad all violated her when she was still home with her parents or after she left her home then she arranged 1 lakh her father where 3rd person guy who hired her tailoring comes into play but after that she goes vacation with her friend all all these must have taken at least some months before tv show events right then all sudden she wanted bring this into fore maybe she was mulling this her vacation wanted some justice or some reveal happen i dont know main question what was her motive come show them apologize she tells that beforehand i guess she must have called them or confronted before apology she might not have got what she wanted so she took it next level tv show so what was her plan after aids reveal if they dont apologize get gun her bag force them kind stupid so seriously what was her motive reveal them shocking fashion that they could have contradicted aids shame them tv expose them that seems like more probable reason what if they dont act as they have done any wrong i really dont know so all three must have had raped her or some form sexual acts her judging by their reactions hearing reveal guy who employed her asked some sexual favour money but knowing she has aids she shouldnt have indulged that but that guy is bad asking sex but still i dont know if she should transfer disease knowingly friends dad guy temple dude did bad things her when she was not conscious so they are very much guilty side they raped her but its okay she dont want file case or anything she just wants them apologize her not very good scenario if all girls just want apologies if something horrible happens them but i guess she didnt want anything more them because she was feeling guilty that they might have contracted aids she didnt tell them after what they have done her also bashing scene her not revealing being aids patient by host was so stupid because if they 3 bad guys did anything bad her it was while she was not conscious except that guy who hired her any fault her part might be that she didnt inform them but they were monsters i dont think they deserve that info considering she didnt report authorities maybe that was best punishment them so everybody ignoring that aspect is just plain stupidity aruvi kind mentions about it blitz but it wasnt stressed enough movie major plot point shooting director tv show all hope lost aids card cant be played like that while she shot director she could have just shot up ceiling if she wanted everyone quieten down also she could have really lost control shot director but then scene was not convincingly set up she didnt look angry or anything commit act this scene is very important because it changes whole dynamics film when she shot that director you cant argue she was trained shooting though she saw gun her childhood its not like she has shot or practised shooting so basically she could have killed director which is very much important you just cant take life person just because you are sick person or irritated or angry or whatever she just met that guy you cant claim that this was all plan because she herelf confirms everything got out hand fact that she carries her gun bag is very unsettling plus bullets what is she preparing so was she staging big commotion big regional tv if so it would be nothing ragging scene blah i was like all people tv show room must be knowing at this point that she is just messing around stuff felt more like put comedy relief reflect hypocrisy reality shows about everything being staged not real she could have just walked off at start itself surrender police but she just wanted be college senior while mess around later feed them kind like exposition scene show how loving caring funny she is police catches her i understand they be kept medical camps but that doesnt mean that all aids people can cause crime not be punished what happened between did i miss anything doesnt case still exist well it was national news hostage crisis cases culprit also attempted murder also shooting director itself could be brought focus her mental instability cant be released just like that even if all people involved were be like she was very loving towards us or we were treated nicely etc we dont have any complains can case such public attention high profile be left like that not punished no security details around them how did she how can she escape with such deteriorated fragile health supposedly police surveillance around her how did she acquire money living alone somewhere remote consuming her art medications cooking stuff internet connection i dont know legal side all this so theres that last scenes were projected as sad scenes didnt really feel real me while she was explaining about how she missed everyone how she was scared director could have atleast removed background sad music make it more real though wind sounds were put it doesnt at all feel like something taken smartphone her voice was so crisp clear adr done studio it removed originality also above things bothered me took me out scene completely also how did they track her down its not like she told anyone her address if it was possible track her i cant imagine how much media people would be trying get her because she presents great story like i said above is case still doesnt police want her court trial finally this is all seems like rant having myself read this essay but i dont want this be so just thought process by average joe maybe there is answers all questions that i have posed here but what movie showed me i wasnt satisfied me film is flawed attempt with good short film at beginning,0.541112598227983,0.05138411446103755,Positive,"{'Happy': 0.13, 'Angry': 0.08, 'Surprise': 0.27, 'Sad': 0.26, 'Fear': 0.26}"
10,Life isn't black and white,"This is a movie that everyone must and should watch, I would say one of the best in the year 2017, and my comparison is not only with other Tamil movies. The director has literally shaken the stereotype of movies where plot lines are black and white, good beats evil, etc. The director has very skilfully, and at the same time very artfully portrayed a snapshot of life, with all the associated greys in between. It's hard to say if this movie is a comedy or a tragedy or a celebration, but then again, isn't life just the same?Special mention to the cast, especially the lead actress Aditi Balan. Very rarely do we come across such talent in a debutant actress. I would say she has lived the role rather than simply performing it during the movie. Her subtle moves and gestures throughout the film have not gaudy element nor a bit of overacting. It is every bit as real as watching a real life event unfold in front of our eyes.Don't miss this movie. The director has managed to convey a very important social message in an elegant and simple manner. I won't say what it is, lest it spoil the suspense of the movie for you.",life isnt black white,this is movie that everyone must should watch i would say one best year 2017 my comparison is not only with other tamil movies director has literally shaken stereotype movies where plot lines are black white good beats evil etc director has very skilfully at same time very artfully portrayed snapshot life with all associated greys between its hard say if this movie is comedy or tragedy or celebration but then again isnt life just same special mention cast especially lead actress aditi balan very rarely do we come across such talent debutant actress i would say she has lived role rather than simply performing it during movie her subtle moves gestures throughout film have not gaudy element nor bit overacting it is every bit as real as watching real life event unfold front our eyes dont miss this movie director has managed convey very important social message elegant simple manner i wont say what it is lest it spoil suspense movie you,0.4802197802197803,0.08527472527472527,Positive,"{'Happy': 0.08, 'Angry': 0.03, 'Surprise': 0.35, 'Sad': 0.14, 'Fear': 0.41}"
6,"Middle part is amazing; but overall, contrived and sentimental","The middle part of the movie that deals with the reality TV show is a well-made spoof and critique of shows of such genre. But, the whole story is rather contrived; and the ending too sentimental. I wonder why the director chose a taboo subject and tried to glorify that character beyond normal circumstances. It is also obvious that the story intends to portray the lead female actor as a liberal girl fed up with social expectations for conformity. But, such a girl still has to contract AIDS under 'mysterious' circumstances! Probably, the makers were so much concerned to take care of her so called 'character'! May be, from their point of view the character might have lost its 'purity' if AIDS was contracted through the most common means! The movie tries hard to send a liberal message, but falters because it itself couldn't break the social expectations with regards to women.",middle part is amazing but overall contrived sentimental,middle part movie that deals with reality tv show is well made spoof critique shows such genre but whole story is rather contrived ending too sentimental i wonder why director chose taboo subject tried glorify that character beyond normal circumstances it is also obvious that story intends portray lead female actor as liberal girl fed up with social expectations conformity but such girl still has contract aids under mysterious circumstances probably makers were so much concerned take care her so called character may be their point view character might have lost its purity if aids was contracted through most common means movie tries hard send liberal message but falters because it itself couldnt break social expectations with regards women,0.4552083333333332,-0.030902777777777776,Negative,"{'Happy': 0.03, 'Angry': 0.06, 'Surprise': 0.26, 'Sad': 0.14, 'Fear': 0.51}"
10,"Rolling, SIR!!","Some say if you can laugh/smile and cry at the same time, you might be mentally disturbed or challenged. I was one for 133 minutes movie. A story that made me glued to my seat without nail biting action or thrilling scene, a tremendous performance and body language from a new face actress that made me felt im living in her shoes, a fantastic storyline that you can hardly tell its from a debutant director, dark comedies that can make you laugh and provoke your thoughts during serious scenes. Music and BGM was just too good, it soothes when it need to sooth, it hurts when you made to cry for the performance. Even when alaipaayuthey introduced maddy as new face, I was not able to accept the chocolate boy then, yaareda ivan nu appo feel pannuchi. But inthe movie leh almost every faces are new but everyone made me feel as if all are seasoned actor and actresses. Big kudos to director @Arun Prabu Purushothaman and team and much love for Aditi Balan for the spectacular performance. Aruvi, IS THE NAME OF THE MOVIE I WAS TALKING ABOUT.",rolling sir,some say if you can laugh smile cry at same time you might be mentally disturbed or challenged i was one 133 minutes movie story that made me glued my seat without nail biting action or thrilling scene tremendous performance body language new face actress that made me felt im living her shoes fantastic storyline that you can hardly tell its debutant director dark comedies that can make you laugh provoke your thoughts during serious scenes music bgm was just too good it soothes when it need sooth it hurts when you made cry performance even when alaipaayuthey introduced maddy as new face i was not able accept chocolate boy then yaareda ivan nu appo feel pannuchi but inthe movie leh almost every faces are new but everyone made me feel as if all are seasoned actor actresses big kudos director prabu purushothaman team much love aditi balan spectacular performance aruvi is name movie i was talking about,0.4605699855699856,0.15797258297258296,Positive,"{'Happy': 0.17, 'Angry': 0.1, 'Surprise': 0.24, 'Sad': 0.34, 'Fear': 0.14}"
8,Aruvi is sensational and emotional classic on sensitive topic. One of the most mind-shattering build up for any woman centric film recently.,"Aruvi (2016) : Brief Review -Aruvi is sensational and emotional classic on sensitive topic. One of the most mind-shattering build up for any woman centric film recently. Let's make this clear at the beginning that Aruvi isn't artistic or high cinematic experience so do not expect it to be one after seeing the high rating. It has loopes in the storyline that many smart movie buffs may not like (even i don't support it) but it has some sensational methods to drive an atypical topic which has been used many times before and it's highly sensitive. One more thing, DO NOT read any Synopsis or anything about the storyline please and believe me you'll be blown by the thrilling aspects in midway. A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story. By the intermission point it leaves you stunned and then gives a social lecture which hits the emotional chords in the second half and especially in last 20 minutes. The visuals can be disturbing for weak hearted audience but what to do, it's the reality and we have to accept it. Overall, it's a great narrative despite couple of big loopholes but those can be overlooked for the sake of rest of show which is simply brilliant. It also lacks cinematic intelligence of director yet makes a beautiful mainstream film overall. Aditi Balan is terrific in the lead tole. Her expressions, dedication, transformation everything is extremely convincing. Watch out for her dialogue delivery in that monologue when she tears apart society's traditions and definition of happiness, that's one of the Major highlights of the film. In a nutshell, Aruvi is one of the most important woman centric drama which has everything to provide you a rich content. I wanted to talk so much about its writing but had to maintain silence to condemn spoilers.RATING - 8/10*By - #samthebestest.",aruvi is sensational emotional classic sensitive topic one most mind shattering build up any woman centric film recently,aruvi 2016 brief review aruvi is sensational emotional classic sensitive topic one most mind shattering build up any woman centric film recently lets make this clear at beginning that aruvi isnt artistic or high cinematic experience so do not expect it be one after seeing high rating it has loopes storyline that many smart movie buffs may not like even i dont support it but it has some sensational methods drive atypical topic which has been used many times before its highly sensitive one more thing do not read any synopsis or anything about storyline please believe me youll be blown by thrilling aspects midway gentle girl born brought up amidst ever growing eco social consumeristic environment finds it difficult fit society she decides take it hard people what she does is rest story by intermission point it leaves you stunned then gives social lecture which hits emotional chords second half especially last 20 minutes visuals can be disturbing weak hearted audience but what do its reality we have accept it overall its great narrative despite couple big loopholes but those can be overlooked sake rest show which is simply brilliant it also lacks cinematic intelligence director yet makes beautiful mainstream film overall aditi balan is terrific lead tole her expressions dedication transformation everything is extremely convincing watch out her dialogue delivery that monologue when she tears apart societys traditions definition happiness thats one major highlights film nutshell aruvi is one most important woman centric drama which has everything provide you rich content i wanted talk so much about its writing but had maintain silence condemn spoilers rating 8 10 by,0.4986224489795918,0.18699617346938774,Positive,"{'Happy': 0.1, 'Angry': 0.08, 'Surprise': 0.3, 'Sad': 0.3, 'Fear': 0.23}"
