Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,I enjoyed this movie,"Baahubali 2: The Conclusion is not quite as good as its predecessor with a somewhat weak storyline, but the film is visually dazzling to behold with great costumes, interiors and phenomenal set pieces and special effects. Colorful and exciting, it is also exhilarating, though silly in its action and it thus succeeds as a pretty good conclusion to this story. But above all else, both of these films are very enjoyable as they are incredibly epic in scope and world building and in that aspect are much better than most American blockbusters.",i enjoyed this movie,baahubali 2 conclusion is not quite as good as its predecessor with somewhat weak storyline but film is visually dazzling behold with great costumes interiors phenomenal set pieces special effects colorful exciting it is also exhilarating though silly its action it thus succeeds as pretty good conclusion this story but above all else both these films are very enjoyable as they are incredibly epic scope world building that aspect are much better than most american blockbusters,0.5619727891156462,0.3586734693877551,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.24}"
10.0,Baahubali 2: The Conclusion (2017),The movie was fantastic. Everyone acted very well in the movie. VFX and Graphics in the movie was amazing. Songs and BGM in the movie was superb. Amazing movie.,baahubali 2 conclusion 2017,movie was fantastic everyone acted very well movie vfx graphics movie was amazing songs bgm movie was superb amazing movie,0.8,0.56,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
8.0,The epic epic continues,"Baahubali 2 (2017) continues the epic silliness of the first Baahubali (2015), with even bigger battles, dance scenes, menacing looks, and muscles. The surprise reveal at the end of part 1 is explained and the circle is completed with the transition of the hero role from Amarendra Baahubali himself to his son, Mahendra Baahubali (both played by Prabhas) (who, as an infant, was saved from his murderous uncle by the queen, as seen in the prologue to the first film). Like its antecedent, this film swings wildly from almost slapstick comedy (e.g. Baahubali passes himself of as a 'blockhead' to get near Princess Devasena) to bloody (if cartoonish) violence including multiple impalements, immolations, and decapitations. The buzz-saw chariot is back (now equipped with a sort of volley-gun arrow launcher) but the tactical highlight is the palm-tree catapults that launch teams of soldiers who to use their shields to form armored balls in mid-air. Even Wile E Coyote would have dismissed this strategy as improbable, but the laws of physics are outrageously ignored throughout most of the action scenes and this is just a particularly egregious (but fun) example. Not surprisingly, most of the film is CGI: very good in places but times looking more like a video-game than an epic, 'live-action' film. As with #1, I watched a subtitled version so can't really comment on the acting but all of the leads still look and sound the part (Anushka Shetty's Devasena and Sathyaraj's Kattappa are particularly good). There were a few weak scenes (the weird flying ship (dream?) sequence comes to mind) that IMO kept #2 from being as overall as good as #1; but, all in all, an over-the-top epic fantasy with perhaps a somewhat different aesthetic than Western audiences are used to (picture Aragorn and Arwen, backed by dancing elves, breaking into a love duet in the middle of the council of Elrond).",epic epic continues,baahubali 2 2017 continues epic silliness first baahubali 2015 with even bigger battles dance scenes menacing looks muscles surprise reveal at end part 1 is explained circle is completed with transition hero role amarendra baahubali himself his son mahendra baahubali both played by prabhas who as infant was saved his murderous uncle by queen as seen prologue first film like its antecedent this film swings wildly almost slapstick comedy e g baahubali passes himself as blockhead get near princess devasena bloody if cartoonish violence including multiple impalements immolations decapitations buzz saw chariot is back now equipped with sort volley gun arrow launcher but tactical highlight is palm tree catapults that launch teams soldiers who use their shields form armored balls mid air even wile e coyote would have dismissed this strategy as improbable but laws physics are outrageously ignored throughout most action scenes this is just particularly egregious but fun example not surprisingly most film is cgi very good places but times looking more like video game than epic live action film as with i watched subtitled version so cant really comment acting but all leads still look sound part anushka shettys devasena sathyarajs kattappa are particularly good there were few weak scenes weird flying ship dream sequence comes mind that imo kept being as overall as good as but all all over top epic fantasy with perhaps somewhat different aesthetic than western audiences are used picture aragorn arwen backed by dancing elves breaking into love duet middle council elrond,0.40012499999999995,0.05970075757575758,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.39, 'Sad': 0.06, 'Fear': 0.33}"
6.0,Baahubali 2 is a shallow yet satisfying end to the saga,"So finally we get to see why Katappa killed baahubali. This was the question that was on everyone's tongue. Baahubali 2 answers the question but it may or may not satisfy you. In fact, there are many twists in this film. Baahubali: The Beginning was a good experience. It was a milestone in terms of VFX. The story line though clichéd was good, the background score was powerful and the cinematography was beautiful. Baahubali 2 is more of what you saw in Baahubali but it fades in comparison. Yes, the fight scenes are on a larger scale than the first one. You may have guessed that from the trailer. Yes, there is a fight scene that we all have been waiting to see. Yes, there are some scenes that would give you an adrenaline rush but in the midst of all this chaos, you feel that something is not right. Something is missing and you don't know what it is. Baahubali: The Beginning was the first film that made us believe that we were able to produce such films. That film single-handedly intrigued us and maybe that is the reason Baahubali 2 does not feel like an original work anymore. It feels like a copy paste of the original without any soul. The screenwriters try to make it work by giving us back stories but some part of it does not fit.Acting performances are okay with most of the good performances coming from prabhas, duggubati and Anushka. Some of the actors are over the top just like the first film.It is also longer than Baahubali which is a treat for the fans. I mean, they deserve it, after all, they have been waiting for two years to see it on the big screen. To the serious movie-goers though, it is a big let down since most of the film could have been edited to make it shorter and to-the-point. Most of the time is wasted on the same things that were the problems with Baahubali - the unnecessary romance and songs. I know, we Indians are used to watching songs but for god's sake, stop doing it. songs do not add any value to the story and they are cringe-worthy. You are making a film that is supposed to be compared with Hollywood's behemoths and then you add a dance sequence to it? That's utterly stupid. It seems to me that this film didn't really need a sequel (but everyone wanted to know why Katappa killed Baahubali). It could have worked as a single film without all the dance and romance. In the end, I would like to say that Baahubali 2 is what fans have been waiting for. They will definitely be happy with the package. It's nothing exceptional though and so some moviegoers might be disappointed. But no matter how well the film is made or how many shortcomings it has, I would still request you to go and watch this film. You need to support it because if it isn't a hit, no one in future will think about taking risks and we'll have to watch the same old Bollywood films for the rest of our lives. Can you tolerate another Happy New Year or Hamshakals?",baahubali 2 is shallow yet satisfying end saga,so finally we get see why katappa killed baahubali this was question that was everyones tongue baahubali 2 answers question but it may or may not satisfy you fact there are many twists this film baahubali beginning was good experience it was milestone terms vfx story line though clich d was good background score was powerful cinematography was beautiful baahubali 2 is more what you saw baahubali but it fades comparison yes fight scenes are larger scale than first one you may have guessed that trailer yes there is fight scene that we all have been waiting see yes there are some scenes that would give you adrenaline rush but midst all this chaos you feel that something is not right something is missing you dont know what it is baahubali beginning was first film that made us believe that we were able produce such films that film single handedly intrigued us maybe that is reason baahubali 2 does not feel like original work anymore it feels like copy paste original without any soul screenwriters try make it work by giving us back stories but some part it does not fit acting performances are okay with most good performances coming prabhas duggubati anushka some actors are over top just like first film it is also longer than baahubali which is treat fans i mean they deserve it after all they have been waiting two years see it big screen serious movie goers though it is big let down since most film could have been edited make it shorter point most time is wasted same things that were problems with baahubali unnecessary romance songs i know we indians are used watching songs but gods sake stop doing it songs do not add any value story they are cringe worthy you are making film that is supposed be compared with hollywoods behemoths then you add dance sequence it thats utterly stupid it seems me that this film didnt really need sequel but everyone wanted know why katappa killed baahubali it could have worked as single film without all dance romance end i would like say that baahubali 2 is what fans have been waiting they will definitely be happy with package its nothing exceptional though so some moviegoers might be disappointed but no matter how well film is made or how many shortcomings it has i would still request you go watch this film you need support it because if it isnt hit no one future will think about taking risks well have watch same old bollywood films rest our lives can you tolerate another happy new year or hamshakals,0.4915747446997447,0.16184475246975247,Positive,"{'Happy': 0.08, 'Angry': 0.07, 'Surprise': 0.29, 'Sad': 0.27, 'Fear': 0.28}"
6.0,EPIC CONCLUSION to THE BAHUBALI SAGA !,"It's a nearly perfect film ! It has some bad/cringe moments, cheap special effects but these things can't take u away from good parts. The director has a vision ( the thing that lacks in most Indian filmmakers) and he executed it perfectly! During the first quarter the film can be boring to some people , they stretched here a little bit as bahubali goes to find his love. There're plenty of crazy action sequences as bahubali jumps from one bull to another, these things can make u laugh( climax wall jump too). there are plenty to dramatic, emotionally impactful, goosebumps inducing moments that will keep u there. That final fight between the two is well choreographed, shot and the CONCLUSION is satisfying!",epic conclusion bahubali saga,its nearly perfect film it has some bad cringe moments cheap special effects but these things cant take u away good parts director has vision thing that lacks most indian filmmakers he executed it perfectly during first quarter film can be boring some people they stretched here little bit as bahubali goes find his love therere plenty crazy action sequences as bahubali jumps one bull another these things can make u laugh climax wall jump too there are plenty dramatic emotionally impactful goosebumps inducing moments that will keep u there that final fight between two is well choreographed shot conclusion is satisfying,0.6110714285714285,0.13681547619047624,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.36, 'Sad': 0.2, 'Fear': 0.28}"
3.0,A mediocre product made by mediocre artists .....,"I watched this only because my wife insisted that I accompany her. Having hated part 1, I thought I would calm myself down with a few beers before embarking on what would be an assault on everything that I considered to be important for a film to be considered a classic. Alas, I live in the pious state of Kerala where alcohol is partially prohibited and hence I was unable to procure any alcohol on the particular day. I braced myself for what would almost certainly be a torturous experience.I was treated to mediocre special effects and over the top action scenes which even a little boy would find hard to take seriously. The actor Prabhas was insufferable - his face expressions were grotesque. He phones it in most of the time. Anushka Shetty was very pretty but her performance during the action scenes made me chuckle. Another reviewer compared the chariot scene to the famous chariot racing sequence in Benhur. But I was reminded of the chariot chase sequence in Mervyn LeRoy's Quo Vadis. The film did feature some grand vistas and sets like the elephant statue that is carved out of the rock but still attached to the rocky mountain. This is when Prabhas and Anushka first arrive in Magarmazhi on a boat. The Kali statue with fire burning out of various parts when Dagubatti and Nasser are plotting Prabhas' murder was also remarkable. Dagubatti's coronation scene had a lot of potential. All these things indicated to me that at least some people with imagination were working behind the scenes. But everything about the film is shoddy and Rajamouli the director must take the blame for the shoddiness. Once again, the Indian public has elevated a mediocre product made by a bunch of mediocre artists into a worldwide blockbuster that has now grossed 1,500 crores. Some may think that this is a great achievement. But it is not. We as a nation are promoting and spreading mediocrity.",mediocre product made by mediocre artists,i watched this only because my wife insisted that i accompany her having hated part 1 i thought i would calm myself down with few beers before embarking what would be assault everything that i considered be important film be considered classic alas i live pious state kerala where alcohol is partially prohibited hence i was unable procure any alcohol particular day i braced myself what would almost certainly be torturous experience i was treated mediocre special effects over top action scenes which even little boy would find hard take seriously actor prabhas was insufferable his face expressions were grotesque he phones it most time anushka shetty was very pretty but her performance during action scenes made me chuckle another reviewer compared chariot scene famous chariot racing sequence benhur but i was reminded chariot chase sequence mervyn leroys quo vadis film did feature some grand vistas sets like elephant statue that is carved out rock but still attached rocky mountain this is when prabhas anushka first arrive magarmazhi boat kali statue with fire burning out various parts when dagubatti nasser are plotting prabhas murder was also remarkable dagubattis coronation scene had lot potential all these things indicated me that at least some people with imagination were working behind scenes but everything about film is shoddy rajamouli director must take blame shoddiness once again indian public has elevated mediocre product made by bunch mediocre artists into worldwide blockbuster that has now grossed 1 500 crores some may think that this is great achievement but it is not we as nation are promoting spreading mediocrity,0.614392179636082,-0.03053487840073206,Negative,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.24, 'Sad': 0.33, 'Fear': 0.27}"
5.0,Very conveniently gets concluded,"Its again visually breathtaking but creatively, even difficult to find it average. They project, a would have to be crowned prince has suggested by his beloved Raj Mata to visit the kingdom in disguise so he can understand public problems but you do know it is just so he can find his lady love. Prince falls in love with first glance as expected, together they fight against goons and finally she takes him along!! After few scenes, they fall in love with each other. Raj Mata sends proposal of marriage of her another son with that Princess, which is get assumed by female side that it is for staying Price's marriage proposal. I didn't find anything exciting in all this, which consumes more than one hour of first half of film. Its very oblivious screenplay so I don't mind to writing about it here. Then second half is full of action with the help of VFX. Even the million dollar question which was tossed in first part, answer is just worth few thousand bucks. You feel that even they were so anxious to conceive any brilliant answer which could have matched the hype created but finally came with the answer just for sake of it. There is a small conspiracy for shock value in pre climax but you know that what is going to be happen. Climax fight is so long, offering nothing new. Even at a point it reminds strongly of Robot's climax. Background in climax, with some mantras chanting in lunatic way at different pitch, is not exciting but sheer headache, at least for me it actually happened. It hammered ruthlessly my eardrums. Performance wise all are average and undoubtedly loud.",very conveniently gets concluded,its again visually breathtaking but creatively even difficult find it average they project would have be crowned prince has suggested by his beloved raj mata visit kingdom disguise so he can understand public problems but you do know it is just so he can find his lady love prince falls love with first glance as expected together they fight against goons finally she takes him along after few scenes they fall love with each other raj mata sends proposal marriage her another son with that princess which is get assumed by female side that it is staying prices marriage proposal i didnt find anything exciting all this which consumes more than one hour first half film its very oblivious screenplay so i dont mind writing about it here then second half is full action with help vfx even million dollar question which was tossed first part answer is just worth few thousand bucks you feel that even they were so anxious conceive any brilliant answer which could have matched hype created but finally came with answer just sake it there is small conspiracy shock value pre climax but you know that what is going be happen climax fight is so long offering nothing new even at point it reminds strongly robots climax background climax with some mantras chanting lunatic way at different pitch is not exciting but sheer headache at least me it actually happened it hammered ruthlessly my eardrums performance wise all are average undoubtedly loud,0.5256714876033057,0.11162190082644628,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.26, 'Sad': 0.14, 'Fear': 0.42}"
1.0,A Third Class Movie,"GuysThis is nothing but a Glorified TV Series.The movie has no logic except loud screams, continuous Intros, Stupid Songs, Pathetic hairy actors and cartoonish VFX.Its like those movies in Telugu where the hero kills goons with banana, but with a serious note.Go watch this third class movie and have fun.",third class movie,guysthis is nothing but glorified tv series movie has no logic except loud screams continuous intros stupid songs pathetic hairy actors cartoonish vfx its like those movies telugu where hero kills goons with banana but with serious note go watch this third class movie have fun,0.5238095238095238,-0.2476190476190476,Negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.14, 'Fear': 0.14}"
1.0,The excessively generic pool of horrible film tropes,"I must start with applauding two things that this movie has shown us. Firstly, we like overpriced but useless things (case in point, our obsession with Mercedes). Half the crowd that has seen this movie has done so to see the ""extravagance"". Secondly, we must appreciate the promotions. While we see the obvious success of Prabhas promoting this movie using Tropicana, we are left to wonder whether we should have Rajnikanth promote Heinz ketchup for his next.This movie is rife with references (all unintentional I hope). A chariot scene that has the technological advancement of a ""Ben Hur"" parody from the 70's. Slow motion sequences that look like the leftovers of the puke-worthy drama in ""300"". To round it all up, a script that is reminiscent of the ""lion king"" trilogy (archetypal).This movie is the bane of Indian cinema. It is deeply saddening to see the Indian cinema industry fall so hard on its back. Maybe this movie should be given to us, Film students, as a crash course on what not to do when directing a movie. Despite all intents and purposes, you will leave the theater not comprehending the general lack of the two and a half hours you spent there.The only thing this film reminds us of is that of the tale of ""King Solomon and the spider"". Rajamouli is the spider, who will not give up despite his many failures. The crowd that watches this movie and hails him as a God, just ask yourself this. How dare you put him on a pedestal that worships people like Orson Welles, Frank Coppola, Charles Chaplin, and even the great Indian Guru Dutt.",excessively generic pool horrible film tropes,i must start with applauding two things that this movie has shown us firstly we like overpriced but useless things case point our obsession with mercedes half crowd that has seen this movie has done so see extravagance secondly we must appreciate promotions while we see obvious success prabhas promoting this movie using tropicana we are left wonder whether we should have rajnikanth promote heinz ketchup his next this movie is rife with references all unintentional i hope chariot scene that has technological advancement ben hur parody 70s slow motion sequences that look like leftovers puke worthy drama 300 round it all up script that is reminiscent lion king trilogy archetypal this movie is bane indian cinema it is deeply saddening see indian cinema industry fall so hard its back maybe this movie should be given us film students as crash course what not do when directing movie despite all intents purposes you will leave theater not comprehending general lack two half hours you spent there only thing this film reminds us is that tale king solomon spider rajamouli is spider who will not give up despite his many failures crowd that watches this movie hails him as god just ask yourself this how dare you put him pedestal that worships people like orson welles frank coppola charles chaplin even great indian guru dutt,0.3677536231884058,-0.021376811594202908,Negative,"{'Happy': 0.09, 'Angry': 0.12, 'Surprise': 0.26, 'Sad': 0.15, 'Fear': 0.38}"
4.0,Very predictable.. Not worth the hype,"To be frank, I was not so keen to watch the movie on the first day, but as my friends' comments and reviews were pouring in, I decided to catch the matinée show today, the first day.And as I have anticipated, the movie is not up to the mark, at least surely not as much as it flashed all around.There are good movies, there are great movies. But good movies hyped as great movies actually always fall short of expectations and become average movies, that's what exactly happened here.The movie started with the stories of flashback, we see Bahubali moving out of Mahismati with Katappa, ending up finding his lady love, as usual romance, entering Bhallaldev and playing all dirty politics to keep his step brother away from the throne. Big brother happily left his deserving throne and marry his lady love, then more conspiracy by the jealous brother who's now the king and at last successful killing Bahubali and prison his wife. From here it's the continuation of the first part.Acting is good, at least by all the central characters, especially Sathyaraj who had the lion's share of screen presence. Anushka and Prabhas did a good job. Rana stood out though had limited opportunities. Actually, He was the only one who looked authentic. Now the biggest part of the movie, ""Why Katappa killed Bahubali?"", we movie goers who can analyze stories have figured it out long back, right after the first part. Hint: The same reason why Bhishma though fond of Pandavas and supported them, fought against them. There was no surprise at all actually.We have seen many such movies, An honest upright warrior, and prince about to be the king, a badass villain who's also his brother conspire against him and get him killed. Then his son comes back for a revenge. A very clichéd effort. The graphics are so so, though I am not very convinced. The movie almost looks like an animation movie. I really felt director should have concentrated on the story more, at least there should be some twists and turns, there could be breakout villain. but it was very plain and simple.In the end in a lighter note, there's a hidden lesson for married men. It shows what happens when you let your mom and wife gets into a fight and you end up supporting your wife, but then, if support your mom you are a Momma's boy and if you support your wife you are a wife's puppet. Horn of Dilemma of course.... :D :DConclusion: One-time watch as per me.",very predictable not worth hype,be frank i was not so keen watch movie first day but as my friends comments reviews were pouring i decided catch matin e show today first day as i have anticipated movie is not up mark at least surely not as much as it flashed all around there are good movies there are great movies but good movies hyped as great movies actually always fall short expectations become average movies thats what exactly happened here movie started with stories flashback we see bahubali moving out mahismati with katappa ending up finding his lady love as usual romance entering bhallaldev playing all dirty politics keep his step brother away throne big brother happily left his deserving throne marry his lady love then more conspiracy by jealous brother whos now king at last successful killing bahubali prison his wife here its continuation first part acting is good at least by all central characters especially sathyaraj who had lions share screen presence anushka prabhas did good job rana stood out though had limited opportunities actually he was only one who looked authentic now biggest part movie why katappa killed bahubali we movie goers who can analyze stories have figured it out long back right after first part hint same reason why bhishma though fond pandavas supported them fought against them there was no surprise at all actually we have seen many such movies honest upright warrior prince about be king badass villain whos also his brother conspire against him get him killed then his son comes back revenge very clich d effort graphics are so so though i am not very convinced movie almost looks like animation movie i really felt director should have concentrated story more at least there should be some twists turns there could be breakout villain but it was very plain simple end lighter note theres hidden lesson married men it shows what happens when you let your mom wife gets into fight you end up supporting your wife but then if support your mom you are mommas boy if you support your wife you are wifes puppet horn dilemma course d dconclusion one time watch as per me,0.39225146198830396,0.14577276524644944,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.36, 'Sad': 0.14, 'Fear': 0.23}"
