Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7.0,"I laughed a ton, so that's all that matters to me.","Sometimes it amazes me how films that I can't stand get such great reviews or films that I love end up being panned and box office bombs. This one in particular got horrendous reviews but did well enough at the box office to make a sequel, and watching it for the second time I still find it delightfully silly yet ingenious.Top billed villains Kathleen Turner and Christopher Lloyd add another campy bad guy to their plethora of bad guy roles, and really are having a grand time being sinister. Married couple Kim Cattrall and Peter MacNichol work for their alleged baby charity foundation which is really a front for an organization determined to uncode baby talk, utilizing a special breed of baby that they have determined to be genius.Having separated the twins born to Cattrall and MacNichol at birth, they keep losing the twin they kept which, in true ""Parent Trap"" fashion, is switched with his brother, and Cattrall's Auntie Kathleen utilizes this as an opportunity for further research as she goes out of her way to switch them back. But baby geniuses have unfathomable ways of outwitting bad adults, and it becomes a fun battle between evil and Innocence, but with a twist.This has a great supporting cast which includes veteran actors Dom DeLuise, Ruby Dee, Kaye Ballard and Kathleen Freeman, with Dee going up against MacNichol and Cattrall's punk rocker nephew Kyle Howard, and outdoing him with the wisecracks everytime he tries to get one up on her. some of the dialogue is really out of place and rather uncomfortable to hear coming out of children's voices, but that's a minor complaint for me. All I know is that I had a really good time, laughed a lot, and even saved my copy, something I rarely do anymore. a reference to ""Home Alone"" style gags by one of the bad guys does indicate they know they are ripping off already done material, but that's part of the charm.",i laughed ton so thats all that matters me,sometimes it amazes me how films that i cant stand get such great reviews or films that i love end up being panned box office bombs this one particular got horrendous reviews but did well enough at box office make sequel watching it second time i still find it delightfully silly yet ingenious top billed villains kathleen turner christopher lloyd add another campy bad guy their plethora bad guy roles really are having grand time being sinister married couple kim cattrall peter macnichol work their alleged baby charity foundation which is really front organization determined uncode baby talk utilizing special breed baby that they have determined be genius having separated twins born cattrall macnichol at birth they keep losing twin they kept which true parent trap fashion is switched with his brother cattralls auntie kathleen utilizes this as opportunity further research as she goes out her way switch them back but baby geniuses have unfathomable ways outwitting bad adults it becomes fun battle between evil innocence but with twist this has great supporting cast which includes veteran actors dom deluise ruby dee kaye ballard kathleen freeman with dee going up against macnichol cattralls punk rocker nephew kyle howard outdoing him with wisecracks everytime he tries get one up her some dialogue is really out place rather uncomfortable hear coming out childrens voices but thats minor complaint me all i know is that i had really good time laughed lot even saved my copy something i rarely do anymore reference home alone style gags by one bad guys does indicate they know they are ripping off already done material but thats part charm,0.4944980694980694,0.06550836550836553,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.23}"
10.0,Smile!,"You're watching a very cute, very family, very baby-safe motion picture with your family right now! What a clever idea - Baby Geniuses! Ha! I hope when I have a baby in the future that he is a genius when he's like 10 minutes old! Then, he'd go to elementary school when he's one, middle school when he's two, high school when he's three, and Harvard when he's four! Then he'll go to Cambridge when he's five, and at age six? He'll have all the time and money he could possibly want for all the cartoons and toys in the world! Man, if that dream became a reality...(And for most of you average joes, you'll wish that was the whole premise of this movie!)",smile,youre watching very cute very family very baby safe motion picture with your family right now what clever idea baby geniuses ha i hope when i have baby future that he is genius when hes like 10 minutes old then hed go elementary school when hes one middle school when hes two high school when hes three harvard when hes four then hell go cambridge when hes five at age six hell have all time money he could possibly want all cartoons toys world man if that dream became reality most you average joes youll wish that was whole premise this movie,0.47712797619047626,0.21327380952380953,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.38, 'Sad': 0.0, 'Fear': 0.38}"
9.0,YOu've got to have babies to love this,"Maybe I'm addled, but I wasn't expecting ""Julius Ceasar"" and Laurence Olivier. This was hilarious, especially since I have a bunch of baby grandchildren, some in that 'before we cross over' area. Jung thinks we do have a collective unconscious, as there is some idea that pre-literate babies have knowledge that the conscious suppresses once they start to speak. This movie explores that premise, but in a hilarious over the top way. Katheryn Turner makes a great baby abuser, tyrant, villainess: Cruella de Ville of the psychology world.Get it and let the little toddlers watch it. Watch THEIR expressions as the babies talk to one another. That's an event and a great interactive situation in itself. A lot easier than talking with a teen-ager.Just don't expect great writing or great acting and you won't be disappointed. The special effects are GRRRRRREAT, though.",youve got have babies love this,maybe im addled but i wasnt expecting julius ceasar laurence olivier this was hilarious especially since i have bunch baby grandchildren some that before we cross over area jung thinks we do have collective unconscious as there is some idea that pre literate babies have knowledge that conscious suppresses once they start speak this movie explores that premise but hilarious over top way katheryn turner makes great baby abuser tyrant villainess cruella de ville psychology world get it let little toddlers watch it watch their expressions as babies talk one another thats event great interactive situation itself lot easier than talking with teen ager just dont expect great writing or great acting you wont be disappointed special effects are grrrrrreat though,0.6032212885154061,0.25017507002801115,Positive,"{'Happy': 0.36, 'Angry': 0.08, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.08}"
7.0,"Silly, But Not That Stupid","""Baby Geniuses"" is a movie that can be best described as a live-action cartoon. It's certainly not cinematic perfection. Some people have said it's idiotic. But in my opinion, it's not that stupid. It's just very, very silly. You just have to enjoy this sort of movie to not hate it. There are several big name actors appearing; Kathleen Turner, Christopher Lloyd, Dom DeLuise and Kim (""Sex and the City"") Catrall. There aren't any memorable performances, though. The main characters are the babies, and their cartoonish hi-jinx (even if the hi-jinx doesn't always work). ""Baby Geniuses"" is clearly not for everyone. It's just for the few who can appreciate it.",silly but not that stupid,baby geniuses is movie that can be best described as live action cartoon its certainly not cinematic perfection some people have said its idiotic but my opinion its not that stupid its just very very silly you just have enjoy this sort movie not hate it there are several big name actors appearing kathleen turner christopher lloyd dom deluise kim sex city catrall there arent any memorable performances though main characters are babies their cartoonish hi jinx even if hi jinx doesnt always work baby geniuses is clearly not everyone its just few who can appreciate it,0.5367647058823529,-0.05668449197860964,Negative,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.19, 'Fear': 0.38}"
8.0,Kinda like someone else don't hate me but I love it!,"Despite being a 2.6 rating among the lowest rated films of all time, I'm 27 and think it's heartwarming! Independent, super-duper precious and jolly fun. Haha the kid said ""Who designed this dress? Larry, Moe, and Curly"" The Three Stooges are awesome. Endearing and sweet 90's cheesy music, I recommend Baby Geniuses for great mindlessness.",kinda like someone else dont hate me but i love it,despite being 2 6 rating among lowest rated films all time im 27 think its heartwarming independent super duper precious jolly fun haha kid said who designed this dress larry moe curly three stooges are awesome endearing sweet 90s cheesy music i recommend baby geniuses great mindlessness,0.6409722222222222,0.2652777777777778,Positive,"{'Happy': 0.47, 'Angry': 0.13, 'Surprise': 0.33, 'Sad': 0.07, 'Fear': 0.0}"
6.0,Stupid?  -> INTENTIONALLY!!!,"I saw this movie on the big screen and had no opinion one way or another about it. After 3 years, while searching for the work of ""Seth Adkins"" I came across this movie, and the many negative comments about it! So, I rented and watched the video to see what I missed that so many found to give it such a bad rating and review. My findings are as follows:This movie is exactly what it is presented as!Please note the following:It was presented as a comedy. (Is is not?). It was presented as a silly, slap-stick comedy (Is it not?). It was NEVER presented to be an academy award winner!I personally do not care for slap-stick humor, but I have to admit that this movie was somewhat enjoyable to me.  I respect Leonard Maltin's opinion about movies, as most of the time he is right on the money. However, this is one of the few times I have to disagree with him!   Why did Leonard Maltin give the movie ""Fire Down Below"" 2 stars and this one BOMB status?? ""Fire Down Below"" is supposed to be a ""serious"" action/drama and Leonard Maltin himself admits that it is ""Laughably bad""! However, here is a move that is supposed to be funny, silly, stupid (whatever way you put it), and he dumps all over it for being exactly what it was promoted to be!!!!!!!!!  No, I do not believe this is one of my favorite movies, but I believe that it has been given a very poor review, based upon many people who desire a more mature script. It is as entertaining as just about any Slap-stick comedy I have ever seen!(Please note: There is some language and (very little (almost un-noticeable)) sexual suggestion that you might find objectionable or object to allowing young children to witness)!",stupid intentionally,i saw this movie big screen had no opinion one way or another about it after 3 years while searching work seth adkins i came across this movie many negative comments about it so i rented watched video see what i missed that so many found give it such bad rating review my findings are as follows this movie is exactly what it is presented as please note following it was presented as comedy is is not it was presented as silly slap stick comedy is it not it was never presented be academy award winner i personally do not care slap stick humor but i have admit that this movie was somewhat enjoyable me i respect leonard maltins opinion about movies as most time he is right money however this is one few times i have disagree with him why did leonard maltin give movie fire down below 2 stars this one bomb status fire down below is supposed be serious action drama leonard maltin himself admits that it is laughably bad however here is move that is supposed be funny silly stupid whatever way you put it he dumps all over it being exactly what it was promoted be no i do not believe this is one my favorite movies but i believe that it has been given very poor review based upon many people who desire more mature script it is as entertaining as just about any slap stick comedy i have ever seen please note there is some language very little almost un noticeable sexual suggestion that you might find objectionable or object allowing young children witness,0.531115921115921,-0.0021963684463684337,Negative,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.2, 'Sad': 0.28, 'Fear': 0.38}"
10.0,Excellent little silly comedy,"I find this movie funny. Maybe not side splitting, laugh out loud funny but it has a story and it has some good ideas and will tickle you a bit.I don't agree that it is the worst movie of any year as some have said. You have to watch it for what it is. It is simply a little story held together with some nice performances by some kids who probably did not know what they were doing most of the time. I expect it took a lot of editing time to make this happen with the right expressions and timing by the kids. The story holds together, although there is some fantasy in it and at least one hard to believe plot point. I have watched it twice. Once, some years ago and I accidentally watched it again tonight. I thought it was something else (a documentary on smart babies) And I made it all the way through, both times. I don't always make it through movies with no story or bad acting. But this has a good cast, including the twin baby leads (played by triplets), some good lines and it holds together.How bad could it be. There was a sequel and that means that it did make some money and there was some thought by someone that it would make more with the sequel. So take it for what it is. A cutesy little movie with a plot, some evil characters and some fantasy plot points to hold it together and it will be enjoyable. I do not work in the entertainment industry and certainly don't work for any entity connected with the movie but I do think it is not nearly as bad as most here say. Maybe they were embarrassed in some way and were afraid to admit liking it. Whatever! Just see it and judge for yourself. I think you will be pleased at the time spent.miKe",excellent little silly comedy,i find this movie funny maybe not side splitting laugh out loud funny but it has story it has some good ideas will tickle you bit i dont agree that it is worst movie any year as some have said you have watch it what it is it is simply little story held together with some nice performances by some kids who probably did not know what they were doing most time i expect it took lot editing time make this happen with right expressions timing by kids story holds together although there is some fantasy it at least one hard believe plot point i have watched it twice once some years ago i accidentally watched it again tonight i thought it was something else documentary smart babies i made it all way through both times i dont always make it through movies with no story or bad acting but this has good cast including twin baby leads played by triplets some good lines it holds together how bad could it be there was sequel that means that it did make some money there was some thought by someone that it would make more with sequel so take it what it is cutesy little movie with plot some evil characters some fantasy plot points hold it together it will be enjoyable i do not work entertainment industry certainly dont work any entity connected with movie but i do think it is not nearly as bad as most here say maybe they were embarrassed some way were afraid admit liking it whatever just see it judge yourself i think you will be pleased at time spent mike,0.6208333333333333,0.07531622023809521,Positive,"{'Happy': 0.2, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.29, 'Fear': 0.22}"
5.0,Yeah...don't bother.,"I saw that this film had such an unbelievably low rating on IMDb, so I had to see for myself what was so bad about this film. I figured it couldn't possibly be that bad. Well...I think I spoke too soon, cause it was REALLY BAD!The story is really bizarre. No, make that freaking stupid!!! I can't imagine that child would get enjoyment out of this movie. I'm sure that kids would laugh at a little bit of the stupid humor, but not a whole lot.I find it physically painful that Christopher Lloyd agreed to do this movie. Why Chris, Why? I was also a little surprised to see Kim Cattrall in the film too, I think she can do much better than this. I do like Peter MacNicol (TV's ""Ally McBeal""), and he did a pretty good job with his role. Kyle Howard's character was quite bizarre, if you've seen the film, I think you'll know what I'm talking about. But...he did a pretty good job with his role. Dom DeLuise was another good addition, but not enough to make this film worth watching. I did like seeing Jim Hanks in the film, brother to a certain other famous Hanks (Tom Hanks if you can't figure it out), although he has a very small role in the film. It's amazing how much Jim looks like Tom.One other thing I have to vent out that really angered me. The cover to this movie shows the little kid with glasses on. I don't think he EVER had glasses on in the entire film!!! Perhaps I missed it, but I sure didn't notice them. Strange huh?All in all, I would definitely recommend staying clear of this film, unless you're curious like I was. If you do end up seeing this film, I hope you enjoy it more than I did. Thanks for reading,-Chris",yeah dont bother,i saw that this film had such unbelievably low rating imdb so i had see myself what was so bad about this film i figured it couldnt possibly be that bad well i think i spoke too soon cause it was really bad story is really bizarre no make that freaking stupid i cant imagine that child would get enjoyment out this movie im sure that kids would laugh at little bit stupid humor but not whole lot i find it physically painful that christopher lloyd agreed do this movie why chris why i was also little surprised see kim cattrall film too i think she can do much better than this i do like peter macnicol tvs ally mcbeal he did pretty good job with his role kyle howards character was quite bizarre if youve seen film i think youll know what im talking about but he did pretty good job with his role dom deluise was another good addition but not enough make this film worth watching i did like seeing jim hanks film brother certain other famous hanks tom hanks if you cant figure it out although he has very small role film its amazing how much jim looks like tom one other thing i have vent out that really angered me cover this movie shows little kid with glasses i dont think he ever had glasses entire film perhaps i missed it but i sure didnt notice them strange huh all all i would definitely recommend staying clear this film unless youre curious like i was if you do end up seeing this film i hope you enjoy it more than i did thanks reading chris,0.6076172019195275,0.04132059800664452,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.29, 'Sad': 0.19, 'Fear': 0.36}"
8.0,In defense of this film... it's not THAT bad...,"I think people are coming down entirely too hard on this film. Granted, it's no Look Who's Talking (1 or 2) or Baby's Day Out. It wasn't intended to be. It's a fantastical way to bring ""thinking"" babies back into the spotlight. Look at how much we all love Rugrats, not to mention the aforementioned films. The main goal is not about content, but the ""aww"" factor or just sheer enjoyment of cute toddlers. This is not a film that should be picked apart. It was more than likely made just for fun. Maybe babies don't know the secrets of the universe. But it's something silly to think about. Why argue about it?",defense this film its not that bad,i think people are coming down entirely too hard this film granted its no look whos talking 1 or 2 or babys day out it wasnt intended be its fantastical way bring thinking babies back into spotlight look at how much we all love rugrats not mention aforementioned films main goal is not about content but aww factor or just sheer enjoyment cute toddlers this is not film that should be picked apart it was more than likely made just fun maybe babies dont know secrets universe but its something silly think about why argue about it,0.5300347222222223,0.051215277777777776,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.3, 'Sad': 0.15, 'Fear': 0.3}"
1.0,May I ask a legitimate question- whose idea was it to use the talents of Kathaleen Turner and Christopher Lloyd and waste them?,"I will give some credit to this otherwise awful film, that it is better than its abysmal sequel Superbabies:Baby Geniuses 2. On paper, it doesn't look so bad, it has a great cast including beautiful Kathaleen Turner, Christopher Lloyd who is a lot of fun in pretty much everything he's in and the late Dom DeLuise. If only, if only it had a decent enough script and a good enough plot. However, the film is severely lacking in both areas, and makes a waste of those truly talented actors.The script is just awful, and doesn't give anyone enough to work with, and there is no originality or sophistication. The story is one that has been done before and better about a nasty children's magnate who is carrying out tests on a host of brainy little children on the premise that they can speak in a secret language. Bob Clark's direction is very unfocused throughout, and doesn't improve whatsoever. The camera-work is rushed, and the slapstick is uninspiredly staged. In fact, if there was a redeeming quality, the soundtrack was okay to say the least.The performances are disappointingly poor, and they are not helped by the lacklustre direction and the witless script. To be honest I found triplets Leo, Myles and Gerry Fitzgerald very irritating as the twins who try to outmatch Dr Kinder. As for Turner, this has to be a career low for her. This is a shame, because she is so beautiful and talented, but her strengths aren't even put to use here and she does overact quite wildly. Christopher Lloyd usually excels in roles similar to the one he has here, but he looks embarrassed here and looks as though he wants to get it all out of the way. And Dom DeLuise? For such a talented and versatile actor like DeLuise, you would expect a lot from him. But his part is so badly underwritten that he comes across as wasted.All in all, sorry but I didn't like this movie. Even with such a wonderful bunch of actors, their talents are all gone to waste with poor writing, direction and plot. 1/10 Bethany Cox",may i ask legitimate question whose idea was it use talents kathaleen turner christopher lloyd waste them,i will give some credit this otherwise awful film that it is better than its abysmal sequel superbabies baby geniuses 2 paper it doesnt look so bad it has great cast including beautiful kathaleen turner christopher lloyd who is lot fun pretty much everything hes late dom deluise if only if only it had decent enough script good enough plot however film is severely lacking both areas makes waste those truly talented actors script is just awful doesnt give anyone enough work with there is no originality or sophistication story is one that has been done before better about nasty childrens magnate who is carrying out tests host brainy little children premise that they can speak secret language bob clarks direction is very unfocused throughout doesnt improve whatsoever camera work is rushed slapstick is uninspiredly staged fact if there was redeeming quality soundtrack was okay say least performances are disappointingly poor they are not helped by lacklustre direction witless script be honest i found triplets leo myles gerry fitzgerald very irritating as twins who try outmatch dr kinder as turner this has be career low her this is shame because she is so beautiful talented but her strengths arent even put use here she does overact quite wildly christopher lloyd usually excels roles similar one he has here but he looks embarrassed here looks as though he wants get it all out way dom deluise such talented versatile actor like deluise you would expect lot him but his part is so badly underwritten that he comes across as wasted all all sorry but i didnt like this movie even with such wonderful bunch actors their talents are all gone waste with poor writing direction plot 1 10 bethany cox,0.6187499999999999,0.01331597222222222,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.26, 'Sad': 0.23, 'Fear': 0.32}"
