Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,An Engrossing Film!,"Neeraj Pandey's 'Baby' is a another winner from the Writer-Director. An Engrossing Film, that serves as an impressive espionage action thriller. Its well-paced & also well-acted! 2015...has clearly got its first winner! 'Baby' Synopsis: A group of Indian Patriots, track down Muslim Terrorists, who are planning a series of bomb blasts. 'Baby' has a decent first-hour, where the drama & the brutal action-sequences leave a mark. But, its the second-hour, which is a complete knock-out. The final 40-minutes especially, when our heroes capture the kingpin & plan to get him back home, offer nail-biting moments. Despite a long running-time of over 158-minutes, 'Baby' makes very good use of its length! Pandey's Screenplay is strong all through. The first-hour isn't without its moments, but the Second-Hour takes the narrative to an all time high. Pandey's Direction is equally competent. Cinematography is lavish, it captures the exotic locales of Istanbul, Nepal, Dubai & India, admirably. Editing is a bit loose at times, but is otherwise crisp. Action-Sequences are raw, but effective. Background Score is superb. Performance-Wise: Akshay Kumar is in top-form. Its so nice to see the talented actor donning a serious role, after a hiatus. He's tough throughout. Anupam Kher, who enters the scene pretty late, is remarkable. His scenes with Akshay provide genuine humor. Danny Denzongpa is superb. Rana Daggubati & Taapsee Pannu are decent in brief roles. Kay Kay Menon, Sushant Singh & Rasheed Naz are menacing as the conniving villains.On the whole, 'Baby' works big time. Grab a ticket now!",engrossing film,neeraj pandeys baby is another winner writer director engrossing film that serves as impressive espionage action thriller its well paced also well acted 2015 has clearly got its first winner baby synopsis group indian patriots track down muslim terrorists who are planning series bomb blasts baby has decent first hour where drama brutal action sequences leave mark but its second hour which is complete knock out final 40 minutes especially when our heroes capture kingpin plan get him back home offer nail biting moments despite long running time over 158 minutes baby makes very good use its length pandeys screenplay is strong all through first hour isnt without its moments but second hour takes narrative all time high pandeys direction is equally competent cinematography is lavish it captures exotic locales istanbul nepal dubai india admirably editing is bit loose at times but is otherwise crisp action sequences are raw but effective background score is superb performance wise akshay kumar is top form its so nice see talented actor donning serious role after hiatus hes tough throughout anupam kher who enters scene pretty late is remarkable his scenes with akshay provide genuine humor danny denzongpa is superb rana daggubati taapsee pannu are decent brief roles kay kay menon sushant singh rasheed naz are menacing as conniving villains whole baby works big time grab ticket now,0.5794853214418432,0.21361296915644737,Positive,"{'Happy': 0.27, 'Angry': 0.07, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.33}"
8.0,Fall little bit short to make a way to Oscar,BABY REVIEW- An epic thriller which deserves to be in Hollywood but Neeraj Pandey made it in Bollywood and raise Bollywood standard higher.i watched it with very high expectation and film completed all my expectation.last 30-35 Min's were inspired by Hollywood Oscar winner flick Argo.i am 90% satisfied with the movie and 10% disappointed because last scenes in Argo of interrogation on airport were nail-biting but Baby badly missed those scenes.performance wise Akshay Kumar proved that why he is my favorite after Srk and why he is the best for this role.if there would be an award for best actor in thriller category then he deserves it.remaining star cast were superb.Neeraj Pandey proves that he is king of thriller movies.another masterpiece after A Wednesday and Special 26.he proves why should we watch his movies with high expectations.i could have given 9 stars to the movie but as i already said climax were 10% disappointing.if Neeraj would have copied Argo climax then Baby would have been out of the world movie..so a must watch movie for all.here we have the 1st quality movie of 2015.,fall little bit short make way oscar,baby review epic thriller which deserves be hollywood but neeraj pandey made it bollywood raise bollywood standard higher i watched it with very high expectation film completed all my expectation last 30 35 mins were inspired by hollywood oscar winner flick argo i am 90 satisfied with movie 10 disappointed because last scenes argo interrogation airport were nail biting but baby badly missed those scenes performance wise akshay kumar proved that why he is my favorite after srk why he is best this role if there would be award best actor thriller category then he deserves it remaining star cast were superb neeraj pandey proves that he is king thriller movies another masterpiece after wednesday special 26 he proves why should we watch his movies with high expectations i could have given 9 stars movie but as i already said climax were 10 disappointing if neeraj would have copied argo climax then baby would have been out world movie so must watch movie all here we have 1st quality movie 2015,0.48873469387755103,0.19703061224489798,Positive,"{'Happy': 0.09, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.19, 'Fear': 0.44}"
10.0,One of the Best!! Well... at least the Second Half is!,"I'm a movie buff and watch almost every movie. Last time, I was so excited about a movie was when I saw Ugly! Talking about Neeraj Pandey, I'm among those very people who didn't find the climax of Special Chabbees exciting. In fact, I was able to guess the finale long before it started. And so for me, the finale was the weakest link in Special Chhabees. For A Wednesday, it was a great thriller from start till end.Now coming to the Baby! The first half started with bang and I was really looking forward to the movie. However, right about the interval, I was thinking that it wasn't all that great! And that's where I was wrong. With the entry of Taapsee Pannu, started a race against time. And here's where Neeraj Pandey really really blew my mind. That's how a thriller is made. Stupid movies like Race 2 ought to learn from this movie. The second half kept me at the edge of my seat that seldom any Hindi movie does.Kudos to the Baby team for contributing such a gem to Indian Cinema. Thrillers like A Wednesday, Ugly, and Baby are a rare treat to movie goers like me, who just can't leave their brains at home. The critics can find all the fault they want in this movie, but for me it's one of Neeraj's best.Akshay did a very good job. He is a versatile actor who should do more sensible movies instead of movies like Once Upon A Time In Mumbai - 2. But I'm all praise for Tapsee Pannu. Unlike every Telugu movie, where the heroine is a Bimbo, Tapsee showed her acting prowess with this movie. Anupam Kher was excellent as always. Not much can be said about Rana Daggubati as his role wasn't meaty enough! All in all, I really enjoyed this movie. Will definitely see again on Silver Screen, too! Urge you all to watch this movie if you really want a fast paced Indian thriller.",one best well at least second half is,im movie buff watch almost every movie last time i was so excited about movie was when i saw ugly talking about neeraj pandey im among those very people who didnt find climax special chabbees exciting fact i was able guess finale long before it started so me finale was weakest link special chhabees wednesday it was great thriller start till end now coming baby first half started with bang i was really looking forward movie however right about interval i was thinking that it wasnt all that great thats where i was wrong with entry taapsee pannu started race against time heres where neeraj pandey really really blew my mind thats how thriller is made stupid movies like race 2 ought learn this movie second half kept me at edge my seat that seldom any hindi movie does kudos baby team contributing such gem indian cinema thrillers like wednesday ugly baby are rare treat movie goers like me who just cant leave their brains at home critics can find all fault they want this movie but me its one neerajs best akshay did very good job he is versatile actor who should do more sensible movies instead movies like once upon time mumbai 2 but im all praise tapsee pannu unlike every telugu movie where heroine is bimbo tapsee showed her acting prowess with this movie anupam kher was excellent as always not much can be said about rana daggubati as his role wasnt meaty enough all all i really enjoyed this movie will definitely see again silver screen too urge you all watch this movie if you really want fast paced indian thriller,0.4903571428571429,0.17328947368421058,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.19, 'Fear': 0.17}"
10.0,Masterpiece,One of the best thriller movie ever made in Bollywoo. Everything looks realisti. Superb acting by Akshay Kumar. Probably the best at that time.,masterpiece,one best thriller movie ever made bollywoo everything looks realisti superb acting by akshay kumar probably best at that time,0.4,0.75,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.12}"
10.0,"Simply put Akshay's best performance,Neeraj's best film, one of India's best thrillers = A MASTERPIECE... A film made on international standards","Ajay Singh Rajput (akshay) is a commando who works in anti-terrorist unit and he works in a team called Baby which is led by the patriotic Firoze Ali Khan (danny). At one point, Firoze tells the ministry that something has to be done to win the confidence of the minorities in India and this would prevent Pakistan from taking advantage. And then there is a hardcore terrorist Bilal Khan (kay kay menon) planning his evil methods to cause fear. How things take shape forms the rest.The director has come up with a realistic storyline and while the presentation was rich, the narrative was taut and attention grabbing. The dialogues were well written. The script was thrilling, out of the box and the screenplay made the film very tight and racy. The background score was intense and there are no songs which is quite relieving. Cinematography was the main strength to this film. Editing was crisp. Costumes were well designed to suit the backdrop while the art department was majestic. Akshay Kumar has given career best performance, somebody please give him a national award. MINDBLOWN.A true bollywood superstar.Danny Denzongpa was dazzling. Rana Daggubati was good. Taapsee Pannu was top notch, watch out for her fantastic action scene.The best among the lot was Anupam Kher, he was superb. Kay Kay Menon was apt. Madhurima Tuli was neat. Sushant Singh was entertaining.Any film that deals with patriotism is inspiring but when you start looking at a world which is hardly known to you, it gets intriguing. This is the attempt from this team and it sure was amazing, almost pathbreaking one. The first half goes around with the layering of the plot and it is filled with its share of action, drama and powerful dialogues. The interval bang was great and the second half continues the same momentum in connecting the dots, the last 40 min is heart pounding stuff its cinema at its best.This is a film which is not only good in its packaging but will leave you with a sense of respect for the brave officers.Overall Baby is India's best edge of seat thriller, its taut,gripping,fast paced,has amazing action and mindblowing performances.A MASTERPIECE in a true sense. Neeraj Pandey who is one of India's finest directors we saw his brilliance with A Wednesday, and Special 26 .But Baby is his best.Take a bow sir. The way he shot the film so beautiful at international standards, and the action is so real, simply amazing.Baby finally evokes patriotism.You will be proud to be Indian. Left me speechless.Watch one of India's finest thrillers. Its your loss if you don't... Easily one of the better film seen in awhile.5/5* or 10/10",simply put akshays best performance neerajs best film one indias best thrillers masterpiece film made international standards,ajay singh rajput akshay is commando who works anti terrorist unit he works team called baby which is led by patriotic firoze ali khan danny at one point firoze tells ministry that something has be done win confidence minorities india this would prevent pakistan taking advantage then there is hardcore terrorist bilal khan kay kay menon planning his evil methods cause fear how things take shape forms rest director has come up with realistic storyline while presentation was rich narrative was taut attention grabbing dialogues were well written script was thrilling out box screenplay made film very tight racy background score was intense there are no songs which is quite relieving cinematography was main strength this film editing was crisp costumes were well designed suit backdrop while art department was majestic akshay kumar has given career best performance somebody please give him national award mindblown true bollywood superstar danny denzongpa was dazzling rana daggubati was good taapsee pannu was top notch watch out her fantastic action scene best among lot was anupam kher he was superb kay kay menon was apt madhurima tuli was neat sushant singh was entertaining any film that deals with patriotism is inspiring but when you start looking at world which is hardly known you it gets intriguing this is attempt this team it sure was amazing almost pathbreaking one first half goes around with layering plot it is filled with its share action drama powerful dialogues interval bang was great second half continues same momentum connecting dots last 40 min is heart pounding stuff its cinema at its best this is film which is not only good its packaging but will leave you with sense respect brave officers overall baby is indias best edge seat thriller its taut gripping fast paced has amazing action mindblowing performances masterpiece true sense neeraj pandey who is one indias finest directors we saw his brilliance with wednesday special 26 but baby is his best take bow sir way he shot film so beautiful at international standards action is so real simply amazing baby finally evokes patriotism you will be proud be indian left me speechless watch one indias finest thrillers its your loss if you dont easily one better film seen awhile 5 5 or 10 10,0.5468637992831542,0.38534946236559153,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.38, 'Sad': 0.13, 'Fear': 0.33}"
9.0,Masterpiece for Indian Cinema,"Its rare, in its extremity, for Bollywood to make a masterpiece. But once in a while they do and this year Neeraj Pandey and Akshya Kumar gave a classic like ""BABY"". Every scene, background score,cinematography and almost everything is done to perfection. And that second half will glue you to your seat! Such a thrill, such a tension,the effort put by director is so brilliant that you will feel like cheering up. None of the characters are wasted. Everyone has a important part to play in. The acting is superb. Everyone, and I mean literally everyone has acted so well that sometime you feel like you are not even watching a movie. Anyone who loves watching Bollywood movies, should not miss this classic. It's a classic, a masterpiece and kind of movie that is made once in a decade. Simply stating it, Its one of the finest movie ever made in Bollywood.",masterpiece indian cinema,its rare its extremity bollywood make masterpiece but once while they do this year neeraj pandey akshya kumar gave classic like baby every scene background score cinematography almost everything is done perfection that second half will glue you your seat such thrill such tension effort put by director is so brilliant that you will feel like cheering up none characters are wasted everyone has important part play acting is superb everyone i mean literally everyone has acted so well that sometime you feel like you are not even watching movie anyone who loves watching bollywood movies should not miss this classic its classic masterpiece kind movie that is made once decade simply stating it its one finest movie ever made bollywood,0.4694568452380953,0.18880208333333334,Positive,"{'Happy': 0.23, 'Angry': 0.04, 'Surprise': 0.35, 'Sad': 0.27, 'Fear': 0.12}"
7.0,And Bollywood delivers a rare gem!!!,"If you are a Ek tha tiger, Dhoom 3, HNY, Bang Bang fanboy/girl, do not watch this movie and do not read this review either, it's just not for you. Akshay Kumar do not need to romance hot girls, do not need to dance and sing, do not need to do melodrama to deliver a hit movie, he had shown us this back in Special 26, he has done the same here in Baby. The cast is a perfect one and there are no flaws.MOVIE: It has everything a good espionage thriller need to have- 1. Good cop bad cop routine 2. Cute chick beating the pulp out of the bad guy 3. Super cool combat scenes 4. No unnecessary sentiments and drama 5. Some brilliant dialogues 6. few laugh out loud scenes 7. It focuses on modern warfare--an indirect one--proxy war, which is much spoken about in reference to India in recent times 8. Kick ass background score 9. Cool Spy v/s bad guys 10. funny Akshay Anupam Kher duoOn negatives: Yes even i think the movie was a bit lengthy, if the director had trimmed it 10-15 minutes it would had been great. Yet, this movie is a rare feat. Bollywood rarely delivers movies like this. Its a must watch if you like sensible movies. And regarding the negative reviews, just do not pay any heed to them, for THIS GEM IS NOT TO BE MISSED. Neeraj Pandey as a director has done a brilliant job.",bollywood delivers rare gem,if you are ek tha tiger dhoom 3 hny bang bang fanboy girl do not watch this movie do not read this review either its just not you akshay kumar do not need romance hot girls do not need dance sing do not need do melodrama deliver hit movie he had shown us this back special 26 he has done same here baby cast is perfect one there are no flaws movie it has everything good espionage thriller need have 1 good cop bad cop routine 2 cute chick beating pulp out bad guy 3 super cool combat scenes 4 no unnecessary sentiments drama 5 some brilliant dialogues 6 few laugh out loud scenes 7 it focuses modern warfare indirect one proxy war which is much spoken about reference india recent times 8 kick ass background score 9 cool spy v s bad guys 10 funny akshay anupam kher duoon negatives yes even i think movie was bit lengthy if director had trimmed it 10 15 minutes it would had been great yet this movie is rare feat bollywood rarely delivers movies like this its must watch if you like sensible movies regarding negative reviews just do not pay any heed them this gem is not be missed neeraj pandey as director has done brilliant job,0.6137698412698411,0.21301587301587302,Positive,"{'Happy': 0.21, 'Angry': 0.12, 'Surprise': 0.26, 'Sad': 0.26, 'Fear': 0.14}"
,Best Film Of Akshay Kumar..If u like real movies must watch it,"What's Good: It's an out an out Neeraj Pandey film. Baby hands down comes out as of the best films when it comes to mixing a subject like terrorism. It is like an Indian version of Body Of Lies.What's Bad: Almost nothing. I don't know any better way this film could have been presented.Loo break: Don't move!Watch or Not?: Baby is a definite watch for anyone who likes action thrillers. With an edge of the seat course of story, it is a treat with its dialogues too. Baby is a must-watch film with rich content. This action thriller will woo you if you are a fan of watching raw action where blood spills and guns are trotted. An honest work that dares to bare terrorism and its religious connection. What I loved most about the film was its quality to hook you a",best film akshay kumar if u like real movies must watch it,whats good its out out neeraj pandey film baby hands down comes out as best films when it comes mixing subject like terrorism it is like indian version body lies whats bad almost nothing i dont know any better way this film could have been presented loo break dont move watch or not baby is definite watch anyone who likes action thrillers with edge seat course story it is treat with its dialogues too baby is must watch film with rich content this action thriller will woo you if you are fan watching raw action where blood spills guns are trotted honest work that dares bare terrorism its religious connection what i loved most about film was its quality hook you,0.41318038686459735,0.2458951866846604,Positive,"{'Happy': 0.07, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.37}"
10.0,A thriller that India will always be proud of !,"Though I don't categorize movies on the basis of their region or country, I had mentioned this title regarding India being proud of this movie. This is because I have heard people yelling in social media and in public about the low standards of Indian movies specially thrillers which either lack thrill or are copied from Hollywood. I agree to them o most occasions but this one. And I would strongly recommend people who complain about the lack of good movies in Bollywood to go and watch it. Or else stop complaining these craps.Coming on to the movie, it describes the biggest agenda world is facing right now, i.e, Terrorism, in best way it could. The story comprises of many small incidents which are bound together so slickly that we feel the smooth flow of script. We are lost in the hustle going on in front of us and are keen to know what is coming next. First half makes the plot for the movie and the second half unleashes the execution. Each and every scenes complements its predecessor and we are biting our nails without even noticing it. Last hour is full of thrilling actions and grueling proceedings.Talking about the acting , I must say Akshay Kumar has delivered a role of his life very convincingly. He lives his character and puts that extra amount of thrill via his superb action. Danny plays his role quite brilliantly. Anupam, Tapsee, Kay Kay and other supporting casts act life to their characters and make this movie a combo of power packed performances.Director Neeraj Pandey has already made a Wednesday and Sp 26 in past and thats why there was a very little scope for improvement for him. But I would be lying if i don't say that this is a notch higher that his earlier masterpieces. Editing is quite crisp. Screenplay is the soul of this movie while BM is equally engaging. Cinematography is grand and deserve applause. Dialogues are apt and support the movie a lot. Music is average and rightly so. Choreography is nil while action is breathtaking.It has a few flaws here and there in a few scenes but those are hardly noticed due to the fast paced drama and screenplay.Overall, a standing ovation for Neeraj and Akshay to give us Indians a movie to feel proud of. It can easily go into books as one of the best Hindi movies.A movie of Hollywood standard and execution. And who knows Akshay might get a shot at his dream of wining a National Award. I won't be surprised if he gets one along with Neeraj Pandey. It also has a potential to be India's official Oscar entry next year.I have rated this movie comparing it to other Indian movies...otherwise I would universally give it a 9 or 9.5.",thriller that india will always be proud,though i dont categorize movies basis their region or country i had mentioned this title regarding india being proud this movie this is because i have heard people yelling social media public about low standards indian movies specially thrillers which either lack thrill or are copied hollywood i agree them o most occasions but this one i would strongly recommend people who complain about lack good movies bollywood go watch it or else stop complaining these craps coming movie it describes biggest agenda world is facing right now i e terrorism best way it could story comprises many small incidents which are bound together so slickly that we feel smooth flow script we are lost hustle going front us are keen know what is coming next first half makes plot movie second half unleashes execution each every scenes complements its predecessor we are biting our nails without even noticing it last hour is full thrilling actions grueling proceedings talking about acting i must say akshay kumar has delivered role his life very convincingly he lives his character puts that extra amount thrill via his superb action danny plays his role quite brilliantly anupam tapsee kay kay other supporting casts act life their characters make this movie combo power packed performances director neeraj pandey has already made wednesday sp 26 past thats why there was very little scope improvement him but i would be lying if i dont say that this is notch higher that his earlier masterpieces editing is quite crisp screenplay is soul this movie while bm is equally engaging cinematography is grand deserve applause dialogues are apt support movie lot music is average rightly so choreography is nil while action is breathtaking it has few flaws here there few scenes but those are hardly noticed due fast paced drama screenplay overall standing ovation neeraj akshay give us indians movie feel proud it can easily go into books as one best hindi movies movie hollywood standard execution who knows akshay might get shot at his dream wining national award i wont be surprised if he gets one along with neeraj pandey it also has potential be indias official oscar entry next year i have rated this movie comparing it other indian movies otherwise i would universally give it 9 or 9 5,0.460940065681445,0.22301416256157636,Positive,"{'Happy': 0.1, 'Angry': 0.04, 'Surprise': 0.28, 'Sad': 0.18, 'Fear': 0.39}"
9.0,"Finally, Bollywood did a perfect Hollywood this time.. !!!!","First of all, hats off to Neeraj Pandey for raising the standard of Bollywood. Throughout, i never felt that i was watching a bollywood movie. Its one of the epic thriller made in Bollywood. Every scene of movie is executed in an efficient manner and once again Akshay Kumar's acting won millions of hearts and also i would like to add about Anupam Kher's acting...it will remind you of Neeraj Pandey's last movie ""Special 26"". Here 'BABY' refers to a mission started by some agents including Akshay kumar in order to grasp some powerful terrorists and one among them was Bilal Khan (Kay Kay Menon).I would recommend this film to each and everyone as it is one of the best movies of Indian Cinema which are made against terrorists. My rating 9/10.",finally bollywood did perfect hollywood this time,first all hats off neeraj pandey raising standard bollywood throughout i never felt that i was watching bollywood movie its one epic thriller made bollywood every scene movie is executed efficient manner once again akshay kumars acting won millions hearts also i would like add about anupam khers acting it will remind you neeraj pandeys last movie special 26 here baby refers mission started by some agents including akshay kumar order grasp some powerful terrorists one among them was bilal khan kay kay menon i would recommend this film each everyone as it is one best movies indian cinema which are made against terrorists my rating 9 10,0.4246753246753247,0.2733766233766234,Positive,"{'Happy': 0.0, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.41, 'Fear': 0.29}"
