Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,"It blowed stuff up, and blowed up more","Let's be honest with ourselves for a moment. In a movie like this, the producers don't pay expensive actors to act or to create realistic performances or to use their talents to win our sympathy. No, they pay these actors for face and name recognition, so when a movie like Ballistic: Banderas vs Liu comes along we don't have the inconvenience of learning about characters and plot. Hell, we don't even have the inconvenience of wondering, ""Is this actor hot while all this excitement rushes them by?"" Name recognition, baby, it's all marketed by name recognition.And why should they let actors acting take up precious moments from the rooftop chases, the explosions, the gunfire, and posing like models? Everyone already knows these actors right? No need to develop anything more than flimsy excuses for action/motivation, right? Sarcasm aside - I never thought I'd hear myself say this, but I think Ballistic would have been a better, more sophisticated, film if they scrapped the plot and cliché character developments and just went for 90 minutes of uninterrupted Banderas and Liu gunning at each other backdropped by a slow-mo explosions.This film would have to scale a cliff before reaching the level of plot intricacies and intelligence that just thrive in Michael Bay films.We get a crappy plot and crappy characterizations anyway just in case we don't have a favorite actor to root for. We get ultra cliché scenarios that anyone who has been to a theatre in the last fifty years will pick up on. Oh no, a child's been kidnapped  we're supposed to sympathize with the boy. There's the old (young?) has-been former cop (FBI guy in this movie) who lost his motivation  we're supposed to sympathize with him and the loss of his family. And then there's--oh, but wait? What are these plot revelations? What are they pointing towards? Gasp! They're making the already obvious villain even more obvious! Me? I was rooting for the aliens from Independence Day to come down and blow them all up, but the bastards got stuck in traffic.Somewhere in the movie is a subplot about a nano-assassin, but I cared about that as much as the movie does.And since we're being honest, I admit this is a great film to watch after a night of provocative and cultured cinema to recalibrate your personal scale to the realities of the industry. Like I explained to the guy at Blockbuster, ""I just got a box-set of Hitchcock, been watching those back to back, and the other day I watched De Palma's Femme Fatale. I need something trashy before I become a full-blown film snob."" So I walked out with Ballistic and Shark Attack 3, went home, and turned off my mind for a marathon of stock footage and needless gunfire/explosions . . . and all was well.",it blowed stuff up blowed up more,lets be honest with ourselves moment movie like this producers dont pay expensive actors act or create realistic performances or use their talents win our sympathy no they pay these actors face name recognition so when movie like ballistic banderas vs liu comes along we dont have inconvenience learning about characters plot hell we dont even have inconvenience wondering is this actor hot while all this excitement rushes them by name recognition baby its all marketed by name recognition why should they let actors acting take up precious moments rooftop chases explosions gunfire posing like models everyone already knows these actors right no need develop anything more than flimsy excuses action motivation right sarcasm aside i never thought id hear myself say this but i think ballistic would have been better more sophisticated film if they scrapped plot clich character developments just went 90 minutes uninterrupted banderas liu gunning at each other backdropped by slow mo explosions this film would have scale cliff before reaching level plot intricacies intelligence that just thrive michael bay films we get crappy plot crappy characterizations anyway just case we dont have favorite actor root we get ultra clich scenarios that anyone who has been theatre last fifty years will pick up oh no childs been kidnapped were supposed sympathize with boy theres old young has been former cop fbi guy this movie who lost his motivation were supposed sympathize with him loss his family then theres oh but wait what are these plot revelations what are they pointing towards gasp theyre making already obvious villain even more obvious me i was rooting aliens independence day come down blow them all up but bastards got stuck traffic somewhere movie is subplot about nano assassin but i cared about that as much as movie does since were being honest i admit this is great film watch after night provocative cultured cinema recalibrate your personal scale realities industry like i explained guy at blockbuster i just got box set hitchcock been watching those back back other day i watched de palmas femme fatale i need something trashy before i become full blown film snob so i walked out with ballistic shark attack 3 went home turned off my mind marathon stock footage needless gunfire explosions all was well,0.4627865961199295,0.19257054673721336,Positive,"{'Happy': 0.06, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.24, 'Fear': 0.36}"
,Here's a do-it-yourself B:E vs S,"Start out with the Lucy Liu character. Wear a long coat and slacks everywhere you go. Look into a mirror and erase every expression you have. Speak about once every few hours.Then you can do the Banderas character. Don't shave. Muss your hair. Put 15 jumbo olives in your mouth when you speak. Shuffle when you walk.Oh yeah special effects. Let the gas on your stove run for about 10 seconds without lighting it. Then light it. Say ""Boom"". Repeat 100 times.You can get a copy of the script really easy: Buy 10 comic books. Tear a couple of pages out of each one and staple the pieces together. Be sure that they don't fit too well together. They don't even have to be right side up.If you do this, you won't need to rent this stinker.",heres do it yourself b e vs s,start out with lucy liu character wear long coat slacks everywhere you go look into mirror erase every expression you have speak about once every few hours then you can do banderas character dont shave muss your hair put 15 jumbo olives your mouth when you speak shuffle when you walk oh yeah special effects let gas your stove run about 10 seconds without lighting it then light it say boom repeat 100 times you can get copy script really easy buy 10 comic books tear couple pages out each one staple pieces together be sure that they dont fit too well together they dont even have be right side up if you do this you wont need rent this stinker,0.552936507936508,0.18761904761904763,Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.26, 'Fear': 0.37}"
1.0,Can't we go into negative ratings?,"I liked the trailers, I hoped for the best and then sat in dumbstruck horror as one of the worst films ever made (as in so bad its painful to watch bad) unspooled before my eyes. Rumor has it that the film makers know a thing about movie making. I know the cast does, but what wanders across the screen looks like the dailies of a really bad TV commercial put together by someone with no sense of film structure. I'm told that this has something to do with two assassins fighting each other after some one is kidnapped, but I'm not certain since things just sort of happen for no real reason. I would like to think that this movie was a big joke on the movie going public but no one would want to spend what it cost to make this movie as a joke, especially when there was no hope of ever getting the money back in ten thousand life times. A void unless your eyes need to experience cinematic blunt force trauma applied to them.",cant we go into negative ratings,i liked trailers i hoped best then sat dumbstruck horror as one worst films ever made as so bad its painful watch bad unspooled before my eyes rumor has it that film makers know thing about movie making i know cast does but what wanders across screen looks like dailies really bad tv commercial put together by someone with no sense film structure im told that this has something do with two assassins fighting each other after some one is kidnapped but im not certain since things just sort happen no real reason i would like think that this movie was big joke movie going public but no one would want spend what it cost make this movie as joke especially when there was no hope ever getting money back ten thousand life times void unless your eyes need experience cinematic blunt force trauma applied them,0.44517195767195766,-0.1573412698412698,Negative,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.4, 'Fear': 0.25}"
,absurdly bad espionage thriller,"`Ballistic: Ecks vs. Sever' has been saddled with not only one of the worst movie titles in recent memory, but one of the worst screenplays as well. The film's third-rate espionage plot makes no sense at all and serves basically as a lame excuse for endless explosions, shootouts and double-flipping car chases, which have become the standard accoutrements for virtually every action picture since `Bullitt' in 1968. The problem with `Ballistic' is that the viewer can never tell who is doing what to whom or why  and we never care.  The film is really all about style anyway. How else to account for the rather ludicrous image of Lucy Liu - looking more like a fashion model out on a shoot than a trained killer doing the shooting herself - strolling in elegant slow motion through the streets of Vancouver, wiping out what seems to be an entire hit squad with a combination of superhuman marksmanship and Matrix-like kickboxing moves? With her ankle-length designer coat and her icy-cool demeanor, she looks like Calvin Klein's idea of what the well-dressed assassin should be wearing this season. It's enough to reduce the whole enterprise to the level of comic absurdity  and, indeed, I often found myself laughing out loud at many of the ostensibly serious shenanigans occurring in the film. The flashbacks, which are obviously intended to clarify the characters' relationships, are so poorly done that they actually end up making the whole story more muddled and confusing. (And, although the child-kidnapping scenario is never as offensive in this film as it is in `Trapped,' one can still question the propriety of filmmakers running to this theme with the kind of frequency they seem to have been doing of late). Antonio Banderas makes up the other half of the film's title (he is Ecks, she Sever), and one only wonders what he could have been thinking about when he signed on to co-star in this particular project. `Ballistic' is utterly dispensable moviemaking: here today, forgotten tomorrow, a film utterly without distinction, conviction or purpose.",absurdly bad espionage thriller,ballistic ecks vs sever has been saddled with not only one worst movie titles recent memory but one worst screenplays as well films third rate espionage plot makes no sense at all serves basically as lame excuse endless explosions shootouts double flipping car chases which have become standard accoutrements virtually every action picture since bullitt 1968 problem with ballistic is that viewer can never tell who is doing what whom or why we never care film is really all about style anyway how else account rather ludicrous image lucy liu looking more like fashion model out shoot than trained killer doing shooting herself strolling elegant slow motion through streets vancouver wiping out what seems be entire hit squad with combination superhuman marksmanship matrix like kickboxing moves with her ankle length designer coat her icy cool demeanor she looks like calvin kleins idea what well dressed assassin should be wearing this season its enough reduce whole enterprise level comic absurdity indeed i often found myself laughing out loud at many ostensibly serious shenanigans occurring film flashbacks which are obviously intended clarify characters relationships are so poorly done that they actually end up making whole story more muddled confusing although child kidnapping scenario is never as offensive this film as it is trapped one can still question propriety filmmakers running this theme with kind frequency they seem have been doing late antonio banderas makes up other half films title he is ecks she sever one only wonders what he could have been thinking about when he signed co star this particular project ballistic is utterly dispensable moviemaking here today forgotten tomorrow film utterly without distinction conviction or purpose,0.5070833333333333,-0.035833333333333314,Negative,"{'Happy': 0.06, 'Angry': 0.08, 'Surprise': 0.12, 'Sad': 0.35, 'Fear': 0.39}"
,For the love of Christ! Make it stop!,"Once in a while, a movie comes out that just defies logic. Sometimes logic is defied in how rewarding the watching experience was, say like with the Sixth Sense. Sometimes logic is defied in such a way as to make you question the mental state of those involved with giving this movie the ""greenlight"". This is not necessarily a good thing. This movie hurts on so many levels that it could be considered a cruel and inhuman torture to be made to sit through this. Everything about this movie screams bargain bin. With the exception of one scene (see below), this movie pretty much blows. Antonio Banderas is absolutely useless in this picture. You'd think from the ad campaign, let alone the fact that the movie is titled ""Ecks vs. Sever"", that he would be more of a serious ass kicker. No, no. The only one who gets to do any serious ass kicking is Lucy Liu and I'm 100% positive that she did this one only to pay the bills. Even with that revelation, she still sucked in it. The direction is pretty much what you'd expect from someone who goes by the name, ""Kaos"" but sometimes I'd like a little order to my chaos, ya know? I read a quote somewhere, where they said, 'who knew so much action could be so boring?' That's definitely the case here. Yeah there's a lot of action but it's of the direct-to-video variety. God, help me but this movie sucked. It wasn't even of the ""so bad, it's good"" type of flick. The story is incomprehensible, something about microscopic termites and little babies blown to smithereens and wives that bounce on you and the guy from Payback and.... AARRRRGGGHHH!!! I wouldn't recommend this to anyone. I can't recommend this to anyone. I'll give it a 1/2* out of ***** ONLY and I repeat, ONLY because of the aforementioned scene where some guy is knocked off of a rooftop by a grenade launcher and is shown falling to his death onto a parked car. If you want one reason to watch this, that's it. But don't say I didn't warn you.",love christ make it stop,once while movie comes out that just defies logic sometimes logic is defied how rewarding watching experience was say like with sixth sense sometimes logic is defied such way as make you question mental state those involved with giving this movie greenlight this is not necessarily good thing this movie hurts so many levels that it could be considered cruel inhuman torture be made sit through this everything about this movie screams bargain bin with exception one scene see below this movie pretty much blows antonio banderas is absolutely useless this picture youd think ad campaign let alone fact that movie is titled ecks vs sever that he would be more serious ass kicker no no only one who gets do any serious ass kicking is lucy liu im 100 positive that she did this one only pay bills even with that revelation she still sucked it direction is pretty much what youd expect someone who goes by name kaos but sometimes id like little order my chaos ya know i read quote somewhere where they said who knew so much action could be so boring thats definitely case here yeah theres lot action but its direct video variety god help me but this movie sucked it wasnt even so bad its good type flick story is incomprehensible something about microscopic termites little babies blown smithereens wives that bounce you guy payback aarrrrggghhh i wouldnt recommend this anyone i cant recommend this anyone ill give it 1 2 out only i repeat only because aforementioned scene where some guy is knocked off rooftop by grenade launcher is shown falling his death onto parked car if you want one reason watch this thats it but dont say i didnt warn you,0.6046920821114369,-0.03433528836754643,Negative,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.28, 'Sad': 0.28, 'Fear': 0.31}"
3.0,"Not to be taken seriously, but entertaining at 3 AM","I gave this movie a 3 of 10 which, I guess, makes me one of its biggest fans in my age group(I'm 41, and the highest ratings for this film averaged 2.5 at the time of my writing and were limited to sub-18 year olds).Banderas and Liu saved this film from deserving the rating it got here on IMDb. The film is certainly pointless, loaded with ridiculous plot twists and absurd action sequences, but how many action films don't fit this description? Seriously, if you want to see what two entertaining actors and a lot of wasted film can do together, this film is worth a look. it's plot heavy, bit soul-less and clichéd, but entertaining nonetheless.I turned it on at 3AM one sleepless night because I wanted to see what the heck Liu and Banderas were doing in a direct to video film. Expecting a thoroughly dreadful film, I was pleasantly surprised, and found the film to be entertaining. The film views like a series of strung together early-80s MTV videos with a contemporary hard rock sound track, plenty of loud noises and explosions, and, thankfully, few words.To the extent that I remember it, the plot was about Banderas trying to rescue his wife and son from the clutches of some very evil super-secret spy types (who are nevertheless apparently exceedingly inept). A lot of stuff got blown up - in fact most of the sets were heavily rigged with explosives which seemed to go off at random intervals. Of course there were a lot of gunshots, fists, and kicks. I don't recall any swords or phasers though. If I say anything about Lucy Liu at all, I will give away the rest of the plot (which ought to tell you something about the quality of the script and the complexity of the plot) Lighten up! It's bad, but it's just a B movie. And this is what B movies are supposed to be about. By the way, a better choice for an utterly stupid action/violence flick is the masterpiece of violence surrealism ""Mean Guns""",not be taken seriously but entertaining at 3 am,i gave this movie 3 10 which i guess makes me one its biggest fans my age group im 41 highest ratings this film averaged 2 5 at time my writing were limited sub 18 year olds banderas liu saved this film deserving rating it got here imdb film is certainly pointless loaded with ridiculous plot twists absurd action sequences but how many action films dont fit this description seriously if you want see what two entertaining actors lot wasted film can do together this film is worth look its plot heavy bit soul less clich d but entertaining nonetheless i turned it at 3am one sleepless night because i wanted see what heck liu banderas were doing direct video film expecting thoroughly dreadful film i was pleasantly surprised found film be entertaining film views like series strung together early 80s mtv videos with contemporary hard rock sound track plenty loud noises explosions thankfully few words extent that i remember it plot was about banderas trying rescue his wife son clutches some very evil super secret spy types who are nevertheless apparently exceedingly inept lot stuff got blown up fact most sets were heavily rigged with explosives which seemed go off at random intervals course there were lot gunshots fists kicks i dont recall any swords or phasers though if i say anything about lucy liu at all i will give away rest plot which ought tell you something about quality script complexity plot lighten up its bad but its just b movie this is what b movies are supposed be about by way better choice utterly stupid action violence flick is masterpiece violence surrealism mean guns,0.5280505952380954,-0.033556547619047604,Negative,"{'Happy': 0.04, 'Angry': 0.16, 'Surprise': 0.25, 'Sad': 0.27, 'Fear': 0.27}"
1.0,""" ""I had no idea what was going on. I just showed up, did what they told me and that was it"",","...says Lucy Liu about her role in this film. When one of your two leads is willing to say, on the record, that they haven't got a clue what the film in which they are starring is about or the motivation of their character is, you know you are in trouble.Ultimately, this film's big sin is that it is so incoherent and completely lacking in motivation for the characters or backstory that it is boring. And cool slow motion flips through the air Matrix style and explosions - lots of them - are not going to change that. I have no idea what the background is between the two adversaries, no idea what makes the bad guy a villain, and no idea how they can spin this into a warm family drama, which they attempt to do at the end, I am just supposed to forget about all of those charred bodies left behind in Vancouver.The director of this film goes by ""Kaos"". And somebody actually let him direct another film after this bomb. Granted, it was ten years later, but he got a second chance. I guess I could say to look at the video game of the same name for some guidance concerning the plot, but it is nothing like this film. Except for all of the loud noises, recommended as a substitute for Sominex.",i had no idea what was going i just showed up did what they told me that was it,says lucy liu about her role this film when one your two leads is willing say record that they havent got clue what film which they are starring is about or motivation their character is you know you are trouble ultimately this films big sin is that it is so incoherent completely lacking motivation characters or backstory that it is boring cool slow motion flips through air matrix style explosions lots them are not going change that i have no idea what background is between two adversaries no idea what makes bad guy villain no idea how they can spin this into warm family drama which they attempt do at end i am just supposed forget about all those charred bodies left behind vancouver director this film goes by kaos somebody actually let him direct another film after this bomb granted it was ten years later but he got second chance i guess i could say look at video game same name some guidance concerning plot but it is nothing like this film except all loud noises recommended as substitute sominex,0.4027777777777778,-0.08095238095238091,Negative,"{'Happy': 0.03, 'Angry': 0.07, 'Surprise': 0.28, 'Sad': 0.31, 'Fear': 0.31}"
2.0,"Never mind the ballistics, here's the pathologist","When I say ""Ballistic: Ecks vs. Sever"" was incredible, I don't mean that in a good way. All the main characters are current or former US federal agents, presumably to keep it interesting, but all the action takes places in Vancouver, BC, which, last time I looked, was not in the United States. The basic storyline was fairly straightforward (and rather hackneyed), but the motivations of the various characters were utterly incomprehensible. The film was somewhat on the short side, and I couldn't escape the feeling that the three scenes which might have tied together the loose ends inexplicably ended up on the cutting room floor. Banderas phoned in his performance (for God's sake, enunciate, man), and the musical score was just irritating. The only two things ""Ballistic"" had going for it were the presence of some rarely-seen hardware (fun for you firearms buffs) and some spectacular action sequences (though these were plagued by some annoying clichés, such as a protective vest preventing all injury to a character, and henchmen showing complete disregard for personal safety), and these were simply not enough to save this turkey. Avoid.",never mind ballistics heres pathologist,when i say ballistic ecks vs sever was incredible i dont mean that good way all main characters are current or former us federal agents presumably keep it interesting but all action takes places vancouver bc which last time i looked was not united states basic storyline was fairly straightforward rather hackneyed but motivations various characters were utterly incomprehensible film was somewhat short side i couldnt escape feeling that three scenes which might have tied together loose ends inexplicably ended up cutting room floor banderas phoned his performance gods sake enunciate man musical score was just irritating only two things ballistic had going it were presence some rarely seen hardware fun you firearms buffs some spectacular action sequences though these were plagued by some annoying clich s such as protective vest preventing all injury character henchmen showing complete disregard personal safety these were simply not enough save this turkey avoid,0.4985079575596818,0.046629089301503085,Positive,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.14, 'Fear': 0.43}"
6.0,Blast from the past,"I saw this when it was first released on home video, I do not remember much of the movie, but I know I saw it because I like both Banderas and Liu. I do remember enjoying the movie. Clearly though,since I have never bothered to watch it since, it was not an Earth shattering experience. I am sure that most of my enjoyment came from the fact that I was still in my 20s and a fast paced action flick was all I needed to be entertained.",blast past,i saw this when it was first released home video i do not remember much movie but i know i saw it because i like both banderas liu i do remember enjoying movie clearly though since i have never bothered watch it since it was not earth shattering experience i am sure that most my enjoyment came fact that i was still my 20s fast paced action flick was all i needed be entertained,0.4283950617283951,0.23333333333333328,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.38, 'Fear': 0.15}"
1.0,Negative review *spoiler warning*,"This is a review chock full of spoilers. I find it difficult to express why I disliked this film as much as I did without expressly pointing out key scenes and events that made me cringe while attempting to enjoy a thoughtless summer film. I did approch this film as just that. I am a guy who likes a thoughtless action film more often than not. I love thoughtful ones but the thoughtless ones can truly be fun. xXx comes to mind. I was expecting something along those lines when I came to see Ballistic. What it turned out to be was a number of explosions that seemed to occur for no reason what so ever. To say there was little plot bringing these explosions together is a given. That comes with the territory, but in this case the reasons are even below the lowest C movie in quality. No one reacts to an event the way you'd expect a normal human being to react. In fact the two main characters were so devoid oh personality I have come to wonder whether or not they were both blackmailed into performing the roles. I'm used to Lucy Liu not showing any on screen personality but Antonio consistently show's his ""Latin Lover"" charm. Not here.* spoilers begin below *Everyone is out to get Lucy Liu. No one seems to know where to find her. In fact they need to draw an FBI agent 7 years out of retirement to capture her. His groundbreaking method of investigation is to sit in a car listen to a radio and carry on dull conversations with secondary characters. Meanwhile across town Lucy Liu is walking in circles for no reason in a coffee bar. The bad guys know this and have snipers set up all over the place that would make the Kennedy assassination look like amateur night. How is it that they don't know where she hides out but knows when and where she's going to walk in circles? After giving the order not to hurt her immediately all snipers try to kill her and an overly armed SWAT team hit's the scene. By overly armed I mean they have grenade launchers and heavy machine-guns all designed to kill as many innocent bystanders as possible. In fact the FX crew even botched the way rifle mounted grenade launches work and turned them into mini rocket launchers. But fear not, they don't use them. They are just there for Lucy to pick up and level 12 city blocks with. I often wondered how it is if she were so professional she'd stand in one place and take on an army rather than just slip away in the crowd.Once the mayhem is complete Antonio arrives glances at a few bullet holes and declares that the FBI should pick up and not investigate the devastation because `she's not done here.' I was able to relate to the FBI assistant directors baffled expression in this scene because I wouldn't know what to say to one of my agents who asked me to pull out all of my investigators cause the criminal might be coming back. Wouldn't you want to catch her? Skipping ahead to what I assume is the largest injustice here. Antonio finds his wife to learn that for the past 7 years she was in bed with the big bad guy of the film. Married to him in fact. He confronts her in an aquarium while she is contentedly looking at whales, which must be where she goes whenever her son is kidnapped and threatened to be killed within 12 hours. And she also proceeded to have Antonio's son, who has been raised by her and the man who;1) Tried to hill Antonio's character.2) Faked the death of himself and Antonio's wife in an effort to `have her to himself'. Which evidently worked for 7 years.When confronted she reveals that she had knowledge that Antonio was not dead and in fact always really loved him and not the big villain. She only stayed with him to `protect their son'. By having the son live with this guy? Give me a break! But what's worse is Antonio's reaction. He instantly understands and forgives her. No anger, no slap for her lack of logic. It's all OK. Lets go get the bad guy now. Honestly that ended the film for me. I was through.",negative review spoiler warning,this is review chock full spoilers i find it difficult express why i disliked this film as much as i did without expressly pointing out key scenes events that made me cringe while attempting enjoy thoughtless summer film i did approch this film as just that i am guy who likes thoughtless action film more often than not i love thoughtful ones but thoughtless ones can truly be fun xxx comes mind i was expecting something along those lines when i came see ballistic what it turned out be was number explosions that seemed occur no reason what so ever say there was little plot bringing these explosions together is given that comes with territory but this case reasons are even below lowest c movie quality no one reacts event way youd expect normal human being react fact two main characters were so devoid oh personality i have come wonder whether or not they were both blackmailed into performing roles im used lucy liu not showing any screen personality but antonio consistently shows his latin lover charm not here spoilers begin below everyone is out get lucy liu no one seems know where find her fact they need draw fbi agent 7 years out retirement capture her his groundbreaking method investigation is sit car listen radio carry dull conversations with secondary characters meanwhile across town lucy liu is walking circles no reason coffee bar bad guys know this have snipers set up all over place that would make kennedy assassination look like amateur night how is it that they dont know where she hides out but knows when where shes going walk circles after giving order not hurt her immediately all snipers try kill her overly armed swat team hits scene by overly armed i mean they have grenade launchers heavy machine guns all designed kill as many innocent bystanders as possible fact fx crew even botched way rifle mounted grenade launches work turned them into mini rocket launchers but fear not they dont use them they are just there lucy pick up level 12 city blocks with i often wondered how it is if she were so professional shed stand one place take army rather than just slip away crowd once mayhem is complete antonio arrives glances at few bullet holes declares that fbi should pick up not investigate devastation because shes not done here i was able relate fbi assistant directors baffled expression this scene because i wouldnt know what say one my agents who asked me pull out all my investigators cause criminal might be coming back wouldnt you want catch her skipping ahead what i assume is largest injustice here antonio finds his wife learn that past 7 years she was bed with big bad guy film married him fact he confronts her aquarium while she is contentedly looking at whales which must be where she goes whenever her son is kidnapped threatened be killed within 12 hours she also proceeded have antonios son who has been raised by her man who 1 tried hill antonios character 2 faked death himself antonios wife effort have her himself which evidently worked 7 years when confronted she reveals that she had knowledge that antonio was not dead fact always really loved him not big villain she only stayed with him protect their son by having son live with this guy give me break but whats worse is antonios reaction he instantly understands forgives her no anger no slap her lack logic its all ok lets go get bad guy now honestly that ended film me i was through,0.45825000000000005,0.019227272727272728,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.34, 'Fear': 0.3}"
