Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Be our guest,"Beauty and the Beast is without a doubt one of Disney's finest classics. The first animated film to ever be nominated for best picture and after you see it, you could understand and agree with it's nomination. Beauty and the Beast is going to be one of those films that will always be remembered, I know that it's a movie that I will show my children one day. It has unbelievably terrific animation, a beautiful story, lovable characters, and is just over all a perfect movie. I really love this film so much, I don't think anyone couldn't fall in love with it.Bell is just a simple girl in her town in France, she reads books constantly and her father is an inventor. They are sort of the outcasts of their town due to their ""oddness"". But Bell is being pursued by the town hunk, Gueston, simply because she's the one girl he cannot have. One day when her father's inventions are about to be displayed at the fair, he gets lost in the woods and stumbles across a castle and is held prisoner. Bell goes after him and comes to the castle; it turns out that her father is being held by a beast who is cursed with this hideousness unless he finds a true love before a rose he has welts. Bell trades places with her father; the house also has living objects, a candle holder, a clock, a tea pot, all who are also cursed until the curse is broken. They look at Bell as the perfect opportunity for the beast to find a true love, but he must learn to be a gentleman, but Bell brings out the best in him and it turns out that this might be a happy ending after all.This was actually the first movie that I ever cried in, the ending was just so beautiful and heart felt, you'll have to see what I mean. The songs are just so lovely and perfect for the scenes that they are performed for. Beauty and the Beast, the song, was just one of the most touching songs ever. This films is a major recommendation for me, it's one of my favorite Disney films of all time, it's a timeless classic that is just perfect and reached a new level of great animation.10/10",be our guest,beauty beast is without doubt one disneys finest classics first animated film ever be nominated best picture after you see it you could understand agree with its nomination beauty beast is going be one those films that will always be remembered i know that its movie that i will show my children one day it has unbelievably terrific animation beautiful story lovable characters is just over all perfect movie i really love this film so much i dont think anyone couldnt fall love with it bell is just simple girl her town france she reads books constantly her father is inventor they are sort outcasts their town due their oddness but bell is being pursued by town hunk gueston simply because shes one girl he cannot have one day when her fathers inventions are about be displayed at fair he gets lost woods stumbles across castle is held prisoner bell goes after him comes castle it turns out that her father is being held by beast who is cursed with this hideousness unless he finds true love before rose he has welts bell trades places with her father house also has living objects candle holder clock tea pot all who are also cursed until curse is broken they look at bell as perfect opportunity beast find true love but he must learn be gentleman but bell brings out best him it turns out that this might be happy ending after all this was actually first movie that i ever cried ending was just so beautiful heart felt youll have see what i mean songs are just so lovely perfect scenes that they are performed beauty beast song was just one most touching songs ever this films is major recommendation me its one my favorite disney films all time its timeless classic that is just perfect reached new level great animation 10 10,0.629111050986051,0.44522306397306394,Positive,"{'Happy': 0.27, 'Angry': 0.02, 'Surprise': 0.31, 'Sad': 0.22, 'Fear': 0.19}"
10.0,One of my all-time favourite movies.,"The only animated movie to receive a Best Picture Oscar nomination, and it deserved it.Magic from the opening prologue to the final credit, ""Beauty and the Beast"" is the last real classic to come from the Disney crew before John Lasseter came along. This was one of the few movies I happily paid to see twice in the cinema, and sitting in a sparsely-populated Friday night audience (I was living in Barbados at the time, and it was hardly the most artistic place on Earth... it was a crying shame that there was hardly anyone there while ""Home Alone 2"" went through the roof) the second time, the magic remained.You all know the story, so apart from pointing out the movie's one flaw (the prince's spell had to be broken before he turned 21 or he would remain a beast forever; so if it was cast ten years before the events of the movie, wouldn't that mean he was 11 when the spell was cast...?), let's look at how well the movie works. You have a monster who's more human than the movie's medallion-man villain; you have a heroine who's PC but engaging with it; you have a supporting cast of magic utensils who wisely never upstage the couple at the centre of this love story (and despite the Disney animated trappings, it IS a love story); and you have a captivating story, beautifully told.The movie's also got wonderful design of its French setting and characters, with the ballroom scene a standout (the tiny but appreciative audience were impressed by the sight of the Beast and Belle in their evening wear - the only time I've ever seen cartoon characters get wolf-whistled in a cinema); and Alan Menken's score is his finest work for the Mouse, with matchless lyrics from the late and much lamented Howard Ashman - how many musicals can you name where ALL the songs are brilliant? But ultimately it's the movie's very real heart that makes it a keeper; the cliche ""You'll laugh, you'll cry"" is all too true in this case. A lot of movies called 'classic' don't deserve that appellation, but this one does.I'll be slaughtered by anime fans, but what the hell... one ""Beauty and the Beast"" is worth a thousand ""Akira""s. And ""Shrek""s. And, I'm willing to bet, ""Treasure Planet""s. This is a truly adult animated feature that's also one for the entire family. Forget ""The Silence of the Lambs"" - this is the real best picture of 1991.",one my all time favourite movies,only animated movie receive best picture oscar nomination it deserved it magic opening prologue final credit beauty beast is last real classic come disney crew before john lasseter came along this was one few movies i happily paid see twice cinema sitting sparsely populated friday night audience i was living barbados at time it was hardly most artistic place earth it was crying shame that there was hardly anyone there while home alone 2 went through roof second time magic remained you all know story so apart pointing out movies one flaw princes spell had be broken before he turned 21 or he would remain beast forever so if it was cast ten years before events movie wouldnt that mean he was 11 when spell was cast lets look at how well movie works you have monster whos more human than movies medallion man villain you have heroine whos pc but engaging with it you have supporting cast magic utensils who wisely never upstage couple at centre this love story despite disney animated trappings it is love story you have captivating story beautifully told movies also got wonderful design its french setting characters with ballroom scene standout tiny but appreciative audience were impressed by sight beast belle their evening wear only time ive ever seen cartoon characters get wolf whistled cinema alan menkens score is his finest work mouse with matchless lyrics late much lamented howard ashman how many musicals can you name where all songs are brilliant but ultimately its movies very real heart that makes it keeper cliche youll laugh youll cry is all too true this case lot movies called classic dont deserve that appellation but this one does ill be slaughtered by anime fans but what hell one beauty beast is worth thousand akira s shrek s im willing bet treasure planet s this is truly adult animated feature thats also one entire family forget silence lambs this is real best picture 1991,0.59015625,0.25532986111111106,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.29}"
,Perfect mix of music and animation...a solid achievement...,"I've not seen the newly added song sequence (Human Again) featured in the latest IMAX version so my comments are based entirely on the original theatrical and VHS release.BEAUTY AND THE BEAST is Disney at its peak. From the stained glass window at the opening and the beautiful narration, the viewer is drawn into the story by the appealing music and clever lyrics (""Belle's Song"") which gets the picture off to a bouncy start. The opening sequence showing Belle and the townspeople in song is masterfully handled and choreographed for maximum effect, setting the tone for the entire story.The plot becomes thicker once Belle's father enters the castle grounds where the Beast resides. The castle interiors are brilliantly Baroque and the odd characters inhabiting the grounds are delightfully rendered by a perfect blending of art and voice talent. Cogsworth, Lumiere and Mrs. Potts are delightful creations, each with strong, consistent personalities. David Ogden Stiers, Jerry Orbach and Angela Lansbury cannot be praised enough for their contributions. Two of the musical highlights are Orbach's dazzling job on ""Be My Guest"" (with French accent) and Angela's tender rendering of the title song, ""Beauty and the Beast"". Unforgettable movie moments. As Gaston, Richard White's robust baritone voice adds greatly to the effectiveness of his villainy.It's no wonder the film was the first to receive recognition by the Academy with a Best Picture nomination. Outstanding in every department, including the end title song sung by Celine Dion and Peabo Bryson in a more ""modern"" style. Along with SNOW WHITE and SLEEPING BEAUTY, a top-notch fairy tale with its appeal evenly divided between adults and children--as well as the child in all of us.",perfect mix music animation solid achievement,ive not seen newly added song sequence human again featured latest imax version so my comments are based entirely original theatrical vhs release beauty beast is disney at its peak stained glass window at opening beautiful narration viewer is drawn into story by appealing music clever lyrics belles song which gets picture off bouncy start opening sequence showing belle townspeople song is masterfully handled choreographed maximum effect setting tone entire story plot becomes thicker once belles father enters castle grounds where beast resides castle interiors are brilliantly baroque odd characters inhabiting grounds are delightfully rendered by perfect blending art voice talent cogsworth lumiere mrs potts are delightful creations each with strong consistent personalities david ogden stiers jerry orbach angela lansbury cannot be praised enough their contributions two musical highlights are orbachs dazzling job be my guest with french accent angelas tender rendering title song beauty beast unforgettable movie moments as gaston richard whites robust baritone voice adds greatly effectiveness his villainy its no wonder film was first receive recognition by academy with best picture nomination outstanding every department including end title song sung by celine dion peabo bryson more modern style along with snow white sleeping beauty top notch fairy tale with its appeal evenly divided between adults children as well as child all us,0.5798295454545455,0.44514678030303034,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.11, 'Fear': 0.44}"
9.0,A Transporting Experience,"Indeed, it's a tale as old as time, with a complex message that is as ageless as it is universal; but beneath all the layers it can be summed up very simply: love one another, and refrain from judging others who `seem' to be `different.' And leave it to Disney to present it in such a way that it can be embraced and understood by young and old alike as they have here, in one of their best animated features ever, `Beauty and the Beast,' directed by Gary Trousdale. When a young Prince fails the test of an enchantress disguised as an old hag, she transforms him into a hideous beast, as he is destined to remain until he opens his heart and learns how to love and be loved in return. And so that he'll know where he stands as time goes by, she gives him an enchanted rose, which will bloom until his twenty-first birthday, and he has only until the last petal falls from the flower to effect the change within himself that will be his salvation. 	The beast, however, seems doomed, as he shuts himself away, alone in his castle, taking up a reclusive existence far from everyone and everything. Until, one day, a beautiful young woman named Belle shows up at his doorstep. Belle is searching for her inventor father, Maurice, who disappeared while taking one of his latest inventions to the fair; and his trail leads Belle to the castle of the Beast, where she discovers he is being held prisoner, having run afoul of the Beast by trespassing while lost during the night of his journey. Repulsed by the appearance of the Beast, Belle nevertheless strikes a bargain with him: If he will release her father, she will stay in his place. The Beast agrees, with the stipulation that she must remain with him forever. And as the Beast casts Belle's father from the castle and sends him on his way, Belle's fate seems sealed. The only hope now for either Belle or the Beast lies in the remote possibility that true love may somehow prevail before the last petal of the enchanted rose falls.	With the help of a richly textured screenplay (by Linda Woolverton) that invests the characters with a depth of humanity that is often lacking even in `non' animated films, and an Oscar winning score by Alan Menken, director Trousdale provides some real insights into human nature in this retelling of the familiar story of how true love can change even the darkest and coldest of hearts. There's magic in this film, which holds an enchantment of it's own, and the message is presented ever so subtly and with a sensitivity that draws you in gradually until you are so caught up in the story that you become immersed and totally involved without being consciously aware of it. It's a film that enfolds you and takes you where it will, and you go willingly. A beautifully rendered and realized film that successfully transcends it's genre, it is the first animated feature ever to be recognized and rewarded with an Oscar nomination for Best Movie (quite a feat in itself, as it received the nod over such films as `The Fisher King,' `Fried Green Tomatoes,' `Thelma and Louise' and John Singleton's `Boyz N the Hood' that year). 	The talented cast supplying the voices of the characters includes Paige O'Hara (Belle), Robby Benson (The Beast), Richard White (Gaston), Jerry Orbach (Lumiere), David Ogden Stiers (Cogsworth), Angela Lansbury (Mrs. Potts), Bradley Pierce (Chip), Rex Everhart (Maurice), Jesse Corti (LeFou), Hal Smith (Phillipe), Jo Ann Worley (Wardrobe), Brian Cummings (Stove), Alvin Epstein (Bookseller) and Kimmy Robertson (Featherduster). There's a scene in this film that is so entrancing and so emotionally involving that it stands up against the best from any drama ever made: As Angela Lansbury (as Mrs. Potts) sings the Oscar winning title song, Belle begins to perceive the true nature of the man within the Beast; and it's no longer the cold-hearted Prince upon whom the enchantress cast her spell, because he has changed. And as they come together and the Beast takes Belle in his arms, sweeping her in dance across the elegant ballroom floor, it becomes one of those rare cinematic `moments' that are entirely transporting, and it does, indeed, take you away. It's a memorable scene that exemplifies the quality and craftsmanship of this film, as does the scene in which the Beast is at last transformed; that such emotion can be captured and expressed in an animated film is an exemplary accomplishment, and it's all a part of why `Beauty and the Beast' is one of Disney's all time greatest films. 	One final note: Stay for the credits to hear Alan Menken and Howard Ashman's title song once again, this time performed by Celine Dion and Peabo Bryson. Hypnotically beautiful, this version has a magic all it's own and makes the perfect ending to an enchanting experience. It's all a part of the magic of the movies. I rate this one 9/10.",transporting experience,indeed its tale as old as time with complex message that is as ageless as it is universal but beneath all layers it can be summed up very simply love one another refrain judging others who seem be different leave it disney present it such way that it can be embraced understood by young old alike as they have here one their best animated features ever beauty beast directed by gary trousdale when young prince fails test enchantress disguised as old hag she transforms him into hideous beast as he is destined remain until he opens his heart learns how love be loved return so that hell know where he stands as time goes by she gives him enchanted rose which will bloom until his twenty first birthday he has only until last petal falls flower effect change within himself that will be his salvation beast however seems doomed as he shuts himself away alone his castle taking up reclusive existence far everyone everything until one day beautiful young woman named belle shows up at his doorstep belle is searching her inventor father maurice who disappeared while taking one his latest inventions fair his trail leads belle castle beast where she discovers he is being held prisoner having run afoul beast by trespassing while lost during night his journey repulsed by appearance beast belle nevertheless strikes bargain with him if he will release her father she will stay his place beast agrees with stipulation that she must remain with him forever as beast casts belles father castle sends him his way belles fate seems sealed only hope now either belle or beast lies remote possibility that true love may somehow prevail before last petal enchanted rose falls with help richly textured screenplay by linda woolverton that invests characters with depth humanity that is often lacking even non animated films oscar winning score by alan menken director trousdale provides some real insights into human nature this retelling familiar story how true love can change even darkest coldest hearts theres magic this film which holds enchantment its own message is presented ever so subtly with sensitivity that draws you gradually until you are so caught up story that you become immersed totally involved without being consciously aware it its film that enfolds you takes you where it will you go willingly beautifully rendered realized film that successfully transcends its genre it is first animated feature ever be recognized rewarded with oscar nomination best movie quite feat itself as it received nod over such films as fisher king fried green tomatoes thelma louise john singletons boyz n hood that year talented cast supplying voices characters includes paige ohara belle robby benson beast richard white gaston jerry orbach lumiere david ogden stiers cogsworth angela lansbury mrs potts bradley pierce chip rex everhart maurice jesse corti lefou hal smith phillipe jo ann worley wardrobe brian cummings stove alvin epstein bookseller kimmy robertson featherduster theres scene this film that is so entrancing so emotionally involving that it stands up against best any drama ever made as angela lansbury as mrs potts sings oscar winning title song belle begins perceive true nature man within beast its no longer cold hearted prince upon whom enchantress cast her spell because he has changed as they come together beast takes belle his arms sweeping her dance across elegant ballroom floor it becomes one those rare cinematic moments that are entirely transporting it does indeed take you away its memorable scene that exemplifies quality craftsmanship this film as does scene which beast is at last transformed that such emotion can be captured expressed animated film is exemplary accomplishment its all part why beauty beast is one disneys all time greatest films one final note stay credits hear alan menken howard ashmans title song once again this time performed by celine dion peabo bryson hypnotically beautiful this version has magic all its own makes perfect ending enchanting experience its all part magic movies i rate this one 9 10,0.6027777777777779,0.29734299516908214,Positive,"{'Happy': 0.16, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.19, 'Fear': 0.33}"
,Classy piece of animation,"When an arrogant Prince turns away an old woman looking for shelter with only a rose for a gift, she warns him not to just take the surface appearance as being the all of a person; however he rejects her a second time  only for her to reveal herself as a beautiful enchantress. She casts a spell on him, turning him into a beast with the only hope of return being to fall in love with a woman and have her fall in love with him before the rose wilts and dies. Resembling a carpet stuffed with walnuts, the prince figures he has no chance and withdraws into his castle. When an elderly man wanders into the castle, the Beast holds him prisoner and only lets him go when his daughter, Belle, offers to replace him in the Beast's castle. With time running out, the Beast's staff hope that Belle will be the one to break the curse but the Beast cannot remember how.Being quite a cynical, acerbic person I must admit that I prefer modern animated films that deliver lots of adult humour along with a good emotional story and often I struggle to enjoy films that take the more traditional Disney route. However with this film I was quite taken by how classy the whole affair was, with great effort being shown in every area from the animation, to the songs through to the emotionally involving story whose telling is touched with a nice sense of wonder throughout. The story doesn't really hit many bum notes (I thought Gaston's sidekick was a bit too obvious and half cooked) and it is interesting and enjoyable for the vast majority of the time. The story and comedy is aimed at both adults and children  but the stuff for kids is not basic pratfalls, nor is the adult material just a load of references or suggestive jokes. Instead the two are quite well blended with good physical comedy and plenty of wit. Again, it is the sense of spectacle and wonder that came through that I really appreciated.The animation feels more impressive for the reliance on mostly traditional animation rather than computer effects  in fact the computer effects look a bit dated now, even if they do still produce the goods in some key scenes. Mainly it is the feeling that every frame has had a lot of effort and love put into it that makes the whole affair feel classy. The songs are also great and feature quite a few memorable songs that stick in the mind; meanwhile the choreography of these scenes is generally very imaginative (Be Our Guest was my favourite). The cast don't feature many big stars and perhaps this is good because the real people don't distract from their characters. That said, I thought that Benson, O'Hara, White and a few others were quite unremarkable even if they were good enough for the film. Orbach, Stiers, Lansbury and others provided comic work in the support characters and everything worked well.Overall this is a really classy animated film that shows the effort and care put into it in many different regards. It does suffer a bit from cuteness and sentimentality but I didn't think this was a massive problem or something that was not to be expected from Disney and generally I really enjoyed the film and see it as one of the films that define Disney for people of my generation.",classy piece animation,when arrogant prince turns away old woman looking shelter with only rose gift she warns him not just take surface appearance as being all person however he rejects her second time only her reveal herself as beautiful enchantress she casts spell him turning him into beast with only hope return being fall love with woman have her fall love with him before rose wilts dies resembling carpet stuffed with walnuts prince figures he has no chance withdraws into his castle when elderly man wanders into castle beast holds him prisoner only lets him go when his daughter belle offers replace him beasts castle with time running out beasts staff hope that belle will be one break curse but beast cannot remember how being quite cynical acerbic person i must admit that i prefer modern animated films that deliver lots adult humour along with good emotional story often i struggle enjoy films that take more traditional disney route however with this film i was quite taken by how classy whole affair was with great effort being shown every area animation songs through emotionally involving story whose telling is touched with nice sense wonder throughout story doesnt really hit many bum notes i thought gastons sidekick was bit too obvious half cooked it is interesting enjoyable vast majority time story comedy is aimed at both adults children but stuff kids is not basic pratfalls nor is adult material just load references or suggestive jokes instead two are quite well blended with good physical comedy plenty wit again it is sense spectacle wonder that came through that i really appreciated animation feels more impressive reliance mostly traditional animation rather than computer effects fact computer effects look bit dated now even if they do still produce goods some key scenes mainly it is feeling that every frame has had lot effort love put into it that makes whole affair feel classy songs are also great feature quite few memorable songs that stick mind meanwhile choreography these scenes is generally very imaginative be our guest was my favourite cast dont feature many big stars perhaps this is good because real people dont distract their characters that said i thought that benson ohara white few others were quite unremarkable even if they were good enough film orbach stiers lansbury others provided comic work support characters everything worked well overall this is really classy animated film that shows effort care put into it many different regards it does suffer bit cuteness sentimentality but i didnt think this was massive problem or something that was not be expected disney generally i really enjoyed film see it as one films that define disney people my generation,0.5723917748917751,0.24818181818181811,Positive,"{'Happy': 0.28, 'Angry': 0.04, 'Surprise': 0.26, 'Sad': 0.19, 'Fear': 0.23}"
9.0,One of Disney's Best!,"Beauty and the Beast is an engaging movie with so much care and beauty fused into its core. Beauty is much more than just an influential animated classic. It is a grand and powerful fable, sugar coated with the best animation effort in a time where CGI was becoming a movie mainstay. In its finest moments, Beauty is a rousing musical, making your head move and getting caught up right in the mix. The score is unforgettable and the characters are so easy to get into. A movie that children and adults alike will love, Disney deserved its Academy Award nominations for creating such a joy.Small town Belle longs for more than a local life, maintaining her imagination through books and taking care of her kind, yet eccentric father. But when their horse returns without papa, Belle sets out to find the awful truth in an enchanted castle.You can see that so much time and care was spent in drawing this masterpiece. I cannot think of many other movies that show such meticulous background and animation. That such effort is woven effortlessly into its songs that make Beauty and the Beast the timeless classic Disney rightfully lauds itself over. 'Be Our Guest,' 'Beauty and the Beast,' 'Gaston,' you will be humming these songs at one point in your your life! Kudos to Disney for creating a charismatic, attractive villain in Gaston. He would not be a villain if he was not such a jerk. You must watch this movie at least once in your life, in a comfortable sofa and with the sound turned right up for the Broadway scores. You will enjoy it!",one disneys best,beauty beast is engaging movie with so much care beauty fused into its core beauty is much more than just influential animated classic it is grand powerful fable sugar coated with best animation effort time where cgi was becoming movie mainstay its finest moments beauty is rousing musical making your head move getting caught up right mix score is unforgettable characters are so easy get into movie that children adults alike will love disney deserved its academy award nominations creating such joy small town belle longs more than local life maintaining her imagination through books taking care her kind yet eccentric father but when their horse returns without papa belle sets out find awful truth enchanted castle you can see that so much time care was spent drawing this masterpiece i cannot think many other movies that show such meticulous background animation that such effort is woven effortlessly into its songs that make beauty beast timeless classic disney rightfully lauds itself over be our guest beauty beast gaston you will be humming these songs at one point your your life kudos disney creating charismatic attractive villain gaston he would not be villain if he was not such jerk you must watch this movie at least once your life comfortable sofa with sound turned right up broadway scores you will enjoy it,0.5260296010296008,0.2787323037323038,Positive,"{'Happy': 0.29, 'Angry': 0.07, 'Surprise': 0.19, 'Sad': 0.07, 'Fear': 0.38}"
10.0,Perfection.,"This is, without a doubt, the best film Disney ever made. Now that's saying a lot, as the studio also made ""Bambi"", ""Little Mermaid"" and many other great films. ""Beauty and the Beast"" represents everything they could do right in a movie. The music is fantastic and couldn't be better (mostly because many of the songs had a great sense of humor), the characters wonderful and the story promoted some of the most wonderful values you could want. Belle is a completely admirable young lady--and I was thrilled that my own daughters could watch her and learn about her strength and integrity. And, the film is fun--yet will also bring a tear to the eye of even the most jaded viewer. Not surprisingly the film was nominated for Best Picture--it's just a shame that an animated film will probably never take home this Oscar. Well worth seeing and owning--a truly great film.",perfection,this is without doubt best film disney ever made now thats saying lot as studio also made bambi little mermaid many other great films beauty beast represents everything they could do right movie music is fantastic couldnt be better mostly because many songs had great sense humor characters wonderful story promoted some most wonderful values you could want belle is completely admirable young lady i was thrilled that my own daughters could watch her learn about her strength integrity film is fun yet will also bring tear eye even most jaded viewer not surprisingly film was nominated best picture its just shame that animated film will probably never take home this oscar well worth seeing owning truly great film,0.5608630952380952,0.47596726190476196,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.28, 'Fear': 0.17}"
10.0,Great animation,"Truly one of the greatest animated films ever put on the big screen. This film is extremely emotional, romantic, and magical. The incredible characters are so lovely to be around. Has a FEW all time great musical numbers that will stick with you forever. A message that will forever be important and truly a tale as old as time!",great animation,truly one greatest animated films ever put big screen this film is extremely emotional romantic magical incredible characters are so lovely be around has few all time great musical numbers that will stick with you forever message that will forever be important truly tale as old as time,0.5923076923076923,0.3692307692307692,Positive,"{'Happy': 0.42, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.25}"
10.0,One word=F-L-A-W-L-E-S-S!,"This movie is without doubt the best animated movie of all time. The artistry was perfect. I was spellbound at the animated sequences to the songs ""Be Our Guest"" and ""Beauty and the Beast"" especially. The characters were very well drawn, and because of the dark and colourful backgrounds, the film looked beautiful. The songs are fantastic. Another movie with great songs is ""The Hunchback of Notre Dame""(which has the best beginning to a Disney movie). In fact, all the Alan Menken scores are brilliant, with the exception of Home On The Range, which is one of the weaker Disney efforts. My personal favourites, were the songs I just mentioned, and ""Gaston"" was great fun too. The incidental music was the best in any Disney movie, and that is the same with the other Menken scores. The music in the transformation of the Beast was phenomenal, as well as the animation, and reminded me of the last movement of Berlioz's Symphonie Fantastique, which is really frightening. Another Disney with great incidental music is ""The Lion King"". The story is quite simply one of the best love stories ever, and the characters are wonderful. Belle was voiced beautifully by Paige O'Hara, who has a beautiful singing voice. I love Belle, she is beautiful, clever and strong, and is one of the best Disney characters for those reasons. Gaston was made into a complex villain, and quite narcissistic(great idea Disney). When he was nasty he was quite frightening, and Richard White can really sing. Jerry Orbach and David Ogden Stiers were really entertaining as Lumiere and Cogsworth,(I just love how witty, elegant and debonair Lumiere is) and Angela Lansbury gives a brilliant rendition of the title song. The best voice over was that of the Beast, who was very frightening, and there were some parts that were truly sensitive. Why are some people fussed about him as a human? Remember, true beauty comes from within. In conclusion, an essential to your Disney collection with a very poignant ending. 10/10. Bethany Cox",one word f l w l e s s,this movie is without doubt best animated movie all time artistry was perfect i was spellbound at animated sequences songs be our guest beauty beast especially characters were very well drawn because dark colourful backgrounds film looked beautiful songs are fantastic another movie with great songs is hunchback notre dame which has best beginning disney movie fact all alan menken scores are brilliant with exception home range which is one weaker disney efforts my personal favourites were songs i just mentioned gaston was great fun too incidental music was best any disney movie that is same with other menken scores music transformation beast was phenomenal as well as animation reminded me last movement berliozs symphonie fantastique which is really frightening another disney with great incidental music is lion king story is quite simply one best love stories ever characters are wonderful belle was voiced beautifully by paige ohara who has beautiful singing voice i love belle she is beautiful clever strong is one best disney characters those reasons gaston was made into complex villain quite narcissistic great idea disney when he was nasty he was quite frightening richard white can really sing jerry orbach david ogden stiers were really entertaining as lumiere cogsworth i just love how witty elegant debonair lumiere is angela lansbury gives brilliant rendition title song best voice over was that beast who was very frightening there were some parts that were truly sensitive why are some people fussed about him as human remember true beauty comes within conclusion essential your disney collection with very poignant ending 10 10 bethany cox,0.6242954324586977,0.3841836734693878,Positive,"{'Happy': 0.33, 'Angry': 0.05, 'Surprise': 0.21, 'Sad': 0.1, 'Fear': 0.31}"
9.0,The most beautiful love story ever told.,"'' The Beauty and The Beast'' is one of the greatest stories ever told and one of the best movies from Disney that I watched in my life. I always identified myself with Belle, the girl who does not belong the place where she is lives and also with a big taste of reading lots of books. Our story takes part in France in 18 century, and our main character Belle is the prettiest girl in the city she lives, being the object of the affection and interest of Gaston, an arrogant man that has the sympathy of the people of the region.(And also considered a big catch for the girls of the city)But Belle is not interested in him and always imagined her life different from the domestic life people always imagine for her.One day, Belle's father, an inventor, was going to sell one of his inventions and lost his ways, being attacked by wild animals and entering in a big dark mansion apparently without a owner. He stays there for a time, but soon the Beast comes up and attacks him,making him a prisoner in his castle.Belle stays worried and goes after her father in the mansion and there she sees the violent and awful beast who locked her father. She then makes a deal: Belle agrees to stay in the dark castle with the horrible beast in return to her father's freedom. But with the time, Belle is going to discover all the magic that is beyond the castle, including the talking objects and even a nice side that the Beast has.This story is very inspiring and very beautiful! =)",most beautiful love story ever told,beauty beast is one greatest stories ever told one best movies disney that i watched my life i always identified myself with belle girl who does not belong place where she is lives also with big taste reading lots books our story takes part france 18 century our main character belle is prettiest girl city she lives being object affection interest gaston arrogant man that has sympathy people region also considered big catch girls city but belle is not interested him always imagined her life different domestic life people always imagine her one day belles father inventor was going sell one his inventions lost his ways being attacked by wild animals entering big dark mansion apparently without owner he stays there time but soon beast comes up attacks him making him prisoner his castle belle stays worried goes after her father mansion there she sees violent awful beast who locked her father she then makes deal belle agrees stay dark castle with horrible beast return her fathers freedom but with time belle is going discover all magic that is beyond castle including talking objects even nice side that beast has this story is very inspiring very beautiful,0.5992753623188406,0.1605072463768116,Positive,"{'Happy': 0.24, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.22}"
