Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,A Milestone Of Science Fiction And A Cyberpunk Masterpiece,"A feast for the eyes. Dark and uncompromising. With a haunting musical score by Vangelis that adds a hypnotic quality to those breathtaking megacity landscapes of future Los Angeles. Ridley Scott's adaptation of Philip K. Dick's post-apocalyptic bounty hunter story 'Do Androids Dream Of Electric Sheep' is a visionary work of art; it's a dystopian masterpiece and I'd personally call it as much a milestone of science fiction as Kubrick's '2001' (and be advised to watch the version known as the ""final cut"" if you want to catch 'Blade Runner' as it was intended by its director). It's hard to overstate how influential the film was; it invented the sci-fi subgenre now known as ""cyberpunk"", and it was also the first ""film noir"" in a sci-fi setting. And although it looks so distractingly gorgeous that even today there are people who still dismiss it as superficial and mere ""eye candy"", it is a philosphically deep film that ponders existential questions about the nature of being human. Its slow, brooding quality will perhaps leave some modern audiences who are used to a different pace and more action underwhelmed - but make no mistake: this is a groundbreaking masterwork of its genre and a timeles classic. 10 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/",milestone science fiction cyberpunk masterpiece,feast eyes dark uncompromising with haunting musical score by vangelis that adds hypnotic quality those breathtaking megacity landscapes future los angeles ridley scotts adaptation philip k dicks post apocalyptic bounty hunter story do androids dream electric sheep is visionary work art its dystopian masterpiece id personally call it as much milestone science fiction as kubricks 2001 be advised watch version known as final cut if you want catch blade runner as it was intended by its director its hard overstate how influential film was it invented sci fi subgenre now known as cyberpunk it was also first film noir sci fi setting although it looks so distractingly gorgeous that even today there are people who still dismiss it as superficial mere eye candy it is philosphically deep film that ponders existential questions about nature being human its slow brooding quality will perhaps leave some modern audiences who are used different pace more action underwhelmed but make no mistake this is groundbreaking masterwork its genre timeles classic 10 stars out 10 favorite films imdb com list mkjokvqlsbs lesser known masterpieces imdb com list ls070242495,0.44603174603174606,0.1130952380952381,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.32, 'Sad': 0.2, 'Fear': 0.32}"
10.0,"A glorious, timeless nightmare","Dark, deep, uncertain, unsettling  imagine the most beautiful nightmare you've ever had  this is Blade Runner (1982).Ridley Scott's Blade Runner is a brilliantly crafted science fiction film that not only touches upon, but bravely plunges into deep philosophical questions, making it simply ten times more important than any film of its genre. I love it not only for the initial feeling it gives, but because of its perseverance  none of the visuals, themes or technology feel dated but as deep, gripping and current as ever. It is timeless beauty with huge doses of emotion.Set in 2019 Los Angeles, Blade Runner zooms in on the eerily-lit, urban streets of the city and follows Richard Deckard  superbly played by Harrison Ford who brings an exquisite moral ambiguity to his character  a special policeman who tracks down and terminates artificially-created humans called replicants, who have escaped from an Off-World colony and made their way to earth and need to be stopped. The things Deckard encounters on his detective journey raise many philosophical questions like: Who is really a replicant? Are replicants really bad? If replicants are bad, when why did we go to such lengths with our technology to create them? Are replicants really humans? Is Deckard a hero? This truly is a film that demands subsequent discussion and its ambiguous ending leave a haunting and eerie feeling.In spite of a rich glaze of science fiction and futurism coating this adventure, there are distinct film noir elements present  primarily in the bluish haze that the film is seen through and its gritty urban atmosphere. Whoever thought of this combination is a genius. Since it is all about technology, it fits then that Blade Runner features a ridiculous amount of product placement, especially from Atari. In any other film, this would have felt out-of-place but here it is simply perfect. The score by Vangelis is strangely gripping when combined with the striking cinematography of the film.Blade Runner deserves credit, celebration and remembrance for it is simply an excellent film. 10 out of 10 (and I don't just throw this grade out like SOME people)",glorious timeless nightmare,dark deep uncertain unsettling imagine most beautiful nightmare youve ever had this is blade runner 1982 ridley scotts blade runner is brilliantly crafted science fiction film that not only touches upon but bravely plunges into deep philosophical questions making it simply ten times more important than any film its genre i love it not only initial feeling it gives but because its perseverance none visuals themes or technology feel dated but as deep gripping current as ever it is timeless beauty with huge doses emotion set 2019 los angeles blade runner zooms eerily lit urban streets city follows richard deckard superbly played by harrison ford who brings exquisite moral ambiguity his character special policeman who tracks down terminates artificially created humans called replicants who have escaped off world colony made their way earth need be stopped things deckard encounters his detective journey raise many philosophical questions like who is really replicant are replicants really bad if replicants are bad when why did we go such lengths with our technology create them are replicants really humans is deckard hero this truly is film that demands subsequent discussion its ambiguous ending leave haunting eerie feeling spite rich glaze science fiction futurism coating this adventure there are distinct film noir elements present primarily bluish haze that film is seen through its gritty urban atmosphere whoever thought this combination is genius since it is all about technology it fits then that blade runner features ridiculous amount product placement especially atari any other film this would have felt out place but here it is simply perfect score by vangelis is strangely gripping when combined with striking cinematography film blade runner deserves credit celebration remembrance it is simply excellent film 10 out 10 i dont just throw this grade out like some people,0.5871153223194041,0.1820051830255912,Positive,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.29, 'Fear': 0.31}"
8.0,An incredibly beautiful-looking film as one would expect with director Ridley Scott,"But it's almost like an art movie, the first science-fiction art film It's a futuristic film beautifully put together It's really impeccably made by one of the great visionary directors And you really saw a future that looked very different from the future you had seen before A future that looked very believable like the visual-effects shots of the flying car going over a futuristic city The fight sequence doesn't prepare you for the traumatic emotional side that there is in the film, it leaves you sort of broken There is a beautiful, delicate emotional great scene that I remember when I first saw the movie I'm in the theater and I'm so drawn in what Rutger Hauer's doing I'm so drawn in by what the theme of the movie has brought us to The magnificent moment where he is letting go of life And in those last moments of letting go of life he's really learned to appreciate life to the point where he spares Deckard's life, and where he's even holding a white dove because he just wants to have something that's alive in his hands It's an amazing sort of crescendo that's going and there's Rutger saying: ""I've seen things you people wouldn't believe. All these moments will be lost in time like tears in rain."" Hauer puts all the things that are so amazing about people: sense of poetry, sense of humor, sense of sexuality, sense of the kid, sense of soul Scott brought out the best qualities in his performers He coaxed and very gently manipulated performances from his actors that in some instances I think they've rarely topped You feel the story, you feel the emotions of the characters and you will be lost in the middle of this wild world, you know, it's so rich and it's painful I mean it's a very bluesy, dark story and told very compassionately The overpopulation, the sort of crowd scenes is so rich and varied and there's such an extreme detail designing the magazine covers, designing the look of the punks, the Hare Krishnas, the biological salesman, everything is designed You have just Piccadilly Circus punks walking by You have a sense of layers in that society That is one of those things that you see again and again The city landscape with the big billboards à la Kyoto or Tokyo Scott was able to create the look based on what goes on in various cities all over the world Whether it is Tokyo, Kyoto or Beijing or Hong Kong or whatever, you're right in ""Blade Runner"" country ""Blade Runner,"" to me, embodies the elegance, the power, and the uniqueness of a film experience It's the most classical, beautiful, purest movie-making writing and then the film-making itself is The images and the sound and the music, it's pure cinema Ridley came out with an amazing, brilliantly executed future of an absolute dystopia The intensity of his perfectionism on ""Blade Runner"" made the movie This is a master at his best",incredibly beautiful looking film as one would expect with director ridley scott,but its almost like art movie first science fiction art film its futuristic film beautifully put together its really impeccably made by one great visionary directors you really saw future that looked very different future you had seen before future that looked very believable like visual effects shots flying car going over futuristic city fight sequence doesnt prepare you traumatic emotional side that there is film it leaves you sort broken there is beautiful delicate emotional great scene that i remember when i first saw movie im theater im so drawn what rutger hauers doing im so drawn by what theme movie has brought us magnificent moment where he is letting go life those last moments letting go life hes really learned appreciate life point where he spares deckards life where hes even holding white dove because he just wants have something thats alive his hands its amazing sort crescendo thats going theres rutger saying ive seen things you people wouldnt believe all these moments will be lost time like tears rain hauer puts all things that are so amazing about people sense poetry sense humor sense sexuality sense kid sense soul scott brought out best qualities his performers he coaxed very gently manipulated performances his actors that some instances i think theyve rarely topped you feel story you feel emotions characters you will be lost middle this wild world you know its so rich its painful i mean its very bluesy dark story told very compassionately overpopulation sort crowd scenes is so rich varied theres such extreme detail designing magazine covers designing look punks hare krishnas biological salesman everything is designed you have just piccadilly circus punks walking by you have sense layers that society that is one those things that you see again again city landscape with big billboards la kyoto or tokyo scott was able create look based what goes various cities all over world whether it is tokyo kyoto or beijing or hong kong or whatever youre right blade runner country blade runner me embodies elegance power uniqueness film experience its most classical beautiful purest movie making writing then film making itself is images sound music its pure cinema ridley came out with amazing brilliantly executed future absolute dystopia intensity his perfectionism blade runner made movie this is master at his best,0.5393008658008657,0.2767727272727272,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.3, 'Sad': 0.28, 'Fear': 0.28}"
10.0,Best movie ever,Just my personal opinion. Everything is perfect about this movie. I saw the movie the first time when I was 12 and it was mind blowing for me. 38 years later I feel the same about this movie. Timeless and beautiful. For me 10/10 with a star and smile,best movie ever,just my personal opinion everything is perfect about this movie i saw movie first time when i was 12 it was mind blowing me 38 years later i feel same about this movie timeless beautiful me 10 10 with star smile,0.3947916666666667,0.425,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.2, 'Fear': 0.1}"
9.0,Still outshines the others 17 years later,"Blade Runner belongs on a list of 2 or 3 movies that had me walking out of the theater in a stupor as though hit by a sledgehammer, the first time I saw it. It fulfills one of my requirements of great films in that I walked out of the theater a different person than when I entered. And it fulfilled another requirement in that it improved with repeated viewings.There is so much to take in visually, intellectually, and emotionally that my mind was overwhelmed at the first viewing trying to sort it all out. Unlike the so-called ""entertainment"" we get today at the movies, this film didn't spoonfeed its meaning to you. It left the ending ambiguous so your imagination has to supply it.The film demands discussion. There are so many topics to debate. Is Deckard a replicant? Do Deckard and Rachel live happily ever after? Why is there a unicorn in the director's cut? Is Deckard a hero? Or are the replicants really the good guys? Every time I watch it, my answers change.I may be one of the few that really likes the original. Probably because I've seen that version a couple dozen times since 1982 before the director's cut came out. This may contradict what I said earlier about being spoonfed, but I liked the narration because it explained what was going on in Deckard's mind. And I didn't mind the ""happy ending"" because it still implied that their troubles may not be over. ""I don't know how long we had together. Who does?"" But with that version memorized, I now appreciate the directors cut. It probably has the better ending. (At least I think so until I view it again!)It's also fun watching actors before they became more famous later like Sean Young, Daryl Hannah, M. Emmet Walsh, William Sanderson, and Edward James Olmos. I think they all did a great job. And Vangelis did a beautiful, moving score.After ""Blade Runner"", most of the big blockbuster science fiction movies boil down to good guys vs. bad guys with lots of loud explosions and in-your-face effects. Very simplistic messages, if any. That's why I still contend that an ""oldie"" like Blade Runner still outshines them all. It has incredible special effects, but never at the expense of the story. The cityscapes do more than dazzle you, they involve you.The more I think of it, the more I realize that ""Blade Runner"" is not only my favorite science fiction movie, but one of my favorite films in any genre. I wish Ridley Scott would return to science fiction, but then again today's Hollywood would never release a movie like ""Blade Runner.""",still outshines others 17 years later,blade runner belongs list 2 or 3 movies that had me walking out theater stupor as though hit by sledgehammer first time i saw it it fulfills one my requirements great films that i walked out theater different person than when i entered it fulfilled another requirement that it improved with repeated viewings there is so much take visually intellectually emotionally that my mind was overwhelmed at first viewing trying sort it all out unlike so called entertainment we get today at movies this film didnt spoonfeed its meaning you it left ending ambiguous so your imagination has supply it film demands discussion there are so many topics debate is deckard replicant do deckard rachel live happily ever after why is there unicorn directors cut is deckard hero or are replicants really good guys every time i watch it my answers change i may be one few that really likes original probably because ive seen that version couple dozen times since 1982 before directors cut came out this may contradict what i said earlier about being spoonfed but i liked narration because it explained what was going deckards mind i didnt mind happy ending because it still implied that their troubles may not be over i dont know how long we had together who does but with that version memorized i now appreciate directors cut it probably has better ending at least i think so until i view it again its also fun watching actors before they became more famous later like sean young daryl hannah m emmet walsh william sanderson edward james olmos i think they all did great job vangelis did beautiful moving score after blade runner most big blockbuster science fiction movies boil down good guys vs bad guys with lots loud explosions your face effects very simplistic messages if any thats why i still contend that oldie like blade runner still outshines them all it has incredible special effects but never at expense story cityscapes do more than dazzle you they involve you more i think it more i realize that blade runner is not only my favorite science fiction movie but one my favorite films any genre i wish ridley scott would return science fiction but then again todays hollywood would never release movie like blade runner,0.5475267626430417,0.28285932413839393,Positive,"{'Happy': 0.22, 'Angry': 0.03, 'Surprise': 0.4, 'Sad': 0.08, 'Fear': 0.27}"
9.0,New Blu-Ray Disc Made Me A Blade Runner Fan,"Sometimes you just need to give a film a second chance, even if it is 20 years later! Only some rave reviews about the picture quality of this new 5-disc ""Complete Collector's Edition"" enticed me to watch this again. Wow, I am glad; this was a very entertaining and a tremendous visual and audio treat.I actually appreciated the audio best because, even in this new Blu-Ray era, one doesn't often find a film with very active surround speakers. However, this ""restored"" version did and the sound is, at the point, the best I've heard on a Blu-Ray disc....or any DVD, for that matter. The visuals? Well, fans of Blade Runner know all about them. They are fantastic. Scene-after-scene reminded me of a Stanley Kubrick film or another bizarre 1980s movie called ""Jacob's Ladder.""Because there are so many things to see and hear, and the story is different, one filled with strange characters, I can see where people would watch this film multiple times and enjoy it very much each time. The ""Collector's Edition"" has the best picture ever, according to director Ridley Scott, and ""is the version I'm most pleased with."" It has added scenes one didn't see in earlier versions. The rest of the DVD has those earlier versions. Apparently, there are several including those with Harrison Ford doing narration, like out of a late '40s film noir.Speaking of the latter, that's what this film looked like: a combination film noir (or neo-noir) and sci-fi movie. It has many dark images, fantastic night-time scenes, wonderful closeups and an always-interesting color palette. Sci-fi films usually get dated in a hurry, thanks to ever-increasing special-effects progress in the movie industry, but this still looks very good. Despite being made over 25 years ago, Blade Runner still looks very much state-of-the-art.Scott says this is the best version and the best his film has ever looked and sounded. Since it's his movie, who am I to argue. So, if you're like me and never gave this movie a chance (I lost interest halfway through with my VHS look at it), give this a second look on this Blu-Ray edition....and you will be blown away. This is, indeed, an amazing film.",new blu ray disc made me blade runner fan,sometimes you just need give film second chance even if it is 20 years later only some rave reviews about picture quality this new 5 disc complete collectors edition enticed me watch this again wow i am glad this was very entertaining tremendous visual audio treat i actually appreciated audio best because even this new blu ray era one doesnt often find film with very active surround speakers however this restored version did sound is at point best ive heard blu ray disc or any dvd that matter visuals well fans blade runner know all about them they are fantastic scene after scene reminded me stanley kubrick film or another bizarre 1980s movie called jacobs ladder because there are so many things see hear story is different one filled with strange characters i can see where people would watch this film multiple times enjoy it very much each time collectors edition has best picture ever according director ridley scott is version im most pleased with it has added scenes one didnt see earlier versions rest dvd has those earlier versions apparently there are several including those with harrison ford doing narration like out late 40s film noir speaking latter thats what this film looked like combination film noir or neo noir sci fi movie it has many dark images fantastic night time scenes wonderful closeups always interesting color palette sci fi films usually get dated hurry thanks ever increasing special effects progress movie industry but this still looks very good despite being made over 25 years ago blade runner still looks very much state art scott says this is best version best his film has ever looked sounded since its his movie who am i argue so if youre like me never gave this movie chance i lost interest halfway through with my vhs look at it give this second look this blu ray edition you will be blown away this is indeed amazing film,0.4811237741849987,0.3042088523721177,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.4, 'Sad': 0.25, 'Fear': 0.18}"
10.0,"All those moments will be lost in time, like tears in rain...","Blade Runner describes a future in which, through genetics, artificial humans are manufactured and called ""replicants""; employees in dangerous jobs and slaves in the outer colonies of the Earth. Made by Tyrell Corporation under the motto ""more humans than humans"" -especially the ""Nexus-6"" models- not only resembles humans, they are far superior physically.The replicants were declared illegal on planet Earth after a bloody mutiny occurred on the planet Mars, where they worked as slaves. A special police force, Blade Runners, is in charge of identifying, tracking and killing - or ""withdrawing"", in terms of the police itself - the fugitive replicants found on Earth. With a group of replicants loose in Los Angeles, Rick Deckard, the best agent that has existed in regard to the recovery and removal of the replicas, is removed from his semi-retirement to use some of ""the old magic blade runner"".Ridley Scott fantastic dark cyberpunk style and futuristic design is so well made that accomplished to create a visual vocabulary: neon lights, abandonment, decay, loneliness, obscurity, indifference and alienation are the core of the aesthetics of the film, which will eventually become and serve as a pattern for successive cinematographic works.The script David Webb Peoples adapted from 'Do Androids Dream of Electric Sheep?' takes the viewer into a dwelling and philosophical controversy, as it creates doubt and empathy to the so called replicants, primarily as seen in many shots of Rick Deckard hesitating about the true nature of his task.Harrison Ford and Rutger Hauer haunts the attention into the essence of the story. Their characterization throughout infiltrates the different conceptions of life. A saddened soul searching for the meaning of his punished existence and the other, ruminating a task sinking him into a moral void brimming with guilt.At the end, the movie leaves you wondering about the implications the creation of highly intelligent beings (IA) must have and, if it's worth treating them as machines or they have become so human that the difference is non existent.""Time... to die"".10/10.",all those moments will be lost time like tears rain,blade runner describes future which through genetics artificial humans are manufactured called replicants employees dangerous jobs slaves outer colonies earth made by tyrell corporation under motto more humans than humans especially nexus 6 models not only resembles humans they are far superior physically replicants were declared illegal planet earth after bloody mutiny occurred planet mars where they worked as slaves special police force blade runners is charge identifying tracking killing or withdrawing terms police itself fugitive replicants found earth with group replicants loose los angeles rick deckard best agent that has existed regard recovery removal replicas is removed his semi retirement use some old magic blade runner ridley scott fantastic dark cyberpunk style futuristic design is so well made that accomplished create visual vocabulary neon lights abandonment decay loneliness obscurity indifference alienation are core aesthetics film which will eventually become serve as pattern successive cinematographic works script david webb peoples adapted do androids dream electric sheep takes viewer into dwelling philosophical controversy as it creates doubt empathy so called replicants primarily as seen many shots rick deckard hesitating about true nature his task harrison ford rutger hauer haunts attention into essence story their characterization throughout infiltrates different conceptions life saddened soul searching meaning his punished existence other ruminating task sinking him into moral void brimming with guilt at end movie leaves you wondering about implications creation highly intelligent beings ia must have if its worth treating them as machines or they have become so human that difference is non existent time die 10 10,0.5361172161172162,0.11184065934065934,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.22, 'Fear': 0.34}"
8.0,A Drenched & Decrepit Dystopia...,"If your curse is accelerated decrepitude, longevity is something that's clearly not accrued, you'll be treated like a slave, when equality is all you crave, in the catastrophic climate you've been skewed.If you try to break the rules and integrate, the only recourse left to them is based on hate, where you're hunted like a dog, through the streets of rain and smog, unavoidably it's time to abdicate.Oozing metaphors from almost every pore, the dreams of unicorns lay behind several locked doors.",drenched decrepit dystopia,if your curse is accelerated decrepitude longevity is something thats clearly not accrued youll be treated like slave when equality is all you crave catastrophic climate youve been skewed if you try break rules integrate only recourse left them is based hate where youre hunted like dog through streets rain smog unavoidably its time abdicate oozing metaphors almost every pore dreams unicorns lay behind several locked doors,0.49722222222222223,-0.20833333333333334,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.2}"
10.0,One of Ridley Scott's best,"Blade Runner is quite simply wonderful, and not only is it one of Ridley Scott's best films, but also one of the best of the genre. For one thing, the visuals are superb. Not just in the special effects which are just mind-blowing but also in the cinematography, colours and sets. Another strong asset is the score, in fact Blade Runner is easily one of Vangelis's best by how mysterious and haunting it all is.The story is just great. True, it is the sort of film you need to see more than once to understand/appreciate it, but that is not a flaw in any way, quite the contrary. The story is very compelling, and also very deep thematically. Blade Runner is further advantaged by memorable dialogue, superb direction by Scott and good pacing. I can understand why some are underwhelmed by the ending, I was at first, but the more I saw the film the more the ending made sense to me. Finally the performances. Harrison Ford is perfectly cast, and Sean Young supports him admirably, but the real star of the cast is Rutgar Hauer who is outstanding in his role.In conclusion, a brilliant film and something Scott should be proud of. 10/10 Bethany Cox",one ridley scotts best,blade runner is quite simply wonderful not only is it one ridley scotts best films but also one best genre one thing visuals are superb not just special effects which are just mind blowing but also cinematography colours sets another strong asset is score fact blade runner is easily one vangeliss best by how mysterious haunting it all is story is just great true it is sort film you need see more than once understand appreciate it but that is not flaw any way quite contrary story is very compelling also very deep thematically blade runner is further advantaged by memorable dialogue superb direction by scott good pacing i can understand why some are underwhelmed by ending i was at first but more i saw film more ending made sense me finally performances harrison ford is perfectly cast sean young supports him admirably but real star cast is rutgar hauer who is outstanding his role conclusion brilliant film something scott should be proud 10 10 bethany cox,0.6848809523809523,0.5404603174603174,Positive,"{'Happy': 0.31, 'Angry': 0.06, 'Surprise': 0.37, 'Sad': 0.11, 'Fear': 0.14}"
7.0,Adding My Voice to a Loud Chorus,"I was 15 when the film was released in 1982. I remember Gary Franklin (A Movie Critic on Television) gave this film a ""10"" on a scale of 1 to 10 ""10"" being best. When a friend of mine saw this he hated it and so I never saw until 1992. That is when the ""Director's Cut"" was released theatrically. I was now 25 years. I wanted to see this because I saw a clip on television and someone saying this film was meant to be seen on the ""Big Screen"" and so off I went. This cut of the film is most well known for being the version that ""Took Away"" the Harrison Ford Voice Overs. It also included a shot of a unicorn that implied that ""Harrison Ford"" is a Replicant. I was not blown away by this film. I thought it was ""good"" not ""great""The story does take its time but the rewards are huge if you pay close attention. . Its haunting images are so memorable that it influenced future filmmakers. In more ways than one it became the ""Metropolis"" of a new era. From the future setting to having different versions released. ""Blade Runner"" and ""Metropolis"" are 2 films one should watch back to back. Now my problem with ""Blade Runner"" is that each version is SLOW! The action could of moved faster. The story is very thin. Ridley Scott film is like an old man trophy wife. Pretty to look at but has almost nothing to offer!",adding my voice loud chorus,i was 15 when film was released 1982 i remember gary franklin movie critic television gave this film 10 scale 1 10 10 being best when friend mine saw this he hated it so i never saw until 1992 that is when directors cut was released theatrically i was now 25 years i wanted see this because i saw clip television someone saying this film was meant be seen big screen so off i went this cut film is most well known being version that took away harrison ford voice overs it also included shot unicorn that implied that harrison ford is replicant i was not blown away by this film i thought it was good not great story does take its time but rewards are huge if you pay close attention its haunting images are so memorable that it influenced future filmmakers more ways than one it became metropolis new era future setting having different versions released blade runner metropolis are 2 films one should watch back back now my problem with blade runner is that each version is slow action could moved faster story is very thin ridley scott film is like old man trophy wife pretty look at but has almost nothing offer,0.4615702479338842,0.0984710743801653,Positive,"{'Happy': 0.19, 'Angry': 0.07, 'Surprise': 0.37, 'Sad': 0.07, 'Fear': 0.3}"
