Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,I adore this movie,"I don't always have much use for ""cute,"" as it often dribbles over into ""cutesy,"" but this movie had almost the perfect amount of cute. Siddharth won my mind and sympathy in _Rang De Basanti_, one of the best movies ever made by anyone, anywhere. Here he made me giggle and relive the giddiness of new affection.It took me a little while to warm up to Genelia D'Souza, but her character was so flawlessly, honestly bubbly that her enthusiasm became contagious.The movie includes a plea for honoring traditions and taking them into account while also allowing for change. It urges balance and moderation on everyone's part.My high school students read _Romeo and Juliet_. This year, I plan to show a brief clip of _Bommarillu_ to show the widespread knowledge of those characters and to make the point that arranged marriages are neither a thing of the past nor a way for parents to punish the young adults in their lives. I'm glad I bought this movie (an original copy---no bootlegs for me!); I will watch it frequently.",i adore this movie,i dont always have much use cute as it often dribbles over into cutesy but this movie had almost perfect amount cute siddharth won my mind sympathy rang de basanti one best movies ever made by anyone anywhere here he made me giggle relive giddiness new affection it took me little while warm up genelia dsouza but her character was so flawlessly honestly bubbly that her enthusiasm became contagious movie includes plea honoring traditions taking them into account while also allowing change it urges balance moderation everyones part my high school students read romeo juliet this year i plan show brief clip bommarillu show widespread knowledge those characters make point that arranged marriages are neither thing past nor way parents punish young adults their lives im glad i bought this movie original copy no bootlegs me i will watch it frequently,0.5954924242424243,0.3333664772727272,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.23}"
9.0,"Individuality, Love and Family!!","Bommarillu (House of Toys) is the story of a young man (portrayed fantastically by Siddharth) who lives with his parents and faces an identity crisis as his overly protective father takes care of everything for him. When all the little details of his life are taken care of, he has nothing but a sense of emptiness left in him.When he meets this happy go-lucky girl (played to perfection by Genelia D'Souza) who does anything and everything she wishes without constraints, he gets inspired and loves her dearly. He comes to terms with his own life and the things he misses, mostly his individuality. The rest of the story is how he convinces his family, especially his father about his state d'affaire and wins her over.The casting has been excellent. Siddharth, Genelia, Prakash Raj, Jayasudha, Srinivasarao Kota suit well for their respective roles, especially in the scenes that require strong emotions. These scenes have been presented in a good manner. The music of the movie is a great asset.On the whole, the movie is not just your average romantic comedy, but a pleasing mixture of human emotions, drama and romance.9/10",individuality love family,bommarillu house toys is story young man portrayed fantastically by siddharth who lives with his parents faces identity crisis as his overly protective father takes care everything him when all little details his life are taken care he has nothing but sense emptiness left him when he meets this happy go lucky girl played perfection by genelia dsouza who does anything everything she wishes without constraints he gets inspired loves her dearly he comes terms with his own life things he misses mostly his individuality rest story is how he convinces his family especially his father about his state daffaire wins her over casting has been excellent siddharth genelia prakash raj jayasudha srinivasarao kota suit well their respective roles especially scenes that require strong emotions these scenes have been presented good manner music movie is great asset whole movie is not just your average romantic comedy but pleasing mixture human emotions drama romance 9 10,0.5808333333333333,0.2964583333333333,Positive,"{'Happy': 0.32, 'Angry': 0.03, 'Surprise': 0.21, 'Sad': 0.24, 'Fear': 0.21}"
9.0,"Johnny Johnny, yes papa..","A very beautiful story with a lots of comedy. I went for the movie just to kill some time. But what I got was a nostalgic happiness.The movie is basically a simple story of a over protective rich father and a modern day son who wants to be happy with self-dependence. When son wants a simple T-shirt, the father gives him a Louis Philippe shirt. In the course the son looses his individuality.This is a very emotional movie, but never lost its pace because of the sublime comedy. Siddharth's acting was excellent. Prakash Raj was good in the role of the father. Frankly speaking, I hated the acting of Genelia. The dubbing for her was the worst.I truly enjoyed this movie.",johnny johnny yes papa,very beautiful story with lots comedy i went movie just kill some time but what i got was nostalgic happiness movie is basically simple story over protective rich father modern day son who wants be happy with self dependence when son wants simple t shirt father gives him louis philippe shirt course son looses his individuality this is very emotional movie but never lost its pace because sublime comedy siddharths acting was excellent prakash raj was good role father frankly speaking i hated acting genelia dubbing her was worst i truly enjoyed this movie,0.5560714285714284,0.18194444444444444,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.08, 'Sad': 0.31, 'Fear': 0.31}"
8.0,Much better than what I had expected...,"Bommarillu is the story of Sidhu's(Sidharth) struggle in dealing with a controlling father.Life moves along manageable well till the point where he gets engaged to a girl of his father choice and then goes on to meet the girl of his dreams,Hasini (Genelia).Sidhu who had been rebelling from within until then,finally finds a reason to bring out the rebel who had been hiding within him all along.The movie moves at a steady pace and keep the viewer interested at all junctions.Lead performance by Sidharth and Genelia are commendable though Genelia occasionally stumbles from sweet to sappy.The supporting cast does a decent job but I found Prakash Raj a little tiring as he does the same thing he does in every movie with the tapping-forehead-with-four-fingers-thing.Strong points for the movie include:- 1.Squeaky clean script:-Its thekind of squeaky clean that u can watch this movie sitting next to your maths professor without flinching.The lead pair rarely make bodily contact except for some dance moves.No double meaning jokes,no exposing,no innuendo of any sort.Kudos to the director for his effort to keep it this clean.2.Story&Direction:-The approach is the same,but at least the story is different.the characters of Sidhu and his father are well fleshed and their portrayal is commendable.It would have been easy to dismiss Sidhu for being a wuss without a spine if it wasn't for the directors effort in showcasing the emotions that lurk withing a man without freedom.3.Genelia:-The whole script rests on her likability.And she does her job pretty well.Sometimes she does stumble on the line between sweet and sappy, but she finds her balance pretty fast.4.Music:-Another great job by the talented Devi sri Prasad.Engaging and fun.Weak points:- 1.The comedy track is weak.2.Kota Srinivas rao and Jayasudha are wasted.They do provide strength to the cast but they are too talented to be offered that little.3.Occasionally over sweet script but they are minor glitches and overall don't effect the movie to a great extent.Bottomline:-A very good movie to be enjoyed with the entire family.If this movie doesn't break records,it will certainly run in theaters for a long time.",much better than what i had expected,bommarillu is story sidhus sidharth struggle dealing with controlling father life moves along manageable well till point where he gets engaged girl his father choice then goes meet girl his dreams hasini genelia sidhu who had been rebelling within until then finally finds reason bring out rebel who had been hiding within him all along movie moves at steady pace keep viewer interested at all junctions lead performance by sidharth genelia are commendable though genelia occasionally stumbles sweet sappy supporting cast does decent job but i found prakash raj little tiring as he does same thing he does every movie with tapping forehead with four fingers thing strong points movie include 1 squeaky clean script its thekind squeaky clean that u can watch this movie sitting next your maths professor without flinching lead pair rarely make bodily contact except some dance moves no double meaning jokes no exposing no innuendo any sort kudos director his effort keep it this clean 2 story direction approach is same but at least story is different characters sidhu his father are well fleshed their portrayal is commendable it would have been easy dismiss sidhu being wuss without spine if it wasnt directors effort showcasing emotions that lurk withing man without freedom 3 genelia whole script rests her likability she does her job pretty well sometimes she does stumble line between sweet sappy but she finds her balance pretty fast 4 music another great job by talented devi sri prasad engaging fun weak points 1 comedy track is weak 2 kota srinivas rao jayasudha are wasted they do provide strength cast but they are too talented be offered that little 3 occasionally over sweet script but they are minor glitches overall dont effect movie great extent bottomline very good movie be enjoyed with entire family if this movie doesnt break records it will certainly run theaters long time,0.5158283730158729,0.187485119047619,Positive,"{'Happy': 0.21, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.16, 'Fear': 0.3}"
9.0,Genelia is an Eye Candy....,"The movie is Simply awesome... U r gonna love it...Siddharth and Genelia do not fail to Keep the mood of the movie high all the time... Both are well suited for the characters they portray and both have done justice to it...Now coming to the story... Sidhu(Siddharth) is the son of a rich businessman Aravind(Prakash Raj)... Aravind Loves his son and is over protective of him... sidhu finds this hard to accept , but his love for his father prevents him from informing this ... Aravind decides everything for Sidhu including wat he wears n how to eat... Sidhu decides that at least in 2 aspects of his life he'll take his own decision-one choosing his life partner n another his work... But one day his father decides a bride for him... Sidhu is reluctant to marry her n hence informs his father bout it.. when asked for the reason for his reluctance he fails to give a proper one.. Aravind asks weather he is in love with anyone,to which Sidhu replies in negative...following which Sidhu gets engaged to Subbalakshmi(Neha)... once engaged, Sidhu finds his perfect match in Hasini(Genelia)... now he displays more audacity and tells about his new found love to his father... So his father asks him to get Hasini to house so that they could get acquainted with her... Hasini lies to her father of going to a trip n starts living in Sidhu's house to win the heart of his family... Climax is as expected... a happy ending...Genelia is an Eye candy... no questions can be raised against Prakash raj's acting... Songs are melodious... All in all the movie is a must watch.",genelia is eye candy,movie is simply awesome u r gonna love it siddharth genelia do not fail keep mood movie high all time both are well suited characters they portray both have done justice it now coming story sidhu siddharth is son rich businessman aravind prakash raj aravind loves his son is over protective him sidhu finds this hard accept but his love his father prevents him informing this aravind decides everything sidhu including wat he wears n how eat sidhu decides that at least 2 aspects his life hell take his own decision one choosing his life partner n another his work but one day his father decides bride him sidhu is reluctant marry her n hence informs his father bout it when asked reason his reluctance he fails give proper one aravind asks weather he is love with anyone which sidhu replies negative following which sidhu gets engaged subbalakshmi neha once engaged sidhu finds his perfect match hasini genelia now he displays more audacity tells about his new found love his father so his father asks him get hasini house so that they could get acquainted with her hasini lies her father going trip n starts living sidhus house win heart his family climax is as expected happy ending genelia is eye candy no questions can be raised against prakash rajs acting songs are melodious all all movie is must watch,0.5298353096179182,0.28824769433465086,Positive,"{'Happy': 0.24, 'Angry': 0.02, 'Surprise': 0.08, 'Sad': 0.16, 'Fear': 0.49}"
10.0,really.... house of dolls,"Siddu-the hero; Hasini- the heroine.... Never expected -they would have such great chemistry...""dialogs are awesome, scenes are heart touching""....I usually don't watch songs..but this movie has something in it that I just couldn't avoid songs... the best part of the movie is climax...don't you miss it (anyways later you will watch ""N"" number of times)... great portrayal of characters....each character in this movie is made for that particular actor..as if though they are very natural....Once again Prakash raj has proved his might... English has less +ive adjectives to rate this movie..its a must watch movie...one can watch at least 2 times....number is just a limit......",really house dolls,siddu hero hasini heroine never expected they would have such great chemistry dialogs are awesome scenes are heart touching i usually dont watch songs but this movie has something it that i just couldnt avoid songs best part movie is climax dont you miss it anyways later you will watch n number times great portrayal characters each character this movie is made that particular actor as if though they are very natural once again prakash raj has proved his might english has less ive adjectives rate this movie its must watch movie one can watch at least 2 times number is just limit,0.398,0.26199999999999996,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.31, 'Sad': 0.23, 'Fear': 0.31}"
,Finding Nemo meets Maine Pyar Kiya,"Bommarillu is dressed to the nine's with novelties that makes it tick... and boy o boy - they work big time! Presentation is the key differentiator, otherwise the story is a tried & tested formula in Indian cinema since the medium itself. Siddharth: After Rang De, the expectations run high and he does surpass them. Consistent performer indeed.Genelia: An apt choice and has all the coy looks to carry the role effortlessly. Very promising.Prakash Raj: Luckily he does not succumb to reprising ""I care a hoot about the camera"" attitude. Hence the restrained performance works for the movie playing the ""I decide for you"" father.Jaya Sudha:: Small role but effective.Kota, Subramaniam Dharmavarapu, Suneel, Brahmanandam & Tanikella Bharani:: Adequate Songs are hummable. Foreign locales are beautiful and Hyderabad never looked so appealing!! Bhaskar the director:: Our ""Da man"" has mastered the 4-P's of marketing spot-on.PS: Last time the tag-line ""Love makes life beautiful...."" was used in Mahesh Bhatt's ""Aashiqui "" 1990.",finding nemo meets maine pyar kiya,bommarillu is dressed nines with novelties that makes it tick boy o boy they work big time presentation is key differentiator otherwise story is tried tested formula indian cinema since medium itself siddharth after rang de expectations run high he does surpass them consistent performer indeed genelia apt choice has all coy looks carry role effortlessly very promising prakash raj luckily he does not succumb reprising i care hoot about camera attitude hence restrained performance works movie playing i decide you father jaya sudha small role but effective kota subramaniam dharmavarapu suneel brahmanandam tanikella bharani adequate songs are hummable foreign locales are beautiful hyderabad never looked so appealing bhaskar director our da man has mastered 4 ps marketing spot ps last time tag line love makes life beautiful was used mahesh bhatts aashiqui 1990,0.5748958333333333,0.30385416666666665,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.04, 'Sad': 0.17, 'Fear': 0.54}"
10.0,One of the best Family drama Movie in Telugu industry,"Siddharth, Genelia and Prakash Raj are simply excelled in their roles.. A heartmelting and best climax ever👌🏻",one best family drama movie telugu industry,siddharth genelia prakash raj are simply excelled their roles heartmelting best climax ever,0.319047619047619,0.6666666666666666,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10.0,love makes life really beautiful...the movie proved it!!,"i have no hesitation at all to rate 10 out of 10 for this blockbuster...i don't remember exactly how many times i have seen the last episode of the movie, where the emotional discussion between hero and his dad rocks....i have never expected he can do that well!! and no doubt, the entire credit goes to the director for not only being able to choose the right actors for each and every character, but also for being able 2 extract that marvelous talent 4m all d cast....hero's father is an evergreen actor, who delivers an ultimate performance...hero's mother and the cook r fit in2 those roles and coming 2 d major asset of the movie, its the heroine....u can notice a perfect professional actress in this movie...i have never ever seen her in such a role...this is a sort of dream offer 2 any actress in d industry....another major asset of the movie is music...he is one among d very few trustworthy music directors 2day in the film industry...even the taking n presentation of d songs is adequate this would be standing one among my all time favorite movies 4ever...n ever",love makes life really beautiful movie proved it,i have no hesitation at all rate 10 out 10 this blockbuster i dont remember exactly how many times i have seen last episode movie where emotional discussion between hero his dad rocks i have never expected he can do that well no doubt entire credit goes director not only being able choose right actors each every character but also being able 2 extract that marvelous talent 4m all d cast heros father is evergreen actor who delivers ultimate performance heros mother cook r fit in2 those roles coming 2 d major asset movie its heroine u can notice perfect professional actress this movie i have never ever seen her such role this is sort dream offer 2 any actress d industry another major asset movie is music he is one among d very few trustworthy music directors 2day film industry even taking n presentation d songs is adequate this would be standing one among my all time favorite movies 4ever n ever,0.5800310559006212,0.28843685300207034,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.47}"
10.0,Bommarillu is a Class Movie,Sidharth presented the emotions very well on screen.He acted very well.He also sung a song in the film.That is tone of my favorite songs in my life.Genelia looked very cute.Director has lot of talent.He will go to the list of big directors in few years from now.Producer Raju has lot of guts.He is encouraging all the new blood to the Telugu cinema industry.Sidharth presented the emotions very well on screen.He acted very well.He also sung a song in the film.That is tone of my favorite songs in my life.Genelia looked very cute.Director has lot of talent.He will go to the list of big directors in few years from now.Producer Raju has lot of guts.He is encouraging all the new blood to the Telugu cinema industry.,bommarillu is class movie,sidharth presented emotions very well screen he acted very well he also sung song film that is tone my favorite songs my life genelia looked very cute director has lot talent he will go list big directors few years now producer raju has lot guts he is encouraging all new blood telugu cinema industry sidharth presented emotions very well screen he acted very well he also sung song film that is tone my favorite songs my life genelia looked very cute director has lot talent he will go list big directors few years now producer raju has lot guts he is encouraging all new blood telugu cinema industry,0.46493506493506487,0.2123376623376623,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.38, 'Fear': 0.19}"
