Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Indian Cinema no. 1,"Border (1997) is an bloody war film filled with an hour's worth of singing. The story is about a company of soldiers (most of the Punjabs) who must defend the India/Pakistan border at all costs. Tensions between the two countries were at the boiling point. The Pakistanis were preparing an all out assault on the Indian border. Based upon a real incident, the actors were great in their roles and the film makers made these characters flesh and blood instead of mere cardboard figures. Each has a tale to tell (in song with a lot of musical numbers). Who will win this incredibly high tensioned battle of survival?A great film. I enjoyed it very much. I have watched several Indian films before and if I can find more like these then I can find a new film industry to keep an eye upon. The D.V.D. I saw was in stereo with English sub-titles. Over three hours long and highly entertaining. The violence content is high and a must for action fans and history buffs.",indian cinema no 1,border 1997 is bloody war film filled with hours worth singing story is about company soldiers most punjabs who must defend india pakistan border at all costs tensions between two countries were at boiling point pakistanis were preparing all out assault indian border based upon real incident actors were great their roles film makers made these characters flesh blood instead mere cardboard figures each has tale tell song with lot musical numbers who will win this incredibly high tensioned battle survival great film i enjoyed it very much i have watched several indian films before if i can find more like these then i can find new film industry keep eye upon d v d i saw was stereo with english sub titles over three hours long highly entertaining violence content is high must action fans history buffs,0.44259740259740254,0.226969696969697,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.24, 'Fear': 0.52}"
10.0,Best Indian War Movie Ever!,"Border is the best war movie with mind-blowing action. Everyone gave powerful performances, lead by my favorite star, Sunny Deol. He was perfect as the brave Sardarji armyman, and this is definitely his greatest performance of the 90's (even more intense than Ghayal, Ghatak, Ziddi). He is the true action hero above others. He is so inspirational and very commanding to the point that you truly feel the patriotism and determination and love for your nation. This is definitely, one of the most powerful and realistic (based on 1971 Indo-Pak war) action movies that I have ever seen. It is as others say, ""Men at their best! War at its worst!"" This is a must watch for all Indians who really do love their country. It is shocking that despite the fact that this was the biggest blockbuster in '97, it was practically ignored by the corrupt and biased media. Border should have swept nearly all awards (it was worthy of Oscars). Watch this movie! 12/10.",best indian war movie ever,border is best war movie with mind blowing action everyone gave powerful performances lead by my favorite star sunny deol he was perfect as brave sardarji armyman this is definitely his greatest performance 90s even more intense than ghayal ghatak ziddi he is true action hero above others he is so inspirational very commanding point that you truly feel patriotism determination love your nation this is definitely one most powerful realistic based 1971 indo pak war action movies that i have ever seen it is as others say men at their best war at its worst this is must watch all indians who really do love their country it is shocking that despite fact that this was biggest blockbuster 97 it was practically ignored by corrupt biased media border should have swept nearly all awards it was worthy oscars watch this movie 12 10,0.6270114942528735,0.2948275862068966,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.43, 'Sad': 0.1, 'Fear': 0.27}"
9.0,The Indian Alamo,"A very good war movie, despite somewhat expected chauvinist moments counterpointed by fluffy pacifist messages. Nice exploration of the inner personal dramas of the characters, and how it will affect their battle actions. Some battle scenes are very realistic; others contain elements of mystic heroism, yet the mix works well. The story has the same ingredients of the siege of the Alamo, but in a completely different cultural environment, what gives it a special appeal.",indian alamo,very good war movie despite somewhat expected chauvinist moments counterpointed by fluffy pacifist messages nice exploration inner personal dramas characters how it will affect their battle actions some battle scenes are very realistic others contain elements mystic heroism yet mix works well story has same ingredients siege alamo but completely different cultural environment what gives it special appeal,0.44331168831168816,0.17125541125541127,Positive,"{'Happy': 0.18, 'Angry': 0.12, 'Surprise': 0.18, 'Sad': 0.06, 'Fear': 0.47}"
10.0,"In the 1971 war, Pakistan Army opens Western Front by attacking Longewala Post which eventually turns out to be pathetic decision for them","The Movie is an attempt to bring into limelight the Historic Battle of Longewala located in Rajasthan. The Pakistan Army opens Western Front against India to force away Indian effort to liberate Bangladesh from tyrant Pakistani rule.The Pakistani Army assuming that Indian Forces have only limited presence on Western Border attacks through Rajasthan in Longewala. The movie depicts true event and is not a piece of fiction as far as Battle is concerned.Its true that there was a company of only 120 men against almost 2500 Pakistani Troops along with over 60 Tanks engaged in the Battle of Longewala. The Indian Post at Longewala had strategic advantage of being at higher level and also was one of the prime reasons for shameful defeat of Pakistani Tank Column and Infantry at the hands of a handful Indians !!The characters have been carefully chosen and developed beautifully in the movie. The Battle appears almost real with men at their respective positions as in actual battle. The intensity is high and so is the depiction of morale. The Indian Air Force striking the Pakistanis in the morning was clearly seen although there was a little more role that IAF played in actual battle. The dramatic scenes are good enough to make you shed a tear for the unsung heros.Overall the movie is great considering the complexities involved in shooting a real war scene. Its a must watch for all the people who do not know about the battle that is considered a strategic one in defeat the Pakistani Army by Indian Forces in 1971 war.The movie is complete with patriotic moments,is well shot and well delivered. A must watch for every Indian....Also for those who like Real War Flicks!!",1971 war pakistan army opens western front by attacking longewala post which eventually turns out be pathetic decision them,movie is attempt bring into limelight historic battle longewala located rajasthan pakistan army opens western front against india force away indian effort liberate bangladesh tyrant pakistani rule pakistani army assuming that indian forces have only limited presence western border attacks through rajasthan longewala movie depicts true event is not piece fiction as far as battle is concerned its true that there was company only 120 men against almost 2500 pakistani troops along with over 60 tanks engaged battle longewala indian post at longewala had strategic advantage being at higher level also was one prime reasons shameful defeat pakistani tank column infantry at hands handful indians characters have been carefully chosen developed beautifully movie battle appears almost real with men at their respective positions as actual battle intensity is high so is depiction morale indian air force striking pakistanis morning was clearly seen although there was little more role that iaf played actual battle dramatic scenes are good enough make you shed tear unsung heros overall movie is great considering complexities involved shooting real war scene its must watch all people who do not know about battle that is considered strategic one defeat pakistani army by indian forces 1971 war movie is complete with patriotic moments is well shot well delivered must watch every indian also those who like real war flicks,0.4755059523809524,0.11461681547619047,Positive,"{'Happy': 0.07, 'Angry': 0.02, 'Surprise': 0.12, 'Sad': 0.34, 'Fear': 0.44}"
8.0,superb,Superb.I really have pity on some of reviewers who brand movie chauvinistic.How else a war movie is supposed to be? Especially when those whom you are fighting were your own countrymen till a few years back. A pretty good depiction of Indian Army and air force and relationship between different soldiers and their dilemma. Movie also touches on pathetic condition of Indian soldiers financially in those days which is no longer a case.Most haunting scene of Movie is Rakhi wandering in tank ridden field with Serra for his son.This single scene depicts the futility of war. But there should have been paid more attention to details of war e.g. even real life soldiers have said that they were not that outnumbered and main factor was air force not the army but it is true that they did hold a whole battalion with the help of anti tank mines.,superb,superb i really have pity some reviewers who brand movie chauvinistic how else war movie is supposed be especially when those whom you are fighting were your own countrymen till few years back pretty good depiction indian army air force relationship between different soldiers their dilemma movie also touches pathetic condition indian soldiers financially those days which is no longer case most haunting scene movie is rakhi wandering tank ridden field with serra his son this single scene depicts futility war but there should have been paid more attention details war e g even real life soldiers have said that they were not that outnumbered main factor was air force not army but it is true that they did hold whole battalion with help anti tank mines,0.5298809523809525,0.21476190476190476,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.27, 'Fear': 0.32}"
10.0,Best war based film in Bollywood,It's one of the best iconic and masterpiece of war action film in Bollywood and acting is up to the mark. And one of the best film in Bollywood.,best war based film bollywood,its one best iconic masterpiece war action film bollywood acting is up mark one best film bollywood,0.25000000000000006,0.6,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.17, 'Fear': 0.17}"
8.0,one of the most best war films made,"Border is no Saving Private Ryan or behind enemy lines. It's an unpretentious patriotic film, which is great to watch on 15 Aug or 26 Jan. It's heavily dramatised with punching dialogue and touching songs. The characters are varied and likable, and acting doesn't come much better, though Sunny Deol is over the top as usual.It's sad to see this movie trashed by some Pakistani viewers, who are clearly not happy to see a movie made about their war failures. Maybe they should make movies depicting their own point of view, rather than watching pirated copies of Indian movies, and then complaining about them.",one most best war films made,border is no saving private ryan or behind enemy lines its unpretentious patriotic film which is great watch 15 aug or 26 jan its heavily dramatised with punching dialogue touching songs characters are varied likable acting doesnt come much better though sunny deol is over top as usual its sad see this movie trashed by some pakistani viewers who are clearly not happy see movie made about their war failures maybe they should make movies depicting their own point view rather than watching pirated copies indian movies then complaining about them,0.5583333333333333,0.21000000000000002,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.46, 'Fear': 0.12}"
10.0,Factual Portrayal,"A brilliant film, Definitely a milestone in Indian Film Industry...... Very well directed in actual locales ..... Brilliant acting by Sunny Deol, Sunil Shetty and newcomer Akshaye Khanna.",factual portrayal,brilliant film definitely milestone indian film industry very well directed actual locales brilliant acting by sunny deol sunil shetty newcomer akshaye khanna,0.4833333333333334,0.3333333333333333,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.4}"
10.0,Superb personalization of war,"Rarely has an Indian movie depicted the personal traumas that confront soldiers and their families. Border scores 10/10. The last song Mere Dushman Mere Bhai was touching.Shows that all the bitter fighting between India and Pakistan is such a gross waste. It is a case of brother vs brother, and will have no winners in the end.",superb personalization war,rarely has indian movie depicted personal traumas that confront soldiers their families border scores 10 10 last song mere dushman mere bhai was touching shows that all bitter fighting between india pakistan is such gross waste it is case brother vs brother will have no winners end,0.43333333333333335,0.045454545454545456,Positive,"{'Happy': 0.08, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.08}"
9.0,A deep story and survey of war,"J.P Dutta's brother fought and was martyred in war. He knows and has experienced what he is talking about, the pain that the soldiers' families feel when war is fought. The Indian army and soldiers' stereotypes abound in this movie. Indian soldiers are brave, moral, and fiercely patriotic. The two soldier, Dharam Veer (Akshay)and Mathura Das who doubts this in the beginning are later brought on to the patriotic side before the war is fought. Jackie Shroff, the airbase commander, anxiously waits so he can relieve his brethren. These shots, are very deep and not overdone. It is just symbolic of the deep relationships that are built in this movie. The antiwar message and Indo-Pak friendship message is spoiled a bit by the bravery, heroism of the Indian soldiers and villanizing of the Pakistanis. But I am so glad that he puts it in there. Mere Dushmaan Mere Bhai is a great way to end the movie. The acting in this movie, at least by the men, is superb. Pooja Bhatt excels and leaves an impression even though she is in only briefly. The songs of this movie add a lot to the movie. Sandese Aate Hain is especially touching.",deep story survey war,j p duttas brother fought was martyred war he knows has experienced what he is talking about pain that soldiers families feel when war is fought indian army soldiers stereotypes abound this movie indian soldiers are brave moral fiercely patriotic two soldier dharam veer akshay mathura das who doubts this beginning are later brought patriotic side before war is fought jackie shroff airbase commander anxiously waits so he can relieve his brethren these shots are very deep not overdone it is just symbolic deep relationships that are built this movie antiwar message indo pak friendship message is spoiled bit by bravery heroism indian soldiers villanizing pakistanis but i am so glad that he puts it there mere dushmaan mere bhai is great way end movie acting this movie at least by men is superb pooja bhatt excels leaves impression even though she is only briefly songs this movie add lot movie sandese aate hain is especially touching,0.6085185185185186,0.18611111111111112,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.28}"
9.0,Action and love story of war,"Its 1997 movie, story about Indian Army at Pakistan border defending the country. A great story with number of beautiful songs.",action love story war,its 1997 movie story about indian army at pakistan border defending country great story with number beautiful songs,0.6125,0.5625,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.4}"
10.0,One of the Best,One of the Best War Movies Bollywood has to offer and very in-depth view of Army Soldier's life,one best,one best war movies bollywood has offer very depth view army soldiers life,0.3,0.7333333333333334,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.6}"
