Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1,By far one of the worst films - ever,"Had I not been forced to see this film because of my occupation (and the fact I have two young daughters), I would have avoided this particular production like Richard Simmons avoids women.However, no such luck came my way on this night, and I was subjected to one of the single most shallow, insignificant, poorly-directed, badly-acted movies of the year.Or in ANY year, for that matter.""Bratz, The Movie"" is supposedly based on those slutty-looking dolls with huge eyes, full lips and no noses; figures which many parents feel imbues their daughters with an overinflated infatuation with clothes, shoes and make-up. Unfortunately, this movie is live action (but still concentrates on the whole ""appearance is the most important"" thing).And while the film tries to touch on friendships being key, the main message here is that only thin, good-looking people are worth anything; and the only way to make a difference in the world is to wear the latest, most expensive fashions.As if any of this makes any difference, here's the basic plot outline: Four adolescent girls (all beautiful with perfect bodies), Yasmin (Natalie Ramos), Jade (Janel Parish), Sasha (Logan Browning) and Chloe (Skyler Shaye) enter high school. It's also needless to mention that none of these young women has even the most remote acting talents, whatsoever.In fact, I've seen better acting in a morgue. Friends, the combined talent of the entire cast and crew of ""Bratz"" could be put in a thimble and there would still be room for Rosie O'Donnell's butt.But I digress ...Anyway, these four vapid souls enter Carrie A. Nation High School (which is more than appropriate since I wanted to take a hatchet to the projection room during this preview) and immediately clash with uptight beauty queen, Meredith (Chelsea Staub) and her group of ""Heathers"" wannabes.Meredith - even though a freshman - has divided the entire academy into clicks (emo's, skaters, geeks, potheads, jocks, tree-huggers and other assorted losers). Why anyone accepts this pigeon-holing is beyond me, but wondering about this isn't worth the time it takes for a synapse to fire, so ...And while it's easy to see the above-mentioned no-names populating this production, it's quite disheartening to watch a veteran actor such as Jon Voight, who plays Meredith's father and school principal. He not only embarrasses himself in the movie, but has put a stamp of incompetence on what was once a stellar career.Oh, there's also a deaf kid, Dylan (Ian Nelson) who somehow has the power to hear Yasmin singing (oh, and he can spin turntables, as well).The picture's witless conclusion consists of a huge birthday bash for Meredith (see enters on an elephant) and a loud and irritating musical number (it's amazing what passes for entertainment in today's world).My little girls liked this film, but then again they are 3 and 7-years old. Unless you fit into this particular gender or age group - or are in a coma - you will see this entire enterprise as shallow as a saucer and empty-headed as Paris Hilton.Truly one of the worst movie-going experiences since ""Are We Done Yet?""",by far one worst films ever,had i not been forced see this film because my occupation fact i have two young daughters i would have avoided this particular production like richard simmons avoids women however no such luck came my way this night i was subjected one single most shallow insignificant poorly directed badly acted movies year or any year that matter bratz movie is supposedly based those slutty looking dolls with huge eyes full lips no noses figures which many parents feel imbues their daughters with overinflated infatuation with clothes shoes make up unfortunately this movie is live action but still concentrates whole appearance is most important thing while film tries touch friendships being key main message here is that only thin good looking people are worth anything only way make difference world is wear latest most expensive fashions as if any this makes any difference heres basic plot outline four adolescent girls all beautiful with perfect bodies yasmin natalie ramos jade janel parish sasha logan browning chloe skyler shaye enter high school its also needless mention that none these young women has even most remote acting talents whatsoever fact ive seen better acting morgue friends combined talent entire cast crew bratz could be put thimble there would still be room rosie odonnells butt but i digress anyway these four vapid souls enter carrie nation high school which is more than appropriate since i wanted take hatchet projection room during this preview immediately clash with uptight beauty queen meredith chelsea staub her group heathers wannabes meredith even though freshman has divided entire academy into clicks emos skaters geeks potheads jocks tree huggers other assorted losers why anyone accepts this pigeon holing is beyond me but wondering about this isnt worth time it takes synapse fire so while its easy see above mentioned no names populating this production its quite disheartening watch veteran actor such as jon voight who plays merediths father school principal he not only embarrasses himself movie but has put stamp incompetence what was once stellar career oh theres also deaf kid dylan ian nelson who somehow has power hear yasmin singing oh he can spin turntables as well pictures witless conclusion consists huge birthday bash meredith see enters elephant loud irritating musical number its amazing what passes entertainment todays world my little girls liked this film but then again they are 3 7 years old unless you fit into this particular gender or age group or are coma you will see this entire enterprise as shallow as saucer empty headed as paris hilton truly one worst movie going experiences since are we done yet,0.537767857142857,0.07762641293891297,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.17, 'Sad': 0.25, 'Fear': 0.37}"
7,I actually quite enjoyed this movie,"Pretty much all the reviews were negative so I'm here to shed some light. This movie was made with a 9-12 year old girl audience in mind. Bratz dolls were my favourite when I was little so of course, I bought this movie when it came out. I re-watched it last summer. I still love it. It has the same kind of ridiculousness you'd find in Mean Girls. It's cheesy but that's not necessarily a bad thing. I found the tunes really catchy (It's All About Me being my favourite). Many people are complaining but so what if they're all conventionally pretty, and like make-up and clothes? This is just a cute movie about friendship and standing out and being yourself. How could there be anything wrong with that? I agree many parts were unrealistic (adult freshmen and the whole seating chart thing), but with a young audience in mind (and a nostalgic teen audience), this movie is pretty good. There's really nothing much that's problematic in it. It's already a lot more racially diverse than other teen movie casts.",i actually quite enjoyed this movie,pretty much all reviews were negative so im here shed some light this movie was made with 9 12 year old girl audience mind bratz dolls were my favourite when i was little so course i bought this movie when it came out i re watched it last summer i still love it it has same kind ridiculousness youd find mean girls its cheesy but thats not necessarily bad thing i found tunes really catchy its all about me being my favourite many people are complaining but so what if theyre all conventionally pretty like make up clothes this is just cute movie about friendship standing out being yourself how could there be anything wrong with that i agree many parts were unrealistic adult freshmen whole seating chart thing but with young audience mind nostalgic teen audience this movie is pretty good theres really nothing much thats problematic it its already lot more racially diverse than other teen movie casts,0.5270833333333333,0.12279411764705885,Positive,"{'Happy': 0.31, 'Angry': 0.06, 'Surprise': 0.31, 'Sad': 0.23, 'Fear': 0.09}"
10,This is amazing!!,I don't know why everyone says this is a bad movie but they clearly have no taste. I've been watching this since I was a kid and it has a great story line and the actors are awesome as well!! I love it!,this is amazing,i dont know why everyone says this is bad movie but they clearly have no taste ive been watching this since i was kid it has great story line actors are awesome as well i love it,0.7166666666666667,0.38333333333333336,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.1, 'Fear': 0.1}"
2,thoughts from a grown man about a movie based upon dolls who've spent 100 hours a week at the mall,"Let me be clear here first of all: I'm in my twenties, and I saw Bratz, but not for any kind of simple lewd intentions at gawking at sexy teens in gobs of make-up and slutty clothes. My intentions were a little more pure, on a movie-geek level. Or rather, I went in with the expectation that it *would* be a bad movie, and even one that would go to such ridiculous lengths as to be awesomely bad, to the level of something like Ghost Rider, where taking it seriously would provide brain damage, and by not would give some form of entertainment (especially if you have friends to make jokes with during the movie, which for something like Bratz isn't inappropriate to 'ruin' for the rest of the audience). It's a staggering, warped view of high school life, the connections made in 'cliques' and social order, and about the bonding between girls who can't get enough of talking to each other through their web-cams. It also has enough montages to kill a few horses, Jon Voight with not only a prosthetic nose but a statue of his head with the same fake nose, a fluffy dog who gets beauty treatment along with her owner, a mariachi band that lives at the house of the Hispanic girl of the Bratz (and, for some reason, this doesn't seem too out of place, especially when they show up at talent shows), and...Jesus, did I mention the montages?But for all of this, if one is in the right frame of mind, it's hilarious, even achingly and hysterically, funny material, whether it was intentional or not. Frankly, I'm sure that the filmmakers didn't quite know what they were doing outside of making a big long commercial with the intellectual value of Tropicana fruit punch. But on those levels it almost works at times at looking like an unintentional satire; what is one to make of the symbolism of the heightened security at the high school envisioned by the school emblem and trophies: a hand holding an ax, with little figures holding the axes all over the school in one form or another? It also makes for some ample absurd moments when just seeing the four Bratz having a fight amongst themselves about sticking together or going off into their other interests (naturally, they have only one aptitude a piece, one soccer, one cheer-leading, one science, and one journalism/singing), and as well the diabolical attempts to thwart all of their fun by the nasty, less than one-note daughter of the principle, who goes for a 2nd super sweet sixteen party even after she's turned 16.Maybe if you're already quite a young girl, seeing this movie might not matter too much in the grand scheme of things as far as real psychological impact. But at the same time if one were to look objectively, Bratz's message is a little scrambled and quite off in any positive aspect. Does one stick with friends or act individualist or, um, like, go into another clique or another table? How about staying fashionable, in the glammed up style that the girls go to lengths to do- leading up to, of course, the Bratz mobile that they walk out of to the climactic talent show- even in the face of peril? It really doesn't serve any artistic integral purpose whatsoever either. So, in the end, it works best as a so-bad-it's-still-bad-but-uproarious treat for those who gorge on works that slip by in pop culture that are so sapped with the vigor of commercialism that to read through the mixed messages would take a pot of coffee and a fine-toothed comb. But along the way, it's got montages, and songs, LOTS of songs- which are, as one might imagine who doesn't listen to Radio Disney, the worst trash possible right now. Brattitude!!",thoughts grown man about movie based upon dolls whove spent 100 hours week at mall,let me be clear here first all im my twenties i saw bratz but not any kind simple lewd intentions at gawking at sexy teens gobs make up slutty clothes my intentions were little more pure movie geek level or rather i went with expectation that it would be bad movie even one that would go such ridiculous lengths as be awesomely bad level something like ghost rider where taking it seriously would provide brain damage by not would give some form entertainment especially if you have friends make jokes with during movie which something like bratz isnt inappropriate ruin rest audience its staggering warped view high school life connections made cliques social order about bonding between girls who cant get enough talking each other through their web cams it also has enough montages kill few horses jon voight with not only prosthetic nose but statue his head with same fake nose fluffy dog who gets beauty treatment along with her owner mariachi band that lives at house hispanic girl bratz some reason this doesnt seem too out place especially when they show up at talent shows jesus did i mention montages but all this if one is right frame mind its hilarious even achingly hysterically funny material whether it was intentional or not frankly im sure that filmmakers didnt quite know what they were doing outside making big long commercial with intellectual value tropicana fruit punch but those levels it almost works at times at looking like unintentional satire what is one make symbolism heightened security at high school envisioned by school emblem trophies hand holding ax with little figures holding axes all over school one form or another it also makes some ample absurd moments when just seeing four bratz having fight amongst themselves about sticking together or going off into their other interests naturally they have only one aptitude piece one soccer one cheer leading one science one journalism singing as well diabolical attempts thwart all their fun by nasty less than one note daughter principle who goes 2nd super sweet sixteen party even after shes turned 16 maybe if youre already quite young girl seeing this movie might not matter too much grand scheme things as far as real psychological impact but at same time if one were look objectively bratzs message is little scrambled quite off any positive aspect does one stick with friends or act individualist or um like go into another clique or another table how about staying fashionable glammed up style that girls go lengths do leading up course bratz mobile that they walk out climactic talent show even face peril it really doesnt serve any artistic integral purpose whatsoever either so end it works best as so bad its still bad but uproarious treat those who gorge works that slip by pop culture that are so sapped with vigor commercialism that read through mixed messages would take pot coffee fine toothed comb but along way its got montages songs lots songs which are as one might imagine who doesnt listen radio disney worst trash possible right now brattitude,0.5362562858017402,0.00763364161091435,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.17, 'Sad': 0.23, 'Fear': 0.42}"
10,Guys - sit down.,"So, my friends and I were searching on demand forever and couldn't find anything to watch. I see this film on the list, no idea what this movie is, but knowing well of the dolls. Thought it might be an animated movie or something else to keep us entertained. So I say ""F*** it we're watching Bratz."" and we did. It's a Saturday night and we are juniors in high school - our expectations aren't high.To start off, let me say that I know for a fact that this film was obviously in no way meant to be taken so seriously. I literally made this IMDb account just now simply to write this review for this movie. I see reviews of other members saying things like (a-hem), ""No-one would in their right mind would write, direct and produce this film, under the impression that anyone would actually enjoy it except for toddlers...and, unfortunately, that peculiar clique...young girls who actually assume that they and there friends are actually Bratz."", or ""If you really have to put ""OMG"" as an actual spoken line, then I think it's time to rethink your career"", or even, ""It makes high school seem like a horrible place full of cliques and a mean, prissy, ""boss"" figure that runs the whole school""My God. You people need to relax.We were all laughing hysterically the entire duration of this movie. This is literally one of the most bizarre things I have ever seen. But from the intentional overuse of predictable stereotypes of teen behavior/society in general, mixed with a good helping of cliché 'heartfelt' moments, we couldn't help from being amused.The budget was incredibly high. It is undeniably a very quality-made/high-end film (cinematography-wise). So in that sense its also pleasing to the eye. Very colorful. Lot's to look at.In comparison to a movie like Clueless, of course this film doesn't compare. But it is completely different. This is a movie about BRATZ DOLLS we are talking about. Bratz. As in, the child's toy. Expecting a Bratz movie to accurately depict high school life or common social interaction or whatever else you think it should have, is mad.However I do know that this is a film I will never forget.I will always have these fond memories of watching this astonishing film with my friends on a Saturday night. Being blown away by how outlandish it was, but enjoying it thoroughly as a fun movie night with friends.So let's chill out.",guys sit down,so my friends i were searching demand forever couldnt find anything watch i see this film list no idea what this movie is but knowing well dolls thought it might be animated movie or something else keep us entertained so i say f it were watching bratz we did its saturday night we are juniors high school our expectations arent high start off let me say that i know fact that this film was obviously no way meant be taken so seriously i literally made this imdb account just now simply write this review this movie i see reviews other members saying things like hem no one would their right mind would write direct produce this film under impression that anyone would actually enjoy it except toddlers unfortunately that peculiar clique young girls who actually assume that they there friends are actually bratz or if you really have put omg as actual spoken line then i think its time rethink your career or even it makes high school seem like horrible place full cliques mean prissy boss figure that runs whole school my god you people need relax we were all laughing hysterically entire duration this movie this is literally one most bizarre things i have ever seen but intentional overuse predictable stereotypes teen behavior society general mixed with good helping clich heartfelt moments we couldnt help being amused budget was incredibly high it is undeniably very quality made high end film cinematography wise so that sense its also pleasing eye very colorful lots look at comparison movie like clueless course this film doesnt compare but it is completely different this is movie about bratz dolls we are talking about bratz as childs toy expecting bratz movie accurately depict high school life or common social interaction or whatever else you think it should have is mad however i do know that this is film i will never forget i will always have these fond memories watching this astonishing film with my friends saturday night being blown away by how outlandish it was but enjoying it thoroughly as fun movie night with friends so lets chill out,0.5043536155202821,0.07594797178130512,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.33, 'Sad': 0.16, 'Fear': 0.33}"
3,This didn't get sent DTV why?,"If you missed the ridiculously shallow ego-trip of Hilary Duff ""Material Girls"" last year, don't worry, here's another shallow teen movie for you that steals so much from Mean Girls that it hurts. The movie is based on the ugly dolls with the same name with perfect bodies and lots of money - only in the movie, the blond girl doesn't have any money at all. But don't worry, when she really needs it (for a dress), her friends have gift certificates.Sure enough, no one would like to see a movie with a bunch of fat teens running around acting silly but did the movie have to star four slender girls with attitude problems? Because let's face it, these girls think that appearance is the most important thing in the world. They're seriously not much better than their enemy - Meredith. And by the way - how did the word 'brat' become a positive word? For me it's still a very negative word meaning that your parents have spoiled you.Bratz doesn't want to give its core audience (small girls) a good message. It wants them to realize how important fashion and appearance is - and if you have an ugly outfit on - always make sure to keep a fashion emergency kit with you. Ugh.",this didnt get sent dtv why,if you missed ridiculously shallow ego trip hilary duff material girls last year dont worry heres another shallow teen movie you that steals so much mean girls that it hurts movie is based ugly dolls with same name with perfect bodies lots money only movie blond girl doesnt have any money at all but dont worry when she really needs it dress her friends have gift certificates sure enough no one would like see movie with bunch fat teens running around acting silly but did movie have star four slender girls with attitude problems because lets face it these girls think that appearance is most important thing world theyre seriously not much better than their enemy meredith by way how did word brat become positive word me its still very negative word meaning that your parents have spoiled you bratz doesnt want give its core audience small girls good message it wants them realize how important fashion appearance is if you have ugly outfit always make sure keep fashion emergency kit with you ugh,0.5758959595959595,0.034324242424242424,Positive,"{'Happy': 0.09, 'Angry': 0.11, 'Surprise': 0.29, 'Sad': 0.31, 'Fear': 0.2}"
1,What a way to ruin a birthday party.,"Ugh. The first words that came out of my mouth when I found out my friend's sister wanted to see this for her birthday. First off, I have never bothered to play with Bratz dolls once in my life, nor will I ever. This movie has got to have some of the worst dialog in a movie ever. (Note to script writers: If you really have to put ""OMG"" as an actual spoken line, then I think it's time to rethink your career) After this monstrosity finally ended, I looked to my friend and we looked to her sister, who then informed us that the movie was horrible. In the words of the Bratz Girls: ""Like OMG! No way!"" Seriously, if you want to ruin someone's birthday, then I recommend Bratz: The Movie.",what way ruin birthday party,ugh first words that came out my mouth when i found out my friends sister wanted see this her birthday first off i have never bothered play with bratz dolls once my life nor will i ever this movie has got have some worst dialog movie ever note script writers if you really have put omg as actual spoken line then i think its time rethink your career after this monstrosity finally ended i looked my friend we looked her sister who then informed us that movie was horrible words bratz girls like omg no way seriously if you want ruin someones birthday then i recommend bratz movie,0.5791666666666667,-0.20416666666666666,Negative,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.36, 'Sad': 0.25, 'Fear': 0.25}"
7,It's surprisingly good,"I genuinely think it's a good movie, it's got a below average plot and the acting is from about E-list actors, but there's something really nice about it, it's really quite nostalgic for me and the fact I could relate with this when I was younger, idk but generally it's really appealing and although it's got shitty reviews, it's on Netflix and Lovefilm, won't cost you any extra but I do recommend it. The film in itself is about 4 girls who are completely different however, they still have a close bond, but as they go through school they get split apart by the things they like and within two years, they've almost forgotten each other. They vow to change however it's difficult and that's all I'm really gonna say, it's pretty corny but it's not bad once every so often, eh?",its surprisingly good,i genuinely think its good movie its got below average plot acting is about e list actors but theres something really nice about it its really quite nostalgic me fact i could relate with this when i was younger idk but generally its really appealing although its got shitty reviews its netflix lovefilm wont cost you any extra but i do recommend it film itself is about 4 girls who are completely different however they still have close bond but as they go through school they get split apart by things they like within two years theyve almost forgotten each other they vow change however its difficult thats all im really gonna say its pretty corny but its not bad once every so often eh,0.5134259259259258,0.14861111111111114,Positive,"{'Happy': 0.27, 'Angry': 0.05, 'Surprise': 0.5, 'Sad': 0.09, 'Fear': 0.09}"
8,"come on, ppl!!!","OK, for what this is, a movie for 5 year old little girls, I think it was great. My nieces love The Bratz, and for them, this movie is great. I don't understand why adults are watching this film and commenting badly on it. What were you expecting, an intriguing story, deep, heartfelt emotional scenes, from The Bratz movie??? Come on, you can't judge this like you would a movie for adults. So, for adults who have nothing better to do than watch children's movies and judge them as if they are Ebert, go get a life. For little preschoolers and elementary school girls, this movie rocks. I will give it 8 out of 10 stars. This movie encourages kids to step out and be themselves and to dress how they feel, regardless of what others say AND to set good examples for other people. So, all in all, I'd say this movie succeeded at what it intended to do, be enjoyable for little kids and promote a good message!!! Rock on, Bratz!!!",come ppl,ok what this is movie 5 year old little girls i think it was great my nieces love bratz them this movie is great i dont understand why adults are watching this film commenting badly it what were you expecting intriguing story deep heartfelt emotional scenes bratz movie come you cant judge this like you would movie adults so adults who have nothing better do than watch childrens movies judge them as if they are ebert go get life little preschoolers elementary school girls this movie rocks i will give it 8 out 10 stars this movie encourages kids step out be themselves dress how they feel regardless what others say set good examples other people so all all id say this movie succeeded at what it intended do be enjoyable little kids promote good message rock bratz,0.5785087719298245,0.22697368421052636,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.08, 'Fear': 0.21}"
10,So bad it's good,"This movie is awful. Many of the actor's performances in this movie are cringe-worthy, and make you wonder why they were ever cast in this movie in the first place. The script is corny, the plot follows a cliché formula which appeals to a very specific demographic (5-10 year old girls who play with Bratz dolls). The only redeeming factor in this movie, for me, is the soundtrack, which actually sold a few copies and received many good reviews in contrast to the movie, which was labelled instantly as a shocker.However, I find this movie so bad, the performances so cringe-worthy and the plot so overused that it is actually appealing. The director has directed episodes of a Disney shows like Phil of the Future, That's So Raven and Even Stevens, so it's clear that he is compotent. So bad that it's good.",so bad its good,this movie is awful many actors performances this movie are cringe worthy make you wonder why they were ever cast this movie first place script is corny plot follows clich formula which appeals very specific demographic 5 10 year old girls who play with bratz dolls only redeeming factor this movie me is soundtrack which actually sold few copies received many good reviews contrast movie which was labelled instantly as shocker however i find this movie so bad performances so cringe worthy plot so overused that it is actually appealing director has directed episodes disney shows like phil future thats so raven even stevens so its clear that he is compotent so bad that its good,0.5395833333333333,0.08712121212121214,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.25, 'Fear': 0.17}"
