Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,"""Every man dies, not every man really lives.""","The Academy Award winning war epic Braveheart is an extraordinary film that set a new bar for the genre. The story follows a Scottish peasant named William Wallace who's pushed into leading a rebellion against the tyranny of English rule when his wife is murdered. Starring Mel Gibson, Patrick McGoohan, Sophie Marceau, and Brendan Gleeson, the film has a strong cast that delivers outstanding performances. Additionally, the battle sequences are remarkably gritty and violent, which adds to the authentic tone of the film. And, composer James Horner provides a sweeping and majestic score that's incredibly powerful. A groundbreaking film, Braveheart does an exceptional job at depicting both the valor and the horror of war.",every man dies not every man really lives,academy award winning war epic braveheart is extraordinary film that set new bar genre story follows scottish peasant named william wallace whos pushed into leading rebellion against tyranny english rule when his wife is murdered starring mel gibson patrick mcgoohan sophie marceau brendan gleeson film has strong cast that delivers outstanding performances additionally battle sequences are remarkably gritty violent which adds authentic tone film composer james horner provides sweeping majestic score thats incredibly powerful groundbreaking film braveheart does exceptional job at depicting both valor horror war,0.6856060606060607,0.22074592074592075,Positive,"{'Happy': 0.23, 'Angry': 0.08, 'Surprise': 0.23, 'Sad': 0.08, 'Fear': 0.38}"
10.0,It's a Masterpiece. Best Movie of All Time,"Braveheart is the best movie ever made in history, an absolute sculpted work of art that depicts every emotion of human existence, from suffering, to courage to love, in front of the background of political astuteness and socio-hierarchal analysis.Telling the quasi-true story of one man's conviction and courage to exact vengeance for the killing of his first wife and father at the hands of the ruthless King Edward the II of England, who in turn inspires his small province of Scotland to rebel and go to war in a real fight for freedom and independence, Braveheart is a stunning depiction of the capacity of the human spirit to overcome the odds, defy tyranny, and achieve justice, respect, and dignity against oppression.Although its retractors and critics will dwell and harp on the historical accuracy of some of the movie, particularly what part Robert the Bruce played in real life, there is no denying the true power and emotional influence of this movie. It's understandable, particularly for Europeans, how this could be problematic due to their upbringing in studying history, but the movie is not really about being historically perfect; it's a work of art about things much deeper. A documentary it is not, and it's duplistic and hypocritical for the film's haters to dwell on this minor detail, but perhaps allow historical rewriting to slide and give it a free pass in something like Tarantino's Inglourious Basterds or Once Upon a Time in Hollywood.On this topic, one of the dozens of best parts in the movie is when Robert the Bruce plays an important role in one of the battles, and eventually the movie does come around and get Robert's history back on track with more accuracy as to his part and character in the battle for Scotland's independence.Without trying to get the history perfect, this movie is simply flawless. It's beyond flawless, really. A flawless movie can just be a technical masterpiece with very little power, but the raw power and emotion coming off the screen in practically every single scene in Braveheart is like an inferno.James Horner's score is one of the greatest scores ever for any movie, and it successfully enhances the drama and emotion of each scene, without coming across as manipulative. It fits perfectly into every single scene it is used.There isn't one acting role that is not well-done. This is one of Gibson's best acting roles, and the guy who plays Edward II gives an outstanding performance.This is the greatest epic movie ever created in the history of Hollywood. A few years later, another great modern epic Gladiator came out and drew rightful comparisons to Braveheart, but while Gladiator is a very good movie, it lacks in the emotional depth, power, and ultimate inspiration behind the experience of watching Braveheart.The final Act of Braveheart is one of the most powerful ever put on film. As a first time viewer, you really have no idea where the story is going to go (even as a repeat viewer it still holds weight). To this day, there is still nothing like it. Just when you think it's over or you know how it will end, it just continues to twist and turn, and then it closes with what is probably the best ending of any movie in history.In addition to all of this, the body of Braveheart is loaded with outstanding battle scenes, incredible editing, and great dialogue rooted in inspiration, political strategy, philosophy, and stunning human experience of love, desire, passion, suffering, and identity.When you look at the top rated movies on IMDB, it is laughable that comic book movies and good popcorn-fun movies are actually rated above this. This is without a doubt, hands down, one of the top 25 movies ever made, and in my opinion, it is the #1 best movie of all-time.This movie is a masterpiece.",its masterpiece best movie all time,braveheart is best movie ever made history absolute sculpted work art that depicts every emotion human existence suffering courage love front background political astuteness socio hierarchal analysis telling quasi true story one mans conviction courage exact vengeance killing his first wife father at hands ruthless king edward ii england who turn inspires his small province scotland rebel go war real fight freedom independence braveheart is stunning depiction capacity human spirit overcome odds defy tyranny achieve justice respect dignity against oppression although its retractors critics will dwell harp historical accuracy some movie particularly what part robert bruce played real life there is no denying true power emotional influence this movie its understandable particularly europeans how this could be problematic due their upbringing studying history but movie is not really about being historically perfect its work art about things much deeper documentary it is not its duplistic hypocritical films haters dwell this minor detail but perhaps allow historical rewriting slide give it free pass something like tarantinos inglourious basterds or once upon time hollywood this topic one dozens best parts movie is when robert bruce plays important role one battles eventually movie does come around get roberts history back track with more accuracy as his part character battle scotlands independence without trying get history perfect this movie is simply flawless its beyond flawless really flawless movie can just be technical masterpiece with very little power but raw power emotion coming off screen practically every single scene braveheart is like inferno james horners score is one greatest scores ever any movie it successfully enhances drama emotion each scene without coming across as manipulative it fits perfectly into every single scene it is used there isnt one acting role that is not well done this is one gibsons best acting roles guy who plays edward ii gives outstanding performance this is greatest epic movie ever created history hollywood few years later another great modern epic gladiator came out drew rightful comparisons braveheart but while gladiator is very good movie it lacks emotional depth power ultimate inspiration behind experience watching braveheart final act braveheart is one most powerful ever put film as first time viewer you really have no idea where story is going go even as repeat viewer it still holds weight this day there is still nothing like it just when you think its over or you know how it will end it just continues twist turn then it closes with what is probably best ending any movie history addition all this body braveheart is loaded with outstanding battle scenes incredible editing great dialogue rooted inspiration political strategy philosophy stunning human experience love desire passion suffering identity when you look at top rated movies imdb it is laughable that comic book movies good popcorn fun movies are actually rated above this this is without doubt hands down one top 25 movies ever made my opinion it is best movie all time this movie is masterpiece,0.4971625867357575,0.30848050492867574,Positive,"{'Happy': 0.15, 'Angry': 0.07, 'Surprise': 0.31, 'Sad': 0.18, 'Fear': 0.29}"
10.0,Freeeeeedooooommm....,"It doesn't get any better than this. Mel Gibson didn't just star in this movie but directed and produced. No one will ever forget...Run, and you'll live... at least a while. And dying in your beds, many years from now, would you be willin' to trade ALL the days, from this day to that, for one chance, just one chance, to come back here and tell our enemies that they may take our lives, but they'll never take... OUR FREEDOM!",freeeeeedooooommm,it doesnt get any better than this mel gibson didnt just star this movie but directed produced no one will ever forget run youll live at least while dying your beds many years now would you be willin trade all days this day that one chance just one chance come back here tell our enemies that they may take our lives but theyll never take our freedom,0.38,0.1672727272727273,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.08, 'Fear': 0.5}"
8.0,"Your Heart is Free, Have the Courage to Follow It...","A simple message but even today, over seven hundred years later, there are far too many captive to their cultures, governments and institutions. They take a large slice, sometimes all of the freedoms William Wallace and so many others fought for. Keep up the fight because, like the tide, those oppressive forces wont curtail.A rousing piece of cinema, you can forgive the historical inaccuracies in order for it to tell a hugely engaging and inspirational story full of hope, although it leaves you under no illusion of mans inhumanity to man and the vile and despicable things that can be done in the name of greed, power and control.",your heart is free have courage follow it,simple message but even today over seven hundred years later there are far too many captive their cultures governments institutions they take large slice sometimes all freedoms william wallace so many others fought keep up fight because like tide those oppressive forces wont curtail rousing piece cinema you can forgive historical inaccuracies order it tell hugely engaging inspirational story full hope although it leaves you under no illusion mans inhumanity man vile despicable things that can be done name greed power control,0.5363095238095238,0.2636904761904762,Positive,"{'Happy': 0.11, 'Angry': 0.16, 'Surprise': 0.11, 'Sad': 0.21, 'Fear': 0.42}"
9.0,Stirring drama with a romantic soul,"Everyone knows the film has historical inaccuracies, but that's not the point. This is a grand romantic vision of the fight for freedom and casting off the yoke of oppression. James Horner's wonderfully moving, romantic score adds tremendously to the film. The most moving scenes for me are the interactions with the women whom Wallace loved, starting with a wonderful scene of the young Murron (the expression on the face of the little girl playing her is movie perfection) presenting him with a flower at his father's funeral, and moving on to their adult courtship and far too brief marriage, and ending with his interaction with the exquisitely beautiful Sophie Marceau as Isabelle. It's the stuff that movie dreams are make of. Unfortunately, it appears that Hollywood is no longer interested in depicting men and women interacting with each other this way. What a pity.",stirring drama with romantic soul,everyone knows film has historical inaccuracies but thats not point this is grand romantic vision fight freedom casting off yoke oppression james horners wonderfully moving romantic score adds tremendously film most moving scenes me are interactions with women whom wallace loved starting with wonderful scene young murron expression face little girl playing her is movie perfection presenting him with flower at his fathers funeral moving their adult courtship far too brief marriage ending with his interaction with exquisitely beautiful sophie marceau as isabelle its stuff that movie dreams are make unfortunately it appears that hollywood is no longer interested depicting men women interacting with each other this way what pity,0.5956349206349206,0.21527777777777773,Positive,"{'Happy': 0.22, 'Angry': 0.07, 'Surprise': 0.26, 'Sad': 0.3, 'Fear': 0.15}"
9.0,EPIC,"Braveheart depicts the life of Wallace leading the Scots in the First War of Scottish Independence against King Edward I of England. The movie boasts of a massive cast, a great characters' development, beautiful locations, epic battle scenes and a wonderful soundtrack. It's an exhilarating, gripping, touching and epic experience that you won't miss.Rating: 8,7.",epic,braveheart depicts life wallace leading scots first war scottish independence against king edward i england movie boasts massive cast great characters development beautiful locations epic battle scenes wonderful soundtrack its exhilarating gripping touching epic experience that you wont miss rating 8 7,0.6984848484848485,0.4454545454545454,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.22}"
10.0,One of the best modern movies of time,"I'm talking just in the 90's. The 90's were a great time for the movies, we had so many memorable one's and there is no doubt that ""Braveheart"" is one of them. ""Braveheart"" is one of my favorite movies that never gets old. Despite it's long running time, I will watch this movie any day.Mel Gibson has come so far in the movie business and he not only stars but directed Braveheart. He did a terrific job and deserves a lot of credit for this remarkable film. Despite it not being totally accurate with history, anyone can enjoy ""Braveheart"". Based on the life story of William Wallace, a town peasant who just wants to live in peace and harmony with a wife and children. But when the British king of England, Longshanks, is sick of Scotland ""being full of Scots"", he comes up with a way of bringing them more into a British land by ""breeding them out"". Promising any British soldier to a Scotish bride on her wedding night before her husband can have her. Wallace won't hear of it and marries his love in secret. When a British soldier notices his wife and attempts to rape her, Wallace comes in and saves her causing a riot in their village and he thinks he's got her safe when he sends her away from the soldiers, but they catch her and kill her right in front of her family.Wallace has had it and wants war for not only the murder of his wife and love, he wants freedom for Scotland and will shed blood to do it. ""What will you do without freedom?!"", this is one of the most memorable speeches of all cinematic history during their first major battle with the British. Through countless battles, friends, traitors, and bloodshed, all Wallace just wishes for is freedom. As Robert the Bruce says to his father ""They look at him and fight by his side."" He describes Wallace's bravery and what everyone feels in wanting to be him. I love Robert's last line ""You have bled with Wallace! Now bleed with me!"" and the army stands and continues their struggling battles for freedom! This is such an inspirational movie with a powerful message ""Every man dies, but not every man really lives"" to a tearful ending that will make anyone shed a tear to a terrific heartfelt sound track, it's no wonder this won best picture with other Oscars. This is a movie, a terrific one that everyone should enjoy and watch.10/10",one best modern movies time,im talking just 90s 90s were great time movies we had so many memorable ones there is no doubt that braveheart is one them braveheart is one my favorite movies that never gets old despite its long running time i will watch this movie any day mel gibson has come so far movie business he not only stars but directed braveheart he did terrific job deserves lot credit this remarkable film despite it not being totally accurate with history anyone can enjoy braveheart based life story william wallace town peasant who just wants live peace harmony with wife children but when british king england longshanks is sick scotland being full scots he comes up with way bringing them more into british land by breeding them out promising any british soldier scotish bride her wedding night before her husband can have her wallace wont hear it marries his love secret when british soldier notices his wife attempts rape her wallace comes saves her causing riot their village he thinks hes got her safe when he sends her away soldiers but they catch her kill her right front her family wallace has had it wants war not only murder his wife love he wants freedom scotland will shed blood do it what will you do without freedom this is one most memorable speeches all cinematic history during their first major battle with british through countless battles friends traitors bloodshed all wallace just wishes is freedom as robert bruce says his father they look at him fight by his side he describes wallaces bravery what everyone feels wanting be him i love roberts last line you have bled with wallace now bleed with me army stands continues their struggling battles freedom this is such inspirational movie with powerful message every man dies but not every man really lives tearful ending that will make anyone shed tear terrific heartfelt sound track its no wonder this won best picture with other oscars this is movie terrific one that everyone should enjoy watch 10 10,0.5279075091575092,0.23356331168831174,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.28, 'Sad': 0.16, 'Fear': 0.33}"
10.0,Great movie!!!!,"The story of William Wallace, who led the Scots in a struggle for freedom from England's brutal rule, ""Braveheart"" evokes old-fashioned movie epics. Mr. Gibson's stroke of brilliance is to revel in those epic qualities -- tragic romance and unbounded heroism, gorgeous photography and a cast of thousands --and add a swift contemporary kick. ""Braveheart"" is also an explosive action movie. The logical comparison is not with the pallid ""Rob Roy"" but with a ""Die Hard"" film. The medieval Scots use spears, swords, axes and giant rocks, and they use them with a vengeance.They get quite bloody in the process, too. At the start of the film, the child William (sweetly played by James Robinson, who looks remarkably like Mr. Gibson) wanders into a hut where his clansmen have gone to make peace with the English. The boy sees their bodies hanging from the rafters, establishing right away that this movie is about a savage time.Despite that, the early episodes are more lyrical than brutal. Wallace is sent abroad to be educated, returns as Mel Gibson and falls in love with a beautiful woman named Murron (Catherine McCormack). Wallace and Murron are married in secret to elude an English law allowing a nobleman to rape a Scottish bride on her wedding night. The romantic marriage ceremony, at night in a clearing in the woods, is so evocative of ""Romeo and Juliet"" that there must be trouble ahead.",great movie,story william wallace who led scots struggle freedom englands brutal rule braveheart evokes old fashioned movie epics mr gibsons stroke brilliance is revel those epic qualities tragic romance unbounded heroism gorgeous photography cast thousands add swift contemporary kick braveheart is also explosive action movie logical comparison is not with pallid rob roy but with die hard film medieval scots use spears swords axes giant rocks they use them with vengeance they get quite bloody process too at start film child william sweetly played by james robinson who looks remarkably like mr gibson wanders into hut where his clansmen have gone make peace with english boy sees their bodies hanging rafters establishing right away that this movie is about savage time despite that early episodes are more lyrical than brutal wallace is sent abroad be educated returns as mel gibson falls love with beautiful woman named murron catherine mccormack wallace murron are married secret elude english law allowing nobleman rape scottish bride her wedding night romantic marriage ceremony at night clearing woods is so evocative romeo juliet that there must be trouble ahead,0.5164462081128748,0.05965608465608465,Positive,"{'Happy': 0.19, 'Angry': 0.19, 'Surprise': 0.13, 'Sad': 0.19, 'Fear': 0.29}"
8.0,"A Memorable, Powerful, Oscar Winner!","An incredibly interesting story and many moments of rich dialogue Braveheart was film that not only kept you entertained but kept you feeling for the characters (This is mainly due to the directing and acting from Mel Gibson). The film really showed the true evil and good of the world (Which some films of good vs. Bad struggle to do). I don't think they ported the battles or William Wallace very well (It wasn't historically accurate). I think their use of humor in some scenes just felt out of place and while many people are against violence in movies I think for this film they easily could've had more to emphasize the brutality of the story. The score was fantastic one of the best I've heard it was fitting to the film it had a calming, Celtic and warming film yet you knew it was brutal. Hearing the score in my opinion was like looking at a battlefield after the battle it's quiet and its peaceful yet you know what really happened there. Overall it's a great film that I think most people should see the plot is great though some of it isn't true, the score is great and the ending is great (See for yourself).",memorable powerful oscar winner,incredibly interesting story many moments rich dialogue braveheart was film that not only kept you entertained but kept you feeling characters this is mainly due directing acting mel gibson film really showed true evil good world which some films good vs bad struggle do i dont think they ported battles or william wallace very well it wasnt historically accurate i think their use humor some scenes just felt out place while many people are against violence movies i think this film they easily couldve had more emphasize brutality story score was fantastic one best ive heard it was fitting film it had calming celtic warming film yet you knew it was brutal hearing score my opinion was like looking at battlefield after battle its quiet its peaceful yet you know what really happened there overall its great film that i think most people should see plot is great though some it isnt true score is great ending is great see yourself,0.5906565656565657,0.2987373737373738,Positive,"{'Happy': 0.31, 'Angry': 0.14, 'Surprise': 0.19, 'Sad': 0.11, 'Fear': 0.25}"
9.0,"Brutal, But Epic Masterpiece","This is an emotional, involving and ultimately draining film. By the time you are done, you are spent. What makes this movie so intense is the passion of the main character: Scottish rebel leader William Wallace, played by Mel Gibson, who put his heart and soul into this performance. Add to that a powerful story, great cinematography, excellent action scenes and even some humor....and you have a classic film.Patrick McGoohan shines as the evil English king and Sophie Marceau, Agnus McFadyen and Catherine McCormack all contribute. I'm sorry the latter had such a short role as her beauty captivated me very much. All the characters in Wallace's ""army"" are fun to watch, too.For those a bit queasy with bloody violence, this is not a movie for you. There are lots of gory action scenes that includes limbs being hacked off. This is not a film for the feint of heart. The only objection I have to the violence is the ending. Seeing a man tortured is not my idea of entertainment. I now fast-forward through that part but otherwise thoroughly enjoy the rest of the three-hour film, an ""epic"" adventure, if there ever was one.The most memorable scene in the film, for me, was not any of the action scenes but just the absolutely stunned look on Gibson's face when he discovers his trusted ally was anything but that. To discover that the key people in the country that you are fighting for are not backing you must have been indescribably crushing to, although since this is the movies I don't know how accurate this was to the real story. Whatever the accuracy, it's a great film and belongs in anyone's collection of epic-adventure masterpieces.The Blu-Ray transfer, by the way, is spectacular.",brutal but epic masterpiece,this is emotional involving ultimately draining film by time you are done you are spent what makes this movie so intense is passion main character scottish rebel leader william wallace played by mel gibson who put his heart soul into this performance add that powerful story great cinematography excellent action scenes even some humor you have classic film patrick mcgoohan shines as evil english king sophie marceau agnus mcfadyen catherine mccormack all contribute im sorry latter had such short role as her beauty captivated me very much all characters wallaces army are fun watch too those bit queasy with bloody violence this is not movie you there are lots gory action scenes that includes limbs being hacked off this is not film feint heart only objection i have violence is ending seeing man tortured is not my idea entertainment i now fast forward through that part but otherwise thoroughly enjoy rest three hour film epic adventure if there ever was one most memorable scene film me was not any action scenes but just absolutely stunned look gibsons face when he discovers his trusted ally was anything but that discover that key people country that you are fighting are not backing you must have been indescribably crushing although since this is movies i dont know how accurate this was real story whatever accuracy its great film belongs anyones collection epic adventure masterpieces blu ray transfer by way is spectacular,0.595877192982456,0.11100877192982457,Positive,"{'Happy': 0.17, 'Angry': 0.09, 'Surprise': 0.17, 'Sad': 0.24, 'Fear': 0.33}"
