Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,Did Bruce have to pay his taxes?,"We all need to do stuff sometimes because we have to. I'm thinking one of several things are going on here. 1. Bruce needed money to pay his taxes. 2. He needed a loss to write off. 3. He owed someone. 4. He did someone a favour. 5. He lost a bet. 6. He signed this contract when he was drunk. 7. Someone held a gun to his head. It has to be one of those because there is no way, Bruce ""action star"" Willis, would look at this script and say..""Hey! this is the best, can't wait to put my name on it!"" What an absolute load of cow manure! Bruce should buy up all copies, burn them; put a full page ad in the Times apologizing to his fans, friends, fellow actors, family and unborn grandchildren as well as give us all refunds! Utter garbage!!!!... sorry Bruce, I'm only telling you this because I've loved you since Moonlighting... I'm also probably not saying anything you didn't already know about this movie.",did bruce have pay his taxes,we all need do stuff sometimes because we have im thinking one several things are going here 1 bruce needed money pay his taxes 2 he needed loss write off 3 he owed someone 4 he did someone favour 5 he lost bet 6 he signed this contract when he was drunk 7 someone held gun his head it has be one those because there is no way bruce action star willis would look at this script say hey this is best cant wait put my name it what absolute load cow manure bruce should buy up all copies burn them put full page ad times apologizing his fans friends fellow actors family unborn grandchildren as well as give us all refunds utter garbage sorry bruce im only telling you this because ive loved you since moonlighting im also probably not saying anything you didnt already know about this movie,0.6196969696969696,0.1106060606060606,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.26, 'Fear': 0.35}"
1.0,What has Bruce Willis done?,"This movie is utter garbage. The acting is bad. Even Bruce Willis is acting bad? The settings look like something made in home class for a 6th grader. Its boring, Its lame, its a complete waste of time. How did they get Bruce Willis to ""act"" in this crap? He was one of the greatest action heroes. He was John Mclaine in Die hard. And now this??? WFT. Alien, wich was made 41 years before this movie, is a 1000 times better in all aspects. Avoid this crap. And Bruce...why???",what has bruce willis done,this movie is utter garbage acting is bad even bruce willis is acting bad settings look like something made home class 6th grader its boring its lame its complete waste time how did they get bruce willis act this crap he was one greatest action heroes he was john mclaine die hard now this wft alien wich was made 41 years before this movie is 1000 times better all aspects avoid this crap bruce why,0.5609375000000001,-0.22135416666666663,Negative,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.46, 'Fear': 0.15}"
4.0,2nd attempt to review,"Have no clue why my first review was removed, I only said Willis didn't do his best in this movie, his acting was bad, but he knew this very well, the decors in the movie were cheap and not convincing, the cgi was made by amateurs, the story very shallow, that this movie is not worth anyone's time to watch. Still true.",2nd attempt review,have no clue why my first review was removed i only said willis didnt do his best this movie his acting was bad but he knew this very well decors movie were cheap not convincing cgi was made by amateurs story very shallow that this movie is not worth anyones time watch still true,0.47500000000000003,0.05555555555555558,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.62, 'Sad': 0.25, 'Fear': 0.12}"
3.0,What is this?,"How come they got all these actors together and paid them? Probably thats where most of the movie budget went...B- movie with A-list actors. The sets in the movie are hilarious, the dialogue is just not right, the editing seems incomplete and the camera shots are weird enough and repetitive. It 's a 3-star movie just because the story is not that bad and literally 3 scenes of the movie are good. But i can't recommend this to anyone with a taste in sci-fi. Watch Pandorum instead or re-watch another sci-fi and avoid the disappointment. 3/10",what is this,how come they got all these actors together paid them probably thats where most movie budget went b movie with list actors sets movie are hilarious dialogue is just not right editing seems incomplete camera shots are weird enough repetitive it s 3 star movie just because story is not that bad literally 3 scenes movie are good but i cant recommend this anyone with taste sci fi watch pandorum instead or re watch another sci fi avoid disappointment 3 10,0.6058201058201058,-0.05476190476190474,Negative,"{'Happy': 0.23, 'Angry': 0.08, 'Surprise': 0.15, 'Sad': 0.23, 'Fear': 0.31}"
3.0,So bad it's bad,"These guys definitely know how to put a trailer together shame the full movie is a pile of garbage, Thomas Jane blew himself up just to get out of this snorefest, dear old Bruce needs a decent director to get him to show any acting talent, shame there wasn't one on hand. Standard sci-fi drivel from the eighties, cheap effects, cheap cgi, looks like they managed to find some left over sets from the original alien movie to use, nothing new, nothing interesting. Produced by the same pair that wrote this tripe, this is not their 1st writing or producing credit, isn't the point of doing something to get better at it, if you're not learning from the previous bad work & are just going to keep writing & producing more garbage then the only thing you're going to get better at is creating more garbage, at least strive to make the movie as good as the trailer.",so bad its bad,these guys definitely know how put trailer together shame full movie is pile garbage thomas jane blew himself up just get out this snorefest dear old bruce needs decent director get him show any acting talent shame there wasnt one hand standard sci fi drivel eighties cheap effects cheap cgi looks like they managed find some left over sets original alien movie use nothing new nothing interesting produced by same pair that wrote this tripe this is not their 1st writing or producing credit isnt point doing something get better at it if youre not learning previous bad work are just going keep writing producing more garbage then only thing youre going get better at is creating more garbage at least strive make movie as good as trailer,0.4825151515151515,0.09245454545454546,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.35, 'Sad': 0.19, 'Fear': 0.35}"
,Unwatchable,"Usually I give very bad movies at least a 2, but for this....thing... I will grant myself the luxury to go for one star only. The cinematography, lighting and editing make this one a chore to sit through. The story makes no sense, the characters are uninteresting and the whole thing seems to have been put together in After Effects by a child.Willis is sleepwalking, as has become his standard MO.",unwatchable,usually i give very bad movies at least 2 but this thing i will grant myself luxury go one star only cinematography lighting editing make this one chore sit through story makes no sense characters are uninteresting whole thing seems have been put together after effects by child willis is sleepwalking as has become his standard mo,0.4861111111111111,-0.20999999999999996,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.45, 'Fear': 0.27}"
2.0,what happened here ?,"I can't beleive both Bruce Willis and Thomas Jane would involve in such a horrible movie ,not only the movie tried to be an aliens movie copy but it has the worst acting and visual effects ever knowing that the producers tried to relay on the reputation of two big actors whom in this movie look more like ghosts of themselves ,they did not even try or give any effort to show any acting skills so bad i regret watching it .",what happened here,i cant beleive both bruce willis thomas jane would involve such horrible movie not only movie tried be aliens movie copy but it has worst acting visual effects ever knowing that producers tried relay reputation two big actors whom this movie look more like ghosts themselves they did not even try or give any effort show any acting skills so bad i regret watching it,0.4766666666666667,-0.21999999999999997,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.5}"
2.0,Is Bruce Willis that hard up for cash?,"""Die Hard in Space"" this is not. Truly a terrible, terrible movie. I'm embarrassed for Bruce",is bruce willis that hard up cash,die hard space this is not truly terrible terrible movie im embarrassed bruce,0.7708333333333333,-0.6458333333333334,Negative,"{'Happy': 0.0, 'Angry': 0.4, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.6}"
2.0,Oooft! This is special,"2 minutes in, something felt wrong, I'd pressed play because I like Sci-fi and I like Bruce. At 24 minutes I came here to make sure I wasn't alone in thinking, what the actual F.I think the BBC must have found the old sets for Red Dwarf and sold them to these guys because everything looks super cheap and the special effects are comical. The plot makes no sense, the characters make no sense, the acting is insanely bad. As a little side side point, why the hell would you have a cleaning product on a spaceship that if not diluted can literally eat through metal?Sometimes really bad can still be fun, this is not one of those times.",oooft this is special,2 minutes something felt wrong id pressed play because i like sci fi i like bruce at 24 minutes i came here make sure i wasnt alone thinking what actual f i think bbc must have found old sets red dwarf sold them these guys because everything looks super cheap special effects are comical plot makes no sense characters make no sense acting is insanely bad as little side side point why hell would you have cleaning product spaceship that if not diluted can literally eat through metal sometimes really bad can still be fun this is not one those times,0.5087830687830688,0.05067460317460322,Positive,"{'Happy': 0.04, 'Angry': 0.04, 'Surprise': 0.32, 'Sad': 0.32, 'Fear': 0.28}"
2.0,3rd Rate Garbage Fest,"Anti-Life is mostly a complete waste of time, space and film. In the 2240s a space ship leaves a plague infested earth carrying the future inhabitants of new earth. 180 days from their destination a skeleton crew is running the ship while the passengers are in hyper sleep. Soon the crew members start dying and killing eachother and the survivors end up battling an alien life form that overtakes and imitates its host and is trying to kill them all.The movie is badly filmed with terrible sound and poor visual effects which are similar to what bad sci-fi movies had in the late 1980s or early 1990s. The editing is choppy as well. The movie basically borrows ideas from The Thing, Alien, Pandorum and many other superior films and copies some elements poorly. Actors like Bruce Willis, Rachel Nichols, Collin Mullvey and Thomas Jane among others have little to do and have terrible dialogue and story to contend with.There are a few chuckles but other than that there are hardly any redeeming points to this. Honestly, Leprechaun 4: In Space was more entertaining and better and it was made in 1996.",3rd rate garbage fest,anti life is mostly complete waste time space film 2240s space ship leaves plague infested earth carrying future inhabitants new earth 180 days their destination skeleton crew is running ship while passengers are hyper sleep soon crew members start dying killing eachother survivors end up battling alien life form that overtakes imitates its host is trying kill them all movie is badly filmed with terrible sound poor visual effects which are similar what bad sci fi movies had late 1980s or early 1990s editing is choppy as well movie basically borrows ideas thing alien pandorum many other superior films copies some elements poorly actors like bruce willis rachel nichols collin mullvey thomas jane among others have little do have terrible dialogue story contend with there are few chuckles but other than that there are hardly any redeeming points this honestly leprechaun 4 space was more entertaining better it was made 1996,0.49369501466275656,-0.0578323558162268,Negative,"{'Happy': 0.04, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.19, 'Fear': 0.38}"
