Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Capernaum,"Zain Al Rafeea is a terrific revelation in this powerful and profoundly devastating look at the miserable existence of a poor child who, like many others, deserved so much more from life - and I'm pretty sure his eyes of infinite sadness will haunt me for the rest of my life after this.",capernaum,zain al rafeea is terrific revelation this powerful profoundly devastating look at miserable existence poor child who like many others deserved so much more life im pretty sure his eyes infinite sadness will haunt me rest my life after this,0.8320987654320988,-0.038888888888888896,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.5}"
8.0,Well made but very difficult to watch....and not a film for everyone.,"""Capernaum"" is a very unpleasant film that deals with very unpleasant situations and people. Because of that, it's not a film for kids to watch and I don't recommend anyone suffering from depression watch the movie....it's very hard to take and is brutal in its realism.The film is about a 12 year-old named Zain who lives in Lebanon and who physically looks like a 9 or 10 year-old...possibly because of malnutrition. The film begins with the boy in prison for stabbing someone and his parents have been called back to court because the boy is now suing them for bringing him life. The film then is a series of flashbacks which show how neglected the boy was. It became so bad that eventually he is taken in by an illegal alien and he takes care of her baby while she goes out looking for any work. Later, when she disappears, Zain continues caring for the baby and trying to work at the same time. It's a miserable existence and you know eventually it will end in violence.This film was made with a minimum of dialog and a plot that is hard to see without the story tearing at your heart. It's one of the more unpleasant movies I've seen in some time and implies many things that aren't overtly stated, such as pedophilia and other ghastly crimes. Hard to take...so much so that although it's an excellent character study, it's the sort of film few would really want to watch in the first place.",well made but very difficult watch not film everyone,capernaum is very unpleasant film that deals with very unpleasant situations people because that its not film kids watch i dont recommend anyone suffering depression watch movie its very hard take is brutal its realism film is about 12 year old named zain who lives lebanon who physically looks like 9 or 10 year old possibly because malnutrition film begins with boy prison stabbing someone his parents have been called back court because boy is now suing them bringing him life film then is series flashbacks which show how neglected boy was it became so bad that eventually he is taken by illegal alien he takes care her baby while she goes out looking any work later when she disappears zain continues caring baby trying work at same time its miserable existence you know eventually it will end violence this film was made with minimum dialog plot that is hard see without story tearing at your heart its one more unpleasant movies ive seen some time implies many things that arent overtly stated such as pedophilia other ghastly crimes hard take so much so that although its excellent character study its sort film few would really want watch first place,0.5458743842364531,-0.18456896551724142,Negative,"{'Happy': 0.05, 'Angry': 0.1, 'Surprise': 0.23, 'Sad': 0.33, 'Fear': 0.28}"
9.0,I Also Accuse My Parents,"Watch this and you'll never feel poor again. You might even appreciate every single thing you own.Wow, this movie set in the slums of Beirut, Lebanon, did a 180 on me. The entire movie revolves around the main character, child, Zain - maybe 12, maybe 13, but wise beyond twice his maybe age. At first, I didn't care for him. He seemed always angry, cross, mean and rude. I just accepted this is the character the movie's about.Well, then the 180 degrees SLOOOOWLY, but surely kicks in. It takes a lot of patience, attention and definitely reading to see why he's like what he is and it may break your heart.Zain has an infinite number of brothers and sisters and some ruthless parents. The one Zain loves and cares for the most, his 11-year-old sister, Sahar and is being courted by a full-grown man. Just as Zain is about to run away to save Sahar, she is, in fact, sold/bartered to the man to be his 11-year-old wife. Unable to save her Zain just leaves.That's all just the setup, as not the movie kicks in with his journey, observations and inability to take care of a baby he ends up with. And there's much more. Believe me when I tell you I've only told you 10% of the plot just so you know what you're getting into.Wow, this movie was heartbreaking, uplifting from the boy's plight and scary this could/probably does happen. That 180 turnaround I spoke about: well, I ended up loving this kid. Pitying him, definitely, but he's more MAN at 12 or 13 then most adult men are.Highly recommend this movie. Use this as birth control. No one else seems to be getting the message.***Final thoughts: Beirut, Lebanon's been in the news lately from their nuclear-sized blast. While this isn't a pretty movie by ANY means, at least it's an uplifting tale of someone speaking out against the wrongs of some its people. Wish people would hear this message, but sadly, unlikely.",i also accuse my parents,watch this youll never feel poor again you might even appreciate every single thing you own wow this movie set slums beirut lebanon did 180 me entire movie revolves around main character child zain maybe 12 maybe 13 but wise beyond twice his maybe age at first i didnt care him he seemed always angry cross mean rude i just accepted this is character movies about well then 180 degrees sloooowly but surely kicks it takes lot patience attention definitely reading see why hes like what he is it may break your heart zain has infinite number brothers sisters some ruthless parents one zain loves cares most his 11 year old sister sahar is being courted by full grown man just as zain is about run away save sahar she is fact sold bartered man be his 11 year old wife unable save her zain just leaves thats all just setup as not movie kicks with his journey observations inability take care baby he ends up with theres much more believe me when i tell you ive only told you 10 plot just so you know what youre getting into wow this movie was heartbreaking uplifting boys plight scary this could probably does happen that 180 turnaround i spoke about well i ended up loving this kid pitying him definitely but hes more man at 12 or 13 then most adult men are highly recommend this movie use this as birth control no one else seems be getting message final thoughts beirut lebanons been news lately their nuclear sized blast while this isnt pretty movie by any means at least its uplifting tale someone speaking out against wrongs some its people wish people would hear this message but sadly unlikely,0.6263526077097505,0.03979251700680272,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.41}"
,The Best Foreign Film Ever Made?,"I have taken so long to review this film because it has had so much of an emotional effect on me. It was also the first film I saw at AFI Festival and since I was genuinely shocked at how bad the subsequent films I saw there, I decided to get those out of the way first.Well, here I am, giving my review on the most heart-wrenching yet most beautiful film I have ever seen. The ""acting"" was absolutely extraordinary (standouts are from a young eleven year old boy and a one year old baby). The score from the director's husband happens to be one of my favorite pieces of music from the decade. The cinematography manages to take some of the most disgusting places in the world and manages to give it beauty, especially through the gorgeous landscape and aerial shots.Coming from a Lebanese female director, Capernaum is a film that discusses a variety of issues, but I will try to make it as simple as I can. In the present day, our main character, eleven year old Zain is a boy currently serving a sentence for stabbing a man. Through certain circumstances, Zain is able to take a break from jail to partake in a court case against his parents, where he is attempting to sue them for ever having him in the first place and to urge them to never have kids again. Through a series of flashbacks, we get to see Zain suffering in his large family of about seven to eight, including sisters of all ages, and two horribly misguided parents. The parents struggle financially, forcing their children to work long hours and never partake in school. The parents also abuse Zain for being extremely rebellious in nature (think of Rebel Without a Cause) and they starve him a lot. There is a lot of family issues here, but over the course of the film, Zain experiences a journey of a lifetime, running away from home and trying to make a life for himself, living life on the streets. Regardless of the amount of suffering Zain goes through, he delivers an utmost love and care for everyone around him.Capernaum is an extraordinary film that won my heart in every way. It depicts the harsh realities of the children living in squalor in Lebanon, and perhaps in all of the Middle East. Filmed as a narrative, Capernaum actually uses real life Syrian refugees and kids who were all going through extremely similar circumstances to the ones found in this film. The director and her husband were their following the screening, and they really emphasized how they spent 100s of hours in Lebanon, ensuring that they experienced the squalor themselves and the interviewed hundreds of children to get an idea of what life is like there.The common theme: ""I wish I never lived"" or ""I wish my parents never had me.""The director took those two most common statements and developed a powerful film that gives humanity to these children who need it most. Perhaps the themes of love and compassion amidst squalor and pain could be a guiding light to all the children who are suffering in the foster care system or are getting abused here in the United States as well. I just hope Capernaum spreads awareness to all people throughout the world that child abuse is still rampant throughout the world, and all children want to be is loved. All people want to be is accepted and have a home. All people just wanted to be treated like a *queues Tommy Wiseau's voice* human being.Honestly, I am proud to say this is currently my favorite film of all time. At two and a half hours long, I was begging for more at the end. Bring lots of tissues, but also do not be afraid to let loose and laugh a little.Regardless of all the positive reviews for Roma, I am going to be rooting for Capernaum to win Best Foreign Film at the Academy Awards. This experience changed my life, and I hope it does for you as well.Fun Fact: The original cut was ten hours long.Another fun fact: This received a 15 minute standing ovation at Cannes Film Festival, and it was well deserved.",best foreign film ever made,i have taken so long review this film because it has had so much emotional effect me it was also first film i saw at afi festival since i was genuinely shocked at how bad subsequent films i saw there i decided get those out way first well here i am giving my review most heart wrenching yet most beautiful film i have ever seen acting was absolutely extraordinary standouts are young eleven year old boy one year old baby score directors husband happens be one my favorite pieces music decade cinematography manages take some most disgusting places world manages give it beauty especially through gorgeous landscape aerial shots coming lebanese female director capernaum is film that discusses variety issues but i will try make it as simple as i can present day our main character eleven year old zain is boy currently serving sentence stabbing man through certain circumstances zain is able take break jail partake court case against his parents where he is attempting sue them ever having him first place urge them never have kids again through series flashbacks we get see zain suffering his large family about seven eight including sisters all ages two horribly misguided parents parents struggle financially forcing their children work long hours never partake school parents also abuse zain being extremely rebellious nature think rebel without cause they starve him lot there is lot family issues here but over course film zain experiences journey lifetime running away home trying make life himself living life streets regardless amount suffering zain goes through he delivers utmost love care everyone around him capernaum is extraordinary film that won my heart every way it depicts harsh realities children living squalor lebanon perhaps all middle east filmed as narrative capernaum actually uses real life syrian refugees kids who were all going through extremely similar circumstances ones found this film director her husband were their following screening they really emphasized how they spent 100s hours lebanon ensuring that they experienced squalor themselves interviewed hundreds children get idea what life is like there common theme i wish i never lived or i wish my parents never had me director took those two most common statements developed powerful film that gives humanity these children who need it most perhaps themes love compassion amidst squalor pain could be guiding light all children who are suffering foster care system or are getting abused here united states as well i just hope capernaum spreads awareness all people throughout world that child abuse is still rampant throughout world all children want be is loved all people want be is accepted have home all people just wanted be treated like queues tommy wiseaus voice human being honestly i am proud say this is currently my favorite film all time at two half hours long i was begging more at end bring lots tissues but also do not be afraid let loose laugh little regardless all positive reviews roma i am going be rooting capernaum win best foreign film at academy awards this experience changed my life i hope it does you as well fun fact original cut was ten hours long another fun fact this received 15 minute standing ovation at cannes film festival it was well deserved,0.46922287669040924,0.13841672396867205,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.23, 'Sad': 0.19, 'Fear': 0.4}"
10.0,Made a grumpy old white guy cry,This movie was almost unwatchable for me at time because of its heartbreaking depiction of life on the streets of a big city. The scenes with the 12 year pulling around the infant in a big pot as he sought to provide for them both made me cry. There's so much pain in the world!,made grumpy old white guy cry,this movie was almost unwatchable me at time because its heartbreaking depiction life streets big city scenes with 12 year pulling around infant big pot as he sought provide them both made me cry theres so much pain world,0.12000000000000002,0.06000000000000001,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}"
10.0,A Masterpiece,"Capharnaum - The MovieNadine Labaki always astonishes me with her work and this is actually my first time ever to write a review about a movie. But this... this is a masterpiece...Capharnaum managed to stir my emotions, it awakened my mind to things we see on a daily basis but decide to ignore. It was a big slap in the face, to be honest. As I watched, I hated myself for having food and shelter. I hated the fact that I paid 14.000 LBPs for my own pleasure and enjoyment to watch a movie. I hated the fact that I bought a $1 worth of pop corn for $7. Why do I get to enjoy a three-hour movie whilst others need that money for a three-day food supply? For those who still haven't seen it, it's a story of a supposedly 12-year old boy who gets sued for stabbing a ""son of a bitch"" (as the boy, Zain describes him). It depicts the life of a typical Lebanese poor family, only if the word poor was enough. It portrays how they eat, how they dress, how they talk and behave and what they do for a living. It was so REAL that I thought it was actual footage from Zain's life. The movie also displays the life of an Ethiopian woman who has no permit and who was knocked up by some guy and gave birth to a baby she can barely support. Oh, speaking of the Ethiopian woman; I was meaning to mention, as soon as the movie starts, we see Zain at court and then we also see the Ethiopian, Tegist with tears in her eyes while waiting for Internal Security to call out her name. At this point I'm really curious as of what this is going to be about and some guy behind me makes a ""funny"" joke about the scene saying ""oh, so the Ethiopian is the star of the movie?""... I don't know why but I thought I'd mention that because it left me in shock... we'll get back to that later. Capharnaum addresses poverty, illiteracy, ignorance, cruelty, racism, unawareness and child abuse. On the other hand, it also addresses kindness, innocence, forgiveness and faith. It is just amazing how Zain worked so damn hard to support Tigest's baby all alone while his parents didn't have a care in the world for their own children. A 12-year old boy taking care of a baby was just so heartwarming and beautiful. Zain's personality is amazingly complex and in him one can touch awareness and illiteracy at the same time. Innocence and violence. Politeness and insensitivity. Good and bad. Love and hate. He had a vision, he had a message. His message was bigger than governments and countries. It was bigger than you and me. It was a message that we decide to laugh about instead of help spread. The message is simplified in one word: AWARENESS.About the guy I mentioned earlier, lets hope he has learned something from the movie...Lets make this movie our prayer before going to bed every night... Then, we could try and change the world to the better.Nadine Labaki keeps on dazzling us with her great work... I can't wait for the next one. We, as Lebanese, are so proud of you. And the whole world should be. Much love.",masterpiece,capharnaum movienadine labaki always astonishes me with her work this is actually my first time ever write review about movie but this this is masterpiece capharnaum managed stir my emotions it awakened my mind things we see daily basis but decide ignore it was big slap face be honest as i watched i hated myself having food shelter i hated fact that i paid 14 000 lbps my own pleasure enjoyment watch movie i hated fact that i bought 1 worth pop corn 7 why do i get enjoy three hour movie whilst others need that money three day food supply those who still havent seen it its story supposedly 12 year old boy who gets sued stabbing son bitch as boy zain describes him it depicts life typical lebanese poor family only if word poor was enough it portrays how they eat how they dress how they talk behave what they do living it was so real that i thought it was actual footage zains life movie also displays life ethiopian woman who has no permit who was knocked up by some guy gave birth baby she can barely support oh speaking ethiopian woman i was meaning mention as soon as movie starts we see zain at court then we also see ethiopian tegist with tears her eyes while waiting internal security call out her name at this point im really curious as what this is going be about some guy behind me makes funny joke about scene saying oh so ethiopian is star movie i dont know why but i thought id mention that because it left me shock well get back that later capharnaum addresses poverty illiteracy ignorance cruelty racism unawareness child abuse other hand it also addresses kindness innocence forgiveness faith it is just amazing how zain worked so damn hard support tigests baby all alone while his parents didnt have care world their own children 12 year old boy taking care baby was just so heartwarming beautiful zains personality is amazingly complex him one can touch awareness illiteracy at same time innocence violence politeness insensitivity good bad love hate he had vision he had message his message was bigger than governments countries it was bigger than you me it was message that we decide laugh about instead help spread message is simplified one word awareness about guy i mentioned earlier lets hope he has learned something movie lets make this movie our prayer before going bed every night then we could try change world better nadine labaki keeps dazzling us with her great work i cant wait next one we as lebanese are so proud you whole world should be much love,0.5118333333333333,0.059333333333333335,Positive,"{'Happy': 0.12, 'Angry': 0.05, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.29}"
8.0,Two great boys!,"OMG. Zain and Yonas are movie miracles. The director succeeded in crafting them into natural actors. And the story ..... flowing like a strong current that carries you helplessly you can't do nothing but let go of everything. And Zain, how his energy infiltrated my being, I realized that I smiled when he also finally smiled at the end, that through the movie I became him. He is magic!",two great boys,omg zain yonas are movie miracles director succeeded crafting them into natural actors story flowing like strong current that carries you helplessly you cant do nothing but let go everything zain how his energy infiltrated my being i realized that i smiled when he also finally smiled at end that through movie i became him he is magic,0.5261904761904762,0.4333333333333333,Positive,"{'Happy': 0.36, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.18, 'Fear': 0.09}"
10.0,I bet that more people live like this than we realize,"We've heard a lot about refugees in the past few years. There have been images of people trying to cross the Mediterranean Sea, or pouring into Lebanon and Jordan, or other things like that. The reality on the ground for them is horrible beyond belief. This topic gets addressed in Nadine Labaki's ""Capharnaüm"" (also rendered Kafarnaum, called ""Capernaum"" in English). It concerns Zain, a Lebanese boy who befriends Yonas, an Ethiopian immigrant boy.Shot in a naturalistic style, the movie offers a rough look at their existences. Zain comes from a dilapidated part of the city but has run away from his parents, while Yonas lives with his mother in a cramped apartment. People flee their homes in search of a better and safer life, and then terrible things happen to them in their new homes. It's a heartbreaking movie, and I wholeheartedly recommend it. Let's hope that Labaki keeps making these sorts of movies.No telling how many people this happens to worldwide (and it looks likely to increase).",i bet that more people live like this than we realize,weve heard lot about refugees past few years there have been images people trying cross mediterranean sea or pouring into lebanon jordan or other things like that reality ground them is horrible beyond belief this topic gets addressed nadine labakis capharna m also rendered kafarnaum called capernaum english it concerns zain lebanese boy who befriends yonas ethiopian immigrant boy shot naturalistic style movie offers rough look at their existences zain comes dilapidated part city but has run away his parents while yonas lives with his mother cramped apartment people flee their homes search better safer life then terrible things happen them their new homes its heartbreaking movie i wholeheartedly recommend it lets hope that labaki keeps making these sorts movies no telling how many people this happens worldwide it looks likely increase,0.44872159090909086,-0.02514204545454545,Negative,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.19, 'Sad': 0.35, 'Fear': 0.38}"
10.0,It's not a movie! It's a Masterpiece!,"This is what you call art. This is not just a movie, this is a story of the hardships of life told from the eyes of a beautiful boy. Nadine Labaki out did herself by portraying the reality that most countries are going through in this time and age.Do not believe the negative reviews. This is not at all about refugees, they do not even cover this topic in the movie. This is about survival in the toughest and most heartbreaking of situations.This movie should be on everybody's watch list. It is tough at times, but that's life these days.Watch it for the sake of the children like Zain.",its not movie its masterpiece,this is what you call art this is not just movie this is story hardships life told eyes beautiful boy nadine labaki out did herself by portraying reality that most countries are going through this time age do not believe negative reviews this is not at all about refugees they do not even cover this topic movie this is about survival toughest most heartbreaking situations this movie should be everybodys watch list it is tough at times but thats life these days watch it sake children like zain,0.6466666666666667,0.23222222222222225,Positive,"{'Happy': 0.13, 'Angry': 0.13, 'Surprise': 0.2, 'Sad': 0.13, 'Fear': 0.4}"
9.0,!,"To all the people who said this is a shameful representations of Syrians, you would know if you paid attention to the movie that the boy snd his family are actually Lebanese. Stop trying to bring attention to issues that are not even there in the first place. The movie is beautifully filmed and Labaki managed to capture so many issues present in our society (I say this as a Lebanese myself) in such a brilliant way.",,all people who said this is shameful representations syrians you would know if you paid attention movie that boy snd his family are actually lebanese stop trying bring attention issues that are not even there first place movie is beautifully filmed labaki managed capture so many issues present our society i say this as lebanese myself such brilliant way,0.4904761904761905,0.35714285714285715,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.15, 'Fear': 0.31}"
