Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
3.0,Not quite #63 bad.,"""Captain America"" (1990) was just added to IMDB's infamous Bottom 100 List....the one hundred worst rated major release films of all time. This is unusual, as this film did not (until now) have enough votes to make it elegible to join the ranks of awfulness. However, with the release of the latest Captain America film (""Avengers: Endgame""), apparently increased attention has been on this poor movie...hence it's inclusion. However, there is one huge problem with this....while ""Captain America"" is clearly a bad film, it is ridiculous to consider it's among the 100 worst ever. I wouldn't even place it in the bottom 1000....let alone 100.The first portion of the movie is actually pretty good. You get the creation of the Captain as well as Red Skull....and up until Captain goes into suspended animation in the ice of Alaska, I thought I'd probably give the film a 4 or 5...maybe even a 6. But the final portion was just terrible. First, the Captain was saddled with a stupid sidekick who looked like an extra from the film ""Valley Girl"". She was weak and silly...and totally out of place. Second, the climactic final battle was terrible. If Captain America is a superhero....why was he so wimpy...not only in the final battle but all the ones leading up to it?! Third, while he tried hard, Matt Salinger was a dull Captain America...very dull. Add to this, fourth, a weak script with weak dialog. Overall, one of the worst superhero films I've seen...but nothing like truly godawful films like ""Plan 9 From Outer Space"" or ""Robot Monster"" (which, oddly, didn't even make the list).So would I recommend this movie? Probably not...unless you are intensely curious or like seeing all of the Bottom100 films.",not quite bad,captain america 1990 was just added imdbs infamous bottom 100 list one hundred worst rated major release films all time this is unusual as this film did not until now have enough votes make it elegible join ranks awfulness however with release latest captain america film avengers endgame apparently increased attention has been this poor movie hence its inclusion however there is one huge problem with this while captain america is clearly bad film it is ridiculous consider its among 100 worst ever i wouldnt even place it bottom 1000 let alone 100 first portion movie is actually pretty good you get creation captain as well as red skull up until captain goes into suspended animation ice alaska i thought id probably give film 4 or 5 maybe even 6 but final portion was just terrible first captain was saddled with stupid sidekick who looked like extra film valley girl she was weak silly totally out place second climactic final battle was terrible if captain america is superhero why was he so wimpy not only final battle but all ones leading up it third while he tried hard matt salinger was dull captain america very dull add this fourth weak script with weak dialog overall one worst superhero films ive seen but nothing like truly godawful films like plan 9 outer space or robot monster which oddly didnt even make list so would i recommend this movie probably not unless you are intensely curious or like seeing all bottom100 films,0.6558943089430894,-0.21036585365853658,Negative,"{'Happy': 0.04, 'Angry': 0.04, 'Surprise': 0.21, 'Sad': 0.36, 'Fear': 0.36}"
7.0,I loved it,"I cannot say I had no expectations from this movie, because I did. I expected it to be unwatchable crap that I'll give up on after ten minutes or so. I mean, it has rating 3,3/10 and it's bashed all over the internet. What can one expect from superhero B production of 80's anyway... But I was in for a pleasant surprise.The movie is shot at Adriatic sea, which guarantees a beautiful scenery, and chases in Dubrovnik are a real joy. I was worried because it's produced in Yugoslavia in cooperation with Jadran Film, but from the result I suppose 21th Century Production and Marvel Entertainment had most of the work done. Movie is pretty much faithful to comics and Captain America's costume is just as it should be. Acting is decent, action is few, but when it comes it's well directed, and movie has nice comic-book atmosphere. There's no nudity, vulgarity or explicit violence, except for gunfights and common fist-fighting, so it's whole family friendly. There are few nicely done emotional scenes and just a bit of humor. I enjoyed it very much.7,5/10",i loved it,i cannot say i had no expectations this movie because i did i expected it be unwatchable crap that ill give up after ten minutes or so i mean it has rating 3 3 10 its bashed all over internet what can one expect superhero b production 80s anyway but i was pleasant surprise movie is shot at adriatic sea which guarantees beautiful scenery chases dubrovnik are real joy i was worried because its produced yugoslavia cooperation with jadran film but result i suppose 21th century production marvel entertainment had most work done movie is pretty much faithful comics captain americas costume is just as it should be acting is decent action is few but when it comes its well directed movie has nice comic book atmosphere theres no nudity vulgarity or explicit violence except gunfights common fist fighting so its whole family friendly there are few nicely done emotional scenes just bit humor i enjoyed it very much 7 5 10,0.5434935897435896,0.18740384615384614,Positive,"{'Happy': 0.28, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.31}"
4.0,Bad but not irredeemable,"Steve Rodgers becomes Captain America and must fight against the Nazi super soldier Red Skull. Captain America is however frozen in time until he awakens in 1990. Red Skull still wishes to fulfil his plan of world domination by becoming the president of the United States. I went into this movie expecting to hate it since that seems to be the general consensus. What I saw was bad on many levels but not what I would call irredeemable.On the positive side the production isn't too bad. The editing is passable except for those awful montage sequences. The cinematography and lighting is not what I would call inept. The acting is okay but the terrible writing makes for some awful line deliveries.However, this movie has quite possibly the worst superhero costume of all time, rivalled by the motorcycle helmet wearing Captain America from the 1979 TV movie. He seems to have prosthetic ears attached to his head and the wings makes his appearance seem comical. The tone is also all over the place. You have Nazis and Germans executing people and at the same time you have a running gag where Captain America pretends to be car sick and hijacks cars. It's bad in a cheesy way. I would say the Fantastic Four 1994 movie was miles better in being faithful to the source material while having an extremely low budget. However, as I said, I did find some little things enjoyable like the action, special effects and even production qualities. I think you will either hate it or find it as a harmless bit of cheesy entertainment and fun.",bad but not irredeemable,steve rodgers becomes captain america must fight against nazi super soldier red skull captain america is however frozen time until he awakens 1990 red skull still wishes fulfil his plan world domination by becoming president united states i went into this movie expecting hate it since that seems be general consensus what i saw was bad many levels but not what i would call irredeemable positive side production isnt too bad editing is passable except those awful montage sequences cinematography lighting is not what i would call inept acting is okay but terrible writing makes some awful line deliveries however this movie has quite possibly worst superhero costume all time rivalled by motorcycle helmet wearing captain america 1979 tv movie he seems have prosthetic ears attached his head wings makes his appearance seem comical tone is also all over place you have nazis germans executing people at same time you have running gag where captain america pretends be car sick hijacks cars its bad cheesy way i would say fantastic four 1994 movie was miles better being faithful source material while having extremely low budget however as i said i did find some little things enjoyable like action special effects even production qualities i think you will either hate it or find it as harmless bit cheesy entertainment fun,0.6150737283549784,-0.1745011498917749,Negative,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.37, 'Fear': 0.22}"
,Salinger treats it seriously,"Unfortunately, this is not the Marvel movie that will endear you to comic book movie adaptations. However, I think Salinger gives an honest performance as the title character, even if he spends more time out of costume than in. For whatever reason, the Red Skull is made Italian, rather than German, but it didn't bother me as much as it did some other viewers. For being a B-movie, Captain America is tolerable. Watch it first, before you make any judgements. You might be able to suspend your disbelief long enough to enjoy it.",salinger treats it seriously,unfortunately this is not marvel movie that will endear you comic book movie adaptations however i think salinger gives honest performance as title character even if he spends more time out costume than whatever reason red skull is made italian rather than german but it didnt bother me as much as it did some other viewers being b movie captain america is tolerable watch it first before you make any judgements you might be able suspend your disbelief long enough enjoy it,0.4166666666666667,0.14464285714285713,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.29, 'Sad': 0.19, 'Fear': 0.33}"
5.0,"Uninspired, but watchable.","After the Nazis have developed a process to turn an innocent boy into a super human entity, the Americans likewise experiment on average American youth Steve Rogers (Matt Salinger), who has polio. Steve develops incredible strength and resilience, is given a costume and shield, and is rechristened Captain America. The Cap fails spectacularly in his first mission, which is vanquishing Red Skull (Scott Paulin), the adult version of that Nazi experiment. He ends up frozen in Arctic ice for 47 years, reemerging in 1990 to do battle with the Red Skull once again.It may be that this initial feature film vehicle for the legendary comic book hero (after two TV movies in the 1970s) will appeal more to casual viewers than longtime fans of the character. As it is, it lacks the spit and polish of major American product, and it will come off as cheesy and tacky to many viewers. Also, the scenario requires Steve to spend more time in civvies than in costume.But this viewer didn't find it completely worthless; it's not without some amusements. Like the sight of the President (Ronny Cox), who'd glimpsed the Cap as a child, engaging in fisticuffs with various bad guys. Paulin is not a truly great villain, but he's a mild hoot anyway, and his minions include some very sexy (if inept) female assassins, including Red Skulls' own daughter (Francesca Neri). The action scenes won't blow the audience away, but they're adequate.The main draw is a remarkably sincere Salinger, who makes for an appealing hero. Kim Gillingham, who gets an ""introducing"" credit, plays both Caps' lady friend and her daughter, and comes off better as the older lady. A variety of familiar faces - Ned Beatty, Michael Nouri, Darren McGavin, Melinda Dillon, Bill Mumy - are kind of wasted here, although McGavin at least gets a chance to be somewhat funny (it'd be a shame if he didn't).Kids will likely be less judgmental than their adult counterparts, and might have some fun with it.Five out of 10.",uninspired but watchable,after nazis have developed process turn innocent boy into super human entity americans likewise experiment average american youth steve rogers matt salinger who has polio steve develops incredible strength resilience is given costume shield is rechristened captain america cap fails spectacularly his first mission which is vanquishing red skull scott paulin adult version that nazi experiment he ends up frozen arctic ice 47 years reemerging 1990 do battle with red skull once again it may be that this initial feature film vehicle legendary comic book hero after two tv movies 1970s will appeal more casual viewers than longtime fans character as it is it lacks spit polish major american product it will come off as cheesy tacky many viewers also scenario requires steve spend more time civvies than costume but this viewer didnt find it completely worthless its not without some amusements like sight president ronny cox whod glimpsed cap as child engaging fisticuffs with various bad guys paulin is not truly great villain but hes mild hoot anyway his minions include some very sexy if inept female assassins including red skulls own daughter francesca neri action scenes wont blow audience away but theyre adequate main draw is remarkably sincere salinger who makes appealing hero kim gillingham who gets introducing credit plays both caps lady friend her daughter comes off better as older lady variety familiar faces ned beatty michael nouri darren mcgavin melinda dillon bill mumy are kind wasted here although mcgavin at least gets chance be somewhat funny itd be shame if he didnt kids will likely be less judgmental than their adult counterparts might have some fun with it five out 10,0.48833333333333323,0.1590833333333333,Positive,"{'Happy': 0.11, 'Angry': 0.18, 'Surprise': 0.23, 'Sad': 0.09, 'Fear': 0.39}"
3.0,"Not a Good Film, But Enjoyable in its Badness","Steve Rogers is turned into a super soldier to fight the Red Skull during World War II. He loses and is frozen for fifty years. When he comes back, he finds the Red Skull has assassinated Kennedy, King and has become one of the world's most powerful supervillains and businessmen. Can he stop the Skull now? This film is fun if you like seeing a guy in a bad costume run around and throw a shield, while a man who looks and acts like Jimmy Carter is a crime-fighting president (and protector of the environment). It's light on plot, light on character development and even the action comes off as more cheesy than anything. But to be honest with you, this was more fun than almost any of the modern comic book films. (For example, ""Batman Begins"" is a phenomenal film -- but it's not as easy to sit back and laugh at with a beer.) Why is the Red Skull Italian? As I recall from the comics, he's quite German, and there was no real reason to change this for the movie. I mean, if you're fighting the Nazis, isn't it just more logical to have the villain be German? Where did he get a daughter from? This remains unanswered. Other things seemed fishy... and even the decoder ring, which was important to the story, never paid off as fully as I would have liked (and what exactly did it decode?).If you get a copy of this movie, keep your expectations low and your supply of Busch Light very high. Not a good movie, unless you love ripping apart such films. I do, so I loved it. But I wouldn't foist it anyone... but maybe the old ""Punisher"" film...",not good film but enjoyable its badness,steve rogers is turned into super soldier fight red skull during world war ii he loses is frozen fifty years when he comes back he finds red skull has assassinated kennedy king has become one worlds most powerful supervillains businessmen can he stop skull now this film is fun if you like seeing guy bad costume run around throw shield while man who looks acts like jimmy carter is crime fighting president protector environment its light plot light character development even action comes off as more cheesy than anything but be honest with you this was more fun than almost any modern comic book films example batman begins is phenomenal film but its not as easy sit back laugh at with beer why is red skull italian as i recall comics hes quite german there was no real reason change this movie i mean if youre fighting nazis isnt it just more logical have villain be german where did he get daughter this remains unanswered other things seemed fishy even decoder ring which was important story never paid off as fully as i would have liked what exactly did it decode if you get copy this movie keep your expectations low your supply busch light very high not good movie unless you love ripping apart such films i do so i loved it but i wouldnt foist it anyone but maybe old punisher film,0.4283226950354611,0.15291843971631208,Positive,"{'Happy': 0.16, 'Angry': 0.08, 'Surprise': 0.16, 'Sad': 0.32, 'Fear': 0.27}"
4.0,No. it's so bad it's good. enjoy it to laugh at it.,"I'm confirming it is lame. It suffers from the same issues as the 1994 Fantastic Four, but unlike FF I can give it a, it's so bad it's good stamp (And I'm very happy about that).Captain America is a pretty easy comic to adapt to the big screen, it's just an action adventure war movie about a guy who sometimes wears a mask. They did take some liberties with the character that make my Fanboy radar point up, but it's superficial.Steve Rodgers is now a boy from Southern California who has polio and offered himself up to the super soldier experiment headed up by a woman who escaped from the Nazis (The idea of a woman creating the star spangled avenger was cool, not enough female brainiacs in the comic book industry ).Shortly after Steve Rodgers becomes Captain America the doctor is killed making Steve and The Red Skull the only one's like them. After stopping the Red Skull from destroying the White House he is trapped in Ice for 60 years and wakes up having to stop the Red Skull, who has formed an underground crime unit that basically is Hydra without saying it,again. Proving how well Cap works as an action movie, Matt Salinger who plays Steve Rogers, wearing some sort of padding to make it look like he's got more than he does, barely wears the cartoonish suit they made for him (of course wearing the uniform makes him Captain America, duh)It's got that 80s swagger to it. The Red Skull has his daughter do all the heavy lifting for most of the movie with her small army of rich Nazi brats who drive the fastest cars and wear the hottest fashions but more than capable with the guns.They took some liberties with The Red Skull's origin too, I think this was to save money and film the entire movie in Italy (I'm also guessing that certain places in Italy look more like Southern California than New York City)I am being harsh on the movie because I've grown to like the character more now than I ever did when I was a kid and saw this, but like I expressed before, the movie does have a so bad it's food quality that makes it real enjoyable. http://cinemagardens.com",no its so bad its good enjoy it laugh at it,im confirming it is lame it suffers same issues as 1994 fantastic four but unlike ff i can give it its so bad its good stamp im very happy about that captain america is pretty easy comic adapt big screen its just action adventure war movie about guy who sometimes wears mask they did take some liberties with character that make my fanboy radar point up but its superficial steve rodgers is now boy southern california who has polio offered himself up super soldier experiment headed up by woman who escaped nazis idea woman creating star spangled avenger was cool not enough female brainiacs comic book industry shortly after steve rodgers becomes captain america doctor is killed making steve red skull only ones like them after stopping red skull destroying white house he is trapped ice 60 years wakes up having stop red skull who has formed underground crime unit that basically is hydra without saying it again proving how well cap works as action movie matt salinger who plays steve rogers wearing some sort padding make it look like hes got more than he does barely wears cartoonish suit they made him course wearing uniform makes him captain america duh its got that 80s swagger it red skull has his daughter do all heavy lifting most movie with her small army rich nazi brats who drive fastest cars wear hottest fashions but more than capable with guns they took some liberties with red skulls origin too i think this was save money film entire movie italy im also guessing that certain places italy look more like southern california than new york city i am being harsh movie because ive grown like character more now than i ever did when i was kid saw this but like i expressed before movie does have so bad its food quality that makes it real enjoyable,0.42678155178155175,0.09696761571761572,Positive,"{'Happy': 0.13, 'Angry': 0.1, 'Surprise': 0.13, 'Sad': 0.21, 'Fear': 0.42}"
5.0,This 1990 version of Captain America can be pretty entertaining despite some noticeable flaws,"Okay, so after watching the Republic serial from 1944 in which Captain America's alter ego was Grant Gardner, district attorney, and then two TV movie versions starring Reb Brown as Steve Rogers, occasional painter, I finally watched this 1990 version from Menahem Golan's 21st Century Film Corporation starring Matt Salinger as the super soldier from World War II that gets frozen for several decades before being thawed out. I liked the beginning where we find out about both his and The Red Skull's (Scott Paulin) early lives and there was a quite entertaining fight between them during the WWII sequence though it would have been nice to know what dastardly thing the Skull did that lead to that battle. But then we're abruptly taken to the present day to when Cap finds himself waking up to and it takes a little time to once again find some momentum. That said, having Ronny Cox and Ned Beatty as a couple of old pals now serving as president and reporter, respectively, was a nice treat for anyone who remembers them from Deliverance not to mention Beatty for his previous superhero encounter in the first two Christopher Reeve Superman movies. And how awesome it was to finally see the CA costume done right this time with both the wings on the cowl and the shield just the right size and color. Even more so was all the hot women that abounded though I have to wonder how any of them could realistically be daughters of the disfigured Red Skull! So in summation, this filmed version of Captain America may be a little on the underwhelming side concerning story logic but the action for the most part makes it worth it for at least one viewing though I probably wouldn't mind watching it again. Can't wait for Chris Evans in Captain America: The First Avenger later this summer.",this 1990 version captain america can be pretty entertaining despite some noticeable flaws,okay so after watching republic serial 1944 which captain americas alter ego was grant gardner district attorney then two tv movie versions starring reb brown as steve rogers occasional painter i finally watched this 1990 version menahem golans 21st century film corporation starring matt salinger as super soldier world war ii that gets frozen several decades before being thawed out i liked beginning where we find out about both his red skulls scott paulin early lives there was quite entertaining fight between them during wwii sequence though it would have been nice know what dastardly thing skull did that lead that battle but then were abruptly taken present day when cap finds himself waking up it takes little time once again find some momentum that said having ronny cox ned beatty as couple old pals now serving as president reporter respectively was nice treat anyone who remembers them deliverance not mention beatty his previous superhero encounter first two christopher reeve superman movies how awesome it was finally see ca costume done right this time with both wings cowl shield just right size color even more so was all hot women that abounded though i have wonder how any them could realistically be daughters disfigured red skull so summation this filmed version captain america may be little underwhelming side concerning story logic but action most part makes it worth it at least one viewing though i probably wouldnt mind watching it again cant wait chris evans captain america first avenger later this summer,0.4698979591836734,0.19537414965986394,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.35, 'Sad': 0.22, 'Fear': 0.26}"
5.0,Lacked the Special Effects of the More Modern Captain America Films,"This movie begins in Italy just prior to World War 2 with government soldiers breaking into a house to kidnap a young boy and then murdering his family in the process. The reason for the kidnapping is that they need a test subject for an experiment which might allow them to create super-soldiers for their army and dreams of conquest. Yet, even though the experiment is a complete success, the doctor involved in it becomes horrified by the ruthlessness of those she works with and manages to escape to the United States with all of the secrets required to continue her work in her head. She then continues her research in the United States which eventually concludes with the making of a super-hero named ""Captain America"" (Matt Salinger) to counter the super-villain created in Italy who goes by the name of the ""Red Skull"" (Scott Paulin). Unfortunately, her success is short-lived as she is assassinated by Nazi agents and the secrets she had dies with her shortly afterward. But with war breaking out both Captain America and the Red Skull soon clash with each other and the story becomes even more pronounced after that. Now rather than reveal any more I will just say this the particular movie lacked the special effects of the more modern Captain America films which clearly resulted in an inferior picture by comparison. Even so, I didn't think the movie was necessarily bad as it still managed to entertain to a certain degree. That being said, I have rated this movie as about average and recommend it to those who enjoy films of this type.",lacked special effects more modern captain america films,this movie begins italy just prior world war 2 with government soldiers breaking into house kidnap young boy then murdering his family process reason kidnapping is that they need test subject experiment which might allow them create super soldiers their army dreams conquest yet even though experiment is complete success doctor involved it becomes horrified by ruthlessness those she works with manages escape united states with all secrets required continue her work her head she then continues her research united states which eventually concludes with making super hero named captain america matt salinger counter super villain created italy who goes by name red skull scott paulin unfortunately her success is short lived as she is assassinated by nazi agents secrets she had dies with her shortly afterward but with war breaking out both captain america red skull soon clash with each other story becomes even more pronounced after that now rather than reveal any more i will just say this particular movie lacked special effects more modern captain america films which clearly resulted inferior picture by comparison even so i didnt think movie was necessarily bad as it still managed entertain certain degree that being said i have rated this movie as about average recommend it those who enjoy films this type,0.4036535303776683,0.1432266009852217,Positive,"{'Happy': 0.02, 'Angry': 0.11, 'Surprise': 0.32, 'Sad': 0.23, 'Fear': 0.32}"
10.0,Captain America!,"Captain America is good movie. All of the cast was good and the characters were used properly. It was funny that Melinda Dillon and Darren McGavin were in another film together. Matt Salinger played Captain America very good and Scott Paulin played the Red Skull excellently! It was unusual to see Ronny Cox as the president and Ned Beatty in yet another superhero movie! Very good directing by one of the most underrated directors Albert Pyun. I really don't know what is so bad about this movie. Sure its not like the current Marvel movies but this was made a long while ago. If you like Marvel Comics, Captain America, and the cast mentioned above then I recommend you watch this movie!",captain america,captain america is good movie all cast was good characters were used properly it was funny that melinda dillon darren mcgavin were another film together matt salinger played captain america very good scott paulin played red skull excellently it was unusual see ronny cox as president ned beatty yet another superhero movie very good directing by one most underrated directors albert pyun i really dont know what is so bad about this movie sure its not like current marvel movies but this was made long while ago if you like marvel comics captain america cast mentioned above then i recommend you watch this movie,0.5634722222222223,0.32,Positive,"{'Happy': 0.26, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.09, 'Fear': 0.26}"
