Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One of the best Hindi movies that I have seen.,"I saw Lage Raho Munnabhai last night and it's still in my head today. I always go to watch sequels with a bit of trepidation but Mr. Hirani soon eased my fears with a wonderfully thought out comedy that is funny and has a message which he puts across without being preachy. Most of the same cast back again with only Sanjay Dutt and Arshad Warsi reprising their roles and playing the same characters again. This movie cannot be considered as a sequel as it is more of an episode in Munnabhai's life not unlike James Bond films or Charlie Chaplin's tramp.Sanjay Dutt is just perfect as Munnabhai... i cannot imagine anyone else playing this role. It was said that Munnabhai was first offered to Shahrukh Khan, while i do like the King Khan i feel he would have gone overboard with this role. Sanju baba plays with a lot of conviction and i believe his true character and honesty shine throughout the film. He handles the comedic and emotional scenes with ease.... so naturally. Good rapport with the Bapu character.Arshad Warsi a.k.a Sarkeshwar a.k.a Circuit was also brilliant ...excellent chemistry with sanju and had some nice sequences. I liked him since the time he appeared in Tere Mere Sapne... and is coming into his own as a Bollywood star in his own right.Vidya Balan was bright and chirpy... great teeth! Only disappointment was that Boman Irani did not have the same impact as he did with Dr. Astana but still a great performance. He makes the audience like and empathise with him even though he could be considered the villain of the piece.Direction was excellent, song sequences were handled beautifully with most of the songs being situational all well shot especially 'Samjho ho hi gaya' & 'Pal Pal Har pal'. This movie just proves that Bollywood movies can be just as good and entertaining as Hollywood while still giving us all the masala.We should all follow ""Gandhigiri"" but first let's support this great movie by praising it and WATCH IT IN THE CINEMA!!!!!!!!!!!!10/10.",one best hindi movies that i have seen,i saw lage raho munnabhai last night its still my head today i always go watch sequels with bit trepidation but mr hirani soon eased my fears with wonderfully thought out comedy that is funny has message which he puts across without being preachy most same cast back again with only sanjay dutt arshad warsi reprising their roles playing same characters again this movie cannot be considered as sequel as it is more episode munnabhais life not unlike james bond films or charlie chaplins tramp sanjay dutt is just perfect as munnabhai i cannot imagine anyone else playing this role it was said that munnabhai was first offered shahrukh khan while i do like king khan i feel he would have gone overboard with this role sanju baba plays with lot conviction i believe his true character honesty shine throughout film he handles comedic emotional scenes with ease so naturally good rapport with bapu character arshad warsi k sarkeshwar k circuit was also brilliant excellent chemistry with sanju had some nice sequences i liked him since time he appeared tere mere sapne is coming into his own as bollywood star his own right vidya balan was bright chirpy great teeth only disappointment was that boman irani did not have same impact as he did with dr astana but still great performance he makes audience like empathise with him even though he could be considered villain piece direction was excellent song sequences were handled beautifully with most songs being situational all well shot especially samjho ho hi gaya pal pal har pal this movie just proves that bollywood movies can be just as good entertaining as hollywood while still giving us all masala we should all follow gandhigiri but first lets support this great movie by praising it watch it cinema 10 10,0.6211011904761905,0.3946428571428572,Positive,"{'Happy': 0.2, 'Angry': 0.02, 'Surprise': 0.16, 'Sad': 0.3, 'Fear': 0.33}"
10.0,Munna Meets Mahatma Gandhi!!,"The second innings of Munna Bhai and Ciruit in 'Lage Raho Munna Bhai' is one cracker of an innings! It's better than the first one, extracts more laughs and punches and the characters have a more humane temperament that explores the other side of 'bhaigiri'. The plot is truly the winning card of the movie, not to discount the effective casting, dialogues that are a mix of funny and introspective, a rib-tickling screenplay, enjoyable situational songs and a first rate direction. Sanjay Dutt as Munna Bhai and Arshad Warsi as Circuit wear their characters as their second skins, more comfortably, more snuggly and are more lovable than their avatars in the earlier Munna Bhai MBBS. Ditto for Boman Irani who dons the role of Lucky Singh, a sardarji builder; a meanie with a heart. Vidya Balan also puts her best foot forward as a radio jockey who makes Dutt's heart goes hmmm... Dia Mirza and Jimmy Shergill justify their cameo appearances. A surprise element during the climax is a thoughtful addition and cheers the audience, specially the female audience threefold. Though the film is not a sequel to Munna Bhai MBBS, Lage Raho Munna Bhai retains the characters of Munna and Circuit in the lead roles and their nontoxic, almost childlike idiosyncrasies. This idea also gives an unlimited scope for possibilities the hit pair of Munna and Circuit can indulge into in future. Lage Raho Munna Bhai is a story about Murli Prasad Sharma aka Munna who meets Mahatma Gandhi and undergoes a heart transformation. For Munna, breaking bones and abducting people at the snap of his fingers was easier than the courage it required to walk on the path of non-violence and truth. Hesitatingly and unwittingly he takes the road less traveled, which is thorny and full of obstacles in return for self revelation and a guilt-free conscience that fears nothing and no-one. The 'Gandhivad' is turned into 'Gandhigiri' by self proclaimed Professor Murli Prasad Sharma for its practical implementation in the present day, without sounding preachy or heavy-duty. There is a similar 'offering the other cheek' when someone slaps you, confessions of truth and also the 'satyagrah' for a bunch of old people who lose their house called 'Second Innings' to the manipulative and greedy Lucky Singh. Sad but true that our nation won freedom but lost its people, Murli tries to revive faith, courage, truth and justice in people from different walks of life. With his new found ideology or the chemical 'locha' in his brain, he triumphs over the cynics or the lost souls and also wins the love of his life. An interesting observation can be made between Rakeysh Om Prakash Mehra's 'Rang De Basanti' and Rajkumar Hirani's 'Lage Raho Munna Bhai', the fact that though the theme of both films is more or less the same, the approach to resolving the conflict is in complete contrast with each other, like two ends of the same thread. Yet both films succeed in their own unique ways and deliberate the depths of human emotions and reflections in an identical manner. In the end, hats off to Vidhu Vinod Chopra for producing a film that is a wholesome entertainer and succeeds in giving a heartfelt message in the times where films are made merely to fulfill the whims and fancies of egoistic filmmakers.-Nidhi Kathuria",munna meets mahatma gandhi,second innings munna bhai ciruit lage raho munna bhai is one cracker innings its better than first one extracts more laughs punches characters have more humane temperament that explores other side bhaigiri plot is truly winning card movie not discount effective casting dialogues that are mix funny introspective rib tickling screenplay enjoyable situational songs first rate direction sanjay dutt as munna bhai arshad warsi as circuit wear their characters as their second skins more comfortably more snuggly are more lovable than their avatars earlier munna bhai mbbs ditto boman irani who dons role lucky singh sardarji builder meanie with heart vidya balan also puts her best foot forward as radio jockey who makes dutts heart goes hmmm dia mirza jimmy shergill justify their cameo appearances surprise element during climax is thoughtful addition cheers audience specially female audience threefold though film is not sequel munna bhai mbbs lage raho munna bhai retains characters munna circuit lead roles their nontoxic almost childlike idiosyncrasies this idea also gives unlimited scope possibilities hit pair munna circuit can indulge into future lage raho munna bhai is story about murli prasad sharma aka munna who meets mahatma gandhi undergoes heart transformation munna breaking bones abducting people at snap his fingers was easier than courage it required walk path non violence truth hesitatingly unwittingly he takes road less traveled which is thorny full obstacles return self revelation guilt free conscience that fears nothing no one gandhivad is turned into gandhigiri by self proclaimed professor murli prasad sharma its practical implementation present day without sounding preachy or heavy duty there is similar offering other cheek when someone slaps you confessions truth also satyagrah bunch old people who lose their house called second innings manipulative greedy lucky singh sad but true that our nation won freedom but lost its people murli tries revive faith courage truth justice people different walks life with his new found ideology or chemical locha his brain he triumphs over cynics or lost souls also wins love his life interesting observation can be made between rakeysh om prakash mehras rang de basanti rajkumar hiranis lage raho munna bhai fact that though theme both films is more or less same approach resolving conflict is complete contrast with each other like two ends same thread yet both films succeed their own unique ways deliberate depths human emotions reflections identical manner end hats off vidhu vinod chopra producing film that is wholesome entertainer succeeds giving heartfelt message times where films are made merely fulfill whims fancies egoistic filmmakers nidhi kathuria,0.4515977961432508,0.17763085399449033,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.28, 'Fear': 0.33}"
10.0,Excellent!,"Incredible movie! The comedy was expected, and having developed his characters so well, Rajkumar Hirani couldn't possibly not make people laugh in this movie, but the most inspiring aspect was the message which was conveyed in such a beautiful, unpreachy way, something the audience would connect to. Definitely, no documentaries or books about Mahatma Gandhi could have had such an impact on the audience, and after watching this movie, I respect him much much more. The screenplay and direction was flawless. There was not a single moment when you wanted to take your eyes away from the screen, and the dialogues were as good as the first part, in fact better. Sanjay Dutt and Munnabhai are made for each other, and he couldn't have played the role better. But yeah, without Arshad Warsi, the movie wouldn't be half as good, and like the previous one, he's delivered. Vidya Balan really adds life to the movie, and if you really want to compare, I'd say she's done much better than Gracy Singh in the previous one. Incredibly beautiful, and she's got grace, I can only but praise her in this movie. Boman Irani, Diya Mirza and others have done there bit, and Hirani has very nicely used all these characters around the main ones. And last but not the least, Mahatma Gandhi, played by Dilip Prabhavalkar is something you will not forget. Throughout the movie, he wears this enlightened smile you fall in love with!The movie does have technical glitches, for instance, if vidya balan works at worldspace, how did her show air on FM radio and things like that, but you don't really care much about these things when you've just been through 2 and half hrs of sheer entertainment, where you laughed, cried, and every possible emotion you can go through with a movie. The movie has an incredible feel-good factor to it.So all said and done, the movie is a must watch, watch it asap! I doubt I'd find a single person around me who wouldn't like it.",excellent,incredible movie comedy was expected having developed his characters so well rajkumar hirani couldnt possibly not make people laugh this movie but most inspiring aspect was message which was conveyed such beautiful unpreachy way something audience would connect definitely no documentaries or books about mahatma gandhi could have had such impact audience after watching this movie i respect him much much more screenplay direction was flawless there was not single moment when you wanted take your eyes away screen dialogues were as good as first part fact better sanjay dutt munnabhai are made each other he couldnt have played role better but yeah without arshad warsi movie wouldnt be half as good like previous one hes delivered vidya balan really adds life movie if you really want compare id say shes done much better than gracy singh previous one incredibly beautiful shes got grace i can only but praise her this movie boman irani diya mirza others have done there bit hirani has very nicely used all these characters around main ones last but not least mahatma gandhi played by dilip prabhavalkar is something you will not forget throughout movie he wears this enlightened smile you fall love with movie does have technical glitches instance if vidya balan works at worldspace how did her show air fm radio things like that but you dont really care much about these things when youve just been through 2 half hrs sheer entertainment where you laughed cried every possible emotion you can go through with movie movie has incredible feel good factor it so all said done movie is must watch watch it asap i doubt id find single person around me who wouldnt like it,0.5011904761904761,0.30487301587301585,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.32, 'Sad': 0.11, 'Fear': 0.3}"
10.0,Munnabhai - the magic recreated!!!!,"Probably, this is the best movie sequel ever produced in the Hindi cinema and surely would be one of the top ten comedy Hindi movies of all times. I can't remember if any comedy movie (hindi or other) ever been able to deliver such a strong message in such a subtle and non-preachy manner. Coming out of the cinema hall, you can't help from having that huge delightful smile on your face.. This movie isn't a sequel in its true sense; apart from the characters of Munnabhai and Circuit, there is nothing in common with its predecessor (unarguably, the movie would not have been possible without these two characters as in their original form). Few reasons which turn it to a must watch movie:1) awesome movie, with astounding screenplay, story, characterization and many other things. Its a 100% clean movie with no risqué dialogues, no item number, no vulgar dresses and no vulgar scenes, which is an achievement in today's times. 2) Performance of Munnabhai and Circuit duo - Sanjay dutt is undoubtedly the most lovable bollywood bhai, he is bit old now but still going very strong and Circuit has come up with his magic yet again, this guy's timing of dialogues is perfect... In all, the duo rocks!!!!!!! 3) Strong, strong and very strong message delivered... I won't delve much onto this or else risk disclosing the story and henceforth the fun... Everybody is going to respect Mahatma even more after watching this movie - bet you are going to love that enigmatic smile 4) Jhanavi (Vidya Balan)... such a graceful beauty, her face is like bright morning light; gosh, the lady literally smiles with her eyes, you are bound to fall in love with this gurl, just like Munnabhai.. apart from that she acts very well and gives a strong performance... There are many more things that make this movie memorable and a treat to watch.... surely, something to watch before you die :-)",munnabhai magic recreated,probably this is best movie sequel ever produced hindi cinema surely would be one top ten comedy hindi movies all times i cant remember if any comedy movie hindi or other ever been able deliver such strong message such subtle non preachy manner coming out cinema hall you cant help having that huge delightful smile your face this movie isnt sequel its true sense apart characters munnabhai circuit there is nothing common with its predecessor unarguably movie would not have been possible without these two characters as their original form few reasons which turn it must watch movie 1 awesome movie with astounding screenplay story characterization many other things its 100 clean movie with no risqu dialogues no item number no vulgar dresses no vulgar scenes which is achievement todays times 2 performance munnabhai circuit duo sanjay dutt is undoubtedly most lovable bollywood bhai he is bit old now but still going very strong circuit has come up with his magic yet again this guys timing dialogues is perfect all duo rocks 3 strong strong very strong message delivered i wont delve much onto this or else risk disclosing story henceforth fun everybody is going respect mahatma even more after watching this movie bet you are going love that enigmatic smile 4 jhanavi vidya balan such graceful beauty her face is like bright morning light gosh lady literally smiles with her eyes you are bound fall love with this gurl just like munnabhai apart that she acts very well gives strong performance there are many more things that make this movie memorable treat watch surely something watch before you die,0.6094764957264959,0.35516025641025634,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.07, 'Fear': 0.27}"
10.0,One of the best movies in recent times!,"This is one the excellent movie that refreshed me to the core. A classic Vinod Chopra production, this movie does not only fulfill high expectations of the audience, being a sequel of Munnabhai MBBS, but exceeds it.A decent and hilarious comedy throughout, you can watch this movie with family and realize that superb comedy can be created even without vulgarity.On acting front, it is difficult to rank the actors as everyone has made his role alive. Sanjay Datt (Munnabhai), Circuit (Arshad Varsi) & Bomman Irani (Lucky Singh) have given their best performances.Cinematography is excellent and songs are appropriate to the situations.SO what is the best thing about this movie? Unlike most big-budget-glamorous Bollywood flicks, this movie entertains you, and still makes you think.It carries a message for today's generation!",one best movies recent times,this is one excellent movie that refreshed me core classic vinod chopra production this movie does not only fulfill high expectations audience being sequel munnabhai mbbs but exceeds it decent hilarious comedy throughout you can watch this movie with family realize that superb comedy can be created even without vulgarity acting front it is difficult rank actors as everyone has made his role alive sanjay datt munnabhai circuit arshad varsi bomman irani lucky singh have given their best performances cinematography is excellent songs are appropriate situations so what is best thing about this movie unlike most big budget glamorous bollywood flicks this movie entertains you still makes you think it carries message todays generation,0.5878333333333334,0.35633333333333334,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.1, 'Fear': 0.19}"
8.0,Why not more people make moves like thisthis is AWWWWEEESOMME MAAMOO,"""Lage Raho Munnabhai"" , the second film in the Munnabhai series and perhaps the most eagerly awaited movie of the year at least for the people who like meaningful cinema.This one was supposed to be a sequel but it has a story of its own and its refreshingly original and no connection with the first movie except the Munnabhai and circuit and their gang. I saw the movie and was completely spellbound by it.I was glued to the screen for the entire duration and enjoyed every bit of bit.To call this movie a comedy would be wrong this one is a mix bag you've got comedy, romance , emotions (and yes lots of them) and a beautiful script to tag along.The entire cast is simply lovable and all have acted their part to the book. Sanjay Dutt excels in the role of Munna hes is well complemented by ever smiling Arshad Warsi as circuit who surprisingly shows his softer side in some well acted emotional scenes. Vidya Balan looks fresh and acts her part well. Boman Irani as The Punjabi builder is first rate,people get to see the various shades of his character.The supporting cast of elderly persons is also good. Dia Mirza provides glamor to the film in a brief but sweet role. Jimmy Shergill is likable in the scenes where he gets footage.But the real star of the movie is ""RajKumar Hirani"" , yes the director of the movie. he has told the story in a very unique manner which appeals to the masses.I wont go into the details as it will spoil the fun but this man is a class apart, he has handled each and every scene with perfection be it comedy , emotional or drama brilliantly.Music is perhaps the only weak point of this film. Though the songs blend well with the story but no songs stands out to be a chart buster. The picturisation of the songs is beautiful and visually appealing.On the whole ""lage raho munnabhai"" is an excellent movie not to be missed. The movie will tickle your funny bone as well as bring tears to your eyes in some situations. Its unique way of story telling will find praises not only from the masses but from the critics as well. the movie has a surprise package in the character of ""mahatma Gandhi"" and the actor who's played the part suits the role wellI can't wait for another outing with Munna&Circuit but good things come at a price. The price here is Another Wait Till Then patience rakho ""MAAMOO"".",why not more people make moves like thisthis is awwwweeesomme maamoo,lage raho munnabhai second film munnabhai series perhaps most eagerly awaited movie year at least people who like meaningful cinema this one was supposed be sequel but it has story its own its refreshingly original no connection with first movie except munnabhai circuit their gang i saw movie was completely spellbound by it i was glued screen entire duration enjoyed every bit bit call this movie comedy would be wrong this one is mix bag youve got comedy romance emotions yes lots them beautiful script tag along entire cast is simply lovable all have acted their part book sanjay dutt excels role munna hes is well complemented by ever smiling arshad warsi as circuit who surprisingly shows his softer side some well acted emotional scenes vidya balan looks fresh acts her part well boman irani as punjabi builder is first rate people get see various shades his character supporting cast elderly persons is also good dia mirza provides glamor film brief but sweet role jimmy shergill is likable scenes where he gets footage but real star movie is rajkumar hirani yes director movie he has told story very unique manner which appeals masses i wont go into details as it will spoil fun but this man is class apart he has handled each every scene with perfection be it comedy emotional or drama brilliantly music is perhaps only weak point this film though songs blend well with story but no songs stands out be chart buster picturisation songs is beautiful visually appealing whole lage raho munnabhai is excellent movie not be missed movie will tickle your funny bone as well as bring tears your eyes some situations its unique way story telling will find praises not only masses but critics as well movie has surprise package character mahatma gandhi actor whos played part suits role welli cant wait another outing with munna circuit but good things come at price price here is another wait till then patience rakho maamoo,0.6206250000000001,0.28906249999999994,Positive,"{'Happy': 0.2, 'Angry': 0.02, 'Surprise': 0.25, 'Sad': 0.29, 'Fear': 0.25}"
9.0,"Here comes an exceptional movie in Hindi, after a long time","If you eat a good chocolate or sweet, the taste lingers in your mouth for quite sometime... right? Likewise, the taste of this movie lingers in you mind for quite some time! This movie is the best example of a brilliant script, brilliant execution and of course, some brilliant acting... Sanju and Arshad really rocks.... they make you laugh most of the time and there are some heart touching moments also... like in the first movie.. This movie surpasses its predecessor in every way.... The Mahatma angle in the movie has come out superb! Thank you Mr. Hirani for reminding us about Mahatma and his values... after a long time... :o) And lastly, i never thought that Vidya Balan would be so beautiful when I watched Parineetha then. She is very beautiful with radiant smile... Go watch it folks...",here comes exceptional movie hindi after long time,if you eat good chocolate or sweet taste lingers your mouth quite sometime right likewise taste this movie lingers you mind quite some time this movie is best example brilliant script brilliant execution course some brilliant acting sanju arshad really rocks they make you laugh most time there are some heart touching moments also like first movie this movie surpasses its predecessor every way mahatma angle movie has come out superb thank you mr hirani reminding us about mahatma his values after long time o lastly i never thought that vidya balan would be so beautiful when i watched parineetha then she is very beautiful with radiant smile go watch it folks,0.5564625850340136,0.5001133786848072,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.14, 'Fear': 0.21}"
9.0,Lage Raho MunnaBhai..............,"Now that i have visited the NEARBY single screen twice for LRM , it's about time to write a detailed review(quite a big achievement as it's 10 km away from my residence ,all thanks to the VVC-Multiplexes stand off).Half an hour into the film & i was thinking , WTH is happening ova here? I mean there wasn't any definitive motive behind munna's shenanigans but as we reach towards the intermission point , i was squeezed into a compromise.& the second half...well it delivers, delivers big time as munnabhai's ""Gandhigiri""does create a ""chemical locha"" in our hearts & how ! Hats off to Hirani, & abhijat Joshi for creating such memorable screenplay which makes u rethink about bapu's relevance today, it's just stuffed up with great scenes whether it's about a man trying to get rid of unwanted stains on his door courtesy his pan chewing irreverent neighbour or an old retired teacher trying to get even with a corrupt officer in pure Gandhigiri style , they all create such a huge impact on one's psyche.Arshad once again does a great job , on first viewing i founded him a bit OTT at times but the second session convinced me that his was a performance driven by astounding comic timing , well done circuit(though his screen time was a let down).Boman as Lucky was great too , sometimes his Punjabi lingo faltered but overall this definitely is his first notable outing post MMBBS.Vidya is good but her Guuuuuuudmorning mumbai does irritate u at times , still she was better than gracy .& then there is sanjay dutt without whom munnabhai can never be what it is today , such a heartfelt performance that it makes u weep & smile at the same time ,one of the rarest of rare feet i must say.It's amazing to see that how he swings from Zinda's maniac urgency to munnabhai's goofy charm ,all in all Yet another awesome outing for him .Easily the best film of the year , waiting for munnabhai's next innings and until then , Lage Raho Munnabhai.8.5/10",lage raho munnabhai,now that i have visited nearby single screen twice lrm its about time write detailed review quite big achievement as its 10 km away my residence all thanks vvc multiplexes stand off half hour into film i was thinking wth is happening ova here i mean there wasnt any definitive motive behind munnas shenanigans but as we reach towards intermission point i was squeezed into compromise second half well it delivers delivers big time as munnabhais gandhigiri does create chemical locha our hearts how hats off hirani abhijat joshi creating such memorable screenplay which makes u rethink about bapus relevance today its just stuffed up with great scenes whether its about man trying get rid unwanted stains his door courtesy his pan chewing irreverent neighbour or old retired teacher trying get even with corrupt officer pure gandhigiri style they all create such huge impact ones psyche arshad once again does great job first viewing i founded him bit ott at times but second session convinced me that his was performance driven by astounding comic timing well done circuit though his screen time was let down boman as lucky was great too sometimes his punjabi lingo faltered but overall this definitely is his first notable outing post mmbbs vidya is good but her guuuuuuudmorning mumbai does irritate u at times still she was better than gracy then there is sanjay dutt without whom munnabhai can never be what it is today such heartfelt performance that it makes u weep smile at same time one rarest rare feet i must say its amazing see that how he swings zindas maniac urgency munnabhais goofy charm all all yet another awesome outing him easily best film year waiting munnabhais next innings until then lage raho munnabhai 8 5 10,0.5035478080120938,0.22678099017384734,Positive,"{'Happy': 0.16, 'Angry': 0.14, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.23}"
10.0,very entertaining movie,"you have to understand folks that this is not an artistic film nor does it pretend to be an artistic film. it's really intended to be pure entertainment with a message. And that is why this movie accomplished these goals in mind. entertainment - entertainment - entertainment!i really admire the gandhi pacifist theme to this film. the acting was great throughout. great to see a movie with sanjay dutt as the top billed actor. sometimes you just want to see a common looking person and not an overtly handsome male lead like SRK or Salman or Saif Ali.Sanjay can really carry this movie with his acting. I loved his crying scene with gandhi - he was so believable. boman irani and vidya balan are just as great as he is. boman's body language in his character role was amazing. vidya balan is such a natural performer, she's better than meryl streep because her acting skills are more nuanced and less technical than meryl's. if you love movies then you'll love the spiritual quality of this movie with the ghost of gandhi popping in and out. the musical numbers are also fun but add more to the story by showing you how the characters truly feel about what is happening to them.KUDOS to Cinematography C. K. Muraleedharan and Director Rajkumar Hirani and Producer Vidhu Vinod Chopra. Screenplay by Abhijat Joshi is just brilliant. When Gandhi sits on the couch and says ""Why don't you just shoot Lucky?"" - I died laughing. These folks are the future of film and Adam Sandler/Will Ferrell/Jim Carrey need to take lessons from a movie like this in my humble opinion. I say Bollywood all the way!",very entertaining movie,you have understand folks that this is not artistic film nor does it pretend be artistic film its really intended be pure entertainment with message that is why this movie accomplished these goals mind entertainment entertainment entertainment i really admire gandhi pacifist theme this film acting was great throughout great see movie with sanjay dutt as top billed actor sometimes you just want see common looking person not overtly handsome male lead like srk or salman or saif ali sanjay can really carry this movie with his acting i loved his crying scene with gandhi he was so believable boman irani vidya balan are just as great as he is bomans body language his character role was amazing vidya balan is such natural performer shes better than meryl streep because her acting skills are more nuanced less technical than meryls if you love movies then youll love spiritual quality this movie with ghost gandhi popping out musical numbers are also fun but add more story by showing you how characters truly feel about what is happening them kudos cinematography c k muraleedharan director rajkumar hirani producer vidhu vinod chopra screenplay by abhijat joshi is just brilliant when gandhi sits couch says why dont you just shoot lucky i died laughing these folks are future film adam sandler will ferrell jim carrey need take lessons movie like this my humble opinion i say bollywood all way,0.47679824561403494,0.27098997493734345,Positive,"{'Happy': 0.36, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.04, 'Fear': 0.21}"
10.0,See this again and again!,"What does one say about this movie? Coming on the heels of Rang De Basanti, Lage Raho Munnabai could prove to be another movie that stirs the conscience of the Indian masses, and dare I say, foreigners as well. Never before has Gandhiji's life and message been conveyed so simply, so beautifully and in such a rolling-in-the-aisle humorous manner. Everybody in the movie has played her or his role tremendously. Arshad Warsi and Sunjay Dutt make an explosive combination and Boman Irani is a riot. Don't be surprised if the thickest-skinned amongst you sheds a tear or two while laughing your guts out. You will walk out of the theater with a spring in your step, light in spirit, thankful that such a man as Gandhi walked the soil of our nation and inspired to become a little bit more like him. Even if a few of us are motivated to emulate Munnabhai's 'Gandhigiri', we could make a world of difference!",see this again again,what does one say about this movie coming heels rang de basanti lage raho munnabai could prove be another movie that stirs conscience indian masses dare i say foreigners as well never before has gandhijis life message been conveyed so simply so beautifully such rolling aisle humorous manner everybody movie has played her or his role tremendously arshad warsi sunjay dutt make explosive combination boman irani is riot dont be surprised if thickest skinned amongst you sheds tear or two while laughing your guts out you will walk out theater with spring your step light spirit thankful that such man as gandhi walked soil our nation inspired become little bit more like him even if few us are motivated emulate munnabhais gandhigiri we could make world difference,0.6333333333333333,0.16064814814814815,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.24, 'Sad': 0.28, 'Fear': 0.28}"
