Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Witty con man.,"From the opening credits design we get in the mood of this very entertaining film. They create the tone for what will follow. Steven Spielberg is in rare form directing this movie that doesn't have a dull moment.Mr. Spielberg has found a perfect actor to fill the shoes of the con man with the perfect casting of Leonardo DiCaprio. It's very easy to see why all the women fall prey of this charmer. He was a fast talker and a slick operator. He exudes charisma to fill another couple of movies. It's a welcome sight to have Mr. DiCaprio working in a vehicle that shows his talent as Frank Abagnale, a man of many faces. He plays a game of hide-and-seek throughout the movie with Hanratty, the FBI agent that is in his trail. Tom Hanks shows great assurance and gusto with this character. Of course, the DiCaprio magnetism dominates the action with the many ironic twists and the miraculous and narrow escapes he pulls with an aplomb that's bewildering to the Feds, who are on his tail all the time.The minor roles are equally important. Christopher Walken as the father starts out as the prototype of the con man, but he's too decent to do wrong; his business fails eventually. His marriage to Natalie Baye, the fine French actress, ends in divorce because obviously she hates being married to a loser.The action doesn't stop for one moment. This film is great fun to watch with the winning combination Mr. Spielberg assured hand gives us this time out. Mr. Spielberg can thank the genial Mr. DiCaprio who responds obviously to his direction and makes this con man endearing even when he is committing crimes.",witty con man,opening credits design we get mood this very entertaining film they create tone what will follow steven spielberg is rare form directing this movie that doesnt have dull moment mr spielberg has found perfect actor fill shoes con man with perfect casting leonardo dicaprio its very easy see why all women fall prey this charmer he was fast talker slick operator he exudes charisma fill another couple movies its welcome sight have mr dicaprio working vehicle that shows his talent as frank abagnale man many faces he plays game hide seek throughout movie with hanratty fbi agent that is his trail tom hanks shows great assurance gusto with this character course dicaprio magnetism dominates action with many ironic twists miraculous narrow escapes he pulls with aplomb thats bewildering feds who are his tail all time minor roles are equally important christopher walken as father starts out as prototype con man but hes too decent do wrong his business fails eventually his marriage natalie baye fine french actress ends divorce because obviously she hates being married loser action doesnt stop one moment this film is great fun watch with winning combination mr spielberg assured hand gives us this time out mr spielberg can thank genial mr dicaprio who responds obviously his direction makes this con man endearing even when he is committing crimes,0.5891145833333334,0.26109375,Positive,"{'Happy': 0.18, 'Angry': 0.04, 'Surprise': 0.1, 'Sad': 0.2, 'Fear': 0.49}"
9.0,A lot of fun,"While watching 'Catch Me If You Can' I had so much fun I smiled constantly. Well, that smile was interrupted by laughs. The movie tells the story of Frank W. Abignale, Jr. who is just a kid as he pretends to be a schoolteacher. After his father and mother get a divorce he runs away and starts pretending to be a co-pilot, a doctor, a lawyer. The way he does this is funny and brilliant.I am not a big fan of Leonardo DiCaprio who plays Frank but in this movie he is perfect. He gives a very fine performance. Tom Hanks is the FBI-agent Carl who is after him, and as always Hanks is good.The story is inspired by a real story. I don't know in how many ways it is true but watching this guy all I wanted to see was him pulling more of his nice little tricks. The scene where he pretends to be a schoolteacher is just great. If you want a nice funny movie, not too heavy, this one will definitely please you.",lot fun,while watching catch me if you can i had so much fun i smiled constantly well that smile was interrupted by laughs movie tells story frank w abignale jr who is just kid as he pretends be schoolteacher after his father mother get divorce he runs away starts pretending be co pilot doctor lawyer way he does this is funny brilliant i am not big fan leonardo dicaprio who plays frank but this movie he is perfect he gives very fine performance tom hanks is fbi agent carl who is after him as always hanks is good story is inspired by real story i dont know how many ways it is true but watching this guy all i wanted see was him pulling more his nice little tricks scene where he pretends be schoolteacher is just great if you want nice funny movie not too heavy this one will definitely please you,0.5719696969696969,0.37746212121212125,Positive,"{'Happy': 0.38, 'Angry': 0.03, 'Surprise': 0.16, 'Sad': 0.22, 'Fear': 0.22}"
7.0,Very good film has those Spielberg edges!,"At first I thought I was going to see a lightweight film from a great director but instead I watched another impressive achievement by Steven Spielberg. A few things stand out and of course the performances are terrific. Leonardo Dicaprio is believable as a guy that can convince people that he's someone else. Dicaprio is a charmer and is very smooth as we watch his character do some fancy talk to the young ladies. Tom Hanks as the FBI agent reminds me of his cynical character that he played in ""A League of Their Own"" and his mere presence adds more to this film. The sign of a great film star. And Christopher Walken gives one of his best performances in his already interesting career. The last scene of him as he talks to his son in the restaurant is so moving that it reflects on the great talent of Walken. You can understand why Dicaprio admires and loves his father. Walken conveys these emotions and makes the audience react just accurately. I'll be rooting for him at Oscar time. Another impressive thing about this film is the beautiful cinematography by Janusz Kaminski who's a real artist with a camera and has worked on several Spielberg films. One shot in particular stands out. The ray of sunshine coming in through the kitchen window on Walken. Very thought provoking. And of course since its a Spielberg film its very personal. Spielberg was interested in the Frank Abagnale character because as a youngster he also came from a broken family and wanted to be someone else. Spielberg would sneak onto the studios and tell people that he worked there. Also, the real Frank Abagnale jr. appears as a French police officer. Well made, extremely well acted and sharply written. Viewers seem to forget that this is really a film about the breaking up of a family and the aftermath. This really is a personal film from Spielberg, and a very good one.",very good film has those spielberg edges,at first i thought i was going see lightweight film great director but instead i watched another impressive achievement by steven spielberg few things stand out course performances are terrific leonardo dicaprio is believable as guy that can convince people that hes someone else dicaprio is charmer is very smooth as we watch his character do some fancy talk young ladies tom hanks as fbi agent reminds me his cynical character that he played league their own his mere presence adds more this film sign great film star christopher walken gives one his best performances his already interesting career last scene him as he talks his son restaurant is so moving that it reflects great talent walken you can understand why dicaprio admires loves his father walken conveys these emotions makes audience react just accurately ill be rooting him at oscar time another impressive thing about this film is beautiful cinematography by janusz kaminski whos real artist with camera has worked several spielberg films one shot particular stands out ray sunshine coming through kitchen window walken very thought provoking course since its spielberg film its very personal spielberg was interested frank abagnale character because as youngster he also came broken family wanted be someone else spielberg would sneak onto studios tell people that he worked there also real frank abagnale jr appears as french police officer well made extremely well acted sharply written viewers seem forget that this is really film about breaking up family aftermath this really is personal film spielberg very good one,0.5552380952380953,0.2801904761904761,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.3, 'Sad': 0.17, 'Fear': 0.32}"
,"Top-notch, brilliantly crafted entertainment, rich with fascinating details, memorable incidents and engaging performances","What a terrific piece of film-making! From the charming animated title sequence (featuring John Williams's delightfully sneaky score) to the end, this is an enormously entertaining film from the gifted craftsman, Steven Spielberg, who is so damn good people take him for granted or resent his ""manipulation,"" i.e. his seemingly effortless ability to create effective drama.Leonardo DiCaprio (in his best performance that I've seen) stars as Frank Abagnale, Jr., a real-life teen-aged con man so spectacularly gifted that he was able to steal millions from various companies with forged checks, while successfully impersonating an airline pilot, a doctor and a lawyer, among other guises. He is chased by a rigidly rule-bound F.B.I. agent, Carl Hanratty (Tom Hanks), who is at first comically out-classed by the young improvising criminal genius; but the agent is steadfast and relentless and has the law on his side. The movie is filled with delightful supporting performances, starting with Hanks and continuing on with Nathalie Baye as the boy's selfish mother, Amy Adams as his immature fiancée and on down to the tiniest role. I'm especially grateful for the sympathetic part given to Christopher Walken, as the mischievous and spirited Abagnale Sr., whose life darkens as his fortunes fall. Walken is one of my favorite actors, but while I enjoy the occasional one-dimensional freak or villain he plays, I wish most of his parts were like this.Spielberg's movie is rich with fascinating details and memorable incidents, while the script by Jeff Nathanson moves backward and forward in time to tell the story in the most engrossing way possible. This is top-notch entertainment.",top notch brilliantly crafted entertainment rich with fascinating details memorable incidents engaging performances,what terrific piece film making charming animated title sequence featuring john williamss delightfully sneaky score end this is enormously entertaining film gifted craftsman steven spielberg who is so damn good people take him granted or resent his manipulation i e his seemingly effortless ability create effective drama leonardo dicaprio his best performance that ive seen stars as frank abagnale jr real life teen aged con man so spectacularly gifted that he was able steal millions various companies with forged checks while successfully impersonating airline pilot doctor lawyer among other guises he is chased by rigidly rule bound f b i agent carl hanratty tom hanks who is at first comically out classed by young improvising criminal genius but agent is steadfast relentless has law his side movie is filled with delightful supporting performances starting with hanks continuing with nathalie baye as boys selfish mother amy adams as his immature fianc e down tiniest role im especially grateful sympathetic part given christopher walken as mischievous spirited abagnale sr whose life darkens as his fortunes fall walken is one my favorite actors but while i enjoy occasional one dimensional freak or villain he plays i wish most his parts were like this spielbergs movie is rich with fascinating details memorable incidents while script by jeff nathanson moves backward forward time tell story most engrossing way possible this is top notch entertainment,0.6893026004728133,0.37275413711583927,Positive,"{'Happy': 0.22, 'Angry': 0.07, 'Surprise': 0.22, 'Sad': 0.15, 'Fear': 0.34}"
8.0,Hard to believe its true,"I Don't know how accurate these events are but as they are based on accounts written by Frank Abagale Jr. himself, then i assume that they are probably only dramatised for the viewing audience.It's hard to believe that people were so naive, that they allowed Frank Abagnale to achieve what he did, but i have give the guy credit for pushing the system, and riding the high life for as long as he did.Leonardo DiCaprio does a great job of capturing the character of Frank Abignale Jr. (strange i didn't picture him in the role of a jet setting Gigalo) and the rest of the cast although only little more than fringe characters, are all very well cast and give typically fine performances, as you would expect with the calibre of Hanks and Walken.All in all this is a fine film, that most people will enjoy watching 8/10",hard believe its true,i dont know how accurate these events are but as they are based accounts written by frank abagale jr himself then i assume that they are probably only dramatised viewing audience its hard believe that people were so naive that they allowed frank abagnale achieve what he did but i have give guy credit pushing system riding high life as long as he did leonardo dicaprio does great job capturing character frank abignale jr strange i didnt picture him role jet setting gigalo rest cast although only little more than fringe characters are all very well cast give typically fine performances as you would expect with calibre hanks walken all all this is fine film that most people will enjoy watching 8 10,0.5837037037037037,0.16513888888888886,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.03, 'Sad': 0.03, 'Fear': 0.66}"
,"Brilliant, especially DiCaprio","On Leonardo DiCaprio's 31st birthday, I have the pleasure of praising one of the finest actors working today. I didn't realize what I was seeing when that homeless boy showed up on 'Growing Pains'--a show not exactly known for the quality of its actors. And I didn't see much to like about ""Titanic"" except the excitement of watching the people evacuating and the ship sinking. Also, 'Romeo and Juliet' was just corny, with 400-year-old dialogue in a modern setting.But if he could be nominated for his 'Aviator' performance, DiCaprio must be doing something right. And here he shows us what he is capable of. Especially when Frank Jr. is conning people, and most of all when he tries to outwit Hanatty. I am reminded of Harrison Ford and Tommy Lee Jones in ""The Fugitive"", or perhaps Burt Reynolds and Jackie Gleason in ""Smokey and the Bandit"". The strange but enjoyable chemistry between these two characters goes a long way toward making this movie work.Frank Jr. showed a lot of intelligence, and DiCaprio effectively showed us what this man could do. Imagine what he could have accomplished if he had stayed on the right side of the law. But his life on the run was more fun to watch.Tom Hanks, as popular as he is, can be commended for his willingness to play second banana for a change. And he did a fine job. Martin Sheen and Christopher Walken also made an impact here.I loved the old cars and the even older songs. The clip from 'To Tell the Truth' was a nice touch. The theme song still gives me a craving for vanilla ice cream after nearly 30 years (I didn't feel I had time to watch the new version).This was Oscar-caliber. Too bad the Academy Awards people didn't seem to agree.",brilliant especially dicaprio,leonardo dicaprios 31st birthday i have pleasure praising one finest actors working today i didnt realize what i was seeing when that homeless boy showed up growing pains show not exactly known quality its actors i didnt see much like about titanic except excitement watching people evacuating ship sinking also romeo juliet was just corny with 400 year old dialogue modern setting but if he could be nominated his aviator performance dicaprio must be doing something right here he shows us what he is capable especially when frank jr is conning people most all when he tries outwit hanatty i am reminded harrison ford tommy lee jones fugitive or perhaps burt reynolds jackie gleason smokey bandit strange but enjoyable chemistry between these two characters goes long way toward making this movie work frank jr showed lot intelligence dicaprio effectively showed us what this man could do imagine what he could have accomplished if he had stayed right side law but his life run was more fun watch tom hanks as popular as he is can be commended his willingness play second banana change he did fine job martin sheen christopher walken also made impact here i loved old cars even older songs clip tell truth was nice touch theme song still gives me craving vanilla ice cream after nearly 30 years i didnt feel i had time watch new version this was oscar caliber too bad academy awards people didnt seem agree,0.5077922077922079,0.2264181221077773,Positive,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.14, 'Sad': 0.19, 'Fear': 0.43}"
7.0,Genuinely Entertaining but Overly Embellished...,"Great performances from some truly great actors with an almost unbelievable story - and therein lies the one criticism if you wanted to raise one. Because, in order to catch you, which Steven Spielberg does, and finds doing it a good deal easier than the task ascribed before Carl Hanratty, he has to evolve and embellish this story with some not insignificant leaps of faith. Fine if its a conjured tale of fiction but ever so slightly, for me, detrimental to the experience as a whole, as its not.",genuinely entertaining but overly embellished,great performances some truly great actors with almost unbelievable story therein lies one criticism if you wanted raise one because order catch you which steven spielberg does finds doing it good deal easier than task ascribed before carl hanratty he has evolve embellish this story with some not insignificant leaps faith fine if its conjured tale fiction but ever so slightly me detrimental experience as whole as its not,0.6083333333333335,0.375,Positive,"{'Happy': 0.36, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.18, 'Fear': 0.27}"
9.0,A film well worth catching,"'Catch Me if You Can' has such a talented cast, the true story is a fascinating one and while Steven Spielberg is an inconsistent director he was a big childhood influence and he has proved several times that he is capable of masterpieces of iconic status.While 'Catch Me if You Can' is not quite one of Spielberg's best films (in a list that sees the likes of 'Schindler's List', 'Jaws', 'Raiders of the Lost Ark' and 'ET'), it is one of his better later films, for me that's since 'Schindler's List'. There are occasional lapses into overly-sentimental schmaltz with the depiction of Abagnale's family life, not the first or last time with Spielberg and a long way from the worst case, but that is the one fault that was had for me.Spielberg directs impeccably, both in visual style and dramatic momentum, a directorial job that just screams of pure class. 'Catch Me if You Can' further benefits from as always beautiful cinematography from Janusz Kaminski and 60s period detail that not only looks sumptuously handsome but also evocative to make one think that it is more than just a film with a 60s setting.John Williams' score is not one of his best or most memorable, but still fits really well and has the right amount of slick jazziness, whimsy and understated pathos without over-emphasising (over-emphasis was the reason why his score for 'Amistad' was a rare misfire from him). The story takes a fascinating story and makes a ceaselessly engrossing film out of it, from the ingenious opening credits sequence to the heartfelt ending, the film is long but never feels it.This is further helped by a script that has a deft mix of genuinely funny comedy, poignant emotional moments and nail-biting suspense. The characters are intriguing. Can't praise the performances enough. Leonardo DiCaprio is movie star charisma personified, and brings wit, larceny and charm to a character that is a true crook in every sense but it is easy to see why one would fall for his actions.It is easy to overlook Tom Hanks, due to the role being not as colourful or as showy, but he brings charismatic command, generosity and doggedness in a role that could have been really bland and annoying in lesser hands. Of a sterling supporting cast, Christopher Walken is especially superb, particularly in the latter parts of the film as his life is ruined. Martin Sheen and Amy Adams are memorable, and Nathalie Bye solid.Overall, even if 'Catch Me if You Can' is not one of Spielberg's masterpieces it is one of his better later films and one of his most purely enjoyable ones. Well worth catching. 9/10 Bethany Cox",film well worth catching,catch me if you can has such talented cast true story is fascinating one while steven spielberg is inconsistent director he was big childhood influence he has proved several times that he is capable masterpieces iconic status while catch me if you can is not quite one spielbergs best films list that sees likes schindlers list jaws raiders lost ark et it is one his better later films me thats since schindlers list there are occasional lapses into overly sentimental schmaltz with depiction abagnales family life not first or last time with spielberg long way worst case but that is one fault that was had me spielberg directs impeccably both visual style dramatic momentum directorial job that just screams pure class catch me if you can further benefits as always beautiful cinematography janusz kaminski 60s period detail that not only looks sumptuously handsome but also evocative make one think that it is more than just film with 60s setting john williams score is not one his best or most memorable but still fits really well has right amount slick jazziness whimsy understated pathos without over emphasising over emphasis was reason why his score amistad was rare misfire him story takes fascinating story makes ceaselessly engrossing film out it ingenious opening credits sequence heartfelt ending film is long but never feels it this is further helped by script that has deft mix genuinely funny comedy poignant emotional moments nail biting suspense characters are intriguing cant praise performances enough leonardo dicaprio is movie star charisma personified brings wit larceny charm character that is true crook every sense but it is easy see why one would fall his actions it is easy overlook tom hanks due role being not as colourful or as showy but he brings charismatic command generosity doggedness role that could have been really bland annoying lesser hands sterling supporting cast christopher walken is especially superb particularly latter parts film as his life is ruined martin sheen amy adams are memorable nathalie bye solid overall even if catch me if you can is not one spielbergs masterpieces it is one his better later films one his most purely enjoyable ones well worth catching 9 10 bethany cox,0.5553046218487393,0.2325980392156863,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.25, 'Fear': 0.36}"
,Slick and enjoyable story telling,"When his parents file for divorce and he has to chose between them for custody, Frank Abagnale Jnr runs away from home. He begins to con his way around - getting better and better at it with each ruse. Posing as a pilot, a lawyer and a doctor he earns his money from cashing forged cheques. As the numbers go up, FBI agent Carl Hanratty starts tracking him in a game of cat and mouse.Based on a true story, although it doesn't rely on `and it really happened' to be a good film - although that this guy could even do half of this stuff is impressive, this film is a slick bit of entertainment even if it left me feeling a little bit like it was too much presentation. The plot starts at the end and jumps back to see the whys and the hows of the tale. It is told with a slick energy that keeps the story moving and never really lingers on any scene longer than it has to. It is for this reason that the two hours goes by relatively quickly.The presentation is good. Williams' score is not as memorable as his usual work but it is what the film needs it to be - unobtrusive and slick. Just like the opening credits, this film is very much a chase movie with a nice sense of period. The only downside of this slickness is that it feels like eating a sweet - it is very nice while it lasts but it doesn't fill you up. I enjoyed the film but it did leave me wondering what else there was; even if I did still have a sugary taste in my mouth. But to be fair - this is a minor compliant as the film didn't set out to be some massive thought provoking film; it was a chase movie and it was a very stylish and enjoyable one at that.The cast is good even if they aren't all used well. If anyone can tell me why Jennifer Garner even bothered to show up I'll be happy to listen. DiCaprio is very good. I'm not a massive fan of his but he was engaging here and looked about the right age to play the part - sort of between man and boy. Hanks does good work in support. Because his character is quite drab it is easy to forget him but I really enjoyed him and thought he brought more to the film than DiCaprio. Walken is good in support and Sheen adds another famous name to the end credits but it is very much a two hander with Hanks and DiCaprio more than able.Overall this film is a slick, stylish chase movie which should be enjoyed as such and is slightly more enjoyable for being a true story. If anything it is a little too slick for it's own good, but that is a petty complaint to make against a film that kept me pleasingly entertained for the past two hours!",slick enjoyable story telling,when his parents file divorce he has chose between them custody frank abagnale jnr runs away home he begins con his way around getting better better at it with each ruse posing as pilot lawyer doctor he earns his money cashing forged cheques as numbers go up fbi agent carl hanratty starts tracking him game cat mouse based true story although it doesnt rely it really happened be good film although that this guy could even do half this stuff is impressive this film is slick bit entertainment even if it left me feeling little bit like it was too much presentation plot starts at end jumps back see whys hows tale it is told with slick energy that keeps story moving never really lingers any scene longer than it has it is this reason that two hours goes by relatively quickly presentation is good williams score is not as memorable as his usual work but it is what film needs it be unobtrusive slick just like opening credits this film is very much chase movie with nice sense period only downside this slickness is that it feels like eating sweet it is very nice while it lasts but it doesnt fill you up i enjoyed film but it did leave me wondering what else there was even if i did still have sugary taste my mouth but be fair this is minor compliant as film didnt set out be some massive thought provoking film it was chase movie it was very stylish enjoyable one at that cast is good even if they arent all used well if anyone can tell me why jennifer garner even bothered show up ill be happy listen dicaprio is very good im not massive fan his but he was engaging here looked about right age play part sort between man boy hanks does good work support because his character is quite drab it is easy forget him but i really enjoyed him thought he brought more film than dicaprio walken is good support sheen adds another famous name end credits but it is very much two hander with hanks dicaprio more than able overall this film is slick stylish chase movie which should be enjoyed as such is slightly more enjoyable being true story if anything it is little too slick its own good but that is petty complaint make against film that kept me pleasingly entertained past two hours,0.5739795918367347,0.2741383219954649,Positive,"{'Happy': 0.27, 'Angry': 0.09, 'Surprise': 0.15, 'Sad': 0.2, 'Fear': 0.29}"
,"Captivating DiCaprio, engaging story","CATCH ME IF YOU CAN (2002) **** Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Frank John Hughes, Brian Howe, John Finn, Jennifer Garner. DiCaprio gives a grandly charming performance as Frank Abagnale, Jr. a teenager who adopted the professional guises of airplane pilot, physician and lawyer to front his check kiting schematic modus operandi during the 1960s and eventually making the FBI's most wanted list by bilking millions until his capture and imprisonment. Based on Abagnale's best-selling memoir and adapted with lean storytelling by Jeff Nathanson, the film never lets up in the giddy cat-and-mouse/Road Runner/Wile E. Coyote relationship between fugitive DiCaprio and amalgamated FBI square Hanks (replete with thick as clam chowder Boston accent, dorky specs and porkpie hat) one step behind his two-steps ahead prey and a unique dynamic of a father/son esthetic. Walken gives an Oscar worthy supporting turn as the elder Abagnale whose financial woes and tanglement with the IRS acts as his son's catalyst. Once again filmmaker Steven Spielberg makes popular entertainment into a work of art.",captivating dicaprio engaging story,catch me if you can 2002 leonardo dicaprio tom hanks christopher walken martin sheen nathalie baye amy adams james brolin frank john hughes brian howe john finn jennifer garner dicaprio gives grandly charming performance as frank abagnale jr teenager who adopted professional guises airplane pilot physician lawyer front his check kiting schematic modus operandi during 1960s eventually making fbis most wanted list by bilking millions until his capture imprisonment based abagnales best selling memoir adapted with lean storytelling by jeff nathanson film never lets up giddy cat mouse road runner wile e coyote relationship between fugitive dicaprio amalgamated fbi square hanks replete with thick as clam chowder boston accent dorky specs porkpie hat one step behind his two steps ahead prey unique dynamic father son esthetic walken gives oscar worthy supporting turn as elder abagnale whose financial woes tanglement with irs acts as his sons catalyst once again filmmaker steven spielberg makes popular entertainment into work art,0.5779761904761905,0.2898809523809524,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.29, 'Fear': 0.48}"
