Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,Charlie the life lover,"We have one life and we should enjoy its every moment. The movie is about Charlie who loves life , travelling and sketching and the other role is portrayed by Parvathy who is serious about life. The story unfolds when Parvathy traces back characters from the sketches which Charlie made and started accepting life and wanting to meet charlie after his humanly activities which helped people to give their life importance and doing something for others. The story and the depiction was good.",charlie life lover,we have one life we should enjoy its every moment movie is about charlie who loves life travelling sketching other role is portrayed by parvathy who is serious about life story unfolds when parvathy traces back characters sketches which charlie made started accepting life wanting meet charlie after his humanly activities which helped people give their life importance doing something others story depiction was good,0.3736111111111111,0.10694444444444444,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.07, 'Sad': 0.13, 'Fear': 0.6}"
8,"Crazy Love, Crazy Lovers, Crazy Story","Once a wise man said, ' search with your best effort, search in every corner, search with a feeling, feeling that runs through your veins , feeling for what you are seeking. Search and search and Search. "" No doubt , for the past two years, I have been a movie holic, and I hope it will remain the same.I have learned so many things, so many views, and there's a vast ocean of that awaiting for me to dive into it.Every Good movie is interconnected, whether it's Malayalam or Iranian, Argentine or Hollywood , Korean or German.You just have to search and search and search! Charlie, name of a mystery, an enigma to be unfolded by a beautiful girl who accidentally gets to know him by his unfinished Sketchbook story, discovers a nomad yet so beautiful young lad who sees things differently. He is kind of a mixture of humayun's himu character and landon from highway to heaven.",crazy love crazy lovers crazy story,once wise man said search with your best effort search every corner search with feeling feeling that runs through your veins feeling what you are seeking search search search no doubt past two years i have been movie holic i hope it will remain same i have learned so many things so many views theres vast ocean that awaiting me dive into it every good movie is interconnected whether its malayalam or iranian argentine or hollywood korean or german you just have search search search charlie name mystery enigma be unfolded by beautiful girl who accidentally gets know him by his unfinished sketchbook story discovers nomad yet so beautiful young lad who sees things differently he is kind mixture humayuns himu character landon highway heaven,0.6338235294117647,0.25,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.09, 'Fear': 0.35}"
10,Must watch,One of the best movies of in the career of Dulqer Salman.Best direction by Martin.Its a must watch movie.,must watch,one best movies career dulqer salman best direction by martin its must watch movie,0.3,1.0,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
9,A Feel Good Movie! <3,"Not everyone or everyone has the capability of making you feel good about yourself, but Charlie did. Charlie is a movie full of optimism, inspiration and love. This movie not only spreads love, but also teaches you to love yourself. Charlie will touch your heart with the simplicity which was illustrated all over the movie. The characters were well developed. There was no attempt of highlighting any character excessively, yet they shone beautifully. Moreover, the scenarios, the locations were so beautiful that anyone would be mesmerized. A beautiful movie with a very strong message - I don't think anything else is needed to be said about this movie.",feel good movie 3,not everyone or everyone has capability making you feel good about yourself but charlie did charlie is movie full optimism inspiration love this movie not only spreads love but also teaches you love yourself charlie will touch your heart with simplicity which was illustrated all over movie characters were well developed there was no attempt highlighting any character excessively yet they shone beautifully moreover scenarios locations were so beautiful that anyone would be mesmerized beautiful movie with very strong message i dont think anything else is needed be said about this movie,0.754102564102564,0.4779487179487179,Positive,"{'Happy': 0.35, 'Angry': 0.0, 'Surprise': 0.13, 'Sad': 0.17, 'Fear': 0.35}"
10,Wonderful romantic movie,"This is one of the best romantic movies in Malayalam, very refreshing and different. The characters are beautiful portrayed and each one of them takes the story forward very well. The songs are very beautiful and has already become a part of my frequently played play list. Loved the climax. This might not be liked if you are expecting regular run of the mills kind of Rom-com. The direction, locations and editing are brilliant. Worth watching many times :) The cast is superb and all the roles are aptly fulfilled. Watch this if you want to see a different kind of experiment in Malayalam movies. This is another brilliant movie of Parvathy.",wonderful romantic movie,this is one best romantic movies malayalam very refreshing different characters are beautiful portrayed each one them takes story forward very well songs are very beautiful has already become part my frequently played play list loved climax this might not be liked if you are expecting regular run mills kind rom com direction locations editing are brilliant worth watching many times cast is superb all roles are aptly fulfilled watch this if you want see different kind experiment malayalam movies this is another brilliant movie parvathy,0.6898601398601398,0.5227272727272726,Positive,"{'Happy': 0.55, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.0, 'Fear': 0.18}"
8,"A visual treat,a joy ride","Travel, adventure, standing up and fighting injustices heroically, being one with people from poorer or less fortunate sections of society, being able to express the goodness in oneself boldly and completely, not being confined to small predictable lives - these are all longings that will resonate with a lot of people. Charlie fulfills all these beautifully, providing the viewer some emotional satisfaction. Cinema as a business is built around it's ability to be an escape from the boring routines and predictabilities of life. Charlie fits the business model nicely. Dulqar is the star of the movie. The movie rests squarely on his shoulders. If he had not delivered, the movie had absolutely no chance. I think this is his best performance so far. He has effectively challenged himself by rising above just being a behavior actor. He is a star. His likability sold. His work on his physique shows. His dialogue delivery is endearing. Charming fellow.Parvathy is an awesome actress. She has a very crucial role as well. She has much more screen time than Dulqar though the movie revolves fully around DQ. She is beautiful and has kept her presence sweet throughout the movie.The situations in the movie were not predictable though not all of them were totally new. The story line has been drawn very carefully, wary of the viewer and holding some tricks up the sleeve all the way. Spotted with interesting incidents, the movie is a feel gooder. The movie has good art work. I will not be surprised if the movie wins awards for it's art work in addition to many others. The sets are interesting. Lot of nice objects have been used to tell the story of the movie. The songs are impressive and is at par with the movie. Coming at pretty regular intervals, the movie is kept pleasant and musical all through. Cinematography is excellent. The movie has been written to use lot of beautiful/ varied / striking sights and the camera has captured them nicely - be it the saturated colors of fort kochi, the striking costumes, pooram. However, the fact of the matter is that the movie is quite sublime and just whiffs off pretty quickly. It was not meant to be deep or leave a lasting impact. It is just a nice roller coaster ride into Charlie's life. I would see it again.",visual treat joy ride,travel adventure standing up fighting injustices heroically being one with people poorer or less fortunate sections society being able express goodness oneself boldly completely not being confined small predictable lives these are all longings that will resonate with lot people charlie fulfills all these beautifully providing viewer some emotional satisfaction cinema as business is built around its ability be escape boring routines predictabilities life charlie fits business model nicely dulqar is star movie movie rests squarely his shoulders if he had not delivered movie had absolutely no chance i think this is his best performance so far he has effectively challenged himself by rising above just being behavior actor he is star his likability sold his work his physique shows his dialogue delivery is endearing charming fellow parvathy is awesome actress she has very crucial role as well she has much more screen time than dulqar though movie revolves fully around dq she is beautiful has kept her presence sweet throughout movie situations movie were not predictable though not all them were totally new story line has been drawn very carefully wary viewer holding some tricks up sleeve all way spotted with interesting incidents movie is feel gooder movie has good art work i will not be surprised if movie wins awards its art work addition many others sets are interesting lot nice objects have been used tell story movie songs are impressive is at par with movie coming at pretty regular intervals movie is kept pleasant musical all through cinematography is excellent movie has been written use lot beautiful varied striking sights camera has captured them nicely be it saturated colors fort kochi striking costumes pooram however fact matter is that movie is quite sublime just whiffs off pretty quickly it was not meant be deep or leave lasting impact it is just nice roller coaster ride into charlies life i would see it again,0.6548939156082012,0.3374768089053803,Positive,"{'Happy': 0.28, 'Angry': 0.01, 'Surprise': 0.16, 'Sad': 0.16, 'Fear': 0.38}"
10,A Pure Piece of ArtWork,"This movie is a treasure for artistic mind and creative people. The story is amusing and art direction, cinematography is mind blowing. Hats off to the whole production team.",pure piece artwork,this movie is treasure artistic mind creative people story is amusing art direction cinematography is mind blowing hats off whole production team,0.78,0.3695238095238095,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.2, 'Fear': 0.2}"
7,A feel good movie nothing more,"A December release and a movie from Dulquer Salman after a long gap, there was bound to be a lot of buzz and hype around the movie. Naturally the expectations were too high. Also since Dulquer-Martin Prakaat's previous venture ABCD was a hit with positive feedback. Charlie however does not have a great story or comedy scenes like ABCD. The movie is simply a search by Parvathi Menon to find Charlie. Where the movie scores: 1The curiosity raised among the audience by Parvathi Menon around this Charlie character. 2The positive vibes created by the attitude of Charlie towards life and all those who he meets along the way 3The moments were Dulquer's commanding laugh reminded of his father Mammooty. 4A helpless daughter, an ill-fated wife and an unlucky doctor who gets back happiness thanks to Charlie However amidst all these positives, the end felt like i was told to get out of the train before reaching the destination. A ridiculous magic trick and poor attempts at jokes did not make the climax any better. Overall like any other viewer I would admit that Dulquer Salman owned it and I may even watch it again",feel good movie nothing more,december release movie dulquer salman after long gap there was bound be lot buzz hype around movie naturally expectations were too high also since dulquer martin prakaats previous venture abcd was hit with positive feedback charlie however does not have great story or comedy scenes like abcd movie is simply search by parvathi menon find charlie where movie scores 1the curiosity raised among audience by parvathi menon around this charlie character 2the positive vibes created by attitude charlie towards life all those who he meets along way 3the moments were dulquers commanding laugh reminded his father mammooty 4a helpless daughter ill fated wife unlucky doctor who gets back happiness thanks charlie however amidst all these positives end felt like i was told get out train before reaching destination ridiculous magic trick poor attempts at jokes did not make climax any better overall like any other viewer i would admit that dulquer salman owned it i may even watch it again,0.4657008864151721,0.159025974025974,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.33}"
8,"""Excellent""",Life is beautiful if you make it different through your own way. Perfect entertainment & an excellent art work. Mind refreshing & a must watch for fresh & art film lovers :-),excellent,life is beautiful if you make it different through your own way perfect entertainment excellent art work mind refreshing must watch fresh art film lovers,0.8875,0.65625,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.22}"
9,Applies greatly when ever you're low,"Try watching Charlie it gives your life back DQ characterization speaks everything, in every department Charlie shines kudos to the maker for this feel good attempt",applies greatly when ever youre low,try watching charlie it gives your life back dq characterization speaks everything every department charlie shines kudos maker this feel good attempt,0.41250000000000003,0.375,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4}"
