Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,Impressive that it even exists,"With all of the self aware jabs at some of the worst trends in Hollywood filmmaking as well as a ridiculous amount of characters from different studios crossing over, it's a miracle that Chip 'n Dale: Rescue Rangers exists in the current filmmaking landscape.What makes it even better is that it's a great film that's impressively paced, funny and pretty heartwarming. A love letter to animation by including as many different forms of it as possible, including the more disturbing ones.John Mulaney cleverly chooses to play it almost completely straight which really helps him bounce off Andy Samberg's energy and adorable naivety. Rounding out the main three is Kiki Layne, who is just as likeable and energetic.Akiva Schaffer's direction is excellent, the film is definitely different to his previous work but he adapts perfectly. The visual effects are consistently strong and the practical and CG blends together nicely overall.",impressive that it even exists,with all self aware jabs at some worst trends hollywood filmmaking as well as ridiculous amount characters different studios crossing over its miracle that chip n dale rescue rangers exists current filmmaking landscape what makes it even better is that its great film thats impressively paced funny pretty heartwarming love letter animation by including as many different forms it as possible including more disturbing ones john mulaney cleverly chooses play it almost completely straight which really helps him bounce off andy sambergs energy adorable naivety rounding out main three is kiki layne who is just as likeable energetic akiva schaffers direction is excellent film is definitely different his previous work but he adapts perfectly visual effects are consistently strong practical cg blends together nicely overall,0.6298850574712644,0.23160919540229885,Positive,"{'Happy': 0.28, 'Angry': 0.03, 'Surprise': 0.28, 'Sad': 0.17, 'Fear': 0.24}"
9,Their legal team must be ELITE,"SCORE: 8.8/10Such a creative masterpiece! Their legal team must've been working overtime to secure all the cameos that were in this movie. We saw so many of the beloved animated characters of our childhood, none of which could amount to the genius inclusion of Ugly Sonic. For the same reasons I love Deadpool 2, I love a movie that is self aware and can make jokes about previous projects. They executed their cameos so well and I was genuinely impressed to see how many characters showed up, both in and out of studio.The voice acting choices were top tier. John Mulaney, Andy Samberg, J. K. Simmons, and the plethora of characters played by Seth Rogen were awesome. I also really enjoyed the plot of this movie, where we see an overweight Peter Pan and his diobolical plan to shoot terrible knock off movies with characters found in this world. What a fun watch!",their legal team must be elite,score 8 8 10such creative masterpiece their legal team mustve been working overtime secure all cameos that were this movie we saw so many beloved animated characters our childhood none which could amount genius inclusion ugly sonic same reasons i love deadpool 2 i love movie that is self aware can make jokes about previous projects they executed their cameos so well i was genuinely impressed see how many characters showed up both out studio voice acting choices were top tier john mulaney andy samberg j k simmons plethora characters played by seth rogen were awesome i also really enjoyed plot this movie where we see overweight peter pan his diobolical plan shoot terrible knock off movies with characters found this world what fun watch,0.5570833333333333,0.2841666666666666,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.33}"
9,A Terrific and Hilarious Spiritual Successor to Roger Rabbit- shame on Disney for not putting this one in theaters,"With a phenomenal cast and incredibly funny and satirical script- Chip 'n Dale Rescue Rangers is a tremendously fun time and the best hybrid animated/live action flick since Who Framed Roger Rabbit. I have to come clean first, as I have never actually watched the original Rescue Rangers tv show, although I have always had a firm desire to do so at some point. Knowing little to nothing about the characters at hand besides there small presence in some classic Mickey Mouse cartoons- I still found myself to deeply enjoy this film for what it was, and loved its new take and incredible satire on the animation industry. First off, the cast is just amazing; John Mulaney, Andy Samberg, Seth Rogen, Will Arnett, J. K. Simmons, Keegan Michael KEy, Eric Bana, Tim Robinson, and so many more- not to mention its written and directed by Akiva Schaffer of The Lonely Island- there is just so much to geek out about here. The script can go through some familiar elements at times, and it definitely is inspired by the likes of films like Who Framed Roger Rabbit, but definitely better than other films with that same copycat idea like Cool World or Monkeybone. Besides some basic bland formula structure, I enjoyed the humor of this film deeply- and loved the way they handled the references throughout- especially with Ugly Sonic and the numerous Seth Rogen characters which had me dying every time they were on screen. It also had a surprising amount of heart to it as well, and even made me tear up towards the end there, which I have to say I was not expecting from a film about two talking chipmunks. In the end, Chip 'n Dale may not be as perfect as Roger Rabbit but it's a wonderful and hilarious spiritual successor that I certainly wouldn't mind watching again and am disappointed to see go straight to streaming.My Rating: 8.9/10.",terrific hilarious spiritual successor roger rabbit shame disney not putting this one theaters,with phenomenal cast incredibly funny satirical script chip n dale rescue rangers is tremendously fun time best hybrid animated live action flick since who framed roger rabbit i have come clean first as i have never actually watched original rescue rangers tv show although i have always had firm desire do so at some point knowing little nothing about characters at hand besides there small presence some classic mickey mouse cartoons i still found myself deeply enjoy this film what it was loved its new take incredible satire animation industry first off cast is just amazing john mulaney andy samberg seth rogen will arnett j k simmons keegan michael key eric bana tim robinson so many more not mention its written directed by akiva schaffer lonely island there is just so much geek out about here script can go through some familiar elements at times it definitely is inspired by likes films like who framed roger rabbit but definitely better than other films with that same copycat idea like cool world or monkeybone besides some basic bland formula structure i enjoyed humor this film deeply loved way they handled references throughout especially with ugly sonic numerous seth rogen characters which had me dying every time they were screen it also had surprising amount heart it as well even made me tear up towards end there which i have say i was not expecting film about two talking chipmunks end chip n dale may not be as perfect as roger rabbit but its wonderful hilarious spiritual successor that i certainly wouldnt mind watching again am disappointed see go straight streaming my rating 8 9 10,0.5680470889654563,0.23859550313631944,Positive,"{'Happy': 0.15, 'Angry': 0.02, 'Surprise': 0.35, 'Sad': 0.29, 'Fear': 0.19}"
8,Oh Man! this was soooooo Hilarious!!!,"I'm a man from the Duck Tales Generation so indeed I loved the idea of a reboot movie about Chip N' Dale's Rescue Rangers, but this was so much more. Somewhat a modern take on who Frame Rodger Rabbit, Chip N. Dale play out of work cartoon characters who have not been relevant snice the Disney Afternoon, who get back together in order to solve a real crime.It's a satire on the whole animation business. Lucky for Disney, they have a large roster of animation to choose from. The long history of animation is explored as this new Chip and Dale don't just live in a world of 2D animation, but CGI, stop motion, even puppets interact with the humans here. We also get great cameos from other cartoon characters who add to the showbiz concept of sometimes you're on top with your movie on a billboard on the Sunset strip and sometimes you're not the main attraction at comic con. They left no stone unturned about what Geekdom is like today and every stone turned made me laugh out loudI feel like Disney may have missed the mark on this one. In a world filled with geeks completely nostalgic over their childhood I feel this reboot of the Rescue Rangers could have made a decent dime at the box office. It just celebrated what the whole culture was about. Love it!",oh man this was soooooo hilarious,im man duck tales generation so indeed i loved idea reboot movie about chip n dales rescue rangers but this was so much more somewhat modern take who frame rodger rabbit chip n dale play out work cartoon characters who have not been relevant snice disney afternoon who get back together order solve real crime its satire whole animation business lucky disney they have large roster animation choose long history animation is explored as this new chip dale dont just live world 2d animation but cgi stop motion even puppets interact with humans here we also get great cameos other cartoon characters who add showbiz concept sometimes youre top with your movie billboard sunset strip sometimes youre not main attraction at comic con they left no stone unturned about what geekdom is like today every stone turned made me laugh out loudi feel like disney may have missed mark this one world filled with geeks completely nostalgic over their childhood i feel this reboot rescue rangers could have made decent dime at box office it just celebrated what whole culture was about love it,0.5265942390942391,0.23956460206460212,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.32, 'Fear': 0.34}"
7,Funny Nostalgic Adventure,"Chip 'n Dale: Rescue Rangers is good. It is a really funny film with various cameos throughout the film. The plot itself isn't the most original, as I've seen it done before, but the dialogue between characters feels authentic and funny at the right times. I enjoyed this film.Overall, 7/10.",funny nostalgic adventure,chip n dale rescue rangers is good it is really funny film with various cameos throughout film plot itself isnt most original as ive seen it done before but dialogue between characters feels authentic funny at right times i enjoyed this film overall 7 10,0.6946428571428571,0.2592261904761905,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.17, 'Fear': 0.25}"
8,Multi-Refencial-Meta-Fan-Service with Love,"Surprised with the clever jokes and the attention to detail, the movie is just a Gift for the 90's children.Amazing production, impossible to see without a smile on the face.",multi refencial meta fan service with love,surprised with clever jokes attention detail movie is just gift 90s children amazing production impossible see without smile face,0.7222222222222222,0.16666666666666666,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.0}"
5,Nostalgia bate at its finest,"Don't get me wrong, the voice acting in the movie is top notch. And the animation style is definitely something to talk about. But where those things exceeds almost everything else in the movie falls flat. I think this movie knew it's strongest pint would be it's nostalgia and it put a lot on that aspect. So beyond that you just have a kid Disney movie with some good voice acting.If your not interested in having 90s and 2000s nostalgia shoved down your eye holes for the entire film this is not for you. But if you wanna see John Mulaney and Andy Samberg dish out some comedy gold together then it might be worth pushing through the bad.",nostalgia bate at its finest,dont get me wrong voice acting movie is top notch animation style is definitely something talk about but where those things exceeds almost everything else movie falls flat i think this movie knew its strongest pint would be its nostalgia it put lot that aspect so beyond that you just have kid disney movie with some good voice acting if your not interested having 90s 2000s nostalgia shoved down your eye holes entire film this is not you but if you wanna see john mulaney andy samberg dish out some comedy gold together then it might be worth pushing through bad,0.40046296296296297,-0.0004629629629629521,Negative,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.13, 'Sad': 0.35, 'Fear': 0.35}"
10,This movie is a fan service experiment for future films,Cameofan-servicemania!The Geeks will love this movie.About: Very simular of The Happytime Murders movie. Just more PG.Story and production: The production was Crisp like delicious poutine. The animation in live action was great. Way better cgi than the recent Mcu films *cough*.Story and twists were so cliche and you could hear Quicksilver cameo and say echo *you didn't see that coming*. I heard it. Did you?I knew this movie looked bad in the trailer that I had to watch it because it looked unqiue. The production was well put together.Highlight: Randy Marsh.Main Intelligence: 5. Why didn't the Candlestick plan ahead to receive money? He tried taking money with his lit candles and the money burned. How did he not figure that out 50 years ago? Haha!Worthless Mutt alert: yes a few ugly dogs appear.Unworthiness level: 5. For a Disney movie it wasn't as bad as the emsheyou. They turned the almighty He-Man into a beta male. Horrible sight to see.Should you watch this? Most def. I liked it. It's not the greatest movies but it's an ok movie.If You get easily stimulated by cameos and fan service you might get high off of the cameos and fan service in this movie. They may make you feel like you just had the best WindWork. The Geeks will love the 1 second cameos like a baby loves peek a boo. Haha!Silly Theory: DC-Marvel live action or even animation movie is possible.It.,this movie is fan service experiment future films,cameofan servicemania geeks will love this movie about very simular happytime murders movie just more pg story production production was crisp like delicious poutine animation live action was great way better cgi than recent mcu films cough story twists were so cliche you could hear quicksilver cameo say echo you didnt see that coming i heard it did you i knew this movie looked bad trailer that i had watch it because it looked unqiue production was well put together highlight randy marsh main intelligence 5 why didnt candlestick plan ahead receive money he tried taking money with his lit candles money burned how did he not figure that out 50 years ago haha worthless mutt alert yes few ugly dogs appear unworthiness level 5 disney movie it wasnt as bad as emsheyou they turned almighty he man into beta male horrible sight see should you watch this most def i liked it its not greatest movies but its ok movie if you get easily stimulated by cameos fan service you might get high off cameos fan service this movie they may make you feel like you just had best windwork geeks will love 1 second cameos like baby loves peek boo haha silly theory dc marvel live action or even animation movie is possible it,0.5281372549019608,0.09949197860962568,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.33, 'Sad': 0.25, 'Fear': 0.28}"
9,Chip 'n Dale: Rescue Rangers,"To say that Chip 'n Dale: Rescue Rangers is the best live-action/animated comedy movie since Who Framed Roger Rabbit does not mean much.Just how many good live-action/animated comedy has there since Roger Rabbit? Space Jam being a honourable exception.Chip and Dale were childhood best friends who ended up having a hit Disney show in the late 1980s as private investigators.It ended bitterly as Dale went for his own solo show that flopped and their series was cancelled.Driven apart. Chip works in insurance and lives a lonely existence. Dale clings on to his old fame by hanging around fan conventions and hoping for Chip 'n Dale to be rebooted.When their old co star Monterey Jack is kidnapped, lured by stinky cheese. Chip and Dale join forces to track him down. Only to find that a bootlegged future awaits once famous cartoon characters.Fast and zany. Disney uses its own IP as well as from other companies. Heck even Roger Rabbit turns up.There is Winnie the Pooh, He-Man, Skeletor, ET, Batman, Scrooge McDuck, The Simpsons, Baloo the Bear, Chipmunks as well as many others. The Stand out is Ugly Sonic, the much mocked version of Sonic the Hedgehog when the movie trailer was unveiled.The movie lovingly mocks Hollywood. Dale has become a CGI character while Chip flatly remains 2D animated. There are jokes about the deadeyes look of early 21st century CGI cartoons such as The Polar Express.",chip n dale rescue rangers,say that chip n dale rescue rangers is best live action animated comedy movie since who framed roger rabbit does not mean much just how many good live action animated comedy has there since roger rabbit space jam being honourable exception chip dale were childhood best friends who ended up having hit disney show late 1980s as private investigators it ended bitterly as dale went his own solo show that flopped their series was cancelled driven apart chip works insurance lives lonely existence dale clings his old fame by hanging around fan conventions hoping chip n dale be rebooted when their old co star monterey jack is kidnapped lured by stinky cheese chip dale join forces track him down only find that bootlegged future awaits once famous cartoon characters fast zany disney uses its own ip as well as other companies heck even roger rabbit turns up there is winnie pooh he man skeletor et batman scrooge mcduck simpsons baloo bear chipmunks as well as many others stand out is ugly sonic much mocked version sonic hedgehog when movie trailer was unveiled movie lovingly mocks hollywood dale has become cgi character while chip flatly remains 2d animated there are jokes about deadeyes look early 21st century cgi cartoons such as polar express,0.4720117845117845,0.1800026782981328,Positive,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.2, 'Sad': 0.34, 'Fear': 0.34}"
5,What an absolutely bizarre age of movies this is,"Okay, look. I know I say this about almost everything that ever gets made at this point, but when I saw the trailer for Chip 'n Dale: Rescue Rangers, I truly, deeply believed that I was watching a parody. This isn't just a quip for the review, like when I jokingly wrote that I mistook Detective Pikachu for a Corridor Digital video or something.Here, it genuinely took me a second to realize that the trailer was posted on the official Disney Studios channel on YouTube; that the teaser for a CG'd reboot of Rescue Rangers -- with music by Doja Cat and ""starring the Lonely Island"" -- WASN'T a sketch by Screen Junkies. But hey, the one where Deadpool plays Pikachu turned out to be a real movie. I really should've guessed.Now, obviously, this isn't to say that the movie is necessarily terrible. It clearly isn't taking itself that seriously and so there is no use to complain too much. But why is THIS the premise of a revamp of The Rescue Rangers?More precisely, it follows in the footsteps of films like Looney Tunes Back in Action (2003), showing these beloved animal characters resurface as washed-up has-beens, some of whom have undergone cosmetic changes (e.g. Dale's upgrade to 3D animation) to stay hot and relevant. Alas, it also takes some cues from Space Jam 2 and the utterly loathsome Tom and Jerry, being a cartoon-live-action hybrid full of references to famous IPs that you're meant to laugh and clap at. We see Roger Rabbit and MC Skat Kat for a little bit, but Disney isn't fooling anyone; there is no reason to put Chip and Dale -- especially the 1990s RR versions -- in this kind of setting.Of course it's not impossible to revamp the old Disney Afternoon shows in a way that also calls back to the days of yore. Just look at how well 2017's Ducktales did. But that one didn't act as if Scrooge McDuck was an actor this whole time and that his escapades were filmed on the same soundstage where Roger Rabbit shoots his shorts.That's not just an analogy, by the way. We do see Scrooge in the movie, along with many other animated ""actors"", not just limited to those found in 2D Disney classics. (There's no Aki Ross, but a boy can dream.) As another critic noted, this is a deeply weird film before we even get to the castration jokes (the PAW Patrol crew are implied to have done something truly horrid to a police officer's manhood), the loathly revelation of Gadget and Zipper's plentiful half-fly, half-mouse offspring, and the realization of the sheer amount of animated media being referenced here -- this Disney movie calls back to the Zemeckisverse, Gumby, anime, Rick and Morty, South Park, and, inadvertently, Bojack Horseman (the film all but ""typecasts"" Will Arnett as a bloated, washed-up actor in a world of both humans and man-beasts).There are several fun gags based around all these different animation styles (Hell, I dare say this romp is more varied and interesting to watch than Ralph Breaks the Internet, another flick that likely paved the way for this one) and there are jokes at the expense of 2019's Cats, the nightmarish original design of Sonic for 2020's Sonic the Hedgehog, and even Disney's own Lion King remake that I especially appreciate. It's rich coming from the same people who just sucked all life and energy out of Monterey Jack and Gadget (all the bona fide 2D animation seems reserved for throwaway cameos), but still.While I occasionally enjoyed the meta-humor and irony, I didn't properly ""register"" them at first. After Free Guy and The Matrix: Resurrection (on top of all the other similar films I've named thus far), you can't really hide your creative bankruptcy and nostalgia-baiting behind the veneer of irony. On the contrary, I've actually come to EXPECT movies like this to make fun of corporate greed while exemplifying that very greed. I'd be shocked if there WEREN'T jokes about reboots and ""Hollywood nonsense"" in this.The main takeaway for me is the following fact: the kiddie film category isn't just for kiddies anymore. Yes, this is a cutesy Disney movie that doesn't have any swears and nudity but let's be honest, small children aren't going to comprehend half of what is happening in this. It's not like Spider-Man: No Way Home, where there's something for everyone but perhaps mostly for the veteran fans. With this movie, it's official; we are now making ""children's films"" that are wholly and exclusively for manchildren.In any case, I guess I'm not too offended. I've found Chip and Dale to be total dicks in almost every canonical appearance I've seen from them -- even when they appeared with no names in 1943's Private Pluto. If Disney wants to ""ruin"" them, I won't lose any sleep.",what absolutely bizarre age movies this is,okay look i know i say this about almost everything that ever gets made at this point but when i saw trailer chip n dale rescue rangers i truly deeply believed that i was watching parody this isnt just quip review like when i jokingly wrote that i mistook detective pikachu corridor digital video or something here it genuinely took me second realize that trailer was posted official disney studios channel youtube that teaser cgd reboot rescue rangers with music by doja cat starring lonely island wasnt sketch by screen junkies but hey one where deadpool plays pikachu turned out be real movie i really shouldve guessed now obviously this isnt say that movie is necessarily terrible it clearly isnt taking itself that seriously so there is no use complain too much but why is this premise revamp rescue rangers more precisely it follows footsteps films like looney tunes back action 2003 showing these beloved animal characters resurface as washed up has beens some whom have undergone cosmetic changes e g dales upgrade 3d animation stay hot relevant alas it also takes some cues space jam 2 utterly loathsome tom jerry being cartoon live action hybrid full references famous ips that youre meant laugh clap at we see roger rabbit mc skat kat little bit but disney isnt fooling anyone there is no reason put chip dale especially 1990s rr versions this kind setting course its not impossible revamp old disney afternoon shows way that also calls back days yore just look at how well 2017s ducktales did but that one didnt act as if scrooge mcduck was actor this whole time that his escapades were filmed same soundstage where roger rabbit shoots his shorts thats not just analogy by way we do see scrooge movie along with many other animated actors not just limited those found 2d disney classics theres no aki ross but boy can dream as another critic noted this is deeply weird film before we even get castration jokes paw patrol crew are implied have done something truly horrid police officers manhood loathly revelation gadget zippers plentiful half fly half mouse offspring realization sheer amount animated media being referenced here this disney movie calls back zemeckisverse gumby anime rick morty south park inadvertently bojack horseman film all but typecasts will arnett as bloated washed up actor world both humans man beasts there are several fun gags based around all these different animation styles hell i dare say this romp is more varied interesting watch than ralph breaks internet another flick that likely paved way this one there are jokes at expense 2019s cats nightmarish original design sonic 2020s sonic hedgehog even disneys own lion king remake that i especially appreciate its rich coming same people who just sucked all life energy out monterey jack gadget all bona fide 2d animation seems reserved throwaway cameos but still while i occasionally enjoyed meta humor irony i didnt properly register them at first after free guy matrix resurrection top all other similar films ive named thus far you cant really hide your creative bankruptcy nostalgia baiting behind veneer irony contrary ive actually come expect movies like this make fun corporate greed while exemplifying that very greed id be shocked if there werent jokes about reboots hollywood nonsense this main takeaway me is following fact kiddie film category isnt just kiddies anymore yes this is cutesy disney movie that doesnt have any swears nudity but lets be honest small children arent going comprehend half what is happening this its not like spider man no way home where theres something everyone but perhaps mostly veteran fans with this movie its official we are now making childrens films that are wholly exclusively manchildren any case i guess im not too offended ive found chip dale be total dicks almost every canonical appearance ive seen them even when they appeared with no names 1943s private pluto if disney wants ruin them i wont lose any sleep,0.48808054085831865,0.12523582384693493,Positive,"{'Happy': 0.12, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.28, 'Fear': 0.26}"
