Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,My favourite film of all time,"It is by now well known that there are two versions of this film that differ greatly, the original 3 hour Italian cut and the heavily re-edited 2 hour version which was the version that charmed the world in 1989. It remains a wonderful experience, but the director's cut is so much richer, deeper, satisfying,well,everything. This review is of the director's cut which may not be the greatest film in the world but is my favourite film of all time ever since I came out of the cinema in which I first saw it in back in 1994 crying my eyes out. Never has a film effected me as emotionally as this one. Cinema Paradiso is many things- a touching story of a friendship, a wonderful portrayal of a Sicilian village, a loving tribute to the cinema, amongst other things, but the longer cut is I believe the most moving and romantic love story ever. For my money, you can forget Casablanca,Dr Zhivago,Titanic,Romeo and Juliet,etc {great as some of them are}, this is the one that does it for me.Divided into three sections, it is the first section that was left almost intact in the short version. It is of course primarily concerned with the relationship between young Toto and the projectionist of his local cinema, Alfredo. It is full of delightful touches,such as Toto stealing a frame of film from behind Alfredo's back, or when Toto helps Alfredo during an exam so he can be allowed into the projection booth, or perhaps best and simplest of all of all Toto's spellbound face as he watches the footage that will be censored by the town priest. The cinema is portrayed as almost being the centre of life in the town Giancaldo in which the film is mostly set. The actual sequences set in the cinema are full of wonderful observation and even some belly laughs. There's the man who only goes to the cinema to sleep and is always awoken by kids, the couple who see each other for the first time because everyone else is cowering from Dr Jekyll And Mr Hyde, the old man who says ""no, this is IMPORTANT"" when everyone else ""booos"" the news-all human life is here, with more observations and insights than in any Mike Leigh film. This section climaxes in a scene which is simply magical, when Alfredo projects a film onto the wall of a house so everyone can see it.As the film moves forward several years to show Toto as a 16 year old, the wonderful cinema scenes are still present. Who can forget the cinema usher telling off a group of young boys for playing with themselves while watching Brigitte Bardot and then sheepishly giving his own manhood a little touch? Director Guiseppe Tornatore also subtly reminds us of changing times, such as when television is first shown in the cinema. However, it is mainly concerned with Toto's {now called Salvatore} courtship of the girl he is in love with, Elena. No one who has experienced the pangs of first love can fail to respond to such scenes as Salvatore ranting on to Elena on the phone how much he loves her and realising he's actually been talking to her mother, or the beautiful first kiss and embrace in the projection booth {of course}.It is in the final section, as Salvatore, now a great film director, returns to Giancaldo as a 50ish man to attend Alfredo's funeral,where the humour all but disappears {well, life gets more serious as one gets older, does it not?} and the pace does slow-be warned. It is possibly the most emotional hour of cinema ever, and was cut to about 15 mins in the short version. Salvatore's reunion with Elena, which also displays absolutely brilliant acting from Jacques Perrin and Brigitte Fossey, is so painful a sequence, as the two characters pour their hearts out to each other. As Ennio Morricone's love theme swells up {a truly heartbreaking piece of music},it ends up being one of the most beautiful love scenes ever filmed. Salvatore's reunion with his mother and his exploration of the cobwebbed, dilapidated, cinema are also extremely moving. As for the final scene, where Salvatore opens a certain gift Alfredo left him-well,there's been too many spoilers already in this review, but suffice to say it is matchless, simply matchless. It was moving in the short cut, but is three times more meaningful in the director's cut.Cinema Paradiso has been called sentimental, but in the director's cut it is a darker, deeper kind of sentimentality. Maybe it is still ""a love letter to the cinema"", but it is also shows that obsessive love of something such as films can also result in sadness and regret. Think of what happens to Alfredo in the film, and as for Salvatore, well, his curse is that he has two loves in his life but success in one of them comes at the expense of the other. The uncut Cinema Paradiso is more then anything else about life and the effect of the decisions we make. O, and the greatest, most heartbreaking love story ever {have I already said this!}",my favourite film all time,it is by now well known that there are two versions this film that differ greatly original 3 hour italian cut heavily re edited 2 hour version which was version that charmed world 1989 it remains wonderful experience but directors cut is so much richer deeper satisfying well everything this review is directors cut which may not be greatest film world but is my favourite film all time ever since i came out cinema which i first saw it back 1994 crying my eyes out never has film effected me as emotionally as this one cinema paradiso is many things touching story friendship wonderful portrayal sicilian village loving tribute cinema amongst other things but longer cut is i believe most moving romantic love story ever my money you can forget casablanca dr zhivago titanic romeo juliet etc great as some them are this is one that does it me divided into three sections it is first section that was left almost intact short version it is course primarily concerned with relationship between young toto projectionist his local cinema alfredo it is full delightful touches such as toto stealing frame film behind alfredos back or when toto helps alfredo during exam so he can be allowed into projection booth or perhaps best simplest all all totos spellbound face as he watches footage that will be censored by town priest cinema is portrayed as almost being centre life town giancaldo which film is mostly set actual sequences set cinema are full wonderful observation even some belly laughs theres man who only goes cinema sleep is always awoken by kids couple who see each other first time because everyone else is cowering dr jekyll mr hyde old man who says no this is important when everyone else booos news all human life is here with more observations insights than any mike leigh film this section climaxes scene which is simply magical when alfredo projects film onto wall house so everyone can see it as film moves forward several years show toto as 16 year old wonderful cinema scenes are still present who can forget cinema usher telling off group young boys playing with themselves while watching brigitte bardot then sheepishly giving his own manhood little touch director guiseppe tornatore also subtly reminds us changing times such as when television is first shown cinema however it is mainly concerned with totos now called salvatore courtship girl he is love with elena no one who has experienced pangs first love can fail respond such scenes as salvatore ranting elena phone how much he loves her realising hes actually been talking her mother or beautiful first kiss embrace projection booth course it is final section as salvatore now great film director returns giancaldo as 50ish man attend alfredos funeral where humour all but disappears well life gets more serious as one gets older does it not pace does slow be warned it is possibly most emotional hour cinema ever was cut about 15 mins short version salvatores reunion with elena which also displays absolutely brilliant acting jacques perrin brigitte fossey is so painful sequence as two characters pour their hearts out each other as ennio morricones love theme swells up truly heartbreaking piece music it ends up being one most beautiful love scenes ever filmed salvatores reunion with his mother his exploration cobwebbed dilapidated cinema are also extremely moving as final scene where salvatore opens certain gift alfredo left him well theres been too many spoilers already this review but suffice say it is matchless simply matchless it was moving short cut but is three times more meaningful directors cut cinema paradiso has been called sentimental but directors cut it is darker deeper kind sentimentality maybe it is still love letter cinema but it is also shows that obsessive love something such as films can also result sadness regret think what happens alfredo film as salvatore well his curse is that he has two loves his life but success one them comes at expense other uncut cinema paradiso is more then anything else about life effect decisions we make o greatest most heartbreaking love story ever have i already said this,0.53166897827092,0.2601306056403144,Positive,"{'Happy': 0.2, 'Angry': 0.06, 'Surprise': 0.34, 'Sad': 0.19, 'Fear': 0.21}"
8.0,The Loves Of 'Toto' Beautifully Told,"After seeing this special edition DVD which shows the entire 174-minute film (in addition to the 121-minute one that most of us had seen over the years,) my rating of this film was elevated. This review is of the longer ""director's cut.""Most of the new footage involved the main's character's romance while he was a young man. The story then is continued years later when that character comes back to his hometown for a funeral and runs into the woman he was in love with but never was able to get for his own. It turns out to be a somewhat tragic love story.The first part of the film, with Salvatore Cascio as ""Toto"" a young boy is a love story about two people sharing their love of movies: the kid and an adult ""Alfredo"" (Phillpe Noiret) who runs the local movie theater. Their love of film bonds them for life.The word ""love"" is used repeatedly in this review because that's the dominant theme: the love people had for others and for the world of film, something all of us on this website share.The second and third parts of the film are the above-mentioned love story of Toto (Marco Leonardi as an adolescent and then Jacques Perrin as an adult) and ""Elena"" (Agnese Nano/ Brigitte Fossey). The first third of this director;s cut edition is much livelier and interesting, frankly, than the last two-thirds. Although not boring, it does drag in a few spots but the longer version is better in the long run because it makes the whole story much more meaningful.It's very nicely filmed and you get a real feel for the Italian people and their little town. The director of the movie, Giuseppe Tornatore, went on to make other great visual films, two of which I also like: Malena and The Star Maker.....but Cinema Paradiso, I believe, is considered his ""masterpiece.""",loves toto beautifully told,after seeing this special edition dvd which shows entire 174 minute film addition 121 minute one that most us had seen over years my rating this film was elevated this review is longer directors cut most new footage involved mains characters romance while he was young man story then is continued years later when that character comes back his hometown funeral runs into woman he was love with but never was able get his own it turns out be somewhat tragic love story first part film with salvatore cascio as toto young boy is love story about two people sharing their love movies kid adult alfredo phillpe noiret who runs local movie theater their love film bonds them life word love is used repeatedly this review because thats dominant theme love people had others world film something all us this website share second third parts film are above mentioned love story toto marco leonardi as adolescent then jacques perrin as adult elena agnese nano brigitte fossey first third this director s cut edition is much livelier interesting frankly than last two thirds although not boring it does drag few spots but longer version is better long run because it makes whole story much more meaningful its very nicely filmed you get real feel italian people their little town director movie giuseppe tornatore went make other great visual films two which i also like malena star maker but cinema paradiso i believe is considered his masterpiece,0.41989876443001434,0.24189596861471854,Positive,"{'Happy': 0.28, 'Angry': 0.02, 'Surprise': 0.24, 'Sad': 0.2, 'Fear': 0.26}"
10.0,Classic,"This 1988 Italian film (released in the US in 1990), is back with a full 51 minutes added on. This seemed like a stupid idea...there was nothing wrong with the original. The directors cut (which was 1/2 hour longer) was considered a mess. Also, for this release, an extra 1/2 hour was added! I expected the worse. Well, I was pleasantly surprised that this 3 hour version is better than the 2 hour one.This story follows the life of Salvatore. He's born in a tiny Italian village and we see him as a little boy in the 1930s, an adolescent in the 40s-50s and an adult in the 80s. It basically is about his love of movies and the one true love of his life--Elena. They are in love but she comes from a rich family and he lives in poverty. How can they be together?POSSIBLE MINOR SPOILER IN NEXT PARAGRAPH!!!!The cut movie in the US excised a lot of the Elena subplot and concentrated on Salvatore's love of movies. There's nothing wrong with that, but Elena disappears quite suddenly. This full version explains what happened between them and fleshes out the characters more. It also reveals a crucial surprise at the end.The performances are all fantastic--especially by the gorgeous young actor playing Salvatore as a teenager. Elena is also stunning. The film has beautiful cinematography and a haunting music score. The 3 hours flew by for me. I didn't want it to end! So...beautiful music, attractive stars, good acting, compelling story and some incredible romantic sequences. A must-see!!!!Bring plenty of Kleenex though--I cried a least 5 times!",classic,this 1988 italian film released us 1990 is back with full 51 minutes added this seemed like stupid idea there was nothing wrong with original directors cut which was 1 2 hour longer was considered mess also this release extra 1 2 hour was added i expected worse well i was pleasantly surprised that this 3 hour version is better than 2 hour one this story follows life salvatore hes born tiny italian village we see him as little boy 1930s adolescent 40s 50s adult 80s it basically is about his love movies one true love his life elena they are love but she comes rich family he lives poverty how can they be together possible minor spoiler next paragraph cut movie us excised lot elena subplot concentrated salvatores love movies theres nothing wrong with that but elena disappears quite suddenly this full version explains what happened between them fleshes out characters more it also reveals crucial surprise at end performances are all fantastic especially by gorgeous young actor playing salvatore as teenager elena is also stunning film has beautiful cinematography haunting music score 3 hours flew by me i didnt want it end so beautiful music attractive stars good acting compelling story some incredible romantic sequences must see bring plenty kleenex though i cried least 5 times,0.5702651515151514,0.19441287878787875,Positive,"{'Happy': 0.3, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.15}"
10.0,Every Filmmaker's Favorite Film,"Giuseppe Tornatore's Nuovo cinema Paradiso (Cinema Paradiso) is everything good about the movies. It is a story about love. The love between a Father and Son, an Individual and his home, and the love for the movies. Even if this is not your favorite film, if you are a filmmaker, you have no choice but to say this is your all time favorite film (if not one of the greatest films ever made). If only for the movie's ending, this is a great film. The ending answers all of your questions and completes the story. The missing love from a Man's life. The missing pieces to all the stories (movies) found and made into a whole. The final message from beyond the grave, the ending is perfect. If the musical score doesn't put you in tears, the amazing visuals will push you over the edge. This is what all movies should be about. Terrific.",every filmmakers favorite film,giuseppe tornatores nuovo cinema paradiso cinema paradiso is everything good about movies it is story about love love between father son individual his home love movies even if this is not your favorite film if you are filmmaker you have no choice but say this is your all time favorite film if not one greatest films ever made if only movies ending this is great film ending answers all your questions completes story missing love mans life missing pieces all stories movies found made into whole final message beyond grave ending is perfect if musical score doesnt put you tears amazing visuals will push you over edge this is what all movies should be about terrific,0.6775000000000001,0.37,Positive,"{'Happy': 0.26, 'Angry': 0.06, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.26}"
9.0,A beautiful film about the love of movies and life,"I continue to be moved and deeply touched by this beautiful film from Italy, and I never tire of watching it. I share the lives of Toto and Alfredo, the small Sicilian boy, who loses his father in the second world war, and the older man who runs the projector at the local cinema. Toto lives in a world of make believe, movies, adventure. His dreams take him away from the small Sicilian village where he lives with his mother and sister. Alfredo becomes for him a surrogate father, and the movies, his paralell existence. It is a deceptively simple film, which sweeps you up and carries you along. You never want it to end. And, when it does end, it is with such heartbreaking simplicity, I cannot help being moved to tears. Young Salvatore Cascio is a marvel as the small Toto, a mischievous, impish, adorable child. Phillipe Noiret is unforgettable as the sly and heart-warming Alfredo. You grow up with Toto, until he becomes a famous film director in Rome, and returns to the small village after many years for Alfredo's funeral. It is the story of life, lost love, devotion, friendship, and family. It is unforgettable.",beautiful film about love movies life,i continue be moved deeply touched by this beautiful film italy i never tire watching it i share lives toto alfredo small sicilian boy who loses his father second world war older man who runs projector at local cinema toto lives world make believe movies adventure his dreams take him away small sicilian village where he lives with his mother sister alfredo becomes him surrogate father movies his paralell existence it is deceptively simple film which sweeps you up carries you along you never want it end when it does end it is with such heartbreaking simplicity i cannot help being moved tears young salvatore cascio is marvel as small toto mischievous impish adorable child phillipe noiret is unforgettable as sly heart warming alfredo you grow up with toto until he becomes famous film director rome returns small village after many years alfredos funeral it is story life lost love devotion friendship family it is unforgettable,0.5424036281179139,0.22698412698412698,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.18, 'Sad': 0.32, 'Fear': 0.25}"
10.0,One of the best and most moving films of the 80s,"As a big lover of film, I am still kicking myself for not seeing this masterpiece any sooner. To me, Cinema Paadiso is one of the best films of the 80s and also the most moving, particularly in the final hour.I have seen many visually stunning films, and Cinema Paradiso is up there as one of the most visually ravishing films I've seen. The cinematography and editing are outstanding, and the scenery still looks gorgeous with an epic feel to it. Cinema Paradiso, alongside The Good, The Bad and the Ugly and Once Upon a Time in the West, also contains one of Ennio Morricone's most haunting scores and it is also one of my favourites of his.Cinema Paradiso is immaculately directed, has an touching, beautifully-written and honest script and a rich, compelling story that while it has an elegiac feel moves swiftly by draws you right in until the ending, which breaks my heart still after 5 times of seeing it.The characters are very well defined, particularly Alfredo, and the acting is outstanding with Salvatore Cascio, Enzo Cannavale, Marco Leonardi and especially Phillippe Noiret particularly impressive. All in all, a masterpiece. 10/10 Bethany Cox",one best most moving films 80s,as big lover film i am still kicking myself not seeing this masterpiece any sooner me cinema paadiso is one best films 80s also most moving particularly final hour i have seen many visually stunning films cinema paradiso is up there as one most visually ravishing films ive seen cinematography editing are outstanding scenery still looks gorgeous with epic feel it cinema paradiso alongside good bad ugly once upon time west also contains one ennio morricones most haunting scores it is also one my favourites his cinema paradiso is immaculately directed has touching beautifully written honest script rich compelling story that while it has elegiac feel moves swiftly by draws you right until ending which breaks my heart still after 5 times seeing it characters are very well defined particularly alfredo acting is outstanding with salvatore cascio enzo cannavale marco leonardi especially phillippe noiret particularly impressive all all masterpiece 10 10 bethany cox,0.6012315270935962,0.3578407224958949,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.24, 'Sad': 0.21, 'Fear': 0.28}"
10.0,A Masterpiece,"I seldom watch Italian movies, (i saw it today for the first time) being Italian maybe i'm biased, but this one really stands out. A real masterpiece; i can't remember another movie so moving like this one, maybe Schindler's list; it makes you laugh and it makes you cry, yet it is so simple and straightforward. Maybe there lies its magic: no Hollywood superstars, no special effects, just pure emotions and feelings, love, fear, grief and regret, nostalgia for childhood and youth, memories of places and times that will not come back, memories of the loved ones. Some movies are there to entertain, some to scare, some to question. This movie is there to affect your feelings. Definitely to be seen.",masterpiece,i seldom watch italian movies i saw it today first time being italian maybe im biased but this one really stands out real masterpiece i cant remember another movie so moving like this one maybe schindlers list it makes you laugh it makes you cry yet it is so simple straightforward maybe there lies its magic no hollywood superstars no special effects just pure emotions feelings love fear grief regret nostalgia childhood youth memories places times that will not come back memories loved ones some movies are there entertain some scare some question this movie is there affect your feelings definitely be seen,0.36480654761904757,0.14129464285714285,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.25, 'Fear': 0.25}"
,For Those With a Heart,"This movie is very sentimental, so if you are proud of your cynical side, stay away. If you are scared of foreign movies and start foaming at the mouth at a subtitle, stay away.For the rest of us, this is a masterpiece! Enjoy the movie and enjoy yourself! The end is so beautiful that it is almost unbelievable.",those with heart,this movie is very sentimental so if you are proud your cynical side stay away if you are scared foreign movies start foaming at mouth at subtitle stay away rest us this is masterpiece enjoy movie enjoy yourself end is so beautiful that it is almost unbelievable,0.765625,0.14375,Positive,"{'Happy': 0.29, 'Angry': 0.29, 'Surprise': 0.07, 'Sad': 0.29, 'Fear': 0.07}"
10.0,A Movie For Movie Lovers,"Is there any way for someone who has chosen the movies over life to write anything sensible about this movie for an audience who have made the same choice? I could talk about the way that Philippe Noiret's performance dominates the movie, but he is the only actor who plays his role from start to finish. Certainly, if Giuseppe Tornatore had set out to make a feature intended to win a Best Foreign Picture Oscar, he couldn't have plotted more cannily.It is, after all, a movie about how we start out as small children, trying to make sense out of the world, with nothing to guide us but stories in the dark.... and in the end, we end up that way, nostalgic for a time when we were confident that some day all would be revealed.Well, it hit all my buttons. Still, as I noted at the start, I chose the movies over life.",movie movie lovers,is there any way someone who has chosen movies over life write anything sensible about this movie audience who have made same choice i could talk about way that philippe noirets performance dominates movie but he is only actor who plays his role start finish certainly if giuseppe tornatore had set out make feature intended win best foreign picture oscar he couldnt have plotted more cannily it is after all movie about how we start out as small children trying make sense out world with nothing guide us but stories dark end we end up that way nostalgic time when we were confident that some day all would be revealed well it hit all my buttons still as i noted at start i chose movies over life,0.514069264069264,0.18084415584415584,Positive,"{'Happy': 0.06, 'Angry': 0.12, 'Surprise': 0.18, 'Sad': 0.29, 'Fear': 0.35}"
10.0,As Good as Movies Get,"Movies can wield a strange power over those who sit in the darkened seats of a theatre. The truly great ones manipulate your perception of reality, suspend your disbelief, and ultimately either alter or affirm your view on life. NUOVO CINEMA PARADISO is just such a movie. It is the near-perfect melding of direction, acting, script, sound track, and cinematography. Phillipe Noiret and Salvatore Cascio give the kind of performances usually associated with much more recognizable actors. The supporting cast looks like they could all be full-blooded Sicilians. The location shots add depth and realism to the entire production. Ennio Morricone's music is simply the most appropriate and emotive I have ever had the pleasure to hear in a theatre. Tornatore's script and direction are a joy, a breath of fresh air.I will not spoil this story by repeating it, nor will I give away the ending, although it matters not a whit. I could disclose fully everything in this movie, and in seeing it, all my words would evaporate. There is nothing like the experience of sitting through it, becoming engulfed by it, and in the end, being changed.",as good as movies get,movies can wield strange power over those who sit darkened seats theatre truly great ones manipulate your perception reality suspend your disbelief ultimately either alter or affirm your view life nuovo cinema paradiso is just such movie it is near perfect melding direction acting script sound track cinematography phillipe noiret salvatore cascio give kind performances usually associated with much more recognizable actors supporting cast looks like they could all be full blooded sicilians location shots add depth realism entire production ennio morricones music is simply most appropriate emotive i have ever had pleasure hear theatre tornatores script direction are joy breath fresh air i will not spoil this story by repeating it nor will i give away ending although it matters not whit i could disclose fully everything this movie seeing it all my words would evaporate there is nothing like experience sitting through it becoming engulfed by it end being changed,0.5083333333333333,0.3428571428571428,Positive,"{'Happy': 0.21, 'Angry': 0.14, 'Surprise': 0.07, 'Sad': 0.11, 'Fear': 0.46}"
