Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Refreshingly heart warming .... a Gem.,"In times when the big banners disappoint and the obvious ones turn out to be the unexpected, a film played its subtle chords and rendered itself in the most touching manner to leave the viewer pleased, satisfied and moved. 'Dasvidaniya' achieves more than what the big films fail to. It moves you with only its simplicity and sincerity. Loosely based on the premise of Anand and Bucket List, Dasvidaniya (Russian for 'Goodbye') is an inspiring film that is not even epic in proportions mainly due to its simple nature and outstanding performances with Vinay Pathak being the unequivocal re-discovery of the year. This film is a surprise. And a very pleasing one.Amar Kaul (Vinay Pathak) is the symbolic 'loser'. The below average introvert who always gets pushed around or dominated, neglected and lost in the very simplicity of life with aspirations hidden behind the veil of the mundane routines of his life. He is your most unfashionable accounts manager in a private company whose insatiable boss simply reminds Amar of his lowly existence. At home, his half deaf mother lives with a struggling remote to the soap opera infected T.V., always whining, always complaining. While Amar's life is what one can easily identify with because we have known such 'losers' in life, we are surprised by his humble and tolerant nature to the events and people in his life. One day, he discovers that his life will no longer be the same as it has been and before it gives up on him, he should live it up to the very end. 'Iske pehle ki life tumhe kha jaaye, tum zindagi ko pee jaao' is what was suggested to him at a bar. Amar's self appears in front of him and reminds him that fixing the bathroom geyser or putting new batteries in the T.V. remote are not items worthy of his life's list of things to do. Thus, Amar enlists 10 real aspirations and pursues each one with all that he has. One cannot really tell what the most beautiful aspect of the film is that makes it so heart warming. Is it the story telling or is it Amar's character that Pathak enacts so brilliantly? Debutant director Shahant Shah leaves us overwhelmed with his presentation style that makes the film classy in its own sense while being simple enough with the story telling. The film just flows through to your heart effortlessly and it strikes the right chord that will leave you with a lump in the throat at times or giggling away at the jokes it throws at you. As Amar sets out on his journey to accomplish his aspirations, he faces challenges that throw the reality of life at him but his spirit of living it up enables him to confront that reality with a smile. He is very practical in situations and realistic in dealing with the truth about his life. The subtlety connects to your emotional side and you fall in love with the simpleton 'loser'. While the film centers around Vinay Pathak, who leaves us astounded with the most remarkable and definitive performance of his career as well as this year, there are some special characters that are worthy of a mention because they have been played by some fine actors. Neha Dhupia is refreshing as Amar's childhood love, his 'chaddi' pal Rajiv (Rajat Kapoor) is at his fine form yet again after the duo split us in laughter in Bheja Fry, Sarita Joshi plays the role of the eccentric mother convincingly with just a few shades of overacting when her son buys a new car. .Vivek, the estranged brother, the boss played by Saurabh Shukla, Ranvir Shorey as the funky frequenter at the bar and Joy Fernandes in a convincingly hilarious role of 'Savio', the Guitar teacher. Kailash Kher's melodies are soothing and suit the film's different moods. The script, dialogues and screenplay with the touch of humour make this film a pleasant story rather than a serious drama and Shashant Shah's direction simply puts all the fine elements together to portray this touching tale in the finest presentation format. Hearts will be warmed with the subtle touches, tears will be shed for the resemblances, laughter will roar after funny dialogues and while one acknowledges the pleasant aspects of this film, the revelation of Vinay Pathak's finesse will only add to the cherishable experience of Dasvidaniya. - 9.09 on a scale of 1-10.",refreshingly heart warming gem,times when big banners disappoint obvious ones turn out be unexpected film played its subtle chords rendered itself most touching manner leave viewer pleased satisfied moved dasvidaniya achieves more than what big films fail it moves you with only its simplicity sincerity loosely based premise anand bucket list dasvidaniya russian goodbye is inspiring film that is not even epic proportions mainly due its simple nature outstanding performances with vinay pathak being unequivocal re discovery year this film is surprise very pleasing one amar kaul vinay pathak is symbolic loser below average introvert who always gets pushed around or dominated neglected lost very simplicity life with aspirations hidden behind veil mundane routines his life he is your most unfashionable accounts manager private company whose insatiable boss simply reminds amar his lowly existence at home his half deaf mother lives with struggling remote soap opera infected t v always whining always complaining while amars life is what one can easily identify with because we have known such losers life we are surprised by his humble tolerant nature events people his life one day he discovers that his life will no longer be same as it has been before it gives up him he should live it up very end iske pehle ki life tumhe kha jaaye tum zindagi ko pee jaao is what was suggested him at bar amars self appears front him reminds him that fixing bathroom geyser or putting new batteries t v remote are not items worthy his lifes list things do thus amar enlists 10 real aspirations pursues each one with all that he has one cannot really tell what most beautiful aspect film is that makes it so heart warming is it story telling or is it amars character that pathak enacts so brilliantly debutant director shahant shah leaves us overwhelmed with his presentation style that makes film classy its own sense while being simple enough with story telling film just flows through your heart effortlessly it strikes right chord that will leave you with lump throat at times or giggling away at jokes it throws at you as amar sets out his journey accomplish his aspirations he faces challenges that throw reality life at him but his spirit living it up enables him confront that reality with smile he is very practical situations realistic dealing with truth about his life subtlety connects your emotional side you fall love with simpleton loser while film centers around vinay pathak who leaves us astounded with most remarkable definitive performance his career as well as this year there are some special characters that are worthy mention because they have been played by some fine actors neha dhupia is refreshing as amars childhood love his chaddi pal rajiv rajat kapoor is at his fine form yet again after duo split us laughter bheja fry sarita joshi plays role eccentric mother convincingly with just few shades overacting when her son buys new car vivek estranged brother boss played by saurabh shukla ranvir shorey as funky frequenter at bar joy fernandes convincingly hilarious role savio guitar teacher kailash khers melodies are soothing suit films different moods script dialogues screenplay with touch humour make this film pleasant story rather than serious drama shashant shahs direction simply puts all fine elements together portray this touching tale finest presentation format hearts will be warmed with subtle touches tears will be shed resemblances laughter will roar after funny dialogues while one acknowledges pleasant aspects this film revelation vinay pathaks finesse will only add cherishable experience dasvidaniya 9 09 scale 1 10,0.5463093816752352,0.19552875985802812,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.14, 'Sad': 0.35, 'Fear': 0.34}"
8.0,"Simple, heartwarming and inspiring","I'm in complete awe of this wonderful film. Dasvidaniya easily ranks amongst the finest films of 2008 - poignant, moving, uplifting. It is brilliantly written and narrated, superbly acted and very well directed. This is the story of Amar Kaul, a 37 year-old single man who lives with his old mother and who is diagnosed with cancer. Knowing that he has only counted months to live, he decides to form a list of 10 things he must do before he dies. It's then when the life of this ordinary man turns into an extraordinary journey spanning only several months but leaving countless memories for those who accompanied him on his way.Those who are very well aware of the style people use to associate with Hindi films, may mistakenly expect the film to be overly cliché and melodramatic. But Dasvidaniya is the complete opposite. It is emotional but without any overdone dramatisation of the story. It is simple, subtle, humorous and authentic, and that's what makes it the more so involving and enjoyable. The dialogues are very good, and the film, though seems to be quite depressing at the surface, is heartwarming and inspiring alike, managing to tug at your heartstrings on many occasions and making you understand how important it is to live life to the fullest and cherish every moment of it.Vinay Pathak is the film's main protagonist. Pathak is a very unconventional kind of a hero, but his portrayal of Amar is so heartfelt, convincing and sincere that it truly emerges as one of the finest performances of the year, which he will probably be most remembered for. Pathak is supported by a terrific ensemble of actors, all of whom play their roles excellently. Neha Dhupia is lovable in a small but pivotal role as the love of Amar's life, Neha. Rajat Kapoor is fantastic as his best friend Rajiv. Russian actress Manoylo Svitlana is endearing as Tatiana, a prostitute with whom Amar experiences true love for the first time in his life. Sarita Joshi and Gaurav Gera are wonderful as Amar's mother and brother, respectively.Kailash Kher's soundtrack for the film is great. The songs are well composed and perfectly fit the situations presented on-screen. So does the background score. The film's ending is very optimistic and relieving despite its sad nature. Dasvidaniya is a moving and memorable picture. Shashant Shah is a very promising director, showing a very unique style of storytelling. I highly recommend you to watch this rare piece.",simple heartwarming inspiring,im complete awe this wonderful film dasvidaniya easily ranks amongst finest films 2008 poignant moving uplifting it is brilliantly written narrated superbly acted very well directed this is story amar kaul 37 year old single man who lives with his old mother who is diagnosed with cancer knowing that he has only counted months live he decides form list 10 things he must do before he dies its then when life this ordinary man turns into extraordinary journey spanning only several months but leaving countless memories those who accompanied him his way those who are very well aware style people use associate with hindi films may mistakenly expect film be overly clich melodramatic but dasvidaniya is complete opposite it is emotional but without any overdone dramatisation story it is simple subtle humorous authentic thats what makes it more so involving enjoyable dialogues are very good film though seems be quite depressing at surface is heartwarming inspiring alike managing tug at your heartstrings many occasions making you understand how important it is live life fullest cherish every moment it vinay pathak is films main protagonist pathak is very unconventional kind hero but his portrayal amar is so heartfelt convincing sincere that it truly emerges as one finest performances year which he will probably be most remembered pathak is supported by terrific ensemble actors all whom play their roles excellently neha dhupia is lovable small but pivotal role as love amars life neha rajat kapoor is fantastic as his best friend rajiv russian actress manoylo svitlana is endearing as tatiana prostitute with whom amar experiences true love first time his life sarita joshi gaurav gera are wonderful as amars mother brother respectively kailash khers soundtrack film is great songs are well composed perfectly fit situations presented screen so does background score films ending is very optimistic relieving despite its sad nature dasvidaniya is moving memorable picture shashant shah is very promising director showing very unique style storytelling i highly recommend you watch this rare piece,0.6156503198294242,0.29654923434774183,Positive,"{'Happy': 0.27, 'Angry': 0.03, 'Surprise': 0.18, 'Sad': 0.17, 'Fear': 0.35}"
9.0,Dasvidaniya - a movie that touches the emotional string,"Dasvidaniya.. the best goodbye ever. Is that one movie which manages to pull down that tear you shed way back when you watched Aamir Khan's TZP. Dasvidaniya is one of its kind. Now damn you people who think this story is a lift off from the English movie The Bucket List. I can very well tell the writer may be just influenced while he was actually writing the story of Dasvidaniya and its nothing more than a influence. He's managed to write a gem of a script and another gem of an actor to compliment it. Who else could it be who could've played the role of Amar Kaul better than Vinay Pathak. He plays Amar Kaul, a 37 year old lonesome man who only has his mother as the person in his life. Following which he finds his sudden illness during its last stage. The movie starts pacing well, when he does all those things he ever wished to do once after finding out about his illness.The characters that follow in his life after that are to watch out for. Movies of Vinay Pathak do not end without Rajath Kapoor and Ranvir Shorey making their appearance and yet again all three of them compliment each other. The roles of Amar Kaul's mother and his childhood love interest played by Sarita Joshi and Neha Dhupia respectively have done their bit convincingly. Its definitely the career best performance of Vinay Pathak. This is not the first time you've see him pull off such a stupendous performance. He adds that extra quotient to the movie as he always does. The music is the icing on the cake. Kailash Kher provides that special touch of music which embraces you as you continue watching the movie. Summing up.. Dasvidaniya becomes a must watch!!! Its a movie you're gonna remember for a long long time to come. High time Vinay Pathak is respected as an actor. An obvious 10 on 10 for Shashant Shah's Dasvidaniya. (MUST WATCH)",dasvidaniya movie that touches emotional string,dasvidaniya best goodbye ever is that one movie which manages pull down that tear you shed way back when you watched aamir khans tzp dasvidaniya is one its kind now damn you people who think this story is lift off english movie bucket list i can very well tell writer may be just influenced while he was actually writing story dasvidaniya its nothing more than influence hes managed write gem script another gem actor compliment it who else could it be who couldve played role amar kaul better than vinay pathak he plays amar kaul 37 year old lonesome man who only has his mother as person his life following which he finds his sudden illness during its last stage movie starts pacing well when he does all those things he ever wished do once after finding out about his illness characters that follow his life after that are watch out movies vinay pathak do not end without rajath kapoor ranvir shorey making their appearance yet again all three them compliment each other roles amar kauls mother his childhood love interest played by sarita joshi neha dhupia respectively have done their bit convincingly its definitely career best performance vinay pathak this is not first time youve see him pull off such stupendous performance he adds that extra quotient movie as he always does music is icing cake kailash kher provides that special touch music which embraces you as you continue watching movie summing up dasvidaniya becomes must watch its movie youre gonna remember long long time come high time vinay pathak is respected as actor obvious 10 10 shashant shahs dasvidaniya must watch,0.4008730158730158,0.16936507936507936,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.23, 'Fear': 0.31}"
10.0,Milestone Movie,"Rare comes movies containing performances so restrained, warmth so resurrecting and wit at its best. (in Bollywood) The Protagonist, Amar sketches a character of a man who leads his usual middle-class, mundane and uneventful life, which is presumably already dead, only to find out he is suffering from stomach cancer. Decides to carry forward his life with the remaining moments raring to go, prepares a ""to do list before i die"". Accomplishing the deeds, one by one, is a treat to watch specially sequences like revealing out to the women you loved all your life, no matter she is happily married right now and standing against up to your devilish boss. The Spanish twist, the prostitute angle only adds some magnificence to the story. Each and every performance were sparkling, whether it is a small cameo or a humongous role. Way to go HUMANITY..!!!!",milestone movie,rare comes movies containing performances so restrained warmth so resurrecting wit at its best bollywood protagonist amar sketches character man who leads his usual middle class mundane uneventful life which is presumably already dead only find out he is suffering stomach cancer decides carry forward his life with remaining moments raring go prepares do list before i die accomplishing deeds one by one is treat watch specially sequences like revealing out women you loved all your life no matter she is happily married right now standing against up your devilish boss spanish twist prostitute angle only adds some magnificence story each every performance were sparkling whether it is small cameo or humongous role way go humanity,0.4695578231292517,0.1447278911564626,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.32, 'Sad': 0.09, 'Fear': 0.45}"
8.0,Simple Story about a Simple Man. Enchanting!!,"Vinay Pathak just keeps on amazing with his acting skills. He reminds me of the magic that Farooq Sheikh and Amol Palekar created in the early 80s with simple stories and outstanding acting. I think most of us can identify with Amar Kaul in one way or the other. Neha Dhupia whom I never thought of as an actress looked beautiful without her make-up and player her sweet cameo beautifully. Rajat Kapoor and all others were equally good in their roles. Neha's episode was my favorite when he acknowledges love for her in the rain. Also the Russian girl did well. All in all, everything was perfect for me in this movie with no overly-done melodrama. The only thing disappointing was the lack of the ending theme (piano/guitar part) on the OST CD. Kailash Kher has created a poignant yet soulful melody. The ending scene where Amar's brother and his friend go over his list was the strongest scene (and the following theme) along with Neha's scene. I will definitely rate this and ""Amal"" as one of the strongest movies to come out of Bollywood in a long long time. 10/10",simple story about simple man enchanting,vinay pathak just keeps amazing with his acting skills he reminds me magic that farooq sheikh amol palekar created early 80s with simple stories outstanding acting i think most us can identify with amar kaul one way or other neha dhupia whom i never thought as actress looked beautiful without her make up player her sweet cameo beautifully rajat kapoor all others were equally good their roles nehas episode was my favorite when he acknowledges love her rain also russian girl did well all all everything was perfect me this movie with no overly done melodrama only thing disappointing was lack ending theme piano guitar part ost cd kailash kher has created poignant yet soulful melody ending scene where amars brother his friend go over his list was strongest scene following theme along with nehas scene i will definitely rate this amal as one strongest movies come out bollywood long long time 10 10,0.5433862433862434,0.2157407407407408,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.2, 'Fear': 0.3}"
9.0,A story of a common man told in a very uncommon way,"(Same as in my own blog - shazl.blogspot) An excellent movie after a very very long time which wouldn't be forgotten very soon. A classy movie with sensational act from Vinay Pathak and other characters fitting in the slots perfectly. A story told with a very subtle tone but leaves a very deep impression upon your soul. A story which you can relate with as soon as it starts and you will try to carry it on even after coming out of the multiplex.Dasvidaniya is a movie which will make you laugh and which will make you cry and most importantly, it will make you think. I have been thinking since 11:00 PM and I couldn't stop myself from writing this article so that people who are reading it don't miss this movie. Believe me, this movie will move you.Although the concept is not very original and we have heard similar stories before but the presentation is completely of a new style. No over humorous dialogues, not very tearful scenes; but you will find yourself laughing your heart out at many places and you would fail to hold your tears at some.I am dying to tell the story out here but then I would spoil the main attraction of the movie i.e. presentation. So go out and watch out the movie at the earliest otherwise you would land up hearing the story from one of your friends or in some article online. And for this movie, I can say that even if you go with over expectations, it will not fail you.Till then, Dasvidaniya!!!",story common man told very uncommon way,same as my own blog shazl blogspot excellent movie after very very long time which wouldnt be forgotten very soon classy movie with sensational act vinay pathak other characters fitting slots perfectly story told with very subtle tone but leaves very deep impression upon your soul story which you can relate with as soon as it starts you will try carry it even after coming out multiplex dasvidaniya is movie which will make you laugh which will make you cry most importantly it will make you think i have been thinking since 11 00 pm i couldnt stop myself writing this article so that people who are reading it dont miss this movie believe me this movie will move you although concept is not very original we have heard similar stories before but presentation is completely new style no over humorous dialogues not very tearful scenes but you will find yourself laughing your heart out at many places you would fail hold your tears at some i am dying tell story out here but then i would spoil main attraction movie i e presentation so go out watch out movie at earliest otherwise you would land up hearing story one your friends or some article online this movie i can say that even if you go with over expectations it will not fail you till then dasvidaniya,0.570056481979559,0.23662049488972567,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.2, 'Sad': 0.26, 'Fear': 0.37}"
9.0,Disappointed ! ! !..,"Yes friends I am truly disappointed by the way people judge the movies I had once heard someone say ""Good movies wont be made until we have good audience"" and I firmly believe in the saying.I was at the multiplex today and could not digest the fact that I had only 3 shows for a movie like dasvidanya whereas 10-15 shows for a crap movie like Dostana.. and in light of current situation I don't see this movie to survive unless there is a strong word of mouth publicity.I personally liked the movie very much along with my friends,the movie had its share of sad and happy moments and this was one of those movies which you do not want to end but unfortunately they have to at some-point.Sadly there weren't many audience in the auditorium- but no regrets. Its better to be in a bunch of quality people then to be in the dumb crowd.Thumbs up for all the cast and direction and hopefully we will see more of the team coming soon..",disappointed,yes friends i am truly disappointed by way people judge movies i had once heard someone say good movies wont be made until we have good audience i firmly believe saying i was at multiplex today could not digest fact that i had only 3 shows movie like dasvidanya whereas 10 15 shows crap movie like dostana light current situation i dont see this movie survive unless there is strong word mouth publicity i personally liked movie very much along with my friends movie had its share sad happy moments this was one those movies which you do not want end but unfortunately they have at some point sadly there werent many audience auditorium but no regrets its better be bunch quality people then be dumb crowd thumbs up all cast direction hopefully we will see more team coming soon,0.6663492063492062,0.050873015873015875,Positive,"{'Happy': 0.21, 'Angry': 0.11, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.18}"
10.0,What's wrong with reviews-this is one of the best movie in this year,"can't believe this movie having flop talk... something wrong with reviews across some websites... this movie deserve best rating!!! not sure what else they are looking for this movie... this is best movie...great acting and direction...heart touching scenes... yet again fantastic music from Kilash.... wow would recommend all my friend and family to watch this movie...I completely agree with other user ""I had once heard someone say ""Good movies wont be made until we have good audience""""...Excellent... Amazing and a Superb movie....kudo's the entire cast and crew...all the best guys!!! keep making such wonderful movies....",whats wrong with reviews this is one best movie this year,cant believe this movie having flop talk something wrong with reviews across some websites this movie deserve best rating not sure what else they are looking this movie this is best movie great acting direction heart touching scenes yet again fantastic music kilash wow would recommend all my friend family watch this movie i completely agree with other user i had once heard someone say good movies wont be made until we have good audience excellent amazing superb movie kudos entire cast crew all best guys keep making such wonderful movies,0.6381313131313132,0.4329545454545455,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.17, 'Fear': 0.12}"
10.0,MasterPiece,"Great job Director, crew and last but not least Vinay Pathak. Same crew who did magic in Bheja fry, but its totally different. All the actor in the movie have done brilliant job. I seriously feel the movie to be strong contender for National award for terribly good performance overall.I'm amazed to see this master piece which has been made with sincerity to emotionally appeal to any human being. Vinay Pathak has been fabulous throughout the movie. I feel he deserves Hollywood along with great. This movie will catalyze the and motivate originality in Bollywood. This movies touches your heart from every corner and imbibes some thought in your mind.",masterpiece,great job director crew last but not least vinay pathak same crew who did magic bheja fry but its totally different all actor movie have done brilliant job i seriously feel movie be strong contender national award terribly good performance overall im amazed see this master piece which has been made with sincerity emotionally appeal any human being vinay pathak has been fabulous throughout movie i feel he deserves hollywood along with great this movie will catalyze motivate originality bollywood this movies touches your heart every corner imbibes some thought your mind,0.5627777777777777,0.29,Positive,"{'Happy': 0.39, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.11}"
9.0,Excellent,"Just saw this movie and was completely moved by it. Just have a few words to say.... Excellent... Amazing and a Superb movie. I wish more of such movies are made in Bollywood, instead of pathetic remakes/irritating bollywood formula movies. This movie has an essence similar to Anand and Kal Ho Na Ho but is not shadowed by those movies and it is able to make its own stand. The entire cast and crew have done an excellent job... special Kudos to Vinay pathak for his soulful and heart wrenching performance. The director and the writer need special mention for a creating a very believable and emotional journey of the protagonist.",excellent,just saw this movie was completely moved by it just have few words say excellent amazing superb movie i wish more such movies are made bollywood instead pathetic remakes irritating bollywood formula movies this movie has essence similar anand kal ho na ho but is not shadowed by those movies it is able make its own stand entire cast crew have done excellent job special kudos vinay pathak his soulful heart wrenching performance director writer need special mention creating very believable emotional journey protagonist,0.699624060150376,0.31917293233082705,Positive,"{'Happy': 0.17, 'Angry': 0.09, 'Surprise': 0.22, 'Sad': 0.3, 'Fear': 0.22}"
