Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Dark Crime Thriller that Thamizh Cinema didn't expect,"After the trailer impressed quiet a number of people, I had an impression that this will be yet another movie which fools around with its trailer. Karthik Naren proved me wrong.Never seen such a dark crime thriller in Thamizh Cinema. I must say, no one expected such a young lad to perform this much.The cinematic dark tone, grippy BGM, Screenplay treatment, Almost perfect Casting, makes this a must watch movie.Although this is not a perfect movie, having its own loopholes, it still stands out from the crowd.Thamizh Cinema is indeed evolving.",dark crime thriller that thamizh cinema didnt expect,after trailer impressed quiet number people i had impression that this will be yet another movie which fools around with its trailer karthik naren proved me wrong never seen such dark crime thriller thamizh cinema i must say no one expected such young lad perform this much cinematic dark tone grippy bgm screenplay treatment almost perfect casting makes this must watch movie although this is not perfect movie having its own loopholes it still stands out crowd thamizh cinema is indeed evolving,0.6023809523809524,0.08214285714285714,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.5, 'Fear': 0.22}"
8.0,One of the best thrillers in recent times in Kollywood.,"D-16, one of the best thrillers in the recent times. Directed by the debutant Karthick Naren. Debutant? Yes, one would wonder how this is possible by a debutant. Karthick directing his first movie has done an exceptional job.The first crime scene might seem average, but there on it's entirely a different movie. Each and every scene is planned to perfection and keeps the audience engaged till the end. Suspense is what Karthick masters, he keeps everyone guessing till it is unraveled.Rahman as Deepak has justified his role. His Malayalam dipped slang might seem a bit unfit but it doesn't over shadow his acting. The story was narrated from Rahman's point of view. Almost all the other faces are new. Everyone has done an exceptional job.Characterization was another plus no unwanted or annoying characters. Every character has contributed something to the plot. The background score by Jakes Bejoy has travelled along the movie that plants each and every scene in mind. Cinematography is another technical aspect that lifts the movie. Sujith Sarang with the camera has to be lauded for his efforts.It's a nail biter one might find travelling along the story till the very end. Karthick is another find for Kollywood. When we leave the movie halls we might still feel suspense circling our heads (Few twists have been left to be judged by the audience).",one best thrillers recent times kollywood,d 16 one best thrillers recent times directed by debutant karthick naren debutant yes one would wonder how this is possible by debutant karthick directing his first movie has done exceptional job first crime scene might seem average but there its entirely different movie each every scene is planned perfection keeps audience engaged till end suspense is what karthick masters he keeps everyone guessing till it is unraveled rahman as deepak has justified his role his malayalam dipped slang might seem bit unfit but it doesnt over shadow his acting story was narrated rahmans point view almost all other faces are new everyone has done exceptional job characterization was another plus no unwanted or annoying characters every character has contributed something plot background score by jakes bejoy has travelled along movie that plants each every scene mind cinematography is another technical aspect that lifts movie sujith sarang with camera has be lauded his efforts its nail biter one might find travelling along story till very end karthick is another find kollywood when we leave movie halls we might still feel suspense circling our heads few twists have been left be judged by audience,0.4448106060606061,0.16473484848484848,Positive,"{'Happy': 0.0, 'Angry': 0.19, 'Surprise': 0.26, 'Sad': 0.19, 'Fear': 0.35}"
8.0,Must watch thriller,Very good attempt by the upcoming director Karthik. Right from the first scene movie is engaging.Rahman as a police officer has done a great job. No heroism just class. Unusual crime thriller which we don't get to see much in Indian / Tamil cinema. Loved the reference to Mario game of 90s and the magic brick dialogue. Rahman does have a faint Malayalam Accent during the voice over rendering. Very good editing and cinematography. Conclusion in climax doesn't leave much Questions in mind and covers almost all left over bits. All actors have done justice to their roles. I would recommend all to watch this movie as it would be one of the must watch thrillers in tamil history,must watch thriller,very good attempt by upcoming director karthik right first scene movie is engaging rahman as police officer has done great job no heroism just class unusual crime thriller which we dont get see much indian tamil cinema loved reference mario game 90s magic brick dialogue rahman does have faint malayalam accent during voice over rendering very good editing cinematography conclusion climax doesnt leave much questions mind covers almost all left over bits all actors have done justice their roles i would recommend all watch this movie as it would be one must watch thrillers tamil history,0.6056462585034013,0.318265306122449,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.07, 'Fear': 0.44}"
4.0,"Overrated, lazy and oversmart","4 stars are for the DoP, a few long takes, lead role acting and an interesting 2nd act. Sadly that's all there is to it.The writer(s) employ the laziest techniques throughout the movie and couple of times blatantly lie to the audience to get their attention. For eg. The opening shot shows a masked killed assaulting a couple that gives you an impression that there is a serial killer to be hunted. Later the same shot is shown from the inspector's narration labelled as his theory.Somehow the inspector entirely forgets to follow up on his new recruit after the accident. Even if you give the benefit of doubt, there is no indication or even a mention of how he slipped out of radar after 5 years of comma. Guess the inspector must've forgotten about him entirely since he mentions he has a 'bad memory'So what happened to those three boys who assaulted the traffic police? And one of them confessed to tampering with evidence. Foosh, gone? No action, no follow up, nothing nada.In a flat with nosy neighbours, no one saw guys carrying girl on a gunpoint. Yes there wasn't a security guard but no one saw 2 guys a crying girl and the boy friend injured who followed them later. Okay fine co-incidence. What was Vaishnavi doing till the boyfriend told her what to do? You think a girl who witnessed assault would sit idle after someone carries a girl on gunpoint to assault her again and no call the police or even the neighbors for help?Somehow film students are shooting for their film project for an alternate ending and very conveniently capture the girl entering. Okay I can treat this as suspension of disbelief. Then a girl in the middle of the night let's two guys enter without knowing them, when it's made clear to us that neighbors don't like it. Okay maybe she's dumb. Rajeev does not knock, as if he owns the house, he simply tries to barge in yelling OPEN THE DOOR. Shruti on the other hand is taking a shower at 12 am while it's raining outside. Another reviewer pointed out, that guy's plan was to assault the girl on her birthday. She could have had friends coming or calls to wish her birthday then it hit me, maybe the writer hasn't celebrated a real birthday.At this point I lost all hopes but wait.Final nail in coffin was,when the inspector says something like ... Had she not insulted that guy in front of everyone, would he have assaulted her?Man, I hate whoever wrote this movie. I will fight the fans of his director all my life. What a waste.",overrated lazy oversmart,4 stars are dop few long takes lead role acting interesting 2nd act sadly thats all there is it writer s employ laziest techniques throughout movie couple times blatantly lie audience get their attention eg opening shot shows masked killed assaulting couple that gives you impression that there is serial killer be hunted later same shot is shown inspectors narration labelled as his theory somehow inspector entirely forgets follow up his new recruit after accident even if you give benefit doubt there is no indication or even mention how he slipped out radar after 5 years comma guess inspector mustve forgotten about him entirely since he mentions he has bad memoryso what happened those three boys who assaulted traffic police one them confessed tampering with evidence foosh gone no action no follow up nothing nada flat with nosy neighbours no one saw guys carrying girl gunpoint yes there wasnt security guard but no one saw 2 guys crying girl boy friend injured who followed them later okay fine co incidence what was vaishnavi doing till boyfriend told her what do you think girl who witnessed assault would sit idle after someone carries girl gunpoint assault her again no call police or even neighbors help somehow film students are shooting their film project alternate ending very conveniently capture girl entering okay i can treat this as suspension disbelief then girl middle night lets two guys enter without knowing them when its made clear us that neighbors dont like it okay maybe shes dumb rajeev does not knock as if he owns house he simply tries barge yelling open door shruti other hand is taking shower at 12 am while its raining outside another reviewer pointed out that guys plan was assault girl her birthday she could have had friends coming or calls wish her birthday then it hit me maybe writer hasnt celebrated real birthday at this point i lost all hopes but wait final nail coffin was when inspector says something like had she not insulted that guy front everyone would he have assaulted her man i hate whoever wrote this movie i will fight fans his director all my life what waste,0.385933660933661,-0.023566748566748553,Negative,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.36, 'Sad': 0.2, 'Fear': 0.3}"
9.0,A brilliant thriller made after a long time in Tamil cinema! A master class !!!,"FINALLY !!! A KIND OF FILM I HAVE ALWAYS BEEN WAITING FOR IN TAMIL CINEMA ! Truly a mind-twisting movie experience! A dark-thriller! Indeed one of the best dark thrillers in Tamil cinema! The sound mixing and background for this movie is so brilliant. Truly a a genius! Karthick Naren an young director in his early 20s delivers one of the best thrillers made in Tamil cinema. Although you might have no idea where the film is taking you to, no worries, the climax of the movie will leave you in shock. Rahaman the actor of this film totally pulled it off with ease. Its sad to see that not many people can appreciate this master piece, more films like this should come out. Support this kind of films and don't let Tamil cinema rot in the name of masala films. Top notch thriller which you will not regret watching. Its worth every penny of your money! Go watch it! My score - 9.2/10",brilliant thriller made after long time tamil cinema master class,finally kind film i have always been waiting tamil cinema truly mind twisting movie experience dark thriller indeed one best dark thrillers tamil cinema sound mixing background this movie is so brilliant truly genius karthick naren young director his early 20s delivers one best thrillers made tamil cinema although you might have no idea where film is taking you no worries climax movie will leave you shock rahaman actor this film totally pulled it off with ease its sad see that not many people can appreciate this master piece more films like this should come out support this kind films dont let tamil cinema rot name masala films top notch thriller which you will not regret watching its worth every penny your money go watch it my score 9 2 10,0.5583333333333332,0.3222222222222222,Positive,"{'Happy': 0.15, 'Angry': 0.06, 'Surprise': 0.39, 'Sad': 0.27, 'Fear': 0.12}"
9.0,wow wow wow,"This movie is my favourite movie of 2016. A movie like this took a bloody long time to come. Karthick Naren thank you. In a masala filled industry with cliché dialogues and overrated action sequences,this movie definitely stands out. The movie puts you in the edge of your seat from the very beginning. The movie captures every details so delicately. The plot is decent but the way it is dealt with is what makes the movie so thrilling. Rahman did a great job to keep us thinking till the end. This movie should have been dubbed and released in multiple languages. The twist was like icing on a black forest cake. Best 1hr 44 min of my life. This is a must watch. DO NOT MISS IT",wow wow wow,this movie is my favourite movie 2016 movie like this took bloody long time come karthick naren thank you masala filled industry with clich dialogues overrated action sequences this movie definitely stands out movie puts you edge your seat very beginning movie captures every details so delicately plot is decent but way it is dealt with is what makes movie so thrilling rahman did great job keep us thinking till end this movie should have been dubbed released multiple languages twist was like icing black forest cake best 1hr 44 min my life this is must watch do not miss it,0.6343750000000001,0.11875,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.28}"
10.0,"Karma is a boomerang, however you furl it, bounces back to you","The summary tells the whole story, the movie is very gripping, you have to be very attentive to catch every minute detail right from start the movie is well made, following points have caught my attention1. Masked killer (Makes you want to know who is inside), great introduction2. Rahman rubbing the eyes, which is shown as graphic in introduction. 3. Character of gautham is well made. 4. Up to the climax the killer is given great importance, but the real motive behind the story is ordinary and that intricate details are also well woven in between the plot to minute detail. 5. Ultimately our protagonist falls victim to a fate which he knows far later, but cant much help.I cant believe a debutant director has made this movie. Tamil cinema has gone to a new level, i would rate this movie above Thani Oruvan and 24.Surprising twist till last frame.One of the excellent role portrayed by RahmanDirector karthick Naren is one to be taken very seriously",karma is boomerang however you furl it bounces back you,summary tells whole story movie is very gripping you have be very attentive catch every minute detail right start movie is well made following points have caught my attention1 masked killer makes you want know who is inside great introduction2 rahman rubbing eyes which is shown as graphic introduction 3 character gautham is well made 4 up climax killer is given great importance but real motive behind story is ordinary that intricate details are also well woven between plot minute detail 5 ultimately our protagonist falls victim fate which he knows far later but cant much help i cant believe debutant director has made this movie tamil cinema has gone new level i would rate this movie above thani oruvan 24 surprising twist till last frame one excellent role portrayed by rahmandirector karthick naren is one be taken very seriously,0.5075475249388293,0.19277150385846034,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.37}"
8.0,Gripping,"Lovely murder mystery. Nice to see a movie with suspense being the theme with perfect pacing, enough eye for details, solidly enacted, no distractions of songs etc. Pretty much whatever makes a good solid yarn of a suspense from the good old school is in here. Two deaths, missing woman, disappearing witness and a Cop led by his assorted bag of assistants, including a new recruit in the hunt. I loved the way the story dealt in small details, especially at the police station, the new cops, the stress around their work etc. Rehman plays his part well.Definitely worth a watch.",gripping,lovely murder mystery nice see movie with suspense being theme with perfect pacing enough eye details solidly enacted no distractions songs etc pretty much whatever makes good solid yarn suspense good old school is here two deaths missing woman disappearing witness cop led by his assorted bag assistants including new recruit hunt i loved way story dealt small details especially at police station new cops stress around their work etc rehman plays his part well definitely worth watch,0.5254545454545455,0.2636363636363636,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.22, 'Fear': 0.28}"
5.0,Beautiful narration technique cannot hide the plot hole,"The thing good with the movie was the narration technique. It cuts back and forth between what happened 5 years ago and what is happening now in the story. Rahman gave us a nice performance. Almost all the actors were nice. The camera was nice. It used long shots wherever necessary.Now let me come to the problem.The third act is full of plot holes. 1. Why would Krish try to rape Shruti on the day when it is her birthday? There are all chances that at least two or three people would be there to celebrate the birthday. Why couldn't he go on some other day? It was because it was her birthday that Rajeev came and Krish had to lose his life. 2. Why does Krish ask Vaishnavi to lodge a complaint saying that Shruti is missing? Why couldn't he ask her to talk with his father in private about the whole matter? Why does she lie to Deepak that she came to the apartment at dawn?Besides, the scene which is shown like a prologue does not happen at all. That was a very cheap attempt to make us feel like it is a very big twist that we are watching in the third act. All in all, the third act spoils the whole movie.",beautiful narration technique cannot hide plot hole,thing good with movie was narration technique it cuts back forth between what happened 5 years ago what is happening now story rahman gave us nice performance almost all actors were nice camera was nice it used long shots wherever necessary now let me come problem third act is full plot holes 1 why would krish try rape shruti day when it is her birthday there are all chances that at least two or three people would be there celebrate birthday why couldnt he go some other day it was because it was her birthday that rajeev came krish had lose his life 2 why does krish ask vaishnavi lodge complaint saying that shruti is missing why couldnt he ask her talk with his father private about whole matter why does she lie deepak that she came apartment at dawn besides scene which is shown like prologue does not happen at all that was very cheap attempt make us feel like it is very big twist that we are watching third act all all third act spoils whole movie,0.4661904761904762,0.17357142857142863,Positive,"{'Happy': 0.21, 'Angry': 0.03, 'Surprise': 0.15, 'Sad': 0.21, 'Fear': 0.41}"
6.0,Overrated but interesting .....,"The 8.8 rating on IMDb is a bit too high for this film. It should be a 6 or 7 at the most. But then we Indians tend to overrate our films on IMDb - just look at the ratings for Baahubali.Dhuruvangal Pathinaaru was absorbing. In fact, it is one of the better Indian movies that I've watched in recent times. The plot might be preposterous. But the director kept it all very interesting with many twists and turns. The film was suspenseful until the every end. Usually I would stop watching Indian thrillers because they would be too over the top and inane. But with Dhuruvangal Pathinaaru, I wanted to know how the mystery would get solved. The big reveal was worth the wait. I had a tough time remembering all the twists and details. The deliberate misdirection or distraction of the viewer with the appearance of the costumed killer in the first scene was a very nice touch.But the casting of Rahman as the main character was surprising. He was too stiff and did not make much of an impact. Neither Rahman nor anyone from the supporting cast made much of an impression on me. But Dhuruvangal Pathinaaru is a decent debut for Karthick Naren. No question about it.",overrated but interesting,8 8 rating imdb is bit too high this film it should be 6 or 7 at most but then we indians tend overrate our films imdb just look at ratings baahubali dhuruvangal pathinaaru was absorbing fact it is one better indian movies that ive watched recent times plot might be preposterous but director kept it all very interesting with many twists turns film was suspenseful until every end usually i would stop watching indian thrillers because they would be too over top inane but with dhuruvangal pathinaaru i wanted know how mystery would get solved big reveal was worth wait i had tough time remembering all twists details deliberate misdirection or distraction viewer with appearance costumed killer first scene was very nice touch but casting rahman as main character was surprising he was too stiff did not make much impact neither rahman nor anyone supporting cast made much impression me but dhuruvangal pathinaaru is decent debut karthick naren no question about it,0.48507246376811586,0.246528640441684,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.39, 'Sad': 0.15, 'Fear': 0.3}"
