Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,"""A pure, simple & realistic piece of cinematic magic, evoking very strong emotions!""","After his spectacular debut with the horror movie '6-5=2' which had taken the Kannada movie industry by storm way back in the year 2013, garnering accolades from all over the world and it being remade in Hindi & Telugu, director KS Ashoka is back with a masterpiece! This film which captures an emotional journey of love, will add another feather to his cap.The story of this film revolves around an introverted girl named Dia and her complicated love life which unfolds in the most unexpected way possible. Dia's life changes in drastic ways causing her great amount of confusion, emotional stress and also sometimes happiness! The film mainly explores how ""life is full of surprises & miracles!""The way the plot unfolds is truly magical! This film has a very simple screenplay with each of the elements in it being exceptionally pure and natural. It has the power to evoke very strong emotions in you with its realistic look and approach. Due to the subtle nature of the film, the viewer just gets absorbed into the story in no time!The film captures the innocence of the characters very effectively. There are no unnecessary elements in the storyline and also there are no song sequences, which makes this film connect very well with the class audience or particularly those who appreciate sensible and meaningful cinema.The director deserves a pat on the back for bringing out this kind of timeless cinema which one doesn't get to watch usually in Sandalwood. The story plays with the viewer's emotions, showing the unpredictable nature of life. However at the end, he leaves the viewer dumbfounded with a scene which one would have never even imagined! This one scene could hamper the viewer's opinion about this film, mainly those who would have been expecting something with optimism!The background score by Ajaneesh Loknath is soul stirring! Especially the theme song will keep echoing in your ears even after coming out of the theatre! The cinematography and editing is also praiseworthy with many scenes captured beautifully through the camera lens.Each of the actors in this movie contribute immensely to the success of this film. Kushee as Dia gives out a spectacular performance while portraying the heart-touching emotions effortlessly! Pruthvee Ambaar steals your heart with his enthusiastic performance and he beautifully carries out his role in a calm & relaxed manner. Experienced artist Pavithra Lokesh doles out an elegant performance. Dheekshith also impresses in a heart touching role.To sum up, this movie has a powerful story coupled with some heart touching performances, enough to stand out amongst the best love stories that have come up in the recent times! If you like meaningful films & those with very strong emotions, without any bit of commercial content, then you shouldn't miss this gem of art!",pure simple realistic piece cinematic magic evoking very strong emotions,after his spectacular debut with horror movie 6 5 2 which had taken kannada movie industry by storm way back year 2013 garnering accolades all over world it being remade hindi telugu director ks ashoka is back with masterpiece this film which captures emotional journey love will add another feather his cap story this film revolves around introverted girl named dia her complicated love life which unfolds most unexpected way possible dias life changes drastic ways causing her great amount confusion emotional stress also sometimes happiness film mainly explores how life is full surprises miracles way plot unfolds is truly magical this film has very simple screenplay with each elements it being exceptionally pure natural it has power evoke very strong emotions you with its realistic look approach due subtle nature film viewer just gets absorbed into story no time film captures innocence characters very effectively there are no unnecessary elements storyline also there are no song sequences which makes this film connect very well with class audience or particularly those who appreciate sensible meaningful cinema director deserves pat back bringing out this kind timeless cinema which one doesnt get watch usually sandalwood story plays with viewers emotions showing unpredictable nature life however at end he leaves viewer dumbfounded with scene which one would have never even imagined this one scene could hamper viewers opinion about this film mainly those who would have been expecting something with optimism background score by ajaneesh loknath is soul stirring especially theme song will keep echoing your ears even after coming out theatre cinematography editing is also praiseworthy with many scenes captured beautifully through camera lens each actors this movie contribute immensely success this film kushee as dia gives out spectacular performance while portraying heart touching emotions effortlessly pruthvee ambaar steals your heart with his enthusiastic performance he beautifully carries out his role calm relaxed manner experienced artist pavithra lokesh doles out elegant performance dheekshith also impresses heart touching role sum up this movie has powerful story coupled with some heart touching performances enough stand out amongst best love stories that have come up recent times if you like meaningful films those with very strong emotions without any bit commercial content then you shouldnt miss this gem art,0.59955893832943,0.30175253708040595,Positive,"{'Happy': 0.22, 'Angry': 0.02, 'Surprise': 0.24, 'Sad': 0.26, 'Fear': 0.26}"
1,"Overrate, Absurd","I am a regular movie buff of south indian and typical indian movies. I just literally had to watch this movie because of It's over hyped reviews. The actor who plays adi was wonderful in the movie. But I think Dia character is slightly indecisive, vulnerable, unsure of everything which is really annoying. My words to director - Man, you are in the wrong genre, you made for psychological thriller. You hoaxed the audience in the name of romantic drama. Next correct your vision. This movie might be recognised by it's weird absurd story telling but for the last time. No movie like this will ever get any success.",overrate absurd,i am regular movie buff south indian typical indian movies i just literally had watch this movie because its over hyped reviews actor who plays adi was wonderful movie but i think dia character is slightly indecisive vulnerable unsure everything which is really annoying my words director man you are wrong genre you made psychological thriller you hoaxed audience name romantic drama next correct your vision this movie might be recognised by its weird absurd story telling but last time no movie like this will ever get any success,0.514017094017094,-0.15555555555555556,Negative,"{'Happy': 0.05, 'Angry': 0.11, 'Surprise': 0.37, 'Sad': 0.32, 'Fear': 0.16}"
10,DIA is a true masterpiece of Kannada!!,"DIA is a true masterpiece of Kannada!! Highly recommended movie, don't wait watch it today itself!!",dia is true masterpiece kannada,dia is true masterpiece kannada highly recommended movie dont wait watch it today itself,0.6133333333333333,0.2866666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10,Must watch,"Just awesome.. good music, camera, screenplay, but on a serious note that much tragedy wasn't actually needed! 🙄",must watch,just awesome good music camera screenplay but serious note that much tragedy wasnt actually needed,0.5133333333333334,0.31333333333333335,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.75, 'Sad': 0.0, 'Fear': 0.0}"
1,Too filmy,"This is one of the most difficult movies for me to rate.It kept me hooked till the end. But at the same time, it disappointed me.This is a story of a girl. About how she finds love. The complications in her love life.Positives - very good performances. Especially by the leading lady. The leading males too have done a great job. However the actor portraying Adi could have been a little more subtle. All supporting characters too, especially Pavithra Lokesh, leave an impact.***Spoilers**** My biggest complaint with this movie is, it's made as a tragedy just for the sake of it. All the twists in the story seem forced and looks the makers were hell bent on not giving a happy ending for the leading lady. All the situations looked unnatural and it was hard to believe.",too filmy,this is one most difficult movies me rate it kept me hooked till end but at same time it disappointed me this is story girl about how she finds love complications her love life positives very good performances especially by leading lady leading males too have done great job however actor portraying adi could have been little more subtle all supporting characters too especially pavithra lokesh leave impact spoilers my biggest complaint with this movie is its made as tragedy just sake it all twists story seem forced looks makers were hell bent not giving happy ending leading lady all situations looked unnatural it was hard believe,0.5998148148148147,0.11652777777777781,Positive,"{'Happy': 0.2, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.16, 'Fear': 0.4}"
10,An emotional rollercoaster that you don't want to miss!,"Dia!Now most of you might have not heard about this kannada film. And it is rare that I put a review about a movie. But I felt I should say few things about this movie. There is wish behind this review, I want this movie to do well and win.This movie is about three characters that seeks each other in a way through out the movie, and nothing goes as they want things to go. In this movie nothing actually goes as per you had expected it to. This movie is huge rollercoaster ride of emotions.There are many moments of this movie that took my pieces away one after the other. I can confidently say I haven't witness this kind of a love story before. And by the end of the movie, it will leave you in splits and pieces.Actors Pruthvi Ambaar, Deekshith Shetty, and Kushi have done a tremendous job in this movie. Director KS Ashok have delivered a great movie in his first attempt. Ajaneesh Loknath's music is also a great add on.I specially and personally loved the performance of Pruthvi Ambaar, for the way he has delivered his role. I sat in the theatre for 5 minutes after the movie was over, and didn't speak a word for a long time. Came out and saw Pruthvi standing there, I hugged him and congratulated and wished him well.In the whole, I want this movie to win. And I honestly hope it will. One last thing, before going to this movie, be ready to feel empty and incomplete. Be ready to feel many things that you don't want to. And be ready to be moved completely.This movie for sure will stay with me and haunt me for sure for a very long time.",emotional rollercoaster that you dont want miss,dia now most you might have not heard about this kannada film it is rare that i put review about movie but i felt i should say few things about this movie there is wish behind this review i want this movie do well win this movie is about three characters that seeks each other way through out movie nothing goes as they want things go this movie nothing actually goes as per you had expected it this movie is huge rollercoaster ride emotions there are many moments this movie that took my pieces away one after other i can confidently say i havent witness this kind love story before by end movie it will leave you splits pieces actors pruthvi ambaar deekshith shetty kushi have done tremendous job this movie director ks ashok have delivered great movie his first attempt ajaneesh loknaths music is also great add i specially personally loved performance pruthvi ambaar way he has delivered his role i sat theatre 5 minutes after movie was over didnt speak word long time came out saw pruthvi standing there i hugged him congratulated wished him well whole i want this movie win i honestly hope it will one last thing before going this movie be ready feel empty incomplete be ready feel many things that you dont want be ready be moved completely this movie sure will stay with me haunt me sure very long time,0.5656209150326799,0.28289215686274505,Positive,"{'Happy': 0.21, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.15, 'Fear': 0.31}"
5,Misleading young generation,"It started off really well and I loved the casting and their acting. But, how can anyone keep multiple tragedies in one movie, it was lil too much. I was hoping for a happy ending. Didn't like the way it was ended, very disturbing. Its very misleading for younger generations. Artists should have decent amount of social responsibilities.I watch movies to cheer up and not to feel sad.",misleading young generation,it started off really well i loved casting their acting but how can anyone keep multiple tragedies one movie it was lil too much i was hoping happy ending didnt like way it was ended very disturbing its very misleading younger generations artists should have decent amount social responsibilities i watch movies cheer up not feel sad,0.4333333333333333,0.09615384615384617,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.27}"
10,Movie which breathes among the country for long i.e atleast 3or4 languages will remake this.,"You name the craft.. the team has given their best in it, cinematography, backgroundscore, direction and screenplay in particular. Awards waiting for fure. Coming to the plot, having seen the best bollywood or indian love stories this one will stay at top 10 love stories. The perfection with which the director has dealt, you will agree with the movie till the end. If you have ever been in love, you will be moved inspite of sitting in the chair without any earthquake.",movie which breathes among country long i e atleast 3or4 languages will remake this,you name craft team has given their best it cinematography backgroundscore direction screenplay particular awards waiting fure coming plot having seen best bollywood or indian love stories this one will stay at top 10 love stories perfection with which director has dealt you will agree with movie till end if you have ever been love you will be moved inspite sitting chair without any earthquake,0.45416666666666666,0.5145833333333334,Positive,"{'Happy': 0.19, 'Angry': 0.06, 'Surprise': 0.56, 'Sad': 0.0, 'Fear': 0.19}"
10,Wow what a movie!!,Dia character haunts even after movie . Such a beautiful crafted script with emotional turmoil. Life is full of problems and pain Also life is full of surprises,wow what movie,dia character haunts even after movie such beautiful crafted script with emotional turmoil life is full problems pain also life is full surprises,0.7083333333333334,0.27499999999999997,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.56}"
8,"I was hoping for a happy ending. Didn't like the way it was ended, very disturbing.","Life is full of problems and pains and at the same time full of surprises and miracle's. The way the plots unfolds is truly magical! This film has a very simple screenplay with each of the elements in it being exceptionally pure and natural. The movie will take you on the roller coaster of emotions. It has the power to evoke very strong emotions in you with its realistic look and approach. Due subtle nature of the film, i just gets absorbed into the story in no time. Dialogues are well written and decently implemented on the screen. Powerful performance, Lead characters are done by amateurs from all the artists - dia & adi.However if u want to come out smiling from the theatre, do walk out jus 10 before ends, to much tragedy is tough to handle!. I personally want to ask the director that pain & tough climax is really necessary?The bgm score is soul stirring! Especially the theme song will keep echoing in your ears even coming out of the theatre.Warming, must watchable film.",i was hoping happy ending didnt like way it was ended very disturbing,life is full problems pains at same time full surprises miracles way plots unfolds is truly magical this film has very simple screenplay with each elements it being exceptionally pure natural movie will take you roller coaster emotions it has power evoke very strong emotions you with its realistic look approach due subtle nature film i just gets absorbed into story no time dialogues are well written decently implemented screen powerful performance lead characters are done by amateurs all artists dia adi however if u want come out smiling theatre do walk out jus 10 before ends much tragedy is tough handle i personally want ask director that pain tough climax is really necessary bgm score is soul stirring especially theme song will keep echoing your ears even coming out theatre warming must watchable film,0.6583766233766234,0.09658369408369408,Positive,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.32, 'Sad': 0.1, 'Fear': 0.42}"
