Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,"Like every movie of its kind, and yet like nothing I've ever seen","Dilwale made me glad to be a Westerner, just so I could experience the sheer rush in the glorious way this film simply throws its Indian sensibility in your face. It is one of the most completely, openly joyful films I have ever seen. In many ways a totally Western film, it is yet completely un-Western, and absolutely invigorating.I found the (rather oddly looped in places) mix of Hindi and English dialog to be a lot of fun to follow (as incomplete as the subtitles sometimes seemed). The Indian/Western pop structure of the songs was entertaining and infectious. The choreography is simply amazing, and some of the most sheerly athletic I've seen. The Indian roots of the dance routines were at first almost unnerving--at once familiar yet bizarre, almost surreal (to my Western eyes). It was sheer fun making the cultural adjustment.The plot is predictable, almost pedestrian--certainly not what you'd call ""never done before,"" and yet I found myself completely absorbed in the story, and rooting for the main characters. This is in large part due to Shahrukh Khan's and Kajol's performances as Raj and Simran. He is totally endearing, and she is totally hot!, and their on screen chemistry is as cute & perky and smoldering & steamy as Fred and Ginger at their peak. It was, simply put, fun to watch them having so much fun.Director Aditya Chopra was, I understand, only 24 when he made Dilwale, and the film was so successful its Indian first run lasted a world-record 11 years (and may still be going on, as far as I know). A heckuva testimony to Bollywood indeed. This movie has instantly become one of my favorite musicals, and I look forward to finding more films from Chopra, Khan, and Kajol. What a treat!",like every movie its kind yet like nothing ive ever seen,dilwale made me glad be westerner just so i could experience sheer rush glorious way this film simply throws its indian sensibility your face it is one most completely openly joyful films i have ever seen many ways totally western film it is yet completely un western absolutely invigorating i found rather oddly looped places mix hindi english dialog be lot fun follow as incomplete as subtitles sometimes seemed indian western pop structure songs was entertaining infectious choreography is simply amazing some most sheerly athletic ive seen indian roots dance routines were at first almost unnerving at once familiar yet bizarre almost surreal my western eyes it was sheer fun making cultural adjustment plot is predictable almost pedestrian certainly not what youd call never done before yet i found myself completely absorbed story rooting main characters this is large part due shahrukh khans kajols performances as raj simran he is totally endearing she is totally hot their screen chemistry is as cute perky smoldering steamy as fred ginger at their peak it was simply put fun watch them having so much fun director aditya chopra was i understand only 24 when he made dilwale film was so successful its indian first run lasted world record 11 years may still be going as far as i know heckuva testimony bollywood indeed this movie has instantly become one my favorite musicals i look forward finding more films chopra khan kajol what treat,0.5301322751322751,0.22015873015873014,Positive,"{'Happy': 0.26, 'Angry': 0.02, 'Surprise': 0.2, 'Sad': 0.17, 'Fear': 0.35}"
10.0,Srk-Kajol's chemistry at its best.,"Srk-Kajol have worked in a lot of blockbusters together(Baazigar, Karan Arjun, KKHH, K3G) but DDLJ will always be recognized as their best to date. Debutant director Aditya Chopra so perfectly brings these two together at the back-drop of a realistic family setting that its hard not to fall in love with them. Its chemistry at its finest. For Srk it was his first ""Raj"" character(play-girl type guy with the right values and morals) which he plays to perfection. For Kajol, DDLJ was a career making movie. As Simran she's beautiful, sweet, sensitive and a bit stuck-up too. Thank god Madhuri didn't have the dates to work in DDLJ cuz no actress suits Srk better then Kajol. There are countless heart-warming scenes between em' in DDLJ. Each one of them is uniquely different and just as much fun to watch. The entire setting of DDLJ is very simplistic, which brings out that special ""oomph"" in their romance. The songs are first-class. The strong supporting cast of Amrish Puri, Farida Jalal, Anupam Kher and Satish Shah definitely helped the movie to become the classic as its now seen as.Bottomline: DDLJ is 'romantic comedy' with Indian emotions at its peak. From the cast, chemistry, music, direction and the awesome pairing of Srk-Kajol....its perfect!",srk kajols chemistry at its best,srk kajol have worked lot blockbusters together baazigar karan arjun kkhh k3g but ddlj will always be recognized as their best date debutant director aditya chopra so perfectly brings these two together at back drop realistic family setting that its hard not fall love with them its chemistry at its finest srk it was his first raj character play girl type guy with right values morals which he plays perfection kajol ddlj was career making movie as simran shes beautiful sweet sensitive bit stuck up too thank god madhuri didnt have dates work ddlj cuz no actress suits srk better then kajol there are countless heart warming scenes between em ddlj each one them is uniquely different just as much fun watch entire setting ddlj is very simplistic which brings out that special oomph their romance songs are first class strong supporting cast amrish puri farida jalal anupam kher satish shah definitely helped movie become classic as its now seen as bottomline ddlj is romantic comedy with indian emotions at its peak cast chemistry music direction awesome pairing srk kajol its perfect,0.5416225749559083,0.32658730158730154,Positive,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.31, 'Sad': 0.18, 'Fear': 0.38}"
10.0,The Best,"I watched it when I was a kid. At that time, Indian movies were very famous in Azerbaijan. This movie is the best among Indian movies. It's romantic, comedy, good musical and never gets old.",best,i watched it when i was kid at that time indian movies were very famous azerbaijan this movie is best among indian movies its romantic comedy good musical never gets old,0.4142857142857143,0.4928571428571428,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
9.0,Very good romantic comedy,"I usually go for Bollywood films for the music-dance numbers. While this flick has a few good ones, I was mostly pleased with the plot. I liked the second half the best. I was very disappointed to learn from IMDb that this is the second of only two films done by Pooja Rupanel. She brought a lot of life and spark to a minor role - the female lead's younger sister. She should have done more films. Like any really good comedy, the story had its serious aspects - just enough to make the plot interesting. The stand=by Bollywood love triangle plot can be used as many times as one wishes as long as one has good actors, terrific musical numbers, and a few novel plot twists.",very good romantic comedy,i usually go bollywood films music dance numbers while this flick has few good ones i was mostly pleased with plot i liked second half best i was very disappointed learn imdb that this is second only two films done by pooja rupanel she brought lot life spark minor role female leads younger sister she should have done more films like any really good comedy story had its serious aspects just enough make plot interesting stand by bollywood love triangle plot can be used as many times as one wishes as long as one has good actors terrific musical numbers few novel plot twists,0.45732142857142855,0.17446428571428574,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.13, 'Sad': 0.22, 'Fear': 0.35}"
9.0,The beauty of mainstream Hindi cinema,"Aditya Chopra's Dilwale Dulhania Le Jayenge is a superb example of the genius of Hindi commercial cinema. If you see it, you'll get that it's not very different as a love story. It is even ordinary. But it becomes special for many reasons. First and foremost, for its fresh, naive spirit. Secondly, the many paradoxes it contains: it is powerful yet subtle, larger-than-life yet simple, funny yet sad, magical yet realistic, and so on. Thirdly, it is one of the first films portraying Indians who live outside their country (in this case, London). It also shows the yearning of the first-generation NRIs who live far away from their homeland and for many reasons find it difficult to come back. Yet, the film remains mainly a poignant, melancholic romance. Raj and Simran, the characters played by Shahrukh Khan and Kajol represent the last generation of youngsters who were innocent and naive. They were much more simple, respectful and full of life. Such people almost no longer exist nowadays. The film relates their love story in a rather mesmerising way. Every scene is important. There are many great moments in the film. Raj and Simran's entire acquaintance and interaction in the first half is charming. Their separation at the end of the first half, when both make each other understand of their true feelings without explicitly admitting it, is moving. The traditional wedding preparations in the second half are well-made; the values they show, Raj's attempts to conquer Simran's father, and the couple's deepening relationship are interesting. The only thing I regretted was the typical fight scene towards the end.Shahrukh Khan and Kajol, who undoubtedly form a great film couple, are both excellent in their roles. They act from the heart, and ably bring their characters to life. Shahrukh Khan is incredible as Raj, a modern guy who understands the value of family and marriage, and yet he has the look of a careless fool who does not take anything seriously. Khan acts with great ease, wit and humour, and his inner fear of losing his beloved is always understood. Kajol as the dreamy and poetic yet intransigent and smart Simran is exceptional, and she looks very hot throughout. Amrish Puri and Farida Jalal as Simran's parents provide great support. Amrish Puri is particularly impressive as the strict but soft-hearted father, and Jalal is touching as the woman who has lived life according to terms and does not want the same to happen to her daughter. Anupam Kher is funny and entertaining as Raj's father. The film's soundtrack is outstanding and is clearly one of the main reasons this film works so well and is unforgettable today. The music is very well identified with the film and its story. Just try to imagine you would be given to watch the movie with the songs edited out. You wouldn't want to, right? That's because every song is a gem and is as important as every other scene. Every song comes in the right place and is sung and pictured exceptionally well. The one closest to my heart is ""Ho Gaya Hai Tujhko"", for its beautiful melody and very melancholic feel, which is aided by its blend of fantasy and reality on-screen. It is performed to perfection by Lata Mangeshkar and Udit Narayan. DDLJ is a film that should not be missed by anyone. It is one of the great gifts of Yash Chopra and his banner. It is a milestone of Indian cinema for its ability to inject fresh and magical energies into a banal love story, and for making it classically memorable.",beauty mainstream hindi cinema,aditya chopras dilwale dulhania le jayenge is superb example genius hindi commercial cinema if you see it youll get that its not very different as love story it is even ordinary but it becomes special many reasons first foremost its fresh naive spirit secondly many paradoxes it contains it is powerful yet subtle larger than life yet simple funny yet sad magical yet realistic so thirdly it is one first films portraying indians who live outside their country this case london it also shows yearning first generation nris who live far away their homeland many reasons find it difficult come back yet film remains mainly poignant melancholic romance raj simran characters played by shahrukh khan kajol represent last generation youngsters who were innocent naive they were much more simple respectful full life such people almost no longer exist nowadays film relates their love story rather mesmerising way every scene is important there are many great moments film raj simrans entire acquaintance interaction first half is charming their separation at end first half when both make each other understand their true feelings without explicitly admitting it is moving traditional wedding preparations second half are well made values they show rajs attempts conquer simrans father couples deepening relationship are interesting only thing i regretted was typical fight scene towards end shahrukh khan kajol who undoubtedly form great film couple are both excellent their roles they act heart ably bring their characters life shahrukh khan is incredible as raj modern guy who understands value family marriage yet he has look careless fool who does not take anything seriously khan acts with great ease wit humour his inner fear losing his beloved is always understood kajol as dreamy poetic yet intransigent smart simran is exceptional she looks very hot throughout amrish puri farida jalal as simrans parents provide great support amrish puri is particularly impressive as strict but soft hearted father jalal is touching as woman who has lived life according terms does not want same happen her daughter anupam kher is funny entertaining as rajs father films soundtrack is outstanding is clearly one main reasons this film works so well is unforgettable today music is very well identified with film its story just try imagine you would be given watch movie with songs edited out you wouldnt want right thats because every song is gem is as important as every other scene every song comes right place is sung pictured exceptionally well one closest my heart is ho gaya hai tujhko its beautiful melody very melancholic feel which is aided by its blend fantasy reality screen it is performed perfection by lata mangeshkar udit narayan ddlj is film that should not be missed by anyone it is one great gifts yash chopra his banner it is milestone indian cinema its ability inject fresh magical energies into banal love story making it classically memorable,0.6002968960863697,0.2584096605149237,Positive,"{'Happy': 0.21, 'Angry': 0.03, 'Surprise': 0.2, 'Sad': 0.25, 'Fear': 0.3}"
10.0,Come fall in love...with a Classic!!!,"Probably one of the greatest love stories ever told. Director Aditya Chopra made his debut as a director with this film. Aditya is the son of legendary Director/Producer Yash Chopra who gave us films like Deewar, Darr, Waqt, Kabhie Kabhie, Dil To Pagal Hai and Veer-Zaara.Aditya was one the first Directors of the New Generation of the Indian film Directors. With his first film he got rave reviews and was immediately classified as one of the best directors in Indian Cinema. With DDLJ, Aditya showed us what falling in love, respect, and family values are all about. This film also confirmed the Pair of Shah Rukh Khan and Kajol as one of the best in the Indian Cinema. It made Kajol and Shah Rukh superstars over night and two of the most sought after actors.DDLJ also started the trend of love stories in Indian Cinema. Before DDLJ, most Indian films were action films. But DDLJ changed all that and the way of war was changed to a way of love. It's incredible how this film changed the Indian Cinema and the way of making films. DDLJ is a Forever Classic.It recently set a new record for the longest running film when it crossed the 500th week mark (that means it's a 10 time golden jubilee), the previous record was 275 weeks and was held by SHOLAY (another forever classic). All I can say is you must watch this movie, because ""After Raj met Simran, love wasn't the same...come fall in love all over again"".",come fall love with classic,probably one greatest love stories ever told director aditya chopra made his debut as director with this film aditya is son legendary director producer yash chopra who gave us films like deewar darr waqt kabhie kabhie dil pagal hai veer zaara aditya was one first directors new generation indian film directors with his first film he got rave reviews was immediately classified as one best directors indian cinema with ddlj aditya showed us what falling love respect family values are all about this film also confirmed pair shah rukh khan kajol as one best indian cinema it made kajol shah rukh superstars over night two most sought after actors ddlj also started trend love stories indian cinema before ddlj most indian films were action films but ddlj changed all that way war was changed way love its incredible how this film changed indian cinema way making films ddlj is forever classic it recently set new record longest running film when it crossed 500th week mark that means its 10 time golden jubilee previous record was 275 weeks was held by sholay another forever classic all i can say is you must watch this movie because after raj met simran love wasnt same come fall love all over again,0.4784231200897866,0.4187429854096521,Positive,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.17}"
,What an awesome movie!,"I'm sooo in love with this movie. Its way better than Kuch Kuch Hota Hai or any other Hindi film or ANY film in general that I've ever seen! It's that good! I just want to recommend this to everyone ESPECIALLY if your a Shah Ruhk Khan/Kajol fan, they are awesome together. The whole supporting cast does a great job too- Put together with the beautiful direction of Aditya Chopra they turn a simple storyline of uncliched love into a heartfelt movie you can watch over and over again. Oh, and did I mention the songs rock too!",what awesome movie,im sooo love with this movie its way better than kuch kuch hota hai or any other hindi film or any film general that ive ever seen its that good i just want recommend this everyone especially if your shah ruhk khan kajol fan they are awesome together whole supporting cast does great job too put together with beautiful direction aditya chopra they turn simple storyline uncliched love into heartfelt movie you can watch over over again oh did i mention songs rock too,0.6621428571428571,0.415,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.07, 'Fear': 0.2}"
9.0,An Immotral Film!,"'DDLJ' is An Immortal Film! It's among those ""FINE"" films, that remain perfect forever. It's among those gems, that can never go dated. Be it the direction, the screenplay, the songs, the performances, the cinematography...everything just gets better! 'DDLJ' Synopsis: A young man and woman - both of Indian-descent, but born and raised in England - fall in love during a trip to Switzerland. However, the girl's traditional father takes her back to India to fulfill a betrothal promise.'DDLJ', even if not so hugely successful, it still would have gained a cult-following. Aditya Chopra's Screenplay is engaging, moving & most importantly entertaining. The Love-Story works big time, so do the characters & the situations. Cinematography by Manmohan Singh is picture perfect. Editing is smooth. Chopra's direction is sensitive. Music by Jatin-Lalit, is fabulous.Shahrukh's performance as Raj, became a rage & catapulted him into Superstardom. He is lovable as Raj. Kajol as Simran, is fantastic, as always. The Chemistry between Shahrukh & Kajol, is infectious. Amrish Puri, however, steals the show as the traditional Indian father. The late legend delivers an incredible performance, that truly leaves you in awe of him. Farida Jalal is first-rate. Anupam Kher is great. Parmeet Sethi plays the bad-guy well. Satish Shah is decent, while Mandira Bedi is passable. Others are perfect.On the whole, 'DDLJ' is one of THE Finest films to come out of Hindi Cinema. It's The Mughal-e-Azam of the 1990's!",immotral film,ddlj is immortal film its among those fine films that remain perfect forever its among those gems that can never go dated be it direction screenplay songs performances cinematography everything just gets better ddlj synopsis young man woman both indian descent but born raised england fall love during trip switzerland however girls traditional father takes her back india fulfill betrothal promise ddlj even if not so hugely successful it still would have gained cult following aditya chopras screenplay is engaging moving most importantly entertaining love story works big time so do characters situations cinematography by manmohan singh is picture perfect editing is smooth chopras direction is sensitive music by jatin lalit is fabulous shahrukhs performance as raj became rage catapulted him into superstardom he is lovable as raj kajol as simran is fantastic as always chemistry between shahrukh kajol is infectious amrish puri however steals show as traditional indian father late legend delivers incredible performance that truly leaves you awe him farida jalal is first rate anupam kher is great parmeet sethi plays bad guy well satish shah is decent while mandira bedi is passable others are perfect whole ddlj is one finest films come out hindi cinema its mughal e azam 1990s,0.6298850574712643,0.3545977011494253,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.25, 'Fear': 0.28}"
,Dilwale Dulhania Le Jayenge: A Commentary,"This was the top Bollywood film of the 90s and after seeing it I really can't think of one that was better. There are some that are just as good but I can't recall seeing one that's better. The story's pretty routine: boy meets girl in Europe, they fall in love, girl is engaged to some other idiot, and the rest writes itself... Sound familiar? Well it wasn't back in '95 (or even if it was it wasn't done as well) and Aditya Chopra's treatment of the story was a big reason for it's success. In every other movie the couple first wants to kill each other before falling in love. But in this movie it's slightly different and more plausible. Shahrukh doesn't want to kill Kahol - I mean Kajol - and she doesn't really hate him either, she just (like the rest of us) is annoyed by the guy. Their situations aren't that far-fetched and their Europe storyline is played out quite realistically (of course the piano scene is an exception). This was the beginning of the ""Shahrukh plays Shahrukh era"" and, for what it's worth, he hasn't made a better movie or given a better performance since. Sure there are places where he overacts but there are just as many places where he's able to hit all his cues. His comic timing was never better and there was still some sincerity in his eyes, a reminder of the fact that he was still an actor, which has since been replaced by the cockiness of a megastar. This is the movie that shot him to superstardom and put him alongside Aamir and Salman. Kajol is just as good (if not better), and I think after their next movie they'll win the Nobel Prize for Chemistry. The supporting cast is fine although no one really stands out. There are many moments in the film, most notably in the script, where you might feel a sense of deja vu. But keep in mind that this was the original, it's everything else that's a rehash. Bollywood headed straight for the sewer after this movie with almost all films, many of them starring Shahrukh, copying the same formula. Even at its 3 hour length the movie never drags till after the two-hour mark. I also want to comment on the film's Art Direction because it warrants a mention. Whether it's in Europe, England, or India, the movie has a very natural look to it. Unlike today's big films like Dil To Pagal Hai, or K3G, this movie looks good without trying to look good and I think that's a quality that's been lost on today's films. Too much attention is spent on the look at the expense of the story (if there is one!). The soundtrack of course is a classic, truly one of the all-time bests, with almost every song being a hit. The film won an unprecedented number of awards while breaking many records. There was a feeling that Aditya would follow in his father Yash's footsteps but regrettably the pressure got to him. He followed this up with the dreadful Mohabbatein which was slammed by audiences and critics alike. But so what. His first film was good, and with the current state of Bollywood movies - Devdas anyone? - you really can't get better than this.",dilwale dulhania le jayenge commentary,this was top bollywood film 90s after seeing it i really cant think one that was better there are some that are just as good but i cant recall seeing one thats better storys pretty routine boy meets girl europe they fall love girl is engaged some other idiot rest writes itself sound familiar well it wasnt back 95 or even if it was it wasnt done as well aditya chopras treatment story was big reason its success every other movie couple first wants kill each other before falling love but this movie its slightly different more plausible shahrukh doesnt want kill kahol i mean kajol she doesnt really hate him either she just like rest us is annoyed by guy their situations arent that far fetched their europe storyline is played out quite realistically course piano scene is exception this was beginning shahrukh plays shahrukh era what its worth he hasnt made better movie or given better performance since sure there are places where he overacts but there are just as many places where hes able hit all his cues his comic timing was never better there was still some sincerity his eyes reminder fact that he was still actor which has since been replaced by cockiness megastar this is movie that shot him superstardom put him alongside aamir salman kajol is just as good if not better i think after their next movie theyll win nobel prize chemistry supporting cast is fine although no one really stands out there are many moments film most notably script where you might feel sense deja vu but keep mind that this was original its everything else thats rehash bollywood headed straight sewer after this movie with almost all films many them starring shahrukh copying same formula even at its 3 hour length movie never drags till after two hour mark i also want comment films art direction because it warrants mention whether its europe england or india movie has very natural look it unlike todays big films like dil pagal hai or k3g this movie looks good without trying look good i think thats quality thats been lost todays films too much attention is spent look at expense story if there is one soundtrack course is classic truly one all time bests with almost every song being hit film won unprecedented number awards while breaking many records there was feeling that aditya would follow his father yashs footsteps but regrettably pressure got him he followed this up with dreadful mohabbatein which was slammed by audiences critics alike but so what his first film was good with current state bollywood movies devdas anyone you really cant get better than this,0.4594487847222222,0.22774739583333325,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.35, 'Sad': 0.18, 'Fear': 0.29}"
10.0,an Epitome for all the romantic movies in India,"Dilwale Dulhania Le Jayenge is a musical romance film, directed by Aditya Chopra and stars Shah Rukh Khan, Kajol, Late Amrish Puri, Farida Jalal, Anupam Kher, Parmeet Sethi Satish Shah, Late Achala Sachdev, Mandira Bedi, Himani Shivpuri and Pooja Ruparel.The longest ever running movie in the history of Indian Cinema is been considered an epitome in the genre of romantic movies. The movie is almost a flawless movie with mesmerizing music and promotes the family values and Indian culture with perfection.In my opinion i am not in a position to judge or review the milestone movie of Indian cinema which has a stellar and impressive star cast, melodious and mesmerizing music and an engaging screenplay, iconic dialogues and unforgettable climax with Bauji letting Simran go to Raj the love of her life.There could be few disconnect with the movie in regard to current generations and they might feel the movie little more over melodramatic or little exaggerated but to understand and enjoy the grandeur of the movie or the magnificence of the movie you have to watch the movie with the perspective of the generation who were born in late 70s and 80s who were in their 20s and few of them in their teenage and i am sure you'll understand the stature of the movie.A must watch for all the romantic music lovers and a must watch for all the true Indian movie lover or follower.",epitome all romantic movies india,dilwale dulhania le jayenge is musical romance film directed by aditya chopra stars shah rukh khan kajol late amrish puri farida jalal anupam kher parmeet sethi satish shah late achala sachdev mandira bedi himani shivpuri pooja ruparel longest ever running movie history indian cinema is been considered epitome genre romantic movies movie is almost flawless movie with mesmerizing music promotes family values indian culture with perfection my opinion i am not position judge or review milestone movie indian cinema which has stellar impressive star cast melodious mesmerizing music engaging screenplay iconic dialogues unforgettable climax with bauji letting simran go raj love her life there could be few disconnect with movie regard current generations they might feel movie little more over melodramatic or little exaggerated but understand enjoy grandeur movie or magnificence movie you have watch movie with perspective generation who were born late 70s 80s who were their 20s few them their teenage i am sure youll understand stature movie must watch all romantic music lovers must watch all true indian movie lover or follower,0.551440329218107,0.1712962962962963,Positive,"{'Happy': 0.27, 'Angry': 0.04, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.19}"
