Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1,A contender for the worst live-action film for an animated TV series,"As bad as Inspector Gadget and The Last Airbender are, they look like masterpieces compared to Dragonball Evolution. The TV series was very, very good, the movie was half-baked and bland. The only good thing was James Marsters, while he mayn't look exactly like Piccolo he at least tries to capture the essence of the character. Just a shame he isn't in enough of the movie to elevate it even more.Why do I say that Dragonball Evolution is a contender for the worst live-action film for an animated TV series? The scenery and costumes are nice to look at, but the cinematography does nothing for me, the editing is shoddy and the lighting is dull. The special effects don't impress either, they do distract rather than enhance and it doesn't help that some of them are half-baked.The film is also too rushed, and in all honesty I was left bored by the end, nothing really interesting in my view happens. The story is juvenile and predictable, the dialogue is terrible either being cheesy or due to the delivery very rarely ringing true and the direction is bland. The acting is nothing to smile about, Goku and Yamuka especially are complete disasters and show a complete lack of acting ability. Not only that, the characters here are treated in the most banal way possible and are difficult to like as a result.Overall, a very poor movie. 1/10 Bethany Cox",contender worst live action film animated tv series,as bad as inspector gadget last airbender are they look like masterpieces compared dragonball evolution tv series was very very good movie was half baked bland only good thing was james marsters while he maynt look exactly like piccolo he at least tries capture essence character just shame he isnt enough movie elevate it even more why do i say that dragonball evolution is contender worst live action film animated tv series scenery costumes are nice look at but cinematography does nothing me editing is shoddy lighting is dull special effects dont impress either they do distract rather than enhance it doesnt help that some them are half baked film is also too rushed all honesty i was left bored by end nothing really interesting my view happens story is juvenile predictable dialogue is terrible either being cheesy or due delivery very rarely ringing true direction is bland acting is nothing smile about goku yamuka especially are complete disasters show complete lack acting ability not only that characters here are treated most banal way possible are difficult like as result overall very poor movie 1 10 bethany cox,0.5508459979736575,-0.04730772773325965,Negative,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.29, 'Fear': 0.26}"
3,A Nutshell Review: Dragonball Evolution,"Hollywood plundering Japanese pop culture isn't something new. From ""Americanizing"" television series for the kids from Power Rangers to Ultraman, and adapting famed characters from Japanese film, games and manga to frequent disastrous effect, it still wouldn't stop the studios from going after one property after another. This time round it's the long running Dragonball series, because the assumption is that the built-in fan base would translate to instant dollars at the box office. Not.You have to give the filmmakers a little bit of credit though, being either foolhardy, or just plain ballsy. It's a given that they cannot condense and distill the rich content into a surprisingly less than 90 minute movie, and live in the hopes of producing a sequel, or to generate a franchise (i.e. don't leave the cinema hall when the end credits start to roll). But what they successfully do, is to super-summarize the entire mythos by throwing out everything except the main gist of the entire manga, making it extremely simplistic in poor lazy-man standards in adaptation.For the uninitiated, the film would serve as a quick launchpad to the original manga. For those with a wee bit of knowledge of what it's about (like myself), the film just treads along the same lines and doesn't offer you new information. For the fanboys, I guess you'll only get some kicks at seeing some of your favorite characters come alive, only that they look more Caucasian, and have a head full of hair when they're not supposed to (someone forgot to insist that in the contract?) That's all you're gonna get. Period.As far as film-making and story-telling techniques go, you can see cliché after cliché being thrown at you, with the poorly and cheaply rendered special effects offering no consolation. Justin Chatwin's Goku is your typical teenager who possesses innate potential yet to be realized, and in his frustration he gets treated by peers as a loser geek. He lives with his grandpa Gohan (Randall Duk Kim in stereotypical know-it-all like in Kung Pu Panda), and develops a crush on school hottie Chi Chi (Jamie Chung). Goku's calling in life is to prevent an apocalypse from happening with the return of chief cardboard baddie Lord Piccolo (an instant shoo-in as one of the worst cinematic villains, ever!) and his temporary sidekick Mai (Eriko Tamura) who attempt to collect 7 dragonballs to fulfill an ancient myth. And of course Goku needs a Fellowship, in the form of irritating tech-wizard Bulma (Emmy Rossum last seen in the sinker Poseidon), mercenary Yum Cha (Joon Park who probably copied Rain's uninspiring cinematic turn in Speed Racer to a T) and Chow Yun-Fat the biggest name of them all here trying his darnest best to act cute as Master Roshi, who imparts skills in double quick time to Goku.Speaking of time, or the lack thereof, everything is compressed. From two weeks to two days and the day of the blood moon shielding the yellow sun (OK so I made that up), everything moves at so fast a pace, that all you get are cheesy lines of dialog, and an excuse to paste some action sequences together. And James Wong certainly can't direct action (despite being at the helm of Jet Li's The One, which was of course bland and bad), opting to pay homage to Zack Snyder's slow-mo technique, and midway changing the style to having the camera being too close to the action, in the dark, coupled with quick MTV cuts that you don't get to see a thing.And the rush job just doesn't stop at the narrative or the action. Special effects wise, they look really cheap, and I wonder whether Producer Stephen Chow would roll his eyes at what would be extremely pale when put side by side with his Kung Fu Hustle done many years ago. Ayumi Hamasaki's contribution of the theme song Rule sounded really bad as well (I may get flak from her fans), and I guess having some Asian participation doesn't legitimize what is essentially a poorly done movie. Not even Chow Yun-Fat's star status could save this, and you wonder what figured when this is the movie that he gave up Red Cliff for.This is basically a movie that only children below the age of 5 will enjoy tremendously, despite having to see 6 half-balls, contributed courtesy of the 3 lead female characters, being continuously flashed on screen, thanks to some neck plunging wardrobe (where's that malfunction when you need one?) Totally bland and really uninteresting, I would suggest sticking to the manga instead.",nutshell review dragonball evolution,hollywood plundering japanese pop culture isnt something new americanizing television series kids power rangers ultraman adapting famed characters japanese film games manga frequent disastrous effect it still wouldnt stop studios going after one property after another this time round its long running dragonball series because assumption is that built fan base would translate instant dollars at box office not you have give filmmakers little bit credit though being either foolhardy or just plain ballsy its given that they cannot condense distill rich content into surprisingly less than 90 minute movie live hopes producing sequel or generate franchise i e dont leave cinema hall when end credits start roll but what they successfully do is super summarize entire mythos by throwing out everything except main gist entire manga making it extremely simplistic poor lazy man standards adaptation uninitiated film would serve as quick launchpad original manga those with wee bit knowledge what its about like myself film just treads along same lines doesnt offer you new information fanboys i guess youll only get some kicks at seeing some your favorite characters come alive only that they look more caucasian have head full hair when theyre not supposed someone forgot insist that contract thats all youre gonna get period as far as film making story telling techniques go you can see clich after clich being thrown at you with poorly cheaply rendered special effects offering no consolation justin chatwins goku is your typical teenager who possesses innate potential yet be realized his frustration he gets treated by peers as loser geek he lives with his grandpa gohan randall duk kim stereotypical know it all like kung pu panda develops crush school hottie chi chi jamie chung gokus calling life is prevent apocalypse happening with return chief cardboard baddie lord piccolo instant shoo as one worst cinematic villains ever his temporary sidekick mai eriko tamura who attempt collect 7 dragonballs fulfill ancient myth course goku needs fellowship form irritating tech wizard bulma emmy rossum last seen sinker poseidon mercenary yum cha joon park who probably copied rains uninspiring cinematic turn speed racer t chow yun fat biggest name them all here trying his darnest best act cute as master roshi who imparts skills double quick time goku speaking time or lack thereof everything is compressed two weeks two days day blood moon shielding yellow sun ok so i made that up everything moves at so fast pace that all you get are cheesy lines dialog excuse paste some action sequences together james wong certainly cant direct action despite being at helm jet lis one which was course bland bad opting pay homage zack snyders slow mo technique midway changing style having camera being too close action dark coupled with quick mtv cuts that you dont get see thing rush job just doesnt stop at narrative or action special effects wise they look really cheap i wonder whether producer stephen chow would roll his eyes at what would be extremely pale when put side by side with his kung fu hustle done many years ago ayumi hamasakis contribution theme song rule sounded really bad as well i may get flak her fans i guess having some asian participation doesnt legitimize what is essentially poorly done movie not even chow yun fats star status could save this you wonder what figured when this is movie that he gave up red cliff this is basically movie that only children below age 5 will enjoy tremendously despite having see 6 half balls contributed courtesy 3 lead female characters being continuously flashed screen thanks some neck plunging wardrobe wheres that malfunction when you need one totally bland really uninteresting i would suggest sticking manga instead,0.5104439935064937,0.025323457792207793,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.18, 'Sad': 0.18, 'Fear': 0.48}"
1,A beyond Sub-par interpretation of Dragon Ball onto the big screens.,"This is a total butchering of what I had held great hopes of seeing. The movies attempts to follow the dragon ball story line, meanwhile adding a ""modern"" spin on it (ie. chi chi's castle, and Master Roshi lives in a regular semi whats up with that?). What the viewers want to see is a storyline that follows the cartoon series without any changes, and additions. Overall, the plot is weak, the characters do not look like the cartoons (ie. Yamcha, Master Roshi), the 2D cartoon series had better special effects than the movie (and the series had NO special effects, thats how terrible it was). I created an IMDb account JUST to comment on how they butchered Dragonball for me and I hope that Hollywood is smarter next time as to when they bring such a strong fan based series onto the big screens or they will only infuriate more of the audience.",beyond sub par interpretation dragon ball onto big screens,this is total butchering what i had held great hopes seeing movies attempts follow dragon ball story line meanwhile adding modern spin it ie chi chis castle master roshi lives regular semi whats up with that what viewers want see is storyline that follows cartoon series without any changes additions overall plot is weak characters do not look like cartoons ie yamcha master roshi 2d cartoon series had better special effects than movie series had no special effects thats how terrible it was i created imdb account just comment how they butchered dragonball me i hope that hollywood is smarter next time as when they bring such strong fan based series onto big screens or they will only infuriate more audience,0.4751831501831502,0.07275910364145659,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.22, 'Fear': 0.39}"
1,"Insulting as a Dragon Ball fan, as a movies fan, and probably as human(?)","As a Dragon Ball fan this was clearly not anything even similar.As a movie fan, this was atrocious.Its hard to understand what kind of drugs all the people involved were in",insulting as dragon ball fan as movies fan probably as human,as dragon ball fan this was clearly not anything even similar as movie fan this was atrocious its hard understand what kind drugs all people involved were,0.6178571428571429,-0.20595238095238091,Negative,"{'Happy': 0.2, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.6}"
1,Even those who aren't fans of the original cartoon will hate this.,"""Dragonball Evolution"" must be one of the most pathetic movies ever made. I wasn't expecting this to be like the anime series, I only was expecting this to be remotely good and yet even on this it fails miserably. ""Dragonball Evolution"" combines a lot of predictable clichés and stereotypes from every single fantasy movie from the recent years with terrible performances and horrible, really horrible special effects. No only none of the characters were remotely likable (If the idea was to attract a new audience changing the personality of the characters of the anime show, it fails mostly because this new vision of these ""original"" characters is based on the most uninspiring and bland kind of stereotypes) ""Dragonball Evolution"" is the perfect example of everything what is wrong with live action adaptations of cartoons: Neither the story or the characters have at least a slight resemblance to the source material, the visual effects are extremely poor, the script is incredibly stupid and childish. And the worst part is that not even remotely entertaining to watch, being one of the most boring, generic-looking movies I've seen in my entire life.""Dragonball Evolution"" is like a combination of the Power Rangers and High School Musical. It sucks. If you like the anime series ""Dragonball"", avoid this. And if you don't I still recommend you to avoid this horrible film because is boring, dumb and poorly made.0/10 (And I would rate with a negative score if I could)",even those who arent fans original cartoon will hate this,dragonball evolution must be one most pathetic movies ever made i wasnt expecting this be like anime series i only was expecting this be remotely good yet even this it fails miserably dragonball evolution combines lot predictable clich s stereotypes every single fantasy movie recent years with terrible performances horrible really horrible special effects no only none characters were remotely likable if idea was attract new audience changing personality characters anime show it fails mostly because this new vision these original characters is based most uninspiring bland kind stereotypes dragonball evolution is perfect example everything what is wrong with live action adaptations cartoons neither story or characters have at least slight resemblance source material visual effects are extremely poor script is incredibly stupid childish worst part is that not even remotely entertaining watch being one most boring generic looking movies ive seen my entire life dragonball evolution is like combination power rangers high school musical it sucks if you like anime series dragonball avoid this if you dont i still recommend you avoid this horrible film because is boring dumb poorly made 0 10 i would rate with negative score if i could,0.6206082692817387,-0.16129649262302323,Negative,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.14, 'Sad': 0.28, 'Fear': 0.42}"
2,Even the 7 Dragonballs Can't Save This Movie,"For manga and anime fans around the world, the story of Dragonball has to be at the top, or at least in the top 3 of their most beloved manga/anime stories ever written. There is already an existing live action Dragonball movie called Dragonball: The Magic Begins (http://www.imdb.com/title/tt0122050/) made in Taiwan back in 1989. That movie tried really hard to stay as close as possible to the original story of Dragonball as written by Akira Toriyama, but it ended up being more of a comedy. The entire story also only went up to the Pilaf storyline, which was way before the first Piccolo appearance. This movie, although aged and not exactly a direct interpretation of the Dragonball story, was still appreciated by most fans due to the comedic entertainment value.Now, another live action Dragonball movie has come, called Dragonball: Evolution. When the first few pictures of this movie appeared on the internet, a lot of the fans already predicted that the movie would turn out horrible because the characters don't look like themselves. The characters were heavily changed and westernized too much, especially Piccolo, the main villain, who didn't look like the one from the manga and anime. Fast forward to a few weeks before the latest Dragonball movie was released, a trailer was leaked on the internet. That trailer spelled the certain doom of the movie to the fans of the show. Most of the comments described the movie as ""Not Dragonball, but another action movie"".This writer was fortunate enough to be invited to a private screening of the movie, and boy was I surprised! I was already expecting the movie to be bad and not a ""real"" Dragonball, but what I witnessed was something much more horrible! Granted that the movie was really different, but the way the movie progressed, the introduction of characters, the fight scenes, oh wow, you'd think it was a movie created by elementary kids who had no idea what Dragonball was about, except for the ""Kamehameha"" move and the 7 dragon balls, just with the financial backing of a millionaire. Everything seemed rushed in the movie and characters would just pop out of nowhere and decide to join together to beat Piccolo. The love angle in the story seemed forced as well, everybody was simply out of character. Goku's a powerful but lame school boy, Chi Chi's a martial art school girl who can't even open her own locker, Master Roshi's some crazy dude living in the city (at least he still wears a Hawaiian shirt and seems a little perverted), Bulma became Lara Croft and Rambo combined in another body with a bizarre voice, Mai (originally one of Pilaf's hilarious henchmen in the manga) became a cold blooded, shape-shifting killer, Yamcha became a weird cross between a desert bandit who can't fight and a hobo with unwashed hair, and Piccolo became a weird vampire whose outfit seems to be inspired by the Matrix. I think only Grandpa Gohan was close enough to the original character, except for the way he exits the movie early on.The fight scenes were lame. Dragonball was about epic sized battles that could not be contained in one location. Characters would get punched through mountains, cities would be destroyed, the earth would rumble and split up due to the massive forces of the fighters. In this movie, everything seemed so lame. Even the Kamehameha attack was used to light some candles! Talk about total weakening!The only ""good"" things about the movie were the special effects, although the energy blasts seemed very weak.My advise is, if you're going to pay to watch this movie, DON'T DO IT. Listen to what almost everybody has been saying because they're right, the movie is worse than what you currently have in mind!",even 7 dragonballs cant save this movie,manga anime fans around world story dragonball has be at top or at least top 3 their most beloved manga anime stories ever written there is already existing live action dragonball movie called dragonball magic begins made taiwan back 1989 that movie tried really hard stay as close as possible original story dragonball as written by akira toriyama but it ended up being more comedy entire story also only went up pilaf storyline which was way before first piccolo appearance this movie although aged not exactly direct interpretation dragonball story was still appreciated by most fans due comedic entertainment value now another live action dragonball movie has come called dragonball evolution when first few pictures this movie appeared internet lot fans already predicted that movie would turn out horrible because characters dont look like themselves characters were heavily changed westernized too much especially piccolo main villain who didnt look like one manga anime fast forward few weeks before latest dragonball movie was released trailer was leaked internet that trailer spelled certain doom movie fans show most comments described movie as not dragonball but another action movie this writer was fortunate enough be invited private screening movie boy was i surprised i was already expecting movie be bad not real dragonball but what i witnessed was something much more horrible granted that movie was really different but way movie progressed introduction characters fight scenes oh wow youd think it was movie created by elementary kids who had no idea what dragonball was about except kamehameha move 7 dragon balls just with financial backing millionaire everything seemed rushed movie characters would just pop out nowhere decide join together beat piccolo love angle story seemed forced as well everybody was simply out character gokus powerful but lame school boy chi chis martial art school girl who cant even open her own locker master roshis some crazy dude living city at least he still wears hawaiian shirt seems little perverted bulma became lara croft rambo combined another body with bizarre voice mai originally one pilafs hilarious henchmen manga became cold blooded shape shifting killer yamcha became weird cross between desert bandit who cant fight hobo with unwashed hair piccolo became weird vampire whose outfit seems be inspired by matrix i think only grandpa gohan was close enough original character except way he exits movie early fight scenes were lame dragonball was about epic sized battles that could not be contained one location characters would get punched through mountains cities would be destroyed earth would rumble split up due massive forces fighters this movie everything seemed so lame even kamehameha attack was used light some candles talk about total weakening only good things about movie were special effects although energy blasts seemed very weak my advise is if youre going pay watch this movie dont do it listen what almost everybody has been saying because theyre right movie is worse than what you currently have mind,0.5838138267355135,0.042829760600844945,Positive,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.21, 'Fear': 0.38}"
1,"So bad it's... well... bad, really","As you may or may not already know, Dragonball Evolution is officially leaked online. Directed by James Wong, the film was released a month early in Asia, and even watching the leaked version is even a waste of time. I watched the leaked version and even then I wanted my money back.So pretty much we see Goku on his 18th birthday, and he gets the dragonball. At school, he fantasizes about Chi Chi eating strawberries in science class (WTF???), opens every locker with his powers, and a whole bunch of other crap. At Chi Chi's party, he fights with these random guys and gets in, when Piccolo, who looks like a potato, destroys Goku's house and kills his Grandfather, and this leads Goku on some quest to get all 7 dragonballs.This movie is a pure suck-fest from beginning to end. Watch as Goku fantasizes about Chi Chi eating strawberries! Gawk at the lame performances from such lame stars as Justin Chatwin (who is ESPECIALLY bad), Chow-Yun Fat, and others! Laugh out loud at the bad dialog! Cringe at the cringe-inducing special effects! Watch as the writers get characters wrong! Or don't. Just spare yourself really.Apparently the official American version has 22 extra minutes of footage. But at this point I don't care, because this movie is already enough torture. What are the going to add? A Bulma/Goku sex scene? A scene where Goku masturbates with that Chi Chi fantasy in his head? A scene where Piccolo turns into a woman and gives birth to a ninja turtle??? A whole subplot involving Piccolo and a sex change operation? With that said, please don't watch this movie. If you have to so desperately watch it, just watch the bootleg version.",so bad its well bad really,as you may or may not already know dragonball evolution is officially leaked online directed by james wong film was released month early asia even watching leaked version is even waste time i watched leaked version even then i wanted my money back so pretty much we see goku his 18th birthday he gets dragonball at school he fantasizes about chi chi eating strawberries science class wtf opens every locker with his powers whole bunch other crap at chi chis party he fights with these random guys gets when piccolo who looks like potato destroys gokus house kills his grandfather this leads goku some quest get all 7 dragonballs this movie is pure suck fest beginning end watch as goku fantasizes about chi chi eating strawberries gawk at lame performances such lame stars as justin chatwin who is especially bad chow yun fat others laugh out loud at bad dialog cringe at cringe inducing special effects watch as writers get characters wrong or dont just spare yourself really apparently official american version has 22 extra minutes footage but at this point i dont care because this movie is already enough torture what are going add bulma goku sex scene scene where goku masturbates with that chi chi fantasy his head scene where piccolo turns into woman gives birth ninja turtle whole subplot involving piccolo sex change operation with that said please dont watch this movie if you have so desperately watch it just watch bootleg version,0.5298809523809525,-0.18511904761904763,Negative,"{'Happy': 0.02, 'Angry': 0.02, 'Surprise': 0.38, 'Sad': 0.22, 'Fear': 0.36}"
1,A load of old Dragonballs,"It must be a real drag being a Jungian archetype. Aside from the inconvenience of possessing a thousand faces, imagine minding your own business, practicing judo with some wise and wily sage, when you're suddenly handed a magic sword or glowing swishy stick or cosmic catapult and tipped headlong into some damn-fool quest to go and rescue a princess and kill your dad - no, hang on, wrong shrink - or confront some Dark Lord (who may actually turn out to be your dad, bummer), while also confronting the darkness within your own soul (look harder, not using the recycling bin doesn't count). And the real bore of it all is, the thing that makes you want to stick your arms in a mincer, is that you know exactly what's going to happen next, which charming rogue you're going to meet on the road, which cuckolding temptress you're going to wind up married to for the next 100 years, and precisely which one of your battle-hungry, blood-crazed stepsons is going to do you in with a pillow when you're no longer fit to preside over a model railway set.The story is old, but it goes on. And it's always a pleasure when it's well told. But when plots and characters are as insultingly stock as they are in Dragonball Evolution, you start fervently praying for a bit of Jodorowsky-style subversion, possibly involving the heroine, the Dark Lord, a sackful of syringes and a malnourished donkey called Carlos. This resembles a fever dream you might have had after slipping into an E-number-aggravated blood sugar crash while watching The Star Wars Trilogy. Dragonball Evolution is so derivative, such a bare-faced rip-off of George Lucas' pension, that it actually seems completely pointless to pick holes in it. You might as well just attack the originals for their myriad faults and get two birds with one stone.""In an ancient time, Earth was nearly destroyed"" begins the ponderous voice-over.""Not by man, but by Gods from the sky..."" Most dramas smuggle their exposition in via the dialogue. This one just ram raids it out of the store. For what it's worth, the story involves a young hero called Goku, played by the Westerner Justin Chatwin (slightly creepily playing an 18 year-old at age 26) who embarks on a quest for the titular world-saving Dragon Balls after his martial artist grandpa Gohan is killed off by the evil Lord Piccolo (Marsters, resembling an over-sized Jawa with food poisoning). Will Goku manage to harness the powerful force called Ki and confront his own werewolf side? Find Master Roshi - who trained grandpa in turn? Defeat Piccolo - probably the only villain named after a small flute? And win the love of ass-kicking classmate Chi Chi? Seriously?There's probably a point to be made about the eternal exchange of cultural currency; Japan wresting back characters and plot lines from Lucas, then flogging them to the West again; Eastern aesthetics filtered through American sensibilities. But frankly, that's just the way the world works. The good news is this is only 84 minutes long. And if they knocked another 80 minutes off, it would be just about perfect.",load old dragonballs,it must be real drag being jungian archetype aside inconvenience possessing thousand faces imagine minding your own business practicing judo with some wise wily sage when youre suddenly handed magic sword or glowing swishy stick or cosmic catapult tipped headlong into some damn fool quest go rescue princess kill your dad no hang wrong shrink or confront some dark lord who may actually turn out be your dad bummer while also confronting darkness within your own soul look harder not using recycling bin doesnt count real bore it all is thing that makes you want stick your arms mincer is that you know exactly whats going happen next which charming rogue youre going meet road which cuckolding temptress youre going wind up married next 100 years precisely which one your battle hungry blood crazed stepsons is going do you with pillow when youre no longer fit preside over model railway set story is old but it goes its always pleasure when its well told but when plots characters are as insultingly stock as they are dragonball evolution you start fervently praying bit jodorowsky style subversion possibly involving heroine dark lord sackful syringes malnourished donkey called carlos this resembles fever dream you might have had after slipping into e number aggravated blood sugar crash while watching star wars trilogy dragonball evolution is so derivative such bare faced rip off george lucas pension that it actually seems completely pointless pick holes it you might as well just attack originals their myriad faults get two birds with one stone ancient time earth was nearly destroyed begins ponderous voice over not by man but by gods sky most dramas smuggle their exposition via dialogue this one just ram raids it out store what its worth story involves young hero called goku played by westerner justin chatwin slightly creepily playing 18 year old at age 26 who embarks quest titular world saving dragon balls after his martial artist grandpa gohan is killed off by evil lord piccolo marsters resembling over sized jawa with food poisoning will goku manage harness powerful force called ki confront his own werewolf side find master roshi who trained grandpa turn defeat piccolo probably only villain named after small flute win love ass kicking classmate chi chi seriously theres probably point be made about eternal exchange cultural currency japan wresting back characters plot lines lucas then flogging them west again eastern aesthetics filtered through american sensibilities but frankly thats just way world works good news is this is only 84 minutes long if they knocked another 80 minutes off it would be just about perfect,0.4783253205128205,0.10224358974358974,Positive,"{'Happy': 0.07, 'Angry': 0.08, 'Surprise': 0.21, 'Sad': 0.22, 'Fear': 0.43}"
3,Hollywood is ruining my childhood memories!,"This movie is just plain disappointing to say the least. I don't care if this is an adaptation of Dragonball. The only reason why I gave it a 3 out of 10 rating was for the special effects and production value which were semi-decent. I don't understand what was wrong with the original storyline that needed to be changed and messed with. It's the original storyline that made fans love Dragonball in the first place. ""If it ain't broke don't fix it."" I think this movie would do a lot better if they stuck with the original story and had better casting. The real fans would flood the theaters to watch it which would bring hype to the movie for new viewers that don't know about Dragonball, kind of like how Watchmen did. Street Fighter was horrible and they expect to do a sequel to it, this movie was a travesty...I guess next up will be Thundercats and Voltron for Hollywood to mess up for me. Thank you Hollywood for ruining my childhood memories.",hollywood is ruining my childhood memories,this movie is just plain disappointing say least i dont care if this is adaptation dragonball only reason why i gave it 3 out 10 rating was special effects production value which were semi decent i dont understand what was wrong with original storyline that needed be changed messed with its original storyline that made fans love dragonball first place if it aint broke dont fix it i think this movie would do lot better if they stuck with original story had better casting real fans would flood theaters watch it which would bring hype movie new viewers that dont know about dragonball kind like how watchmen did street fighter was horrible they expect do sequel it this movie was travesty i guess next up will be thundercats voltron hollywood mess up me thank you hollywood ruining my childhood memories,0.5804058441558443,0.07729437229437229,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.33, 'Sad': 0.27, 'Fear': 0.24}"
3,"Goki , Master Roshi and Bulma battle Lord Piccolo to gather seven Dragonballs","The story starts with Goku (Justin Chatwin of War of the worlds), who sets out upon his grandfather Gohan's (Randall Kin) dying request to meet the Master Roshi (Chow Yun Fat of Crouching tiger , hidden dragon) and unite all seven Dragon Balls of which he has one . In order to avoid the villain Lord Piccolo (James Marsters of Buffy Slayer) from succeeding in his objective to use the Dragon Balls to take over the world. And Goku's seeks is to get the mystical Dragonballs before the Lord of evil does . But in the meantime, the super powerful Piccolo along with his hoodlum are preparing to destroy everything that lives , and only the valiant Goku helped by Bulma (Emmy Rossum of Phantom of opera) have the power to stop them . Meanwhile Goku falls in love with his school mate Chi Chi (Jamie Chung) .Dragon Ball are basically numerous spectacular fight-scenes with a tiny bit of plot movement, full of repetitive dialogue and flashy blasts of light and energy, but that hasn't prevented kids and teenagers from eating them up . It contains cartoon violence and minor sexual innuendo than anime series . Occasionally features stunted and disjointed action, as well as the hilarious but quite conventional characters fitting partially to animated series . The abundant computer generator images , which labor mightily to reproduce the source materials in some impressive scenes and eye-popping look . These adventures can be good for novices and youngsters age 10 should drawn into the story but not for the established fans . James Wong adapts the rich myth of the Dragonball series that grew from a Manga into various popular animated series by means of hundreds episodes that are brought to life with this 20th Century Fox and Stephen Chow ( Kung Fu hustler )production . James Wong is a good writer(21 Jump Street , X-files) , producer (Black Christmas , The others , Milennium) and director (Final destination 1 y 3 , The one , and X files episodes) , but his filmmaking in Dragon Ball is ridiculous and embarrassment . Rating : Below average .",goki master roshi bulma battle lord piccolo gather seven dragonballs,story starts with goku justin chatwin war worlds who sets out upon his grandfather gohans randall kin dying request meet master roshi chow yun fat crouching tiger hidden dragon unite all seven dragon balls which he has one order avoid villain lord piccolo james marsters buffy slayer succeeding his objective use dragon balls take over world gokus seeks is get mystical dragonballs before lord evil does but meantime super powerful piccolo along with his hoodlum are preparing destroy everything that lives only valiant goku helped by bulma emmy rossum phantom opera have power stop them meanwhile goku falls love with his school mate chi chi jamie chung dragon ball are basically numerous spectacular fight scenes with tiny bit plot movement full repetitive dialogue flashy blasts light energy but that hasnt prevented kids teenagers eating them up it contains cartoon violence minor sexual innuendo than anime series occasionally features stunted disjointed action as well as hilarious but quite conventional characters fitting partially animated series abundant computer generator images which labor mightily reproduce source materials some impressive scenes eye popping look these adventures can be good novices youngsters age 10 should drawn into story but not established fans james wong adapts rich myth dragonball series that grew manga into various popular animated series by means hundreds episodes that are brought life with this 20th century fox stephen chow kung fu hustler production james wong is good writer 21 jump street x files producer black christmas others milennium director final destination 1 y 3 one x files episodes but his filmmaking dragon ball is ridiculous embarrassment rating below average,0.5846891534391534,0.1499669312169312,Positive,"{'Happy': 0.17, 'Angry': 0.1, 'Surprise': 0.1, 'Sad': 0.21, 'Fear': 0.43}"
