Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2.0,I only saw this in order to see as many of IMDB's Bottom 100 as possible....and it IS annoying!,"I have a weird obsession....to see all of IMDB's Bottom 100---the one hundred lowest rated major release films of all time. Unfortunately, I'll probably never complete the list, as a couple of the remaining films are Turkish and one is German...and it's highly unlikely they'll bother captioning films hated this much by the audiences. For me, ""Dumb and Dumberer: When Harry Met Lloyd"" is the 95th film I've seen...a dubious accomplishment, I know.The original ""Dumb and Dumber"" was a silly but mildly enjoyable film (I just rewatched it). And, the studio came up with a brilliant idea....since they couldn't get Jeff Daniels and Jim Carrey for a sequel (or, more likely they didn't want to PAY them for a sequel), they made a prequel with unknown actors playing the leads. The fans were NOT amused.The story begins long before ""Dumb and Dumber"" and near the very beginning, Harry and Lloyd* bump into each other for the first time. Soon they are buddies and soon the pair are assigned to the school's new fake special needs class. This is because the evil principal (Eugene Levy....who is just too good for films like this) wants to create a fake special needs class to get additional funding...which he can embezzle. Instead of a real classroom, it's in a shed and the lunch lady is in charge....and soon Harry and Lloyd sign up several other students for the class. Will the Principal be able to get away with this case of fraud? So is any of this funny? Not especially. Mostly it's annoying and occasionally offensive (such as how they deal with mental disabilities as well as the MANY sexist jokes). This isn't too surprising since it is on the list AND the original folks who made the film had nothing to do with this project. However, it's not among the very worst films I've seen and I think it made the list mostly because compared to the original film it was an unfunny abomination. *FYI, the actors appear to be about 25...a bit old for high school. But a lot of the 'students' in the movie appear to be quite old as well.",i only saw this order see as many imdbs bottom 100 as possible it is annoying,i have weird obsession see all imdbs bottom 100 one hundred lowest rated major release films all time unfortunately ill probably never complete list as couple remaining films are turkish one is german its highly unlikely theyll bother captioning films hated this much by audiences me dumb dumberer when harry met lloyd is 95th film ive seen dubious accomplishment i know original dumb dumber was silly but mildly enjoyable film i just rewatched it studio came up with brilliant idea since they couldnt get jeff daniels jim carrey sequel or more likely they didnt want pay them sequel they made prequel with unknown actors playing leads fans were not amused story begins long before dumb dumber near very beginning harry lloyd bump into each other first time soon they are buddies soon pair are assigned schools new fake special needs class this is because evil principal eugene levy who is just too good films like this wants create fake special needs class get additional funding which he can embezzle instead real classroom its shed lunch lady is charge soon harry lloyd sign up several other students class will principal be able get away with this case fraud so is any this funny not especially mostly its annoying occasionally offensive such as how they deal with mental disabilities as well as many sexist jokes this isnt too surprising since it is list original folks who made film had nothing do with this project however its not among very worst films ive seen i think it made list mostly because compared original film it was unfunny abomination fyi actors appear be about 25 bit old high school but lot students movie appear be quite old as well,0.5712173320506654,-0.0037379749879749933,Negative,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.31, 'Fear': 0.29}"
,Not as bad as everyone says!,"There's a number of jokes that are funny in this movie and I don't know why people criticize it. I mean like what the heck did you expect a masterpiece? For what it was the film is at least loyal to the characters who are both stupid and you don't know who's stupider. This is way better than that terrible sequel made last year, where all the jokes were based on how gross it could be. I never liked the idea of prequels but this film I think did it fine. The only thing I think would of been a wiser idea is had Harry take Lloyd's role of being the one to tell him what to do. I mean Harry is a leader in the original but here he is more of like a sidekick. I really liked the scene, ""There's Sh.t everywhere!"" The only things I wish they changed were Harry and Lloyd's roles and also maybe add a funnier climax but it's overall alright! I can't believe people hate this but the sequel made last year is rated higher! I think these rating should be switched! I give it a 6.5 out of 10.",not as bad as everyone says,theres number jokes that are funny this movie i dont know why people criticize it i mean like what heck did you expect masterpiece what it was film is at least loyal characters who are both stupid you dont know whos stupider this is way better than that terrible sequel made last year where all jokes were based how gross it could be i never liked idea prequels but this film i think did it fine only thing i think would been wiser idea is had harry take lloyds role being one tell him what do i mean harry is leader original but here he is more like sidekick i really liked scene theres sh t everywhere only things i wish they changed were harry lloyds roles also maybe add funnier climax but its overall alright i cant believe people hate this but sequel made last year is rated higher i think these rating should be switched i give it 6 5 out 10,0.6208333333333333,-0.05909090909090908,Negative,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.27, 'Fear': 0.27}"
6.0,"Actually not that bad, Far better than the sequel","People judge this movie too harshly because it's a prequel to a beloved movie. Yes, the original Dumb & Dumber is far better. Of course it is. No one expected this movie to surpass the original. I honestly think they did a pretty good job. A good number of jokes landed for me and the actors did a great job of portraying what I think a young Harry and Lloyd would act like. They do a better job playing the characters and the actual same actors did in the sequel ""Dumb and Dumber To"". This movie is way better than that one in my opinion.Overall, not nearly as bad as people say and deserves more credit. 6/10.",actually not that bad far better than sequel,people judge this movie too harshly because its prequel beloved movie yes original dumb dumber is far better course it is no one expected this movie surpass original i honestly think they did pretty good job good number jokes landed me actors did great job portraying what i think young harry lloyd would act like they do better job playing characters actual same actors did sequel dumb dumber this movie is way better than that one my opinion overall not nearly as bad as people say deserves more credit 6 10,0.5772435897435897,0.2269230769230769,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.1, 'Fear': 0.41}"
1.0,Pathetic cash in on Hilarious original,"Was this movie necessary!? This is a truly terrible film, woefully unfunny to the extreme. Jim Carrey and Jeff Daniels were excellent in the first film and in a different league to the two actors in the roles as the young Harry and Lloyd (the guy cast as Lloyd does look like Carrey, except for the blue eyes). If there was ever going to be another film about these two characters it should have been a sequel starring the original pairing, instead we get this stinker. Dumb and Dumber hardly had an Oscar winning story line but gave us some great characters and a hatful of ball bouncingly funny gags, in the 'prequel' the weak story collapses under the weight of even weaker jokes! So uninspired is this movie that there are even rehashes of jokes from the original, just done slightly differently but in a totally inept manner. Dumb and Dumber is a classic, this is a pile of steaming doggy doo doo's. Do yourself a favour stick with the Carrey film and avoid this limp fish at all costs.",pathetic cash hilarious original,was this movie necessary this is truly terrible film woefully unfunny extreme jim carrey jeff daniels were excellent first film different league two actors roles as young harry lloyd guy cast as lloyd does look like carrey except blue eyes if there was ever going be another film about these two characters it should have been sequel starring original pairing instead we get this stinker dumb dumber hardly had oscar winning story line but gave us some great characters hatful ball bouncingly funny gags prequel weak story collapses under weight even weaker jokes so uninspired is this movie that there are even rehashes jokes original just done slightly differently but totally inept manner dumb dumber is classic this is pile steaming doggy doo doos do yourself favour stick with carrey film avoid this limp fish at all costs,0.691025641025641,-0.0019230769230769217,Negative,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.15, 'Sad': 0.19, 'Fear': 0.41}"
1.0,"Worse than awful. 3,4 is too high for this rubbish","Quite simply, this is an awful movie. There is no excuse for people who made this crap. I thought Gigli was much better film than this. I believe this one is was worst film of the year and at least worst of the decade. No story,no acting, no brains, no heart, no comedy - only waste of time and money for everyone. But that's not all! Also I found this movie absolutely not funny but it's simply insulting and disgusting instead. You must protect your kids from seeing it. It's very sadly to see so talented actors (including Shia Lebeouf, who looked very good in Holes) involved in this disaster. Avoid all costs and stay away as far as you can from this garbage. It worse than anybody could expect. Don't see it even for free! Trust me! I never felt so miserably than I watched this trash. Why, Why I have lost my time and my money for it? Nobody knows. Anyway, you've been warned.My rating: F- or 0/10. Sorry for my bad English.",worse than awful 3 4 is too high this rubbish,quite simply this is awful movie there is no excuse people who made this crap i thought gigli was much better film than this i believe this one is was worst film year at least worst decade no story no acting no brains no heart no comedy only waste time money everyone but thats not all also i found this movie absolutely not funny but its simply insulting disgusting instead you must protect your kids seeing it its very sadly see so talented actors including shia lebeouf who looked very good holes involved this disaster avoid all costs stay away as far as you can this garbage it worse than anybody could expect dont see it even free trust me i never felt so miserably than i watched this trash why why i have lost my time my money it nobody knows anyway youve been warned my rating f or 0 10 sorry my bad english,0.7034744268077602,-0.3066666666666667,Negative,"{'Happy': 0.14, 'Angry': 0.11, 'Surprise': 0.14, 'Sad': 0.4, 'Fear': 0.2}"
3.0,THE WORST PREQUEL...,"...or how to make a comedy without a laugh?When I first heard that there's a sequel to Dumb and Dumber I was ecstatic since this was the best comedy in ninenties and certainly one of the best comedies ever. But after seeing opening credits (No Jim & Jeff), I was a little sceptical. Never mind, it still can be good...Erghh, wrong. The movie was getting worse and worse. The leading characters were shown like a couple of retards (very unlikable, since in original there aren't THAT slow), who were just trying to imitate Jim Carrey and Jeff Daniels and failed miserably. Lack of charm, i guess. But the main fault goes to script writer who provides a lot of already seen jokes as the rest of the producers of this crap.I agree, it would be nearly impossible to beat the original version, since it was full of original black humor, but hey, at least they could try harder. Despite that movie sucked, it has some moments...but since i can't remember any if them, i couldn't rate it higher than3 out of 10.",worst prequel,or how make comedy without laugh when i first heard that theres sequel dumb dumber i was ecstatic since this was best comedy ninenties certainly one best comedies ever but after seeing opening credits no jim jeff i was little sceptical never mind it still can be good erghh wrong movie was getting worse worse leading characters were shown like couple retards very unlikable since original there arent that slow who were just trying imitate jim carrey jeff daniels failed miserably lack charm i guess but main fault goes script writer who provides lot already seen jokes as rest producers this crap i agree it would be nearly impossible beat original version since it was full original black humor but hey at least they could try harder despite that movie sucked it has some moments but since i cant remember any if them i couldnt rate it higher than3 out 10,0.556122448979592,-0.07285289115646258,Negative,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.17, 'Fear': 0.34}"
3.0,The title says it all...,"Let's face it, if you went into a restaurant and ordered a sh*t sandwich and got precisely that, could you honestly complain about what you got?Dumb and Dumberer is precisely that. The title sums it up and you really shouldn't expect anything other than rubbish when you sit down to watch it.That said, I am surprised to see it in the bottom 100 of IMDb's lists. It is bad, but I'm sure there are many films far above it that deserve its place at the bottom much, much more.Dumb and Dumberer could never hope to compete with its predecessor but its no worse really than any other teen-comedy-high-school nonsense. If the original movie had not been made, then this one wouldn't have gotten anywhere near the bad press it has. But, alas, it was not to be, and so this film will slip into obscurity like many ill-conceived sequels, destined to be forgotten, or talked about with ill-disguised scorn when reminiscing over the original movie.The best way to watch this film (if you have to at all) is to try and forget the characters Jim Carrey and Jeff Daniels made their own, and view it as if that first film had never happened. Also, console yourself whilst watching that there are a few bloopers tacked onto the end that are the comedic highlight of this unfunny movie, although its really not worth watching the film just for them. You might then get some enjoyment out of an otherwise bland film.In summary then, its bad but not really deserving a place in the worst 100 of IMDb.",title says it all,lets face it if you went into restaurant ordered sh t sandwich got precisely that could you honestly complain about what you got dumb dumberer is precisely that title sums it up you really shouldnt expect anything other than rubbish when you sit down watch it that said i am surprised see it bottom 100 imdbs lists it is bad but im sure there are many films far above it that deserve its place at bottom much much more dumb dumberer could never hope compete with its predecessor but its no worse really than any other teen comedy high school nonsense if original movie had not been made then this one wouldnt have gotten anywhere near bad press it has but alas it was not be so this film will slip into obscurity like many ill conceived sequels destined be forgotten or talked about with ill disguised scorn when reminiscing over original movie best way watch this film if you have at all is try forget characters jim carrey jeff daniels made their own view it as if that first film had never happened also console yourself whilst watching that there are few bloopers tacked onto end that are comedic highlight this unfunny movie although its really not worth watching film just them you might then get some enjoyment out otherwise bland film summary then its bad but not really deserving place worst 100 imdb,0.5901201201201202,0.015885885885885916,Positive,"{'Happy': 0.05, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.23, 'Fear': 0.34}"
1.0,What the ****,"I challenge anybody to tell me what the f*** I just saw. I mean is Hollywood even trying anymore. Well I can't lie, I knew it was going to be a piece of s***. But I never expected it to stink this bad. The weird thing about this me being mad thing is, that I'am not mad like disappointed mad, but I could just start kicking someone's a** mad. Who funded this undeserving prequel. Why was there ever a prequel anyways. Please don't waste your life line on this movie.For one the jokes are so forced on you that you'd have to be a child to understand the humor. Some of the actors in the movie, I've seen in very good movies, like the kid who where the donkey head in the parade, he was good in ""HOLES"". But I guess he didn't see this hole coming. In summary don't and I repeat don't expect to find some humor in this movie because there is none. I hate this f****** movie.",what,i challenge anybody tell me what f i just saw i mean is hollywood even trying anymore well i cant lie i knew it was going be piece s but i never expected it stink this bad weird thing about this me being mad thing is that iam not mad like disappointed mad but i could just start kicking someones mad who funded this undeserving prequel why was there ever prequel anyways please dont waste your life line this movie one jokes are so forced you that youd have be child understand humor some actors movie ive seen very good movies like kid who where donkey head parade he was good holes but i guess he didnt see this hole coming summary dont i repeat dont expect find some humor this movie because there is none i hate this f movie,0.6811666666666666,-0.24766666666666665,Negative,"{'Happy': 0.19, 'Angry': 0.12, 'Surprise': 0.19, 'Sad': 0.28, 'Fear': 0.22}"
10.0,What were you expecting?,"Boy, people have sure been knocking this movie. I personally, thought it was hilarious. I loved it. I don't know what other people were expecting, I mean, glance at the title. If people are looking for intellectual stimulation and a subject for discussion at their next Mensa meeting, then no...this movie would not be for them. Derek Richardson and Eric Christian Olsen did a great job. They both had their work cut out for them, and they came through.",what were you expecting,boy people have sure been knocking this movie i personally thought it was hilarious i loved it i dont know what other people were expecting i mean glance at title if people are looking intellectual stimulation subject discussion at their next mensa meeting then no this movie would not be them derek richardson eric christian olsen did great job they both had their work cut out them they came through,0.5031565656565656,0.19962121212121212,Positive,"{'Happy': 0.42, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.42}"
2.0,Dumb as Can Possibly Be,"This movie flat out sucks. There's no other, smart guy way to put it. Its horrible. Its the worst prequel I've ever seen, the jokes are pure, raw slapstick in it's lowest possible form, and the two leads may look like Jim Carrey and Jeff Daniels, but there's no way in hell they could pull it off like they did in 1994. Also, if you're going to make a prequel, set in 1986, use stuff in 1986. We see new dollar bills and the most fatal flaw is the song ""Ice Ice Baby"" by Vanilla Ice. The song came out in 1990 and this is set in 1986. Sense? Nada. This movie was clearly rushed, not thought over properly, and serves no purpose.Lets begin with the cover for the DVD. If you closely at Lloyds tooth it is clear that the left corner is just drawn with Sharpie marker or some dry erase marker to look as if it was missing. Nothing says a movie is worse than when the cover doesn't even look believable. A poor entrance to a poor movie. Fits perfectly.Before Harry and Lloyd where the best of dumb buddies, they were in high school struggling to make the grade. Now we get to the moment they first met by bumping heads. Harry was homeschooled and is now attending regular school. Upon meeting Lloyd whom gives him a half assed tour of the school, they now become the best of friends and are inseparable. After a class opens called ""The Special Needs"" class, Harry and Lloyd are asked to get people to attend. A good girl Jessica finds out why the lunch lady would be teaching a class and she soon discovers that the principal and the teacher for the fake Specials class are stealing money from the school and it's now up to Harry, Lloyd, and Jessica to stop them.Since the movie is supposed to be focused on the stupid characters of Harry and Lloyd, I shouldn't say this, but need to. It gets incredibly aggravating because the stupidity of the characters makes the movie move in a slow pace and even though its a mere 86 minutes it feels way longer. Harry and Lloyd are portrayed as stupid beyond belief. There's no way anyone in the world could be this stupid and not be mentally challenged. Its an insult.I too find it absolutely hilarious that the cameo appearance by Bob Saget is funnier than the two leads in the movie. Bob Saget's cameo is nowhere near as funny to earn this movie an extra star, but its damn sure funny to earn it probably the most memorable thing about this movie. Julia Duffy doesn't do much in the movie, but I remember her as Mrs. Hayfer in Drake & Josh. Those will be the only two people who I cite as a ""decent job done"" in this movie. Eugene Levy is awful in this movie and so are the actors who portray Harry and Lloyd. Luis Guzmán also does a poor job in this as well.I thought I'd approach this film with an open mind and have a decent attitude and relate it to something me and my friend do. I like a lot of stupid movies like Bio-Dome, but this just completely blew my mind. From the DVD menu gags to the ""Dont press this button"" joke on there as well I knew this movie was going to be no more than two stars if they found burping and farting to be the most hilarious joke on the planet. Sure enough I was right. Worst prequel to any movie and awful movie all together.Starring: Eric Christian Olsen, Derek Richardson, Rachel Nichols, Bob Saget, Luis Guzmán, Eugene Levy, and Mimi Rogers.",dumb as can possibly be,this movie flat out sucks theres no other smart guy way put it its horrible its worst prequel ive ever seen jokes are pure raw slapstick its lowest possible form two leads may look like jim carrey jeff daniels but theres no way hell they could pull it off like they did 1994 also if youre going make prequel set 1986 use stuff 1986 we see new dollar bills most fatal flaw is song ice ice baby by vanilla ice song came out 1990 this is set 1986 sense nada this movie was clearly rushed not thought over properly serves no purpose lets begin with cover dvd if you closely at lloyds tooth it is clear that left corner is just drawn with sharpie marker or some dry erase marker look as if it was missing nothing says movie is worse than when cover doesnt even look believable poor entrance poor movie fits perfectly before harry lloyd where best dumb buddies they were high school struggling make grade now we get moment they first met by bumping heads harry was homeschooled is now attending regular school upon meeting lloyd whom gives him half assed tour school they now become best friends are inseparable after class opens called special needs class harry lloyd are asked get people attend good girl jessica finds out why lunch lady would be teaching class she soon discovers that principal teacher fake specials class are stealing money school its now up harry lloyd jessica stop them since movie is supposed be focused stupid characters harry lloyd i shouldnt say this but need it gets incredibly aggravating because stupidity characters makes movie move slow pace even though its mere 86 minutes it feels way longer harry lloyd are portrayed as stupid beyond belief theres no way anyone world could be this stupid not be mentally challenged its insult i too find it absolutely hilarious that cameo appearance by bob saget is funnier than two leads movie bob sagets cameo is nowhere near as funny earn this movie extra star but its damn sure funny earn it probably most memorable thing about this movie julia duffy doesnt do much movie but i remember her as mrs hayfer drake josh those will be only two people who i cite as decent job done this movie eugene levy is awful this movie so are actors who portray harry lloyd luis guzm n also does poor job this as well i thought id approach this film with open mind have decent attitude relate it something me my friend do i like lot stupid movies like bio dome but this just completely blew my mind dvd menu gags dont press this button joke there as well i knew this movie was going be no more than two stars if they found burping farting be most hilarious joke planet sure enough i was right worst prequel any movie awful movie all together starring eric christian olsen derek richardson rachel nichols bob saget luis guzm n eugene levy mimi rogers,0.6016291878056582,-0.023168779749662093,Negative,"{'Happy': 0.12, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.4}"
