Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,Not garbage but almost garbage,"To be honest, it doesn't deserve either 1 or 10. He is the most popular youtuber in Turkey and he has lots of fan in Turkey. I rated ""1"" because 6 is too much for this movie and i think all of his fans rated 10 so this movie's average puan is so high for that movie. In addition, this movie's scene transition is so bad.. it is like a YouTube video or smth.. not professional and i think we can not categorize that like it is real movie. It has a lot of imperfect scene, casts (except 2-3 of them) was not acting very well. I don't suggest that movie unless you want to lose your times.",not garbage but almost garbage,be honest it doesnt deserve either 1 or 10 he is most popular youtuber turkey he has lots fan turkey i rated 1 because 6 is too much this movie i think all his fans rated 10 so this movies average puan is so high that movie addition this movies scene transition is so bad it is like youtube video or smth not professional i think we can not categorize that like it is real movie it has lot imperfect scene casts except 2 3 them was not acting very well i dont suggest that movie unless you want lose your times,0.4369696969696969,0.14181818181818184,Positive,"{'Happy': 0.0, 'Angry': 0.09, 'Surprise': 0.18, 'Sad': 0.45, 'Fear': 0.27}"
1.0,Insulting the Cinema Industry,"It's Meaningless, not professional, disgusting film I have ever seen. I think film director think 'how can i screw up this film?"". It's like a have a long time YouTube Video, not the film.",insulting cinema industry,its meaningless not professional disgusting film i have ever seen i think film director think how can i screw up this film its like have long time youtube video not film,0.7,-0.5199999999999999,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.17, 'Fear': 0.17}"
,Trash,"I'm going to say that I didn't understand whether the film was really a dream or a real one, but it's definitely a dream. Real people can only describe a human life in such a cliché fiction using characters. Actors were awful in the movie, so I didn't expect acting. I watched the film without prejudice, but I became a cringe. The film didn't have much comedy. It has been edited with fiction that has similar films everywhere and it has been really distant. It would be better for everyone to tell the truth. The film has nowhere to be commended. Failed and cliché.",trash,im going say that i didnt understand whether film was really dream or real one but its definitely dream real people can only describe human life such clich fiction using characters actors were awful movie so i didnt expect acting i watched film without prejudice but i became cringe film didnt have much comedy it has been edited with fiction that has similar films everywhere it has been really distant it would be better everyone tell truth film has nowhere be commended failed clich,0.4035714285714285,-0.021428571428571425,Negative,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.28, 'Sad': 0.17, 'Fear': 0.39}"
1.0,Here is a movie long youtube video,"While reviewing this movie the first thing to consider is ""Should this movie be considered as a long enough youtube video while reviewing it or should i review it as it is a movie?"". If it is first option, it is a profitable and enjoyable youtube content. But since this is a review on IMDb we shall consider it as a movie so it sucks. First thing to mention is cast which is full of famous or almost-famous 'youtubers'. Those guys or girls are not actresses or actors they should just continue to produce entertaining and enjoyable content for youtube. This situation that they have put themselves into is something like ""I can ride a bike well , so why not i ride a motorbike ?"". This is a logic that nobody should believe or follow. I won't even mention the actings of those i have been talking about. Maybe story can be somehow inspiring, but it can only inspire under 10 years old kids who can be inspired by almost anything at that age.",here is movie long youtube video,while reviewing this movie first thing consider is should this movie be considered as long enough youtube video while reviewing it or should i review it as it is movie if it is first option it is profitable enjoyable youtube content but since this is review imdb we shall consider it as movie so it sucks first thing mention is cast which is full famous or almost famous youtubers those guys or girls are not actresses or actors they should just continue produce entertaining enjoyable content youtube this situation that they have put themselves into is something like i can ride bike well so why not i ride motorbike this is logic that nobody should believe or follow i wont even mention actings those i have been talking about maybe story can be somehow inspiring but it can only inspire under 10 years old kids who can be inspired by almost anything at that age,0.578125,0.23750000000000002,Positive,"{'Happy': 0.27, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.23}"
1.0,The true summary of the Turkish education system and the youth !,"Even when you take a look at the absurd content of the movie, it seems quite obvious that Enes Batur himself has successfully managed to contaminate the mindset of Turkish youth with non-sense and aimless conversations and deeds throughout the movie. He proved himself to be an unneeded youtuber once more with this waste-of-time movie. This kind of counterproductive work should have been prevented right at the very beginning before it misled the young individuals.",true summary turkish education system youth,even when you take look at absurd content movie it seems quite obvious that enes batur himself has successfully managed contaminate mindset turkish youth with non sense aimless conversations deeds throughout movie he proved himself be unneeded youtuber once more with this waste time movie this kind counterproductive work should have been prevented right at very beginning before it misled young individuals,0.5735714285714286,0.20857142857142855,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.11, 'Fear': 0.67}"
1.0,Ashamed,"Second-hand embarrassment at its finest. Even a person who never tried to write a script or tried to hold a camera in their life could maintain a quality like this. Just so you know, you could at least put some effort in it. I don't know, make it somehow interesting or put some experienced actors, this movie is something a high-schooler would make. I'm not sure if this movie really took time, with this poor quality. Oh and, the creator himself is actually trying to make this movie look good by calling out his fans. Smh.",ashamed,second hand embarrassment at its finest even person who never tried write script or tried hold camera their life could maintain quality like this just so you know you could at least put some effort it i dont know make it somehow interesting or put some experienced actors this movie is something high schooler would make im not sure if this movie really took time with this poor quality oh creator himself is actually trying make this movie look good by calling out his fans smh,0.4728888888888889,0.14099999999999996,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.41, 'Fear': 0.24}"
1.0,An easy way for milking money out of young fans...,"It is obvious that this movie is targeting young audiance which mainly consist of 5-10 years of childeren who spend their day watching Youtubers via smartphones and tablets supplied from their parents at a very young age... The movie was uninspiring, scenerio was unoriginal and acting was bad.",easy way milking money out young fans,it is obvious that this movie is targeting young audiance which mainly consist 5 10 years childeren who spend their day watching youtubers via smartphones tablets supplied their parents at very young age movie was uninspiring scenerio was unoriginal acting was bad,0.41703703703703704,0.0033333333333333487,Positive,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.33}"
1.0,easy way to make money,This movie is a tool to convert Youtube Fans into Turkish Liras. Thats the point.,easy way make money,this movie is tool convert youtube fans into turkish liras thats point,0.8333333333333334,0.43333333333333335,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
1.0,Nothing more than a cashgrab,I have no idea how this movie is rated 6 out of 10. If I could I would give it 0 stars but sadly it's not possible. This movie is only made to earn more money and attract little kids. You can donate a few liras to charity instead of giving Enes more money.,nothing more than cashgrab,i have no idea how this movie is rated 6 out 10 if i could i would give it 0 stars but sadly its not possible this movie is only made earn more money attract little kids you can donate few liras charity instead giving enes more money,0.6375,0.0765625,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.57}"
1.0,Worst movie ever...,"If this was a Youtube video, then it could be watched. But it's a movie! Script, content,acting and quality are very low. I'm not worried to say that this movie is one of the worst films I've ever seen in my life ...",worst movie ever,if this was youtube video then it could be watched but its movie script content acting quality are very low im not worried say that this movie is one worst films ive ever seen my life,0.5975,-0.5,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.2}"
