Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,A Genuine Love Story,"What a magnificent story with great direction and cinematography. I can't believe that the film was directed by a debut director. It is said that the director took almost 7 years to complete the film. This itself shows his sincerity to the film.Jomon T. John, had an epic comeback to films after a short period of time. He had done an amazing work to the film which made it, a blockbuster.Gopi Sunder again made his eminence in background scores through the film with some amazing piece of 'ringtone-to-be' scores.Prithviraj, experiencing an increase in his prestige through the film, made all the teenagers and college students, their own 'Prithvi'. His genuine way of acting will surely make him an award winner this year. Talking about the lead actress i.e Kanchanamala played by Parvathi Menon, was superb and had a stunning boldness and sensitive mind which made her a perfect heroine. The film had enough comedies without making the audience bore and had a twist and a sentimental climax. The supporting casts were superb especially, Appu played by Tovino Thomas and Sethu played by Bala. The camera and director showed their significance again very well in the climax scene. Unni Mohammed Sahib played by Saikumar, had a great sense of boldness and strong attraction towards his party as a Freedom Fighter in the film. Art Direction and Make-up was obviously great and magnificent as it is very strenuous and difficult to make a new film old or to make it in a background of 1960's. This film is an excellent example of Malayalam film industry and is certainly, a landmark film for the Malayalam Industry and hopes, for an another one like this.Adult Film - No | Family film - Obviously | Direction - 10/10 | Cinematography - 10/10 | Cast - 9.5/10 | Make Up - 10/10 | Songs - 9.5/10 | Background Score - 10/10 | Story -8/10 | Climax - 9.5/10 | Art Direction - 8.5/10 | Location Department - 10/10 | Overall - 9.5/10 | My Rating - 10/10",genuine love story,what magnificent story with great direction cinematography i cant believe that film was directed by debut director it is said that director took almost 7 years complete film this itself shows his sincerity film jomon t john had epic comeback films after short period time he had done amazing work film which made it blockbuster gopi sunder again made his eminence background scores through film with some amazing piece ringtone be scores prithviraj experiencing increase his prestige through film made all teenagers college students their own prithvi his genuine way acting will surely make him award winner this year talking about lead actress i e kanchanamala played by parvathi menon was superb had stunning boldness sensitive mind which made her perfect heroine film had enough comedies without making audience bore had twist sentimental climax supporting casts were superb especially appu played by tovino thomas sethu played by bala camera director showed their significance again very well climax scene unni mohammed sahib played by saikumar had great sense boldness strong attraction towards his party as freedom fighter film art direction make up was obviously great magnificent as it is very strenuous difficult make new film old or make it background 1960s this film is excellent example malayalam film industry is certainly landmark film malayalam industry hopes another one like this adult film no family film obviously direction 10 10 cinematography 10 10 cast 9 5 10 make up 10 10 songs 9 5 10 background score 10 10 story 8 10 climax 9 5 10 art direction 8 5 10 location department 10 10 overall 9 5 10 my rating 10 10,0.6568943402276736,0.38011063011063007,Positive,"{'Happy': 0.21, 'Angry': 0.09, 'Surprise': 0.21, 'Sad': 0.28, 'Fear': 0.21}"
8,A Heartwarming Retro Love Story,"In this new age of social networking love story.This classic tale reminds us of a Simpler time and a touching Love story that will provide the audience a Retro experience.First of all Big Congrats to Writer-Director R.S.Vimal(Where the hell were you Man all these years) For Superb work i read he spent Seven years researching the Material ....Well it was worth the wait.The Visualization,Soundtrack,Screenplay,Acting all are equally Amazing its a complete package.We Need movies like this in the Malayalam Cinema Not Ripoffs,Remake,Cheezy Comedies etc.We Need movies based on book or inspired by real events like this one.Overall it's a must watch.",heartwarming retro love story,this new age social networking love story this classic tale reminds us simpler time touching love story that will provide audience retro experience first all big congrats writer director r s vimal where hell were you man all these years superb work i read he spent seven years researching material well it was worth wait visualization soundtrack screenplay acting all are equally amazing its complete package we need movies like this malayalam cinema not ripoffs remake cheezy comedies etc we need movies based book or inspired by real events like this one overall its must watch,0.3659536541889483,0.275668449197861,Positive,"{'Happy': 0.26, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.21}"
8,"""A Heart-Touching Depiction Of An Evergreen Love-Story""","The poignant tale of Moideen and Kanchanamala separated by society and fate with one voice is well-known to all and débutant R.S.Vimal who earlier released a documentary on the same titled 'Jalam Kondu Murivettaval' have come up with a silver screen depiction of the same,the result being a memorable cinematic experience.Set in and around 1960's Calicut,the biographical period drama is a touching affair altogether that's blessed with some stellar performances from the lead pair,hearty narration,sumptuous visuals and emotionally moving background score.One will instantly feel banded together with the intense love between the central characters due to the genuinity in narration by Vimal and the intensity that both Prithviraj and Parvathy shower to the characters invested upon them.The fact that Vimal could succeed in presenting the cinematic version of a real life love story without going over the top by itself is truly remarkable and the débutant can be proud of the fact that he could give full justice to the eternal love between the Moideen and Kanchanamala.The remodeling of the period was brilliant and mixing up the social scenario of then with the love-story was done impressively by the director who has written the screenplay by himself.Rain comes forth as the heart and soul of the narration,symbolizing the emotions of the protagonists and their hopes throughout the narration.On the negative side,the second half looked a bit over-trimmed for the sake of gaining pace and reducing the length of the movie.Rest of the minor loopholes in the screenplay are easily negligible.Its evident that the story will easily connect with both families and youngsters and as such the movie is sure to make it big in both box office along with critical consensus.Prithviraj was outstanding as the marble-eyed Moidheen and won the hearts with his lovable charisma and touching portrayal of the lead character.Moideen will be counted among his array of brilliant portrayals in his illustrious career and is sure to bring in a good share of accolades this year.Parvathy was equally brilliant as Kanchanamala and amazed with her extraordinary hold while presenting emotional sequences.Tovino Thomas,Lena and Sai Kumar were notable and gave worthy performances.Backgroundscore by Gopi Sunder was epic and a major helping hand for conveying the emotions to the viewers.The song bit ""Ennile Ellinaal"" in particular was outstanding and is sure to be long-remembered.Visuals by Jomon.T.John were brilliant and captured the essence of 60's really well.Overall,Ennu Ninte Moideen is an emotionally touching drama that deserves watch for its genuinity and perfect recreation of the 60s.Verdict::Emotionally brimming right from the start towards the end,Ennu Ninte Moidheen is a proficient cinematic take on the eternal love story between Moideen and Kanchanamala that is sure to win the hearts of viewers.Leap into this intense tale of love !!",heart touching depiction evergreen love story,poignant tale moideen kanchanamala separated by society fate with one voice is well known all d butant r s vimal who earlier released documentary same titled jalam kondu murivettaval have come up with silver screen depiction same result being memorable cinematic experience set around 1960s calicut biographical period drama is touching affair altogether thats blessed with some stellar performances lead pair hearty narration sumptuous visuals emotionally moving background score one will instantly feel banded together with intense love between central characters due genuinity narration by vimal intensity that both prithviraj parvathy shower characters invested upon them fact that vimal could succeed presenting cinematic version real life love story without going over top by itself is truly remarkable d butant can be proud fact that he could give full justice eternal love between moideen kanchanamala remodeling period was brilliant mixing up social scenario then with love story was done impressively by director who has written screenplay by himself rain comes forth as heart soul narration symbolizing emotions protagonists their hopes throughout narration negative side second half looked bit over trimmed sake gaining pace reducing length movie rest minor loopholes screenplay are easily negligible its evident that story will easily connect with both families youngsters as such movie is sure make it big both box office along with critical consensus prithviraj was outstanding as marble eyed moidheen won hearts with his lovable charisma touching portrayal lead character moideen will be counted among his array brilliant portrayals his illustrious career is sure bring good share accolades this year parvathy was equally brilliant as kanchanamala amazed with her extraordinary hold while presenting emotional sequences tovino thomas lena sai kumar were notable gave worthy performances backgroundscore by gopi sunder was epic major helping hand conveying emotions viewers song bit ennile ellinaal particular was outstanding is sure be long remembered visuals by jomon t john were brilliant captured essence 60s really well overall ennu ninte moideen is emotionally touching drama that deserves watch its genuinity perfect recreation 60s verdict emotionally brimming right start towards end ennu ninte moidheen is proficient cinematic take eternal love story between moideen kanchanamala that is sure win hearts viewers leap into this intense tale love,0.5572714062150681,0.3139419852448021,Positive,"{'Happy': 0.25, 'Angry': 0.01, 'Surprise': 0.16, 'Sad': 0.25, 'Fear': 0.33}"
10,Why god was so cruel towards Moideen and kanchanamala ?,"This is 100 times great love than ""Romeo and Juliet"".Kanchanamala's tolerance and sacrifices towards love is unbelievable .Kanchanamala you are goddess of love.It was hard to believe that every scene in the film was based on true incident after seeing the Kanchanamals documentary I was shocked and realized, every single scene in the film was their life.Hats off to director R.S Vimal for his initiative to take this film and his struggle.He got an excellent team to make this film especially Prithiviraj and Parvathy who played lead role as Moideen and Kanchanamala.In the film they lived as the characters and we cant even think this film is directed by a debut director and he has succeeded in bringing the 60's real-lifeThe Cinematography is superb and catches every expressions of the nature as it is played a major role the film .Jomon T John has done a fabulous job as a cinematographer.The art directon is next big thing that helps the director to recreate 1960's and it is by Gokul Das.The music for the film is by M Jayachandran and Ramesh Narayan. Gopi Sunder's background score boosted the life of the film.The team work of the film is excellent every one should be thankful toward each other for the success of the filmOh Moideen and Kanchanamala you are great....Overall rating 10/10Cast 9/10 Script 8.5/10 Direction 9.5/10Cinematography 9/10Art 8.5/10 Music 10/10Bgm 9/10 Editing 9.5/10Makeup 7.5/10",why god was so cruel towards moideen kanchanamala,this is 100 times great love than romeo juliet kanchanamalas tolerance sacrifices towards love is unbelievable kanchanamala you are goddess love it was hard believe that every scene film was based true incident after seeing kanchanamals documentary i was shocked realized every single scene film was their life hats off director r s vimal his initiative take this film his struggle he got excellent team make this film especially prithiviraj parvathy who played lead role as moideen kanchanamala film they lived as characters we cant even think this film is directed by debut director he has succeeded bringing 60s real lifethe cinematography is superb catches every expressions nature as it is played major role film jomon t john has done fabulous job as cinematographer art directon is next big thing that helps director recreate 1960s it is by gokul das music film is by m jayachandran ramesh narayan gopi sunders background score boosted life film team work film is excellent every one should be thankful toward each other success filmoh moideen kanchanamala you are great overall rating 10 10cast 9 10 script 8 5 10 direction 9 5 10cinematography 9 10art 8 5 10 music 10 10bgm 9 10 editing 9 5 10makeup 7 5 10,0.5742063492063493,0.2072668650793651,Positive,"{'Happy': 0.28, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.21, 'Fear': 0.23}"
10,Soulful Cinematic Experience!,"Ennu Ninte Moideen: A Retrospect - The Best of 2015! The prime factor of a good movie, I consider, is ample amounts of emotion and, 'Ennu Ninte Moideen' is perfectly laced with apt amount of such emotions wherever needed. The movie started offering traces of thrill, and had an elevation which never took a drop. For its being a real story, one must appreciate the director, RS Vimal for blending hard emotions in a layer of humor and rebellion perfectly. The love story of Kaanchanamala and Moideen is purely evergreen; how were they able to expose so much of dedication, belief and love towards each other! Moideen was a real hero, he had the nerves of steel and a heart full of love, he is beyond doubts a personality of inspiration; not just for the affection he had for Kaanchana but also for the dedication he shown towards his land. While Moideen stands as an icon, there we have Kaanchanamala, epitome for boldness and perseverance! Along with them, the characters of Peruparambil Appu, Unni Moideen Haji and Kottatil Sethu had great prominence. When the characters are of such eminence, there requires actors of such caliber to perform them even. Prithviraj Sukumaran just lived as Moideen, he is one of the best actors I have ever seen! He is amazing me with his reputation and competence getting better by each movie. And, 'Moideen' lie as an example to prove his versatility in handling roles of any kind. His smile in the climax just filled my eyes! On par with Prithviraj, Parvathy pulls an equally brilliant performance as 'Kaanchanamala'; had all the boldness and zeal for the character. She too is surprising me with her selection of challenging roles. While these two actors shine, Sai Kumar perfected as Unni Moideen, one of the strongest characters in the recent times, the same in case of Lena. Along with these actors, Tovino Thomas and Bala come out as a surprise package in their roles of Appu and Sethu; Tovino is gonna make it great! When the story is eternal, there requires great skills to present it expressively on screen and this is where the director shine with immense support from the cinematographer and music directors. RS Vimal exposed the skill of an experienced director in his debut movie itself; his seven years of hard work was visible throughout the movie; it is his deep acquaintance with the subject that makes Moideen and Kanchanamala close to the heart! Jomon T John captures frames of greater quality that makes 'Ennu Ninte Moindeen' a high level cinema; one of the best cinematographed movies in Malayalam. At the music side, M.Jayachandran, Ramesh Narayan and Gopi Sunder offer beautiful songs while, Gopi Sunder's background score pulls the viewer's nerve; damn so effective it was! The soulful 'Mukkathe Penne' just raised the bar of emotion. Rafeeq Ahamed's lyrics were purely meaningful. Mahesh Narayanan edited the movie perfectly with notable pace in certain sequences. Even, the production values were rich with qualitative visual effects and sets offering that retro feel.Overall, 'Ennu Ninte Moideen' is a soulful cinematic experience that brings one of the evergreen love stories close to our heart and thanks to RS Vimal for offering us this cinema! When the movie ended, the entire theatre was clapping and I sat there feeling the tears rolling on my cheeks.Final Note: Must Watch; Undoubtedly the best movie of 2015! The house was fully packed for the 8:45AM show on Screen 4, Prasad's IMAX, Hyderabad in Dolby Atmos! This kind of applause and reception was never seen for a Malayalam Cinema; the atmosphere was exhilarating! With heartfelt respect to Moideen and Kanchanamala Sooraj Pattazhy!",soulful cinematic experience,ennu ninte moideen retrospect best 2015 prime factor good movie i consider is ample amounts emotion ennu ninte moideen is perfectly laced with apt amount such emotions wherever needed movie started offering traces thrill had elevation which never took drop its being real story one must appreciate director rs vimal blending hard emotions layer humor rebellion perfectly love story kaanchanamala moideen is purely evergreen how were they able expose so much dedication belief love towards each other moideen was real hero he had nerves steel heart full love he is beyond doubts personality inspiration not just affection he had kaanchana but also dedication he shown towards his land while moideen stands as icon there we have kaanchanamala epitome boldness perseverance along with them characters peruparambil appu unni moideen haji kottatil sethu had great prominence when characters are such eminence there requires actors such caliber perform them even prithviraj sukumaran just lived as moideen he is one best actors i have ever seen he is amazing me with his reputation competence getting better by each movie moideen lie as example prove his versatility handling roles any kind his smile climax just filled my eyes par with prithviraj parvathy pulls equally brilliant performance as kaanchanamala had all boldness zeal character she too is surprising me with her selection challenging roles while these two actors shine sai kumar perfected as unni moideen one strongest characters recent times same case lena along with these actors tovino thomas bala come out as surprise package their roles appu sethu tovino is gonna make it great when story is eternal there requires great skills present it expressively screen this is where director shine with immense support cinematographer music directors rs vimal exposed skill experienced director his debut movie itself his seven years hard work was visible throughout movie it is his deep acquaintance with subject that makes moideen kanchanamala close heart jomon t john captures frames greater quality that makes ennu ninte moindeen high level cinema one best cinematographed movies malayalam at music side m jayachandran ramesh narayan gopi sunder offer beautiful songs while gopi sunders background score pulls viewers nerve damn so effective it was soulful mukkathe penne just raised bar emotion rafeeq ahameds lyrics were purely meaningful mahesh narayanan edited movie perfectly with notable pace certain sequences even production values were rich with qualitative visual effects sets offering that retro feel overall ennu ninte moideen is soulful cinematic experience that brings one evergreen love stories close our heart thanks rs vimal offering us this cinema when movie ended entire theatre was clapping i sat there feeling tears rolling my cheeks final note must watch undoubtedly best movie 2015 house was fully packed 8 45am show screen 4 prasads imax hyderabad dolby atmos this kind applause reception was never seen malayalam cinema atmosphere was exhilarating with heartfelt respect moideen kanchanamala sooraj pattazhy,0.5717720530835284,0.3899765807962531,Positive,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.2, 'Sad': 0.22, 'Fear': 0.32}"
10,A classic love story which will be never forgotten,"'Ennu Ninte Moideen' is a film that truly makes you rooted to your seats .The film manages to hold the audience's interest till the very last scene! The story of Moideen and Kanchanamala set in the backdrop of the 1960's somewhere tugs at your heart. An irreversible tragedy but so beautifully portrayed by the director R.S.Vimal. Capturing the innate beauty of locales in Shoranur and the essence of the characters' emotions , cinematographer Jomon T John has done a brilliant job! The strongest quotient of the movie is that the script has been held together strongly by Vimal and that lends stability and authenticity to the film. Some excellent research has gone into the making of the movie and hats off to the team for putting together a classic movie woven with the perfect dose of drama , romance and some mind blowing music and background score.One does not exactly expect 'Ennu Ninte Moideen' to break any new ground, since this is a story that thousands of couples have gone through - before and after Kanchanamala and Moideen came along - and yet, if it still manages to leave you all shaken up, its courtesy the honesty in its depiction and the countless ways in which it seeks to subvert our expectations of how it would all ultimately turn out to be.Which is why the usual beats assume a spectacular power in the film, with the film maker and his performers infusing a rare might into this heartbreaking account of how everything - society, fortune, destiny and nature itself - transpires against a couple hopelessly in love, hurling them onto a whirlpool of doom.We get to see one of the finest performances in recent times through this film. Prithviraj and parvathy get into the skin of their respective characters of Moideen and Kanchanamala. Prithviraj lives as moideen giving the all required energy,showing us the maturity and credibility of the actor in the film. Paravthy yet again proves her acting brilliance.She is definitely an actress who would attain more height in the times to come. Tovino thomas did his role brilliantly. Bala gets a meaty role after a gap and he does it with excellence. Another brilliant performance came from Lena who acts as Moideen's mother. Rest of the cast comprising of Saikumar, Sudheer karamana, Kalaranjini, Sasikumar etc did a good job.The songs were beautifully composed by Jayachandran, Ramesh Narayan and Gopi Sunder. They were perfectly placed in the movie, without forcing on to us. The background score by Gopi Sunder was perfectly in sync with the mood of the film.Altogether,'Ennu Ninte Moideen' is a film that is a must watch. A beautiful movie by Vimal who explored romance to a different dimension which is lost mostly these days. It takes you to the world of true and eternal love. For sure,this story of Moideen and Kanchanamala would stay in your hearts and will never be forgotten. A classic tale of love. Hats off to the entire team.",classic love story which will be never forgotten,ennu ninte moideen is film that truly makes you rooted your seats film manages hold audiences interest till very last scene story moideen kanchanamala set backdrop 1960s somewhere tugs at your heart irreversible tragedy but so beautifully portrayed by director r s vimal capturing innate beauty locales shoranur essence characters emotions cinematographer jomon t john has done brilliant job strongest quotient movie is that script has been held together strongly by vimal that lends stability authenticity film some excellent research has gone into making movie hats off team putting together classic movie woven with perfect dose drama romance some mind blowing music background score one does not exactly expect ennu ninte moideen break any new ground since this is story that thousands couples have gone through before after kanchanamala moideen came along yet if it still manages leave you all shaken up its courtesy honesty its depiction countless ways which it seeks subvert our expectations how it would all ultimately turn out be which is why usual beats assume spectacular power film with film maker his performers infusing rare might into this heartbreaking account how everything society fortune destiny nature itself transpires against couple hopelessly love hurling them onto whirlpool doom we get see one finest performances recent times through this film prithviraj parvathy get into skin their respective characters moideen kanchanamala prithviraj lives as moideen giving all required energy showing us maturity credibility actor film paravthy yet again proves her acting brilliance she is definitely actress who would attain more height times come tovino thomas did his role brilliantly bala gets meaty role after gap he does it with excellence another brilliant performance came lena who acts as moideens mother rest cast comprising saikumar sudheer karamana kalaranjini sasikumar etc did good job songs were beautifully composed by jayachandran ramesh narayan gopi sunder they were perfectly placed movie without forcing us background score by gopi sunder was perfectly sync with mood film altogether ennu ninte moideen is film that is must watch beautiful movie by vimal who explored romance different dimension which is lost mostly these days it takes you world true eternal love sure this story moideen kanchanamala would stay your hearts will never be forgotten classic tale love hats off entire team,0.6102219564061669,0.4130183413078149,Positive,"{'Happy': 0.2, 'Angry': 0.09, 'Surprise': 0.13, 'Sad': 0.21, 'Fear': 0.36}"
7,An incredible saga of star-crossed Lovers...,"An Intimate portrayal of two lives from a débutante director...M Jayachandran's music, Jomon T John's cinematography and Gopi Sunder's background score exalts the movie to a wholly different level.Even though the movie lacks a grip and over-stretches at times, the breathtaking visuals, art direction and the constant reminder that it's based on a real story redeems the film..transcending all the boundaries of fact and fiction..Moideen and Kanchanamala's saga of love has been enacted on screen by Prithviraj and Parvathy with a lot of subtlety and conviction.Its one among those rarest of rare stories in which real life has more dramatic twists and turns than in a thriller movie.. A commendable work of art indeed..7 stars..",incredible saga star crossed lovers,intimate portrayal two lives d butante director m jayachandrans music jomon t johns cinematography gopi sunders background score exalts movie wholly different level even though movie lacks grip over stretches at times breathtaking visuals art direction constant reminder that its based real story redeems film transcending all boundaries fact fiction moideen kanchanamalas saga love has been enacted screen by prithviraj parvathy with lot subtlety conviction its one among those rarest rare stories which real life has more dramatic twists turns than thriller movie commendable work art indeed 7 stars,0.603030303030303,0.3060606060606061,Positive,"{'Happy': 0.24, 'Angry': 0.12, 'Surprise': 0.18, 'Sad': 0.29, 'Fear': 0.18}"
10,"Great Movie, But a few things could have been avoided",Great Movie. But the excessive narration could avoided which destroys emotional scenes in the movie.It distracts the viewer from the movie and diverts attention towards the narration. The emotions is swept away when the monotonous narration starts. The final computers generated scenes could have been avoided and it could have been symbolic instead. The true story is one which helps us to like the movie rather than the way way the movie was taken. The acting by the actors was superb which compliments the experience and compensates for the less impressive narration. Even the minor characters have played their part well. But in all the movie the great and leaves a sense of grief towards the real life lovers.,great movie but few things could have been avoided,great movie but excessive narration could avoided which destroys emotional scenes movie it distracts viewer movie diverts attention towards narration emotions is swept away when monotonous narration starts final computers generated scenes could have been avoided it could have been symbolic instead true story is one which helps us like movie rather than way way movie was taken acting by actors was superb which compliments experience compensates less impressive narration even minor characters have played their part well but all movie great leaves sense grief towards real life lovers,0.5611111111111112,0.23222222222222227,Positive,"{'Happy': 0.24, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.33}"
9,Best Indian romantic movie,This is the best Indian romantic movie I have seen in my life.Epic blockbuster movie.Technically brilliant and superb acting by lead pair.,best indian romantic movie,this is best indian romantic movie i have seen my life epic blockbuster movie technically brilliant superb acting by lead pair,0.5,0.5,Positive,"{'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.14}"
10,Best of the best.,"Wow what an experience,so this is what a real movie is. Hats off to the director, seriously where the hell were you man.You really bought this movie to the ""Hall Of Fame"". Malayalam movie industry really need movies like this instead of some spoof and comedies. Prithviraj, he really got something in his heart, the way he acts really made respect and improved his respect and fame. Parvathy as Kanchanamaala, you really stole the show, compared to your first film in Malayalam film industry you made a mind blowing impact in peoples heart as well as in minds. Each and every actors contribute their presence in a astonishing manner. The only regret is ""this is a true story"". God should not be this cruel. The cinematography is amazing each and every scenes reflects at least a hundred meanings. Another specific thing in this movie is it's background score, wow it really please with the situation. This movie really reflects the old generation people who really fight in the name of god and religion for the sake of their social status. Really hats off!!!! to the cast and crew.",best best,wow what experience so this is what real movie is hats off director seriously where hell were you man you really bought this movie hall fame malayalam movie industry really need movies like this instead some spoof comedies prithviraj he really got something his heart way he acts really made respect improved his respect fame parvathy as kanchanamaala you really stole show compared your first film malayalam film industry you made mind blowing impact peoples heart as well as minds each every actors contribute their presence astonishing manner only regret is this is true story god should not be this cruel cinematography is amazing each every scenes reflects at least hundred meanings another specific thing this movie is its background score wow it really please with situation this movie really reflects old generation people who really fight name god religion sake their social status really hats off cast crew,0.43237179487179483,0.16538461538461544,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.6, 'Sad': 0.24, 'Fear': 0.07}"
