Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,I can't vote lower than 1?,"I will admit I didn't see this until a couple of days ago, and I was really hesitant of seeing it, after reading a lot of negative reviews on the film, and after seeing the excrement that is Disaster Movie. And let me tell you, after seeing this travesty for myself, I can't agree more with the negativity. While not quite as monstrous as Disaster Movie, Epic Movie(more like Epic Dud) is a truly terrible movie. There are absolutely no redeeming qualities here. The humour just isn't funny. It is crude, vulgar, over-familiar and even contrived, and the constant flashing of breasts was way overdone. The acting was really amateur, Jennifer Coolidge and Carmen Electra get my vote as the worst actresses in the movie, and believe me that is not saying much. The Willy Wonka spoof was just as tired as the movie itself. And as a parody of films like Pirates of the Caribbean and chronicles of Narnia, it falls well short in terms of sophistication. The writing is unbelievably bad, the characters are annoying and the plot just isn't there. The music was awful, and the pirate rap was torturously bad. I will say right now, that I don't like any of the recent Friedberg-Seltzer movies, merely because not only do I feel that there is a complete lack of comedic talent in their films, but also their films come across as a complete waste of time. And just like Disaster Movie, I seriously was considering turning the film off 20 minutes in, that's how painful I found it. All in all, probably not quite the worst movie ever, but along with movies like Home Alone 4, NeverEnding Story 3 and Freddy Got Fingered, it is close. A complete disaster of epic proportions, and one to avoid, even if you're thinking of renting. I'm not trying to sound harsh, I am just trying to explain as much as I can what I feel about the movie. 1/10 Bethany Cox",i cant vote lower than 1,i will admit i didnt see this until couple days ago i was really hesitant seeing it after reading lot negative reviews film after seeing excrement that is disaster movie let me tell you after seeing this travesty myself i cant agree more with negativity while not quite as monstrous as disaster movie epic movie more like epic dud is truly terrible movie there are absolutely no redeeming qualities here humour just isnt funny it is crude vulgar over familiar even contrived constant flashing breasts was way overdone acting was really amateur jennifer coolidge carmen electra get my vote as worst actresses movie believe me that is not saying much willy wonka spoof was just as tired as movie itself as parody films like pirates caribbean chronicles narnia it falls well short terms sophistication writing is unbelievably bad characters are annoying plot just isnt there music was awful pirate rap was torturously bad i will say right now that i dont like any recent friedberg seltzer movies merely because not only do i feel that there is complete lack comedic talent their films but also their films come across as complete waste time just like disaster movie i seriously was considering turning film off 20 minutes thats how painful i found it all all probably not quite worst movie ever but along with movies like home alone 4 neverending story 3 freddy got fingered it is close complete disaster epic proportions one avoid even if youre thinking renting im not trying sound harsh i am just trying explain as much as i can what i feel about movie 1 10 bethany cox,0.5479761904761902,-0.19556547619047618,Negative,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.5, 'Fear': 0.2}"
1.0,This thing won't let me vote below a 1....,"After watching this movie, I just couldn't stop talking about it. Mind you, not in the sense that someone can't stop talking about a great book or show, but more along the line of how someone can't stop talking about their colonoscopy during a diner conversation. In other words, after seeing this you can't help but try and remove the stain it left on your very soul by vomiting out the experience onto others.This movie entered with the tag line of being ""written by two of the six writers of 'Scary Movie'!"" What they forgot to mention is that the two who wrote it were only responsible for writing the credits and all the jokes deleted for the sake of not causing mass suicide. Put more delicately, this movie almost makes Pootie Tang look Oscar worthy, which ironically enough was made fun of in the last Scary Movie for being horrid. Coincidence? Yeah, not even some sort of Karma dealing fiend would wish this movie upon the world.""So,"" you ask, ""What makes it so bad?"" I bet your thinking that all of the funny stuff was in the previews, right? No, actually there was no funny content in the previews at all, it just seemed that way when taken out of the context of the movie. Much the same way ""Hogan's Heroes"" was funny to people who weren't in Auschwitz during the Holocaust, the previews are funny to those who haven't seen the movie. When you actually see the movie, you start to ask, ""Why was that funny in the preview?"" The answer: You can see pretty flowers if you ignore the fact that they are growing from the corpse of a man who died during a freak green house accident.Do yourself a favor, rent a History channel documentary on the history of documentaries and hit yourself in the head with a hammer. It'll be twice as funny, make three times more sense, and be only a fifth as painful.",this thing wont let me vote below 1,after watching this movie i just couldnt stop talking about it mind you not sense that someone cant stop talking about great book or show but more along line how someone cant stop talking about their colonoscopy during diner conversation other words after seeing this you cant help but try remove stain it left your very soul by vomiting out experience onto others this movie entered with tag line being written by two six writers scary movie what they forgot mention is that two who wrote it were only responsible writing credits all jokes deleted sake not causing mass suicide put more delicately this movie almost makes pootie tang look oscar worthy which ironically enough was made fun last scary movie being horrid coincidence yeah not even some sort karma dealing fiend would wish this movie upon world so you ask what makes it so bad i bet your thinking that all funny stuff was previews right no actually there was no funny content previews at all it just seemed that way when taken out context movie much same way hogans heroes was funny people who werent auschwitz during holocaust previews are funny those who havent seen movie when you actually see movie you start ask why was that funny preview answer you can see pretty flowers if you ignore fact that they are growing corpse man who died during freak green house accident do yourself favor rent history channel documentary history documentaries hit yourself head with hammer itll be twice as funny make three times more sense be only fifth as painful,0.620907738095238,0.061532738095238106,Positive,"{'Happy': 0.09, 'Angry': 0.08, 'Surprise': 0.28, 'Sad': 0.19, 'Fear': 0.36}"
1.0,Just awful,"In the past 10 years, I've probably seen more than 200 movies at theaters. This is the first movie that I've ever walked out on. 45 minutes in, I couldn't handle the torture anymore. This is the most unfunny piece of garbage I've ever seen. Although, I did get a good chuckle when about 50% of the audience had left before the halfway mark.It's hard to meet the minimum post-length requirement for this movie, because there isn't much to say about it. I didn't find any of the gags clever. Nor did I find them funny. I did think some of the set designs looked okay. The casting directors also found someone who looked surprisingly like Jack Black, although sadly the script didn't give him anything funny to do.Just avoid this. It's not even worth a rental.",just awful,past 10 years ive probably seen more than 200 movies at theaters this is first movie that ive ever walked out 45 minutes i couldnt handle torture anymore this is most unfunny piece garbage ive ever seen although i did get good chuckle when about 50 audience had left before halfway mark its hard meet minimum post length requirement this movie because there isnt much say about it i didnt find any gags clever nor did i find them funny i did think some set designs looked okay casting directors also found someone who looked surprisingly like jack black although sadly script didnt give him anything funny do just avoid this its not even worth rental,0.5465686274509803,0.12401960784313723,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.53, 'Sad': 0.12, 'Fear': 0.24}"
1.0,Biggest pile of rubbish ever put on film!!!!,"Epic Movie (2007) is total crap, no beating around the bush here, it was so bad it actually angered me that i paid to view this turkey and i wanted a refund, i felt cheated, the only reason i didn't cause a fuss at the cinema was the fact that something very funny happened...... a singing chant started in the audience (of about 12 people), and it went something like this, why are we watching, why are we watching, why are we watchinggggg this piece of CRAP!!!! I didn't have a clue what was going on, the 'script' was idiotic, the actors were totally lame and annoying and the jokes were pathetic and UNFUNNY, how this ever made it to the silver screen i'll never know.I advise anyone who's thinking of going to see this piece of JUNK, to stay well clear and save their money, thank you and GOODNIGHT! 0/10",biggest pile rubbish ever put film,epic movie 2007 is total crap no beating around bush here it was so bad it actually angered me that i paid view this turkey i wanted refund i felt cheated only reason i didnt cause fuss at cinema was fact that something very funny happened singing chant started audience about 12 people it went something like this why are we watching why are we watching why are we watchinggggg this piece crap i didnt have clue what was going script was idiotic actors were totally lame annoying jokes were pathetic unfunny how this ever made it silver screen ill never know i advise anyone whos thinking going see this piece junk stay well clear save their money thank you goodnight 0 10,0.7952380952380952,-0.4279761904761905,Negative,"{'Happy': 0.03, 'Angry': 0.03, 'Surprise': 0.41, 'Sad': 0.34, 'Fear': 0.17}"
5.0,This film changed my life,"I have always had an interest in film but it was always a vague dream or hobby, not a realistic pursuit. One day in 2010, I stumbled upon this film on TV and it changed my life. I realised, ""if this piece of crap really got made, then maybe I have a chance"". I then decided to actually get a degree in media studies. Thanks very much, Friedberg and Seltzer!",this film changed my life,i have always had interest film but it was always vague dream or hobby not realistic pursuit one day 2010 i stumbled upon this film tv it changed my life i realised if this piece crap really got made then maybe i have chance i then decided actually get degree media studies thanks very much friedberg seltzer,0.34190476190476193,-0.10333333333333335,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.33}"
1.0,Surely a candidate for minus scores.,"Sometimes you wonder why a production team doesn't cut a movie when they're making it, having the obvious realisation that what they're making is dreadful, surely it's more financially damaging to complete and release a diabolical mess like this, then it would have been to say stop. The premise seems good, two of the writers from Scary movie take the spoof them to a bigger scale, but do it so badly. It's unfunny, it could be deemed offensive, there is virtually nothing positive I can say about it, the acting is unforgivable in this day and age, it smacks of 1980's b movie all the way through, I realise they were up against it with the script, but come on. Do something more useful, like clean the bathroom, 1/10.",surely candidate minus scores,sometimes you wonder why production team doesnt cut movie when theyre making it having obvious realisation that what theyre making is dreadful surely its more financially damaging complete release diabolical mess like this then it would have been say stop premise seems good two writers scary movie take spoof them bigger scale but do it so badly its unfunny it could be deemed offensive there is virtually nothing positive i can say about it acting is unforgivable this day age it smacks 1980s b movie all way through i realise they were up against it with script but come do something more useful like clean bathroom 1 10,0.4823631047315257,0.05889154704944179,Positive,"{'Happy': 0.12, 'Angry': 0.18, 'Surprise': 0.24, 'Sad': 0.35, 'Fear': 0.12}"
1.0,Epic failure,"It's a shame to see films that promise to parody the formulaic and over-constructed nature of ""epic"" films, but fail, and subsequently conform to what is now the ""spoof"" genre. In parodying said films, they merely reconstruct the setting (poorly) i.e. Willy Wonka's chocolate river becomes poo. The references to pop culture are 1: over used 2: Poorly used 3: Irrelevant and not funny. It appears that the budget was spent on midgets and a dance choreographer (apparently it is funny when medieval knights, pirates, dwarfs and oompa loompas dance). The narrative is infantile and not remotely funny, no imagination could possibly enjoy the pure nonsense of the characterization. Parody films are meant to parody and this one fails to come even close to funny, it irreverence is pathetic, not hilarious and the writers...well, where to start with them.If you like watching pictures move and people talk, this film is probably for you. If you like films that are intelligent in their parody and genuinely funny, then stick to the Scary Movie catalogue. Even Date Movie was better than thisand that's saying something.This film trades on the pretension that it will be funnyit is not, someone should report it to a fair trading body. I personally wonder what is more disturbing, that people would enjoy this movie, or that Hollywood thinks that people will enjoy it.",epic failure,its shame see films that promise parody formulaic over constructed nature epic films but fail subsequently conform what is now spoof genre parodying said films they merely reconstruct setting poorly i e willy wonkas chocolate river becomes poo references pop culture are 1 over used 2 poorly used 3 irrelevant not funny it appears that budget was spent midgets dance choreographer apparently it is funny when medieval knights pirates dwarfs oompa loompas dance narrative is infantile not remotely funny no imagination could possibly enjoy pure nonsense characterization parody films are meant parody this one fails come even close funny it irreverence is pathetic not hilarious writers well where start with them if you like watching pictures move people talk this film is probably you if you like films that are intelligent their parody genuinely funny then stick scary movie catalogue even date movie was better than this thats saying something this film trades pretension that it will be funny it is not someone should report it fair trading body i personally wonder what is more disturbing that people would enjoy this movie or that hollywood thinks that people will enjoy it,0.5882352941176471,-0.03242296918767506,Negative,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.33, 'Sad': 0.15, 'Fear': 0.33}"
1.0,why do studios accept to make movies like this?!?,"There is nothing original here whatsoever-same old big breast jokes, oral sex jokes; sloppy tongue-kissing, spoofing of movies not necessarily worth spoofing, and using the same old actors (i.e. Adam Campbell) from other horrible spoofing movies. It is disappointing to see that actors who have received some acclaim from both critics and the public alike have starred in this-the worst movie ever made-worse than Grease 2. And only a few minutes longer than a regular TV show except without interesting commercials, it is highway robbery to make anyone pay to see this half-baked movie where writers, producers, actors and directors have only put half an effort to do something that at least would be satisfactory. And half is giving them too much credit. Unfortunately for Kal Penn, Jennifer Coolidge, Faune A. Chambers and Crispin Glover (you waited for this movie to return to the big screen? where were you last couple of years? in detox?), I won't be running to the theatre any time soon to see one of their movies any time soon.Studio decision-makers have to take a stand against these movies-and so does the industry. Pre-teens, teens and young adults have shown that they have interests in seeing well-written, acted, developed and intelligent movies. Don't take the easy way out to do these useless piece of junk.",why do studios accept make movies like this,there is nothing original here whatsoever same old big breast jokes oral sex jokes sloppy tongue kissing spoofing movies not necessarily worth spoofing using same old actors i e adam campbell other horrible spoofing movies it is disappointing see that actors who have received some acclaim both critics public alike have starred this worst movie ever made worse than grease 2 only few minutes longer than regular tv show except without interesting commercials it is highway robbery make anyone pay see this half baked movie where writers producers actors directors have only put half effort do something that at least would be satisfactory half is giving them too much credit unfortunately kal penn jennifer coolidge faune chambers crispin glover you waited this movie return big screen where were you last couple years detox i wont be running theatre any time soon see one their movies any time soon studio decision makers have take stand against these movies so does industry pre teens teens young adults have shown that they have interests seeing well written acted developed intelligent movies dont take easy way out do these useless piece junk,0.4271434294871794,-0.09322916666666664,Negative,"{'Happy': 0.16, 'Angry': 0.06, 'Surprise': 0.16, 'Sad': 0.29, 'Fear': 0.32}"
,Can any film be worse than this?,"This is the spoof of recent epic movies that were released in or after 2005.In the beginning, the film looks OK because it spoofs many films in a short space of time. However, towards the middle, the story is something we have already seen before. Things get really repetitive, such people get knocked over about 10 times, or people trip and fall over about 50 times, or people get thrown into outer space for 100 times.Of course, there is plenty of toilet humour. Normally farting is the only toilet joke in most films, but in here, every type of excrement is present in copious amount. It is so gross.This film is uninspiring, uninspired, silly, cheap and gross. Can any film be worse than this?",can any film be worse than this,this is spoof recent epic movies that were released or after 2005 beginning film looks ok because it spoofs many films short space time however towards middle story is something we have already seen before things get really repetitive such people get knocked over about 10 times or people trip fall over about 50 times or people get thrown into outer space 100 times course there is plenty toilet humour normally farting is only toilet joke most films but here every type excrement is present copious amount it is so gross this film is uninspiring uninspired silly cheap gross can any film be worse than this,0.4011363636363636,-0.0030303030303030294,Negative,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.42, 'Fear': 0.17}"
1.0,You're better off counting holes in the ceiling,"In fact, counting holes in the ceiling would be healthier for your brain cells than this. The ceiling's holes would show more creativity and humor than the script of this film, and they would act better than the people in it, too. I'd compare this thing to the foul smell of a rotten egg, but it's worse than that. The talentless Friedberg & Seltzer are back from their Date Movie debacle with more trashy, unfunny ""spoofs"". For example, a bullet bounced off of Superman's eye in his movie; now, the bullet pokes his eye out. Gee is that original and hilarious or what? Not a single joke works, and the only surprise of this movie is that these two hacks keep getting funding to produce flop after flop. This is just so painfully bad. If you ever find a lost DVD of this movie somewhere, leave it there. It's not worth the effort to pick it up.",youre better off counting holes ceiling,fact counting holes ceiling would be healthier your brain cells than this ceilings holes would show more creativity humor than script this film they would act better than people it too id compare this thing foul smell rotten egg but its worse than that talentless friedberg seltzer are back their date movie debacle with more trashy unfunny spoofs example bullet bounced off supermans eye his movie now bullet pokes his eye out gee is that original hilarious or what not single joke works only surprise this movie is that these two hacks keep getting funding produce flop after flop this is just so painfully bad if you ever find lost dvd this movie somewhere leave it there its not worth effort pick it up,0.5275793650793651,0.13839285714285718,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.28, 'Fear': 0.4}"
