Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
4,What a letdown,"It's a letdown. The fun and charming bits of Harry Potter were left out of this film. I like J.K. Rowling's work immensely, so that's hard to say.Plot-wise, things are a mess. Newt and his luggage full of magical creatures are a side plot to the important things going on. The real story is that an auror in New York is searching for a powerful and dangerous magical force that manifests within a teenager. His plan: turn the destructive energy the teenager carries into a weapon, I assume. Enter Newt Scamander, who is trying to transport a thunderbird(?) to Arizona for release back into the wild. Some of Newt's other creatures escape in New York, and he has to round them up, all while becoming entangled with the auror and his teenage target.The plot sounds sort of okay, but it's not well integrated. The characters don't add up to much of anything, either. The sidekick baker is fairly likable, though, along with his brewing romance with Queenie. Newt's a bit thin as a character. Eddie Redmayne's dialog also tended to come out mumbled, which made him hard to understand at times. Throw in a few acronyms and oddball words like MACUSA, and that makes for more confusion.Altogether, the film needed more work to tighten the story lines and make Fantastic Beasts a story focused on Newt and his menagerie, instead of what we ended up with.",what letdown,its letdown fun charming bits harry potter were left out this film i like j k rowlings work immensely so thats hard say plot wise things are mess newt his luggage full magical creatures are side plot important things going real story is that auror new york is searching powerful dangerous magical force that manifests within teenager his plan turn destructive energy teenager carries into weapon i assume enter newt scamander who is trying transport thunderbird arizona release back into wild some newts other creatures escape new york he has round them up all while becoming entangled with auror his teenage target plot sounds sort okay but its not well integrated characters dont add up much anything either sidekick baker is fairly likable though along with his brewing romance with queenie newts bit thin as character eddie redmaynes dialog also tended come out mumbled which made him hard understand at times throw few acronyms oddball words like macusa that makes more confusion altogether film needed more work tighten story lines make fantastic beasts story focused newt his menagerie instead what we ended up with,0.5528882575757574,0.1402935606060606,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.1, 'Sad': 0.22, 'Fear': 0.44}"
6,It was better the second time around...,"I watched the movie back in 2016, when it was just released, and believe you me I wasn't impressed. But then again, I never were heavily into the ""Harry Potter"" universe that Rowling has created.But I sat down in 2022 to watch ""Fantastic Beasts and Where to Find Them"" again, deciding to start over and actually catch up on the two sequel movies that I hadn't seen either. So of course I started from the beginning to get up to speed.Now, I didn't particularly enjoy the 2016 movie ""Fantastic Beasts and Where to Find Them"" from writer J. K. Rowling and director David Yates. But I guess 6 years softened me up a bit, as I found a bit more enjoyment in the movie the second time around. Hold your horses, because I am not won-over, nor would I consider myself a fan.The storyline in ""Fantastic Beasts and Where to Find Them"" is adequate. I mean, it is not a movie that requires the audience to invest their heart and soul, so you can essentially just lean back and munch on your snacks while you watch the movie. I found the storyline to be boring the first time around, and now in 2022 I found it a bit more interesting. It still wasn't a riveting storyline that had me on the edge of my seat though.Visually then ""Fantastic Beasts and Where to Find Them"" is great. It was so back in 2016, and it is still in 2022. So if for nothing else, then you certainly are in for quite a visual CGI treat if you sit down to watch ""Fantastic Beasts and Where to Find Them"".Something that is impressive in ""Fantastic Beasts and Where to Find Them"", is the cast list. They certainly had managed to put together rather extensive cast ensemble with lots of talented actors and actresses. While I didn't really care much for the character Newt, then actor Eddie Redmayne actually put on a convincing and good performance as Newt. The movie also have the likes of Dan Fogler, Colin Farrell, Samantha Morton, Jon Voight, Gemma Chan, Ron Perlman, and Johnny Depp on the cast list.""Fantastic Beasts and Where to Find Them"" certainly is a movie that would have an appeal to the fans of the ""Harry Potter"" franchise, of that I am quite certain.My rating of ""Fantastic Beasts and Where to Find Them"" lands on a six out of ten stars.",it was better second time around,i watched movie back 2016 when it was just released believe you me i wasnt impressed but then again i never were heavily into harry potter universe that rowling has created but i sat down 2022 watch fantastic beasts where find them again deciding start over actually catch up two sequel movies that i hadnt seen either so course i started beginning get up speed now i didnt particularly enjoy 2016 movie fantastic beasts where find them writer j k rowling director david yates but i guess 6 years softened me up bit as i found bit more enjoyment movie second time around hold your horses because i am not won over nor would i consider myself fan storyline fantastic beasts where find them is adequate i mean it is not movie that requires audience invest their heart soul so you can essentially just lean back munch your snacks while you watch movie i found storyline be boring first time around now 2022 i found it bit more interesting it still wasnt riveting storyline that had me edge my seat though visually then fantastic beasts where find them is great it was so back 2016 it is still 2022 so if nothing else then you certainly are quite visual cgi treat if you sit down watch fantastic beasts where find them something that is impressive fantastic beasts where find them is cast list they certainly had managed put together rather extensive cast ensemble with lots talented actors actresses while i didnt really care much character newt then actor eddie redmayne actually put convincing good performance as newt movie also have likes dan fogler colin farrell samantha morton jon voight gemma chan ron perlman johnny depp cast list fantastic beasts where find them certainly is movie that would have appeal fans harry potter franchise that i am quite certain my rating fantastic beasts where find them lands six out ten stars,0.5089109347442681,0.24037477954144618,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.19, 'Fear': 0.23}"
3,"No charm, no character, no story...just CGI","FANTASTIC BEASTS AND WHERE TO FIND THEM is the latest instalment in the cash cow HARRY POTTER franchise and a total disappointment as a movie. I didn't expect much when I saw that artificial director David Yates, responsible for the shallowest movies in the Harry Potter film series as well as the awful LEGEND OF TARZAN, was at the helm, but Rowling's first-ever script promised something; it turns out she's a far worse scriptwriter than she is a novelist.This plays out as a prequel to Potter, with Eddie Redmayne - adopting a single gormless expression of wonder from beginning to end - on the hunt for various escaping magical creatures in 1920s New York. There's no plot at all, just endless chase scenes involving poorly animated CGI beasties, so the supporting cast have nothing to do expect add perfunctory romance/comedy/drama, none of which works. The CGI is blatant and used to drive the narrative, which it can't do, so by the time of the umpteenth magical battle you simply don't care. And they're making another four of these? Give me strength!",no charm no character no story just cgi,fantastic beasts where find them is latest instalment cash cow harry potter franchise total disappointment as movie i didnt expect much when i saw that artificial director david yates responsible shallowest movies harry potter film series as well as awful legend tarzan was at helm but rowlings first ever script promised something it turns out shes far worse scriptwriter than she is novelist this plays out as prequel potter with eddie redmayne adopting single gormless expression wonder beginning end hunt various escaping magical creatures 1920s new york theres no plot at all just endless chase scenes involving poorly animated cgi beasties so supporting cast have nothing do expect add perfunctory romance comedy drama none which works cgi is blatant used drive narrative which it cant do so by time umpteenth magical battle you simply dont care theyre making another four these give me strength,0.6102715466351829,-0.03606355765446674,Negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.24, 'Fear': 0.41}"
4,No story & too much CGI,"I have to say that I am really disappointed of the movie as a whole. The Harry Potter movies are easily one of the best and most rewatchable movie franchises so far. And this movie is sadly nothing like the original HP movies. The only thing that is has in common are the special effects (for the apparitions). There was no real dialogue between the characters. Just silly one-liners and the occasional humorous remark. I am also very angered by the fact that they just introduced a new concept (obscurials) to the HP franchise that would literally change everything (if obscurials exist why hasn't Harry Potter become one? After all he fits the criteria).There was also way too much CGI in the movie. It became a real nuisance after a while. Especially because it wasn't even ""up to today's standards"".My final critique concerns the overall flair of the movie. It just didn't feel like it belongs to the magnum opus that is the HP movie franchise. And righteously so; why did they film it in NYC? The HP franchise is the most British thing since James Bond and Doctor Who. I never really realized it before but now that I watched this movie it became very clear to me. You can't just change the location like this and expect the audience to embrace it. Sorry. What's next? Fantastic Beasts in Japan? No thanks. We already have that, it's called Kaiju.",no story too much cgi,i have say that i am really disappointed movie as whole harry potter movies are easily one best most rewatchable movie franchises so far this movie is sadly nothing like original hp movies only thing that is has common are special effects apparitions there was no real dialogue between characters just silly one liners occasional humorous remark i am also very angered by fact that they just introduced new concept obscurials hp franchise that would literally change everything if obscurials exist why hasnt harry potter become one after all he fits criteria there was also way too much cgi movie it became real nuisance after while especially because it wasnt even up todays standards my final critique concerns overall flair movie it just didnt feel like it belongs magnum opus that is hp movie franchise righteously so why did they film it nyc hp franchise is most british thing since james bond doctor who i never really realized it before but now that i watched this movie it became very clear me you cant just change location like this expect audience embrace it sorry whats next fantastic beasts japan no thanks we already have that its called kaiju,0.55992389331099,0.04538192989805892,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.25, 'Fear': 0.33}"
7,I liked it,"I really want to draw attention to the title of the review above. I'm sure many die-hard potterheads would want every review on this site to score this movie 10/10 and say it is a masterpiece. Well I can't do that, since that isn't my honest opinion. What I can say though is that Fantastic Beasts and Where to Find Them is a thoroughly entertaining affair that is well worth a watch, especially if you're a fan of J.K. Rowling's magical world. For starters the cast was great. Eddie Redmayne feels perfectly cast in main role as Newt Scamander. A very awkward and introverted person who prefers the company of animals rather than humans. He has the quirkyness down to a tee. I also really liked the muggle (or no-maj as the Americans call him) played by Dan Fogler. How he reacts to the whole wizarding world and the events that happen around him is actually really funny. I also thought Katherine Waterstone and Alison Sodul did great playing two sisters who wind up roped in to the whole adventure. The creatures are the best part of the entire movie by far. They CGI on them looks kind of fake, but it's more than made up for by the concepts alone. Almost all of them have some clever twerk that keep them from feeling generic and they're all filled with personality. The sequences when they're catching these creatures are all really fun to watch. However there are some problems with this movie. For one it has way too many side characters. A lot of them feel completely underdeveloped and add basically nothing to the overall story (*cough* Jon Voight *cough*). There's also a magical threat that becomes more central towards the end but it honestly kind of left me scratching my head. I just wasn't that engaged in that part of the story to be honest. Still these problems are not enough to ruin the movie by any means. It's filled with wonder and creativity and being back in the world of witchcraft and wizardry is worth the price of admission alone. I enjoyed the characters, the humour and the creatures a whole lot. I also want to give J.K. Rowling huge credit for not just rehashing the Harry Potter story again. This is fresh and new and while it isn't flawless by any means it's certainly entertaining!",i liked it,i really want draw attention title review above im sure many die hard potterheads would want every review this site score this movie 10 10 say it is masterpiece well i cant do that since that isnt my honest opinion what i can say though is that fantastic beasts where find them is thoroughly entertaining affair that is well worth watch especially if youre fan j k rowlings magical world starters cast was great eddie redmayne feels perfectly cast main role as newt scamander very awkward introverted person who prefers company animals rather than humans he has quirkyness down tee i also really liked muggle or no maj as americans call him played by dan fogler how he reacts whole wizarding world events that happen around him is actually really funny i also thought katherine waterstone alison sodul did great playing two sisters who wind up roped whole adventure creatures are best part entire movie by far they cgi them looks kind fake but its more than made up by concepts alone almost all them have some clever twerk that keep them feeling generic theyre all filled with personality sequences when theyre catching these creatures are all really fun watch however there are some problems with this movie one it has way too many side characters lot them feel completely underdeveloped add basically nothing overall story cough jon voight cough theres also magical threat that becomes more central towards end but it honestly kind left me scratching my head i just wasnt that engaged that part story be honest still these problems are not enough ruin movie by any means its filled with wonder creativity being back world witchcraft wizardry is worth price admission alone i enjoyed characters humour creatures whole lot i also want give j k rowling huge credit not just rehashing harry potter story again this is fresh new while it isnt flawless by any means its certainly entertaining,0.6059557842576709,0.3130655612731084,Positive,"{'Happy': 0.12, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.43}"
3,Just average. Not fantastic,"J.K Rowling, not content with having milked 'Harry Potter' for all it was worth (quite a lot as it turned out) has now decided to expand her 'wizarding world' with this sort of spin-off series.Sadly this first instalment isn't that fantastic, in fact it's lots of special effects holding together a paper thin plot that seems largely to involve poor Eddie Redmayne running here, there and everywhere trying to catch whichever creature has escaped from his suitcase next.There are moments, yes, when this film actually lives up to its billing, and I'll be interested to see where the franchise goes, but this was a load of old nothing really.",just average not fantastic,j k rowling not content with having milked harry potter all it was worth quite lot as it turned out has now decided expand her wizarding world with this sort spin off series sadly this first instalment isnt that fantastic fact its lots special effects holding together paper thin plot that seems largely involve poor eddie redmayne running here there everywhere trying catch whichever creature has escaped his suitcase next there are moments yes when this film actually lives up its billing ill be interested see where franchise goes but this was load old nothing really,0.5052083333333334,-0.0049107142857142926,Negative,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.17, 'Fear': 0.43}"
8,"As enchanting as the best 'Harry Potter' films, this beginning of a new chapter in J.K. Rowling's wizarding world is fun, edgy and ceaselessly fascinating","How do you make a 'Harry Potter' movie without Harry Potter? Before the last of the eight films of J.K. Rowling's staggeringly popular universe five years ago, that must have been the conundrum facing Warner Brothers executives as they stared at the end of the line of their most lucrative franchise. And yet thanks to Rowling herself as well as series stalwart David Yates, there is once again new life to be found in the world of witchcraft and wizardry that she had dreamt up in the seven books of the boy wonder. The inspiration is one of Harry's textbooks at Hogwarts, an essential text which served as a guide to magical animals written by one Newt Scamander. Rowling had written it into a companion piece in 2001, but as those who had read the 128- page book will tell you, there is a lot more that Rowling must have had to add to her first movie script even as an adaptation of that earlier book.That explains why the film's narrative feels like two parallel story lines, both of which are set in the 1920s in New York City. The first (and the one more obviously drawn from her text) concerns the magizoologist and former Hogwarts student's (Eddie Redmayne) arrival with a suitcase of magical creatures in tow. He's here to do field work for the titular book that he's writing, but no thanks to a mix- up involving a klutzy working-class 'no-maj' (meaning 'muggle' or ordinary, non-magical human) named Jacob Kowalski (Dan Fogler), some of the beasts Newt keeps hidden in his suitcase – which is really a magical device enclosing a massive nature preserve – have escaped. Together with two comely female wizards, the struggling investigator Porpentina Goldstein (Katherine Waterson) and her mind-reading sister Queenie (Alison Sudol), Newt and Jacob set out to chase down these creatures before they wreak more havoc on the city.And yet their blithe adventure could not have taken place in a more complicated time – not only has the Magical Congress of the United States (or MACUSA in short) set out strict rules against the revelation of the existence of wizards and/or the wizarding world, its meticulously cautious Madam President (Carmen Ejojo) has outlawed the possession of all beasts. There is perhaps good reason though – the city is torn by a mysterious force purportedly to be that of an Obscurus, a dark and uncontrollable power manifested by wizards who have repressed (rather than being taught to control) their innate powers. Rounding out the second, and much darker, story is a missing dark wizard called Gellert Grindelward (Johnny Depp), which the opening prologue via numerous newspaper reels informs us has gone underground since his dark doings in Europe. It's no secret that Grindelward and by extension, Depp, whom we see only briefly at the end of the movie, will take up much of the acreage of the four other 'Fantastic Beasts' films that Yates and Rowling have planned. Given how this needs to set the stage for the beginning of a new franchise, there is understandably yards of exposition and a lot of introductions to do within the just-over two hours it has. It also means that, aside from its city-shaking cataclysm of a climax, this is pretty much like an origin story, such that like the first 'Harry Potter' movie, one gets the distinct sense that it is holding back for bigger and hopefully even more intriguing things down the road.Not to say that this first of a quintet isn't charming in and of itself; oh no, in fact, we are confident that Potter fans and newcomers alike will find much to love and beguile of the rich and fascinating fictional world that Rowling has created. Indeed, there is sheer delight in discovering the menagerie of creatures that Newt has hidden in his briefcase – among them a scene-stealing platypus with a penchant for stealing shiny things, a majestic avian which changes shape and size to fill any available space, and a tiny stick-like green insect that can pick locks. Before things get serious, the early scenes with Newt and his unlikely companions pop with escapist fun, not least when he and Jacob get caught in incriminating situations by law enforcement while pursuing their small, furry and oh-so-cute kleptomaniac around bank vaults and jewelry stores. It is also here that we get to savour more fully the effortlessly endearing Redmayne and Fogler, one quirkily adorable as the shy and slightly awkward boy-man and the other an unassuming bumbler whose wide-eyed wonder upon the world previously hidden from his eyes channels our very own.Like how she did with Harry, Ron and Hermoine, Rowling gets a strong character dynamic going around the four cohorts, including a budding attraction between Newt and his Auror-turned-ally Tina as well as a gentle romance between Jacob and Queenie. It is these characters that anchor the busy plotting in the second hour with heartfelt emotion. Even so, the beautifully ornate production design shines through every frame, whether a seedy underground jazz club with all manner of peculiar (if slightly grotesque) creatures to Manhattan's old City Hall subway station where the climax unfolds. The special effects are equally stellar, particularly the transition from our world to that inside the suitcase and a breathtaking scene where the Obscurus wrecks destruction across several of New York's skyscrapers before plunging into the City Hall station. And of course, the close-ups of the various beasts are just as visually stunning, some scary, some cuddly, some ethereal and some just downright goofy. Even without the appeal of adorable young children, 'Fantastic Beasts and Where to Find Them' is pure enchantment, perfectly setting the stage for a whole new chapter of the wizarding world we've come to embrace through the 'Harry Potter' films. To call it fantastic may be slightly hyperbolic, but you'll be glad to know it doesn't fall too far short.",as enchanting as best harry potter films this beginning new chapter j k rowlings wizarding world is fun edgy ceaselessly fascinating,how do you make harry potter movie without harry potter before last eight films j k rowlings staggeringly popular universe five years ago that must have been conundrum facing warner brothers executives as they stared at end line their most lucrative franchise yet thanks rowling herself as well as series stalwart david yates there is once again new life be found world witchcraft wizardry that she had dreamt up seven books boy wonder inspiration is one harrys textbooks at hogwarts essential text which served as guide magical animals written by one newt scamander rowling had written it into companion piece 2001 but as those who had read 128 page book will tell you there is lot more that rowling must have had add her first movie script even as adaptation that earlier book that explains why films narrative feels like two parallel story lines both which are set 1920s new york city first one more obviously drawn her text concerns magizoologist former hogwarts students eddie redmayne arrival with suitcase magical creatures tow hes here do field work titular book that hes writing but no thanks mix up involving klutzy working class no maj meaning muggle or ordinary non magical human named jacob kowalski dan fogler some beasts newt keeps hidden his suitcase which is really magical device enclosing massive nature preserve have escaped together with two comely female wizards struggling investigator porpentina goldstein katherine waterson her mind reading sister queenie alison sudol newt jacob set out chase down these creatures before they wreak more havoc city yet their blithe adventure could not have taken place more complicated time not only has magical congress united states or macusa short set out strict rules against revelation existence wizards or wizarding world its meticulously cautious madam president carmen ejojo has outlawed possession all beasts there is perhaps good reason though city is torn by mysterious force purportedly be that obscurus dark uncontrollable power manifested by wizards who have repressed rather than being taught control their innate powers rounding out second much darker story is missing dark wizard called gellert grindelward johnny depp which opening prologue via numerous newspaper reels informs us has gone underground since his dark doings europe its no secret that grindelward by extension depp whom we see only briefly at end movie will take up much acreage four other fantastic beasts films that yates rowling have planned given how this needs set stage beginning new franchise there is understandably yards exposition lot introductions do within just over two hours it has it also means that aside its city shaking cataclysm climax this is pretty much like origin story such that like first harry potter movie one gets distinct sense that it is holding back bigger hopefully even more intriguing things down road not say that this first quintet isnt charming itself oh no fact we are confident that potter fans newcomers alike will find much love beguile rich fascinating fictional world that rowling has created indeed there is sheer delight discovering menagerie creatures that newt has hidden his briefcase among them scene stealing platypus with penchant stealing shiny things majestic avian which changes shape size fill any available space tiny stick like green insect that can pick locks before things get serious early scenes with newt his unlikely companions pop with escapist fun not least when he jacob get caught incriminating situations by law enforcement while pursuing their small furry oh so cute kleptomaniac around bank vaults jewelry stores it is also here that we get savour more fully effortlessly endearing redmayne fogler one quirkily adorable as shy slightly awkward boy man other unassuming bumbler whose wide eyed wonder upon world previously hidden his eyes channels our very own like how she did with harry ron hermoine rowling gets strong character dynamic going around four cohorts including budding attraction between newt his auror turned ally tina as well as gentle romance between jacob queenie it is these characters that anchor busy plotting second hour with heartfelt emotion even so beautifully ornate production design shines through every frame whether seedy underground jazz club with all manner peculiar if slightly grotesque creatures manhattans old city hall subway station where climax unfolds special effects are equally stellar particularly transition our world that inside suitcase breathtaking scene where obscurus wrecks destruction across several new yorks skyscrapers before plunging into city hall station course close ups various beasts are just as visually stunning some scary some cuddly some ethereal some just downright goofy even without appeal adorable young children fantastic beasts where find them is pure enchantment perfectly setting stage whole new chapter wizarding world weve come embrace through harry potter films call it fantastic may be slightly hyperbolic but youll be glad know it doesnt fall too far short,0.5332780570683794,0.16841531676209093,Positive,"{'Happy': 0.16, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.17, 'Fear': 0.39}"
4,Boring One,"Watched the movie but can't find interest at any point, story line must be better.",boring one,watched movie but cant find interest at any point story line must be better,0.75,-0.25,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.17}"
4,No Heart or Imagination,"It's always tough for a reboot or a reimagining of a franchise to win over the hearts of all viewers. The Harry Potter films were this generation's Star Wars. It was always going to be an uphill battle for Fantastic Beasts and in my opinion, the film never even got off the ground. With no heart, weak visual effects, and surprisingly little imagination, Fantastic Beasts and How to Get Bored turns out the most disappointing film going experience of this year.I'm going to try and not compare the film too much to its predecessors, because that's ultimately unfair. This was a new thing. There are only a few little references here and there to characters we knew. After all, this film takes place 70 years before Harry entered Hogwarts. With that said, I'm not sure what the appeal here is without an attachment to the series. Sure, J.K. Rowling comes back and makes her screen writing debut, but the script felt so basic and unimaginative. Aside from some nicely time physical humor, this was a sloppily paced missed opportunity.Our new wizard team comprised of talented actors Eddie Redmayne, Katherine Waterson, Dan Fogler, and Alison Sudol. I'm not sure if it was because the youth and innocence is no longer there (like with the original team at Hogwarts), but I didn't care at all for the team. Fogler, who plays Kowalski, has some great (and I mean great) comedic moments, but I didn't find anything compelling or charismatic about this particular group. Unfortunately, Redmayne gets lost in his obscure quirkiness (as does Ezra Miller for that matter), and Colin Farrell's Graves' character was criminally underused.Speaking of Farrell, I have no idea why he would want to take on such a role. The third act reveals that Farrell is actually the dangerous wizard, Grindelwald undercover. Of course, none other than Johnny Depp himself was officially cast as Grindelwald a few weeks ago for the upcoming films. Why in the world get such a talented actor in Farrell if you're just going to switch him to another famous actor the next second? It just seemed like a waste to me.I hope other people found enjoyment in this film, because I certainly did not. But hey, I still have faith that a sequel could be good. 5 movies? I'm not so sure about, but I wouldn't mind seeing another one of these films. Coming from a big Potter film fan, this was a massive disappointment.+Kowalski provided some entertainment-Farrell wasted-No real heart-The new team is uninteresting and lacks charisma-Surprisingly mediocre CGI4.0/10",no heart or imagination,its always tough reboot or reimagining franchise win over hearts all viewers harry potter films were this generations star wars it was always going be uphill battle fantastic beasts my opinion film never even got off ground with no heart weak visual effects surprisingly little imagination fantastic beasts how get bored turns out most disappointing film going experience this year im going try not compare film too much its predecessors because thats ultimately unfair this was new thing there are only few little references here there characters we knew after all this film takes place 70 years before harry entered hogwarts with that said im not sure what appeal here is without attachment series sure j k rowling comes back makes her screen writing debut but script felt so basic unimaginative aside some nicely time physical humor this was sloppily paced missed opportunity our new wizard team comprised talented actors eddie redmayne katherine waterson dan fogler alison sudol im not sure if it was because youth innocence is no longer there like with original team at hogwarts but i didnt care at all team fogler who plays kowalski has some great i mean great comedic moments but i didnt find anything compelling or charismatic about this particular group unfortunately redmayne gets lost his obscure quirkiness as does ezra miller that matter colin farrells graves character was criminally underused speaking farrell i have no idea why he would want take such role third act reveals that farrell is actually dangerous wizard grindelwald undercover course none other than johnny depp himself was officially cast as grindelwald few weeks ago upcoming films why world get such talented actor farrell if youre just going switch him another famous actor next second it just seemed like waste me i hope other people found enjoyment this film because i certainly did not but hey i still have faith that sequel could be good 5 movies im not so sure about but i wouldnt mind seeing another one these films coming big potter film fan this was massive disappointment kowalski provided some entertainment farrell wasted no real heart new team is uninteresting lacks charisma surprisingly mediocre cgi4 0 10,0.562063935090251,0.041175223412065504,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.31, 'Fear': 0.37}"
8,Magical introduction to the new era wizarding world,"Having grown up with the Harry Potter books, and as someone who found a lot to like with all the films (though admittedly some were better than others), expectations were high for 'Fantastic Beasts and Where to Find Them'. Especially also with such good word of mouth.Those high expectations were met, and more. 'Fantastic Beasts and Where to Find Them' serves as an introduction to the new era of the wizarding world, and not succeeds brilliantly doing that but also works as a magical slice of entertainment in its own. A long film it is, but a vast majority of the time it doesn't feel like it, so engrossing is the world that the film creates.Not all's perfect. 'Fantastic Beasts and Where to Find Them' takes a bit of time to get going, with a slow and overlong introduction that tended to also be confusingly written. Jon Voight is wasted as a character with not much personality or development and with a subplot that practically is forgotten about, both by the viewer and by the film. It is too early to tell how well Grindelwald will fare as a villain, but first impressions weren't that promising with Johnny Depp's performance not really igniting my fire, for somebody who specialises in oddball roles he just seemed too lightweight for such an evil character. This said, the future films I'm sure will turn this around if they keep going forward rather than backward.'Fantastic Beasts and Where to Find Them' lives up to its name visually. The look of the film is spellbinding, from the wonderful use of colour, with perfectly contrasting shades of light and dark, to cinematography that is never garish and too simple or murky and convoluted, a standout of the latter being that long shot of Credence and Graves in the alley. The standout is easily for the interiors of the suitcase, our looks of awe matching the characters'. Even better are the special effects for the creatures, all of which are technical marvels. This said they are more than that, they are also creatures with their own distinct identity and purpose, as great as Demiguise, Occamy and Thunderbird the standout is the adorable Niffler who also provides some of the biggest and best laughs.James Newton Howard's music score has the right amount of the haunting, the whimsical, the ethereal and the rousing, always dynamic with the action and what's going on in the film. The script has some grim social-commentary and suspense, which gives the film its darkness, while also bringing some perfectly pitched humour (mostly from Jacob and the Niffler), poignant emotion and sense of wonder, while balancing these different tones in a way that never makes one think ""it's trying to be too many things"" or ""it doesn't know what it wants to be"". The references to details from Harry Potter will make die-hard fans squeal with delight, they certainly gave me a sense of nostalgia. There is a lot going on in the story, but all in a way that is told with charm, exuberant and offbeat wit, enchanting imagination and nail-biting suspense. Loved the little details as well, such as the wand-shining house elfs, the bake-offs, the office-cleaning and the magically translucent umbrellas.David Yates was more than ideal as director, having the firm ground from having directed the last four Harry Potter films. There are no complaints to be had visually and technically, and, other than the slow start, could find little to fault with the way the story was told. The characters are well drawn and their personalities well established, with the only real glaring exception being with Voight's character. Found myself really caring for the heroes and the creatures, and got a real sense of threat from the villains (excepting Grindelwald).Acting was top notch, apart from Depp (and Voight doesn't really have much to work with to make any distinction), with Eddie Redmayne on superbly eccentric and endearingly quirky form. He is ideally matched by an affecting Alison Sudol, a charming Katherine Waterson and a highly amusing and amiable Dan Folger. On villain duty is Colin Farrell playing his dastardly role with smarmy relish and a chilling and heart-breakingly repressed Ezra Miller, though the latter is more ambiguous as a character whereas the former is full-on villainous. Samantha Morton also impresses.On the whole, a magical introduction to the new era wizarding world, and mostly it is fantastic. 8/10 Bethany Cox",magical introduction new era wizarding world,having grown up with harry potter books as someone who found lot like with all films though admittedly some were better than others expectations were high fantastic beasts where find them especially also with such good word mouth those high expectations were met more fantastic beasts where find them serves as introduction new era wizarding world not succeeds brilliantly doing that but also works as magical slice entertainment its own long film it is but vast majority time it doesnt feel like it so engrossing is world that film creates not alls perfect fantastic beasts where find them takes bit time get going with slow overlong introduction that tended also be confusingly written jon voight is wasted as character with not much personality or development with subplot that practically is forgotten about both by viewer by film it is too early tell how well grindelwald will fare as villain but first impressions werent that promising with johnny depps performance not really igniting my fire somebody who specialises oddball roles he just seemed too lightweight such evil character this said future films im sure will turn this around if they keep going forward rather than backward fantastic beasts where find them lives up its name visually look film is spellbinding wonderful use colour with perfectly contrasting shades light dark cinematography that is never garish too simple or murky convoluted standout latter being that long shot credence graves alley standout is easily interiors suitcase our looks awe matching characters even better are special effects creatures all which are technical marvels this said they are more than that they are also creatures with their own distinct identity purpose as great as demiguise occamy thunderbird standout is adorable niffler who also provides some biggest best laughs james newton howards music score has right amount haunting whimsical ethereal rousing always dynamic with action whats going film script has some grim social commentary suspense which gives film its darkness while also bringing some perfectly pitched humour mostly jacob niffler poignant emotion sense wonder while balancing these different tones way that never makes one think its trying be too many things or it doesnt know what it wants be references details harry potter will make die hard fans squeal with delight they certainly gave me sense nostalgia there is lot going story but all way that is told with charm exuberant offbeat wit enchanting imagination nail biting suspense loved little details as well such as wand shining house elfs bake offs office cleaning magically translucent umbrellas david yates was more than ideal as director having firm ground having directed last four harry potter films there are no complaints be had visually technically other than slow start could find little fault with way story was told characters are well drawn their personalities well established with only real glaring exception being with voights character found myself really caring heroes creatures got real sense threat villains excepting grindelwald acting was top notch apart depp voight doesnt really have much work with make any distinction with eddie redmayne superbly eccentric endearingly quirky form he is ideally matched by affecting alison sudol charming katherine waterson highly amusing amiable dan folger villain duty is colin farrell playing his dastardly role with smarmy relish chilling heart breakingly repressed ezra miller though latter is more ambiguous as character whereas former is full villainous samantha morton also impresses whole magical introduction new era wizarding world mostly it is fantastic 8 10 bethany cox,0.5591739888274541,0.21100231451716597,Positive,"{'Happy': 0.14, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.38}"
