Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
4.0,Lestranger than fiction,"I'd really love to tell you about the plot. I really would! But I would struggle to pull all the multitude of strands together from J.K. Rowling's story and coherently explain them to anyone. If Rowling had put ten thousand monkeys (not a million - it's no bloody Shakespeare) into a room with typewriters and locked the door I wouldn't be surprised.Let me try at a high level..... The arch-criminal wizard Grindelwald (Johnny Depp) is being tortured in 'Trump Tower', but manages to escape and flees to Paris in pursuit of a mysterious circus performer called Credence (Ezra Miller) and his bewitched companion Nagini (nudge, nudge, wink, wink) played fetchingly by Claudia Kim. Someone needs to stop him, and all eyes are on Albus Dumbledore (Jude Law). But he is unable to do so, since he and Grindelwald are ""closer than brothers"" (nudge, nudge, wink, wink). So a reluctant and UK-grounded Newt Scamander (Eddie Redmayne) is smuggled into the danger zone... which suits him just fine since his love Tina (Katherine Waterston) is working for the ministry there, and the couple are currently estranged due to a (topical) bout of 'Fake News'.Throw in a potential love triangle between Newt, his brother Theseus (Callum Turner) and old Hogwart's schoolmate Leta Lestrange (Zoë Kravitz) and about a half dozen other sub-plots and you have... well... a complete muggle - - sorry - - muddle.Above all, I really can't explain the crux of the plot. A venerable diarrhoea of exposition in a crypt, during an inexplicably quiet fifteen minutes (given 'im-who-can-be-named is next door with about a thousand other people!) left me completely bewildered. A bizarre event at sea (no spoilers) would seem to make absolutely NO SENSE when considered with another reveal at the end of the film. I thought I must have clearly missed something... or I'd just not been intelligent enough to process the information.... or.... it was actually completely bonkers! Actually, I think it's the latter: in desperation I went on a fan site that tried to explain the plot. While it was explained there, the explanation aligned with what I thought had happened: but it made no mention of the ridiculousness of the random coincidence involved!The film's a mess. Which is a shame since everyone involved tries really hard. Depp oozes evil very effectively (he proves that nicely on arriving in Paris, and doubles-down about 5 minutes later: #veryverydark). Redmayne replays his Newt-act effectively but once again (and I see I made the same comments in my ""Fantastic Beasts"" review) his character mumbles again so much that many of his lines are unintelligible.I also complained last time that the excellent actress Katherine Waterston was criminally underused as the tentative love interest Tina. this trend unfortunately continues unabated in this film.... you'll struggle afterwards to write down what she actually did in this film.Jacob (Dan Fogler) and Queenie (Alison Sudol, looking for all the world in some scenes like Rachel Weisz) reprise their roles in a sub-plot that goes nowhere in particular.Of the newcomers, Jude Law as Dumbledore is a class-act but has very little screen time: hopefully he will get more to do next time around. Zoë Kravitz impresses as Leta.As you would expect from a David Yates / David Heyman Potter collaboration, the product design, costume design and special effects are all excellent. Some scenes are truly impressive - an 'explosion' in a Parisian garret is particularly spectacular. But special effects alone do not a great film make. Many reviews I've seen complain that this was a 'filler' film... a set-up film for the rest of the series. And I can understand that view. If you analyse the film overall, virtually NOTHING of importance actually happens: it's like the ""Order of the Phoenix"" of the prequels.I dragged myself along to see this one because ""I thought I should"". The third in the series will really need to sparkle to make me want to see it. If J.K. Rowling were to take me advice (she won't - she NEVER returns my calls!) then she would sculpt the story-arc but leave the screenwriting to someone better. The blame for this one, I'm afraid, lies at Rowling's door alone.",lestranger than fiction,id really love tell you about plot i really would but i would struggle pull all multitude strands together j k rowlings story coherently explain them anyone if rowling had put ten thousand monkeys not million its no bloody shakespeare into room with typewriters locked door i wouldnt be surprised let me try at high level arch criminal wizard grindelwald johnny depp is being tortured trump tower but manages escape flees paris pursuit mysterious circus performer called credence ezra miller his bewitched companion nagini nudge nudge wink wink played fetchingly by claudia kim someone needs stop him all eyes are albus dumbledore jude law but he is unable do so since he grindelwald are closer than brothers nudge nudge wink wink so reluctant uk grounded newt scamander eddie redmayne is smuggled into danger zone which suits him just fine since his love tina katherine waterston is working ministry there couple are currently estranged due topical bout fake news throw potential love triangle between newt his brother theseus callum turner old hogwarts schoolmate leta lestrange zo kravitz about half dozen other sub plots you have well complete muggle sorry muddle above all i really cant explain crux plot venerable diarrhoea exposition crypt during inexplicably quiet fifteen minutes given im who can be named is next door with about thousand other people left me completely bewildered bizarre event at sea no spoilers would seem make absolutely no sense when considered with another reveal at end film i thought i must have clearly missed something or id just not been intelligent enough process information or it was actually completely bonkers actually i think its latter desperation i went fan site that tried explain plot while it was explained there explanation aligned with what i thought had happened but it made no mention ridiculousness random coincidence involved films mess which is shame since everyone involved tries really hard depp oozes evil very effectively he proves that nicely arriving paris doubles down about 5 minutes later redmayne replays his newt act effectively but once again i see i made same comments my fantastic beasts review his character mumbles again so much that many his lines are unintelligible i also complained last time that excellent actress katherine waterston was criminally underused as tentative love interest tina this trend unfortunately continues unabated this film youll struggle afterwards write down what she actually did this film jacob dan fogler queenie alison sudol looking all world some scenes like rachel weisz reprise their roles sub plot that goes nowhere particular newcomers jude law as dumbledore is class act but has very little screen time hopefully he will get more do next time around zo kravitz impresses as leta as you would expect david yates david heyman potter collaboration product design costume design special effects are all excellent some scenes are truly impressive explosion parisian garret is particularly spectacular but special effects alone do not great film make many reviews ive seen complain that this was filler film set up film rest series i can understand that view if you analyse film overall virtually nothing importance actually happens its like order phoenix prequels i dragged myself along see this one because i thought i should third series will really need sparkle make me want see it if j k rowling were take me advice she wont she never returns my calls then she would sculpt story arc but leave screenwriting someone better blame this one im afraid lies at rowlings door alone,0.4700081400081399,0.088390059015059,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.33, 'Sad': 0.24, 'Fear': 0.28}"
,I don't understand the story,"The visuals are great, but there is no story. The film is just a collage of scenes with strange creatures appearing for no reason at all. The vast number of characters don't help to make the plot any easier to decipher. The only scenes that I enjoyed are the ones in Hogwarts. That's because at least I know what they are about.",i dont understand story,visuals are great but there is no story film is just collage scenes with strange creatures appearing no reason at all vast number characters dont help make plot any easier decipher only scenes that i enjoyed are ones hogwarts thats because at least i know what they are about,0.6666666666666666,0.15833333333333333,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.33, 'Fear': 0.33}"
3.0,The magic has gone,"A totally dysfunctional and unrelated cast, an incomprehensible story and tons and tons of computer graphics. The result is a confusing and totally boring movie. A waste of money.",magic has gone,totally dysfunctional unrelated cast incomprehensible story tons tons computer graphics result is confusing totally boring movie waste money,0.63,-0.2,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
4.0,I don't even remember it,"The one thing this movie successfully does, is cast an obliviate on you. I literally just watched it, and I don't even remember what it's about. The magical element of this film is simply having so much happen, while simultaneously, nothing really happens.There's a little bit of nostalgia, with Easter eggs and great visuals; the actors are great- Johnny Depp has the most menacing introduction I've seen; Jude Law convinced me that he is young Dumbledore; the music is spectacular. But none of that can hide the truth of the fact that this movie is just BORING.There is literally so much plot thrown at you non-stop. The movie expects you to care about, invest in and remember so many characters, that at some point, you mentally clock out. I'm an intense potterhead, and I love learning more l about the wizarding world. But this is just too much information, being force-fed in very little time. I've enjoyed every single Harry Potter film so far... but I just can't stomach this story.Remember at the end of the first Fantastic Beasts movie, when you enjoyed watching it,but you hesitated to gravitate towards it. You had a small shred of doubt if it was a one time thing,or does this genuinely have the potential to be something incredible. There's no longer a doubt.",i dont even remember it,one thing this movie successfully does is cast obliviate you i literally just watched it i dont even remember what its about magical element this film is simply having so much happen while simultaneously nothing really happens theres little bit nostalgia with easter eggs great visuals actors are great johnny depp has most menacing introduction ive seen jude law convinced me that he is young dumbledore music is spectacular but none that can hide truth fact that this movie is just boring there is literally so much plot thrown at you non stop movie expects you care about invest remember so many characters that at some point you mentally clock out im intense potterhead i love learning more l about wizarding world but this is just too much information being force fed very little time ive enjoyed every single harry potter film so far but i just cant stomach this story remember at end first fantastic beasts movie when you enjoyed watching it but you hesitated gravitate towards it you had small shred doubt if it was one time thing or does this genuinely have potential be something incredible theres no longer doubt,0.6130568356374806,0.21765552995391707,Positive,"{'Happy': 0.27, 'Angry': 0.03, 'Surprise': 0.33, 'Sad': 0.07, 'Fear': 0.3}"
6.0,overloaded,"In 1927 New York City, evil wizard Grindelwald (Johnny Depp) escapes a prison transport and heads to Paris with his supporters. In London, Newt Scamander (Eddie Redmayne) refuses British Ministry of Magic's command to hunt Grindelwald. It's revealed that it was Albus Dumbledore (Jude Law) who sent Newt to NYC and this time he sends him to Paris. Newt is joined by Jacob Kowalski (Dan Fogler). Tina Goldstein (Katherine Waterston) is already there searching for lost pure-blood wizard Credence Barebone (Ezra Miller) along with everyone else. Her sister Queenie (Alison Sudol) falls under the persuasion of Grindelwald.This has plenty of wizarding whiz bangs. It has too much twisting back-bending back stories. Some of the characters are acting in strange ways. This is overloaded. J. K. Rowling should consider not writing for the novel but concentrate on writing for the movie. There is too much of everything. I don't understand Queenie's dark turn. I hoped that she was playing along but that seems extremely unlikely. For some reason, Tina has turned a lot colder. I didn't understand the significance of Credence at the start which makes his reveal less compelling. This movie follows a dozen main characters which is about six too many. For Potter fans, this is a must but this prequel franchise is not a necessity for casual fans.",overloaded,1927 new york city evil wizard grindelwald johnny depp escapes prison transport heads paris with his supporters london newt scamander eddie redmayne refuses british ministry magics command hunt grindelwald its revealed that it was albus dumbledore jude law who sent newt nyc this time he sends him paris newt is joined by jacob kowalski dan fogler tina goldstein katherine waterston is already there searching lost pure blood wizard credence barebone ezra miller along with everyone else her sister queenie alison sudol falls under persuasion grindelwald this has plenty wizarding whiz bangs it has too much twisting back bending back stories some characters are acting strange ways this is overloaded j k rowling should consider not writing novel but concentrate writing movie there is too much everything i dont understand queenies dark turn i hoped that she was playing along but that seems extremely unlikely some reason tina has turned lot colder i didnt understand significance credence at start which makes his reveal less compelling this movie follows dozen main characters which is about six too many potter fans this is must but this prequel franchise is not necessity casual fans,0.3394830659536542,-0.03819709702062643,Negative,"{'Happy': 0.0, 'Angry': 0.07, 'Surprise': 0.24, 'Sad': 0.34, 'Fear': 0.34}"
2.0,Even The Last Jedi wasn't this incompetent,"THE LAST JEDI is often reviled as far as recent blockbusters go, but at least the editing was competent and the story, while problematic and too eager to shock at the expense of logic or characterization, was coherent. THE CRIMES OF GRINDELWALD cannot claim any of these modest skills. The opening escape scene is a masterpiece of horrible editing, camerawork, and lighting. And it all goes downhill from there.This movie basically exists to set up later movies. The story just spins and spins, and when it finally goes somewhere, you've not only been bored out of your mind for two and a half hours, but annoyed by the preposterous decisions the characters make-- Queenie joining the wizard equivalent of Nazis so she can marry a Muggle is the most nonsensical thing, and the flashback on the Titanic would have made me laugh had it not been so infuriatingly stupid.The creatures are cute and the world design is nice, but that's all that saves GRINDELWALD from being 100% unwatchable. As it is, it's pretty close to that mark!",even last jedi wasnt this incompetent,last jedi is often reviled as far as recent blockbusters go but at least editing was competent story while problematic too eager shock at expense logic or characterization was coherent crimes grindelwald cannot claim any these modest skills opening escape scene is masterpiece horrible editing camerawork lighting it all goes downhill there this movie basically exists set up later movies story just spins spins when it finally goes somewhere youve not only been bored out your mind two half hours but annoyed by preposterous decisions characters make queenie joining wizard equivalent nazis so she can marry muggle is most nonsensical thing flashback titanic would have made me laugh had it not been so infuriatingly stupid creatures are cute world design is nice but thats all that saves grindelwald being 100 unwatchable as it is its pretty close that mark,0.6356060606060606,-0.007575757575757574,Negative,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.16, 'Fear': 0.48}"
5.0,The Sole Purpose To Milk In Other Sequels,"The first ""Fantastic Beasts"" film can easily stand alone as engaging new series for the viewers who are still hungry for new material in the world author J.K. Rowling created which is the Wizarding World. And sure we were told in advance that we were going to get five more movie adaptations in the future, I was excited about seeing this spin-off from the very successful Harry Potter films that came out between 2002-2012. Sure not everyone liked ""Fantastic Beasts and Where to Find Them"", I managed to find it ever so enjoyable as a welcome addition to the Wizarding World. It may sound like a cliche what I'm about to say, but ""Fantastic Beasts: The Crimes of Griendelwald"" failed to live up to the standards that the first installment measured up to. I can't remember a time when a movie like this was so muddled, watching what could gave been a simple viewing pleasure would end up so labouring.If there was a plot to this installment, I wonder where it is hiding, because this movie is so convoluted it's all over the place. I tried my hardest to follow through, but it just meanders from one scenario after another and trying to decipher it gave me a migraine. I even watched it again to see what I missed, only to end up regretting it later on as I ran out of pills. It tries to stay in the tradition of the myth behind the Harry Potter lore, but fails to stand on its own. If you're a Potter fan you will likely get a better understanding of the goings-on in the movie. But casual movie viewers will be overwhelmed.I can at times just skim through the details knowing the series pretty much by knowing what to expect and the adventures of what's to come, but in ""Crimes of Grindelwald"" you don't see very all that much because the sole purpose of this film is only to cash in a reminder that there are other films in this franchise to follow. It gets to the point that it could become quite tedious as scenes are rushed with no full explaining which results in everything being quite empty. Sure there is some CGI magic featured here, but it still isn't enough to carry the film in terms of plot, story or theme. Just all style and no substance.The indecisiveness in where it wants to go can be nauseating and the editing seems very absent in the long turn. Scenes are presented in little fragments and then are forgotten and only come back later again without any full explaining going on. There are way too many characters in the movie and they have no real significance to them to care about or even have something to grab our attention. In order to get the better feel of the plot, the need to introduce the characters one more time and to find a surface where the subplots intertwine. There are old characters and newer ones, unfortunately none really do much service because too many things happening and very little is coming out.Though the bad outweighs the good stuff, ""Crimes of Grindelwald"" can at least claim that the characters coming back was a pleasure in addition the newer ones offer some kind of hope for the future like Jude Law as a young Dumbledore. Also though not very well-rounding the wizardry effects were very impressive. It would be a scintillating run if Rowling lets us in on the wizardry in Paris. However, there are some scene set there that are put into doubt. With a little hope, we might get more of our questions fulfilled. I guess we'll have to be patient until then.In the end, it's highly questionable if this sequel will be of equal significance to what is yet to come. Right now all I can say is this second installment is an utter mess. Too many things happening and not enough story being told. This can turn off a lot of people from wanting to see this movie. If this was like a puzzle it may have the pieces, however I hope that the next installments can places them together. We can only hope for the better.",sole purpose milk other sequels,first fantastic beasts film can easily stand alone as engaging new series viewers who are still hungry new material world author j k rowling created which is wizarding world sure we were told advance that we were going get five more movie adaptations future i was excited about seeing this spin off very successful harry potter films that came out between 2002 2012 sure not everyone liked fantastic beasts where find them i managed find it ever so enjoyable as welcome addition wizarding world it may sound like cliche what im about say but fantastic beasts crimes griendelwald failed live up standards that first installment measured up i cant remember time when movie like this was so muddled watching what could gave been simple viewing pleasure would end up so labouring if there was plot this installment i wonder where it is hiding because this movie is so convoluted its all over place i tried my hardest follow through but it just meanders one scenario after another trying decipher it gave me migraine i even watched it again see what i missed only end up regretting it later as i ran out pills it tries stay tradition myth behind harry potter lore but fails stand its own if youre potter fan you will likely get better understanding goings movie but casual movie viewers will be overwhelmed i can at times just skim through details knowing series pretty much by knowing what expect adventures whats come but crimes grindelwald you dont see very all that much because sole purpose this film is only cash reminder that there are other films this franchise follow it gets point that it could become quite tedious as scenes are rushed with no full explaining which results everything being quite empty sure there is some cgi magic featured here but it still isnt enough carry film terms plot story or theme just all style no substance indecisiveness where it wants go can be nauseating editing seems very absent long turn scenes are presented little fragments then are forgotten only come back later again without any full explaining going there are way too many characters movie they have no real significance them care about or even have something grab our attention order get better feel plot need introduce characters one more time find surface where subplots intertwine there are old characters newer ones unfortunately none really do much service because too many things happening very little is coming out though bad outweighs good stuff crimes grindelwald can at least claim that characters coming back was pleasure addition newer ones offer some kind hope future like jude law as young dumbledore also though not very well rounding wizardry effects were very impressive it would be scintillating run if rowling lets us wizardry paris however there are some scene set there that are put into doubt with little hope we might get more our questions fulfilled i guess well have be patient until then end its highly questionable if this sequel will be equal significance what is yet come right now all i can say is this second installment is utter mess too many things happening not enough story being told this can turn off lot people wanting see this movie if this was like puzzle it may have pieces however i hope that next installments can places them together we can only hope better,0.5414935064935065,0.14363986503692383,Positive,"{'Happy': 0.13, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.18, 'Fear': 0.38}"
4.0,"Grindelwald, Dumbledore, Newt and 1000 other things","A movie this expensive and with a fan base as large as that has no right being this awful.The problem lies within the conception of this new saga. Either you tell a story of a magical zookeper with his cute baby Nifflers and quirky adventures to make children and easy to please adults go ""awwww"" or you tell a convoluted story about gay love, Dumbledore, Nazis and the Wizarding World War.Those should be two different things.They don't gel together at all.Why is Newt seen as a perfect candidate to look for Credence? Just so he can be in the movie again? The less said about the return of Jacob the better. Nagini is now a girl with a curse on her? And wizards pay to see her change into a snake in a circus. But Rowling already established, that changing into animals is what many wizards can do and it shouldn't be special at all. Even teachers and journalists in Harry Potter could do it. All this does is make everything more confusing. So Neville killed a Korean lady in the last movie? How awful! Way to steal his moment!It's just things like this that drag this movie down. The Titanic, Leta LeStrange, brother of Newt, Tina, Queenie (roofing Jacob to marry him, then joining the Nazis???), Grindelwald, Dumbledore, Credence (Dumbledore's brother?) .. the list goes on an on. This movie is bloated and stuffed with too many characters and plot lines I didn't care about. This is what you get when you want to please everyone.It made me smile when, at the end of the movie, all characters stand on the bridge at Hogwarts just to look at Newt having a talk with Dumbledore while being out of earshot. It's just a hilarious b-movie moment and that the director was serious about it makes it even more funny.This movie stumbles around with Newt and his fantastic beasts tied to one leg and a heap of uninteresting charactes on the other, being always where the plot needs him to. He has no business being there - similar to this movie.JK Rowling and Warner seem to think that all fans want is more lore thrown at them. But it's the characters that drew us into the world of Harry Potter.This franchise is in trouble. You can see it already by the evolution of the respective movie posters. In FANTASTIC BEASTS AND WHERE TO FIND THEM, the main characters and 20's New York are on the cover. Next up in GRINDELWALD are a boatload of characters and the Eiffel tower in the background (FANTASTIC BEASTS already very small in the logo). And for DUMBLEDORE'S SECRETS (part 3) we have Hogwarts big on the cover. It's like Warner, Rowling and the producers are so desperate as to shout ""Please come back, it's about Hogwarts again!!! It's things you know!! Nostalgia!!""I think people are already more discerning today and don't have blind loyalty to a franchise that just doesn't deliver and doesn't know what it wants. It's gonna be tough if they really want to make 5 movies total of these. I can't see this gaining more fans over time.I give it 4/10 because relative to it's budget and fan base, it was just awful.By the way - what were the crimes of Grindelwald? Were that numerous that they warrant this title? I think not.",grindelwald dumbledore newt 1000 other things,movie this expensive with fan base as large as that has no right being this awful problem lies within conception this new saga either you tell story magical zookeper with his cute baby nifflers quirky adventures make children easy please adults go awwww or you tell convoluted story about gay love dumbledore nazis wizarding world war those should be two different things they dont gel together at all why is newt seen as perfect candidate look credence just so he can be movie again less said about return jacob better nagini is now girl with curse her wizards pay see her change into snake circus but rowling already established that changing into animals is what many wizards can do it shouldnt be special at all even teachers journalists harry potter could do it all this does is make everything more confusing so neville killed korean lady last movie how awful way steal his moment its just things like this that drag this movie down titanic leta lestrange brother newt tina queenie roofing jacob marry him then joining nazis grindelwald dumbledore credence dumbledores brother list goes this movie is bloated stuffed with too many characters plot lines i didnt care about this is what you get when you want please everyone it made me smile when at end movie all characters stand bridge at hogwarts just look at newt having talk with dumbledore while being out earshot its just hilarious b movie moment that director was serious about it makes it even more funny this movie stumbles around with newt his fantastic beasts tied one leg heap uninteresting charactes other being always where plot needs him he has no business being there similar this movie jk rowling warner seem think that all fans want is more lore thrown at them but its characters that drew us into world harry potter this franchise is trouble you can see it already by evolution respective movie posters fantastic beasts where find them main characters 20s new york are cover next up grindelwald are boatload characters eiffel tower background fantastic beasts already very small logo dumbledores secrets part 3 we have hogwarts big cover its like warner rowling producers are so desperate as shout please come back its about hogwarts again its things you know nostalgia i think people are already more discerning today dont have blind loyalty franchise that just doesnt deliver doesnt know what it wants its gonna be tough if they really want make 5 movies total these i cant see this gaining more fans over time i give it 4 10 because relative its budget fan base it was just awful by way what were crimes grindelwald were that numerous that they warrant this title i think not,0.550415718932668,0.04658510039865973,Positive,"{'Happy': 0.11, 'Angry': 0.01, 'Surprise': 0.26, 'Sad': 0.22, 'Fear': 0.4}"
1.0,"When I first saw the trailers for this movie, I thought it was going to suck. But, once I sat down and watched the movie, much to my surprise...I was right.","This is probably my least favourite movie of the year. There are way too many characters with way too many subplots going on all at once, the villain was horribly miscast, everything was confusing and didn't make sense, the story was unfocused and pointless, there was way too much pointless fanservice, everything looked grey, it was BORING, and the whole thing only exists to set up sequels! So, yeah, this one's pretty bad. It's a new low for Warner Brothers and this franchise, and....hold on, wait a minute, there must be a mistake. I'm listing off all the reasons that I hated Batman v Superman, not Fantastic Beasts 2. Oh? They both have the exact same problems? Okay then! Screw this movie! I sure as hell am not seeing the next one until it comes out on demand! They have officially lost my interest!",when i first saw trailers this movie i thought it was going suck but once i sat down watched movie much my surprise i was right,this is probably my least favourite movie year there are way too many characters with way too many subplots going all at once villain was horribly miscast everything was confusing didnt make sense story was unfocused pointless there was way too much pointless fanservice everything looked grey it was boring whole thing only exists set up sequels so yeah this ones pretty bad its new low warner brothers this franchise hold wait minute there must be mistake im listing off all reasons that i hated batman v superman not fantastic beasts 2 oh they both have exact same problems okay then screw this movie i sure as hell am not seeing next one until it comes out demand they have officially lost my interest,0.5275199080754637,-0.07161028272139384,Negative,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.29, 'Fear': 0.35}"
4.0,Utterly confusing,"Almost impossible to keep up with what was going on! Just jumped from one thing to the next with no development, such a shame",utterly confusing,almost impossible keep up with what was going just jumped one thing next with no development such shame,0.475,-0.24166666666666664,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
