Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
6,"Visually stunning, lacked depth","No surprise that the visuals were breathtaking, some beautiful shots and immersive cinematography. However, there was no depth to the plot. Some lovely character moments.",visually stunning lacked depth,no surprise that visuals were breathtaking some beautiful shots immersive cinematography however there was no depth plot some lovely character moments,0.9375,0.7125,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.44}"
7,NOTHING FELT EARNED.,"Though the style part was enjoyable on it's own; the cinematography, special effects, costumes, score, set design and much of the acting was brilliant. It felt great to lose myself into the feel of the wizarding world again. But the plot and the writing felt unanchored in anything real or relatable. Nothing felt earned. Events just happened without much anticipation or appreciation of their significance, and I didn't feel invested much in any of the plot lines or characters. I'm not expert enough to pinpoint exactly what went wrong, but I know something did.",nothing felt earned,though style part was enjoyable its own cinematography special effects costumes score set design much acting was brilliant it felt great lose myself into feel wizarding world again but plot writing felt unanchored anything real or relatable nothing felt earned events just happened without much anticipation or appreciation their significance i didnt feel invested much any plot lines or characters im not expert enough pinpoint exactly what went wrong but i know something did,0.5226190476190476,0.29226190476190483,Positive,"{'Happy': 0.21, 'Angry': 0.05, 'Surprise': 0.16, 'Sad': 0.37, 'Fear': 0.21}"
1,Brain Rot,"I will say that the visuals were amazing. I thought the cinematography was amazing. However that is where I get off the train.Even if they had Johnny Depp, the movie would have still sucked. Sure, Mikkelsen is a fine actor and he did the best he could, but his acting for Grindelwald is like trying to compare Heath Ledger's The Joker to Jack Nicholson's version. Both are good, but one is demented and insane while the other is a comic book impression. Depp was far more sinister, dark and abusive. I found Mikkelsen sort of like a step dad who wanted to punish you for breaking his bowling trophy but only gave you a long winded discussion about how you need to respect the possession of others. There was no fire. There was no anger. There was no evil.I blame the script writers/the author, along with a lot more blame going to Warner Bros. The script was predictable and boring. I thought the idea of the animal (the Qilin) picking the next leader as poor of a plot device as the 'time turner'. Lame. I found the multiple story arcs weak and contrived. The script could have been a lot better. The story could have been a lot better.I dismiss the idea that JK Rowling did a good job with this story. I found no magic in the story, not like the magic felt in the first movie or book. In fact, I have found this entire series lackluster. Yes, there are good characters and there were scenes which I liked out of the series of movies. However, I found the ""Fantastic Creatures"" as if she gave up writing and said, ""I'm tired, this will have to do"".I found the script was nothing more than filler that had no purpose other than to take up space and time. Take for example the story arc about assassinating the Brazilian candidate. Why? Absolutely filler for the story. This plot device was not needed.Anton Vogel was a weak and unintelligent character. Did he forget who Grindelwald was and why he was being held in a maximum security prison with his entire body encased in chains and braces? Oh, yeah, his followers would have blood in the streets. What total crap. This is such a weak plot device that I want to scream. Did JK Rowling completely forget the other books/movies?Too many Deus ex machina. Too many poorly constructed, illogical story arcs. Too much continuity toss out the window.Overall, the CG was the highlight of the movie. The rest of it I dismiss. It's really lazy and sloppy writing. I do not blame the casting or the director. They did the best that they could with the material they were given.",brain rot,i will say that visuals were amazing i thought cinematography was amazing however that is where i get off train even if they had johnny depp movie would have still sucked sure mikkelsen is fine actor he did best he could but his acting grindelwald is like trying compare heath ledgers joker jack nicholsons version both are good but one is demented insane while other is comic book impression depp was far more sinister dark abusive i found mikkelsen sort like step dad who wanted punish you breaking his bowling trophy but only gave you long winded discussion about how you need respect possession others there was no fire there was no anger there was no evil i blame script writers author along with lot more blame going warner bros script was predictable boring i thought idea animal qilin picking next leader as poor plot device as time turner lame i found multiple story arcs weak contrived script could have been lot better story could have been lot better i dismiss idea that jk rowling did good job with this story i found no magic story not like magic felt first movie or book fact i have found this entire series lackluster yes there are good characters there were scenes which i liked out series movies however i found fantastic creatures as if she gave up writing said im tired this will have do i found script was nothing more than filler that had no purpose other than take up space time take example story arc about assassinating brazilian candidate why absolutely filler story this plot device was not needed anton vogel was weak unintelligent character did he forget who grindelwald was why he was being held maximum security prison with his entire body encased chains braces oh yeah his followers would have blood streets what total crap this is such weak plot device that i want scream did jk rowling completely forget other books movies too many deus ex machina too many poorly constructed illogical story arcs too much continuity toss out window overall cg was highlight movie rest it i dismiss its really lazy sloppy writing i do not blame casting or director they did best that they could with material they were given,0.603831417624521,0.07241379310344828,Positive,"{'Happy': 0.08, 'Angry': 0.06, 'Surprise': 0.32, 'Sad': 0.24, 'Fear': 0.31}"
2,"It puts the ""dumb"" in Dumbledore","It's sometimes funny and often creative, and it's an improvement over its predecessor by default, simply because rather than only 5% of the plot being consequential, about 30% of the plot is consequential.In fact, the best thing I can say about this ""film"" is that you can go to the bathroom during it without worrying about missing something; there's hardly anything important to miss.Just like the last movie, this has a screenplay that desperately tries to find reasons to keep these characters in the story, and it fails spectacularly. 90% of the characters could be missing from the story, or replaced with planks of wood, and not a single thing of note would change.The story just consist of characters wandering around and either chilling in the background or completing a task that has absolutely no bearing on the main conflict. It's a two and a half hour movie that should be an hour long.Even though the magic is creative, it's so inconsistent and so confusing in how it works that it's frustrating to watch rather than awe-inspiring.In fact, most of the things that happen in the movie don't make any sense. They rely on characters knowing things that they couldn't possibly have known. They rely on people acting in ways that are so unfathomably stupid and are not in line with who they were shown to be earlier in these three movies. It's a story in which not a single plot point can withstand the slightest amount of logical scrutiny.The writing is so insultingly idiotic that at one point in the film, when a character questions a plot point that doesn't make any sense, Dumbledore actually says ""Let's call it fate,"" ignoring the question entirely.That was JK Rowling saying to her stupid mob of gullible fans, ""Screw you. I don't even have to try anymore. Nothing has to add up or be consistent. You'll watch it and love it anyway.""Lastly, this movie has ZERO character development. Nobody learns anything, nobody does anything special, nobody even IS anything. It's a story populated by husks of human beings, and none of them are even remotely relatable or understandable. In fact, most of them are briefly shown and then forgotten about until the end of the movie.Just as in ""Crimes of Grindlewald,"" Grindlewald hardly committed any crimes, in ""Secrets of Dumbledore,"" Dumbledore only has one secret, and it doesn't even have any bearing on the story. How fitting. It's false, just like this movie. It's barely a movie.Stop making these, please.",it puts dumb dumbledore,its sometimes funny often creative its improvement over its predecessor by default simply because rather than only 5 plot being consequential about 30 plot is consequential fact best thing i can say about this film is that you can go bathroom during it without worrying about missing something theres hardly anything important miss just like last movie this has screenplay that desperately tries find reasons keep these characters story it fails spectacularly 90 characters could be missing story or replaced with planks wood not single thing note would change story just consist characters wandering around either chilling background or completing task that has absolutely no bearing main conflict its two half hour movie that should be hour long even though magic is creative its so inconsistent so confusing how it works that its frustrating watch rather than awe inspiring fact most things that happen movie dont make any sense they rely characters knowing things that they couldnt possibly have known they rely people acting ways that are so unfathomably stupid are not line with who they were shown be earlier these three movies its story which not single plot point can withstand slightest amount logical scrutiny writing is so insultingly idiotic that at one point film when character questions plot point that doesnt make any sense dumbledore actually says lets call it fate ignoring question entirely that was jk rowling saying her stupid mob gullible fans screw you i dont even have try anymore nothing has add up or be consistent youll watch it love it anyway lastly this movie has zero character development nobody learns anything nobody does anything special nobody even is anything its story populated by husks human beings none them are even remotely relatable or understandable fact most them are briefly shown then forgotten about until end movie just as crimes grindlewald grindlewald hardly committed any crimes secrets dumbledore dumbledore only has one secret it doesnt even have any bearing story how fitting its false just like this movie its barely movie stop making these please,0.535309523809524,0.01507142857142857,Positive,"{'Happy': 0.06, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.31}"
6,Convoluted,"The Secrets of Dumbledore is convoluted by inconsequential plotlines and redundant characters. It's so unfocused, it doesn't have a consistent tone or protagonist. The film centers around wizarding politics, but doesn't elaborate on them. This shrinks the Potterverse and satisfies nobody. Meanwhile, Redmayne and Law's protagonist duet is equally unsatisfying. Oddly, no character feels essential (besides Grindelwald) and action sequences don't progress the story. Ultimately, the movie is overstuffed and develops nothing. Mikkelsen and Fogler excel in their limited roles, but they're sparse in this jumble. Without streamlining, The Secrets of Dumbledore is emotionally uninspired.Technically, The Secrets of Dumbledore is disappointing. First, the effects are overdone. Earlier action is compelling, but the finale is undercut by excessive CGI. Plus, the production design in that final act feels empty. Squandering the union of fantasy and period dressings, the climax is woefully shallow. Furthermore, the editing is bloated and arbitrary because scenes don't influence one another. Lastly, the imagery is drab due to needlessly muted colors and plain framing. The solid music, impressive cast, and meaningful sound can only go so far. Overall, The Secrets of Dumbledore might please some, but is unlikely to leave an impression.Writing: 5/10 Direction: 5/10 Cinematography: 6/10 Acting: 7/10 Editing: 5/10 Sound: 8/10 Score/Soundtrack: 7/10 Production Design: 6/10 Casting: 8/10 Effects: 6/10Overall Score: 6.3/10.",convoluted,secrets dumbledore is convoluted by inconsequential plotlines redundant characters its so unfocused it doesnt have consistent tone or protagonist film centers around wizarding politics but doesnt elaborate them this shrinks potterverse satisfies nobody meanwhile redmayne laws protagonist duet is equally unsatisfying oddly no character feels essential besides grindelwald action sequences dont progress story ultimately movie is overstuffed develops nothing mikkelsen fogler excel their limited roles but theyre sparse this jumble without streamlining secrets dumbledore is emotionally uninspired technically secrets dumbledore is disappointing first effects are overdone earlier action is compelling but finale is undercut by excessive cgi plus production design that final act feels empty squandering union fantasy period dressings climax is woefully shallow furthermore editing is bloated arbitrary because scenes dont influence one another lastly imagery is drab due needlessly muted colors plain framing solid music impressive cast meaningful sound can only go so far overall secrets dumbledore might please some but is unlikely leave impression writing 5 10 direction 5 10 cinematography 6 10 acting 7 10 editing 5 10 sound 8 10 score soundtrack 7 10 production design 6 10 casting 8 10 effects 6 10overall score 6 3 10,0.49791666666666656,0.0024801587301587305,Positive,"{'Happy': 0.03, 'Angry': 0.08, 'Surprise': 0.35, 'Sad': 0.16, 'Fear': 0.38}"
2,"Really, really awful","Where do I start, Fantastic Beasts the Secrets of Dumblebore is absolutely terrible. The plot is barebones at best, makes little sense in many places (random portkey, German minister makes speech ""every gets a say"" then let's an animal pick the leader of a country, random exposition scenes just for the sake of it etc) and the acting is average. The music was ok but honestly I enjoyed barely any of this even the action was dull, had no stakes and wasn't exciting.2/10: I can't believe they're going to manage to make five of these films. It's like if they split the Deathly Hallows into five parts with barely any plot in each.",really really awful,where do i start fantastic beasts secrets dumblebore is absolutely terrible plot is barebones at best makes little sense many places random portkey german minister makes speech every gets say then lets animal pick leader country random exposition scenes just sake it etc acting is average music was ok but honestly i enjoyed barely any this even action was dull had no stakes wasnt exciting 2 10 i cant believe theyre going manage make five these films its like if they split deathly hallows into five parts with barely any plot each,0.46666666666666656,-0.012731481481481479,Negative,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.29, 'Fear': 0.38}"
4,"Lacks the magic and awe the series deserves,","Rather slow and boring with a politically oriented plot which throttles itself through its design choices. There's lots of spectacular looking CGI and special effects, but most of the action was in dark scenes which made it hard to see what was going on and for all the magic in the film, it had none of the awe or amazement of the Harry Potter films. Some funny moments and the acting and music was ok, but the secrets were underwhelming and although the production value was high, the entertainment level was not.",lacks magic awe series deserves,rather slow boring with politically oriented plot which throttles itself through its design choices theres lots spectacular looking cgi special effects but most action was dark scenes which made it hard see what was going all magic film it had none awe or amazement harry potter films some funny moments acting music was ok but secrets were underwhelming although production value was high entertainment level was not,0.5702063492063493,0.11503174603174601,Positive,"{'Happy': 0.0, 'Angry': 0.09, 'Surprise': 0.45, 'Sad': 0.18, 'Fear': 0.27}"
5,Disappointing to the extreme,"The Harry Potter books achieved so much success because a dedicated writer thought about the story for years and the result, imperfect as it was, became beloved by millions of people as the effort showed. This film is perfect, though, a total and complete mess, written by people who can never come up with more than an elevator pitch and the crave for a big payout. The movie uses a plot that purposefully makes no sense, built on a previous film that no one remembers and manages to cement Dumbledore as a manipulative asshole whose value for humanity is that he looks nice compared to the genocidal maniacs he fights against. But he's gay, so that's fine.It gets worse, though. So many things in the film not only not make sense, but contradict lore from the books. The film is called Fantastic Beasts, but really it's just one and it doesn't do much except for the ending. The magical world of wizards is now angry, political, divided and warlike, because that's what Americans are like, obliterating the elegant traditionalist Britishness of the books. Magic is only used to show off, fight or destroy now.The more I think about it, the angrier I become, which is not really what I want or need. My advice is to skip this film completely. Too bad, too, because Eddie Redmayne, Jude Law, Dan Fogler and Mads Mikkelsen did a great job as actors. Alas, the material they had to work with was utter garbage.",disappointing extreme,harry potter books achieved so much success because dedicated writer thought about story years result imperfect as it was became beloved by millions people as effort showed this film is perfect though total complete mess written by people who can never come up with more than elevator pitch crave big payout movie uses plot that purposefully makes no sense built previous film that no one remembers manages cement dumbledore as manipulative asshole whose value humanity is that he looks nice compared genocidal maniacs he fights against but hes gay so thats fine it gets worse though so many things film not only not make sense but contradict lore books film is called fantastic beasts but really its just one it doesnt do much except ending magical world wizards is now angry political divided warlike because thats what americans are like obliterating elegant traditionalist britishness books magic is only used show off fight or destroy now more i think about it angrier i become which is not really what i want or need my advice is skip this film completely too bad too because eddie redmayne jude law dan fogler mads mikkelsen did great job as actors alas material they had work with was utter garbage,0.6144607843137254,0.14313725490196078,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.36, 'Fear': 0.22}"
4,The franchise needs to stop,"Fantastic beasts was always a good idea on paper but it turned out meh and now it's officially dead in the water. It would be interesting to see if they make another after the poor box office results and mixed reactions. I found the first movie ok not great not good but ok , the second was meh and now it's also meh but it's the worst of the series. Like the first 2 the length time is a main falter. The story is not much its most of a waste of a movie. I hope the series stops I love Harry Potter but it's just a cash grab now.",franchise needs stop,fantastic beasts was always good idea paper but it turned out meh now its officially dead water it would be interesting see if they make another after poor box office results mixed reactions i found first movie ok not great not good but ok second was meh now its also meh but its worst series like first 2 length time is main falter story is not much its most waste movie i hope series stops i love harry potter but its just cash grab now,0.46842105263157896,0.08508771929824561,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.29, 'Fear': 0.24}"
3,"Not good, 👎","I watched this at the cinema, I can't say I'm sorry for the money I gave for tickets, but it almost is. First of all I came to watch a fantastic beast movie, the first two parts were great for me so I thought there would be this one too. Well I was wrong, here the emphasis is on interpersonal relationships, politics, the emphasis is on promoting same-sex sexual orientations (in backgrond) and many other smaller and bigger things that have absolutely nothing to do with either genre or story, very few special effects unlike previous works and very few fantastic beast. Well mostly suppress your enthusiasm and don't expect much this movie is an below average timekiller .. blah.",not good,i watched this at cinema i cant say im sorry money i gave tickets but it almost is first all i came watch fantastic beast movie first two parts were great me so i thought there would be this one too well i was wrong here emphasis is interpersonal relationships politics emphasis is promoting same sex sexual orientations backgrond many other smaller bigger things that have absolutely nothing do with either genre or story very few special effects unlike previous works very few fantastic beast well mostly suppress your enthusiasm dont expect much this movie is below average timekiller blah,0.52491341991342,0.09297619047619049,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.09, 'Fear': 0.26}"
