Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,"Yes, it's THAT good !!","I'll be totally honest and confirm to you that everything what they say about this movie is true. It's a brilliantly animated masterpiece with lots of humor that actually works and a plot that really brings tears to your eyes from time to time. The modern artists of Pixar never cease to amaze the audience in expanding their horizons. Finding Nemo is visually stunning and you can have nothing but respect for the people who created it. I was more or less skeptic about watching it, because it was so overhyped ! Two days before it got released in my country, the TV and press loudly announced that the DVD broke all records in the USA during its first release-day. That's usually a sign of being typically mainstream and fake...but Finding Nemo is not. I'm allergic to fake sentiment and pathetic feel-good movies but I was really touched by this one. The moral and valuable life lessons are always present, but they're not shoved down your throat or thrown in your face all the time. This movie really relativates itself and that's important for a good comedy. And it's hilarious !!! Every side character in Finding Nemo (and there are a LOT of them) is exceptional and worth a mention. And the voices are cast perfectly as well...like the voice of Willem Dafoe for Gill, for example...a perfect choice. The character of Dory ( speaks through the voice of Ellen DeGeneres ) steals the show. She's an adorable blue fish who suffers from amnesia. She forgets what she's doing or going to every five minutes and that really leads to hilarious situations. Movies like this aren't just being made for children exclusive... They're good for everyone to realize you have to entertain yourself from time to time and just to enjoy the little things in life. I recommend this to everyone in the world. No matter if you're 9 or 99 years old, Finding Nemo will bring a smile on your face and leave behind a warm feeling in your heart.",yes its that good,ill be totally honest confirm you that everything what they say about this movie is true its brilliantly animated masterpiece with lots humor that actually works plot that really brings tears your eyes time time modern artists pixar never cease amaze audience expanding their horizons finding nemo is visually stunning you can have nothing but respect people who created it i was more or less skeptic about watching it because it was so overhyped two days before it got released my country tv press loudly announced that dvd broke all records usa during its first release day thats usually sign being typically mainstream fake but finding nemo is not im allergic fake sentiment pathetic feel good movies but i was really touched by this one moral valuable life lessons are always present but theyre not shoved down your throat or thrown your face all time this movie really relativates itself thats important good comedy its hilarious every side character finding nemo there are lot them is exceptional worth mention voices are cast perfectly as well like voice willem dafoe gill example perfect choice character dory speaks through voice ellen degeneres steals show shes adorable blue fish who suffers amnesia she forgets what shes doing or going every five minutes that really leads hilarious situations movies like this arent just being made children exclusive theyre good everyone realize you have entertain yourself time time just enjoy little things life i recommend this everyone world no matter if youre 9 or 99 years old finding nemo will bring smile your face leave behind warm feeling your heart,0.5729974160206719,0.20558785529715765,Positive,"{'Happy': 0.19, 'Angry': 0.04, 'Surprise': 0.22, 'Sad': 0.27, 'Fear': 0.27}"
9.0,Pixar's best feature to date,"I have enjoyed most of the computer-animated films made so far, ranging from Pixar films like ""Toy Story"" and ""The Incredibles"" to DreamWorks films like ""Shrek."" But ""Finding Nemo"" is the one that remains unparalleled, not because of its comedy or creativity, both of which are equaled in the ""Toy Story"" movies and in ""Monsters Inc.,"" but because it truly, more than any of the previous computer-animated features, reinvents the genre of the children's animated film.Humor in traditional animation is usually based on broad slapstick and physical exaggeration. There are occasional nods to this brand of humor in ""Finding Nemo,"" as when a flock of seagulls ram into a boat and we see their beaks crowing on the other side of the sail. But such sequences only call attention to how far this movie generally departs from old cartoon conventions. Instead, the movie invests its world of sentient animals with a surprisingly scientific texture. All of the animals are based on real species. The fish tank is constructed out of real devices. There is a strong sense of locale, as Marlin (Albert Brooks) travels across the Pacific to Australia, where even the animals speak with an Australian accent. In a scene that I'm sure Gary Larson of ""Far Side"" fame loved, a pelican discusses with a group of fish the intricate details of dentistry. The fact that the animals talk and understand what's going on is treated as though it were a natural feature of the world. The realism is so striking that by the end of the film, you'll almost believe it possible for fish to plot an escape from a tank.Far from making the film pedantic, this approach results in an intelligent but still entertaining picture. Most of the humor is based on parodies of human behavior: repentant sharks start a club that's like Alcoholics Anonymous, a school of fish act like obnoxious DJs while forming themselves into spectacular patterns, and a four-year-old girl behaves like most kids that age, oblivious and destructive. The manner in which Marlin finds his way to his son is so inventive that we can forgive the film for the number of coincidences involved.The story employs the same basic formula used in ""Toy Story,"" in which two characters, one uptight and the other clueless, are thrown together as they're forced to journey through a world populated by creatures that are a lot more knowing than the humans realize. This movie, however, creates a unique character in Dory (Ellen DeGeneres), a fish with short-term memory loss. To give a cartoon character a real human disorder is risky, to say the least, and I'm glad the filmmakers didn't lose the nerve to include this ingenious device, which not only generates some of the film's biggest laughs, but reinforces the character interaction that is so central to the story. This is in fact the only Pixar film to feature true character development. In the course of his voyage, Marlin learns to be more adventurous, getting parenting tips from a surfer-dude turtle voiced by the film's director Andrew Stanton, while his son Nemo learns to be self-reliant.Of course, none of the sharks, jellyfish, whales, gulls, pelicans, lobsters, and humans that Marlin encounters along the way really mean any harm. They're just doing what they do. As Nigel the Pelican tells Nemo at one point, ""Fish gotta swim, birds gotta eat."" That's perhaps the film's most interesting insight, that there are no true villains, just creatures that act according to their nature, and a few that transcend it.",pixars best feature date,i have enjoyed most computer animated films made so far ranging pixar films like toy story incredibles dreamworks films like shrek but finding nemo is one that remains unparalleled not because its comedy or creativity both which are equaled toy story movies monsters inc but because it truly more than any previous computer animated features reinvents genre childrens animated film humor traditional animation is usually based broad slapstick physical exaggeration there are occasional nods this brand humor finding nemo as when flock seagulls ram into boat we see their beaks crowing other side sail but such sequences only call attention how far this movie generally departs old cartoon conventions instead movie invests its world sentient animals with surprisingly scientific texture all animals are based real species fish tank is constructed out real devices there is strong sense locale as marlin albert brooks travels across pacific australia where even animals speak with australian accent scene that im sure gary larson far side fame loved pelican discusses with group fish intricate details dentistry fact that animals talk understand whats going is treated as though it were natural feature world realism is so striking that by end film youll almost believe it possible fish plot escape tank far making film pedantic this approach results intelligent but still entertaining picture most humor is based parodies human behavior repentant sharks start club thats like alcoholics anonymous school fish act like obnoxious djs while forming themselves into spectacular patterns four year old girl behaves like most kids that age oblivious destructive manner which marlin finds his way his son is so inventive that we can forgive film number coincidences involved story employs same basic formula used toy story which two characters one uptight other clueless are thrown together as theyre forced journey through world populated by creatures that are lot more knowing than humans realize this movie however creates unique character dory ellen degeneres fish with short term memory loss give cartoon character real human disorder is risky say least im glad filmmakers didnt lose nerve include this ingenious device which not only generates some films biggest laughs but reinforces character interaction that is so central story this is fact only pixar film feature true character development course his voyage marlin learns be more adventurous getting parenting tips surfer dude turtle voiced by films director andrew stanton while his son nemo learns be self reliant course none sharks jellyfish whales gulls pelicans lobsters humans that marlin encounters along way really mean any harm theyre just doing what they do as nigel pelican tells nemo at one point fish gotta swim birds gotta eat thats perhaps films most interesting insight that there are no true villains just creatures that act according their nature few that transcend it,0.5592791005291005,0.19361111111111107,Positive,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.16, 'Sad': 0.24, 'Fear': 0.44}"
,amazing visuals,"Has there ever been a better-looking feature-length animated film than `Finding Nemo'? We doubt it. With its shimmering underwater landscapes - be they in the vast immensity of a limitless ocean or the cramped confines of a dentist office aquarium - the film sports a look unlike anything we have ever seen before. The fish tank setting, in particular, is a veritable wonderland of eye-popping, many-hued visual splendor.Although the script by Andrew Stanton doesn't scale the comedic heights of, say, `Aladdin,' `Shrek' or `Toy Story 2,' it still sparkles with enough wit and inventiveness to entrance youngsters and beguile the grownups who will be joining them in their viewing. I hasten to point out that the screenplay is blessedly free of all the double entendres and off-color humor that have blighted so much alleged `kiddie' fare in recent years. This is a film on e can watch with one's children and grandchildren and not once have to blush or turn away in embarrassment while doing so. Creators of children's films please take note (and take note, too, of its phenomenal box office take).Like many tales designed for the junior set (`Dumbo,' `Bambi' etc.), `Finding Nemo' taps into the fear all children have of being separated from their parents - and the concomitant fear all parents have of being separated from their children. It is upon this common ground that members of both generations will meet in their emotional response to this film. In this case, it is little Nemo, an adorable clownfish, who is plucked out of the ocean and plunked down into the saltwater aquarium of a dentist in Sydney, Australia. The subject of the film's title is Marlin, Nemo's overprotective, worrywart dad who swims his way towards the continent to find and rescue his little tyke. Along the way, this Nervous Nellie parent learns a little something about giving his son the freedom a boy needs to grow up and become a man, and Nemo, himself, learns a thing or two about just what kind of a fish his dad really is.Albert Brooks and Ellen DeGeneres are brilliant as Marlin and Dory, respectively, the latter a befuddled, daffy and utterly good-natured fish who helps Marlin in his epic quest not only for his lost son but his own definition of filial love. Those familiar with these two fine comedic talents in their live-action performances will actually be able to see many of their distinctive inflections and facial expressions reflected in the animated characters they are portraying.As directed by Stanton and Lee Unkrich, and executed by an army of wonder-working animators and technicians, `Finding Nemo' takes PIXAR technology to its ultimate, final level of perfection - till the studio's next release, that is.",amazing visuals,has there ever been better looking feature length animated film than finding nemo we doubt it with its shimmering underwater landscapes be they vast immensity limitless ocean or cramped confines dentist office aquarium film sports look unlike anything we have ever seen before fish tank setting particular is veritable wonderland eye popping many hued visual splendor although script by andrew stanton doesnt scale comedic heights say aladdin shrek or toy story 2 it still sparkles with enough wit inventiveness entrance youngsters beguile grownups who will be joining them their viewing i hasten point out that screenplay is blessedly free all double entendres off color humor that have blighted so much alleged kiddie fare recent years this is film e can watch with ones children grandchildren not once have blush or turn away embarrassment while doing so creators childrens films please take note take note too its phenomenal box office take like many tales designed junior set dumbo bambi etc finding nemo taps into fear all children have being separated their parents concomitant fear all parents have being separated their children it is upon this common ground that members both generations will meet their emotional response this film this case it is little nemo adorable clownfish who is plucked out ocean plunked down into saltwater aquarium dentist sydney australia subject films title is marlin nemos overprotective worrywart dad who swims his way towards continent find rescue his little tyke along way this nervous nellie parent learns little something about giving his son freedom boy needs grow up become man nemo himself learns thing or two about just what kind fish his dad really is albert brooks ellen degeneres are brilliant as marlin dory respectively latter befuddled daffy utterly good natured fish who helps marlin his epic quest not only his lost son but his own definition filial love those familiar with these two fine comedic talents their live action performances will actually be able see many their distinctive inflections facial expressions reflected animated characters they are portraying as directed by stanton lee unkrich executed by army wonder working animators technicians finding nemo takes pixar technology its ultimate final level perfection till studios next release that is,0.5145138888888889,0.2002493686868687,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.36, 'Sad': 0.17, 'Fear': 0.29}"
8.0,Another Disney/Pixar Classic,"Those guys and girls at Disney/Pixar have done it again, they've created the perfect underwater world, full of fascinating Disney characters.A truly enchanting story of a father (Marlon) who loses his son (Nemo), and with help of his new found friend (Dory) ventures out into the ocean to try to find him. On this epic voyage he gets to battle sharks, surf with some turtle dudes, dice with some jellyfish and survive an encounter in a whales stomach.All the characters are vibrant with Disney charm, but my favourite is Dory, the comic relief, probably one of the funniest Disney characters ever written and superbly voiced by Ellen DeGeneres, pure genius.All in all this is another success for Disney and Pixar, It brings out the child in all of us.Solid family fun 8/10",another disney pixar classic,those guys girls at disney pixar have done it again theyve created perfect underwater world full fascinating disney characters truly enchanting story father marlon who loses his son nemo with help his new found friend dory ventures out into ocean try find him this epic voyage he gets battle sharks surf with some turtle dudes dice with some jellyfish survive encounter whales stomach all characters are vibrant with disney charm but my favourite is dory comic relief probably one funniest disney characters ever written superbly voiced by ellen degeneres pure genius all all this is another success disney pixar it brings out child all us solid family fun 8 10,0.4396103896103897,0.31314162028447745,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.17, 'Fear': 0.35}"
10.0,Swimming with Sharks is a Whale of a Time,"Marlin, a nervous and neurotic clownfish is heavily overprotective of his son Nemo, who only wants to explore the sea in its entirety. When Nemo gets caught by a scuba diver and taken away, it is up to Marlin to swallow his own fears and find Nemo. The ensuing search and rescue organized by the him is a mass effort by swimming and flying creatures of all sizes and personalities, such as a threesome of vegetarian sharks, a fish with short term memory and an aged turtle, all helping him realise the error of his ways in restricting himself to just his home.As charming as it is beautiful, Finding Nemo is a joy, both visually and cinematically. The characters are all so appealing and sweet that you want to hug each and every one of them, Nemo and Dory in particular. But the film transcends above just a generic animated film, for there are lessons to be learnt by it too. The film often tells a children's tale from an adult's point of view, with risky situations and emotional soul-searching putting stress on a disjointed family.The sea is brought to us in such a memorable and unique way that there is brilliance and beauty in every frame. The animation is of all time high for Pixar, and the sound mixing and editing are also to be credited, as they capture the heart of the sea creditably. But perhaps the best thing about the film is the musical score by Thomas Newman. He creates the essence of the sea, as well as the emotions felt by the fish throughout. Note the masterwork that occurs as an upbeat, jovial number quickly escalates into something darker in a matter of minutes. In short, the music is superb.The voice cast are capable and cannily chosen, from young Alexander Gould as the naïve Nemo, as well as Albert Brooks as the bumbling Marlin. But the star of the show is Ellen DeGeneres as Dory. As the forgetful but caring fish, she is sweet and soulful, and provides much of the comedy of the film. But the humour is also provided by the great script, which delivers a potentially dull story with wit and soul, and shies away from the sentimentality that could so easily arise of a Disney film. And the jokes, what jokes  from satire, spoof and slapstick, they'll be a one-liner for everybody here.Gorgeous to look at and utterly adorable, Finding Nemo sets the standard for how animated movies should being terms of entertainment value as well as story and themes  ending with the touching, thought-provoking message of how too much protectiveness on the parent's side will repel, but, no matter how independent a child (or fish) believes themselves to be, they'll always need their parents.",swimming with sharks is whale time,marlin nervous neurotic clownfish is heavily overprotective his son nemo who only wants explore sea its entirety when nemo gets caught by scuba diver taken away it is up marlin swallow his own fears find nemo ensuing search rescue organized by him is mass effort by swimming flying creatures all sizes personalities such as threesome vegetarian sharks fish with short term memory aged turtle all helping him realise error his ways restricting himself just his home as charming as it is beautiful finding nemo is joy both visually cinematically characters are all so appealing sweet that you want hug each every one them nemo dory particular but film transcends above just generic animated film there are lessons be learnt by it too film often tells childrens tale adults point view with risky situations emotional soul searching putting stress disjointed family sea is brought us such memorable unique way that there is brilliance beauty every frame animation is all time high pixar sound mixing editing are also be credited as they capture heart sea creditably but perhaps best thing about film is musical score by thomas newman he creates essence sea as well as emotions felt by fish throughout note masterwork that occurs as upbeat jovial number quickly escalates into something darker matter minutes short music is superb voice cast are capable cannily chosen young alexander gould as na ve nemo as well as albert brooks as bumbling marlin but star show is ellen degeneres as dory as forgetful but caring fish she is sweet soulful provides much comedy film but humour is also provided by great script which delivers potentially dull story with wit soul shies away sentimentality that could so easily arise disney film jokes what jokes satire spoof slapstick theyll be one liner everybody here gorgeous look at utterly adorable finding nemo sets standard how animated movies should being terms entertainment value as well as story themes ending with touching thought provoking message how too much protectiveness parents side will repel but no matter how independent child or fish believes themselves be theyll always need their parents,0.49599206349206343,0.26492063492063495,Positive,"{'Happy': 0.19, 'Angry': 0.11, 'Surprise': 0.14, 'Sad': 0.26, 'Fear': 0.3}"
9.0,Who said fish are boring?,"""Finding Nemo"" is a wonderful animated adventure movie that simply is irresistible for young as well as older persons.The most excellent thing about ""Finding Nemo"" is the perfect timing, just like in ""Monsters, Inc"" the jokes are extremely well placed in a quick pace and are good for more then just a few laughs.There are some very fun and great characters which brings me to the only problem I have with this movie. There are too many minor characters, I would have really loved to see some of the characters getting a bigger role with some more importance to the story instead of meeting character after character that are only on screen for no more than 5 minutes (such as the sharks). Sure it's good for the sense of adventure but it leaves some missed opportunities to make the story even more fun.I think it's pretty obvious that the story is inspired on the ""Lord of the Rings"" trilogy since it uses lot's of elements from it and it has the some feeling of adventure and excitement so it's really not a big thing that the story isn't very original, the original and fun way the story is told in compensates for this.The voice cast as in many animated movies is impressive but the one that stood out was Ellen DeGeneres as Dory that you love to hate.Irresistible movie for the whole family with great jokes and lines and some memorable characters and situations. Mine, mine, mine!9/10http://bobafett1138.blogspot.com/",who said fish are boring,finding nemo is wonderful animated adventure movie that simply is irresistible young as well as older persons most excellent thing about finding nemo is perfect timing just like monsters inc jokes are extremely well placed quick pace are good more then just few laughs there are some very fun great characters which brings me only problem i have with this movie there are too many minor characters i would have really loved see some characters getting bigger role with some more importance story instead meeting character after character that are only screen no more than 5 minutes such as sharks sure its good sense adventure but it leaves some missed opportunities make story even more fun i think its pretty obvious that story is inspired lord rings trilogy since it uses lots elements it it has some feeling adventure excitement so its really not big thing that story isnt very original original fun way story is told compensates this voice cast as many animated movies is impressive but one that stood out was ellen degeneres as dory that you love hate irresistible movie whole family with great jokes lines some memorable characters situations mine mine mine 9 10,0.6259601238869532,0.3092073170731708,Positive,"{'Happy': 0.32, 'Angry': 0.02, 'Surprise': 0.18, 'Sad': 0.14, 'Fear': 0.34}"
8.0,Pixar Remains the Best Family Film Industry Out There Today...,"Pixar Animation Studios has a very good knack for making thoughtful, intelligent and humorous family films (note that I didn't say kid films). ""Toy Story"" 1 & 2 and ""Monsters, Inc."" are some of my favorite family films; ""Finding Nemo"" isn't one of my favorites, but it isn't disappointing like ""A Bug's Life,"" and it is thoughtful, intelligent, humorous and incredibly watchable, just like the other Pixar films.As always, Pixar takes a world of something and completely builds their story around it. In ""Toy Story"" they gave life to toys and created the world through their eyes. In ""Monsters, Inc.,"" they showed us the monster world. In my review on ""A Bug's Life,"" I said that the reason the film didn't work very much is because it was about bugs, and not about something mystical like toys or monsters that bring back childhood memories. Well, I guess I was sorta wrong, because ""Finding Nemo"" is all about fish, nothing too mystical about fish, and I still loved it.This tale takes place underwater with the fish Marlin (voiced by Albert Brooks), whose spouse and baby fish eggs get eaten by a vicious shark in the beginning. All but one egg which Marlin names Nemo.Years later Nemo (voiced by Alexander Gould, Elliot's son?) is a bit older, and heading off to fish school for the first time. But haunted by the fact that his spouse and offspring were all killed years ago, Marlin is extremely over-protective of his one remaining family member. Nemo, sick of being treated like a baby, proves how brave he is by swimming near a fishing boat, only to be captured by a scuba-diving dentist. And so Marlin heads off to find Nemo, with the help of his newfound companion Dory (voice of Ellen DeGeneres), who has short-term memory loss and forgets things sooner than she can carry whatever she is doing out. (Like when she is showing Marlin the way towards a fishing boat and suddenly forgets why Marlin is following her.)Pixar doesn't let down the audience on this film. There are a few things that one can always expect from Pixar films: They can expect something (such as toys) to be given their own world. They can expect that world to be given careful attention to detail. And they can expect humor.""Finding Nemo"" gives fish their own world, and the underwater realm they live in is paid careful attention, painstakingly captured on film with computer graphics. And the humor is always there. All the characters are funny. I especially like the sequences from the inside of a fish tank in the dentist's office, with a bunch of fish including Gill (Willem Dafoe's vocal talents), who constantly tries to escape. By doing so, Gill has suffered major injuries, including landing on the dentist's tools and getting sliced up. This is, of course, a parody of escaping POWs. The fact that Willem Dafoe was in the great war movie ""Platoon"" might have something to do with that.This is taken from my ""Monsters, Inc."" review: ""Pixar once again not only expands our mind, but our very worlds. I respect their company and commitment values very much, as you can read in my 'Toy Story' review. They stick to the values that made Disney films so family-friendly back in the fifties and sixties: Respect for the audience, respect for quality, and respect for the audience's INTELLIGENCE, something Disney, who has recently coughed up a bunch of lousy, thoughtless sequels, has forgotten. Now, I know that LEGALLY Disney is co-creator of 'Toy Story' and 'Monsters, Inc.,' but they really are not. They just give Pixar the money and get their name branded on the front box of the film. And even then, I have heard multiple claims that Disney is very mean-spirited towards Pixar (read into sequel trouble for 'Toy Story 3') and gives them the bare minimum.With ""Finding Nemo,"" I still stick towards what I said. Pixar Animation Studios is probably the best family film company out there right now, I really hope they separate from Disney some day and form their own production company. They know what interests both kids and adults, and it's almost creepy how they can make their films so engaging and fun to watch. This is one to take the kids to, and afterwards, maybe even sneak back into again by yourself.",pixar remains best family film industry out there today,pixar animation studios has very good knack making thoughtful intelligent humorous family films note that i didnt say kid films toy story 1 2 monsters inc are some my favorite family films finding nemo isnt one my favorites but it isnt disappointing like bugs life it is thoughtful intelligent humorous incredibly watchable just like other pixar films as always pixar takes world something completely builds their story around it toy story they gave life toys created world through their eyes monsters inc they showed us monster world my review bugs life i said that reason film didnt work very much is because it was about bugs not about something mystical like toys or monsters that bring back childhood memories well i guess i was sorta wrong because finding nemo is all about fish nothing too mystical about fish i still loved it this tale takes place underwater with fish marlin voiced by albert brooks whose spouse baby fish eggs get eaten by vicious shark beginning all but one egg which marlin names nemo years later nemo voiced by alexander gould elliots son is bit older heading off fish school first time but haunted by fact that his spouse offspring were all killed years ago marlin is extremely over protective his one remaining family member nemo sick being treated like baby proves how brave he is by swimming near fishing boat only be captured by scuba diving dentist so marlin heads off find nemo with help his newfound companion dory voice ellen degeneres who has short term memory loss forgets things sooner than she can carry whatever she is doing out like when she is showing marlin way towards fishing boat suddenly forgets why marlin is following her pixar doesnt let down audience this film there are few things that one can always expect pixar films they can expect something such as toys be given their own world they can expect that world be given careful attention detail they can expect humor finding nemo gives fish their own world underwater realm they live is paid careful attention painstakingly captured film with computer graphics humor is always there all characters are funny i especially like sequences inside fish tank dentists office with bunch fish including gill willem dafoes vocal talents who constantly tries escape by doing so gill has suffered major injuries including landing dentists tools getting sliced up this is course parody escaping pows fact that willem dafoe was great war movie platoon might have something do with that this is taken my monsters inc review pixar once again not only expands our mind but our very worlds i respect their company commitment values very much as you can read my toy story review they stick values that made disney films so family friendly back fifties sixties respect audience respect quality respect audiences intelligence something disney who has recently coughed up bunch lousy thoughtless sequels has forgotten now i know that legally disney is co creator toy story monsters inc but they really are not they just give pixar money get their name branded front box film even then i have heard multiple claims that disney is very mean spirited towards pixar read into sequel trouble toy story 3 gives them bare minimum with finding nemo i still stick towards what i said pixar animation studios is probably best family film company out there right now i really hope they separate disney some day form their own production company they know what interests both kids adults its almost creepy how they can make their films so engaging fun watch this is one take kids afterwards maybe even sneak back into again by yourself,0.5517751924001926,0.1648508078621715,Positive,"{'Happy': 0.22, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.16, 'Fear': 0.33}"
9.0,"""Finding"" A Flight odf Fancy","Remember back when you were little.you know, back when tall to you was about as high as a mailbox? In those days, Disney animated films (e.g. `Lion King' and `Beauty and the Beast') were some of the coolest things out there and were movies to watch over and over (much to your parents' chagrin). Now, animated movies aren't exactly the `coolest' things to see, but an exception can be made for the uber-hip Pixar movies, the most recent of which being `Finding Nemo'.After losing all but one of his brood, Marlin (Albert Brooks) an over-protective clown fish that strangely lacks a sense of humor, has resolved to protect his one (slightly disabled) `child' remaining, Nemo (Alexander Gould). But disaster strikes as Nemo is taken by a Sydney dentist and plopped into a fish tank where he is comforted by a host of other captive fish (William Dafoe, Vicki Lewis, Allison Janney, et al). But back in the big ocean Down Under, Marlin has resolved to search out his one remaining progeny.Along the way on his quest, Marlin acquires a tag-along `friend', Dory (Ellen DeGeneres)-a fish with, well, the memory capacity of a fish. The two must surmount hurdles like a group of sharks (Eric Bana, Barry Humphries and Bruce Spence) that have (mostly) sworn off eating other fish, a nasty swarm of jellyfish, a bird-brained flock of seagulls, and others.This is the bridge! Well, in a way. Back when I was younger, one of my favorite films was `The Incredible Mr. Limpet', which, for the uninitiated, combined live-action with under-the-sea fish animation. What Pixar has done here was bring back that film to my mind and start me thinking, because they have created a wondrous undersea environment (with `normal-looking' fish instead of 1960s animated fish).My favorite feature in this movie chock-full of sweet treats must be the sharks. I have always been partial to the shark family, but what has been done in creating three humorous sharks (what a movie concept), just sent paroxysms of laughter through me. Another thing that (mostly) works is Ellen DeGeneres' fish (character?) that provides a fairly constant source of laughter with her antics (although a couple gags do wear on the viewer with time). On the whole though, there is not a single bit of shoddy voice-acting or animation in it.Compared to `Monsters Inc.', `Finding Nemo' is something of a revival for Pixar. I like how they have stepped up their efforts to make an altogether pleasing film without any big flaws. The thing that I did not like with `Monsters' was the inclusion of a single key (but EXTREMELY annoying) character. Director Andrew Stanton has done an excellent job at making the film work and be (basically) non-annoying to most of the general public (and this critic).I suppose life has come full circle-now that I am (relatively) old as a high school graduate, animation is cool again, thanks to high-powered computers, at any rate. `Finding Nemo' is one heckuva movie and a good one to take anyone you know to, trust me on this-nine out of ten.",finding flight odf fancy,remember back when you were little you know back when tall you was about as high as mailbox those days disney animated films e g lion king beauty beast were some coolest things out there were movies watch over over much your parents chagrin now animated movies arent exactly coolest things see but exception can be made uber hip pixar movies most recent which being finding nemo after losing all but one his brood marlin albert brooks over protective clown fish that strangely lacks sense humor has resolved protect his one slightly disabled child remaining nemo alexander gould but disaster strikes as nemo is taken by sydney dentist plopped into fish tank where he is comforted by host other captive fish william dafoe vicki lewis allison janney et al but back big ocean down under marlin has resolved search out his one remaining progeny along way his quest marlin acquires tag along friend dory ellen degeneres fish with well memory capacity fish two must surmount hurdles like group sharks eric bana barry humphries bruce spence that have mostly sworn off eating other fish nasty swarm jellyfish bird brained flock seagulls others this is bridge well way back when i was younger one my favorite films was incredible mr limpet which uninitiated combined live action with under sea fish animation what pixar has done here was bring back that film my mind start me thinking because they have created wondrous undersea environment with normal looking fish instead 1960s animated fish my favorite feature this movie chock full sweet treats must be sharks i have always been partial shark family but what has been done creating three humorous sharks what movie concept just sent paroxysms laughter through me another thing that mostly works is ellen degeneres fish character that provides fairly constant source laughter with her antics although couple gags do wear viewer with time whole though there is not single bit shoddy voice acting or animation it compared monsters inc finding nemo is something revival pixar i like how they have stepped up their efforts make altogether pleasing film without any big flaws thing that i did not like with monsters was inclusion single key but extremely annoying character director andrew stanton has done excellent job at making film work be basically non annoying most general public this critic i suppose life has come full circle now that i am relatively old as high school graduate animation is cool again thanks high powered computers at any rate finding nemo is one heckuva movie good one take anyone you know trust me this nine out ten,0.4256937095825984,0.10532581102025544,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.2, 'Fear': 0.34}"
8.0,Childhood memories,This is another classic animated movie from my childhood. This is a great story and a good amount of comedy with Dory. Must see family film.,childhood memories,this is another classic animated movie my childhood this is great story good amount comedy with dory must see family film,0.5055555555555555,0.5555555555555555,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0}"
,quite a catch,"Pixar Studios have done it again. I have to say that these guys are totally good in computer animation, as well as in storytelling. Rarely do those qualities come together but here they are, delivering unto the audience once again something that one can only be drowned with wonder. Such is the marvel of Finding Nemo.The story is about Nemo (voiced by Alexander Gould), a young clownfish who is fed up with his dad Marlin's (Albert Brooks) excessive paranoia over him. He swims to a place where his dad forbids him and ends up being captured by a scuba diver. He is then placed in a fish tank in a dental clinic somewhere along the harbors of Sydney. Thus the quest of Marlin, along with Dory (a hilarious forgetful blue tang voiced by Ellen DeGeneres) to find Nemo before it's too late.The story is a simple one but where the film more than makes up is on the overwhelming sense of detail and rich, lavish colors and textures as if we aren't really watching an animated film at all. Scenes such as Marlin bringing Nemo to school while swimming through corals and anemones, to the aquarium where Nemo was taken to, are nothing short of breathtaking, and undoubtedbly one of the most outstanding animation ever to hit the screen.The world of ""Finding Nemo"" is simply alive with lovable creatures swimming about their daily lives under the ocean, darting across the screen in playful manners. The viewer almost literally dives into another world for nearly two hours and one cannot help but be completely captivated. The music and screenplay also blend very well with the visual feast that it produces such a high quality movie. From its basic storyline, to the father-and-son relationship theme, to the wonderful underwater world throughout, this is really an adventure through an ocean of stunning visuals and storytelling.Grade: A",quite catch,pixar studios have done it again i have say that these guys are totally good computer animation as well as storytelling rarely do those qualities come together but here they are delivering unto audience once again something that one can only be drowned with wonder such is marvel finding nemo story is about nemo voiced by alexander gould young clownfish who is fed up with his dad marlins albert brooks excessive paranoia over him he swims place where his dad forbids him ends up being captured by scuba diver he is then placed fish tank dental clinic somewhere along harbors sydney thus quest marlin along with dory hilarious forgetful blue tang voiced by ellen degeneres find nemo before its too late story is simple one but where film more than makes up is overwhelming sense detail rich lavish colors textures as if we arent really watching animated film at all scenes such as marlin bringing nemo school while swimming through corals anemones aquarium where nemo was taken are nothing short breathtaking undoubtedbly one most outstanding animation ever hit screen world finding nemo is simply alive with lovable creatures swimming about their daily lives under ocean darting across screen playful manners viewer almost literally dives into another world nearly two hours one cannot help but be completely captivated music screenplay also blend very well with visual feast that it produces such high quality movie its basic storyline father son relationship theme wonderful underwater world throughout this is really adventure through ocean stunning visuals storytelling grade,0.5278571428571428,0.2142647058823529,Positive,"{'Happy': 0.19, 'Angry': 0.06, 'Surprise': 0.31, 'Sad': 0.14, 'Fear': 0.31}"
