Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,Andrew Ahn and Joel Kim Booster deliver a solid adaptation of Austen's Pride and Prejudice with a gay twist,"A group of cash strapped gay friends consisting of Noah (Joel Kim Booster), Howie (Bowen Yang), Luke (Matt Rogers), Keegan (Tomas Matos), and Max (Torian Miller) embark on their annual weeklong vacation to Fire Island to stay with their friend Erin (Margaret Cho) who has a house on the island. Noah despite often engaging in hedonistic sex and partying the year's prior decides to put this on hold until he helps Howie find a man for himself. The group eventually come into contact with wealthy gay men Charlie (James Scully) who seemingly hits it off with Howie, and Charlie's friend Will (Conrad Ricamora) whose demeanor initially gets under Noah's skin but overtime a romance develops despite their class disparity.Fire Island is the latest film from director Andrew Ahn who's become something of an indie darling in recent years with prvious films such Spa Night and Driveways garnering Ahn critical acclaim. Written by comedian Joel Kim Booster, the gay themed take on Jane Austen's Pride and Prejudice was initially intended as a project for the now defunct Quibi streaming service (which is the subject of a joke in film) under director Stephen Dunn of Closet Monster before the series was cancelled along with several other in development or filming Quibi shows. Searchlight Pictures purchased the script roughly 6 months after Quibi shutdown and repurposed the concept as a feature film and Ahn replacing Dunn in the director's chair. Now the movie makes its way to Hulu and Ahn shows himself to be just as steady helming a studio release as either of his indie projects.Joel Kim Booster does an excellent job serving as writer and star of Fire Island as he takes the basic framework of Austen's story while incorporating various aspects of the real life Fire Island and gay culture into the story to give this classic story of classism and romance a modern day LGBTQ twist. The movie mines a lot of sharp humor from its usage of Fire Island serving as a microcosm of a class divide between upper class gay people and those of lower means and it sticks pretty true to the Austen work. The movie's ensemble does quite well with the relationships between Hoan, Howie, and the others very endearing, and Margaret Cho is lovable as Eri who by her words serves as the ""mom"" in their surrogate family. Fire Island is quite a sweet movie when it comes to its characters and it helps that not only are they interesting and funny, but there's a strong sense of familial love among the sequences of romance and hedonistic sexuality that keeps the viewer engaged.Fire Island continues Ahn's solid work in the director's chair and serves as an excellent showcase for Joel Kim Booster as a leading man and a screenwriter. If you're familial with the Jane Austen story Pride and Prejudice you'll have a lot of fun noting the parallels in the story and how well they've been adapted and even if you're not the movie still works on its own terms.",andrew ahn joel kim booster deliver solid adaptation austens pride prejudice with gay twist,group cash strapped gay friends consisting noah joel kim booster howie bowen yang luke matt rogers keegan tomas matos max torian miller embark their annual weeklong vacation fire island stay with their friend erin margaret cho who has house island noah despite often engaging hedonistic sex partying years prior decides put this hold until he helps howie find man himself group eventually come into contact with wealthy gay men charlie james scully who seemingly hits it off with howie charlies friend will conrad ricamora whose demeanor initially gets under noahs skin but overtime romance develops despite their class disparity fire island is latest film director andrew ahn whos become something indie darling recent years with prvious films such spa night driveways garnering ahn critical acclaim written by comedian joel kim booster gay themed take jane austens pride prejudice was initially intended as project now defunct quibi streaming service which is subject joke film under director stephen dunn closet monster before series was cancelled along with several other development or filming quibi shows searchlight pictures purchased script roughly 6 months after quibi shutdown repurposed concept as feature film ahn replacing dunn directors chair now movie makes its way hulu ahn shows himself be just as steady helming studio release as either his indie projects joel kim booster does excellent job serving as writer star fire island as he takes basic framework austens story while incorporating various aspects real life fire island gay culture into story give this classic story classism romance modern day lgbtq twist movie mines lot sharp humor its usage fire island serving as microcosm class divide between upper class gay people those lower means it sticks pretty true austen work movies ensemble does quite well with relationships between hoan howie others very endearing margaret cho is lovable as eri who by her words serves as mom their surrogate family fire island is quite sweet movie when it comes its characters it helps that not only are they interesting funny but theres strong sense familial love among sequences romance hedonistic sexuality that keeps viewer engaged fire island continues ahns solid work directors chair serves as excellent showcase joel kim booster as leading man screenwriter if youre familial with jane austen story pride prejudice youll have lot fun noting parallels story how well theyve been adapted even if youre not movie still works its own terms,0.49074074074074087,0.24000000000000002,Positive,"{'Happy': 0.33, 'Angry': 0.09, 'Surprise': 0.21, 'Sad': 0.09, 'Fear': 0.29}"
4.0,Predictable plot with every gay stereotype known.,"I want to have a fun evening with this romp. But it's cringe inducing tired tropes and overflowing stereotypes spoil the fun. The problem isn't the good cast. They do the best they can with the formulaic script that covers no new ground.Would Noah's close group of friends go many, many years without calling him out about his being a complete jerk know-it-all trying to fix everyone? And most of the rest of the characters are equally annoying, save Margaret Cho's Erin.There are genuinely funny moments here and there some good acting going on.",predictable plot with every gay stereotype known,i want have fun evening with this romp but its cringe inducing tired tropes overflowing stereotypes spoil fun problem isnt good cast they do best they can with formulaic script that covers no new ground would noahs close group friends go many many years without calling him out about his being complete jerk know it all trying fix everyone most rest characters are equally annoying save margaret chos erin there are genuinely funny moments here there some good acting going,0.46693404634581115,0.22344028520499104,Positive,"{'Happy': 0.37, 'Angry': 0.0, 'Surprise': 0.16, 'Sad': 0.16, 'Fear': 0.32}"
4.0,Misfire Island,"Gay culture has gone from being avant-garde, creative , groundbreaking and just inspiring to...this.Fire Island is a vague retelling of a story we know by heart but set in a world of vacuous unlikable characters. I'm all for satire and comedy but this movie doesn't embrace its potential at all. Every single gay cliché is presented in the most tired way: the Abercrombie gays, the druggy hysterical party gays only good at prep jokes and embarrassing themselves by vomiting, the archaic trope of poor gay= fun and loving / rich gay= boring and obnoxious. The Onlyfans reference was of course associated with a negative character. Ironically this movie is full of judgmental preconceived ideas about gays standards : shy nerd / alpha male, New York / rest of the US, and the cast is still a bunch of fairly fit short hair male meeting other fit short hair men, one may have a moustache. There are deers but there are also Bears on Fire Island just sayingThe first half is basically a (bad) straight comedy with gay people in it, the second half is practically a Lifetime movie. Nothing is original or feels sincere. I mean any episode of Modern Family was edgier and funnier in its gay representation than this and that was a prime time TV sitcom. Caricature can be very funny it just has to feel fresh.On the positive, the actors do their best with the script and give gravitas to the predictable sentimental talks. I really hope to see Bowen Yang is something better.",misfire island,gay culture has gone being avant garde creative groundbreaking just inspiring this fire island is vague retelling story we know by heart but set world vacuous unlikable characters im all satire comedy but this movie doesnt embrace its potential at all every single gay clich is presented most tired way abercrombie gays druggy hysterical party gays only good at prep jokes embarrassing themselves by vomiting archaic trope poor gay fun loving rich gay boring obnoxious onlyfans reference was course associated with negative character ironically this movie is full judgmental preconceived ideas about gays standards shy nerd alpha male new york rest us cast is still bunch fairly fit short hair male meeting other fit short hair men one may have moustache there are deers but there are also bears fire island just sayingthe first half is basically bad straight comedy with gay people it second half is practically lifetime movie nothing is original or feels sincere i mean any episode modern family was edgier funnier its gay representation than this that was prime time tv sitcom caricature can be very funny it just has feel fresh positive actors do their best with script give gravitas predictable sentimental talks i really hope see bowen yang is something better,0.5315709617180207,0.09894851880145997,Positive,"{'Happy': 0.32, 'Angry': 0.04, 'Surprise': 0.16, 'Sad': 0.16, 'Fear': 0.32}"
2.0,As a gay I hated this film,I hated hated hated this film. Every gay stereotype times 100 in this film. Finally they make a gay film and then they make it awful. The characters where so unlikeable I hated every one in the film. As a gay man I hated this film even more because it's such stereotypes gay people oh gay people do drugs oh gay people hate relationship oh gay people get drunk it's just awful. Even the characters or stereotypes oh the hot gay one is the one who turns out to be the jerk but the rest are not. It just drive me nuts. Margaret Cho is the only good thing about this show. Oh and the end is so bad it's like why did I waste 2 hours on this and did anything really happen in the 2 hours. Skip this movie trust me your saving yourself.,as gay i hated this film,i hated hated hated this film every gay stereotype times 100 this film finally they make gay film then they make it awful characters where so unlikeable i hated every one film as gay man i hated this film even more because its such stereotypes gay people oh gay people do drugs oh gay people hate relationship oh gay people get drunk its just awful even characters or stereotypes oh hot gay one is one who turns out be jerk but rest are not it just drive me nuts margaret cho is only good thing about this show oh end is so bad its like why did i waste 2 hours this did anything really happen 2 hours skip this movie trust me your saving yourself,0.6666666666666669,-0.15,Negative,"{'Happy': 0.34, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.38, 'Fear': 0.17}"
4.0,Hateful characters,"This is a movie that has a plot that can be resolved with a conversation.The main conflict can be resolved very easily, but because the characters are toxic and there is no communication between them we have this movie. It is difficult to define the genre of this film, first it seems like a comedy, then a dramatic comedy and at the last a romantic comedy, because of this it was difficult for me to connect with the story, even though it has some good things. The characters are very annoying, since their stubbornness is unbearable and creates many conflicts in the story, the ending does not have much to do with what they were telling us almost the entire movie, it does not feel necessary to have seen everything before to understand the final. It has some good things like talking about the beauty stereotypes that exist within the gay community, also judging someone by how they look and the prejudices that exist when seeing someone's way of dressing or expressing themselves, although it does not delve into these issues, is good that the plot mentions them. Other remarkable things about the film are the performances, everyone manages to give a convincing performance, this makes some moments seem real. The characters have very little development, as well as others not at all.I don't think it's a good movie, it doesn't work as a romantic comedy, nor does it manage to highlight some issues that are important to open a conversation about, I didn't empathize with the characters or their mission due to their lack of development, but I can say that there are some well-done scenes that kept my attention throughout the film despite its flaws, as part of the community I did not identify with the plot nor do I think it is an unmissable romantic comedy.",hateful characters,this is movie that has plot that can be resolved with conversation main conflict can be resolved very easily but because characters are toxic there is no communication between them we have this movie it is difficult define genre this film first it seems like comedy then dramatic comedy at last romantic comedy because this it was difficult me connect with story even though it has some good things characters are very annoying since their stubbornness is unbearable creates many conflicts story ending does not have much do with what they were telling us almost entire movie it does not feel necessary have seen everything before understand final it has some good things like talking about beauty stereotypes that exist within gay community also judging someone by how they look prejudices that exist when seeing someones way dressing or expressing themselves although it does not delve into these issues is good that plot mentions them other remarkable things about film are performances everyone manages give convincing performance this makes some moments seem real characters have very little development as well as others not at all i dont think its good movie it doesnt work as romantic comedy nor does it manage highlight some issues that are important open conversation about i didnt empathize with characters or their mission due their lack development but i can say that there are some well done scenes that kept my attention throughout film despite its flaws as part community i did not identify with plot nor do i think it is unmissable romantic comedy,0.6238505747126437,0.13170977011494253,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.15, 'Sad': 0.24, 'Fear': 0.36}"
4.0,"Lotsa drugs, booze and screamers, but not too many laughs","I don't think this film does any favors to the gay community especially on a streaming service available to view by so many for so many reasons and some of those will be for the wrong reasons. Laughing with gay people is not the same as laughing at them. This is only a depiction of a small, select section of gay men and the ancient stereotypes on constant display will only add fuel to the fire of haters, though I suppose those who hate will do so no matter what they see. Still, it is not an accurate depiction of the average gay man and I think that is damaging. As a rom-com, I suppose it's decent enough, but I'm not the one to judge that accurately as they are not my kind of film. There are a few funny lines, but many more wince worthy moments. I suppose if you don't find these types offensive, it's all pleasant enough in a silly way and some of the music is enjoyable. Booster is pretty much the star of this and is the best thing in it, but since he also wrote this, that is a half-hearted compliment. This is what he wants the world to think about gay men?!",lotsa drugs booze screamers but not too many laughs,i dont think this film does any favors gay community especially streaming service available view by so many so many reasons some those will be wrong reasons laughing with gay people is not same as laughing at them this is only depiction small select section gay men ancient stereotypes constant display will only add fuel fire haters though i suppose those who hate will do so no matter what they see still it is not accurate depiction average gay man i think that is damaging as rom com i suppose its decent enough but im not one judge that accurately as they are not my kind film there are few funny lines but many more wince worthy moments i suppose if you dont find these types offensive its all pleasant enough silly way some music is enjoyable booster is pretty much star this is best thing it but since he also wrote this that is half hearted compliment this is what he wants world think about gay men,0.5950450450450451,0.18513513513513516,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.19, 'Fear': 0.28}"
3.0,Yes it's cringeworthy,"This is like a bad episode of Saved By The Bell with an all gay cast. And Margaret Cho as the guidance counselor. The jokes are not funny, the acting is barely adequate with one actor racing through his lines like a jackhammer on steroids, and the script is amateurish (why are so many gay films so amateurish?) Save your time and give this garbage a pass....but if you REALLY want to know just how cringeworthy it is, just fast-forward to the last 2 minutes of the film. The ""big climax"" will make you laugh out loud it's so cliche. Or maybe it was meant to be mindboggingly silly, who knows when it comes to a mess like this?",yes its cringeworthy,this is like bad episode saved by bell with all gay cast margaret cho as guidance counselor jokes are not funny acting is barely adequate with one actor racing through his lines like jackhammer steroids script is amateurish why are so many gay films so amateurish save your time give this garbage pass but if you really want know just how cringeworthy it is just fast forward last 2 minutes film big climax will make you laugh out loud its so cliche or maybe it was meant be mindboggingly silly who knows when it comes mess like this,0.48137254901960785,0.009803921568627458,Positive,"{'Happy': 0.19, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.25, 'Fear': 0.31}"
3.0,Disappointing Jane Austen adaptation...,"I've been waiting my whole life for a gay version of the classic ""Pride and Prejudice"". The story lends itself well to gay life and culture. So why was this movie such a let down? The rich friends are vapid, which is true to the story. However, the writing and dialog give these characters nothing else to work with. The main character and his best friends are also very one dimensional. The best part of the novel is the characters and this movie oversimplifies them to a point it is almost insulting.",disappointing jane austen adaptation,ive been waiting my whole life gay version classic pride prejudice story lends itself well gay life culture so why was this movie such let down rich friends are vapid which is true story however writing dialog give these characters nothing else work with main character his best friends are also very one dimensional best part novel is characters this movie oversimplifies them point it is almost insulting,0.477037037037037,0.1490740740740741,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.12, 'Fear': 0.48}"
2.0,Really?,"Gross. Stereotypical. Sad. And Margaret Cho...seriously you should be a better actress by now. I can't. With any of this. Could some freaking writer/director PLEASE. STAND. UP. And make a good gay movie again PLEASE?! Beautiful Thing and Lilies aren't even viewed anymore, but man they also haven't had any competition or anything close to standing up to there amazingness in well I've 20 yrs. Sad and gross. For how ""forward"" we're supposed to be, I feel like we've fallen behind in gay cinema by centuries. Smdh.",really,gross stereotypical sad margaret cho seriously you should be better actress by now i cant with any this could some freaking writer director please stand up make good gay movie again please beautiful thing lilies arent even viewed anymore but man they also havent had any competition or anything close standing up there amazingness well ive 20 yrs sad gross how forward were supposed be i feel like weve fallen behind gay cinema by centuries smdh,0.6361111111111111,0.05416666666666666,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.15}"
,A bit tragic really,"Some people don't appreciate what they've got. Despite the other comments this is not about marginalized Asians or any race. Most of the characters portrayed are just low-confident, shallow, and way too sensitive. Many are like this in real life, but this could benefit with at least a couple of well-adjusted individuals to balance things out.",bit tragic really,some people dont appreciate what theyve got despite other comments this is not about marginalized asians or any race most characters portrayed are just low confident shallow way too sensitive many are like this real life but this could benefit with at least couple well adjusted individuals balance things out,0.5053030303030304,0.04469696969696971,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.15, 'Sad': 0.23, 'Fear': 0.46}"
