Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,A mindbogglingly convoluted chapter in animation and cinema itself,"I remember in 2005, as a young child who was just being acquainted with the internet, learning about Lawrence Kasanoff's Foodfight!. The film seemed unlike anything I had ever heard of before, combining dozens of popular advertising mascots such as Mr. Clean, Chester Cheetah, Mrs. Buttersworth, and Charlie the Tuna into one film that would resemble Toy Story if its setting had been transferred to a supermarket. The story of the film is actually one of cinema and animation's most baffling stories of a film's time in development hell and still captivates me whenever I scour the internet looking for a summation of what exactly went on with the picture. The story is one of incredible ambition, controversy, and an unfathomably disappointing conclusion. If you're not familiar with the backstory, I'll give you a little rundown.In 2001, director Lawrence Kasanoff, who was known for producing the Mortal Kombat films as well as a handful of TV adaptations on the franchise, announced an undertaking like no other - he was going to make an animated film under his own company Threshold Entertainment that focused on the events that would take place inside a supermarket when the lights would turn off. Kasanoff envisioned a spectacle like no other, centering on dozens of recognizable brand mascots that would fend off a new, evil brand that attempted to takeover the marketplace. Not only was a film planned, but merchandize-galore was in addition, with toys, stuffed animals, a potential web show, commercial tie-ins, fast food toys, books, and more were also planned to coincide with the film's release. Kasanoff called Threshold Entertainment ""the next Pixar"" and also banded together top animators from around the world to piece together a project with incredible ambition. The film was to be released in 2003.So why is it that for a film this ambitious you probably haven't heard a damn thing about it? Well, for starters, the film's first immediate roadblock came in the form of a burglary in 2003 when hard drives containing the film, its animation, and its conceptual mockups were stolen. The animators and everyone assigned to the project needed to start from scratch. Nonetheless, Kasanoff pushed on with the project, confirming a release date of 2005.Foodfight! never came out in 2005 and news of it became scarce and vague when it did manage to circulate. The release date was changed several times before finding itself up for auction in 2007 for a surprisingly low $2.5 million, given its ambition and $65 million budget. Finally, the film came out over a decade after it first hit production, in October 2012. It received a very limited theatrical release in Europe and a silent DVD/video-on-demand release in the States, effectively ending one of the most mindbogglingly convoluted chapters in animation history.Now the question begs an answer, what does Foodfight! look like in its final state? The simple answer is ""hell."" This is a film that was clearly rushed upon being purchased at the aforementioned auction. The story concerns, as stated, a supermarket that turns into a playground for its product-mascots upon closing. The leader of this world is Dex Dogtective (voiced by Charlie Sheen), a crime-fighter who becomes incredibly suspicious of ""Brand X,"" a new line of products that are hitting store shelves. Dex and his gang of friends Sunshine Goodness (Hilary Duff) and Daredevil Dan (Wayne Brady) prepare to keep the supermarket in their hands, but Dex increasingly finds himself distracted by the likes of Lady X (Eva Longoria), a desirable woman who keeps trying to win Dex's eye and the store manager finds himself dictated by Mr. Clipboard (Christopher Lloyd), who is enforcing Brand X.To begin with, the animation is awful. This is animation that looks and moves like a broken Sims game on PlayStation. Never in my life did I think I'd call an animated film with so many colors and characters odious but that's exactly what it is. While the characters appear in a three-dimensional state, the backgrounds almost look two-dimensional, and worst, are almost indistinguishable in terms of what they're supposed to be. This is clearly animation that is not finished and was forced to be the finished product. Characters are very stiff when moving, have a peculiar coldness to their movements in addition, and many of them look grotesque and ugly.Then there's the awful writing at hand here. One can sort of forgive the animation for looking terrible, seeing as, understandably, everyone's hands just wanted to be cleaned of this film, but with twelve years of production and a forced rewrite thanks to a burglary, you would think the writing would be marginally polished. And yet, Foodfight! bears so much sexual innuendo it's ungodly and very inappropriate for children (Daredevil Dan says to the sultry Lady X in one scene, ""Oh Mamacita! Yo, sweetcakes, nice packaging! How about some chocolate frosting? I'd like to butter your muffin!""), Lady X boasts fetish-like lingerie as her primary outlets, orchestrating the fan-fiction version of her character, and characters speak almost entirely in grocery-store/food puns. There's no characters here, despite there being like thirty that are recognizable. There are just empty, hollow animated creations programmed to spew something that is allegedly funny.Foodfight!'s existence and eventual outcome should be a warning to those who have an idea they see bold and ambitious opportunities for. Granted a burglary can't really be blamed on part of the writers and directors but an awful script, a premise that seems to exist solely as a corporate byproduct, fourth-rate animation, and incredibly unforgivable and unnecessary sexual innuendos can be. The fact that Foodfight! is a bad film is the least of its concerns; it's a morally, ethically, and visually reprehensible fiasco that scrapes the bottom of the barrel so forcefully that it's tearing a hole in its base.",mindbogglingly convoluted chapter animation cinema itself,i remember 2005 as young child who was just being acquainted with internet learning about lawrence kasanoffs foodfight film seemed unlike anything i had ever heard before combining dozens popular advertising mascots such as mr clean chester cheetah mrs buttersworth charlie tuna into one film that would resemble toy story if its setting had been transferred supermarket story film is actually one cinema animations most baffling stories films time development hell still captivates me whenever i scour internet looking summation what exactly went with picture story is one incredible ambition controversy unfathomably disappointing conclusion if youre not familiar with backstory ill give you little rundown 2001 director lawrence kasanoff who was known producing mortal kombat films as well as handful tv adaptations franchise announced undertaking like no other he was going make animated film under his own company threshold entertainment that focused events that would take place inside supermarket when lights would turn off kasanoff envisioned spectacle like no other centering dozens recognizable brand mascots that would fend off new evil brand that attempted takeover marketplace not only was film planned but merchandize galore was addition with toys stuffed animals potential web show commercial tie ins fast food toys books more were also planned coincide with films release kasanoff called threshold entertainment next pixar also banded together top animators around world piece together project with incredible ambition film was be released 2003 so why is it that film this ambitious you probably havent heard damn thing about it well starters films first immediate roadblock came form burglary 2003 when hard drives containing film its animation its conceptual mockups were stolen animators everyone assigned project needed start scratch nonetheless kasanoff pushed with project confirming release date 2005 foodfight never came out 2005 news it became scarce vague when it did manage circulate release date was changed several times before finding itself up auction 2007 surprisingly low 2 5 million given its ambition 65 million budget finally film came out over decade after it first hit production october 2012 it received very limited theatrical release europe silent dvd video demand release states effectively ending one most mindbogglingly convoluted chapters animation history now question begs answer what does foodfight look like its final state simple answer is hell this is film that was clearly rushed upon being purchased at aforementioned auction story concerns as stated supermarket that turns into playground its product mascots upon closing leader this world is dex dogtective voiced by charlie sheen crime fighter who becomes incredibly suspicious brand x new line products that are hitting store shelves dex his gang friends sunshine goodness hilary duff daredevil dan wayne brady prepare keep supermarket their hands but dex increasingly finds himself distracted by likes lady x eva longoria desirable woman who keeps trying win dexs eye store manager finds himself dictated by mr clipboard christopher lloyd who is enforcing brand x begin with animation is awful this is animation that looks moves like broken sims game playstation never my life did i think id call animated film with so many colors characters odious but thats exactly what it is while characters appear three dimensional state backgrounds almost look two dimensional worst are almost indistinguishable terms what theyre supposed be this is clearly animation that is not finished was forced be finished product characters are very stiff when moving have peculiar coldness their movements addition many them look grotesque ugly then theres awful writing at hand here one can sort forgive animation looking terrible seeing as understandably everyones hands just wanted be cleaned this film but with twelve years production forced rewrite thanks burglary you would think writing would be marginally polished yet foodfight bears so much sexual innuendo its ungodly very inappropriate children daredevil dan says sultry lady x one scene oh mamacita yo sweetcakes nice packaging how about some chocolate frosting id like butter your muffin lady x boasts fetish like lingerie as her primary outlets orchestrating fan fiction version her character characters speak almost entirely grocery store food puns theres no characters here despite there being like thirty that are recognizable there are just empty hollow animated creations programmed spew something that is allegedly funny foodfight s existence eventual outcome should be warning those who have idea they see bold ambitious opportunities granted burglary cant really be blamed part writers directors but awful script premise that seems exist solely as corporate byproduct fourth rate animation incredibly unforgivable unnecessary sexual innuendos can be fact that foodfight is bad film is least its concerns its morally ethically visually reprehensible fiasco that scrapes bottom barrel so forcefully that its tearing hole its base,0.5407203261854423,0.028600372495721327,Positive,"{'Happy': 0.05, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.45}"
10.0,Breathtaking Masterpiece.,"Oh, this film surpasses excellence. Every shred of detail is utterly flawless. The animation exceeds all that Disney has done and sends chills down my spine. A combination of surrealism and realism with a comprehensive story is perfect for the family. The jokes are of surprisingly high caliber and the dialogue is well delivered. Charlie Sheen did marvelously playing the role of Dex Dogtective. He, and the rest of the cast poured their soul into their performances and it shows. Very worth the watch.",breathtaking masterpiece,oh this film surpasses excellence every shred detail is utterly flawless animation exceeds all that disney has done sends chills down my spine combination surrealism realism with comprehensive story is perfect family jokes are surprisingly high caliber dialogue is well delivered charlie sheen did marvelously playing role dex dogtective he rest cast poured their soul into their performances it shows very worth watch,0.7084126984126984,0.6277777777777777,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.15, 'Fear': 0.38}"
10.0,The Greatest Animation Since Spirited Away,"Mr. Clean shines as a recovering drug addict in this dramatic depiction of Charlie Sheen's horrible addiction. Known only for the Mr. Clean commercials, Mr. Clean certainly does not need to clean up on any acting. The balding man shines brighter than his head reflected by the moonlit sky. Hillary Duff, played by the fantastic Lizzie Mcguire, is fantastic as Sheen's porn star daughter. I won't spoil it, but there is a fantastic appearance by Vanilla Ice with great comic relief that had me in tears laughing. Don't miss out on this one. Greatest food fight since Max Keeble's Big Move.",greatest animation since spirited away,mr clean shines as recovering drug addict this dramatic depiction charlie sheens horrible addiction known only mr clean commercials mr clean certainly does not need clean up any acting balding man shines brighter than his head reflected by moonlit sky hillary duff played by fantastic lizzie mcguire is fantastic as sheens porn star daughter i wont spoil it but there is fantastic appearance by vanilla ice with great comic relief that had me tears laughing dont miss out this one greatest food fight since max keebles big move,0.7234126984126985,0.27764550264550264,Positive,"{'Happy': 0.25, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.25, 'Fear': 0.25}"
10.0,Have you seen Jesus?,"I was born in a wasteland of a society. Nothing made sense, everything was cold. Then, light was brought upon my worthless existence. This light held the name ""FoodFight!"" Finally, my life had meaning. I created the church of FoodFight to worship the talent of Charlie Sheen in this film. Every day we practice the arts of early 2000 rendering on a budget.Everything about this film is the absolute best. From its wonderful acting, to terrific animation, to the most orgasmic inducing Nazi references (low-key tho). If you haven't seen this masterpiece of a movie, then you haven't seen Jesus. Coming to a TV screen near you...your's.",have you seen jesus,i was born wasteland society nothing made sense everything was cold then light was brought upon my worthless existence this light held name foodfight finally my life had meaning i created church foodfight worship talent charlie sheen this film every day we practice arts early 2000 rendering budget everything about this film is absolute best its wonderful acting terrific animation most orgasmic inducing nazi references low key tho if you havent seen this masterpiece movie then you havent seen jesus coming tv screen near you yours,0.6666666666666667,0.15333333333333335,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.33, 'Fear': 0.19}"
1.0,No matter how bad you think it is...,"...it's even worse.All evidence points to this animated film being contrived as a money-making scheme. ""Hey, we can create a cheap CGI movie and make companies pay for the celeb voices in advance by inserting their brands in the film!"" The result is worse than crass, it's abominably bad. It's so bad that the film has been stuck in production limbo for a decade and it hasn't aged well. The CGI, the story and the one-liners (oh God, the one-liners...) all bear the mark of genuine and profound incompetence, a complete lack of even the most most rudimentary story-telling skills.What passes for a narrative revolves around supermarket brands coming to life at night. Rex Dogtective (yeah, go ahead and try to laugh at that one), voiced by Charlie Sheen, mourns his lost love but must soon save his supermarket city from the evil, impersonal Brand X. With the help of ... ah, who cares?Foodfight! will bore, offend and anger you at the same time, such is its unprecedented badness. Please don't watch it.",no matter how bad you think it is,its even worse all evidence points this animated film being contrived as money making scheme hey we can create cheap cgi movie make companies pay celeb voices advance by inserting their brands film result is worse than crass its abominably bad its so bad that film has been stuck production limbo decade it hasnt aged well cgi story one liners oh god one liners all bear mark genuine profound incompetence complete lack even most most rudimentary story telling skills what passes narrative revolves around supermarket brands coming life at night rex dogtective yeah go ahead try laugh at that one voiced by charlie sheen mourns his lost love but must soon save his supermarket city evil impersonal brand x with help ah who cares foodfight will bore offend anger you at same time such is its unprecedented badness please dont watch it,0.5511904761904761,-0.10079365079365073,Negative,"{'Happy': 0.03, 'Angry': 0.06, 'Surprise': 0.21, 'Sad': 0.52, 'Fear': 0.18}"
10.0,AMAZING MOVIE,This movie is really really good i really think u should watch!!,amazing movie,this movie is really really good i really think u should watch,0.5666666666666667,0.5,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.86, 'Sad': 0.0, 'Fear': 0.0}"
10.0,A True Masterpiece,"Where to start with this one? Let me start by talking about the animation. I do not understand what is up with all of these reviews saying that the animation is bad. Do not get me wrong, it is not on the same level as something such as The Queen's Corgi, but the animation is not bad like everyone says it is. The animation is unique and original. I bet you can not name one other animated film that has animation quite like this one. Every scene clearly had a lot of heart and soul poured into it. It truly makes me wonder why so many films that come out nowadays show no signs of having passion behind them.Moving onto to the characters. One of my favorite things about this piece of art is that around ninety percent of the characters is that they are product placements. Another interesting thing that I noticed was that for the companies that clearly disagreed to have their brand shown anywhere in this film are portrayed as some sort of disgustingly designed bootleg version. It truly shows that the creators of this movie were so confident in it that they basically laughed in the faces of the brands that refused to come near the movie. This movie introduces a new character in basically every scene which keeps the film from ever getting boring. Each and every character is unique and like able, something that most films nowadays fail to create. Each and every character has a role in the story and so much backstory to go with them.Another truly extraordinary thing in this movie is how characters get around. Literally one second they are standing in the strange alternate dimension that they reside in and than suddenly teleport to the actual world with no context whatsoever. Most people would see this as just being lazy, but I see it as something else. This is called character building. You see, given how fast characters move around it is easy to assume that they have teleportation abilities. A lot of people these days want everything said out loud to them because they lack the sufficient amount of brain cells to figure things out on their own.However, my favorite part about this movie has to be the villains. In every single scene that they are in there are Nazi overtones. One of the characters literally says ""We were just falling orders!"" before being flattened and most certainly died right after. Not to mention their logo is basically a eagle clutching a + symbol, much like the eagle clutching the swastika. Same position and everything. This goes to show that the creators were not afraid to teach young lings about Nazi Germany and what happened during those times. Show many movies for kids these days are so watered down that they become boring to anyone with a somewhat developed brain.There is so much more to this film and I do not understand where the negative reviews are coming from.",true masterpiece,where start with this one let me start by talking about animation i do not understand what is up with all these reviews saying that animation is bad do not get me wrong it is not same level as something such as queens corgi but animation is not bad like everyone says it is animation is unique original i bet you can not name one other animated film that has animation quite like this one every scene clearly had lot heart soul poured into it it truly makes me wonder why so many films that come out nowadays show no signs having passion behind them moving onto characters one my favorite things about this piece art is that around ninety percent characters is that they are product placements another interesting thing that i noticed was that companies that clearly disagreed have their brand shown anywhere this film are portrayed as some sort disgustingly designed bootleg version it truly shows that creators this movie were so confident it that they basically laughed faces brands that refused come near movie this movie introduces new character basically every scene which keeps film ever getting boring each every character is unique like able something that most films nowadays fail create each every character has role story so much backstory go with them another truly extraordinary thing this movie is how characters get around literally one second they are standing strange alternate dimension that they reside than suddenly teleport actual world with no context whatsoever most people would see this as just being lazy but i see it as something else this is called character building you see given how fast characters move around it is easy assume that they have teleportation abilities lot people these days want everything said out loud them because they lack sufficient amount brain cells figure things out their own however my favorite part about this movie has be villains every single scene that they are there are nazi overtones one characters literally says we were just falling orders before being flattened most certainly died right after not mention their logo is basically eagle clutching symbol much like eagle clutching swastika same position everything this goes show that creators were not afraid teach young lings about nazi germany what happened during those times show many movies kids these days are so watered down that they become boring anyone with somewhat developed brain there is so much more this film i do not understand where negative reviews are coming,0.5635468441023996,0.0940008551119662,Positive,"{'Happy': 0.1, 'Angry': 0.04, 'Surprise': 0.22, 'Sad': 0.27, 'Fear': 0.37}"
1.0,Worst crossover ever,"I remember watching the Nostalgia Critic's review of this as well as JonTron's. It's truly some of the Critic's best work and should be seen. He compared it to ""Wreck-It Ralph"". I guess those are similar to the even more awesome Lego movie. They are films that show us that a world of fictional characters can be made into something wonderful. Sadly, this film shows us the complete opposite. I wouldn't quite say it was the worst animated movie I've ever seen. I think that ""honor"" goes to the 2001 animated Titanic movie. This film has credits that go for eight minutes. That other one had credits for fourteen minutes! I guess it technically isn't as ugly as ""Joshua And The Promised Land"", but it really is a worse film. At least that movie was less than an hour long! I hated every minute of this. It has some of the ugliest CGI ever created. These cartoon characters are horrible at showing emotions. They just seem to be staring blankly all the time. All of these characters are ugly. Even the ones who are labeled ugly are really no worse than anyone else. This might be the reason why I'm not into celebrity voices. Of course, anyone would regret being in this movie. What's worse is that there's this guy called General X who explicitly mentions how aroused he is by everything.The villain, Lady X wears clothes that alone should have gotten this movie a PG-13 rating. The climax is one of the most monotonous things I've ever seen in any movie. It's just characters throwing food over and over. It's painfully drawn out for something that's only an hour and a half long. The movements in this film are amazingly terrible. The facial expressions are among the worst ever created. It's good expressions that make me love animation so much. This film makes no sense. It features this world where food mascots go into their own magical world or maybe it comes to life at the end of the day or it exists on some other plane, but I don't care at all.It is a hideous film where the cameos serve no purpose at all. I looked in the credits and I found out there were characters like the Energizer Bunny in this. I didn't recall seeing him so they probably just put him in the crowd scenes for no reason and still mentioned him in the credits. The voices are obnoxious, especially this giant nosed sneezing guy. It's also hateful with them explicitly making Jew jokes. Wait, why would Brand X recall the prunes that Lady X came from? That's impossible! This is idiotic in every sense of the word and is as terrible as every Internet critic has made it out to be. Zero Stars",worst crossover ever,i remember watching nostalgia critics review this as well as jontrons its truly some critics best work should be seen he compared it wreck it ralph i guess those are similar even more awesome lego movie they are films that show us that world fictional characters can be made into something wonderful sadly this film shows us complete opposite i wouldnt quite say it was worst animated movie ive ever seen i think that honor goes 2001 animated titanic movie this film has credits that go eight minutes that other one had credits fourteen minutes i guess it technically isnt as ugly as joshua promised land but it really is worse film at least that movie was less than hour long i hated every minute this it has some ugliest cgi ever created these cartoon characters are horrible at showing emotions they just seem be staring blankly all time all these characters are ugly even ones who are labeled ugly are really no worse than anyone else this might be reason why im not into celebrity voices course anyone would regret being this movie whats worse is that theres this guy called general x who explicitly mentions how aroused he is by everything villain lady x wears clothes that alone should have gotten this movie pg 13 rating climax is one most monotonous things ive ever seen any movie its just characters throwing food over over its painfully drawn out something thats only hour half long movements this film are amazingly terrible facial expressions are among worst ever created its good expressions that make me love animation so much this film makes no sense it features this world where food mascots go into their own magical world or maybe it comes life at end day or it exists some other plane but i dont care at all it is hideous film where cameos serve no purpose at all i looked credits i found out there were characters like energizer bunny this i didnt recall seeing him so they probably just put him crowd scenes no reason still mentioned him credits voices are obnoxious especially this giant nosed sneezing guy its also hateful with them explicitly making jew jokes wait why would brand x recall prunes that lady x came thats impossible this is idiotic every sense word is as terrible as every internet critic has made it out be zero stars,0.6384057971014492,-0.1384057971014493,Negative,"{'Happy': 0.05, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.33, 'Fear': 0.33}"
10.0,My Fav Rom Com,"The dynamic between the dog and the squirrel blew my mind. I could see in Daredevil Dan's eyes the pain each time Dex and Sunshine kissed. This is better than the romance in Titanic.Daredevil Dan went through everything he could to gain cglove from Dex,But Dex couldn't see tyroi7ugh his façade, His ego too big. And brain too smol The raisins had such a critical and spiritual place in the film,./ It represented Dirty Dan's love for Dex, it did this because only Sunshine Goodness had raisins for the dogtective.Lets not even begin to discuss Mr Clean's role in this versatile film of drama heartbreak AND ANGYUISH. He act4d like a dirty heathen. what is the point in being called mr clean if yer just gonna love em and leave em. I wont even xplain myself.happy holidays Christmas is my fabourite time oof year",my fav rom com,dynamic between dog squirrel blew my mind i could see daredevil dans eyes pain each time dex sunshine kissed this is better than romance titanic daredevil dan went through everything he could gain cglove dex but dex couldnt see tyroi7ugh his fa ade his ego too big brain too smol raisins had such critical spiritual place film it represented dirty dans love dex it did this because only sunshine goodness had raisins dogtective lets not even begin discuss mr cleans role this versatile film drama heartbreak angyuish he act4d like dirty heathen what is point being called mr clean if yer just gonna love em leave em i wont even xplain myself happy holidays christmas is my fabourite time oof year,0.5923076923076922,0.11282051282051284,Positive,"{'Happy': 0.18, 'Angry': 0.12, 'Surprise': 0.24, 'Sad': 0.18, 'Fear': 0.29}"
10.0,"Foodfight giveth, and Foodfight taketh away.","Foodfight is, in short, a phenomenal film. It is a beauty to behold for the mind, the ears, and the eye. It is both an original and a clever homage to some of history's greatest films. It is a pioneering achievement in the art of animation, one that shall never be surpassed. This film will draw you in, and it will touch you. It will make you feel a powerful range of emotions which you have never felt before. You will laugh, and you will cry. You will rage, and you will fear. You will be sick to your stomach. You will ultimately feel a satisfaction unmatched by that which you have already experienced.Foodfight is more than just a movie. It's a personal experience. The characters were realistic and beautifully written. I felt like I knew them. Nay; I KNEW them. While I was watching the film, I considered them my closest friends. Their struggles, although foreign, were also relatable. As I watched them overcome their fears and their prejudices in order to save the day, they taught me that I, too, could be the hero. It made me rethink everything I thought I knew about society, heroism, and morality.This movie is truly a miracle. It cured my cancer, fed my starving children, and brought my grandmother back to life. Larry Kasanoff (the wonderful director of this film) is more than a filmmaker. He is a PROPHET. Mere words cannot express how thankful I am for the existence of his masterpiece. Thanks to Kasanoff, we finally have an answer to the age-old question. God is real, and He is Foodfight.∞/10 stars.",foodfight giveth foodfight taketh away,foodfight is short phenomenal film it is beauty behold mind ears eye it is both original clever homage some historys greatest films it is pioneering achievement art animation one that shall never be surpassed this film will draw you it will touch you it will make you feel powerful range emotions which you have never felt before you will laugh you will cry you will rage you will fear you will be sick your stomach you will ultimately feel satisfaction unmatched by that which you have already experienced foodfight is more than just movie its personal experience characters were realistic beautifully written i felt like i knew them nay i knew them while i was watching film i considered them my closest friends their struggles although foreign were also relatable as i watched them overcome their fears their prejudices order save day they taught me that i too could be hero it made me rethink everything i thought i knew about society heroism morality this movie is truly miracle it cured my cancer fed my starving children brought my grandmother back life larry kasanoff wonderful director this film is more than filmmaker he is prophet mere words cannot express how thankful i am existence his masterpiece thanks kasanoff we finally have answer age old question god is real he is foodfight 10 stars,0.5738612836438923,0.24430641821946167,Positive,"{'Happy': 0.11, 'Angry': 0.09, 'Surprise': 0.25, 'Sad': 0.34, 'Fear': 0.2}"
