Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,special,"I love Christian Bale. For each of his roles. But , in this case, I adore him. Because he is real great. Because the""chemistry "" between him and Matt Damon is perfect. But the film gives more . An admirable portrait of Enzo Ferrari by Remo Girone,fine job of Noah Jupe , Tracy Letts proposing a great Henry Ford II and each scene being admirable crafted. A film about race, family and passion. A special one, in high measure, in profound sense.",special,i love christian bale each his roles but this case i adore him because he is real great because chemistry between him matt damon is perfect but film gives more admirable portrait enzo ferrari by remo girone fine job noah jupe tracy letts proposing great henry ford ii each scene being admirable crafted film about race family passion special one high measure profound sense,0.6393506493506492,0.4703896103896103,Positive,"{'Happy': 0.39, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.11, 'Fear': 0.28}"
9.0,Entertaining In Every Way A Film Can Be,"I've never watched a car race in my life. I have absolutely no knowledge of the historic events surrounding the Ford and Ferrari motor companies. None of those two things mattered in my viewing experience of ""Ford v Ferrari"". Not only does it allow the viewer to be a complete clean slate, but it provides the utmost of entertainment on almost every front.For a very basic overview, this movie tells the story of how the Ford Motor Company was struggling in the 1960s and thus turned to racing cars to give their image a boost. The problem? For years, Ferrari has been the gold standard in that theater. But with Carroll Shelby (Matt Damon) overseeing the project and the volatile Ken Miles (Christian Bale) in the driver's seat, they set out to take down Ferrari at the 1966 24 Hours of Le Mans race.One of the main strengths of ""Ford v Ferrari"" is that it tells a bunch of different stories within the basic framework. Not only is it the clash that the title anticipates, but also a story of personal redemption for Shelby, one of personal goal-achievement for Miles, and even a healthy dose of ""big corporation screwing over the little guy"" thrown in. All of those angles are very distinct, with nothing muddled along the way. The 2.5 hour runtime really helps with this, allowing such arcs to play out in their entirety.The acting is also incredible from basically the entire cast. Bale gives a unique, quirky performance as seemingly only he can, Damon is solid (as always), and everyone else does their part admirably. Especially affecting are Miles' wife Mollie (Caitriona Balfe) and son Peter (Noah Jupe), who both provide much of the sentimental emotions present in the film. A specific scene where Ken explains to Peter exactly what he does on each individual racing lap is as good as acting gets.There's also a never-ending sense of forward momentum and just overall fun to ""Ford v Ferrari"". It never takes itself too seriously, yet it isn't a comedy. It's long, but doesn't feel that way due to the expert pacing--a perfect balance of pulse-pounding action scenes and slower, more emotional scenes within the understated 1960s period feel. Director James Mangold probably deserves a good amount of the credit for making this all congeal together as well as it did.Overall, this is a spectacular film precisely because it can hit audiences in so many different ways. Whether through the action, emotion, true story, or underlying themes, most viewers will be able to find something to enjoy here. Even if, like I said before, no previously knowledge of racing is present.",entertaining every way film can be,ive never watched car race my life i have absolutely no knowledge historic events surrounding ford ferrari motor companies none those two things mattered my viewing experience ford v ferrari not only does it allow viewer be complete clean slate but it provides utmost entertainment almost every front very basic overview this movie tells story how ford motor company was struggling 1960s thus turned racing cars give their image boost problem years ferrari has been gold standard that theater but with carroll shelby matt damon overseeing project volatile ken miles christian bale drivers seat they set out take down ferrari at 1966 24 hours le mans race one main strengths ford v ferrari is that it tells bunch different stories within basic framework not only is it clash that title anticipates but also story personal redemption shelby one personal goal achievement miles even healthy dose big corporation screwing over little guy thrown all those angles are very distinct with nothing muddled along way 2 5 hour runtime really helps with this allowing such arcs play out their entirety acting is also incredible basically entire cast bale gives unique quirky performance as seemingly only he can damon is solid as always everyone else does their part admirably especially affecting are miles wife mollie caitriona balfe son peter noah jupe who both provide much sentimental emotions present film specific scene where ken explains peter exactly what he does each individual racing lap is as good as acting gets theres also never ending sense forward momentum just overall fun ford v ferrari it never takes itself too seriously yet it isnt comedy its long but doesnt feel that way due expert pacing perfect balance pulse pounding action scenes slower more emotional scenes within understated 1960s period feel director james mangold probably deserves good amount credit making this all congeal together as well as it did overall this is spectacular film precisely because it can hit audiences so many different ways whether through action emotion true story or underlying themes most viewers will be able find something enjoy here even if like i said before no previously knowledge racing is present,0.4547975517890772,0.15729284369114874,Positive,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.18, 'Sad': 0.18, 'Fear': 0.53}"
10.0,Puts my faith in the movie business again,"This is what cinema is supposed to be! Amazing chemistry and acting by both leads, seamless CGI and practical effects to enhance the film, a firecracker script, a true story, pulse pounding soundtrack, booming sound mix, and edited so well that 2.5 hours flies by! Completely and utterly engaging . So good in fact I saw it twice within 24 hours . Once in Imax and once in Dolby cinema .",puts my faith movie business again,this is what cinema is supposed be amazing chemistry acting by both leads seamless cgi practical effects enhance film firecracker script true story pulse pounding soundtrack booming sound mix edited so well that 2 5 hours flies by completely utterly engaging so good fact i saw it twice within 24 hours once imax once dolby cinema,0.4785714285714286,0.36428571428571427,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.42}"
9.0,Filled with Energy,"Biopics can be a hard sell at times. Whether you're diving into the troubled life of an addict or exploring someone's sexuality, there are many touchy subjects these days. With that said, I feel there are also those that will stand the test of time, in terms of being able to please a wide audience. Ford v Ferrari is one of the latest true stories out of Hollywood that will be hitting the big screen soon, and here's why I believe it absolutely deserves attention.Following multiple characters throughout, Ford v Ferrari focussed on the fact that Henry Ford II was given an idea to create the fastest race car in the world. His mission is to take down the likes of the company Ferrari, who have held the title for years. Carol Shelby (Matt Damon) is approached by a member of the Ford team and is recruited, only to be the one finding himself recruiting the driver in Ken Miles (Christian Bale). That's the core premise and there's a lot to dive into from there.If you're a fan of racing or cars in general, this movie will be for you. This is a very well-directed film by James Mangold, and the racing sequences are quite long, taking up a good chunk of the nearly 150-minute run time. Luckily, they are very intense, practically shot, with a fantastic score to back it up, and sound effects to get your heart pumping. Everything about the exciting aspects of this film was top notch.Christian Bale and Matt Damon give stellar performances here as the two leading men in the film and I totally bought their rigid friendship that slowly developed. Sadly, without giving anything away, there is an incident that I feel was not explored enough, which slightly took away when a certain moment is meant to impact the movie. Other than that, this is a fantastic movie from beginning to end.In the end, Ford v Ferrari is engaging, emotional, and downright thrilling when it wants to be. I was invested in these characters and on the edge of my seat during the climactic races. I thoroughly enjoyed my experience with this movie. There is a missed opportunity in terms of emotion during a certain scene, but I was able to forgive that, seeing as the rest of the movie was so impressive. Ford v Ferrari is one of the best movies I've seen so far this year and it will be one to see when it officially releases.",filled with energy,biopics can be hard sell at times whether youre diving into troubled life addict or exploring someones sexuality there are many touchy subjects these days with that said i feel there are also those that will stand test time terms being able please wide audience ford v ferrari is one latest true stories out hollywood that will be hitting big screen soon heres why i believe it absolutely deserves attention following multiple characters throughout ford v ferrari focussed fact that henry ford ii was given idea create fastest race car world his mission is take down likes company ferrari who have held title years carol shelby matt damon is approached by member ford team is recruited only be one finding himself recruiting driver ken miles christian bale thats core premise theres lot dive into there if youre fan racing or cars general this movie will be you this is very well directed film by james mangold racing sequences are quite long taking up good chunk nearly 150 minute run time luckily they are very intense practically shot with fantastic score back it up sound effects get your heart pumping everything about exciting aspects this film was top notch christian bale matt damon give stellar performances here as two leading men film i totally bought their rigid friendship that slowly developed sadly without giving anything away there is incident that i feel was not explored enough which slightly took away when certain moment is meant impact movie other than that this is fantastic movie beginning end end ford v ferrari is engaging emotional downright thrilling when it wants be i was invested these characters edge my seat during climactic races i thoroughly enjoyed my experience with this movie there is missed opportunity terms emotion during certain scene but i was able forgive that seeing as rest movie was so impressive ford v ferrari is one best movies ive seen so far this year it will be one see when it officially releases,0.5531577169875044,0.19006416751097605,Positive,"{'Happy': 0.13, 'Angry': 0.1, 'Surprise': 0.13, 'Sad': 0.2, 'Fear': 0.43}"
10.0,Oscar Winning Performance,"Rating 10/10 Inspired movie of the year. It is wonderfully made. A good story well told. Tightly written, well acted and directed. I hope Matt Damon and Christian Bale can winning an oscar awards because he already deliver the character very well. Thank you to all of you because make it this movie so amazing . A masterpiece !!",oscar winning performance,rating 10 10 inspired movie year it is wonderfully made good story well told tightly written well acted directed i hope matt damon christian bale can winning oscar awards because he already deliver character very well thank you all you because make it this movie so amazing masterpiece,0.5732142857142857,0.4151785714285715,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.27}"
8.0,old fashion greatness,Racing champ Carroll Shelby (Matt Damon) has to retire due to a medical issue. His racing friend Ken Miles (Christian Bale) is seen as difficult and the IRS has confiscated his garage. Ferrari has been at the top of racing in the 24 Hours of Le Mans. The Ford Motor Company finds its sales going stale and Henry Ford II wants a big idea. Marketing VP Lee Iacocca has the idea to enter the race. They first try to buy Ferrari and Enzo Ferrari insults Henry Ford II. Iacocca recruits Shelby to create a racing car and Shelby recruits Miles to be his driver.This is an old fashion rip roaring good times. Damon and Bale are great. All the actors are great whether it's Tracy Letts being told that he's not Henry Ford or the villainy of Josh Lucas. It's a solid sports underdog story. It's fun like Caitriona Balfe driving crazy. The race is thrilling. It is a perfectly made old fashion movie.,old fashion greatness,racing champ carroll shelby matt damon has retire due medical issue his racing friend ken miles christian bale is seen as difficult irs has confiscated his garage ferrari has been at top racing 24 hours le mans ford motor company finds its sales going stale henry ford ii wants big idea marketing vp lee iacocca has idea enter race they first try buy ferrari enzo ferrari insults henry ford ii iacocca recruits shelby create racing car shelby recruits miles be his driver this is old fashion rip roaring good times damon bale are great all actors are great whether its tracy letts being told that hes not henry ford or villainy josh lucas its solid sports underdog story its fun like caitriona balfe driving crazy race is thrilling it is perfectly made old fashion movie,0.4404166666666667,0.16875,Positive,"{'Happy': 0.2, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.08, 'Fear': 0.48}"
10.0,Best Race Car Movie Ever?,"Gut level racing movie with no need to manufacture fictional drama - Fact takes over the drama throughout Ford v Ferrari and it is glorious on-the-edge engagement fueled by the Hi-Test performances of the two stars Matt Damon and Christian Bale.Being a former SCCA racer (in my 20's), my bucket list need for speed took me to the track to live out my childhood dream of racing cars, and I did an admirable job at winning races at one of the lowest levels possible in racing - but it was always about being the best that I knew I could be (and could afford as car racing gets very expensive as you move up to the higher performance level cars), which as it turns out was better than anyone else at that level.Hill took that to the top production and competition levels (financed by manufacturers, and those independents with extremely deep pockets), illustrating the universal need of racers to validate their abilities, which is magnified 100-fold at the professional level.This is a great film as filmmaking goes, whether one is a race fan or a movie fan, and deserved its nominations and awards. Best race car movie of all time?? X marks the spot, and that is 'Ford v Ferrari'. No brainer 10/10.👍👍",best race car movie ever,gut level racing movie with no need manufacture fictional drama fact takes over drama throughout ford v ferrari it is glorious edge engagement fueled by hi test performances two stars matt damon christian bale being former scca racer my 20s my bucket list need speed took me track live out my childhood dream racing cars i did admirable job at winning races at one lowest levels possible racing but it was always about being best that i knew i could be could afford as car racing gets very expensive as you move up higher performance level cars which as it turns out was better than anyone else at that level hill took that top production competition levels financed by manufacturers those independents with extremely deep pockets illustrating universal need racers validate their abilities which is magnified 100 fold at professional level this is great film as filmmaking goes whether one is race fan or movie fan deserved its nominations awards best race car movie all time x marks spot that is ford v ferrari no brainer 10 10,0.4152941176470588,0.3021390374331551,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.1, 'Fear': 0.47}"
8.0,"""We're gonna build a race car.""","You don't have to be a race car enthusiast to enjoy this film. I'm certainly not, having neither the desire or the patience to watch daring motor cars race around a track at mind boggling speeds. Though you do have to credit the drivers who enjoy the profession; it takes a certain amount of bravura and stamina to withstand the pace and stress forces that go with the territory. Without knowing the story in advance, I thought it was going to pit Matt Damon against Christian Bale as opposing drivers, but that idea was quickly put to rest. The legendary Carroll Shelby (Damon) is in the spotlight here as the former racer and design engineer recruited by the Ford Motor Company to build a championship vehicle. In no small measure was it Ford's response to a snub by Italian car maker, Enzo Ferrari, who turned down a merger with the American company in a fit of pique. Had he gone along, the end result in the picture may never have occurred.The movie will call to mind the Steve McQueen race car epic ""Le Mans"" from 1971. With a half century separating the two films, both reliably capture the spirit and flavor of the world's longest endurance test. ""Le Mans"" has more of a documentary type feel than the movie under consideration here, with less of a plot and straightforward story line. Building up to the seminal race in 1966 featured in this film, the story takes an introspective look at the machinations of the Ford Motor Company to control all aspects of engineering a vehicle they hope to defeat the Italians with. Not to mention the politics and marketing aspect of selecting a driver who wouldn't embarrass the company by going public with any developmental problems along the way.For fans and non-fans alike, the racing scenes are thrilling and adrenaline inducing. As driver Ken Mills, Christian Bale exudes nerves of steel and a soaring passion to be the best driver out there, achieving mind boggling speeds that would otherwise strike fear in the hearts of most mortal men. That was comically illustrated in the one scene in which Shelby himself took Henry Ford II (Tracy Letts) for a 'spin' in a car under development. If there's any sense of a let down with the picture, it would have to be the screw job Mills suffered when he agreed to bring in all three of Ford's race cars to the finish line together at Le Mans. Realizing it, Mills bore the slight with dignity, knowing in his heart that he was the best driver out there that day, and nothing could take that away from him.",were gonna build race car,you dont have be race car enthusiast enjoy this film im certainly not having neither desire or patience watch daring motor cars race around track at mind boggling speeds though you do have credit drivers who enjoy profession it takes certain amount bravura stamina withstand pace stress forces that go with territory without knowing story advance i thought it was going pit matt damon against christian bale as opposing drivers but that idea was quickly put rest legendary carroll shelby damon is spotlight here as former racer design engineer recruited by ford motor company build championship vehicle no small measure was it fords response snub by italian car maker enzo ferrari who turned down merger with american company fit pique had he gone along end result picture may never have occurred movie will call mind steve mcqueen race car epic le mans 1971 with half century separating two films both reliably capture spirit flavor worlds longest endurance test le mans has more documentary type feel than movie under consideration here with less plot straightforward story line building up seminal race 1966 featured this film story takes introspective look at machinations ford motor company control all aspects engineering vehicle they hope defeat italians with not mention politics marketing aspect selecting driver who wouldnt embarrass company by going public with any developmental problems along way fans non fans alike racing scenes are thrilling adrenaline inducing as driver ken mills christian bale exudes nerves steel soaring passion be best driver out there achieving mind boggling speeds that would otherwise strike fear hearts most mortal men that was comically illustrated one scene which shelby himself took henry ford ii tracy letts spin car under development if theres any sense let down with picture it would have be screw job mills suffered when he agreed bring all three fords race cars finish line together at le mans realizing it mills bore slight with dignity knowing his heart that he was best driver out there that day nothing could take that away him,0.3522250566893424,0.22069160997732423,Positive,"{'Happy': 0.07, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.23, 'Fear': 0.41}"
9.0,An exhilarating and emotional ride,"A lot of notes were hit by Ford v Ferrari. The characters are fleshed out very well and give you the emotional attachment you're looking for in a movie. Bale and Damon's performances are great; they pull you into the story and completely disappear into their roles. James Mangold proves, once again, to be a master behind the camera. The action scenes are shot to perfection and will have you biting your nails.The film's technical aspects were top-notch as well. Wait for this film to be nominated for sound design and editing. These technical aspects, during the climax of the film, will blow your hair back and give you goosebumps.All in all, this film provides a pleasing experience for the crowd that not many films can even come close to delivering. I loved about every second of it, despite its long runtime.",exhilarating emotional ride,lot notes were hit by ford v ferrari characters are fleshed out very well give you emotional attachment youre looking movie bale damons performances are great they pull you into story completely disappear into their roles james mangold proves once again be master behind camera action scenes are shot perfection will have you biting your nails films technical aspects were top notch as well wait this film be nominated sound design editing these technical aspects during climax film will blow your hair back give you goosebumps all all this film provides pleasing experience crowd that not many films can even come close delivering i loved about every second it despite its long runtime,0.40277777777777773,0.17222222222222225,Positive,"{'Happy': 0.22, 'Angry': 0.09, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.26}"
9.0,Movie keeps you at 7000 rpm,"Ford V Ferrari is one of the best movies I've seen this year, and for someone who has little interest in cars besides minivans and SUVs, that's saying a lot. Just like the race cars produced by its namesakes, Ford v. Ferrari is sleek and fast; a powerful and expensive machine. A supremely well-balanced combination of corporate rivalry, on-track competitiveness and human drama.",movie keeps you at 7000 rpm,ford v ferrari is one best movies ive seen this year someone who has little interest cars besides minivans suvs thats saying lot just like race cars produced by its namesakes ford v ferrari is sleek fast powerful expensive machine supremely well balanced combination corporate rivalry track competitiveness human drama,0.45714285714285713,0.11607142857142858,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.5}"
