Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,Actually really good.,"I did not expect that, this was chosen literally for convenience, I'd seen the trailers, and didn't think I'd enjoy it, it is so good. I'm sometimes hard to please with films, but this is definitely worth seeing. It's bonkers, it's crazy, but it's funny, and actually pretty moving at times, a more heart warming film then you'd think it would be.Some pretty amazing special effects, it is never boring at any stage.Ryan Reynolds is terrific, and fans if his will appreciate him being here, he's great, as is Comer.I didn't expect it to be this good, 8/10.",actually really good,i did not expect that this was chosen literally convenience id seen trailers didnt think id enjoy it it is so good im sometimes hard please with films but this is definitely worth seeing its bonkers its crazy but its funny actually pretty moving at times more heart warming film then youd think it would be some pretty amazing special effects it is never boring at any stage ryan reynolds is terrific fans if his will appreciate him being here hes great as is comer i didnt expect it be this good 8 10,0.7226934523809524,0.33846726190476195,Positive,"{'Happy': 0.3, 'Angry': 0.07, 'Surprise': 0.33, 'Sad': 0.1, 'Fear': 0.2}"
9,The feel-good film for summer 2021 with a typically hilarious Ryan Reynolds,"One glance at FREE GUY, the newest big budget offering from Hollywood's favorite action-star/comedy master Ryan Reynolds, will cause most to approach with valid skepticism. The plot seems like a cheap knockoff of films like Ready Player One or even The Matrix, but made in a crude fashion to make more money at the box office. The actual movie, however, could not be further from the worst estimates. Not only is FREE GUY constantly hilarious due to Reynolds and an inventive screenplay, and not only is this possibly the feel-good event of the summer, but it also has a considerable amount of thought put into the meaning of its premise and places a mirror in front of modern-day video game culture.To put it simply, perhaps the main reason this movie comes together so well is because of Ryan Reynolds' constant charisma and hilarity. Most of his dialogue is clearly either written by him or created by him on the spot (I have no idea how he hasn't received a screenwriting credit for this and the Deadpool movies), and the film is that much better as a whole because of it. He also interacts with the other actors in the film very well, including Jodie Comer and Joe Keery, two underrated actors who prove here that they aren't just one-time stars from their respective television shows (Killing Eve and Stranger Things). The ensemble combines to create the most consistently funny movie of 2021 so far.However, this movie isn't just hilarity and crazy antics, although it could easily get by on those aspects alone. FREE GUY has tons of heart and authenticity despite its virtual reality-based plot, and is about very human emotions such as disillusionment, the feeling of being trapped, and, of course, love. There are times where the heartwarming aspects of this film resemble a charming romantic comedy and others where it gets so existential that it almost feels like The Truman Show. It never dives quite as deep as the latter film, but the fact that it even has the guts to include these themes made this easygoing big-budget movie a far better watch for me. Sure, the last thirty minutes are very cheesy and contain a lot of clichés, but the buildup is so solid that it earns some dumb rom-com moments near the end.FREE GUY is worth going to see because it is one of the few quality films right now that increases one's faith in human nature. Lately I feel as though I have lost my faith in humanity with all that is happening in the world, so it is refreshing to get a movie that feels confident in the human experience. Maybe I'm looking too deep into the message of FREE GUY and maybe it was conceived just so Ryan Reynolds could screw around for two hours, but either way the price of admission is well worth it for an amazing time at the theater.A-",feel good film summer 2021 with typically hilarious ryan reynolds,one glance at free guy newest big budget offering hollywoods favorite action star comedy master ryan reynolds will cause most approach with valid skepticism plot seems like cheap knockoff films like ready player one or even matrix but made crude fashion make more money at box office actual movie however could not be further worst estimates not only is free guy constantly hilarious due reynolds inventive screenplay not only is this possibly feel good event summer but it also has considerable amount thought put into meaning its premise places mirror front modern day video game culture put it simply perhaps main reason this movie comes together so well is because ryan reynolds constant charisma hilarity most his dialogue is clearly either written by him or created by him spot i have no idea how he hasnt received screenwriting credit this deadpool movies film is that much better as whole because it he also interacts with other actors film very well including jodie comer joe keery two underrated actors who prove here that they arent just one time stars their respective television shows killing eve stranger things ensemble combines create most consistently funny movie 2021 so far however this movie isnt just hilarity crazy antics although it could easily get by those aspects alone free guy has tons heart authenticity despite its virtual reality based plot is about very human emotions such as disillusionment feeling being trapped course love there are times where heartwarming aspects this film resemble charming romantic comedy others where it gets so existential that it almost feels like truman show it never dives quite as deep as latter film but fact that it even has guts include these themes made this easygoing big budget movie far better watch me sure last thirty minutes are very cheesy contain lot clich s but buildup is so solid that it earns some dumb rom com moments near end free guy is worth going see because it is one few quality films right now that increases ones faith human nature lately i feel as though i have lost my faith humanity with all that is happening world so it is refreshing get movie that feels confident human experience maybe im looking too deep into message free guy maybe it was conceived just so ryan reynolds could screw around two hours but either way price admission is well worth it amazing time at theater,0.5492264699306952,0.14874245472837025,Positive,"{'Happy': 0.24, 'Angry': 0.03, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.29}"
9,Free GTA,"I reckon the future may hold a game like this for us ... where the AI is so developed, that NPC (non playable characters) live their own life in games, make their own decisions and so forth. Having Ryan Reynolds starring in this ... well it is a genius move to say the least. I called it the Ryan Reynolds show and I'm quite certain no matter if you like this or not, in this regard you will agree with me.Having said that, there are other characters who give it their all, especially our female protagonist. Her counterpart in the real world is as overdrawn as he can be ... Taika does a really good job ... he is actually more comically and one sided that most of the characters in the game he developed ... well others did for him.And then you have the ally in the real world ... a good guy who has to be convinced and who has to come around ... and who you may never feel as much sympathy for as you did for Ryan Reynolds. Even when you figured the ""twist"" in his character and where the story leads ... apart from the revealing a scam thing.Having said all that, the movie boosts a lot of cameos ""in game"" and also real world ... has references galore (not just to GTA and apparently Fortnite, have not played the latter yet, but also to movies and persons/movie characters/franchises)! This can be so much fun if you spot them - not sure how some will play out in say a hundred years ... but you can never tell or guess the impact of something like that.The movie is insane and a lot of fun and has even a moral message in it of sorts. You can detect some philosophical ideas in it too ... what is life and all that. But the main thing and the surface are there to entertain you ... so be entertained and have fun with this!",free gta,i reckon future may hold game like this us where ai is so developed that npc non playable characters live their own life games make their own decisions so forth having ryan reynolds starring this well it is genius move say least i called it ryan reynolds show im quite certain no matter if you like this or not this regard you will agree with me having said that there are other characters who give it their all especially our female protagonist her counterpart real world is as overdrawn as he can be taika does really good job he is actually more comically one sided that most characters game he developed well others did him then you have ally real world good guy who has be convinced who has come around who you may never feel as much sympathy as you did ryan reynolds even when you figured twist his character where story leads apart revealing scam thing having said all that movie boosts lot cameos game also real world has references galore not just gta apparently fortnite have not played latter yet but also movies persons movie characters franchises this can be so much fun if you spot them not sure how some will play out say hundred years but you can never tell or guess impact something like that movie is insane lot fun has even moral message it sorts you can detect some philosophical ideas it too what is life all that but main thing surface are there entertain you so be entertained have fun with this,0.45471521942110177,0.12036223580341228,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.23, 'Sad': 0.17, 'Fear': 0.44}"
8,Didn't see that coming,"Blue shirt Guy (Ryan Reynolds) is an NPC that does the same thing everyday. When he sees a female player he goes out of character to meet her. It seems the program has an AI algorithm that allows the characters to develop. This turns his world upside down.There have been films with characters in games interacting with humans. Tron was the forerunner to all of this. There were numerous low budget films and who didn't fall in love with ""Glitch."" This film was fresh and funny. And like all great films, it was also a love story.",didnt see that coming,blue shirt guy ryan reynolds is npc that does same thing everyday when he sees female player he goes out character meet her it seems program has ai algorithm that allows characters develop this turns his world upside down there have been films with characters games interacting with humans tron was forerunner all this there were numerous low budget films who didnt fall love with glitch this film was fresh funny like all great films it was also love story,0.4608796296296296,0.16620370370370371,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.18, 'Fear': 0.35}"
8,Its a really fun movie,"You don't have to understand game to watch this one, but if you do, this movie can be more fun.It was hilarious all the way till the end, so it make some 'serious' scene feels more sharp at the other hand. Nothing can be seriously wrong about this movie, and that's good.",its really fun movie,you dont have understand game watch this one but if you do this movie can be more fun it was hilarious all way till end so it make some serious scene feels more sharp at other hand nothing can be seriously wrong about this movie thats good,0.5537878787878788,0.11969696969696969,Positive,"{'Happy': 0.5, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.0}"
8,Free Guy is popcorn movies at its best.,"Ryan Reynolds is guy, a NPC living in the game Free City. He met Jodie Comer's character and discovers things about his world. There's also a real life part of the film, with Joe Keery, Jodie Comer again, and Taika Watiti.These are all great names. And with amazing direction, an original idea and great execution is what makes Free Guy such an endlessly entertaining film.This is a short review because i want to let you see it yourself and be amazed by how good Free Guy actually is.Did I enjoy it? Yes. Is it a flawless masterpiece? Maybe not. Did I smile throughout the whole film just because how fun it is? Hell yeah.",free guy is popcorn movies at its best,ryan reynolds is guy npc living game free city he met jodie comers character discovers things about his world theres also real life part film with joe keery jodie comer again taika watiti these are all great names with amazing direction original idea great execution is what makes free guy such endlessly entertaining film this is short review because i want let you see it yourself be amazed by how good free guy actually is did i enjoy it yes is it flawless masterpiece maybe not did i smile throughout whole film just because how fun it is hell yeah,0.5595238095238095,0.3988095238095239,Positive,"{'Happy': 0.4, 'Angry': 0.04, 'Surprise': 0.28, 'Sad': 0.16, 'Fear': 0.12}"
7,A cute idea...though the first 20 or so minutes is by far the best.,"For the first 20 or so minutes of ""Free Guy"" I was enthralled. As I watched the film on HBO Max, I called my wife over the watch and we both laughed and enjoyed the film. However, as the film progressed the movie lost some of its momentum...and this slowed to a crawl later in the movie. Why? Well, the same problem with ""Free Guy"" is the same with ""Pokémon Detective Pikachu"" (incidentally, both starring the likable Ryan Reynolds)....plot. Or, more like it, too much plot. Both films did great jobs world building but after that, they both seemed to insist too much on a plot involving a baddie...which is very formulaic but also reduced the magic from the story. I would have rather seen more of the exciting world in both...and less baddies.The story is an odd one...one that is similar to combining ""The Truman Show"", ""Pokémon Detective Pikachu"", ""They Live"", and an online game that plays a bit like ""Grand Theft Auto""! And, the main character, Guy (Reynolds), is an NPC (a non-player character) in a massive world created for online gamers. However, something odd happens.... Guy begins to develop consciousness...and it is driven home when he dons a pair of sunglasses. Suddenly, he can see power ups, health power ups and more! What's next? Well, a baddie...and one whose motivations were vague.Overall, the film is still worth watching...it's good. But the momentum which is going so fast when the film begins just can't be maintained through the course of the film.By the way, there are no extra scenes. When the movie ends and the end titles begins, the story is over...just in case you're tempted to keep watching.",cute idea though first 20 or so minutes is by far best,first 20 or so minutes free guy i was enthralled as i watched film hbo max i called my wife over watch we both laughed enjoyed film however as film progressed movie lost some its momentum this slowed crawl later movie why well same problem with free guy is same with pok mon detective pikachu incidentally both starring likable ryan reynolds plot or more like it too much plot both films did great jobs world building but after that they both seemed insist too much plot involving baddie which is very formulaic but also reduced magic story i would have rather seen more exciting world both less baddies story is odd one one that is similar combining truman show pok mon detective pikachu they live online game that plays bit like grand theft auto main character guy reynolds is npc non player character massive world created online gamers however something odd happens guy begins develop consciousness it is driven home when he dons pair sunglasses suddenly he can see power ups health power ups more whats next well baddie one whose motivations were vague overall film is still worth watching its good but momentum which is going so fast when film begins just cant be maintained through course film by way there are no extra scenes when movie ends end titles begins story is over just case youre tempted keep watching,0.4427350427350429,0.22315462315462314,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.11, 'Fear': 0.41}"
6,Virtually a good movie,"Much like the virtual world in which the people of Free City live, the movie Free Guy is virtually a good movie. Most of the elements of a good movie are there, but it feels artificial, and you can tell that something is off. It's entertaining enough, and I appreciated the pop culture references and action sequences, but frankly I preferred this version of the story when it was called The Lego Movie.",virtually good movie,much like virtual world which people free city live movie free guy is virtually good movie most elements good movie are there but it feels artificial you can tell that something is off its entertaining enough i appreciated pop culture references action sequences but frankly i preferred this version story when it was called lego movie,0.5384615384615384,0.3027972027972028,Positive,"{'Happy': 0.58, 'Angry': 0.0, 'Surprise': 0.08, 'Sad': 0.17, 'Fear': 0.17}"
4,"That's not how video-games work, my guy.","'Free Guy (2021)' feels as though it's been made by people who have never actually played a video-game. It's the cinematic equivalent of those pre-rendered mobile game adverts that pretend to present gameplay but don't actually represent the game they're trying to sell at all. Though there are a couple of interesting ideas centred around the A. I. that makes Reynold's Guy able to go against his code, the piece just doesn't do anything with them. It doesn't really make sense and there's no semblance of cohesion or believability to the game that makes up most of its runtime. I mean, who is 'Free City' for and what do you do in it? It's not PvP from the looks of it, but everyone freaks out when an NPC actually presents a challenge to a player. God forbid a player gets killed by an enemy in a game, right? However, the fact that it lacks a proper sense of logic isn't its biggest issue, although it is undeniably irritating that a movie which is supposed to celebrate video-games clearly doesn't understand them and also partakes in the kind of banal 'gamer' stereotyping that perforates pretty much every piece of traditional media about the subject. No, the biggest issue is that, for me, it simply isn't fun. It's quite the opposite, usually. The amount of cringeworthy moments are nearly innumerable and its message is incredibly hypocritical considering that it lambasts big-budget games which are fuelled by mindless chaos and exist only to make money from a target audience that their developers clearly don't respect but it's a big-budget movie which is fuelled by mindless chaos and exists only to make money from a target audience that its creators clearly don't respect. Ryan Reynold's on-screen persona, which is essentially the same in every comedic film in which he appears, is also incredibly annoying and does the opposite of elicit laughter. There are some relatively impressive visual effects - even though nothing feels tangible and one or two are actually rather disturbing - and there are a couple of action sequences which are relatively well put together. However, the overall experience is just dull, despite all of its in-your-face noise. It's just such a corporate attempt, a movie designed by committee. It also has some incredibly disconcerting fan service, the sort that seems to be replacing actual content more and more these days. Sadly, a lot of people seem to be lapping it up. Of course, if you enjoy this film, then good for you; I'm not saying you shouldn't. I'm simply saying I don't. Despite the occasional highlight, it's an uninteresting and uninspired affair overall. 4/10.",thats not how video games work my guy,free guy 2021 feels as though its been made by people who have never actually played video game its cinematic equivalent those pre rendered mobile game adverts that pretend present gameplay but dont actually represent game theyre trying sell at all though there are couple interesting ideas centred around i that makes reynolds guy able go against his code piece just doesnt do anything with them it doesnt really make sense theres no semblance cohesion or believability game that makes up most its runtime i mean who is free city what do you do it its not pvp looks it but everyone freaks out when npc actually presents challenge player god forbid player gets killed by enemy game right however fact that it lacks proper sense logic isnt its biggest issue although it is undeniably irritating that movie which is supposed celebrate video games clearly doesnt understand them also partakes kind banal gamer stereotyping that perforates pretty much every piece traditional media about subject no biggest issue is that me it simply isnt fun its quite opposite usually amount cringeworthy moments are nearly innumerable its message is incredibly hypocritical considering that it lambasts big budget games which are fuelled by mindless chaos exist only make money target audience that their developers clearly dont respect but its big budget movie which is fuelled by mindless chaos exists only make money target audience that its creators clearly dont respect ryan reynolds screen persona which is essentially same every comedic film which he appears is also incredibly annoying does opposite elicit laughter there are some relatively impressive visual effects even though nothing feels tangible one or two are actually rather disturbing there are couple action sequences which are relatively well put together however overall experience is just dull despite all its your face noise its just such corporate attempt movie designed by committee it also has some incredibly disconcerting fan service sort that seems be replacing actual content more more these days sadly lot people seem be lapping it up course if you enjoy this film then good you im not saying you shouldnt im simply saying i dont despite occasional highlight its uninteresting uninspired affair overall 4 10,0.4332702020202021,0.04416486291486291,Positive,"{'Happy': 0.19, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.26, 'Fear': 0.29}"
8,How likeable is Ryan Reynolds!?,"This movie was much better than I expected. It was enjoyable throughout, paced well, and cast exceptionally. The major strength of this movie is in how damn likeable this cast is. I'm not sure anyone could have done this other than Ryan Reynolds. I'd recommend a watch.",how likeable is ryan reynolds,this movie was much better than i expected it was enjoyable throughout paced well cast exceptionally major strength this movie is how damn likeable this cast is im not sure anyone could have done this other than ryan reynolds id recommend watch,0.5439814814814815,0.09791666666666667,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.0, 'Fear': 0.12}"
