Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Took nearly twenty years to make - not a single minute was wasted,"Here indeed is one of the great films of the 20th Century about one of the greatest men of the 20th Century. Ben Kingsley's interpretation of the Mahatma must go down in history as one of the most perfect cinema rôles ever carried out. Throughout the long film you forget you are watching an actor playing the part of a great man in history: you are watching the real Gandhi. A gigantic performance indeed. Richard Attenborough's patient and perfect directing added all the superlatives possible to make a crowning achievement, transporting biographic films into another dimension.It is all there: from the most intimate and poignant portrait to the incredible crowd scenes, beautifully captured in the most painstaking photography. You do not just watch the scenes unfold  you live them, you feel them, so captivating they are; and Ravi Shankar's music tugs at you, spellbinds you, forces you into sympathy, admiration and so many other feelings. Enthralling: how such a cinematographic work of art can reach such proportions is truly amazing; this film is nothing less than a miracle. During 1971 I travelled a good bit around India; I constantly had to apologise to energetic Indians who approached me on the subject of the British Raj. I had not even been born. But as a young and unappointed ambassador, I felt it my duty to bow my head in that country which is a microcosm of the whole planet. Thanks to this film, `Gandhi', Attenborough and Kingsley have said just about all there was to say.< For men may come and men may go, but Gandhi goes on forever >",took nearly twenty years make not single minute was wasted,here indeed is one great films 20th century about one greatest men 20th century ben kingsleys interpretation mahatma must go down history as one most perfect cinema r les ever carried out throughout long film you forget you are watching actor playing part great man history you are watching real gandhi gigantic performance indeed richard attenboroughs patient perfect directing added all superlatives possible make crowning achievement transporting biographic films into another dimension it is all there most intimate poignant portrait incredible crowd scenes beautifully captured most painstaking photography you do not just watch scenes unfold you live them you feel them so captivating they are ravi shankars music tugs at you spellbinds you forces you into sympathy admiration so many other feelings enthralling how such cinematographic work art can reach such proportions is truly amazing this film is nothing less than miracle during 1971 i travelled good bit around india i constantly had apologise energetic indians who approached me subject british raj i had not even been born but as young unappointed ambassador i felt it my duty bow my head that country which is microcosm whole planet thanks this film gandhi attenborough kingsley have said just about all there was say men may come men may go but gandhi goes forever,0.492408103592314,0.28837339561023767,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.23, 'Fear': 0.32}"
,Old-Time Hollywood Epic Redux.,"The life of the legendary man from India (dominant Oscar-winner Ben Kingsley, who was a total unknown theatrical newcomer at the time) who gave up work as an attorney to defy British rule throughout the first half of the 20th Century before falling to an assassin's bullet in 1948. Long, opulent, breath-taking and completely memorable take on one of the most important historical figures the world has ever known. Oscar-winning director Richard Attenborough obviously studied David Lean's epic film-making masterpieces from the 1950s and 1960s as we have similarities galore with ""The Bridge on the River Kwai"" and much more importantly ""Lawrence of Arabia"". An all-star cast of very old-time Hollywood legends (John Gielgud, Trevor Howard, John Mills) and relative newcomers who were on the rise (Candice Bergen, Martin Sheen, Edward Fox, Nigel Hawthorne and a super quick glance of a very young Daniel Day-Lewis) blend in a desert landscape of cinematic brilliance. Make no mistake of it though, ""Gandhi"" works because of Kingsley as he weaves a colorful tapestry of cinematic performing ungodliness with a totally convincing take on his role and the complex subject matter. Running nearly 190 minutes, ""Gandhi"" still just uses flash-points to under-score the importance and significance of the major topics within. Those familiar with advanced world history will likely get more out of the film, but still a movie whose glitter continues to shine as bright as ever. 5 stars out of 5.",old time hollywood epic redux,life legendary man india dominant oscar winner ben kingsley who was total unknown theatrical newcomer at time who gave up work as attorney defy british rule throughout first half 20th century before falling assassins bullet 1948 long opulent breath taking completely memorable take one most important historical figures world has ever known oscar winning director richard attenborough obviously studied david leans epic film making masterpieces 1950s 1960s as we have similarities galore with bridge river kwai much more importantly lawrence arabia all star cast very old time hollywood legends john gielgud trevor howard john mills relative newcomers who were rise candice bergen martin sheen edward fox nigel hawthorne super quick glance very young daniel day lewis blend desert landscape cinematic brilliance make no mistake it though gandhi works because kingsley as he weaves colorful tapestry cinematic performing ungodliness with totally convincing take his role complex subject matter running nearly 190 minutes gandhi still just uses flash points under score importance significance major topics within those familiar with advanced world history will likely get more out film but still movie whose glitter continues shine as bright as ever 5 stars out 5,0.4810526315789473,0.19554824561403505,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.26, 'Sad': 0.12, 'Fear': 0.44}"
10.0,Attenborough offers a tour de force performances,"There is a sanctimonious air to the films of Sir Richard Samuel Attenborough: the earnest desire that fair play is seen to be done Attenborough attempts to humanize his personage by exposing the widening gaps between India's two main religious communities, but he seemed to be quite forced to ignore some of the Indian characters in favor of Western ones, as some of the very important episodes of the film were seen through the eyes of two American reporters...Attenborough, a filmmaker who can rival David Lean for the big set piece without losing a sense of human scale, presents the political events with real dramatic impact...His big challenge was to give the film an epic quality Still, while Attenborough's endless seas of extras testify to his ability to order crowds, his fine motion picture was seen very believable and realistic, with enough insight either into its sublimely serene hero's mind or into the complex realities of Indian history and politicsBritish actor Ben Kingsley portrays the spiritual leader with deep simplicity... Kingsley's Mahatma is amazing, so beautiful in its honesty... Kingsley burns with a strong and purer flame, particularly in the way he ages across the five decades which the film depicts... His wetly blazing eyes as a young lawyer in South Africa, his black hair and immense energy, gives way to the bald small modest man, in shawl, loin cloth, steel-rimmed glasses, frequently thrown in jail by the British authorities...Kingsley takes the qualities and details instructed by Attenborough: Gandhi's fiercely intelligent aura; Gandhi's rational and calm reaction to inflamed emotion; Gandhi's unshaken beliefs and principles; Gandhi's warm smile...A distinguished cast of characters surround Academy Award-Winning Ben Kingsley as Gandhi: Candice Bergen, the Life magazine American photographer whom Gandhi conveys with a sense of humor; John Gielgud, the Viceroy who decides to ignore the man in loin cloth; Edward Fox, the brutal English general who orders his troops to fire at the thickest part of the crowds; Trevor Howard, the Judge who behaves with great consideration, standing and nodding respectfully to Gandhi in the dock before taking his seat; Geraldine James, the adopted daughter, blinded by love for Ghandi; and Martin Sheen, the American reporter of the New York Times who makes Gandhi laugh: 'It would be uncivil for us to let you make the long trip for nothing.'""Gandhi"" has a rare combination of deep character penetration and enormous epic sweep with ""Lawrence of Arabia."" But while 'Lawrence of Arabia' is about a solitary adventurer, 'Gandhi' is a moving portrait of a character with a disarming humility, who spins cotton, walks the country roads, meditates in front of the ocean, or scoops salt from the beach... Throughout the picture, which takes place over a half century, one has a sense of a man discovering his own unique dimensions... Perhaps this is the secret of Attenborough's 'Gandhi,' that at the bottom of all the tumultuous action is a remarkable protagonist, an incredible individual about whom one cares, and feels attract to...",attenborough offers tour de force performances,there is sanctimonious air films sir richard samuel attenborough earnest desire that fair play is seen be done attenborough attempts humanize his personage by exposing widening gaps between indias two main religious communities but he seemed be quite forced ignore some indian characters favor western ones as some very important episodes film were seen through eyes two american reporters attenborough filmmaker who can rival david lean big set piece without losing sense human scale presents political events with real dramatic impact his big challenge was give film epic quality still while attenboroughs endless seas extras testify his ability order crowds his fine motion picture was seen very believable realistic with enough insight either into its sublimely serene heros mind or into complex realities indian history politics british actor ben kingsley portrays spiritual leader with deep simplicity kingsleys mahatma is amazing so beautiful its honesty kingsley burns with strong purer flame particularly way he ages across five decades which film depicts his wetly blazing eyes as young lawyer south africa his black hair immense energy gives way bald small modest man shawl loin cloth steel rimmed glasses frequently thrown jail by british authorities kingsley takes qualities details instructed by attenborough gandhis fiercely intelligent aura gandhis rational calm reaction inflamed emotion gandhis unshaken beliefs principles gandhis warm smile distinguished cast characters surround academy award winning ben kingsley as gandhi candice bergen life magazine american photographer whom gandhi conveys with sense humor john gielgud viceroy who decides ignore man loin cloth edward fox brutal english general who orders his troops fire at thickest part crowds trevor howard judge who behaves with great consideration standing nodding respectfully gandhi dock before taking his seat geraldine james adopted daughter blinded by love ghandi martin sheen american reporter new york times who makes gandhi laugh it would be uncivil us let you make long trip nothing gandhi has rare combination deep character penetration enormous epic sweep with lawrence arabia but while lawrence arabia is about solitary adventurer gandhi is moving portrait character with disarming humility who spins cotton walks country roads meditates front ocean or scoops salt beach throughout picture which takes place over half century one has sense man discovering his own unique dimensions perhaps this is secret attenboroughs gandhi that at bottom all tumultuous action is remarkable protagonist incredible individual about whom one cares feels attract,0.476993006993007,0.13637995337995334,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.15, 'Sad': 0.21, 'Fear': 0.41}"
8.0,Beautiful Film,"""The object of this massive tribute died as he had always lived, without wealth, without property, without official title or office. Mahatma Gandhi was not the commander of armies, nor the ruler of vast lands. He could not boast any scientific achievement or artistic gift. Yet men, governments, dignitaries from all over the world, have joined hands today to pay homage to the little brown man in the loin cloth, who led his country to freedom.""This quote is from the funeral scene in the 1982 film ""Gandhi"". Richard Attenborough directed this massive epic about the man that freed India. The film opens with Gandhi's assassination. The next scene, his funeral, is one of the greatest scenes in cinematic history. Attenborough managed to recreate Gandhi's funeral on January 31st, 1981, the 33rd anniversary of the actual funeral. It is estimated that nearly 400,000 people were on hand to be a part of the filming the recreation. This film was made before CGI (computer generated images), so the funeral scene is probably the last live action crowd of that magnitude that will ever be filmed. Mahatma Gandhi's message of non-violent resistance is delivered in an interesting and enthralling body of art. This film has made and will make millions of people aware of the little brown man that took on the British Empire and won. ""Gandhi"" serves both as entertainment and an important historical record of one of the most important figures in history. Ben Kingsley played Gandhi. He was the perfect for the role. He resembled the real Gandhi. He was young enough to portray Gandhi as a young man. He is a British actor that nailed the British influenced Indian accent.  He is a wonderful actor that was patient and humble with such an important part. And he was a relatively unknown actor at the time, so the ""big-time actor"" persona did not get in the way of viewing the film. He did win both the Academy Award and Golden Globe for best actor, for this role, which I agree he deserved. He became Gandhi.The cinematography was outstanding. Attenborough filmed ""Gandhi"" on location in India. The scenes of India are spectacular, and India is very much another character in the film. This film is as much about India itself as it is about Gandhi. Attenborough shows the audience the people of India from its countryside to the vast city of Calcutta. It is suggested by Kingsley, on the DVD, that Attenborough had a difficult time with the elite class in India at the time of filming. They were against the making of such a film by an Englishman. Undeterred by their negative thinking, he persevered to enlist thousands of Indians to help make this film. Every crowd scene, he used real Indians from the area. Attenborough also won both the Academy Award and Golden Globe for best direction.This movie is a must see for everyone. It should be required viewing in high schools, as part of History class. The fight against prejudice will forever be relevant. It is also a beautiful work of art. This movie is not tainted by the embellishment of Hollywood (see ""Pearl Harbor"" for that). Of course, it would have been hard to screw up a movie about such a great man. 10/10",beautiful film,object this massive tribute died as he had always lived without wealth without property without official title or office mahatma gandhi was not commander armies nor ruler vast lands he could not boast any scientific achievement or artistic gift yet men governments dignitaries all over world have joined hands today pay homage little brown man loin cloth who led his country freedom this quote is funeral scene 1982 film gandhi richard attenborough directed this massive epic about man that freed india film opens with gandhis assassination next scene his funeral is one greatest scenes cinematic history attenborough managed recreate gandhis funeral january 31st 1981 33rd anniversary actual funeral it is estimated that nearly 400 000 people were hand be part filming recreation this film was made before cgi computer generated images so funeral scene is probably last live action crowd that magnitude that will ever be filmed mahatma gandhis message non violent resistance is delivered interesting enthralling body art this film has made will make millions people aware little brown man that took british empire won gandhi serves both as entertainment important historical record one most important figures history ben kingsley played gandhi he was perfect role he resembled real gandhi he was young enough portray gandhi as young man he is british actor that nailed british influenced indian accent he is wonderful actor that was patient humble with such important part he was relatively unknown actor at time so big time actor persona did not get way viewing film he did win both academy award golden globe best actor this role which i agree he deserved he became gandhi cinematography was outstanding attenborough filmed gandhi location india scenes india are spectacular india is very much another character film this film is as much about india itself as it is about gandhi attenborough shows audience people india its countryside vast city calcutta it is suggested by kingsley dvd that attenborough had difficult time with elite class india at time filming they were against making such film by englishman undeterred by their negative thinking he persevered enlist thousands indians help make this film every crowd scene he used real indians area attenborough also won both academy award golden globe best direction this movie is must see everyone it should be required viewing high schools as part history class fight against prejudice will forever be relevant it is also beautiful work art this movie is not tainted by embellishment hollywood see pearl harbor that course it would have been hard screw up movie about such great man 10 10,0.541812865497076,0.21531632110579477,Positive,"{'Happy': 0.18, 'Angry': 0.02, 'Surprise': 0.16, 'Sad': 0.24, 'Fear': 0.4}"
,"A true epic, in every sense of the word","Very, VERY few films have had the distinct ability to move and inspire me to the point where the effect is almost life-altering. ""Gandhi"" - the unbelievable, first-rate biopic on the historical figure - is truly one of those films, no question whatsoever. An unsurprising sweep for the 1983 Academy Awards, this is without a doubt one of the last real ""epic"" motion pictures ever.Chronicling the rich, unforgettable life of a one Mohandas K. ""Mahatma"" Gandhi - played to shocking perfection by the wonderful Sir Ben Kingsley - this is a film that I can say really, deeply affected me with its power, its scale, and of course, its timeless message of love and non-violence. As a matter of fact, ever since I first saw the film, and became much more aware of the back story, I can also say that Gandhi is now one of my biggest role models in life. I cannot fully express how much this great man's way of thinking - his words, his struggles, his accomplishments - has affected my own, for I am now a practicing pacifist. I am a firm believer in the value of non-violent protest, and have tried my best to apply that philosophy to most situations in my life. It has worked wonders for me, and has really changed how I view the world in terms of human nature and so forth. Like I said, VERY few films can do something like that to me.",true epic every sense word,very very few films have had distinct ability move inspire me point where effect is almost life altering gandhi unbelievable first rate biopic historical figure is truly one those films no question whatsoever unsurprising sweep 1983 academy awards this is without doubt one last real epic motion pictures ever chronicling rich unforgettable life one mohandas k mahatma gandhi played shocking perfection by wonderful sir ben kingsley this is film that i can say really deeply affected me with its power its scale course its timeless message love non violence as matter fact ever since i first saw film became much more aware back story i can also say that gandhi is now one my biggest role models life i cannot fully express how much this great mans way thinking his words his struggles his accomplishments has affected my own i am now practicing pacifist i am firm believer value non violent protest have tried my best apply that philosophy most situations my life it has worked wonders me has really changed how i view world terms human nature so forth like i said very few films can do something like that me,0.479080459770115,0.18465517241379312,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.43, 'Sad': 0.11, 'Fear': 0.34}"
,Gandhi's Umpteenth Fast,"In her diary entry of Saturday, February 27, 1943, Anne Frank wrote in passing (translated from the Dutch): ""The freedom-loving Gandhi of India is holding his umpteenth fast.""It's a comment at once mildly comical and respectfully admiring, one I think the Mahatma would have appreciated with a twinkle and a laugh. He and Miss Frank are linked with the Reverend Martin Luther King, Jr., as the civil rights spokesperson-giants of the 20th century. And civil rights, and the reversal of the institutionalized violation of the same, are a large part of what the last century's politics were all about. Movie viewers are apt to find in the diary remark a distillation of their experience of the Richard Attenborough film. A recommendation is that it be followed by rentals of Saving Private Ryan and The Long Walk Home, which together convey the investment put into the respective causes the trio represented.At the beginning of Gandhi we confront these words: ""No man's life can be encompassed in one telling. There is no way to give each year its allotted weight, to include each event, each person who helped to shape a lifetime. What can be done is to be faithful in spirit to the record, and to try to find one's way to the heart of the man....""John Briley's screenplay accomplishes that faithfulness, and one probably has to be a scholar of the subject to sort out what is his and what is Gandhi's. Not that it really is of relevance, given what we learn from the movie about the value of eclecticism. Looking out over the bay at Porbandar, Gandhi (Ben Kingsley) tells Walker (Martin Sheen): ""The temple where you were yesterday is of my family's sect, the Pranami. It was Hindu of course, but the priests used to read from the Muslim Koran and the Hindu Gita, moving from one to the other as though it mattered not at all which book was read as long as God was worshipped."" In a preceding scene, similarly, confronted by young toughs on a South African street, Gandhi defends for his Christian friend Charlie (Ian Charleson) the New Testament intelligence of turning the other cheek. A worried Charlie states, ""I think perhaps the phrase was used metaphorically. I don't think our Lord meant...,"" and is interrupted by a movie shot of the approaching menace. Gandhi replies calmly, ""I'm not so certain. I have thought about it a great deal. I suspect he meant you must show courage--be willing to take a blow--several blows--to show you will not strike back--nor will you be turned aside.... And when you do that it calls upon something...that makes...hate for you diminish and...respect increase. I think Christ grasped that and I...have seen it work.""The script is replete with these kinds of memorable words, and with others that reflect its subject's political acumen and strategical cleverness.Kingsley is sublime in the lead role. Saeed Jaffrey, Roshan Seth, and Alyque Padamsee do well as Gandhi's pro-independence collaborators. Ditto, Athol Fugard (""Assuming we are in agreement?"") and John Gielgud (""Salt?"") as two of his adversaries. Charleson, in his clerical collar, looks like he has walked in off the set of the preceding year's Academy Award winner, Chariots of Fire (where he played the Scottish sprinter-missionary, Eric Liddell).This movie won eight Oscars, with Attenborough, Briley, and Kingsley all earning honors. No other film biography I ever have seen works so well. It will stand the test of time and inform multiple generations. One doubts remakes will be necessary.",gandhis umpteenth fast,her diary entry saturday february 27 1943 anne frank wrote passing translated dutch freedom loving gandhi india is holding his umpteenth fast its comment at once mildly comical respectfully admiring one i think mahatma would have appreciated with twinkle laugh he miss frank are linked with reverend martin luther king jr as civil rights spokesperson giants 20th century civil rights reversal institutionalized violation same are large part what last centurys politics were all about movie viewers are apt find diary remark distillation their experience richard attenborough film recommendation is that it be followed by rentals saving private ryan long walk home which together convey investment put into respective causes trio represented at beginning gandhi we confront these words no mans life can be encompassed one telling there is no way give each year its allotted weight include each event each person who helped shape lifetime what can be done is be faithful spirit record try find ones way heart man john brileys screenplay accomplishes that faithfulness one probably has be scholar subject sort out what is his what is gandhis not that it really is relevance given what we learn movie about value eclecticism looking out over bay at porbandar gandhi ben kingsley tells walker martin sheen temple where you were yesterday is my familys sect pranami it was hindu course but priests used read muslim koran hindu gita moving one other as though it mattered not at all which book was read as long as god was worshipped preceding scene similarly confronted by young toughs south african street gandhi defends his christian friend charlie ian charleson new testament intelligence turning other cheek worried charlie states i think perhaps phrase was used metaphorically i dont think our lord meant is interrupted by movie shot approaching menace gandhi replies calmly im not so certain i have thought about it great deal i suspect he meant you must show courage be willing take blow several blows show you will not strike back nor will you be turned aside when you do that it calls upon something that makes hate you diminish respect increase i think christ grasped that i have seen it work script is replete with these kinds memorable words with others that reflect its subjects political acumen strategical cleverness kingsley is sublime lead role saeed jaffrey roshan seth alyque padamsee do well as gandhis pro independence collaborators ditto athol fugard assuming we are agreement john gielgud salt as two his adversaries charleson his clerical collar looks like he has walked off set preceding years academy award winner chariots fire where he played scottish sprinter missionary eric liddell this movie won eight oscars with attenborough briley kingsley all earning honors no other film biography i ever have seen works so well it will stand test time inform multiple generations one doubts remakes will be necessary,0.398145933014354,0.10366683754841653,Positive,"{'Happy': 0.1, 'Angry': 0.04, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.39}"
9.0,'The way of truth and love has always won'...,"... and long may it continue to do so. Remains an incredible piece of storytelling and film making about one of few individuals the world has delivered, that can truly be referred to as a great leader - and not just of his people but of the peace loving populations of the world. Ben Kingsley perfectly embodies Gandhi to the point that you can almost believe he is performing in his own biopic. Let's also not forget, alongside a great telling of an inspirational journey, we get a history lesson of the impact of empire. It should encourage you to dig a bit deeper to uncover some rather alarming truths that the imperialists would rather you didn't appraise yourself of, undertaken by the usual white middle aged and older men who thought they were created better than the rest of the worlds demographics they sought to control.",way truth love has always won,long may it continue do so remains incredible piece storytelling film making about one few individuals world has delivered that can truly be referred as great leader not just his people but peace loving populations world ben kingsley perfectly embodies gandhi point that you can almost believe he is performing his own biopic lets also not forget alongside great telling inspirational journey we get history lesson impact empire it should encourage you dig bit deeper uncover some rather alarming truths that imperialists would rather you didnt appraise yourself undertaken by usual white middle aged older men who thought they were created better than rest worlds demographics they sought control,0.5607843137254903,0.3333333333333334,Positive,"{'Happy': 0.21, 'Angry': 0.12, 'Surprise': 0.21, 'Sad': 0.17, 'Fear': 0.29}"
,A great epic; Kingsley's best performance,"As soon as I finished watching Gandhi, I thought to myself ""This movie had to have won Best Picture."" I think it's one of the best epics of all time. It masterfully tells one of the most important stories of the 20th century, that of India's struggle to free itself, spearheaded by one of the most extraordinary men of all time, Mahatma Gandhi. I would be hard pressed to name anything lacking about it. Direction, cinematography, costumes, they're all great. And Ben Kingsley! Without a doubt his portrayal of Gandhi is one of the best performances of his career, if not THE best. Playing the pacifist Indian lawyer-turned-leader couldn't have been an easy task, and I don't think anyone could have pulled it off as well as he did. This movie deserves all the praise anyone gives it and more. Excellent.",great epic kingsleys best performance,as soon as i finished watching gandhi i thought myself this movie had have won best picture i think its one best epics all time it masterfully tells one most important stories 20th century that indias struggle free itself spearheaded by one most extraordinary men all time mahatma gandhi i would be hard pressed name anything lacking about it direction cinematography costumes theyre all great ben kingsley without doubt his portrayal gandhi is one best performances his career if not best playing pacifist indian lawyer turned leader couldnt have been easy task i dont think anyone could have pulled it off as well as he did this movie deserves all praise anyone gives it more excellent,0.5828947368421054,0.525,Positive,"{'Happy': 0.26, 'Angry': 0.04, 'Surprise': 0.43, 'Sad': 0.04, 'Fear': 0.22}"
10.0,"Great Man, Great Story, Great Film!","This is one that absolutely must go on everyone's ""must see"" list. One of the truly greatest movies ever made. For those who found it ""boring"" or ""too long,"" you folks need to just stick to stuff like ""Star Wars,"" ""Terminator,"" ""Spiderman,"" or perhaps reality TV would be more your cup of tea.For those who like to actually see real human history come to life on the screen, ""Gandhi"" is a true masterpiece for all times. A excellent summary of one of the greatest and most interesting lives of the 20th. century!I find it odd that aside from a fine performance in ""Shindler's List,"" that Ben Kingsley has really been a major disappointment as an actor following his role as ""Gandhi."" Perhaps like George C. Scott in ""Patton,"" he was destined to play just one truly great role as an actor. And this was it!For those who keep mentioning that Kingsley is ""English,"" well, yes he is, but he is also ""Anglo-Indian."" His father is from India. In fact his father was born in the same small sea-coast town as Mahatma Gandhi! While filming the movie in the small towns of rural India, there were those older people who actually remembered seeing the original Gandhi who collapsed in shock when they saw Kingsley in his makeup. Hundreds became convinced that he actually was the Mahatma, returned! Also interesting is that Kingsley was born just after the asassination of Gandhi. I mean that's just a tad spooky, no....?",great man great story great film,this is one that absolutely must go everyones must see list one truly greatest movies ever made those who found it boring or too long you folks need just stick stuff like star wars terminator spiderman or perhaps reality tv would be more your cup tea those who like actually see real human history come life screen gandhi is true masterpiece all times excellent summary one greatest most interesting lives 20th century i find it odd that aside fine performance shindlers list that ben kingsley has really been major disappointment as actor following his role as gandhi perhaps like george c scott patton he was destined play just one truly great role as actor this was it those who keep mentioning that kingsley is english well yes he is but he is also anglo indian his father is india fact his father was born same small sea coast town as mahatma gandhi while filming movie small towns rural india there were those older people who actually remembered seeing original gandhi who collapsed shock when they saw kingsley his makeup hundreds became convinced that he actually was mahatma returned also interesting is that kingsley was born just after asassination gandhi i mean thats just tad spooky no,0.47193627450980397,0.21593137254901965,Positive,"{'Happy': 0.24, 'Angry': 0.03, 'Surprise': 0.21, 'Sad': 0.3, 'Fear': 0.21}"
10.0,Better than you'd think...,"Thinking back, I suppose I have now seen many (sometimes good) films that follow the same recipe: One man makes a difference.But this film is an exception in so many ways:1) It was made in 1982, so it came before many of them.2) It has amazingly well-displayed historical significance.3) Great performances in a near-flawless, frank scrpit.This film does not bother the viewer with an opening montage of scenes of the main character at various ages (""Dragon"", I'm looking at you). This is an amazing film that anyone of any religion, race, or nationality can and should appreciate. With its subtle relevance to today's situations in that part of the world, this is a history buff must-see.Watch this film and see great performances (an obvious oscar went to Ben Kingsly), excellent cinematography, and a wonderful inspiring story, whose essence soars well above the corny, do-gooder mentality of other pitiful efforts of ""bio-pics"".10/10",better than youd think,thinking back i suppose i have now seen many sometimes good films that follow same recipe one man makes difference but this film is exception so many ways 1 it was made 1982 so it came before many them 2 it has amazingly well displayed historical significance 3 great performances near flawless frank scrpit this film does not bother viewer with opening montage scenes main character at various ages dragon im looking at you this is amazing film that anyone any religion race or nationality can should appreciate with its subtle relevance todays situations that part world this is history buff must see watch this film see great performances obvious oscar went ben kingsly excellent cinematography wonderful inspiring story whose essence soars well above corny do gooder mentality other pitiful efforts bio pics 10 10,0.553623188405797,0.3829710144927536,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.26, 'Sad': 0.07, 'Fear': 0.41}"
