Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Hacksaw Ridge,"Another WWII movie but instead of D-Day and the Battle of Dunkirk, it's the Battle of Okinawa in Japan. Which means, new branch of military and new settings. Usually I want war movies to focus on the historical accuracies and action rather than characters, but this movie changed my opinion. It tells the story of Desmond Doss and his life and how he joined the army, that was very interesting and well-acted. The beginning explained our main character and introduced all the others, who are also a good addition. BUT the rest of the movie is awesome. The battle scene is engaging, heart-wrenching, and epic. It is very gruesome, some may not like that, but that's how it actually happened - when you get hit with a bullet, there's going to be blood. The fight portrayed Desmond's goal and his heart to save others, which you have to respect. Not only does this movie provide adrenaline, but also a learning experience.",hacksaw ridge,another wwii movie but instead d day battle dunkirk its battle okinawa japan which means new branch military new settings usually i want war movies focus historical accuracies action rather than characters but this movie changed my opinion it tells story desmond doss his life how he joined army that was very interesting well acted beginning explained our main character introduced all others who are also good addition but rest movie is awesome battle scene is engaging heart wrenching epic it is very gruesome some may not like that but thats how it actually happened when you get hit with bullet theres going be blood fight portrayed desmonds goal his heart save others which you have respect not only does this movie provide adrenaline but also learning experience,0.4761616161616162,0.13595959595959595,Positive,"{'Happy': 0.16, 'Angry': 0.12, 'Surprise': 0.08, 'Sad': 0.2, 'Fear': 0.44}"
9.0,At The Very Center Of It All,"We knew already that Mel Gibson is a filmmaker with a powerful vision and the craftsmanship to go with it. Extraordinary battle scenes. Violence, Gibson style, which means Peckinpah plus, because here there is such a personal intention that makes every frame, utterly compelling. The only drawback and I have to say it, Vince Vaughn. Why? In the moment he appears, this extraordinary film becomes a movie. It took me completely out of it. When you look at him you see an actor, acting. On the other hand, Andrew Garfield. Sublime. He makes totally believable a character that could be fictional. The humanity in Andrew Garfield's eyes makes everything real. It tells us, in no uncertain terms, that at the very center of it all, there is love. Love!",at very center it all,we knew already that mel gibson is filmmaker with powerful vision craftsmanship go with it extraordinary battle scenes violence gibson style which means peckinpah plus because here there is such personal intention that makes every frame utterly compelling only drawback i have say it vince vaughn why moment he appears this extraordinary film becomes movie it took me completely out it when you look at him you see actor acting other hand andrew garfield sublime he makes totally believable character that could be fictional humanity andrew garfields eyes makes everything real it tells us no uncertain terms that at very center it all there is love love,0.5108823529411763,0.1577450980392157,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.16, 'Sad': 0.47, 'Fear': 0.16}"
10.0,War movie masterwork,"Mel Gibson is a director with two masterpieces behind him - the superlative BRAVEHEART and the even better APOCALYPTO. Sadly, due to his ridiculous pillorying in the press and subsequent ostracising in Hollywood, he hasn't directed a film for a decade, but now he's back with HACKSAW RIDGE, the true story of a pacifist who joined the US army and took part in the Battle of Okinawa as a medic. The good news? Gibson hasn't lost his touch (of course), and this is his third masterpiece.The story is traditional but keeps you watching via perfectly mannered performances and heartfelt storytelling. There's childhood experience followed by romance, and then training in the army. The first half of the film is something like a courtroom drama and it keeps you watching, but things don't get amazing until we move to the battle. The second half of the film is among the best war movie experiences I've ever had; the battle scenes are fast, brutal, incredibly realistic and expertly choreographed. They blow Spielberg's SAVING PRIVATE RYAN out of the water and left me feeling exhausted at the end of them.It says something about Gibson that he elicits such fine acting from his players. Andrew Garfield embodies the lead in every respect, Hugo Weaving convinces as his alcoholic father, and even Vince Vaughn is decent. Sam Worthington and Richard Roxburgh show up as superiors, but it's unknown actors like Luke Bracey who really shine. The film is gory and graphic and quite disturbing, and the build-up to the action frightened me in ways that few horror films do. There's sentiment here too, but it's never over the top or twee. Gibson should be proud of this exemplary achievement.",war movie masterwork,mel gibson is director with two masterpieces behind him superlative braveheart even better apocalypto sadly due his ridiculous pillorying press subsequent ostracising hollywood he hasnt directed film decade but now hes back with hacksaw ridge true story pacifist who joined us army took part battle okinawa as medic good news gibson hasnt lost his touch course this is his third masterpiece story is traditional but keeps you watching via perfectly mannered performances heartfelt storytelling theres childhood experience followed by romance then training army first half film is something like courtroom drama it keeps you watching but things dont get amazing until we move battle second half film is among best war movie experiences ive ever had battle scenes are fast brutal incredibly realistic expertly choreographed they blow spielbergs saving private ryan out water left me feeling exhausted at end them it says something about gibson that he elicits such fine acting his players andrew garfield embodies lead every respect hugo weaving convinces as his alcoholic father even vince vaughn is decent sam worthington richard roxburgh show up as superiors but its unknown actors like luke bracey who really shine film is gory graphic quite disturbing build up action frightened me ways that few horror films do theres sentiment here too but its never over top or twee gibson should be proud this exemplary achievement,0.48333333333333334,0.07719298245614035,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.47, 'Sad': 0.13, 'Fear': 0.26}"
8.0,Mel Gibson's near-triumphant come-back,"Not one of my favourite war films, like 1930's 'All Quiet on the Western Front', 'Paths of Glory', 'The Thin Red Line' and 'Apocalypse Now', but exceptionally well made and incredibly powerful.It has been said about 'Hacksaw Ridge' that the second half is better than the first half, something that is agreed with by me. Not that the family/character study stuff is bad, far from it, it's beautifully filmed, even better acted and paints Doss as a very fascinating character that it's easy from the get go to identify with his wants to succeed against all catastrophic odds.Just that the first third does take time to get going with a pedestrian pace, the dialogue is corny (in fact, to me the dialogue is the least good thing about 'Hacksaw Ridge' in general and the element that rings true the least) and the sentimentality is laid too thick (this is also particularly true in the slightly underdeveloped romance).However this is made up for by the entertaining yet hard-hitting training scenes and in particular the truly jaw-droppingly brutal war/battle scenes that soar in nerve-shredding intensity and raw emotion, giving the first 30 minutes of 'Saving Private Ryan' a run for its money and perhaps making it tame in comparison (high praise for a film with one of the most gut-wrenching first 30 minutes on film, though to me the rest of the film isn't quite as good).Throughout 'Hacksaw Ridge' has exceptional production values, in particular the cinematography in the battle scenes, and Gibson directs like his life was depending on it. Rupert Gregson-Williams' score has the right amount of pulsating energy and nuance, and the sound effects in the war/battle scenes have a terrifying authenticity.For a vast majority of the time, the story is very compelling and makes the most of mature and very easy to relate with themes. It has a wide range of emotional impact, being for the second half intensely powerful, much of the film being poignant, some of it sardonically amusing (without it being out of place) and also all of it inspirational. Rather than straying from the facts for dramatic license, Gibson is surprisingly respectful this time round.Andrew Garfield has yet to give a better performance than his astonishing turn here (though he is splendid too in Martin Scorsese's 'Silence'), and Gibson similarly brings the best out of Sam Worthington (often a charisma-free actor but here doubts were cast aside) and Vince Vaughn (at his sardonic best while also touchingly subdued, proof that he can be good if the material serves him all which too often in his career it hasn't but it does brilliantly here). Hugo Weaving is terrific, also giving some of his best work in some time. Teresa Palmer makes the most of her role.In conclusion, a near-triumphant come-back. 8/10 Bethany Cox",mel gibsons near triumphant come back,not one my favourite war films like 1930s all quiet western front paths glory thin red line apocalypse now but exceptionally well made incredibly powerful it has been said about hacksaw ridge that second half is better than first half something that is agreed with by me not that family character study stuff is bad far it its beautifully filmed even better acted paints doss as very fascinating character that its easy get go identify with his wants succeed against all catastrophic odds just that first third does take time get going with pedestrian pace dialogue is corny fact me dialogue is least good thing about hacksaw ridge general element that rings true least sentimentality is laid too thick this is also particularly true slightly underdeveloped romance however this is made up by entertaining yet hard hitting training scenes particular truly jaw droppingly brutal war battle scenes that soar nerve shredding intensity raw emotion giving first 30 minutes saving private ryan run its money perhaps making it tame comparison high praise film with one most gut wrenching first 30 minutes film though me rest film isnt quite as good throughout hacksaw ridge has exceptional production values particular cinematography battle scenes gibson directs like his life was depending it rupert gregson williams score has right amount pulsating energy nuance sound effects war battle scenes have terrifying authenticity vast majority time story is very compelling makes most mature very easy relate with themes it has wide range emotional impact being second half intensely powerful much film being poignant some it sardonically amusing without it being out place also all it inspirational rather than straying facts dramatic license gibson is surprisingly respectful this time round andrew garfield has yet give better performance than his astonishing turn here though he is splendid too martin scorseses silence gibson similarly brings best out sam worthington often charisma free actor but here doubts were cast aside vince vaughn at his sardonic best while also touchingly subdued proof that he can be good if material serves him all which too often his career it hasnt but it does brilliantly here hugo weaving is terrific also giving some his best work some time teresa palmer makes most her role conclusion near triumphant come back 8 10 bethany cox,0.5298152061613598,0.20036254343946652,Positive,"{'Happy': 0.13, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.21, 'Fear': 0.27}"
8.0,Back on the battlefield with Mel...,"I was lucky enough to sneak into a cast & crew screening at the Newtown Dendy cinema. I thought 10.30AM on a Sunday was too early for a Mel Gibson movie, that I might be in for something along the lines of the heavy-handedness of THE PASSION OF THE Christ, and the adrenaline pumped brilliance of APOCALYPTO.I was proved wrong because after the first thirty minutes I wasn't sure if this was a Mel Gibson film when I was placed into a comfort zone, with its melodrama set in a small Virginia town during the Forties, a schmaltzy romance, and the cliché violent drunken father who survived a brutal war. The performances were maybe a little let down by the clumsy dialogue, but all directed safely with a natural sense of storytelling.By the 2nd act, I was put on high alert in the military training with our protagonist, Desmond Doss (Andrew Garfield who I at first felt was wrongly cast, but he really came through in the end). It was here when the true purpose of the story began to evolve, that of Doss' moral and internal conflict with using a gun! What he had to endure and stand-up for was a courage I greatly admired. It was also in this phase of the film that the dialogue and characters began to shine. Maybe it was the introduction of Vince Vaughn's character. We all know how Vaughn is notorious in ad-libbing, and it seemed to help because the other actors bounced off it well.Now the story had me in their pocket because by the 3rd act I was with our protagonist and his platoon when they got to the battlefield graveyard of Hacksaw Ridge. You thought the horrific situation in WE WERE SOLDIERS was brutal, well this was captured so vividly that you felt you were there. It was almost on par with the brilliance of GAME OF THRONES; BATTLE OF THE BASTARDS.Now I felt I was in a Mel Gibson film. As with Braveheart, the battle scenes in Hacksaw Ridge didn't hold back. Maybe a notch better because of today's CGI (and I didn't even notice the effects!). The scenes were unflinching, haunting and in your face. Possibly showing you the true horror of war. Definitely not for the squeamish.The religious aspect of the film was relevant to the story, so as a non-believer I thought it was an integral part of the protagonist and had to be told, so it didn't bother me as much.Overall the technical aspect of the film was brilliant, but then again I didn't really notice it because I was too distracted by the story and the characters, and when that occurs, I know the film has succeeded.",back battlefield with mel,i was lucky enough sneak into cast crew screening at newtown dendy cinema i thought 10 30am sunday was too early mel gibson movie that i might be something along lines heavy handedness passion christ adrenaline pumped brilliance apocalypto i was proved wrong because after first thirty minutes i wasnt sure if this was mel gibson film when i was placed into comfort zone with its melodrama set small virginia town during forties schmaltzy romance clich violent drunken father who survived brutal war performances were maybe little let down by clumsy dialogue but all directed safely with natural sense storytelling by 2nd act i was put high alert military training with our protagonist desmond doss andrew garfield who i at first felt was wrongly cast but he really came through end it was here when true purpose story began evolve that doss moral internal conflict with using gun what he had endure stand up was courage i greatly admired it was also this phase film that dialogue characters began shine maybe it was introduction vince vaughns character we all know how vaughn is notorious ad libbing it seemed help because other actors bounced off it well now story had me their pocket because by 3rd act i was with our protagonist his platoon when they got battlefield graveyard hacksaw ridge you thought horrific situation we were soldiers was brutal well this was captured so vividly that you felt you were there it was almost par with brilliance game thrones battle bastards now i felt i was mel gibson film as with braveheart battle scenes hacksaw ridge didnt hold back maybe notch better because todays cgi i didnt even notice effects scenes were unflinching haunting your face possibly showing you true horror war definitely not squeamish religious aspect film was relevant story so as non believer i thought it was integral part protagonist had be told so it didnt bother me as much overall technical aspect film was brilliant but then again i didnt really notice it because i was too distracted by story characters when that occurs i know film has succeeded,0.4839267676767676,-0.012493686868686864,Negative,"{'Happy': 0.07, 'Angry': 0.09, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.34}"
9.0,Stirring War Film,"The resistant soldier has been a theme for many films over the years. The young man here who serves as a medic has several good reasons for not carrying a gun. Apparently, putting yourself into harms way, unarmed is not adequate to keep you from being tormented. This could have been a cliche, but the acting is superb, the effects amazing, and the pacing works wonderfully. Basing it on an actual Medal of Honor recipient gives it a little push ahead of most others.",stirring war film,resistant soldier has been theme many films over years young man here who serves as medic has several good reasons not carrying gun apparently putting yourself into harms way unarmed is not adequate keep you being tormented this could have been cliche but acting is superb effects amazing pacing works wonderfully basing it actual medal honor recipient gives it little push ahead most others,0.47564102564102567,0.31506410256410255,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.29}"
10.0,Welcome back Mr Gibson,"When thinking about war films, it's very hard not to go straight to the classics such as Apocalypse Now, Platoon or Saving Private Ryan. You have to make something very special to be mentioned in the same sentence as films like those and in Hacksaw Ridge, I think Mel Gibson has made one of the all time great war films.Some war films use a particular war from history to tell a fictional story, all three of the above for example however, a war film for me becomes something else entirely when it tells a true story, especially one as remarkable as the story that Hacksaw Ridge is based on.Desmond T. Doss (Andrew Garfield) became the first Conscientious Objector in American history to be awarded the Medal of Honour even though he refused to kill or even carry a rifle while serving as a medic during the Battle of Okinawa in World War II. Doss' phenomenal story of courage saw him single-handedly save the lives of over 75 of his comrades while under constant enemy fire.Hacksaw Ridge is very much a film of two halves; the first introducing us to Doss, exploring both his personal life and his motivations for choosing to become a Conscientious Objector and serve as a medic, the second depicting the Battle of Okinawa at Hacksaw Ridge, the site of one of the bravest human feats in history. Both tell the story of the determined individual that Doss was and Mel Gibson does a wonderful job in directing the film.Gibson has attracted a lot of bad press over the years but there is no denying that he is a good director, and in Hacksaw Ridge, he may just have made his best film yet. It's the emotional power of the story that Gibson taps into so successfully that makes Hacksaw Ridge such compelling viewing, whether it be Doss' arduous journey through combat training or the visceral war sequences. I was an emotional wreck as the credits started to roll.Speaking of war sequences, Hacksaw Ridge possesses some of the most brutal and harrowing you'll ever see, reminiscent of the opening to Saving Private Ryan. Due to the fact that Doss served as a medic, there are parts where a strong stomach is needed as he obviously has to tend to a number of seriously wounded soldiers. The relentlessness of the sequences is admirable from Gibson and they're wonderfully shot by Simon Duggan.Coming to the performances, Hacksaw Ridge features an amazing lead performance from Andrew Garfield, who wanted to move away from his days as Spider-Man with a chance to play such an inspiring real life hero. I thought Garfield was always one of the best things about the Amazing Spider-Man films but it's great to see him really grow as an actor. His performance as Doss is one of the best of the year and I would love to see him get some form of recognition come awards season.The supporting cast threw me a little but they all play their part in excelling the film, expected from the likes of Hugo Weaving and Teresa Palmer but the film surprised me with how good some of the cast were. Sam Worthington and Luke Bracey were two that come to mind but the real surprise was Vince Vaughn, who I never thought I'd see play a part in a war film, particularly that of an Army Sergeant.Few films this year have hit me emotionally as Hacksaw Ridge did and that's why I have to say it's a most welcome return to filmmaking from Mel Gibson. It's right up there as one of the best films of the year and definitely one to see on the big screen.",welcome back mr gibson,when thinking about war films its very hard not go straight classics such as apocalypse now platoon or saving private ryan you have make something very special be mentioned same sentence as films like those hacksaw ridge i think mel gibson has made one all time great war films some war films use particular war history tell fictional story all three above example however war film me becomes something else entirely when it tells true story especially one as remarkable as story that hacksaw ridge is based desmond t doss andrew garfield became first conscientious objector american history be awarded medal honour even though he refused kill or even carry rifle while serving as medic during battle okinawa world war ii doss phenomenal story courage saw him single handedly save lives over 75 his comrades while under constant enemy fire hacksaw ridge is very much film two halves first introducing us doss exploring both his personal life his motivations choosing become conscientious objector serve as medic second depicting battle okinawa at hacksaw ridge site one bravest human feats history both tell story determined individual that doss was mel gibson does wonderful job directing film gibson has attracted lot bad press over years but there is no denying that he is good director hacksaw ridge he may just have made his best film yet its emotional power story that gibson taps into so successfully that makes hacksaw ridge such compelling viewing whether it be doss arduous journey through combat training or visceral war sequences i was emotional wreck as credits started roll speaking war sequences hacksaw ridge possesses some most brutal harrowing youll ever see reminiscent opening saving private ryan due fact that doss served as medic there are parts where strong stomach is needed as he obviously has tend number seriously wounded soldiers relentlessness sequences is admirable gibson theyre wonderfully shot by simon duggan coming performances hacksaw ridge features amazing lead performance andrew garfield who wanted move away his days as spider man with chance play such inspiring real life hero i thought garfield was always one best things about amazing spider man films but its great see him really grow as actor his performance as doss is one best year i would love see him get some form recognition come awards season supporting cast threw me little but they all play their part excelling film expected likes hugo weaving teresa palmer but film surprised me with how good some cast were sam worthington luke bracey were two that come mind but real surprise was vince vaughn who i never thought id see play part war film particularly that army sergeant few films this year have hit me emotionally as hacksaw ridge did thats why i have say its most welcome return filmmaking mel gibson its right up there as one best films year definitely one see big screen,0.507258551307847,0.23317236753856474,Positive,"{'Happy': 0.15, 'Angry': 0.07, 'Surprise': 0.3, 'Sad': 0.21, 'Fear': 0.27}"
8.0,one of the most violent sensory assaults that can be experienced in a cinema,"Good war-films can be very disturbing to watch. The dramatic realism of modern digital effects spares little and many audiences will find Hacksaw Ridge (2016) one of the most violent sensory assaults that can be experienced in a cinema. If it were not a true story that celebrates an unusual hero the film could have been accused of a gratuitous display of unrelenting carnage and military triumphalism.The film plays in two halves: the early life and romance of Army Medic Desmond Doss (Andrew Garfield) and the actual Battle of Hacksaw Ridge. Raised in bible best Virginia, Doss had a troubled upbringing under an abusive father. A devout Seventh-day Adventist, he swore never to commit violence or even carry a weapon but felt duty-bound to enlist in the Army. Not long after meeting the one love of his life, nurse Dorothy Schutte (Teresa Palmer), he enlisted with the belief that he could serve his God unarmed and without killing enemy soldiers.Branded a coward and bullied to leave, he was eventually granted conscientious objector status and became one of the troops sent to capture Hacksaw Ridge in the Battle of Okinawa of May 1945. While the assault was forced to retreat under overwhelming enemy fire, Doss remained behind and single-handedly evacuated 75 casualties, lowering them by rope from an escarpment over 100 metres high. The Ridge was eventually captured and Doss became one of the most decorated heroes of World War II.The heroism depicted in this story is of such an extraordinary magnitude that it can easily overwhelm any consideration of the film's merits. With an uncomplicated and factual narrative arc, the story rests on two pillars: acting and filming. On both scores, this film deserves high praise. While the early life and romance chapter drifts towards melodrama, Garfield is cast to perfection as the wide-eyed and straight talking man of unshakeable principle and Palmer convincingly plays his adorable emotional anchor. Together with a strong support cast that includes several big-name stars, this is a powerful ensemble that carries the story convincingly.The most outstanding element of this film, however, is its powerhouse hyper-realistic cinematography and spectacular set constructions that relentlessly convey the brutality of war. While it is an outstanding technical production, giving spectacle precedence over narrative is the film's Achilles Heel. One or maybe a few helmeted heads shredded or bodies bayonetted can convey much, but twenty deadens the senses. If ever there was a case where less could have been more, this is it. Otherwise this is a gripping film with forceful storytelling about a remarkable war hero.",one most violent sensory assaults that can be experienced cinema,good war films can be very disturbing watch dramatic realism modern digital effects spares little many audiences will find hacksaw ridge 2016 one most violent sensory assaults that can be experienced cinema if it were not true story that celebrates unusual hero film could have been accused gratuitous display unrelenting carnage military triumphalism film plays two halves early life romance army medic desmond doss andrew garfield actual battle hacksaw ridge raised bible best virginia doss had troubled upbringing under abusive father devout seventh day adventist he swore never commit violence or even carry weapon but felt duty bound enlist army not long after meeting one love his life nurse dorothy schutte teresa palmer he enlisted with belief that he could serve his god unarmed without killing enemy soldiers branded coward bullied leave he was eventually granted conscientious objector status became one troops sent capture hacksaw ridge battle okinawa may 1945 while assault was forced retreat under overwhelming enemy fire doss remained behind single handedly evacuated 75 casualties lowering them by rope escarpment over 100 metres high ridge was eventually captured doss became one most decorated heroes world war ii heroism depicted this story is such extraordinary magnitude that it can easily overwhelm any consideration films merits with uncomplicated factual narrative arc story rests two pillars acting filming both scores this film deserves high praise while early life romance chapter drifts towards melodrama garfield is cast perfection as wide eyed straight talking man unshakeable principle palmer convincingly plays his adorable emotional anchor together with strong support cast that includes several big name stars this is powerful ensemble that carries story convincingly most outstanding element this film however is its powerhouse hyper realistic cinematography spectacular set constructions that relentlessly convey brutality war while it is outstanding technical production giving spectacle precedence over narrative is films achilles heel one or maybe few helmeted heads shredded or bodies bayonetted can convey much but twenty deadens senses if ever there was case where less could have been more this is it otherwise this is gripping film with forceful storytelling about remarkable war hero,0.5542857142857142,0.14873224728487885,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.15, 'Sad': 0.16, 'Fear': 0.42}"
8.0,The 'using kind of religion'.,"I guess that Hacksaw Ridge could probably best be compared to the great Gary Cooper film Sergeant York which hewed pretty close to the truth about Alvin C. York, his background in Eastern Tennessee and his exploits in World War I. Like our protagonist Desmond Doss here, York had a rural background and joined a pacifist religious sect. Unlike Doss, York grew up as a hunter and was a dead shot. He wasn't sure what he would do if a combat situation arose. But he did what he did and got every decoration imaginable including the Congressional Medal Of Honor.Doss had a tougher row to hoe. He would not touch a weapon and the film will show you why. He felt it his patriotic duty to join, but as a combat medic, save lives rather than kill. With no weapon to defend his own person, this medic saved a lot of people at an engagement at a place dubbed Hacksaw Ridge in the Battle of Okinawa.In Sergeant York, Walter Brennan's country preacher character says that Gary Cooper has the 'using kind of religion'. That might well be said of Andrew Garfield as Desmond Doss who got a Best Actor Oscar nomination as Doss. Cooper won one of his two Oscars for Sergeant York and Garfield really suggests his character in what he does with Doss.The battle scenes are suggestive of Saving Private Ryan, director Mel Gibson staged them well. Hacksaw Ridge did win a pair of Oscars for its Sound. Gibson got nominated for Best Director and the film itself for Best Picture.Hacksaw Ridge shows the horrors of war and from it the beauty of heroism when people have to summon their personal best and become more than themselves. The Doss story is one that deserves telling and retelling. Thanks to Mel Gibson it will be permanently retold.",using kind religion,i guess that hacksaw ridge could probably best be compared great gary cooper film sergeant york which hewed pretty close truth about alvin c york his background eastern tennessee his exploits world war i like our protagonist desmond doss here york had rural background joined pacifist religious sect unlike doss york grew up as hunter was dead shot he wasnt sure what he would do if combat situation arose but he did what he did got every decoration imaginable including congressional medal honor doss had tougher row hoe he would not touch weapon film will show you why he felt it his patriotic duty join but as combat medic save lives rather than kill with no weapon defend his own person this medic saved lot people at engagement at place dubbed hacksaw ridge battle okinawa sergeant york walter brennans country preacher character says that gary cooper has using kind religion that might well be said andrew garfield as desmond doss who got best actor oscar nomination as doss cooper won one his two oscars sergeant york garfield really suggests his character what he does with doss battle scenes are suggestive saving private ryan director mel gibson staged them well hacksaw ridge did win pair oscars its sound gibson got nominated best director film itself best picture hacksaw ridge shows horrors war it beauty heroism when people have summon their personal best become more than themselves doss story is one that deserves telling retelling thanks mel gibson it will be permanently retold,0.4744708994708996,0.4880952380952381,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.37, 'Sad': 0.11, 'Fear': 0.31}"
10.0,****,"Superb film dealing with a conscientious objector becoming a war hero. No, it's not Gary Cooper in Sergeant York, but rather newcomer Andrew Garfield who gave a gut wrenching well-deserved Oscar nominated performance.From a dysfunctional family, he meets the love of his life and with the advent of World War 11, he wishes to serve as a medic but didn't realize the abuse and harassment he was in for when he went into the army and refused to touch a gun.We see military brass ready to condemn him, but yet we see sympathy for him, especially by the sergeant he later almost saved at Okinawa.Pulling the wounded survivors off the mountain was certainly a fete to be remembered. The battle scenes are gory all the way but after all, what is war?Ironically, he saves those who scorned him and earned the respect he truly deserved.",,superb film dealing with conscientious objector becoming war hero no its not gary cooper sergeant york but rather newcomer andrew garfield who gave gut wrenching well deserved oscar nominated performance dysfunctional family he meets love his life with advent world war 11 he wishes serve as medic but didnt realize abuse harassment he was when he went into army refused touch gun we see military brass ready condemn him but yet we see sympathy him especially by sergeant he later almost saved at okinawa pulling wounded survivors off mountain was certainly fete be remembered battle scenes are gory all way but after all what is war ironically he saves those who scorned him earned respect he truly deserved,0.6246031746031746,0.19603174603174603,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.06, 'Sad': 0.38, 'Fear': 0.31}"
