Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,"A classic comedy of errors which has fun, suspense and soul","Hrishikesh Mukherjee directs another comedy movie involving simple middle-class people and presents it through their everyday struggle. The entire picture is simple, authentic and fun. The concept of a young guy who would go to any extent to not lose his job is very interesting, and Mukherjee handles it with great success. Gol Maal is a comedy of errors and it's wonderfully developed and narrated. It's not a complex story, but it's not a silly one either, and the simplicity works in its favour. The film benefits from its genuinely lifelike sets and costumes, its script, and its proceedings, which grow from humorous to amusing to suspenseful to hilarious. It gets funnier and funnier as it goes along, as the conflict gets more complicated, the obstacles are doubled, and the irony grows. But the movie also has soul, and that's one of its high-points. The characters are colourful and memorable, but they also have depth which makes them easy to identify with. The relationships are also very impressively portrayed and it's nice to see how united families and relatives can be and how they care for each other and help each other in times of need.Gol Maal is very well cast, and for me, there are three actors who totally nail their parts: Amol Palekar, Utpal Dutt and Dina Pathak. Palekar is excellent in the role of a simpleton who is forced to live a double life in order to save his job. He displays the differences between the two roles his character has to play brilliantly, with just subtle change in body language and a few nuances here and there. Dutt is hilarious, skillfully creating a memorable persona of a strict boss with a soft heart. His is the funniest performance in the film. Dina Pathak, one of Hindi cinema's greatest character actresses, is awesome as she is in all the films I've seen her in. She comes across as a vivacious, fun-loving and kind woman and, like Palekar, wonderfully plays her 'two' roles. Among the supporting cast, David stands out and is as always likable as the kind uncle. The film also has fantastic music by maestro R.D. Burman. ""Aane Wala Pal"" is my favourite number, and it is performed to perfection by the great Kishore Kumar. Gol Maal is overall a lighthearted and heartwarming comedy but it has the power to captivate, and it can always provide a fun watch for the entire family.",classic comedy errors which has fun suspense soul,hrishikesh mukherjee directs another comedy movie involving simple middle class people presents it through their everyday struggle entire picture is simple authentic fun concept young guy who would go any extent not lose his job is very interesting mukherjee handles it with great success gol maal is comedy errors its wonderfully developed narrated its not complex story but its not silly one either simplicity works its favour film benefits its genuinely lifelike sets costumes its script its proceedings which grow humorous amusing suspenseful hilarious it gets funnier funnier as it goes along as conflict gets more complicated obstacles are doubled irony grows but movie also has soul thats one its high points characters are colourful memorable but they also have depth which makes them easy identify with relationships are also very impressively portrayed its nice see how united families relatives can be how they care each other help each other times need gol maal is very well cast me there are three actors who totally nail their parts amol palekar utpal dutt dina pathak palekar is excellent role simpleton who is forced live double life order save his job he displays differences between two roles his character has play brilliantly with just subtle change body language few nuances here there dutt is hilarious skillfully creating memorable persona strict boss with soft heart his is funniest performance film dina pathak one hindi cinemas greatest character actresses is awesome as she is all films ive seen her she comes across as vivacious fun loving kind woman like palekar wonderfully plays her two roles among supporting cast david stands out is as always likable as kind uncle film also has fantastic music by maestro r d burman aane wala pal is my favourite number it is performed perfection by great kishore kumar gol maal is overall lighthearted heartwarming comedy but it has power captivate it can always provide fun watch entire family,0.5917418546365915,0.3081233386496544,Positive,"{'Happy': 0.29, 'Angry': 0.01, 'Surprise': 0.16, 'Sad': 0.15, 'Fear': 0.38}"
10.0,What a great movie,"If you like comedies (and everyone of us does) don't miss this. Hrishikesh Mukherjee was always brilliant, but in this he is exceptional. Amol Palekar and Utpal Dutt are great as ever. This movie is so (don't know what to say) that one can't stop laughing throughout it. If you haven't seen this you are missing something.",what great movie,if you like comedies everyone us does dont miss this hrishikesh mukherjee was always brilliant but this he is exceptional amol palekar utpal dutt are great as ever this movie is so dont know what say that one cant stop laughing throughout it if you havent seen this you are missing something,0.71,0.5933333333333334,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.38, 'Fear': 0.0}"
10.0,What an outstanding movie !!,"A must Recommend movie for all generation of people. The situations of the movie are so comic that it does not matter who is actor,one has to enjoy the movie.Truly Great. A must watch movie. I would suggest every body to go and watch this movie. Every character was so amazingly suits the different characters. I see it as a lifetime achievement for all those who were a part of it,not intending to undermine their other accomplishments.The photography,art direction and production of the movie sets it apart from other movies of its era and at the same time puts it right up there on a different level.undoubtedly, one of the finest examples of film-making.This film is an absolutely original, Indian story, and does not owe anything to the west.Every aspect of the film is top-notch.10/10.",what outstanding movie,must recommend movie all generation people situations movie are so comic that it does not matter who is actor one has enjoy movie truly great must watch movie i would suggest every body go watch this movie every character was so amazingly suits different characters i see it as lifetime achievement all those who were part it not intending undermine their other accomplishments photography art direction production movie sets it apart other movies its era at same time puts it right up there different level undoubtedly one finest examples film making this film is absolutely original indian story does not owe anything west every aspect film is top notch 10 10,0.5681318681318681,0.2662087912087912,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.16, 'Sad': 0.26, 'Fear': 0.42}"
9.0,Brilliant,"This has got to be one of the best movies I have, and will ever, see. It's comedy at its best.The casting is superb, with Amul Palekar, Dina Pathak, Utpal Dutt, Manju Singh, and of course, a whole lot of special appearances.The story is quite ridiculous at times, but the acting and music more than makes up for it. Some of the sequences such as Ramprasad's interview with Utpal Dutt and the scene where Dina Pathack comes into their house through the window, are out of this world. It makes me wonder, what ever happened to good Indian comedies?? The story resolves quite nicely, and all well that ends well. Basically, a thoroughly enjoyable film.",brilliant,this has got be one best movies i have will ever see its comedy at its best casting is superb with amul palekar dina pathak utpal dutt manju singh course whole lot special appearances story is quite ridiculous at times but acting music more than makes up it some sequences such as ramprasads interview with utpal dutt scene where dina pathack comes into their house through window are out this world it makes me wonder what ever happened good indian comedies story resolves quite nicely all well that ends well basically thoroughly enjoyable film,0.5978021978021977,0.4941391941391941,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.17, 'Fear': 0.22}"
10.0,Top Class Comedy !!!!!,"One of the best comedies of all time in Hindi cinema. Gone are the days when comedy used to be clean and without loud expressions or stupid facial gestures. Golmaal comes out to be one of the favorite comedies of all times. As an adamant businessman, Utpal Dutt excels in his performance. This is probably his best role in Hindi movies. Amol Palekar outrightly describes that why he is renowned as an actor of extraordinary caliber. The supporting cast viz. Deven Verma, Dina Pathak and David have added pinch of flavor to the outcome. Keshto and Om Prakash have done well in a small cameo. Salute to the great director, Hrishikesh Mukherjee who has given loads of humor with excellent movies viz. Chupke Chupke and Anand. Golmaal is the best and will be ever remembered for it's hummable number like ""Aanewala Pal"". Truly Outstanding!!!",top class comedy,one best comedies all time hindi cinema gone are days when comedy used be clean without loud expressions or stupid facial gestures golmaal comes out be one favorite comedies all times as adamant businessman utpal dutt excels his performance this is probably his best role hindi movies amol palekar outrightly describes that why he is renowned as actor extraordinary caliber supporting cast viz deven verma dina pathak david have added pinch flavor outcome keshto om prakash have done well small cameo salute great director hrishikesh mukherjee who has given loads humor with excellent movies viz chupke chupke anand golmaal is best will be ever remembered its hummable number like aanewala pal truly outstanding,0.6171875,0.4,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.17, 'Fear': 0.21}"
10.0,A movie that you can see infinite number of times.,This movie is one of the best movies that Hrishikesh Mukherjee gave. A must see for everybody. I don't have words to express how much I like this movie. And I am yet to meet a person who did not like it. Too good.,movie that you can see infinite number times,this movie is one best movies that hrishikesh mukherjee gave must see everybody i dont have words express how much i like this movie i am yet meet person who did not like it too good,0.3666666666666667,0.6333333333333333,Positive,"{'Happy': 0.14, 'Angry': 0.29, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.29}"
,Hrishikesh Mukherjee's Comedy of Error(s),"Well first thing's first. If you liked 'Chupke Chupke' (another comedy of error by Mr. Mukherjee) then you'll almost certainly enjoy 'Gol Maal'. Mukherjee does what he's very specialized in doing: telling the simple story of the common man and this time again he does it with comedy. The film opens with the hilarious title song and the story slightly falls on the same line of Mukherjee's 'Chupke Chupke' but the humour and the actors make the moments their own and 'Gol Maal' is very much its own film. Amol Palekar as the simpleton who is 'forced' to live a double life, Utpal Dutt as the opinionated boss and Dina Pathak as the vivacious mother/aunt create a wonderful comic team. Lending support are Manju Singh as the happy-go-lucky sister, Deven Verma as...himself and a cute Bindiya Goswami as the love interest. One will notice several cameos by stars like Rekha, Amitabh Bachchan etc. 'Gol Maal' presents several situations of confusion, suspense, and drama - all of it with a touch of comedy. The only thing that slightly irritated me was the poor cinematography as the camera was a little too shaky at times. I was watching it really late at night (a time during which most normal people have already entered REM sleep) and couldn't stop laughing. I think it would have been a lot more entertaining had I watched it with my parents (as was the case with 'Chupke Chupke'). Perhaps thats because there's the additional comedy of watching them laugh out loud.",hrishikesh mukherjees comedy error s,well first things first if you liked chupke chupke another comedy error by mr mukherjee then youll almost certainly enjoy gol maal mukherjee does what hes very specialized doing telling simple story common man this time again he does it with comedy film opens with hilarious title song story slightly falls same line mukherjees chupke chupke but humour actors make moments their own gol maal is very much its own film amol palekar as simpleton who is forced live double life utpal dutt as opinionated boss dina pathak as vivacious mother aunt create wonderful comic team lending support are manju singh as happy go lucky sister deven verma as himself cute bindiya goswami as love interest one will notice several cameos by stars like rekha amitabh bachchan etc gol maal presents several situations confusion suspense drama all it with touch comedy only thing that slightly irritated me was poor cinematography as camera was little too shaky at times i was watching it really late at night time during which most normal people have already entered rem sleep couldnt stop laughing i think it would have been lot more entertaining had i watched it with my parents as was case with chupke chupke perhaps thats because theres additional comedy watching them laugh out loud,0.5257076719576719,0.1965425084175084,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.26, 'Sad': 0.19, 'Fear': 0.33}"
8.0,Gut busting comedy,"A comedy of errors in which a lie and a mistaken identity sets into motion a domino effect of such proportions that every time a character faces an obstacle your heart leaps into your mouth, only to fall back with a thud because you continuously feel the urge to laugh uncontrollably.Like any Hrishikesh Mukherjee movie, Gol Maal tells the story of next door people in the most heart-warming manner with a good dose of clean and genuine humor that takes a clean bite at the culture and traditions of middle-class India. Ramprasad Sharma (Amol Palekar), a chartered accountant by profession, is a colorful personality who is a sports junkie in the afternoons and an amateur singer in the evenings. With the help of his uncle he lands up a job at a trading firm and embarks on a mission to please his boss Bhavani Shankar (Uttpal Dutt in a hilarious turn) because his whole identity is fake considering his boss disapproves fashion, vehemently opposes the obsession of sports among the youth (although he is a secret sports fan himself), dislikes people who abbreviate their names and use recommendation to get a job, encourages purity of language, and sees mustache as a symbol of pride and a window to the soul. Ramprasad has none of the ""good"" qualities sans the mustache, his only saving grace, which he ends up losing in an attempt to save his skin after being spotted at a Hockey match by his boss. Remembering the plot of a movie an actor friend of his is doing, he manages to convince Bhavani Shankar that it was not him whom he had seen at the stadium but his jobless, good-for-nothing, clean shaven identical twin Laxmanprasad Sharma aka Lucky. So, during the day Ramprasad works as a straight-as-a-reed worker bee quoting quasi intellectual teachings of his imaginary father and in the evening takes on the role of his mustacheless notorious twin brother who teaches music to the boss's daughter and also romances her on the sly.Hrishikesh Mukherjee, once again succeeds in creating a complex story around some simple and some quirky characters like Mrs. Kamala Srivastav (Dina Pathak) – a reluctant mother for hire and Bade Babu (Yunus Parvez), a not so bright colleague of Ramprasad whose favorite pastime is pulling hair out of his nostrils. He went so far as to mount this broad satire on the platform of Bollywood itself wherein an actor friend of Ramprasad Deven (Deven Varma as himself) mouthpieces the idea that life indeed is stranger than fiction as depicted in the movies and does the humble job of furnishing the fake mustache to the protagonist, the complex results of which sets the whole hanky-panky business into motion.The rest of the cast is mediocre except for Shobha Khote and David in minor roles. Bindiya Goswami as the love interest only shines in her introduction scene and has nothing better to do except look lovelorn. Needless to say, it is the comic timing between Uttpal Dutt and Amol Palekar that is the star of the movie and the two went on to do three more films together with mixed results.",gut busting comedy,comedy errors which lie mistaken identity sets into motion domino effect such proportions that every time character faces obstacle your heart leaps into your mouth only fall back with thud because you continuously feel urge laugh uncontrollably like any hrishikesh mukherjee movie gol maal tells story next door people most heart warming manner with good dose clean genuine humor that takes clean bite at culture traditions middle class india ramprasad sharma amol palekar chartered accountant by profession is colorful personality who is sports junkie afternoons amateur singer evenings with help his uncle he lands up job at trading firm embarks mission please his boss bhavani shankar uttpal dutt hilarious turn because his whole identity is fake considering his boss disapproves fashion vehemently opposes obsession sports among youth although he is secret sports fan himself dislikes people who abbreviate their names use recommendation get job encourages purity language sees mustache as symbol pride window soul ramprasad has none good qualities sans mustache his only saving grace which he ends up losing attempt save his skin after being spotted at hockey match by his boss remembering plot movie actor friend his is doing he manages convince bhavani shankar that it was not him whom he had seen at stadium but his jobless good nothing clean shaven identical twin laxmanprasad sharma aka lucky so during day ramprasad works as straight as reed worker bee quoting quasi intellectual teachings his imaginary father evening takes role his mustacheless notorious twin brother who teaches music bosss daughter also romances her sly hrishikesh mukherjee once again succeeds creating complex story around some simple some quirky characters like mrs kamala srivastav dina pathak reluctant mother hire bade babu yunus parvez not so bright colleague ramprasad whose favorite pastime is pulling hair out his nostrils he went so far as mount this broad satire platform bollywood itself wherein actor friend ramprasad deven deven varma as himself mouthpieces idea that life indeed is stranger than fiction as depicted movies does humble job furnishing fake mustache protagonist complex results which sets whole hanky panky business into motion rest cast is mediocre except shobha khote david minor roles bindiya goswami as love interest only shines her introduction scene has nothing better do except look lovelorn needless say it is comic timing between uttpal dutt amol palekar that is star movie two went do three more films together with mixed results,0.5652820910973084,0.14230072463768118,Positive,"{'Happy': 0.18, 'Angry': 0.03, 'Surprise': 0.18, 'Sad': 0.19, 'Fear': 0.42}"
10.0,The greatest Bollywood comedy movie of all times!,"This classic 70's flick is regarded by many as undoubtedly the greatest Bollywood comedy movie of all times. Utpal Dutt is mostly remembered for his role as a strict boss and a person who holds the qualities of the Raj era to his heart, and in the process creating a generation gap between himself and the entire world. The ""Double Role"" played by the next door boy Amol Palekar in order to cover his real colors in front of his boss and his girlfriend makes a riot of a script such that you will remember for a long time. R D Burman's ""Golmaal"" and Kishore Kumar's ""Aane Waala Pal"" are songs that render the heart with unsurpassed happiness and sorrow. All this has made this movie the greatest Hindi comedy flick of all times. A must watch movie!",greatest bollywood comedy movie all times,this classic 70s flick is regarded by many as undoubtedly greatest bollywood comedy movie all times utpal dutt is mostly remembered his role as strict boss person who holds qualities raj era his heart process creating generation gap between himself entire world double role played by next door boy amol palekar order cover his real colors front his boss his girlfriend makes riot script such that you will remember long time r d burmans golmaal kishore kumars aane waala pal are songs that render heart with unsurpassed happiness sorrow all this has made this movie greatest hindi comedy flick all times must watch movie,0.4762820512820513,0.38589743589743597,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.44, 'Fear': 0.33}"
10.0,Best comedy I have ever seen,"This is the best comedy I have seen so far. Neither has such a comedy ever been produced again, not it will be. Utpal dutt is just great and so is Amol Palekar. Two great actors and very well supported by Dina Pathak. Bollywood, why have you stopped making such excellent movies. I have seen it 20 times and each time I see it, I like it even more. I know almost all main dialogues of the movie now. Wondeful film and must watch. I would give it a 10/10.",best comedy i have ever seen,this is best comedy i have seen so far neither has such comedy ever been produced again not it will be utpal dutt is just great so is amol palekar two great actors very well supported by dina pathak bollywood why have you stopped making such excellent movies i have seen it 20 times each time i see it i like it even more i know almost all main dialogues movie now wondeful film must watch i would give it 10 10,0.5666666666666667,0.5060606060606061,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.14, 'Fear': 0.29}"
