Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One Minute silence for those who gave this masterpiece one star,"Oh God how can anyone give Hera Pheri one star. God damn it, they have not enough sense of humor to crack Jokes of this film.See some nonsense foreigners are saying worse Indian movie ever. Dear bro & sis, If you really want to enjoy Hera Pheri learn Hindi first. Unlike other Indian film subtitle can't give Justice Hera Pheri. Surely they have ruined humor of dialogues.",one minute silence those who gave this masterpiece one star,oh god how can anyone give hera pheri one star god damn it they have not enough sense humor crack jokes this film see some nonsense foreigners are saying worse indian movie ever dear bro sis if you really want enjoy hera pheri learn hindi first unlike other indian film subtitle cant give justice hera pheri surely they have ruined humor dialogues,0.4853174603174603,0.11785714285714285,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.53, 'Sad': 0.12, 'Fear': 0.24}"
10.0,A movie with full of memes and catchy dialogues,"Hera pheri is one of my all time favourite comedy movie, all the characters and their dialogues are still remembered especially Paresh Rawal's role Baburao Ganpatrao Apte (one of the most highlighted characters of the movie) and the dialogues are really catchy ""Khopdi tor saale ka"", Kutria saala dekh ke number dial kar"", ""Aurat ka chakkar Babubhaiya"", ""Yeh Baburao ka style hai"" ""Khadak Singh ke kharak ne se"", ""Kabira speaking"" and many more. Akshay Kumar is great, Sunil Shetty is also great and Paresh Rawal steals the show and the rest of the supporting casts are good too. The songs are good, screenplay is good, storyline is good and mostly direction is also good. It's one of those classic comedy movies like Andaz apna apna and Jaane bhi do yaaro10 out 10 stars",movie with full memes catchy dialogues,hera pheri is one my all time favourite comedy movie all characters their dialogues are still remembered especially paresh rawals role baburao ganpatrao apte one most highlighted characters movie dialogues are really catchy khopdi tor saale ka kutria saala dekh ke number dial kar aurat ka chakkar babubhaiya yeh baburao ka style hai khadak singh ke kharak ne se kabira speaking many more akshay kumar is great sunil shetty is also great paresh rawal steals show rest supporting casts are good too songs are good screenplay is good storyline is good mostly direction is also good its one those classic comedy movies like andaz apna apna jaane bhi do yaaro10 out 10 stars,0.5416666666666665,0.5041666666666667,Positive,"{'Happy': 0.53, 'Angry': 0.0, 'Surprise': 0.13, 'Sad': 0.0, 'Fear': 0.33}"
10.0,Baanngg!,You won't believe it but it is true that I have seen this movie 17 times and I am still not tired of watching. I saw it on the theatres first and I loved it and then I bought it on DVD. This movie rocks. I love the performance of Paresh Rawal. Akshay kumar and sunil shetty also gives great performances. This movie really makes me laugh. My rating- 10/10,baanngg,you wont believe it but it is true that i have seen this movie 17 times i am still not tired watching i saw it theatres first i loved it then i bought it dvd this movie rocks i love performance paresh rawal akshay kumar sunil shetty also gives great performances this movie really makes me laugh my rating 10 10,0.5166666666666666,0.4125,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.12, 'Fear': 0.12}"
10.0,Hera pheri review,Must watch in a lifetime.I love this movie.So much of extraordinary comedy of golden Indian movies are present in this one.Masterpiece of comedy,hera pheri review,must watch lifetime i love this movie so much extraordinary comedy golden indian movies are present this one masterpiece comedy,0.525,0.2833333333333333,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
8.0,The nostalgia,"Look, I am a simple man. I see Akshay Kumar in a 2000s Bollywood comedy film, I watch it. And I'd blame this film for my obsession. And I'm like 99% sure I'm not the only one who thinks that way. Hera Pheri was something completely new for its time. Bollywood comedy-of-errors were not very common back in the days. And even if they were they'd rarely be good. So rare that we can practically name them (let's try - Golmaal, Andaz Apna Apna. That's it, I did it).Hera Pheri comes from a time when we were not used to this kind of a humour. After a complete decade of mindless slapsticks by Govinda, this seemed like something that was completely driven by the comic timing, phenomenal acting, the setting and the story. If any of these elements was missing this film would have also crumbled down like the later comedy movies of Akshay Kumar. What exactly makes this film special are the characters, their relatable behaviour and the situation they got in.Raju, Shyam and Baburao have now become household names. The character of Kabira has also become something staple with bad guys on phones. Amrish Puri chasing Shyam for returning his money so that he could have his sister's wedding was a very well done runnig joke. And finally the ending scene was also very satisfying. Overall there was a great performance by all the actors.I think I have heard this movie is going to get a third part with John Abraham. I'd absolutely not want that. Replacing Akshay Kumar with John Abraham will surely ruin the franchise (like Welcome and Welcome Back). I'd prefer that both of them should stay, if the planned sequel is actually very good. But otherwise a duology is perfect.",nostalgia,look i am simple man i see akshay kumar 2000s bollywood comedy film i watch it id blame this film my obsession im like 99 sure im not only one who thinks that way hera pheri was something completely new its time bollywood comedy errors were not very common back days even if they were theyd rarely be good so rare that we can practically name them lets try golmaal andaz apna apna thats it i did it hera pheri comes time when we were not used this kind humour after complete decade mindless slapsticks by govinda this seemed like something that was completely driven by comic timing phenomenal acting setting story if any these elements was missing this film would have also crumbled down like later comedy movies akshay kumar what exactly makes this film special are characters their relatable behaviour situation they got raju shyam baburao have now become household names character kabira has also become something staple with bad guys phones amrish puri chasing shyam returning his money so that he could have his sisters wedding was very well done runnig joke finally ending scene was also very satisfying overall there was great performance by all actors i think i have heard this movie is going get third part with john abraham id absolutely not want that replacing akshay kumar with john abraham will surely ruin franchise like welcome welcome back id prefer that both them should stay if planned sequel is actually very good but otherwise duology is perfect,0.5420901647372237,0.24156869274516335,Positive,"{'Happy': 0.21, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.21, 'Fear': 0.35}"
10.0,Don't be oversmart to those who have given 1* to this film,I have watched more than 100 times still don't get bore by hera pheri. It's the best comedy film of all time. Must watch.,dont be oversmart those who have given 1 this film,i have watched more than 100 times still dont get bore by hera pheri its best comedy film all time must watch,0.4,0.75,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.2, 'Fear': 0.2}"
10.0,the best comedy i have seen in my life and i have seen many,"Hera Pheri is a film set in Mumbai and is not your run of the mill slapstick comedy that directors like David Dhawan indulge in. The movie is directed by Priyadarshan who proved that after making such wonderful and serious film like Virasat, he can also direct a comedy with élan.This film is a comedy of error. Set in a Mumbai slum where our three protagonists dwell, the movie depicts the hilarious moments created by the simplicity and/or stupidity of the characters. The look of the film is that of an art film. By the look of it, it seems as if it is going to be a really serious movie but it turns out to be one roller-coaster ride of laughter. The cast of the film includes Sunil Shetty who plays an unemployed guy who comes to Mumbai looking for work and a place to live. He lands up at the house of a simple man played deftly by Paresh Rawal who takes Sunil in. However, there is another person living in the house, namely Raju. Played by Akshay Kumar, Raju is the mischief monger and good for nothing. He keeps on getting jobs and losing them quickly. The story is taken forward by a phone call by the gangster Kabira who keeps on saying that he has kidnapped his grand daughter (sunil takes the call) and wants ransom. This call kickstarts a mayhem. Which ultimately leads us to the climax of the film where the protagonists end up becoming millionaires. Each and every member of the cast is brilliant in the performance of their roles. Sunil Shetty and Akshay Kumar's careers were in doldrums when this film released and both of them gave a stunning performance. Especially Akshay Kumar shows impeccable comic timing. Akshay Kumar is considered of the best comic actors of Bollywood these days after performing comic roles in films like Mujhse Shaadi Karogi, Khakee, Aawara Paagal Deewana and Waqt. However, the show stealer is none other that the unbelievable Paresh Rawal who plays Baburao Ganpatrao Apte. He is an absolute delight to watch. It will be an understatement to say that he completely overshadows the rest of the actors with his marvellous portrayal of a poor Mumbaiyya simpleton. This film changed the course of his career and he is now reckoned as a character actor who adds to the star value of a film. The music is not that good though. The song ""Main Ladka Pom Pom"" is hilarious though. The picturization keeps you in splits even though the song is irritating if you only listen to the audio. The real hero of the film is the dialogue writer Neeraj Vohra who comes up with some never before heard one liners. Anyone who wants another example of his great work must watch Aawara Paagal Deewana. In short, a film for every comedy lover. Some clean entertainment. Moreover, I can confidently say that this is the best comedy film i have seen in my life. Brilliant!",best comedy i have seen my life i have seen many,hera pheri is film set mumbai is not your run mill slapstick comedy that directors like david dhawan indulge movie is directed by priyadarshan who proved that after making such wonderful serious film like virasat he can also direct comedy with lan this film is comedy error set mumbai slum where our three protagonists dwell movie depicts hilarious moments created by simplicity or stupidity characters look film is that art film by look it it seems as if it is going be really serious movie but it turns out be one roller coaster ride laughter cast film includes sunil shetty who plays unemployed guy who comes mumbai looking work place live he lands up at house simple man played deftly by paresh rawal who takes sunil however there is another person living house namely raju played by akshay kumar raju is mischief monger good nothing he keeps getting jobs losing them quickly story is taken forward by phone call by gangster kabira who keeps saying that he has kidnapped his grand daughter sunil takes call wants ransom this call kickstarts mayhem which ultimately leads us climax film where protagonists end up becoming millionaires each every member cast is brilliant performance their roles sunil shetty akshay kumars careers were doldrums when this film released both them gave stunning performance especially akshay kumar shows impeccable comic timing akshay kumar is considered best comic actors bollywood these days after performing comic roles films like mujhse shaadi karogi khakee aawara paagal deewana waqt however show stealer is none other that unbelievable paresh rawal who plays baburao ganpatrao apte he is absolute delight watch it will be understatement say that he completely overshadows rest actors with his marvellous portrayal poor mumbaiyya simpleton this film changed course his career he is now reckoned as character actor who adds star value film music is not that good though song main ladka pom pom is hilarious though picturization keeps you splits even though song is irritating if you only listen audio real hero film is dialogue writer neeraj vohra who comes up with some never before heard one liners anyone who wants another example his great work must watch aawara paagal deewana short film every comedy lover some clean entertainment moreover i can confidently say that this is best comedy film i have seen my life brilliant,0.6518668831168831,0.2979855371900826,Positive,"{'Happy': 0.12, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.17, 'Fear': 0.37}"
10.0,Best comedy movie of India,Everyone knows that. No need to review this film. It's a masterpiece. Watch it now if you haven't watched it. It's a masterpiece.,best comedy movie india,everyone knows that no need review this film its masterpiece watch it now if you havent watched it its masterpiece,0.3,1.0,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10.0,A light comedy everyone will enjoy,"I never expected much from this movie, because of the cast: Fading Sunil Shetty, sabseboringKhiladi/monkeyboy Akki and serious Tabu. The only hope i had was in Paresh Rawal. After seeing him in the hilarious Andaz Apna Apna (Highly recommended), he was to be taken notice of.So when I did watch it I was shocked to say the least. I found Hera Pheri to be one the best comedies of the decade. Just forget about the cheap attempts of David Dhawan called comedy. This is the real deal.The story is simple (as is with many good movies). The 3 protagonists Shyam (Sunil Shetty), Raju (Akshay Kumar) and Babu Rao (Paresh Rawal) are all in dire need of money. Shyam needs it to pay back an old friend (Om Puri) so he can get his(as in Puri's) sister married. Raju needs it for his mother and Babu Rao to pay back loans his father took. When a local rich man's grand daughter gets kidnapped by 'dangerous' gangster Kabira (Gulshan Grover) calls Babu Rao's number by mistake, Raju sees an end to all their problems. He suggests they play a game, do some hera pheri. And the movie is off to take you for an awesome ride.Performances by far surprised me. Sunil Shetty I never liked, but his performance as the somewhat naive do-gooder was wonderful. Akki ape also surprised me in his sense of comedic timing. But Paresh was the biggest surprise. Even though he was my only hope for this movie, he came out ten times better than I expected. He deserved the best comedian Filmfare Award, that he did receive for 2000. Tabu (Anu) as another person in need of money who fights with Shyam for a job is also competent. It is a small role but as always she leaves her mark. Asrani in a tiny role also gives some laughs. Om Puri was also excellent in his small role.So Bravo Priyadarshan saheb! Once again you've shown that you are a unique and intelligent filmmaker with a lot of tricks up your sleeve. One tip though, don't think too much about the logic of the story or the probability. Just turn off your brain for a few hours and enjoy. You'll find yourself cracking up every time you think of ""Kabira speaking"". Watch the movie and you'll know what I mean.",light comedy everyone will enjoy,i never expected much this movie because cast fading sunil shetty sabseboringkhiladi monkeyboy akki serious tabu only hope i had was paresh rawal after seeing him hilarious andaz apna apna highly recommended he was be taken notice so when i did watch it i was shocked say least i found hera pheri be one best comedies decade just forget about cheap attempts david dhawan called comedy this is real deal story is simple as is with many good movies 3 protagonists shyam sunil shetty raju akshay kumar babu rao paresh rawal are all dire need money shyam needs it pay back old friend om puri so he can get his as puris sister married raju needs it his mother babu rao pay back loans his father took when local rich mans grand daughter gets kidnapped by dangerous gangster kabira gulshan grover calls babu raos number by mistake raju sees end all their problems he suggests they play game do some hera pheri movie is off take you awesome ride performances by far surprised me sunil shetty i never liked but his performance as somewhat naive do gooder was wonderful akki ape also surprised me his sense comedic timing but paresh was biggest surprise even though he was my only hope this movie he came out ten times better than i expected he deserved best comedian filmfare award that he did receive 2000 tabu anu as another person need money who fights with shyam job is also competent it is small role but as always she leaves her mark asrani tiny role also gives some laughs om puri was also excellent his small role so bravo priyadarshan saheb once again youve shown that you are unique intelligent filmmaker with lot tricks up your sleeve one tip though dont think too much about logic story or probability just turn off your brain few hours enjoy youll find yourself cracking up every time you think kabira speaking watch movie youll know what i mean,0.5753745039682538,0.1825868055555556,Positive,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.44, 'Sad': 0.12, 'Fear': 0.28}"
9.0,All time classic,You can watch this movie with the iconic characters any time any where. It won't ever let you get bored.,all time classic,you can watch this movie with iconic characters any time any where it wont ever let you get bored,0.5555555555555555,0.055555555555555546,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.2}"
