Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,"Bold, shocking, thought-provoking...","Hey Ram is the story of Saket Ram (Kamal Haasan), an archaeologist. He is on a dig in pre-partition Harappa with his buddy Amjad (Shah Rukh Khan) when communal violence erupts in the region and the dig is closed down. Saket Ram goes off to Calcutta to visit his new wife Aparna (Rani Mukherjee). Calcutta is in chaos with religious strife and Ram's wife is brutally assaulted and killed by some Muslim men a few days after his return. He becomes unstable and seeks out the perpetrators of the crime and deals with them. While wandering the streets Ram meets with Abhyankar (Atul Kulkarni) who tells him that his family has suffered a similar fate and that the one man responsible for all this is MK Gandhi. Ram goes off to Tamil Nadu and after seeing Maithili (Vasundhara Das) agrees to marry her. All the time he is still traumatized by Aparna's death and planning revenge. When Abhyankar is paralyzed in a polo accident Ram vows to take his place as the killer of the Mahatma. He moves to Delhi and there he re-encounters his friend Amjad. Now hatred for Muslims and his prior closeness to Amjad are at war and Ram must choose his path - will it be the road to revenge or redemption? The story is excellent and the movie manages to retain its grip on the viewer for over three hours. The direction is for the most part very good. There are a few strange moments that seemed unnecessary to me - why is there the surreal stuff when Ram is shown with Maithili? The Marathi dance seemed unnecessary. Why were the bullets in a cartridge in a pre-partition handgun? Can one talk after one's throat is sliced open? But these are indeed minor quibbles in an overall excellent film.The background score is a bit intrusive, the songs not memorable. Maybe this is not the best of the Maestro Illayaraja. The beginning song/dance in the club is sort of silly, certainly not needed. Surely bonding between friends can be shown in other ways.Acting is very good throughout. For me the outstanding performance was given by Rani Mukherjee. She breathed life into Aparna and was at her most attractive and charming as a Bengali Bodhu! Kamal was very good. He showed love, passion, anger, rage, madness very well. And what looks at nearly age 50! The man is awesome. Shah Rukh gave a great performance as Amjad - a very restrained and balanced performance that in the end showed us which path Ram would choose and why. Atul Kulkarni was awesome as the fanatical Abhyanker. Vasundhara Das was luminous and did an excellent job playing Maithili. Naseer Shah as Gandhi, Hema Malini as the mother were all very good. In fact there was no bad performance in the film.This is a fine piece of movie making and deserves all the accolades it got. If you have not yet seen this film then you are in for a rare treat.",bold shocking thought provoking,hey ram is story saket ram kamal haasan archaeologist he is dig pre partition harappa with his buddy amjad shah rukh khan when communal violence erupts region dig is closed down saket ram goes off calcutta visit his new wife aparna rani mukherjee calcutta is chaos with religious strife rams wife is brutally assaulted killed by some muslim men few days after his return he becomes unstable seeks out perpetrators crime deals with them while wandering streets ram meets with abhyankar atul kulkarni who tells him that his family has suffered similar fate that one man responsible all this is mk gandhi ram goes off tamil nadu after seeing maithili vasundhara das agrees marry her all time he is still traumatized by aparnas death planning revenge when abhyankar is paralyzed polo accident ram vows take his place as killer mahatma he moves delhi there he re encounters his friend amjad now hatred muslims his prior closeness amjad are at war ram must choose his path will it be road revenge or redemption story is excellent movie manages retain its grip viewer over three hours direction is most part very good there are few strange moments that seemed unnecessary me why is there surreal stuff when ram is shown with maithili marathi dance seemed unnecessary why were bullets cartridge pre partition handgun can one talk after ones throat is sliced open but these are indeed minor quibbles overall excellent film background score is bit intrusive songs not memorable maybe this is not best maestro illayaraja beginning song dance club is sort silly certainly not needed surely bonding between friends can be shown other ways acting is very good throughout me outstanding performance was given by rani mukherjee she breathed life into aparna was at her most attractive charming as bengali bodhu kamal was very good he showed love passion anger rage madness very well what looks at nearly age 50 man is awesome shah rukh gave great performance as amjad very restrained balanced performance that end showed us which path ram would choose why atul kulkarni was awesome as fanatical abhyanker vasundhara das was luminous did excellent job playing maithili naseer shah as gandhi hema malini as mother were all very good fact there was no bad performance film this is fine piece movie making deserves all accolades it got if you have not yet seen this film then you are rare treat,0.5836417027417028,0.20227330447330444,Positive,"{'Happy': 0.26, 'Angry': 0.1, 'Surprise': 0.14, 'Sad': 0.13, 'Fear': 0.37}"
10.0,Best and most mature of all India's nominations for Best Foreign Language Film for Academy Awards,"A Real Eye-Opener... and that's what its is. First of all I would like to inform that I haven't yet watched the original version of this movie which claims to be better than this Hindi version.That's the reason I can't compare both movies. This movie has it all,whether its Hard-Core Reality, maturity, direction, special-effects and most of all great acting and true-to-the-core screenplay which provides us with nothing but tough reality which can be bargained for nothing, NOT even for what everybody calls, Religious Tolerance. However one tries to ignore it,one cannot defy the hard truthfulness of the subject of this movie. As far as the plot is concerned it's imaginary but not impossible. The idea that there could have been more than one potential killers of Gandhiji is not impossible.But that is not what the talented Kamal Haasan want to present in front of us.Instead he wants to introduce the ACTUAL circumstances during the times of Indian struggle for freedom. he has truly depicted the life of an average Indian who truly loves his motherland and beautifully depicted the transformations he undergoes from an anti-Muslim, anti-Gandhi to a humanataranian. My personal favourite from the movie though is not Kamal's character but that of Atul Kulkarni's.The way he lives his life as tough as that,his inteligence,his intense love for his motherland which overrides his mind even in the eventuality of facing a physical disorder which he has to suffer and also as a result of which he get bedridden is truly inspirational.And most of all it was TRUE in those days! The visual-effects though not the greatest but are great. This script is what we can call a revolution in (1)typical Indian's thinking standards,(2)expression of hard-core reality. Also as a movie its simply great for its acting,visual effects, direction and most of all its Script. Truly, this movie enjoyed the well deserved nomination from India's part in the category of Best Foreign Language Film at the Academy Awards.And it well could have been the winner if only it could have been possible for Kamal Haasan to put much more necessary efforts in that direction. Finally,though not a completely perfect movie still I would give it a 10 out of 10 due to its TRUTHFULNESS. If the Always Talented Kamal Haasan makes a next movie even half good as this one I would like to watch it. Its unarguably the best of all Indian movies including Hindi ones.It's my personal Rank One among my top ten Indian (though not international)movies. The future would be great if more individuals would watch more mature movies like this. Also this is my first review of its kind so if possible forgive me for any misgivings.",best most mature all indias nominations best foreign language film academy awards,real eye opener thats what its is first all i would like inform that i havent yet watched original version this movie which claims be better than this hindi version thats reason i cant compare both movies this movie has it all whether its hard core reality maturity direction special effects most all great acting true core screenplay which provides us with nothing but tough reality which can be bargained nothing not even what everybody calls religious tolerance however one tries ignore it one cannot defy hard truthfulness subject this movie as far as plot is concerned its imaginary but not impossible idea that there could have been more than one potential killers gandhiji is not impossible but that is not what talented kamal haasan want present front us instead he wants introduce actual circumstances during times indian struggle freedom he has truly depicted life average indian who truly loves his motherland beautifully depicted transformations he undergoes anti muslim anti gandhi humanataranian my personal favourite movie though is not kamals character but that atul kulkarnis way he lives his life as tough as that his inteligence his intense love his motherland which overrides his mind even eventuality facing physical disorder which he has suffer also as result which he get bedridden is truly inspirational most all it was true those days visual effects though not greatest but are great this script is what we can call revolution 1 typical indians thinking standards 2 expression hard core reality also as movie its simply great its acting visual effects direction most all its script truly this movie enjoyed well deserved nomination indias part category best foreign language film at academy awards it well could have been winner if only it could have been possible kamal haasan put much more necessary efforts that direction finally though not completely perfect movie still i would give it 10 out 10 due its truthfulness if always talented kamal haasan makes next movie even half good as this one i would like watch it its unarguably best all indian movies including hindi ones its my personal rank one among my top ten indian though not international movies future would be great if more individuals would watch more mature movies like this also this is my first review its kind so if possible forgive me any misgivings,0.5200344611528822,0.21277673350041768,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.3, 'Sad': 0.18, 'Fear': 0.3}"
9.0,WOW.. a very powerful film,"I had heard that Kamal Hassan was a good actor, so I decided to check out Hey Ram. I knew nothing of the plot (best way to see a movie; no expectations...) and I must admit I was emotionally overwhelmed by the end of it. Kamal Hassan is an amazing actor who is not only passionate about his work but also about his country. And what a pleasure to see Shah Rukh in a minor part.Hey Ram is a film that every American actor, writer, and director should study. Few American films have had such an effect on me. I highly recommend it.",wow very powerful film,i had heard that kamal hassan was good actor so i decided check out hey ram i knew nothing plot best way see movie no expectations i must admit i was emotionally overwhelmed by end it kamal hassan is amazing actor who is not only passionate about his work but also about his country what pleasure see shah rukh minor part hey ram is film that every american actor writer director should study few american films have had such effect me i highly recommend it,0.5457142857142857,0.1892857142857143,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.07, 'Fear': 0.29}"
10.0,overestimated its audience!!,"hey ram is way too complex for the average indian viewer. the movie's complex techniques of flash-trhough, visual & aural associations, extended pauses & the use of the mental imagery of the protagonist to express his thoughts most probably did not connect with the indian audience.the movie, im sure, is hailed as a classic at film institutes and by connoisseurs but the demanded too much involvement from the audience, for it to have any kind of mass appeal.the sensitive story and the harsh visuals would have further delineated the audience, but for discerning viewers who like to get involved in the movie, this is a must see.the way the protagonists thoughts, views & ideals on the issue of patriotism, struggle & Gandhi keeps changing and evolves slowly through his own experiences are extraordinary to watch. makes me want to read more about the Mahatma.a brilliant movie, will rank among my alltime favourites. a classic 10.",overestimated its audience,hey ram is way too complex average indian viewer movies complex techniques flash trhough visual aural associations extended pauses use mental imagery protagonist express his thoughts most probably did not connect with indian audience movie im sure is hailed as classic at film institutes by connoisseurs but demanded too much involvement audience it have any kind mass appeal sensitive story harsh visuals would have further delineated audience but discerning viewers who like get involved movie this is must see way protagonists thoughts views ideals issue patriotism struggle gandhi keeps changing evolves slowly through his own experiences are extraordinary watch makes me want read more about mahatma brilliant movie will rank among my alltime favourites classic 10,0.5561111111111112,0.12083333333333332,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.1, 'Fear': 0.57}"
10.0,Quite an eye opener for an American with a Christian background,"What an emotional and eye opening journey regarding the dangerous mix of religion and politics. The same dangerous mix we still face today. How can we profess to be products of a creator when we malign and even kill each other for the sake of an interpretation of our creator's being, the love that must have been to create us in the first place. I have just watched the DVD and cannot quite crying for the waste of good lives - the same waste occurring today. Will we ever learn?! Just a note on Shahrukh Khan's role and performance in the film...it was very understated and very moving. Since he his a Muslim, wouldn't it be nice to see him more roles expressing his own beliefs? It's amazing what influence a popular celebrity can have on popular thought. During such a time of religious warfare, it would be nice to see more films such as this that leave one with the conclusion the religious wars are an abomination. That there really is no such thing as a righteous war. Killing in the same of our creator is much the same as killing our siblings in the name of our parents. Can you imagine them condoning such behavior? Not I.This was an excellent film on several levels including artistry, story line, and acting and direction. For what ever reason one would want to view films, except for simple mindless escapism, this is one to view and digest.",quite eye opener american with christian background,what emotional eye opening journey regarding dangerous mix religion politics same dangerous mix we still face today how can we profess be products creator when we malign even kill each other sake interpretation our creators being love that must have been create us first place i have just watched dvd cannot quite crying waste good lives same waste occurring today will we ever learn just note shahrukh khans role performance film it was very understated very moving since he his muslim wouldnt it be nice see him more roles expressing his own beliefs its amazing what influence popular celebrity can have popular thought during such time religious warfare it would be nice see more films such as this that leave one with conclusion religious wars are abomination that there really is no such thing as righteous war killing same our creator is much same as killing our siblings name our parents can you imagine them condoning such behavior not i this was excellent film several levels including artistry story line acting direction what ever reason one would want view films except simple mindless escapism this is one view digest,0.47339124839124835,0.14391891891891892,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.4, 'Sad': 0.07, 'Fear': 0.33}"
10.0,What a movie !!,"A truly amazing experience.....One cannot explain the kind of feeling that creeps into your heart at the end of this movie...its a hard-hitting mixture of reality with a very interesting element of fiction thrown in.....every aspect of the movie was breath-taking...the music by the Maestro Ilayaraaja..especially the songs...Nee partha, Isayil thodanguthamma and hey ram.....The BGM completely gels with the movie ..... Coming to the acting, I personally feel this is one of the best movies of almost every actor in the movie..Kamal is his usual splendid self....Watch him become the happy lover, the broken human being, the idealist and finally the old man with wrinkles of experience...the idea of having used colour in the past and b/w in the present is definitely a great concept.....Other than Kamal Haasan, Atul Kulkarni and Rani Mukherjee have given mind-blowing performances....Kulkarni is an incredibly talented actor and one can see the emotion in his eyes that speak most of his dialogues in the movie...Rani mukherjee is the perfect fit for her role of a Bengali teacher and has given a wonderful performance......The movie comes as a kind of rebel in the usual masala Indian movies genre and is a must watch for anyone interested in gaining a wholesome experience....Another feather on India cinema's cap.....",what movie,truly amazing experience one cannot explain kind feeling that creeps into your heart at end this movie its hard hitting mixture reality with very interesting element fiction thrown every aspect movie was breath taking music by maestro ilayaraaja especially songs nee partha isayil thodanguthamma hey ram bgm completely gels with movie coming acting i personally feel this is one best movies almost every actor movie kamal is his usual splendid self watch him become happy lover broken human being idealist finally old man with wrinkles experience idea having used colour past b w present is definitely great concept other than kamal haasan atul kulkarni rani mukherjee have given mind blowing performances kulkarni is incredibly talented actor one can see emotion his eyes that speak most his dialogues movie rani mukherjee is perfect fit her role bengali teacher has given wonderful performance movie comes as kind rebel usual masala indian movies genre is must watch anyone interested gaining wholesome experience another feather india cinemas cap,0.5469135802469136,0.30987654320987656,Positive,"{'Happy': 0.21, 'Angry': 0.11, 'Surprise': 0.37, 'Sad': 0.11, 'Fear': 0.21}"
10.0,Must See,"Gandhiji is said to be the father of the India. A Mahathma who lived his principles instead of just preaching. But why on earth someone would want to kill him? It is something that the politicians and religious fellows wanted to hide from the general public. Kamal Hassan takes a brave step in putting things on the screen for everyone to see. True that the film evoked anger at many sects, but none could stop the film as everything is history and hence cannot be denied. The film supports religious harmony and breaks a lot of myths (including the one that Gandhi said 'hey ram' after being shot). Every Indian should see the film (where he is a Hindu or a Muslim doesn't matter at all). For that India would live in peace.",must see,gandhiji is said be father india mahathma who lived his principles instead just preaching but why earth someone would want kill him it is something that politicians religious fellows wanted hide general public kamal hassan takes brave step putting things screen everyone see true that film evoked anger at many sects but none could stop film as everything is history hence cannot be denied film supports religious harmony breaks lot myths including one that gandhi said hey ram after being shot every indian should see film where he is hindu or muslim doesnt matter at all that india would live peace,0.43518518518518523,0.1262626262626263,Positive,"{'Happy': 0.0, 'Angry': 0.05, 'Surprise': 0.38, 'Sad': 0.24, 'Fear': 0.33}"
10.0,A slice of history as never told before!,"Mohandas Karamchand Gandhi is an idolized figure in India. He is one who is almost raised to the status of GOD by many. Films such as Richard Attenborough's ""Gandhi"" have glorified this figure repeatedly and rightfully so. However, this is only one side of the story. What Kamal Haasan shows through ""Hey! Ram"" is that Gandhi is a part of history and history cannot be changed and needs to be told as it was. Gandhi was not the ""glory"" that he is believed to be for everyone! There were numerous people who opposed him and his policies. Contrary to much of the controversy behind this film, ""Hey! Ram"" does not trivialize Gandhi, nor does it blame him. In fact, the main character, Saket Ram (Kamal Haasan in a powerhouse performance)learns to appreciate Gandhi by the end of the journey. The point of the film is not that he does learn to appreciate Gandhi despite being chosen as his potential assassin, but rather the way he makes his journey to that point. This journey is so masterfully and artistically directed by Kamal Haasan that one cannot help but sit back and be stunned at what this genius is capable of. What Haasan has created with ""Hey! Ram"" is not only an epic film but perhaps the biggest casting coup of the decade with actors like Nasseeruddin Shah (who makes a better Gandhi than Ben Kingsley), Om Puri, Shahrukh Khan, Rani Mukherji, Girish Karnad and many other prominent names of the Indian Film Industry. The cinematography is simply brilliant and Renu Saluja's editing is a work of art. Ilayaraja's music is a highly emotive score that effectively blends western orchestral arrangements with traditional carnatic sounds. ""Hey! Ram"" is one of the greatest Indian films ever made. It takes a lot of intelligence and passion to make and appreciate a film like ""Hey! Ram.""",slice history as never told before,mohandas karamchand gandhi is idolized figure india he is one who is almost raised status god by many films such as richard attenboroughs gandhi have glorified this figure repeatedly rightfully so however this is only one side story what kamal haasan shows through hey ram is that gandhi is part history history cannot be changed needs be told as it was gandhi was not glory that he is believed be everyone there were numerous people who opposed him his policies contrary much controversy behind this film hey ram does not trivialize gandhi nor does it blame him fact main character saket ram kamal haasan powerhouse performance learns appreciate gandhi by end journey point film is not that he does learn appreciate gandhi despite being chosen as his potential assassin but rather way he makes his journey that point this journey is so masterfully artistically directed by kamal haasan that one cannot help but sit back be stunned at what this genius is capable what haasan has created with hey ram is not only epic film but perhaps biggest casting coup decade with actors like nasseeruddin shah who makes better gandhi than ben kingsley om puri shahrukh khan rani mukherji girish karnad many other prominent names indian film industry cinematography is simply brilliant renu salujas editing is work art ilayarajas music is highly emotive score that effectively blends western orchestral arrangements with traditional carnatic sounds hey ram is one greatest indian films ever made it takes lot intelligence passion make appreciate film like hey ram,0.6086231884057972,0.25224637681159423,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.39, 'Sad': 0.2, 'Fear': 0.24}"
9.0,An Indian masterpiece.,Kamal Hasan is a truly great actor and with this film he has cemented his status a talented director. This is an epic film which is extremely thoughtful. It shows how a rationale man can turn into a prujudiced extremist. It shows that hatred for past tragic events will not solve feelings of loss of a loved one. It also shows that compassion and sacrifice are needed in politics rather that populist rabble rousing. This film has been criticized in many quarters for many reasons. People have said that the film focuses on Kamal Hasan too much and that it a self indugent vanity fest. This is unfair considering Mr Kamalji is one of the best actors in India. Also the film is about this person and the imapct on his thinking to tragic surrounding events. The film would not have worked without this intense focus. The film's storyline has been labeled inconsistent. It has been cited that the change to a anti-Islamic Hindu fundamenatlist in Kamal Hasan's character was not explained. If a muslim (who was a loyal servant and friend) had murdered your wife I think most people attitudes to your fellow man would change. The film has a consistent plot. The only critisicm is that perhaps the film was too long but overall a great film which is indeed an experiment with truth.,indian masterpiece,kamal hasan is truly great actor with this film he has cemented his status talented director this is epic film which is extremely thoughtful it shows how rationale man can turn into prujudiced extremist it shows that hatred past tragic events will not solve feelings loss loved one it also shows that compassion sacrifice are needed politics rather that populist rabble rousing this film has been criticized many quarters many reasons people have said that film focuses kamal hasan too much that it self indugent vanity fest this is unfair considering mr kamalji is one best actors india also film is about this person imapct his thinking tragic surrounding events film would not have worked without this intense focus films storyline has been labeled inconsistent it has been cited that change anti islamic hindu fundamenatlist kamal hasans character was not explained if muslim who was loyal servant friend had murdered your wife i think most people attitudes your fellow man would change film has consistent plot only critisicm is that perhaps film was too long but overall great film which is indeed experiment with truth,0.5873015873015873,0.22301587301587306,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.33}"
10.0,a reply to all religion oriented violence,"its a real good one.!! a reality show telling viewer what makes a human worse than a cruel and mad animal..and then again shows that still humanity is live like always.. and why our world is best place to live...certainly because our goodwill.. A reality show,fully mature and a search for the truth.its a great story telling with even greater acting by all its characters. it may some time make you think that path of gandhiji was not right,but eventually just like the hero knees down you would think that whatever Mr. Gandhi had in his hand he did his best. thanks to Mr. kamal haasan for his i think best Hindi movie and one of my best one too.. and finally i got it worthy enough to give it 9.9 out of 10.",reply all religion oriented violence,its real good one reality show telling viewer what makes human worse than cruel mad animal then again shows that still humanity is live like always why our world is best place live certainly because our goodwill reality show fully mature search truth its great story telling with even greater acting by all its characters it may some time make you think that path gandhiji was not right but eventually just like hero knees down you would think that whatever mr gandhi had his hand he did his best thanks mr kamal haasan his i think best hindi movie one my best one too finally i got it worthy enough give it 9 9 out 10,0.5111832611832612,0.23167880099698282,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.27, 'Sad': 0.31, 'Fear': 0.23}"
