Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,All heart,"Pranav Mohanlal is arriving as the young romantic heartthrob into malayalam cinema.It is a Vineeth Srinivasan movie - young, campus based, music based. Quite in line with ""Thattathin marayathe pennu"". To draw a comparison, Pranav has a whole lot more flair to offer than Nivin.Music has been well done, and is a continuous presence. Blending music into the situations has been pretty seamless.Cinematography has been good. The interval shot with Pranav at a train door against red light is a keeper.There is a lot of college nostalgia through out the movie. Some of the moments in the movie feel very genuine.The movie did not end with a bang for me. Nothing substantial really came out. However, there is a lot of heart and youthful enthusiasm through the movie. Darshana and Pranav have performed very well, and Pranav is slowly firming his foot as the romantic star.",all heart,pranav mohanlal is arriving as young romantic heartthrob into malayalam cinema it is vineeth srinivasan movie young campus based music based quite line with thattathin marayathe pennu draw comparison pranav has whole lot more flair offer than nivin music has been well done is continuous presence blending music into situations has been pretty seamless cinematography has been good interval shot with pranav at train door against red light is keeper there is lot college nostalgia through out movie some moments movie feel very genuine movie did not end with bang me nothing substantial really came out however there is lot heart youthful enthusiasm through movie darshana pranav have performed very well pranav is slowly firming his foot as romantic star,0.4433333333333334,0.19800000000000004,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.12, 'Sad': 0.29, 'Fear': 0.33}"
6,Overrated for sure .!,"Movie isnt bad in any sense , well written, well made and music is well executed. But it's overrated to be honest movie is just an average movie in which i found some of things too cliché. Acting isnt something which can be deemed as the best. Pranav is considerably better from his earlier works. Its a good one time watch but isn't upto Vineeth's other movies .",overrated sure,movie isnt bad any sense well written well made music is well executed but its overrated be honest movie is just average movie which i found some things too clich acting isnt something which can be deemed as best pranav is considerably better his earlier works its good one time watch but isnt upto vineeths other movies,0.5130555555555555,0.2325,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.3}"
10,A boat to your memories.,"""Hridayam"" is a boat of emotions which sail on the ocean of our ""hridayam""(heart) where our old memories are locked up. This movies opens the locked gate of our nostalgic memories and sometimes make us go in full tears.Movie says the story of a teenager names arun neelakantan who is going to a new college and from there to his most memorable moments. The important reason why this movie is so special is just because of the fact that, we can relate this movie to our own life. There are so much about this movie which keeps coming to my mind.The question when coming to a movie review is can you watch this movie to be enjoyed?Well, yes of course, you can watch this movie and you are actually taking a journey through the life of arun neelakantan.Pranav mohanlal has done a fantastic job and director vineeth sreenivasan knows how to make a movie. Really loved this one.",boat your memories,hridayam is boat emotions which sail ocean our hridayam heart where our old memories are locked up this movies opens locked gate our nostalgic memories sometimes make us go full tears movie says story teenager names arun neelakantan who is going new college there his most memorable moments important reason why this movie is so special is just because fact that we can relate this movie our own life there are so much about this movie which keeps coming my mind question when coming movie review is can you watch this movie be enjoyed well yes course you can watch this movie you are actually taking journey through life arun neelakantan pranav mohanlal has done fantastic job director vineeth sreenivasan knows how make movie really loved this one,0.6411410018552877,0.30310760667903525,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.26, 'Fear': 0.26}"
7,Movie for youngsters,"All movie running around love, college life, relationship, careers.Best part: shooting location, good thoughts about how parents can stop the alcohol behaviour in adolescents and nicely portrayed charactersIt's resembling the telugu movie "" happy days"" eventhough not exactly same but the comedy is very good.Good for adolescents.",movie youngsters,all movie running around love college life relationship careers best part shooting location good thoughts about how parents can stop alcohol behaviour adolescents nicely portrayed charactersits resembling telugu movie happy days eventhough not exactly same but comedy is very good good adolescents,0.6256250000000001,0.6512500000000001,Positive,"{'Happy': 0.55, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.0, 'Fear': 0.36}"
10,A slice of life musical masterpiece,A slice of life romantic musical that portrays an individual's life journey from the age of 18 to 35. Vineeth Sreenivasan proved himself again as an excellent storyteller. The music and background score is one of the main highlights of the whole movie. Definitely a theatre must watch.,slice life musical masterpiece,slice life romantic musical that portrays individuals life journey age 18 35 vineeth sreenivasan proved himself again as excellent storyteller music background score is one main highlights whole movie definitely theatre must watch,0.3904761904761905,0.19523809523809524,Positive,"{'Happy': 0.14, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.0, 'Fear': 0.57}"
8,Celebration of Love!,"You get 100% what you expect from somebody like Vineeth Sreenivasan! Positivity throughout, clever mix of music and feel good moments which will drive you through your past! It's cliche and unrealistic making, but will definitely make you love your life a bit more than you used to!Good theatrical experience! And the score and songs are worth mentioning twice!",celebration love,you get 100 what you expect somebody like vineeth sreenivasan positivity throughout clever mix music feel good moments which will drive you through your past its cliche unrealistic making but will definitely make you love your life bit more than you used good theatrical experience score songs are worth mentioning twice,0.5075757575757575,0.23787878787878783,Positive,"{'Happy': 0.36, 'Angry': 0.07, 'Surprise': 0.0, 'Sad': 0.21, 'Fear': 0.36}"
6,One time watch,"IMDB needs to fix their rating system. The movie is good but not a 9/10 material. At the best, 7/10. I guess there is a big lobby of unemployed Indian youth voting to bump up the ratings. Good music.",one time watch,imdb needs fix their rating system movie is good but not 9 10 material at best 7 10 i guess there is big lobby unemployed indian youth voting bump up ratings good music,0.4000000000000001,0.6,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.0, 'Fear': 0.14}"
9,Excellent,The powerful comeback of pranav.movie are too good great actors realistic story.this movie is an emotional feel good drama and direction and DOP is great. Songs are life of this movie worthy watchable.,excellent,powerful comeback pranav movie are too good great actors realistic story this movie is emotional feel good drama direction dop is great songs are life this movie worthy watchable,0.7425925925925926,0.5333333333333332,Positive,"{'Happy': 0.71, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.14}"
5,Nostalgia fest that only partially works! [+53%],"Imagine opening a school-going kid's bag. You'll find an assortment of things in there. Some of it is colorful - like crayons and sketch pens. Some of it is informative - like fat textbooks. Some of it can sting if carelessly used - like a compass. Some of it tastes brilliant - like a lunch-box. The whole package is what we'd all look back at with relatable nostalgia. That's Hridayam summed up! But since it's a Vineeth Sreenivasan film, it comes with the customary plasticity in its treatment. Hesham Abdul Wahab's musical score punctuates almost the entire 3 hours, making the film a lot more bearable. Performance-wise, Darshana Rajendran towers over the rest, while the others are okayish. Kalyani Priyadarshan's on-screen cuteness is put to good effect, while Pranav Mohanlal shows improvement.The supporting characters usually play memorable roles in these generic coming-of-age films. I didn't come across any standout supporting performances, but that's again a problem with the superficial writing. If your cup of tea is diving into perfunctory nostalgia, then Hridayam may work a lot better for you than it did for me. The way Vineeth Sreenivasan romanticizes the whole world around him and ensures that the audience feels it too (not in a subtle way) makes Hridayam an ordinary effort.",nostalgia fest that only partially works,imagine opening school going kids bag youll find assortment things there some it is colorful like crayons sketch pens some it is informative like fat textbooks some it can sting if carelessly used like compass some it tastes brilliant like lunch box whole package is what wed all look back at with relatable nostalgia thats hridayam summed up but since its vineeth sreenivasan film it comes with customary plasticity its treatment hesham abdul wahabs musical score punctuates almost entire 3 hours making film lot more bearable performance wise darshana rajendran towers over rest while others are okayish kalyani priyadarshans screen cuteness is put good effect while pranav mohanlal shows improvement supporting characters usually play memorable roles these generic coming age films i didnt come across any standout supporting performances but thats again problem with superficial writing if your cup tea is diving into perfunctory nostalgia then hridayam may work lot better you than it did me way vineeth sreenivasan romanticizes whole world around him ensures that audience feels it too not subtle way makes hridayam ordinary effort,0.4892857142857143,0.19365079365079368,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.16, 'Fear': 0.47}"
1,Sequel to Bachelor,I felt like its a sequel to Bachelor movie. Which was the biggest time waste movie.Not sure why these people are making a good song and f in up the movie.God this movie should have stopped at 110 minutes. Why in the world this movie is 3 hrs?? Just to torture people.Not sure if the producer has black money to spend on people who like to practice before making a Ytube web series.Nothing new. Same old story with routine acting.If you don't have any other thing to do in life or if you have 3 hrs at hand. Watch this movie.,sequel bachelor,i felt like its sequel bachelor movie which was biggest time waste movie not sure why these people are making good song f up movie god this movie should have stopped at 110 minutes why world this movie is 3 hrs just torture people not sure if producer has black money spend people who like practice before making ytube web series nothing new same old story with routine acting if you dont have any other thing do life or if you have 3 hrs at hand watch this movie,0.39656565656565657,-0.0055303030303030356,Negative,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.42}"
