Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,When Harrison Ford was crapping gold,"This is the first movie in the Indiana Jones series. It is also the best film in the series. Indy is hired by the US government to track down the sacred arc of the covenant. While he is on his quest the Nazis are also searching for the arc. This is a wonderful adventure story that covers many countries. Harrison Ford was born to play this role, and he does it with flair. After having seen this film quite a few times, you also get to pick out the Easter eggs that are scattered around. One hint is be on the lookout for two well known Star Wars droids. I do not think that there was a better combination in the 80's than Lucas and Spielberg. This in everything you would want from an adventure movie and more.",when harrison ford was crapping gold,this is first movie indiana jones series it is also best film series indy is hired by us government track down sacred arc covenant while he is his quest nazis are also searching arc this is wonderful adventure story that covers many countries harrison ford was born play this role he does it with flair after having seen this film quite few times you also get pick out easter eggs that are scattered around one hint is be lookout two well known star wars droids i do not think that there was better combination 80s than lucas spielberg this everything you would want adventure movie more,0.4402777777777778,0.4243055555555555,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.17, 'Fear': 0.56}"
10.0,Great,"This movie has it all, action, romance, comedy, giant boulders and occult seeking Nazis. Story conceived by George Lucas and screenplay written by the same guy that wrote Empire Strikes Back and Return of the Jedi. If that doesn't sell it, then look no further than Steven Spielberg because he directed it. Awesome movie all around and definitely a genre classic. An absolute must see for any movie fan that likes fun.",great,this movie has it all action romance comedy giant boulders occult seeking nazis story conceived by george lucas screenplay written by same guy that wrote empire strikes back return jedi if that doesnt sell it then look no further than steven spielberg because he directed it awesome movie all around definitely genre classic absolute must see any movie fan that likes fun,0.47651515151515156,0.2333333333333333,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.0, 'Fear': 0.56}"
10.0,There will never be another film like Raiders,"It is a hot sunny day in South America. We see a bunch of men, shot mostly from the back. They are walking deep into the forest. We see a tall dark figure. He is wearing an old leather jacket, he has the 5 o'clock shadow looking like it's closer to midnight, he wears a fedora and he carries a bull-whip ( yes a bull-whip ). Finally, two of the men enter a cave and we hear about some guy named Forstall, who was good, very, very good, but he never came out of the place alive. But they enter anyway. They are confronted with tarantulas, spears that are triggered by blocking out the light, a pit that they must swing over and then more tiny poisonous darts that come out of the wall. All this to protect an ancient gold statue. They recover it. One guy dies and the other barely makes it out of the room before it all falls on him. Then he has to get out of the cave and a giant boulder chases him. Finally he makes it out of the cave only to be surrounded by Hovitos and his arch enemy named Belloq. He takes the gold statue that this guy worked so hard for and then the guy runs and makes it to the plane where he is in the passenger seat and there is big snake in the plane. He hates snakes. This mans name? Indiana Jones!Whhhoooooo!! I'm left breathless just describing that opening. But is there a better beginning of a movie ever? Absolutely not. Does the beginning have anything to do with the rest of the film. No. It is all decoration for what the movie is going to put you through in the 90 minutes to come.Indiana Jones is the best character to ever hit the screens. And he better be. He is created by George, Steven and played by Harrison Ford. That may seem normal now that we have lived with him for 20 years, but can you imagine what that must have been like back in 1981. That would be like Tom Hanks or Will Smith joining forces with James Cameron and Steven Spielberg for a completely original idea in today's terms.Raiders took a simple idea and maybe an idea that the guys had from watching Saturday afternoon movies and made it larger than life. This film never stops for you to take your breath. It is filled with rich characters from Indy himself to Marion to Belloq and even to Marcus Brody. Each has their own personality that shines through in certain scenes. Some of my faves were when we first meet Marion having a shot contest in her bar in Nepal. Then there is her scene with Belloq and they get drunk together and she tries to leave using only a butter knife. And of course who can forget Indy's battle with the swordsman and his unrivaled determination to get the ark. "" Indy, there is not time. If you still want the truck it is being loaded on a truck for Cairo. "" ( a battered and bloody Indy ) "" Truck? What truck?"" ( and then later ) ""Get some transport back to England, boat, plane, anything. Meet me at Omar's. I'm going after that truck. ""Sola ) "" How? "" ( Indy ) I don't know I'm making this up as I go.""Raiders has more energy than three action films. And that is what makes it the classic that it is. If you like movies, then Raiders is a movie that will not let you down. It is pure entertainment and that is indisputable. It finds the youngster in all of us and bombards us with this silly, whip-cracking, average, incredibly determined archaeologist and only asks us to have fun. And that we do. And to me, the only reason that Chariots of Fire won best picture that year is because it is a serious film. Raiders was heads and shoulders above Chariots and it should have cleaned up at the Oscars in 81. But more politics with the academy.Raiders of the Lost Ark is the epitome of entertainment. What more can be said about it. If you haven't seen this movie in a while or if you haven't seen it at all ( gasp ) then do yourself a favour and rent it tonight. It is awesome.TRUST ME",there will never be another film like raiders,it is hot sunny day south america we see bunch men shot mostly back they are walking deep into forest we see tall dark figure he is wearing old leather jacket he has 5 oclock shadow looking like its closer midnight he wears fedora he carries bull whip yes bull whip finally two men enter cave we hear about some guy named forstall who was good very very good but he never came out place alive but they enter anyway they are confronted with tarantulas spears that are triggered by blocking out light pit that they must swing over then more tiny poisonous darts that come out wall all this protect ancient gold statue they recover it one guy dies other barely makes it out room before it all falls him then he has get out cave giant boulder chases him finally he makes it out cave only be surrounded by hovitos his arch enemy named belloq he takes gold statue that this guy worked so hard then guy runs makes it plane where he is passenger seat there is big snake plane he hates snakes this mans name indiana jones whhhoooooo im left breathless just describing that opening but is there better beginning movie ever absolutely not does beginning have anything do with rest film no it is all decoration what movie is going put you through 90 minutes come indiana jones is best character ever hit screens he better be he is created by george steven played by harrison ford that may seem normal now that we have lived with him 20 years but can you imagine what that must have been like back 1981 that would be like tom hanks or will smith joining forces with james cameron steven spielberg completely original idea todays terms raiders took simple idea maybe idea that guys had watching saturday afternoon movies made it larger than life this film never stops you take your breath it is filled with rich characters indy himself marion belloq even marcus brody each has their own personality that shines through certain scenes some my faves were when we first meet marion having shot contest her bar nepal then there is her scene with belloq they get drunk together she tries leave using only butter knife course who can forget indys battle with swordsman his unrivaled determination get ark indy there is not time if you still want truck it is being loaded truck cairo battered bloody indy truck what truck then later get some transport back england boat plane anything meet me at omars im going after that truck sola how indy i dont know im making this up as i go raiders has more energy than three action films that is what makes it classic that it is if you like movies then raiders is movie that will not let you down it is pure entertainment that is indisputable it finds youngster all us bombards us with this silly whip cracking average incredibly determined archaeologist only asks us have fun that we do me only reason that chariots fire won best picture that year is because it is serious film raiders was heads shoulders above chariots it should have cleaned up at oscars 81 but more politics with academy raiders lost ark is epitome entertainment what more can be said about it if you havent seen this movie while or if you havent seen it at all gasp then do yourself favour rent it tonight it is awesome trust me,0.5395753272069062,0.16402951824004455,Positive,"{'Happy': 0.08, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.41}"
10.0,Excellent movie and brilliantly crafted entertainment with a superb casting,"I remember seeing this movie when I was young, and it may well have been in the cinema with my Father, I can't quite remember (if he does, then please post the answer), anyway I do remember seeing it and being thoroughly entertained and that feeling of excitement and total fun staying with me to this very day as that is the feeling that the movie conjures up whenever I think of it.I think a part of that is down to the fact it's a complete retake on the old serial movies combined with obvious comic book style, and that is just perfect for kids and appeals to them no end, or rather it did then! So it was with excitement that I opened my presents on my birthday and found the boxset for the Indiana Jones Trilogy, and with even more excitement when I finally watched the first in the trilogy, Raiders of the lost Ark.It was just as I remembered, fun, excitement, wise cracks, a tiny splattering of romance but with a manliness that kids would allow, and lots of stunts and action. It's a superb movie and captures that style of serials, adventure stories and comic books perfectly, how I know that for sure is only through repeats since I wasn't alive during those times.The set pieces are fantastic, and although some of the wilder end sequences are slightly dated now, it hasn't lost the excitement factor. It's a perfectly crafted movie as well, moving from location to location without any distraction or superfluous scenes, it just feels like it's all there for a reason and that it belongs there.Harrison Ford is excellent in the role, and I'm inclined to think he was more Indy than he was Solo, but that's a personal opinion. He has many more facial movements and voice inclinations in this early movie than he does nowadays, now he belongs to the moody, quiet school of acting, then he was dynamic, adventurous, strong and as wisecracking as the best of them.There are some excellent movie making moments in this with George Lucas and Steven Spielberg showing talent galore just oozing out of every pore (where did all that go for Star Wars I to III Mr Lucas?), and they end up making an excellently entertaining movie.Some could argue that there could be a bit more depth or seriousness to the story, but come on, it's a ripping adventure yarn, you don't need depth. Saving the Ark from the Nazi's, surely that's enough! An excellent movie and great fun too, without a doubt one of my favourite of all time.",excellent movie brilliantly crafted entertainment with superb casting,i remember seeing this movie when i was young it may well have been cinema with my father i cant quite remember if he does then please post answer anyway i do remember seeing it being thoroughly entertained that feeling excitement total fun staying with me this very day as that is feeling that movie conjures up whenever i think it i think part that is down fact its complete retake old serial movies combined with obvious comic book style that is just perfect kids appeals them no end or rather it did then so it was with excitement that i opened my presents my birthday found boxset indiana jones trilogy with even more excitement when i finally watched first trilogy raiders lost ark it was just as i remembered fun excitement wise cracks tiny splattering romance but with manliness that kids would allow lots stunts action its superb movie captures that style serials adventure stories comic books perfectly how i know that sure is only through repeats since i wasnt alive during those times set pieces are fantastic although some wilder end sequences are slightly dated now it hasnt lost excitement factor its perfectly crafted movie as well moving location location without any distraction or superfluous scenes it just feels like its all there reason that it belongs there harrison ford is excellent role im inclined think he was more indy than he was solo but thats personal opinion he has many more facial movements voice inclinations this early movie than he does nowadays now he belongs moody quiet school acting then he was dynamic adventurous strong as wisecracking as best them there are some excellent movie making moments this with george lucas steven spielberg showing talent galore just oozing out every pore where did all that go star wars i iii mr lucas they end up making excellently entertaining movie some could argue that there could be bit more depth or seriousness story but come its ripping adventure yarn you dont need depth saving ark nazis surely thats enough excellent movie great fun too without doubt one my favourite all time,0.5725490196078432,0.38747276688453164,Positive,"{'Happy': 0.34, 'Angry': 0.02, 'Surprise': 0.12, 'Sad': 0.19, 'Fear': 0.34}"
9.0,Will stand the test of time forever.,"I've seen Raiders of the Lost Ark numerous times on TV, DVD and big screen. My local theatre had a special showing last night and the 400-seat screen completely sold out (as Indy films always do). Luckily for me and my pal, we got the last 2 tickets available! I can't think of many films that still sell-out 25 years after their original release. There's just something about Indy movies(iconic hero, affection, epic spectacle) that brings you back again and again.The only trouble with that is there are zillions of reviews, critiques and dissections of this movie already out there, so what I have to offer will probably not be anything new. I will however not go the way of the cliché and mention 1930's serials, Tom Selleck or the sword/gun fight.I will, however, ask you one question. Did you know that some of the more iconic, memorable sequences from Raiders owe quite a lot to Duck Tales? What? Surely it's the other way around? Well, no. The globe-trotting adventures of Scrooge McDuck, Huey, Duey, Luey and Donald in Carl Bank's Disney comic-books from the 50s came first. If you can find some of these then you'll surely notice the similarities.The hunt for the Ark of the Covenant is more than just an excuse for action. So many movies these days seem to come up with action first and string them together with some lame plot. Movies like this are quickly forgotten and one of the reasons Raiders holds up so well is because it works the Covenant story so well into the plot.The action comes in a succession of set-pieces. I do enjoy films that have to increasingly better themselves in every scene. Raiders introduced this as a standard that the sequels had to live up to. My fave scene has to be the massive truck chase through Egypt, which is made up of many of its own smaller sequences. One little idiosyncrasy I like about Indy is that even though he's a College Professor and Doctor, he has no beef killing people. So very far from the ubiquitous PC heroes of todays movies.You might think that it's rather geeky to hype up the editing and sound design, but they do stand out from recent action movies. The gunfire and punching seem to have a sort of 'Indy' signature sound to them, that I've not heard in any other films. And obviously, John William's classic score is one of those themes that just everybody in the world knows (though I prefer his score to Temple of Doom), truly one of the best movie themes ever. Better than Star Wars! I'm not sure if Spielberg planned on Raiders starting the Indy franchise but there's already enough in here to establish a whole universe of potential stories and character arcs. There's talk of a fourth movie at the moment, but I personally don't think it will happen and I don't want it to. It's perfect existing as a trilogy and a sequel that comes traipsing in 18 years after the last is just not going to feel right. Even if you are hungry for more Indy then there are loads of books and video games out there and then there's the Young Indiana Jones TV show (where are the DVDs?), which are official Indy canon and even starred Ford once (they bounced around in time).I am giving Raiders 9/10 because I just have a soft spot for Temple of Doom (which is obviously a 10/10 movie). Even 25 years after it first came out it still has the power to captivate the audience and provoke sheer excitement every time. And in 25 years it will still be far superior to almost everything.Now there's something you cannot say about The Fast and the Furious! Sigh, where did all the special movies go?",will stand test time forever,ive seen raiders lost ark numerous times tv dvd big screen my local theatre had special showing last night 400 seat screen completely sold out as indy films always do luckily me my pal we got last 2 tickets available i cant think many films that still sell out 25 years after their original release theres just something about indy movies iconic hero affection epic spectacle that brings you back again again only trouble with that is there are zillions reviews critiques dissections this movie already out there so what i have offer will probably not be anything new i will however not go way clich mention 1930s serials tom selleck or sword gun fight i will however ask you one question did you know that some more iconic memorable sequences raiders owe quite lot duck tales what surely its other way around well no globe trotting adventures scrooge mcduck huey duey luey donald carl banks disney comic books 50s came first if you can find some these then youll surely notice similarities hunt ark covenant is more than just excuse action so many movies these days seem come up with action first string them together with some lame plot movies like this are quickly forgotten one reasons raiders holds up so well is because it works covenant story so well into plot action comes succession set pieces i do enjoy films that have increasingly better themselves every scene raiders introduced this as standard that sequels had live up my fave scene has be massive truck chase through egypt which is made up many its own smaller sequences one little idiosyncrasy i like about indy is that even though hes college professor doctor he has no beef killing people so very far ubiquitous pc heroes todays movies you might think that its rather geeky hype up editing sound design but they do stand out recent action movies gunfire punching seem have sort indy signature sound them that ive not heard any other films obviously john williams classic score is one those themes that just everybody world knows though i prefer his score temple doom truly one best movie themes ever better than star wars im not sure if spielberg planned raiders starting indy franchise but theres already enough here establish whole universe potential stories character arcs theres talk fourth movie at moment but i personally dont think it will happen i dont want it its perfect existing as trilogy sequel that comes traipsing 18 years after last is just not going feel right even if you are hungry more indy then there are loads books video games out there then theres young indiana jones tv show where are dvds which are official indy canon even starred ford once they bounced around time i am giving raiders 9 10 because i just have soft spot temple doom which is obviously 10 10 movie even 25 years after it first came out it still has power captivate audience provoke sheer excitement every time 25 years it will still be far superior almost everything now theres something you cannot say about fast furious sigh where did all special movies go,0.47054498013402124,0.20374740556247403,Positive,"{'Happy': 0.07, 'Angry': 0.08, 'Surprise': 0.27, 'Sad': 0.24, 'Fear': 0.34}"
9.0,"Harrison Ford, in the role that suited him best...","Ford stars as Indiana Jones, an archaeologist adventurer, who spends his time traveling all over the world through jungles, deserts, oceans, and caverns in search for hidden treasureslike the priceless long-lost Ark of the Covenant (the Hebrew sacred artifact that held the supposed Ten Commandments). Unfortunately, a group of treasure-hungry Nazis wants it too, having heard that any army who wins it would receive supernatural powers With his trademark hat, whip, leather jacket, and pistol for backup, our stubborn, intelligent, determined and loyal hero escapes innumerable dangers, evades multiple obstacles including fearsome thugs in a busy Cairo bazaar, and hangs underneath a fast-moving truck in an exciting chase through a road These are only some of the film's incredible set pieces Steven Spielberg likable hero is not invincible, though, facing impossible odds, capable of getting beaten, struck violently, heart broken, and falling asleep after the first kiss The villainsespecially Indy's suave and cultured French rival wearing a Panama hat and white suits, Rene Belloq (Paul Freeman)are not really that much different from him, except in their motivation The shrill heroine, Marion (Karen Allen)is not the girl always in discomfort either, but a resourceful, dynamic and formidable woman who doesn't require the hero at all ""Raiders of the Lost Arc"" is a perfect package of unforgettable scenes, countless action, humor, astonishing technical effects, thrilling sequences, and terrific performances It was followed by three fun sequels",harrison ford role that suited him best,ford stars as indiana jones archaeologist adventurer who spends his time traveling all over world through jungles deserts oceans caverns search hidden treasures like priceless long lost ark covenant hebrew sacred artifact that held supposed ten commandments unfortunately group treasure hungry nazis wants it too having heard that any army who wins it would receive supernatural powers with his trademark hat whip leather jacket pistol backup our stubborn intelligent determined loyal hero escapes innumerable dangers evades multiple obstacles including fearsome thugs busy cairo bazaar hangs underneath fast moving truck exciting chase through road these are only some films incredible set pieces steven spielberg likable hero is not invincible though facing impossible odds capable getting beaten struck violently heart broken falling asleep after first kiss villains especially indys suave cultured french rival wearing panama hat white suits rene belloq paul freeman are not really that much different him except their motivation shrill heroine marion karen allen is not girl always discomfort either but resourceful dynamic formidable woman who doesnt require hero at all raiders lost arc is perfect package unforgettable scenes countless action humor astonishing technical effects thrilling sequences terrific performances it was followed by three fun sequels,0.5422764227642277,0.16260162601626016,Positive,"{'Happy': 0.05, 'Angry': 0.1, 'Surprise': 0.33, 'Sad': 0.19, 'Fear': 0.33}"
10.0,A blockbuster how it was meant to be,"Nowadays we keep forgetting how beautiful blockbusters can be. Too much CGI makes everything possible and therefore very often also arbitrary. In Raiders you actually seem to feel the physical pain some of the actors/stuntmen had to go through to provide 2 hours of pure entertainment.Of course the story isn't waterproof, the Nazi weren't that present in Egypt in 1936 and how did Indy survive that ride on the submarine again? But lots of good and variable action scenes are accompanied by a story that develops fast and excitingly and is always close to being implausible but luckily never is. Spielberg, Lucas and most of all Harrison Ford created a hero that is nowadays iconic. With their attempt to make an homage to adventure comics of the 1930's they created their own legend. It's funny, exiting, thrilling and romantic. What more can you ask for?",blockbuster how it was meant be,nowadays we keep forgetting how beautiful blockbusters can be too much cgi makes everything possible therefore very often also arbitrary raiders you actually seem feel physical pain some actors stuntmen had go through provide 2 hours pure entertainment course story isnt waterproof nazi werent that present egypt 1936 how did indy survive that ride submarine again but lots good variable action scenes are accompanied by story that develops fast excitingly is always close being implausible but luckily never is spielberg lucas most all harrison ford created hero that is nowadays iconic with their attempt make homage adventure comics 1930s they created their own legend its funny exiting thrilling romantic what more can you ask,0.5607709750566893,0.2427437641723356,Positive,"{'Happy': 0.26, 'Angry': 0.05, 'Surprise': 0.16, 'Sad': 0.32, 'Fear': 0.21}"
10.0,My favorite movie of all time!,"There are few movies I can watch over and over again, but this is one of them. This movie has it all: action, romance, comedy, and suspense. Harrison Ford is at his best as Dr. Jones, one of the most exciting archeologist ever. From the start to the end you are hooked to this movie. I love the opening when he as to dodge traps as he tries to get this treasure, I love it when he is running through the streets trying to save the girl, I just love every bit of it. Spielburg said he wanted a b-type movie like he remembered from his youth, but this far surpasses any b movie and any a movie as far as I am concerned.",my favorite movie all time,there are few movies i can watch over over again but this is one them this movie has it all action romance comedy suspense harrison ford is at his best as dr jones one most exciting archeologist ever start end you are hooked this movie i love opening when he as dodge traps as he tries get this treasure i love it when he is running through streets trying save girl i just love every bit it spielburg said he wanted b type movie like he remembered his youth but this far surpasses any b movie any movie as far as i am concerned,0.5833333333333333,0.31666666666666665,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.28}"
10.0,"Ba-De-Da, Ba-De-Da-De-Daaaa, Ba-De-Da, Ba-De-Da-De-Da","If you've seen this movie and heard the score, then my one line summary won't read like a mating call for sheep, but rather the absolutely exhilarating ""Raider's March"" which stirs my blood and makes me think of an unforgettable hero, Indiana Jones. If not, see it now.I love going to movies. I always have. I remember when this film came out. My friends had seen it before I had. They boasted it was great, the best film ever. Some even said it was better than Star Wars (utter blasphemy to a devout 10 year old Jedi-wannabe). I thought no way is this film better than Star Wars, but I was still curious and began the begging of my father to take me.When I was young, almost all of the films that I had seen, I saw with my Dad. He would take me and my mother would stay at home with my siblings. We saw a number of films that failed to generate a reaction with him as they did with me, but this one was different. This one, my Dad might've enjoyed just as much.Who can forget the scene where Indy faces bandits in the marketplace, fighting swords with his wits and fists, only to be finally challenged by a dark robed adversary brandishing a heavy, dismembering type of sabre as he swings the impressive blade about his head menacingly?Indiana looks his opponent up and down briefly and draws his pistol casually and shoots the villain dead as if his patience had been tested a moment longer than he could tolerate.My father, and the entire audience for that matter, laughed and cheered at this incredible scene. And it was the first time I'd actually been aware of his enjoyment of the film. Usually I'm so transfixed that I wouldn't notice if my legs were on fire. He enjoyed it so much, that he still tends to bring up that scene, even today.My father and I shared a great moment in movie history, and I will never forget it for as long as I live. I will always be grateful for the time we spent together and the films that I otherwise would have been unable to see without him taking me.Just a side note about the scene I've described above. It wasn't meant to go that way at all. As Steven Spielberg explained in a television interview, the scene was meant to have an elaborate fight sequence, but Harrison Ford was suffering from diarrhea and couldn't go through with the elaborate set-up required. Someone said, ""the only way we can finish this scene today is if he shoots him"". Steven said, ""Wait a minute, we might have something there.""As for where it ranks with Star Wars, it's hard for me to say, so I won't. Star Wars was the first film I ever saw, and there's a story in that as well. Thanks again, Dad.",ba de da ba de da de daaaa ba de da ba de da de da,if youve seen this movie heard score then my one line summary wont read like mating call sheep but rather absolutely exhilarating raiders march which stirs my blood makes me think unforgettable hero indiana jones if not see it now i love going movies i always have i remember when this film came out my friends had seen it before i had they boasted it was great best film ever some even said it was better than star wars utter blasphemy devout 10 year old jedi wannabe i thought no way is this film better than star wars but i was still curious began begging my father take me when i was young almost all films that i had seen i saw with my dad he would take me my mother would stay at home with my siblings we saw number films that failed generate reaction with him as they did with me but this one was different this one my dad mightve enjoyed just as much who can forget scene where indy faces bandits marketplace fighting swords with his wits fists only be finally challenged by dark robed adversary brandishing heavy dismembering type sabre as he swings impressive blade about his head menacingly indiana looks his opponent up down briefly draws his pistol casually shoots villain dead as if his patience had been tested moment longer than he could tolerate my father entire audience that matter laughed cheered at this incredible scene it was first time id actually been aware his enjoyment film usually im so transfixed that i wouldnt notice if my legs were fire he enjoyed it so much that he still tends bring up that scene even today my father i shared great moment movie history i will never forget it as long as i live i will always be grateful time we spent together films that i otherwise would have been unable see without him taking me just side note about scene ive described above it wasnt meant go that way at all as steven spielberg explained television interview scene was meant have elaborate fight sequence but harrison ford was suffering diarrhea couldnt go through with elaborate set up required someone said only way we can finish this scene today is if he shoots him steven said wait minute we might have something there as where it ranks with star wars its hard me say so i wont star wars was first film i ever saw theres story that as well thanks again dad,0.5591787439613526,0.1715030742204655,Positive,"{'Happy': 0.13, 'Angry': 0.13, 'Surprise': 0.25, 'Sad': 0.18, 'Fear': 0.32}"
8.0,Magnificent action-packed adventure film that spawned two sequels and numerous copies,"It's the first part of adventures trilogy , going on the way of the 30s classic films and the Comics-Books language. The picture blends comedy,adventures action,rip roaring,cliff hunger,tongue-in-cheek and is extremely entertaining and fun . The archaeologist Indiana Jones with his bull whip-wielding and hat will confront dastard Nazis (Ronald Lacey) in Peru, Nepal and Egypt to the obtaining the Moiseh ark with the Covenant's tables . He's only helped by two feisty adventurers (Karen Allen and John Rhys Davies) . Indy fights nasty Arabs , decodes hieroglyphics and faces off hundreds of snakes . The movie attempts to go on the path from great classics during the 30-40s and the comic-books narrative along with the special characteristics of the terror cinema of 80 decade.Dr.Indiana executes feats of derring-do in various exotics countries. The action highlights include the opening sequence in a Peruvian jungle temple and the creepy and spooky final, but some scenes aren't for squeamish kids . It's realized in James Bond style and high-adventure and it is driven with enormous , formidable fair-play . This breathtaking movie has a number of scenes that will have you on the edge of your seat, but the action never lets up . The enjoyable screenplay was wonderfully written by George Lucas (film's producer) , Philip Kauffman and Lawrence Kasdan . In the picture there're several exotic locations , cliff-hangers, tongue-in-cheek , daring escapes , rip-roaring , derring-do , it is a very bemusing cinematic roller-coaster ride . It's a throw-back to old-fashioned Technicolor amusement with hints of serial with thousands of dollars in budget .Harrison Ford interprets masterfully the daredevil and brave archaeologist transformed into an action man . Karen Allen plays his untameable and impulsive couple who'll have a little romance with Indy . The movie has great loads of action , special effects galore and the habitual and excellent , as always , John Williams musical core . Dazzling action set-pieces are stunningly mounted by Steven Spielberg . The film has entered the lists of ten most popular of all time . It is followed by ¨Indiana Jones and the Temple of Doom¨ and¨ The last Crusade¨. And by the TV series ,also produced by George Lucas : ¨The young Indiana Jones¨with Sean Patrick Flannery .It's a must see for the adventures fans . Rating : Awesome.",magnificent action packed adventure film that spawned two sequels numerous copies,its first part adventures trilogy going way 30s classic films comics books language picture blends comedy adventures action rip roaring cliff hunger tongue cheek is extremely entertaining fun archaeologist indiana jones with his bull whip wielding hat will confront dastard nazis ronald lacey peru nepal egypt obtaining moiseh ark with covenants tables hes only helped by two feisty adventurers karen allen john rhys davies indy fights nasty arabs decodes hieroglyphics faces off hundreds snakes movie attempts go path great classics during 30 40s comic books narrative along with special characteristics terror cinema 80 decade dr indiana executes feats derring do various exotics countries action highlights include opening sequence peruvian jungle temple creepy spooky final but some scenes arent squeamish kids its realized james bond style high adventure it is driven with enormous formidable fair play this breathtaking movie has number scenes that will have you edge your seat but action never lets up enjoyable screenplay was wonderfully written by george lucas films producer philip kauffman lawrence kasdan picture therere several exotic locations cliff hangers tongue cheek daring escapes rip roaring derring do it is very bemusing cinematic roller coaster ride its throw back old fashioned technicolor amusement with hints serial with thousands dollars budget harrison ford interprets masterfully daredevil brave archaeologist transformed into action man karen allen plays his untameable impulsive couple wholl have little romance with indy movie has great loads action special effects galore habitual excellent as always john williams musical core dazzling action set pieces are stunningly mounted by steven spielberg film has entered lists ten most popular all time it is followed by indiana jones temple doom last crusade by tv series also produced by george lucas young indiana jones with sean patrick flannery its must see adventures fans rating awesome,0.5468650793650794,0.29590525793650796,Positive,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.09, 'Fear': 0.55}"
