Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2,Almost unwatchable,"This is one of those rare moments when you should trust the negative reviews. Elsa Pataky was fine in the small roles she had in the Fast and Furious films but she is not an action star and her acting can not support a film on its own. Apart from that the cgi in this is TERRIBLE, it looks like you are watching a direct to video film from the 80s. The writing is awful, the one liners in this are so generic and completely uninspired. The action in this is also very bland and the fight scenes are too repetitive. Nothing about this movie is fresh or entertaining, I'm not sure who the target audience is supposed to be but this is one movie that you should avoid.",almost unwatchable,this is one those rare moments when you should trust negative reviews elsa pataky was fine small roles she had fast furious films but she is not action star her acting can not support film its own apart that cgi this is terrible it looks like you are watching direct video film 80s writing is awful one liners this are so generic completely uninspired action this is also very bland fight scenes are too repetitive nothing about this movie is fresh or entertaining im not sure who target audience is supposed be but this is one movie that you should avoid,0.5652046783625732,-0.06842105263157895,Negative,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.07, 'Sad': 0.2, 'Fear': 0.6}"
2,bad in everyway,"Well netflix does good but netflix does bad and when its bad its really bad.Elsa Pataky acting is awful, she hit the wall solide too, she turned into a prime Steven Seagal in under siege but with zero charisma, and zero everything else.Turned it off after 30 minutes.",bad everyway,well netflix does good but netflix does bad when its bad its really bad elsa pataky acting is awful she hit wall solide too she turned into prime steven seagal under siege but with zero charisma zero everything else turned it off after 30 minutes,0.6095238095238094,-0.4428571428571427,Negative,"{'Happy': 0.08, 'Angry': 0.17, 'Surprise': 0.25, 'Sad': 0.42, 'Fear': 0.08}"
1,The latest masterpiece that Netflix gifted us with,"If you:like high-intensity plots that are incredibly well-researchedhave waited for ages to finally see a believable and well-written female action leadlove great, witty dialogue and its flawless deliveryare a fan of sublety and great taste in pacinghave a faible for a sublime, but powerful scorelong for incredibly emotional and competent actinghave an eye for masterful directionhope for Netflix to greenlight content based on quality for a changedespise nepotismare hyped by gritty, well-choreographed and skillfully performed, captured and edited actionyou should skip this and save yourself the embarrassment.",latest masterpiece that netflix gifted us with,if you like high intensity plots that are incredibly well researchedhave waited ages finally see believable well written female action leadlove great witty dialogue its flawless deliveryare fan sublety great taste pacinghave faible sublime but powerful scorelong incredibly emotional competent actinghave eye masterful directionhope netflix greenlight content based quality changedespise nepotismare hyped by gritty well choreographed skillfully performed captured edited actionyou should skip this save yourself embarrassment,0.7454901960784313,0.4447058823529412,Positive,"{'Happy': 0.22, 'Angry': 0.06, 'Surprise': 0.11, 'Sad': 0.17, 'Fear': 0.44}"
1,Hot steaming Turd,"Yeah this movie was a hot mess from the first to last minute. As a United States Marine this was utter nonsense and from a technical perspective, it was embarrassing. It was so bad Thor was brought on as a producer to try and save the day. They wanted his name added to give it some kind of credibility. Yeah not happening. You can put lipstick on a pig but at the end of the day, it's still a pig. Don't waste your time on this one folks cause it really is a hot turd... Ug soooo bad..",hot steaming turd,yeah this movie was hot mess first last minute as united states marine this was utter nonsense technical perspective it was embarrassing it was so bad thor was brought as producer try save day they wanted his name added give it some kind credibility yeah not happening you can put lipstick pig but at end day its still pig dont waste your time this one folks cause it really is hot turd ug soooo bad,0.5381944444444445,-0.01458333333333331,Negative,"{'Happy': 0.16, 'Angry': 0.11, 'Surprise': 0.11, 'Sad': 0.47, 'Fear': 0.16}"
2,hahahahah :D,"This is bad on so many levels, you can start from anywhere and you will start with something bad. So I was looking for a way to start from the good side. So here it goes: ""The beautiful ocean... and then HAHAHAH :) OMG! """,hahahahah d,this is bad so many levels you can start anywhere you will start with something bad so i was looking way start good side so here it goes beautiful ocean then hahahah omg,0.6866666666666666,0.13000000000000006,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.17}"
2,Netflix in a shell.,"Poor acting. #metoo stereotypes. Not credible. The the story is so incredible. If I had to pay for a movie ticket to see it, I'd be a little pissed off afterwards.",netflix shell,poor acting stereotypes not credible story is so incredible if i had pay movie ticket see it id be little pissed off afterwards,0.5399999999999999,0.022499999999999985,Positive,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
1,Terrible movie and I hate the politics they put in it as well.,"Look, I'm all for equal rights and everything but I'm so tired of seeing some chick that weighs 100 pounds beat the crap out of some dude who is 250 pounds of muscle. She also beats the hell out of a martial artist.She then gets a call from Madame President who tells her to defend that place at all costs. To bad she is stuck in the room with a diverse man who likes to say ""We are all going to die!"". He also tells her that he is useless and hasn't fired a gun since basic training. She reminds him that guns still shoot the same (insert laugh). Sigh. They also did the standard white man in the movie is the evil person.Eventually these studios are going to get tired of losing money and realize that they should focus on making a good script instead of worrying about putting politics into our entertainment. We watch movies to be entertained and to escape the daily crap that happens in the world. We don't watch to be preached at.",terrible movie i hate politics they put it as well,look im all equal rights everything but im so tired seeing some chick that weighs 100 pounds beat crap out some dude who is 250 pounds muscle she also beats hell out martial artist she then gets call madame president who tells her defend that place at all costs bad she is stuck room with diverse man who likes say we are all going die he also tells her that he is useless hasnt fired gun since basic training she reminds him that guns still shoot same insert laugh sigh they also did standard white man movie is evil person eventually these studios are going get tired losing money realize that they should focus making good script instead worrying about putting politics into our entertainment we watch movies be entertained escape daily crap that happens world we dont watch be preached at,0.44259259259259254,-0.3,Negative,"{'Happy': 0.03, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.31, 'Fear': 0.4}"
1,"Waste, waste, waste","Do not see this. If you've ever been in the military, whether as a grunt or an officer, you will see the numerous errors made by this writer/director. He tried to make a decent film but he failed, big time.",waste waste waste,do not see this if youve ever been military whether as grunt or officer you will see numerous errors made by this writer director he tried make decent film but he failed big time,0.20833333333333334,-0.12916666666666668,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.33, 'Fear': 0.11}"
1,"Wow, this is really really bad","Save yourselves, and pass on this complete piece of trash.The acting is so so bad, the plot, script, all of it is just so so terrible.Netflix, for this I paid an increase?So close to cancelling my subscription.",wow this is really really bad,save yourselves pass this complete piece trash acting is so so bad plot script all it is just so so terrible netflix this i paid increase so close cancelling my subscription,0.6222222222222221,-0.36666666666666664,Negative,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.12}"
1,Wtf is this?,"This is like a badly written story that's had a satire made about it and then a movie made about the satire but unironically.Every line is cheese and a joke but acted ""seriously""The movie is so substandard that anyone involved should be ashamed. Especially Chris Hemsworth.",wtf is this,this is like badly written story thats had satire made about it then movie made about satire but unironically every line is cheese joke but acted seriously movie is so substandard that anyone involved should be ashamed especially chris hemsworth,0.8333333333333333,-0.38333333333333325,Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.56, 'Fear': 0.33}"
