Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Out of this world,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time.Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ...",out this world,lot has been said written about interstellar you can obviously take apart any movie that is out there youll either love this one or you wont i kind would have loved have watched this imax screen sheer scope whole thing its just amazing what nolan has put screen here its not only visual experience there is no 3d here by way its story ride you take with it it might be clear some earlier than others where its heading no pun intended but it doesnt change fact that its beautiful terrifying at same time going out saying this will be considered classic might not be too far stretched but you still can never predict those things deserved love movie gets imdb other places would be indicator that this will ring true though acting is really good but i can understand if some people have issues with ending but movie had end one way or another its best possible way this could go even if its not our grasps just yet,0.5645833333333333,0.21631944444444448,Positive,"{'Happy': 0.19, 'Angry': 0.1, 'Surprise': 0.26, 'Sad': 0.16, 'Fear': 0.29}"
10.0,I waited 5 years to watch it again,After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again This without doubt is THE BEST MOVIE EVER MADE,i waited 5 years watch it again,after watching this insane movie theatres back 2014 i swore god i will wait 5 years watch it again so i get forget it experince insanity it has again this without doubt is best movie ever made,0.43333333333333335,0.0,Neutral,"{'Happy': 0.0, 'Angry': 0.15, 'Surprise': 0.69, 'Sad': 0.08, 'Fear': 0.08}"
10.0,A visual and auditory marvel,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans.Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that.",visual auditory marvel,interstellar is movie like no other unlike many apocalyptic sci fi films that feature advanced technology as source our destruction ala terminator movies it instead asserts that technology will save us not everyone interstellar recognizes potential advanced technology most dismiss it as waste time resources not just old curmudgeons feel this way thoughtful intelligent young characters share this sentiment this belief gained steam following world wide blight that wiped out vast majority life earth crops humans farming became paramount while advanced technology was deemed frivolous cooper mcconaughey remains one few survivors who still appreciates need engineering he feels like man lost time until he stumbles into headquarters nasa which had been operating secret due public disapproval here he meets others who realize that return our old ways is unsustainable will ultimately lead our demise we need technology save us as michael caine playing brilliant duh professor brand eloquently tells cooper we were never meant save world we were meant leave it movie that won oscar best visual effects deservedly so sound stole show hans zimmer dark knight trilogy unleashed performance that was quite appropriately out this world never have i seen movie elevated so much by its score sound literally took my breath away forgive me next paragraph i will gush irresponsibly about magic that is this movies sound skip it if you please you have your warning music fueled every important scene every meaningful moment zimmers harmonies captivated watchers attention way coach commanding locker room with pregame speech music elucidated those emotional scenes particularly ones featuring cooper his daughter way that no words or visual ques possibly could i sat frozen jaw agape with tears pouring down my cheeks as music completely overwhelmed my emotions sound penetrated my soul reverberated through my body flowing my appendages supplying me with life like heartbeat pumping blood through my veins music was truly life force movie yes we all witnessed visual triumph daring creative wonder likes which we havent encountered since inception yes nearly every actors performance proved worthy commendation mcconaughey is fire chastain is blossoming into star at this point michael cain exudes such knowledge wisdom by merely appearing screen that if he were cast as albert einstein people would wonder if role were beneath him all this considered sound still towered over everything i walked out theater believing that i had experienced something unique something truly special interstellar inspires it awes above all it entertains i cannot ask more than that,0.4865512265512264,0.1975288600288601,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.27, 'Sad': 0.28, 'Fear': 0.28}"
10.0,Excellent Movie,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!",excellent movie,i judge movie by how long it takes me realize i need bathroom how long movie can hold my interest how convincing events unfolding are well i watched this movie all way through with no bathroom breaks my interest was grabbed start held all way through being old enough lucky enough have watched premiere 2001 space odyssey viewed it several times since course i made comparisons there were few but this movie tells excellent stand alone story that is both riveting believable im not going give away any secrets but anyone who watches last five minutes or so without lump their throat tear their eye well youre critic youre not enjoying movie because youre too busy looking bloopers faults were there bloopers faults darn movie was so riveting if there were any i didnt notice them,0.5529411764705883,0.23431372549019608,Positive,"{'Happy': 0.23, 'Angry': 0.04, 'Surprise': 0.31, 'Sad': 0.15, 'Fear': 0.27}"
9.0,Absolutely Brilliant,"A team of explorers travel through a wormhole in an attempt to ensure humanity's survival.Going into this I had mixed feelings because some have praised it, others have panned it, and some say it is good with reservations. There were allegedly issues with he sound in theaters, and any number of other issues. Then, when we get to the Oscars, the film gets nominations in the technical fields but not in the top honors.This was wrong. Maybe this is not the best role from Matthew McConaughey or Anne Hathaway. Though, the fact that a ""Hathaway hater"" like myself enjoyed it should say something. And I think Jessica Chastain should have received a Best Supporting nomination. She easily outshines Laura Dern in ""Wild"".This may be the greatest ever film about physics.",absolutely brilliant,team explorers travel through wormhole attempt ensure humanitys survival going into this i had mixed feelings because some have praised it others have panned it some say it is good with reservations there were allegedly issues with he sound theaters any number other issues then when we get oscars film gets nominations technical fields but not top honors this was wrong maybe this is not best role matthew mcconaughey or anne hathaway though fact that hathaway hater like myself enjoyed it should say something i think jessica chastain should have received best supporting nomination she easily outshines laura dern wild this may be greatest ever film about physics,0.5005208333333333,0.23802083333333332,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.14, 'Fear': 0.33}"
9.0,A journey across the galaxy to save humanity,"Set in a future where crop species are going extinct one after another former test pilot Joseph Cooper is now a farmer growing corn. His daughter Murphey thinks there is a ghost in her room; Cooper doesn't believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. He goes to that location and finds himself at a NASA base where he learns of a secret programme to find another habitable world involving a wormhole discovered near Saturn. He is asked to take part in a mission to find the best planet out of three orbiting a black hole; each of which has a scientist who went on a one way mission sending data back. The plan is to find a world to transfer humanity to but if that is impossible there is a back-up plan for the crew to raise the 5000 embryos stored aboard their ship. Time is an issue as it moves at a different rate near the black hole; this means that as hours pass for Cooper years are passing back on Earth.This film starts at a gentle pace gradually explaining what has happened to the Earth before getting the mission to save the world started; this means the separation of Cooper and Murphey is more emotional. Once the mission is underway there is plenty of tension, including some particularly gripping moments on the second planet they visit. The small cast does a fine job; especially Matthew McConaughey, who plays Cooper; Anne Hathaway, who plays Amelia Brand a scientist aboard the mission; and Mackenzie Foy and Jessica Chastain, who play the younger and older Murphey. The effects looked great, as one would expect in a film from Christopher Nolan, and I was pleased that space was depicted as silent; something that is both scientifically correct but also more impressive. Things do get a little confusing near the end but in a way that made me want to watch again rather than causing frustration.Overall I'd recommend this to somebody looking for intelligent science fiction in the mould of '2001 – A Space Odyssey' although this has more emotion to it than that classic.",journey across galaxy save humanity,set future where crop species are going extinct one after another former test pilot joseph cooper is now farmer growing corn his daughter murphey thinks there is ghost her room cooper doesnt believe ghosts but accepts that something is there when dust floor is set coordinates binary form he goes that location finds himself at nasa base where he learns secret programme find another habitable world involving wormhole discovered near saturn he is asked take part mission find best planet out three orbiting black hole each which has scientist who went one way mission sending data back plan is find world transfer humanity but if that is impossible there is back up plan crew raise 5000 embryos stored aboard their ship time is issue as it moves at different rate near black hole this means that as hours pass cooper years are passing back earth this film starts at gentle pace gradually explaining what has happened earth before getting mission save world started this means separation cooper murphey is more emotional once mission is underway there is plenty tension including some particularly gripping moments second planet they visit small cast does fine job especially matthew mcconaughey who plays cooper anne hathaway who plays amelia brand scientist aboard mission mackenzie foy jessica chastain who play younger older murphey effects looked great as one would expect film christopher nolan i was pleased that space was depicted as silent something that is both scientifically correct but also more impressive things do get little confusing near end but way that made me want watch again rather than causing frustration overall id recommend this somebody looking intelligent science fiction mould 2001 space odyssey although this has more emotion it than that classic,0.47004504504504513,0.10844594594594598,Positive,"{'Happy': 0.09, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.2, 'Fear': 0.42}"
10.0,I would rate 11/10,"I hadn't seen this but movie and caught it on a flight back from the DR. One of my favorite movies of all time. I would give the first half of the movie an 11/10, just completely enjoyed it as a sci fi/ thriller(in the sense of so much always being on the line). I loved the acting and just yeah, a great movie and one you should go see if you never have",i would rate 11 10,i hadnt seen this but movie caught it flight back dr one my favorite movies all time i would give first half movie 11 10 just completely enjoyed it as sci fi thriller sense so much always being line i loved acting just yeah great movie one you should go see if you never have,0.4388888888888889,0.30925925925925923,Positive,"{'Happy': 0.36, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.09, 'Fear': 0.45}"
8.0,Maybe the most spectacular movie of 2014 and one of the best,"To this day , many people still talk a lot about Christopher Nolan's ""Batman""-trilogy, but here is his newest work: ""Interstellar"". He gets help from Michael Caine and Anne Hathaway again and a couple more familiar faces. One year after Cuarón with Gravity, he discovers the endless widths of space as well. The difference, however is that a large part of his movie, including the first 40 minutes or so completely, plays down on Planet Earth. However, it is also about survival in space, including two people instead of one though. Or you could probably say the whole human race and not one individual fate.This is like our generation's ""Armageddon"", only that it is much better and much more edge-of-the-seat. The lead character is played by Matthew McConaughey, whose career is still on a massive high after numerous critically lauded performances and an Academy Award win. ""Interstellar"" is much more than Sci-Fi though. I personally found the film was at its best when it touched more the emotional relationships of the characters. The water planet sequence was incredibly well done. And right afterward, when Cooper (McConaughey) sees how his beloved family has aged and become parents, it is truly moving as well. I had a lump in my throat just like I did when he meets his very old daughter at the end of the movie. The inclusions with the old people telling about the past seem a bit odd at first, but make sense towards the end as we find out who is speaking there really.Then, I also had a love-hate relationship with the Matt Damon parts. I found it pretty boring to be honest initially, but when we found out about his true intentions, it quickly turns into one of the best parts of the film. Nicely done. When Caine's character mentioned him with high praise early on, I felt there could be something fishy (like with Pixar's Up) there and yes it was. The ending of the movie with Hathaway's character completely alone out there made me think maybe there will be a sequel. Saving Private... ehh I mean Dr. Brand. Who knows? The time during which the whole film plays is also interesting. Somehow, the NASA lost a lot of their reputation and the moon landing is called fake in American school books. It is some point in the future. That much we know. David Oyelowo plays a small role here as one of the teachers. He has ""Selma"" in the race for an Academy Award nomination this year.The ending of the film was not among the best scenes in my opinion, but I still liked it. The whole ghost explanation about Cooper being actually the one giving the signs was pretty exciting. The effects are brilliant of course, but that does not really need be mentioned for Nolan movies. A given. Hans Zimmer did a good soundtrack and there is also some comic relief coming from McConaughey's charm (if you like that) and some droll robot creatures. Anyway, I found the film interesting enough that I found it a bit sad they did not get to visit the third planet (with Hathaway's character's lover), only the water planet and the ice planet. I'd have loved to see that. However, maybe that could be a nice inclusion for a sequel as well. The movie never dragged despite coming pretty close to the three-hour mark. It could have run for another hour and I probably would not have been bored. There really was hardly anything wrong with it. Affleck's character did not do too much for me. He wasn't particularly well-acted and the character felt just included as a simple man who quickly gave up on his dad in order to show the contrast compared to Chastain's character: the ambitious loving smart daughter with a true connection to Cooper. John Lithgow plays a small role too and is fun to watch as always.This is one of the movies I really recommend to watch, preferably on the big screen due to its sensational visual aspects. It's also good for a rewatch I believe, also to evaluate the characters' actions, especially Caine's for example. And the story of course. I believe, after one viewing, I am still far away from having understood everything that was going on, especially the scientific aspects. That however, does not hurt the viewing experience at all thanks to the film's great acting and emotional impact. If you are interested in space, you really have to see this too. It has distant planets, wormholes, black holes, spaceships and a lot more. Let me finish this review with two little snippets: First, the actress who played Murph as a child was the same that played Renesmee in the last two Twilight movies and, secondly, that fittingly Hathaway's character was called Amelia like the aviation pioneer Amelia Earhart. That can't be coincidence, can it? Especially with her last shot.",maybe most spectacular movie 2014 one best,this day many people still talk lot about christopher nolans batman trilogy but here is his newest work interstellar he gets help michael caine anne hathaway again couple more familiar faces one year after cuar n with gravity he discovers endless widths space as well difference however is that large part his movie including first 40 minutes or so completely plays down planet earth however it is also about survival space including two people instead one though or you could probably say whole human race not one individual fate this is like our generations armageddon only that it is much better much more edge seat lead character is played by matthew mcconaughey whose career is still massive high after numerous critically lauded performances academy award win interstellar is much more than sci fi though i personally found film was at its best when it touched more emotional relationships characters water planet sequence was incredibly well done right afterward when cooper mcconaughey sees how his beloved family has aged become parents it is truly moving as well i had lump my throat just like i did when he meets his very old daughter at end movie inclusions with old people telling about past seem bit odd at first but make sense towards end as we find out who is speaking there really then i also had love hate relationship with matt damon parts i found it pretty boring be honest initially but when we found out about his true intentions it quickly turns into one best parts film nicely done when caines character mentioned him with high praise early i felt there could be something fishy like with pixars up there yes it was ending movie with hathaways character completely alone out there made me think maybe there will be sequel saving private ehh i mean dr brand who knows time during which whole film plays is also interesting somehow nasa lost lot their reputation moon landing is called fake american school books it is some point future that much we know david oyelowo plays small role here as one teachers he has selma race academy award nomination this year ending film was not among best scenes my opinion but i still liked it whole ghost explanation about cooper being actually one giving signs was pretty exciting effects are brilliant course but that does not really need be mentioned nolan movies given hans zimmer did good soundtrack there is also some comic relief coming mcconaugheys charm if you like that some droll robot creatures anyway i found film interesting enough that i found it bit sad they did not get visit third planet with hathaways characters lover only water planet ice planet id have loved see that however maybe that could be nice inclusion sequel as well movie never dragged despite coming pretty close three hour mark it could have run another hour i probably would not have been bored there really was hardly anything wrong with it afflecks character did not do too much me he wasnt particularly well acted character felt just included as simple man who quickly gave up his dad order show contrast compared chastains character ambitious loving smart daughter with true connection cooper john lithgow plays small role too is fun watch as always this is one movies i really recommend watch preferably big screen due its sensational visual aspects its also good rewatch i believe also evaluate characters actions especially caines example story course i believe after one viewing i am still far away having understood everything that was going especially scientific aspects that however does not hurt viewing experience at all thanks films great acting emotional impact if you are interested space you really have see this too it has distant planets wormholes black holes spaceships lot more let me finish this review with two little snippets first actress who played murph as child was same that played renesmee last two twilight movies secondly that fittingly hathaways character was called amelia like aviation pioneer amelia earhart that cant be coincidence can it especially with her last shot,0.5140086148419483,0.19238230904897569,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.34}"
,A Visually Monumental And Thoughtful Sci-Fi Epic,"I was extremely lucky to get the chance to see this film upon its first day release, before entering the cinema, my expectations were already high, after all, this was a film from the cinematic genius who brought us the likes of 'Inception' and 'The Dark Knight', to summarise the following review in a single sentence: I left the cinema in extreme awe from the visual masterpiece I had just viewed. A film that explores the psychological and emotional state of a man whose life revolves around his family, 'Interstellar' is a thrilling and thought-provoking film that boasts an intellectual story masterfully written by the Nolan brothers. Whilst there seems to have been influence from films like '2001: A Space Odyssey' and 'Apollo 13', 'Interstellar' is unique in its own way. Whilst the subject may be hard to comprehend at times, it can't be denied how visually monumental and thoughtful Christopher Nolan's epic science fiction masterpiece is, and can easily be named the best film of this year and possibly one of the greatest science fiction films to have ever graced the screen. A sheer brilliant feat of cinema.",visually monumental thoughtful sci fi epic,i was extremely lucky get chance see this film upon its first day release before entering cinema my expectations were already high after all this was film cinematic genius who brought us likes inception dark knight summarise following review single sentence i left cinema extreme awe visual masterpiece i had just viewed film that explores psychological emotional state man whose life revolves around his family interstellar is thrilling thought provoking film that boasts intellectual story masterfully written by nolan brothers whilst there seems have been influence films like 2001 space odyssey apollo 13 interstellar is unique its own way whilst subject may be hard comprehend at times it cant be denied how visually monumental thoughtful christopher nolans epic science fiction masterpiece is can easily be named best film this year possibly one greatest science fiction films have ever graced screen sheer brilliant feat cinema,0.5267511520737328,0.21925499231950848,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.37, 'Sad': 0.23, 'Fear': 0.26}"
10.0,A Sci-Fi Masterpiece,"Hollywood science fiction spectacles about antagonistic aliens abandoning dying worlds to occupy not only Earth, but also to oust us have been popular with moviegoers. Typically, like the European explorers who invaded and disenfranchised millions in the Western Hemisphere during the 15th century, these extraterrestrials—either bug-eyed behemoths with lobster claws or pod people whose seeds have drifted across the cosmos—show up to evict or absorb us. ""Inception"" director Christopher Nolan's latest extravaganza ""Interstellar,"" toplining Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, and John Lithgow, is a superior space opera that reverses the action. Earthlings must abandon mother Earth because an environmental blight has devastated farming and millions have starved to death in overpopulated continents. No, ""Interstellar"" doesn't pit Earth against multi-colored ""Guardians of the Galaxy"" aliens or immaculate looking storm troopers in white outfits from the ""Star Wars"" and ""Hunger Games"" franchises. Instead, the ""Interstellar"" scientist heroes must search for a new home for humankind. Rather than an outlandish adventure epic with evil extraterrestrials, ""Interstellar"" qualifies as an intelligent, realistic, sometimes provocative, sci-fi saga similar to Stanley Kubrick's landmark movie ""2001: A Space Odyssey."" Mind you, Nolan doesn't chronicle mankind's evolution from the dawn of time the way Kubrick did in as ""2001."" The casts of ""Interstellar"" and ""2001: A Space Odyssey"" differ, too. Kubrick relied on an unknown cast, while ""Interstellar"" boasts a charismatic array of superstars. If you haven't seen ""2001: A Space Odyssey,"" you won't appreciate some of the clever allusions to the legendary 1968 film. Anybody who has seen ""2001"" will be amused by a joke that a robot makes about blowing an astronaut out of an airlock. Ultimately, the most obvious ""2001"" references in ""Interstellar"" are those bizarre, oblong, Minecraft-style robots that resemble the black monoliths in Kubrick's film. Some of the sci-fi terminology may fly over your head, but Christopher Nolan and his brother Jonathan concern themselves with more than speculative science fiction ideas. They focus on relevant contemporary themes, such as father & daughter relationships and the environment. They forge interesting characters with philosophical dialogue that you will ponder long after the movie. ""Interstellar"" occurs in the late 21st century, after things have waxed really wretched. Bad enough that farmers can grow only corn. Blight has destroyed wheat and okra. Public opinion about NASA has curdled. History textbooks have been rewritten. Everybody believes NASA faked the Apollo moon landings to bankrupt the Soviet Union. A former NASA test pilot, Cooper (Matthew McConaughey of ""Mud""), has turned to farming and reaped rewards where many others have failed. Although his wife died from a brain cyst that an MRI could have detected had an MRI had been available, Cooper perseveres as a farmer and a father of two children, his fifteen-year old son Tom (Timothée Chalamet of ""Worse Friends""), and his precious ten-year old daughter Murph (Mackenzie Foy of ""The Conjuring"") who adore him. Cooper and his kids live with his father-in-law, Donald (John Lithgow of ""Terms of Endearment""), and they contend with tumultuous dust storms on a daily basis. These dust storms recall the Depression Era drought and dust storms of that prompted millions to flee from the plains states. Dust gets into everything, and Donald wages a never-ending war to keep everything clean. Meanwhile, books have been toppling randomly from Murph's bedroom bookcase. She suspects a ghost is responsible, but nothing ghoulish like ""Paranormal Activity."" Naturally, Cooper dismisses the presence of ghosts. One day after a particularly turbulent dust storm, father and daughter examine the way the books have fallen out of the shelves, translate it into code, and come up with coordinates that lead them to a classified NORAD facility. A monolithic robot named Tars confronts them. Later, Murph and Cooper find themselves sitting around a table talking with high-ranking NASA officials. One of them is Professor Brand (Michael Caine of ""Batman Begins""), and Brand confides in Cooper that the world is living on borrowed time. Moreover, he tells him about the 'Lazarus' project. NASA has dispatched manned missions to other parts of the galaxy to find a new home for mankind. He convinces Cooper to sign on as a pilot for one last launch that will take his daughter, biologist Amelia (Oscar winning actress Anne Hathaway of ""Les Misérables); physicist Romilly (David Gyasi); geographer Doyle (Wes Bentley of ""The Hunger Games""); and two robots TARS (voice of Bill Irwin) and CASE (voice of Josh Stewart) deep into space to a recently discovered wormhole which will enable them to explore new worlds. Predictably, Murph isn't happy about her father's departure. During their flight to the wormhole, Cooper and company lose contact with Earth, but Professor Brand can still transmit messages. Gradually, however, things take a turn for the worst. The final quarter hour of ""Interstellar"" will absolutely boggle your mind. Cooper goes where no man has gone before in a desperate bid to save mankind! ""Interstellar"" is a serious sci-fi movie. The computer-generated visual effects are nothing short of dazzling, and Nolan orchestrates the flight sequences so we don't hear any sounds in the vacuum of outer space. The different spacecraft and the Endurance mother ship look as authentic as the outfits that our heroes wear. The strange but new worlds that they encounter during their search to locate a new Earth are breathtaking. One world consists of an eternal sea with towering waves that loom like mountain ranges, while another is as stark and icy as it is inhospitable. The theme of deception runs throughout ""Interstellar."" The faked Apollo moon landing and Dr. Brand's mind-blowing revelation are a few surprises that will maintain your interest throughout ""Interstellar."" Nolan generates several suspenseful set-pieces that will keep you poised on the edge of your seat. Matt Damon has a startling cameo as another astronaut who has succumbed to effects of isolation. Clocking in at 169 minutes, ""Interstellar"" amounts to an unforgettable epic with intense white-knuckled suspense, top-notch performances, and a terrific ending.",sci fi masterpiece,hollywood science fiction spectacles about antagonistic aliens abandoning dying worlds occupy not only earth but also oust us have been popular with moviegoers typically like european explorers who invaded disenfranchised millions western hemisphere during 15th century these extraterrestrials either bug eyed behemoths with lobster claws or pod people whose seeds have drifted across cosmos show up evict or absorb us inception director christopher nolans latest extravaganza interstellar toplining matthew mcconaughey anne hathaway jessica chastain michael caine john lithgow is superior space opera that reverses action earthlings must abandon mother earth because environmental blight has devastated farming millions have starved death overpopulated continents no interstellar doesnt pit earth against multi colored guardians galaxy aliens or immaculate looking storm troopers white outfits star wars hunger games franchises instead interstellar scientist heroes must search new home humankind rather than outlandish adventure epic with evil extraterrestrials interstellar qualifies as intelligent realistic sometimes provocative sci fi saga similar stanley kubricks landmark movie 2001 space odyssey mind you nolan doesnt chronicle mankinds evolution dawn time way kubrick did as 2001 casts interstellar 2001 space odyssey differ too kubrick relied unknown cast while interstellar boasts charismatic array superstars if you havent seen 2001 space odyssey you wont appreciate some clever allusions legendary 1968 film anybody who has seen 2001 will be amused by joke that robot makes about blowing astronaut out airlock ultimately most obvious 2001 references interstellar are those bizarre oblong minecraft style robots that resemble black monoliths kubricks film some sci fi terminology may fly over your head but christopher nolan his brother jonathan concern themselves with more than speculative science fiction ideas they focus relevant contemporary themes such as father daughter relationships environment they forge interesting characters with philosophical dialogue that you will ponder long after movie interstellar occurs late 21st century after things have waxed really wretched bad enough that farmers can grow only corn blight has destroyed wheat okra public opinion about nasa has curdled history textbooks have been rewritten everybody believes nasa faked apollo moon landings bankrupt soviet union former nasa test pilot cooper matthew mcconaughey mud has turned farming reaped rewards where many others have failed although his wife died brain cyst that mri could have detected had mri had been available cooper perseveres as farmer father two children his fifteen year old son tom timoth e chalamet worse friends his precious ten year old daughter murph mackenzie foy conjuring who adore him cooper his kids live with his father law donald john lithgow terms endearment they contend with tumultuous dust storms daily basis these dust storms recall depression era drought dust storms that prompted millions flee plains states dust gets into everything donald wages never ending war keep everything clean meanwhile books have been toppling randomly murphs bedroom bookcase she suspects ghost is responsible but nothing ghoulish like paranormal activity naturally cooper dismisses presence ghosts one day after particularly turbulent dust storm father daughter examine way books have fallen out shelves translate it into code come up with coordinates that lead them classified norad facility monolithic robot named tars confronts them later murph cooper find themselves sitting around table talking with high ranking nasa officials one them is professor brand michael caine batman begins brand confides cooper that world is living borrowed time moreover he tells him about lazarus project nasa has dispatched manned missions other parts galaxy find new home mankind he convinces cooper sign as pilot one last launch that will take his daughter biologist amelia oscar winning actress anne hathaway les mis rables physicist romilly david gyasi geographer doyle wes bentley hunger games two robots tars voice bill irwin case voice josh stewart deep into space recently discovered wormhole which will enable them explore new worlds predictably murph isnt happy about her fathers departure during their flight wormhole cooper company lose contact with earth but professor brand can still transmit messages gradually however things take turn worst final quarter hour interstellar will absolutely boggle your mind cooper goes where no man has gone before desperate bid save mankind interstellar is serious sci fi movie computer generated visual effects are nothing short dazzling nolan orchestrates flight sequences so we dont hear any sounds vacuum outer space different spacecraft endurance mother ship look as authentic as outfits that our heroes wear strange but new worlds that they encounter during their search locate new earth are breathtaking one world consists eternal sea with towering waves that loom like mountain ranges while another is as stark icy as it is inhospitable theme deception runs throughout interstellar faked apollo moon landing dr brands mind blowing revelation are few surprises that will maintain your interest throughout interstellar nolan generates several suspenseful set pieces that will keep you poised edge your seat matt damon has startling cameo as another astronaut who has succumbed effects isolation clocking at 169 minutes interstellar amounts unforgettable epic with intense white knuckled suspense top notch performances terrific ending,0.5021977842945583,0.10281199087650704,Positive,"{'Happy': 0.07, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.4}"
