Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,A great feel good movie,"This is all about chasing your dreams, no matter what the obstacles. The movie is funny in a subtle way and the acting is brilliant. It is rare that such gems come out of the Indian Film industry. Overall a refresher amongst the crap which normally plays in theaters.The story involves a young deaf and dumb boy who is crazy about cricket, and how he hides behind buffaloes to watch a coaching camp and learn bowling. Eventually he finds a teacher in a failed cricketer(played by Nassiruding shah) who leaves his drinking habit and makes it his personal battle to place Iqbal in the Indian cricket team.This movie also touches upon the corruption in the selection system and commercialization of cricket.",great feel good movie,this is all about chasing your dreams no matter what obstacles movie is funny subtle way acting is brilliant it is rare that such gems come out indian film industry overall refresher amongst crap which normally plays theaters story involves young deaf dumb boy who is crazy about cricket how he hides behind buffaloes watch coaching camp learn bowling eventually he finds teacher failed cricketer played by nassiruding shah who leaves his drinking habit makes it his personal battle place iqbal indian cricket team this movie also touches upon corruption selection system commercialization cricket,0.5444444444444445,0.007870370370370337,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.14, 'Fear': 0.45}"
9.0,iqbal-a winner,"Iqbal doesn't require those plain, ch..ya reviews but aggressive reviews. Call it a bouncer, a sixer, a century, whatever. The experience is as exhilarating. Welcome new cinema. Welcome Iqbal. A movie devoted to a criminally ignored aspect of cricket called bowling with so much of spunk, style, freshness, novelty and surprises that even those not interested in game find it simply irresistible. It has all the aces. Firstly, amazing stories and people happening in small towns too who are crying to be a part of mainstream but nobody really took notice of them. No need to add situational/ item numbers (read non situational)songs or beautiful bimbettes in the name of ""heroines"". Instead a brother-sister combo is remarkably portrayed. And when it starts talking cricket-the game, the passion, the technique, the struggle, the pain, the politics, the victory, everything beautifully woven interspersed in between in subtle humor such that it all looks as real as life itself in flesh and blood. The honors should equally be shared by background score, songs, cinematography, editing (especially), sound design and script. All performances are first rate. Ultimately, and at last a director's film-Nagesh Kukunoor's best among his six and not to forget a superb one coming from producers mukta arts years after. Three cheers. Now few Grey areas. The film slightly looses its crispness in certain parts such as-Iqbal trying hard to get Naseer to coach him; the struggle Iqbal went through after inducted in Ranji Team and lastly the film ends on a slightly abrupt note. But all these are minor diversions. Lastly, a word of advice to established set ups tried and tested, star-studded, NRI romances format of film making. Please step aside. Your turn is over. A New dawn has set. A New player in the offing. Indian films finally finding their identity. Undoubtedly, the best film released so far this year, year 2005 will be remembered for Iqbal and likes. And Box office. F... box office. To those conventional distributors, being a modest budget film it is an easy break even so you GTH (go to hell) Also, if Tax free status is not granted sooner to this film then it is better to abolish this system of promotion via tax-free. Jiyo Iqbal !",iqbal winner,iqbal doesnt require those plain ch ya reviews but aggressive reviews call it bouncer sixer century whatever experience is as exhilarating welcome new cinema welcome iqbal movie devoted criminally ignored aspect cricket called bowling with so much spunk style freshness novelty surprises that even those not interested game find it simply irresistible it has all aces firstly amazing stories people happening small towns too who are crying be part mainstream but nobody really took notice them no need add situational item numbers read non situational songs or beautiful bimbettes name heroines instead brother sister combo is remarkably portrayed when it starts talking cricket game passion technique struggle pain politics victory everything beautifully woven interspersed between subtle humor such that it all looks as real as life itself flesh blood honors should equally be shared by background score songs cinematography editing especially sound design script all performances are first rate ultimately at last directors film nagesh kukunoors best among his six not forget superb one coming producers mukta arts years after three cheers now few grey areas film slightly looses its crispness certain parts such as iqbal trying hard get naseer coach him struggle iqbal went through after inducted ranji team lastly film ends slightly abrupt note but all these are minor diversions lastly word advice established set ups tried tested star studded nri romances format film making please step aside your turn is over new dawn has set new player offing indian films finally finding their identity undoubtedly best film released so far this year year 2005 will be remembered iqbal likes box office f box office those conventional distributors being modest budget film it is easy break even so you gth go hell also if tax free status is not granted sooner this film then it is better abolish this system promotion via tax free jiyo iqbal,0.5319061147186147,0.19183125901875905,Positive,"{'Happy': 0.16, 'Angry': 0.08, 'Surprise': 0.27, 'Sad': 0.15, 'Fear': 0.34}"
8.0,Take a bow Nagesh Kukunoor,"Everybody wants to see the underdog triumph. But what we Don't want to see in the process is unnecessary over-the-top pity/sympathy created for the underdog. Nagesh Kukunoor understands this. He gives us the kind of cinema which is entertaining, simple and intelligent. The plot itself is simple but it's always difficult to keep it simple and yet entertain. ""Iqbal"" achieves this. The moment we see Iqbal(played wonderfully by Shreyas Talpade) with his rag-tag ""kit bag"" slung over his shoulders,carrying it like it was his most prized possession and steaming in bare feet with that look in his eyes, we want him to win. We want him to knock the socks out of the opponent (batsmen, wheeler-dealer coaches and anyone who's in his way), we want to see the world recognize him. That's what ""iqbal"" does to you. Iqbal's journey ( I wouldn't call it a struggle because the triumph was in his journey) takes us into his village with its rustic dusty backgrounds, buffaloes named after cricketers and a drunk ex-almost-was Naseeruddin Shah, not to mention his family. Shreyas Talpade holds his own against Naseer who seems as though he just woke up drunk in a haystack and carried on from there without knowing there was a film crew around him. Shweta Prasad as Iqbal's sister is just gifted, she brings a maturity to her character which is beyond her age, outstanding. The cricket part is handled very effectively and doesn't look amateurish.The dirt behind the selection process, you-help-me-i'll-help you situations is shown well although Kukunoor solves it simply as well. It might just be a tad more complicated than that in the real Indian cricket world. Nagesh Kukunoor seems to be growing as a film maker with each movie. His ""Teen Deewarein"" was splendid and Iqbal is a step further in the right direction. He has handled the potentially could-have-been-overdone story to a nicety and manages to bring out the emotions without the usual "" look at me, i'm all pitiable and lovable"" stuff. Iqbal isn't pitiable, but he sure is lovable.",take bow nagesh kukunoor,everybody wants see underdog triumph but what we dont want see process is unnecessary over top pity sympathy created underdog nagesh kukunoor understands this he gives us kind cinema which is entertaining simple intelligent plot itself is simple but its always difficult keep it simple yet entertain iqbal achieves this moment we see iqbal played wonderfully by shreyas talpade with his rag tag kit bag slung over his shoulders carrying it like it was his most prized possession steaming bare feet with that look his eyes we want him win we want him knock socks out opponent batsmen wheeler dealer coaches anyone whos his way we want see world recognize him thats what iqbal does you iqbals journey i wouldnt call it struggle because triumph was his journey takes us into his village with its rustic dusty backgrounds buffaloes named after cricketers drunk ex almost was naseeruddin shah not mention his family shreyas talpade holds his own against naseer who seems as though he just woke up drunk haystack carried there without knowing there was film crew around him shweta prasad as iqbals sister is just gifted she brings maturity her character which is beyond her age outstanding cricket part is handled very effectively doesnt look amateurish dirt behind selection process you help me ill help you situations is shown well although kukunoor solves it simply as well it might just be tad more complicated than that real indian cricket world nagesh kukunoor seems be growing as film maker with each movie his teen deewarein was splendid iqbal is step further right direction he has handled potentially could have been overdone story nicety manages bring out emotions without usual look at me im all pitiable lovable stuff iqbal isnt pitiable but he sure is lovable,0.6467940685045948,0.16313283208020046,Positive,"{'Happy': 0.11, 'Angry': 0.13, 'Surprise': 0.13, 'Sad': 0.28, 'Fear': 0.35}"
,A Simple Heartwarming Story About Hope And Glory,"'Iqbal' is a charming down-to-earth film directed by one of today's finest directors Nagesh Kukunoor. The story revolves around a deaf and mute young man who dreams of becoming a cricketer. It boasts of a talented cast that includes Naseeruddin Shah (awesome), Girish Karnad (very good), Shreyas Talpade (natural), Shweta Prasad (natural), Yatin Karyekar (decent) and Prateeksha Lonkar (sublime) all delivering memorable performances. Cinematography is excellent and gives a realistic spacious feel to the village setting. Music is awesome and background score is very pleasant as it contributes to the mood. I especially like the uplifting song, 'Aashayein'.On the downside, Kapil Dev's appearance is annoying as he can't act and his presence doesn't add anything. Some may feel that the story has been done numerous times before but in my opinion Kukunoor's treatment and execution gives it a unique touch. For example, I loved how he portrayed the relationship between the mother and her children and the two siblings. The chemistry between the actors only make their interactions more real. This is also one of the few films that focuses on the sibling relationship. Iqbal's sister is not the typical Bollywood 'behen' who runs around screaming 'bhaiyya bhaiyya' (brother brother). Actually all the characters are very well written.'Iqbal's main strength is its soul. This is a must see for everyone and one that can be watched with the family. It's an uplifting movie that brings a smile to the face. Always believe in your dreams and have faith in yourself to make them come true. And to parents, always believe in your children's dreams and capability. That's 'Iqbal'.",simple heartwarming story about hope glory,iqbal is charming down earth film directed by one todays finest directors nagesh kukunoor story revolves around deaf mute young man who dreams becoming cricketer it boasts talented cast that includes naseeruddin shah awesome girish karnad very good shreyas talpade natural shweta prasad natural yatin karyekar decent prateeksha lonkar sublime all delivering memorable performances cinematography is excellent gives realistic spacious feel village setting music is awesome background score is very pleasant as it contributes mood i especially like uplifting song aashayein downside kapil devs appearance is annoying as he cant act his presence doesnt add anything some may feel that story has been done numerous times before but my opinion kukunoors treatment execution gives it unique touch example i loved how he portrayed relationship between mother her children two siblings chemistry between actors only make their interactions more real this is also one few films that focuses sibling relationship iqbals sister is not typical bollywood behen who runs around screaming bhaiyya bhaiyya brother brother actually all characters are very well written iqbals main strength is its soul this is must see everyone one that can be watched with family its uplifting movie that brings smile face always believe your dreams have faith yourself make them come true parents always believe your childrens dreams capability thats iqbal,0.6277214541730672,0.308584229390681,Positive,"{'Happy': 0.18, 'Angry': 0.02, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.24}"
10.0,Funny and inspiring Fairy tale,"Iqbal is all about a young village lad in northern India, who eats,sleeps and thinks cricket. His only goal in life is to play for the Indian team. A few obstacles in his path, he is deaf and dumb.. He is poor and cannot afford standard training. His father is not ready to let his son ruin his life in pursuit of a day dream. He does have a few strengths. He can bowl real fast, and has great support from his mother and sister. There is also a village drunkard (ex-bowler for the state team) who will be coaching him. The story here is about how he fights all odds. While the story sounds very normal and often repeated, it is the taking of the movie that is brilliant. The cinematography is very simple. The rural village setting reminded me of the village where I grew up. The dialogues are witty and realistic without any dose of melodrama/sobs/tears. They seem to be inspired by ""The Alchemist"". The background score and the song are cool, and flow with the movie. There is no self-pity or ""I-am-disabled-sohelp-me"" kind of emotion. In fact, his disability ceases to be a factor within 10 minutes of the movie. The movie is very inspiring and entertaining. The acting is first rate. Nagesh Kukunoor (director) makes a good movie about cricket and great movie about ""How not to give up what you like?"".",funny inspiring fairy tale,iqbal is all about young village lad northern india who eats sleeps thinks cricket his only goal life is play indian team few obstacles his path he is deaf dumb he is poor cannot afford standard training his father is not ready let his son ruin his life pursuit day dream he does have few strengths he can bowl real fast has great support his mother sister there is also village drunkard ex bowler state team who will be coaching him story here is about how he fights all odds while story sounds very normal often repeated it is taking movie that is brilliant cinematography is very simple rural village setting reminded me village where i grew up dialogues are witty realistic without any dose melodrama sobs tears they seem be inspired by alchemist background score song are cool flow with movie there is no self pity or i am disabled sohelp me kind emotion fact his disability ceases be factor within 10 minutes movie movie is very inspiring entertaining acting is first rate nagesh kukunoor director makes good movie about cricket great movie about how not give up what you like,0.537531746031746,0.18788888888888888,Positive,"{'Happy': 0.28, 'Angry': 0.05, 'Surprise': 0.17, 'Sad': 0.28, 'Fear': 0.23}"
8.0,exactly what the abundance of word of mouth asserts - the best movie of this year.,"Watched Iqbal yesterday. Yes, this movie is exactly what the abundance of word of mouth on it asserts - the best movie of this year.I don't think this is a great movie, it's just that it is so rare to see a film that works in Bollywood, which does not come from a masala genre, that works simply as a straightforward story - that this film looks all the better compared to the awful field it competes with.Iqbal brings a smile to the face and a tear to the eye and a lump to the throat and a racing of the heartbeat in slight twist and sweet turn and more than makes up for the time and money it takes to invest in watching a film - much more than that.Nagesh Kukunoor's minimalist narration (enhanced by rousing music by the creative genius duo of Salim Sulaiman) that we saw in his earlier films is here perfect - the rustic ambiance of the film seems to pervade the storytelling too.The film reminded me of Million Dollar Baby and Shwaas at times - MDB, because of the minimalism & struggle against odds; Shwaas, because of the sweetness of the tale.Lovely, lovely film.",exactly what abundance word mouth asserts best movie this year,watched iqbal yesterday yes this movie is exactly what abundance word mouth it asserts best movie this year i dont think this is great movie its just that it is so rare see film that works bollywood which does not come masala genre that works simply as straightforward story that this film looks all better compared awful field it competes with iqbal brings smile face tear eye lump throat racing heartbeat slight twist sweet turn more than makes up time money it takes invest watching film much more than that nagesh kukunoors minimalist narration enhanced by rousing music by creative genius duo salim sulaiman that we saw his earlier films is here perfect rustic ambiance film seems pervade storytelling too film reminded me million dollar baby shwaas at times mdb because minimalism struggle against odds shwaas because sweetness tale lovely lovely film,0.5548245614035089,0.3925438596491228,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.28, 'Sad': 0.28, 'Fear': 0.19}"
9.0,A cricket Saga,"IQBAL is an excellent movie by Nagesh Kuknoor. His earlier film HYDERBAD BLUES was also good film thematically and in characterization.but had rather loose screen play. But this time he has written a very tight screen play and he has chosen excellent actors . It is a story of an aspiring bowler in a village. This shows clearly that to reach the top is not a plum to be taken but to shed sweat and tears. The relations ship between the deaf and mute bowling aspirant (Shreyas Talpade) and the school going sister(Shweta Prasad) was etched beautifully. In some scenes the film reminded me of that excellent Iranian film ""The Children of Heaven"" by Mohammad Amir Naji. The boy takes the help of an old cricketer who has gone to seed and Nasiruddin Shah etched this role beautifully as Mohit. The story is down to earth with father not very happy with what he thinks unattainable ambitions of the son but the boy is strongly supported by mother and sister. The ambiance was typical village atmosphere and the house a normal village Muslim family -may not be affluent but not below the poverty line. This is a family drama not the rubbish those come out of Kollywood. All in all a memorable film and Kuknoor graduated to almost world class.The film I remember was sent for Oscar. Though this was not nominated Kuknoor is approaching Oscar level.",cricket saga,iqbal is excellent movie by nagesh kuknoor his earlier film hyderbad blues was also good film thematically characterization but had rather loose screen play but this time he has written very tight screen play he has chosen excellent actors it is story aspiring bowler village this shows clearly that reach top is not plum be taken but shed sweat tears relations ship between deaf mute bowling aspirant shreyas talpade school going sister shweta prasad was etched beautifully some scenes film reminded me that excellent iranian film children heaven by mohammad amir naji boy takes help old cricketer who has gone seed nasiruddin shah etched this role beautifully as mohit story is down earth with father not very happy with what he thinks unattainable ambitions son but boy is strongly supported by mother sister ambiance was typical village atmosphere house normal village muslim family may not be affluent but not below poverty line this is family drama not rubbish those come out kollywood all all memorable film kuknoor graduated almost world class film i remember was sent oscar though this was not nominated kuknoor is approaching oscar level,0.6357722832722832,0.34471764346764344,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.41, 'Sad': 0.1, 'Fear': 0.31}"
9.0,Let The Movie speak for itself,"When you come inside a theater at the end of the movie you want to go out feeling good, happy and this is what Iqbal did. A deaf and blind boy practicing, achieving his goal, striving for it was beautiful and at the end the triumphing of Human Spirit. Let the movie speak for itself go watch it. I have to write 10 lines and i will. Step 1- Go to Video Store or Theater Step 2- Rent or buy a ticket for Iqbal Step 3- Go home and watch it or watch it in the theater Finished Watching It????????????????????????? Step 4- Go to your home and say that this comment was useful as i told you to watch one of the most amazing and inspiring motion pictures Bollywood has ever made!!!!!!!!!!!!!!!",let movie speak itself,when you come inside theater at end movie you want go out feeling good happy this is what iqbal did deaf blind boy practicing achieving his goal striving it was beautiful at end triumphing human spirit let movie speak itself go watch it i have write 10 lines i will step 1 go video store or theater step 2 rent or buy ticket iqbal step 3 go home watch it or watch it theater finished watching it step 4 go your home say that this comment was useful as i told you watch one most amazing inspiring motion pictures bollywood has ever made,0.6407407407407407,0.4166666666666667,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.3, 'Fear': 0.13}"
8.0,Very classy Flick,"I went to this movie just today. I heard great reviews from everybody and I finally watched it today. Nagesh Kukunoor has the knack of coming up with some good films, especially off late after Teen Deewarein(Which was brilliant). This movie I think is another feather in his cap. This story is about a deaf mute, Iqbal (Shreyas Talpade), who lives in the small village of Kolipad and dreams of becoming a great cricketer. His father is totally against his love for the game but his mother and sister push him towards his dream. Iqbal is first coached by a devious Girish Karnad, who ditches him for a rich kid. His only refuge is the village drunk Mohit(played brilliantly by Naseeruddin Shah), a former Ranji cricketer. The relationship between Iqbal and Mohit is beautifully brought out on screen. Iqbal's sister (played by Shweta) also gives a brilliant performance. But the cherry on the cake belongs to Naseeruddin Shah. His charm is infectious. He breathes life into the character of Mohit with effortless ease. Shreyas Talpade has also brought in a very good performance. He has really emoted very well and has done justice to his role as the deaf mute. The actor playing Iqbal's father also does a very good job. I think this movie is for the masses as well as the classes. It will be enjoyed by one and all. As the movie's bylane rightly puts it. ""It is a story above Cricket.""",very classy flick,i went this movie just today i heard great reviews everybody i finally watched it today nagesh kukunoor has knack coming up with some good films especially off late after teen deewarein which was brilliant this movie i think is another feather his cap this story is about deaf mute iqbal shreyas talpade who lives small village kolipad dreams becoming great cricketer his father is totally against his love game but his mother sister push him towards his dream iqbal is first coached by devious girish karnad who ditches him rich kid his only refuge is village drunk mohit played brilliantly by naseeruddin shah former ranji cricketer relationship between iqbal mohit is beautifully brought out screen iqbals sister played by shweta also gives brilliant performance but cherry cake belongs naseeruddin shah his charm is infectious he breathes life into character mohit with effortless ease shreyas talpade has also brought very good performance he has really emoted very well has done justice his role as deaf mute actor playing iqbals father also does very good job i think this movie is masses as well as classes it will be enjoyed by one all as movies bylane rightly puts it it is story above cricket,0.6613464696223317,0.31416256157635475,Positive,"{'Happy': 0.29, 'Angry': 0.02, 'Surprise': 0.22, 'Sad': 0.1, 'Fear': 0.37}"
9.0,"Remarkable, Outstanding, Astonishing and Unpretentious","An inspiring and thought provoking tale of a specially abled lad's passion to realize his only dream of being part of the national cricket team. This is a gold dust of cinema, one of the finest you would ever come across by. Indeed, Nagesh Kukunoor deserves a big round of applause for this spectacle, a feat that he successfully achieves in his next project (Dor) as well.Anybody among us can dream big but those who realize those dreams are the special ones, right! And what would you call that person who has been written off by many since birth and yet goes on to achieve what he has always dreamed of? EXCEPTIONAL; maybe it is an understatement but yes.As they say, behind every successful man there is a woman, and well Iqbal (a very challenging role portrayed with ease and grace by Shreyas Talpade) had two backing him in his endeavor, his mother and his ever supportive and caring little sister, Khadija (a character brilliantly portrayed by Sweta Basu). Obviously family support is good for moral boost up but it just isn't going to be enough without a well drunk, sorry! a well experienced coach (Nasseruddin Shah's portrayal of this character is surely going to have a lasting impact. He lightened the screen every time with his presence. Pure brilliance!).And for all those who have started to question their choice of watching this movie because of the fact that you do not understand cricket, then let me just tell you - You don't need to understand cricket at all to enjoy this because becoming a national cricket player is used as a synonym in this movie for a dream that is just too big in the eyes of the society for a lad like him).I watched this movie when I was a teenager and I have to admit that this movie forever changed my perception of cinema. So, if you are feeling low, dejected, hopeless or having any such kind of thoughts about quitting on your dreams, I urge you to watch this remarkable piece of work.You would never want to quit on to something that gives meaning to your life.",remarkable outstanding astonishing unpretentious,inspiring thought provoking tale specially abled lads passion realize his only dream being part national cricket team this is gold dust cinema one finest you would ever come across by indeed nagesh kukunoor deserves big round applause this spectacle feat that he successfully achieves his next project dor as well anybody among us can dream big but those who realize those dreams are special ones right what would you call that person who has been written off by many since birth yet goes achieve what he has always dreamed exceptional maybe it is understatement but yes as they say behind every successful man there is woman well iqbal very challenging role portrayed with ease grace by shreyas talpade had two backing him his endeavor his mother his ever supportive caring little sister khadija character brilliantly portrayed by sweta basu obviously family support is good moral boost up but it just isnt going be enough without well drunk sorry well experienced coach nasseruddin shahs portrayal this character is surely going have lasting impact he lightened screen every time with his presence pure brilliance all those who have started question their choice watching this movie because fact that you do not understand cricket then let me just tell you you dont need understand cricket at all enjoy this because becoming national cricket player is used as synonym this movie dream that is just too big eyes society lad like him i watched this movie when i was teenager i have admit that this movie forever changed my perception cinema so if you are feeling low dejected hopeless or having any such kind thoughts about quitting your dreams i urge you watch this remarkable piece work you would never want quit something that gives meaning your life,0.6458542188805346,0.2787750626566416,Positive,"{'Happy': 0.18, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.27, 'Fear': 0.3}"
