Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,"Satire, Farce & Black Comedy all rolled into one","I remember when this movie came out it faired poorly at the box office and was off the theatres within a week. But I think it generated an underground sort of movement amongst youth who wanted to watch a different kind of cinema and soon it had a cult of its own. You ask any Indian cine fan between 30s and 40s his/her top 10 favorite movies and I think this movie will figure in the list somewhere. The plot is simple; two struggling photographers accidentally get involved in the filth that Indian 'system' is and which includes everybody from the police to media to politicians to builders etc. etc. etc. Once involved they try to expose everyone involved but the question is 'will they survive?' Performance wise, everyone from Naseer to Ravi Baswani to Pankaj Kapoor to Satish Shah to Satish Kaushik to Om Puri have given brilliant performances, probably amongst their best. It's almost like magic that you know that it happened but you never know how. The film is bustling with synergy of all these performers (actors, writers, director and the whole crew) who are just happy to work with each other and in such a creative environment and are out to make a difference. And difference they made. It is and will remain a cult classic with people from our generation.",satire farce black comedy all rolled into one,i remember when this movie came out it faired poorly at box office was off theatres within week but i think it generated underground sort movement amongst youth who wanted watch different kind cinema soon it had cult its own you ask any indian cine fan between 30s 40s his her top 10 favorite movies i think this movie will figure list somewhere plot is simple two struggling photographers accidentally get involved filth that indian system is which includes everybody police media politicians builders etc etc etc once involved they try expose everyone involved but question is will they survive performance wise everyone naseer ravi baswani pankaj kapoor satish shah satish kaushik om puri have given brilliant performances probably amongst their best its almost like magic that you know that it happened but you never know how film is bustling with synergy all these performers actors writers director whole crew who are just happy work with each other such creative environment are out make difference difference they made it is will remain cult classic with people our generation,0.6595864661654135,0.30921052631578955,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.08, 'Fear': 0.46}"
,One of the funniest films I have ever seen ...,"Rib-tickling, side-splitting .. but also cynical, intelligent, and very, very dark. Comedy as it should be and so very rarely is. Corrupt politicians in cahoots with thieving contractors, their scheming rivals and their inept secretaries ... add two bumbling, idealistic, naive young photographers in the 'right' place at the 'right' time ..... throw 'em all together and all hell breaks loose, and boy is it hilarious!! I've seen this several times and never failed to collapse in helpless fits of laughter. Wonder why they don't make them like this anymore, and wish they did!",one funniest films i have ever seen,rib tickling side splitting but also cynical intelligent very very dark comedy as it should be so very rarely is corrupt politicians cahoots with thieving contractors their scheming rivals their inept secretaries add two bumbling idealistic naive young photographers right place at right time throw em all together all hell breaks loose boy is it hilarious ive seen this several times never failed collapse helpless fits laughter wonder why they dont make them like this anymore wish they did,0.6217216117216117,0.045792124542124536,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.29, 'Fear': 0.35}"
10.0,"Brilliant farce, one of the finest movies ever made !!!","A lot of comments about this movie have centered on the apparently slapstick comedy, ignoring its usage to lend a sense of the grotesque in what is a essentially a masterful farce, and beneath the surface, more of a tragedy.This movie centers around the two young protagonists, full of ideals and the will to win against the powers of endemic and ubiquitous corruption, a corruption that is so manifestly present that the others do not seem to question its existence, but implicitly assume it and use it to serve their own ends. However, our heroes find the going quite tough.Although partly inspired by Michelangelo Antonioni's ""Blow-up"", this movie is in a class by itself, with dark humor reminiscent of Kafka and Gogol. The star cast includes some of the finest actors to ever grace the screens of Bollywood (or for that matter, anywhere else). Om Puri, Naseeruddin Shah, Pankaj Kapoor and many others deliver stellar performances in this tragi-comedy which is one of finest pearls produced by the New Wave movement in Indian cinema.Regretabbly, comprehension of the movie requires intimate knowledge of the background, something which you would only have if you have lived in India, where corruption is as natural as breathing, and if you are familiar with the turbulent times when New Wave Cinema was taking off, a time of discontent and idealism among youth, a time of unemployment and the times of the angry young man (as typified by Amitabh Bachchan in many commercial films from this era).However one can still enjoy it for it is a comedy worth watching. Hopefully, the viewer will see the tragedy beneath the humor.I rate this movie among the finest movies of all time, and in the class of farces, it stands alongside Kubrick's ""Dr. Strangelove"".",brilliant farce one finest movies ever made,lot comments about this movie have centered apparently slapstick comedy ignoring its usage lend sense grotesque what is essentially masterful farce beneath surface more tragedy this movie centers around two young protagonists full ideals will win against powers endemic ubiquitous corruption corruption that is so manifestly present that others do not seem question its existence but implicitly assume it use it serve their own ends however our heroes find going quite tough although partly inspired by michelangelo antonionis blow up this movie is class by itself with dark humor reminiscent kafka gogol star cast includes some finest actors ever grace screens bollywood or that matter anywhere else om puri naseeruddin shah pankaj kapoor many others deliver stellar performances this tragi comedy which is one finest pearls produced by new wave movement indian cinema regretabbly comprehension movie requires intimate knowledge background something which you would only have if you have lived india where corruption is as natural as breathing if you are familiar with turbulent times when new wave cinema was taking off time discontent idealism among youth time unemployment times angry young man as typified by amitabh bachchan many commercial films this era however one can still enjoy it it is comedy worth watching hopefully viewer will see tragedy beneath humor i rate this movie among finest movies all time class farces it stands alongside kubricks dr strangelove,0.537669801462905,0.16927028909787536,Positive,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.32, 'Sad': 0.14, 'Fear': 0.38}"
10.0,Good guys always lose,"Two simple photographers, trying to eke out an honest living, caught in a web of scandal and deceit.Fantastic direction, outstanding plot, brilliant script, phenomenal casting and amazing acting. This movie has you laughing till the last scene, which is when the laughter is wrenched from your throat!The movie has great attention to detail. For example, the scene when monkey is being photographed, look into the mirror in his hand. You actually see Tarneja in a checked jacket and gun in hand. Which leads to the single biggest flaw: no gunshot heard?But that may be forgiven. The comedy is unending!!! For example, the Dhritrashtra, still blind, saying ""This is too much! Yeh Akbar kahaan se aa gaya?""... Or Tarneja and Ahuja entering the Mahabharat in complete costumes, but still wearing their specs and sunglasses respectively! That, to my mind, is the single longest comic scene in Hindi cinema!The laughs do not stop!!! It stays, to date, the best tragi-comedy ever!",good guys always lose,two simple photographers trying eke out honest living caught web scandal deceit fantastic direction outstanding plot brilliant script phenomenal casting amazing acting this movie has you laughing till last scene which is when laughter is wrenched your throat movie has great attention detail example scene when monkey is being photographed look into mirror his hand you actually see tarneja checked jacket gun hand which leads single biggest flaw no gunshot heard but that may be forgiven comedy is unending example dhritrashtra still blind saying this is too much yeh akbar kahaan se aa gaya or tarneja ahuja entering mahabharat complete costumes but still wearing their specs sunglasses respectively that my mind is single longest comic scene hindi cinema laughs do not stop it stays date best tragi comedy ever,0.4544784580498866,0.2789115646258503,Positive,"{'Happy': 0.29, 'Angry': 0.05, 'Surprise': 0.38, 'Sad': 0.14, 'Fear': 0.14}"
10.0,indian cinema at its best,"This was a wonderful comedy, no cheap humor, no poor jokes, just a simple inexpensive movie made with a great script, good jokes and wonderful actors. The scene at the theater where the mahabharat is being enacted is by far the funniest 15 minutes in the history of Indian Cinema. A must see for everyone.",indian cinema at its best,this was wonderful comedy no cheap humor no poor jokes just simple inexpensive movie made with great script good jokes wonderful actors scene at theater where mahabharat is being enacted is by far funniest 15 minutes history indian cinema must see everyone,0.7007936507936507,0.5111111111111111,Positive,"{'Happy': 0.36, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.09, 'Fear': 0.27}"
10.0,The most successful experiment in Indian film-making,"Vinod and Sudhir are struggling photographers. Shoba, editor of a political daily newspaper 'Khabardar' hires them for an assignment. what they thought was just a photography assignment turns out be a journalistic venture. Real life losers ends up hatching a 'big story'. A film about the modern ruling class and ruled class with a humorous backdrop.The very first time I watched this film I mistook it for a comedy. After 20 years I watch this film again and again and I get something new every time. This is a satire, farce, comedy, tragedy, drama or whatever you call it and its brilliant. There are just so many things in this film to admire. Acting, script, pace, camera, dialogs, humor. It's a masterpiece. This film has an unparalleled legend. The best thing I like about this film is its unique narration i.e. to find out the dead body Sudhir and Vinod enact the whole scene. They don't just look around. One actually shoots another guy who acts dropping dead and then look around for the body. Every character is stretched to its maximum. Ashok is a spy so he spies with binoculars, Sudhir and Vinod uses the same script to woo their customers, Demello is a corrupt mayor so he himself gives the plan and not just take bribes. They are simple things which brings out the characters. Ashok greets Tarneja every time he sees him. Even when he enters on the stage during Mahabharat he says ""Good morning Sir"" and then gets into his character. Ahuja drinks so much that he takes a coffin for a sports car. Priya is a bait Tarneja uses so she has a romantic angle with everyone she meets (including Ashok). Commissioner falsely crying on a mike and talking about 'Gutter'. Demello giving an interview to Times magazine. Ashok walks in with a loud sycophant (""Lattu Ho Jayegee Lattu"") to threaten Shobha by mistake kicks her on the back and she actually twists his nose with a wrench. Every scene and every character is stretched. Its like a mythology. A Pandu gives a 'Hul' to the camera person before realizing he is on TV. Tarneja shamelessly talking about his success. Shobha changes her color unabashedly.A time bomb in a dinner party. A dead body on stage (how can someone think of this one??). I have no idea if one can write this kind of a script on a paper.This movie is unparalleled as far as great actors in one film is concerned. Pankaj Kapoor is the most underrated actor of our times. Imagine Tarneja and Kallu Mal Koyle Wala is played by one man. Brilliant actor.My favorite line is ""Ashok Ye Press Confrenece Kyun Bulayee Gayee Thee"". Satish Kaushik has given a genius performance. I love it when he say ""Time bomb Main Time Bahut Kam Hai"". By the way he has also written dialogs for this film. Naseer is too good. His best line is ""Tum Commissioner Ka Bawarchee Hai?"". Satish Shah has done a genius work as a dead body. He has maintained a wacky smiley expression throughout. Ravi Vasvani is too good. I love him when he sing ""Ek Duje Ke Liye"". Om Puri is a genius. His best line are ""paalan To Hamnin Apne Baap Kee Agya Ka Nahin Kiya. Tu Cheej Kya Hai"" and ""Pul To Tutegaaee"". If you have not watched this film you have no idea what Indian films are. 10 on 10.",most successful experiment indian film making,vinod sudhir are struggling photographers shoba editor political daily newspaper khabardar hires them assignment what they thought was just photography assignment turns out be journalistic venture real life losers ends up hatching big story film about modern ruling class ruled class with humorous backdrop very first time i watched this film i mistook it comedy after 20 years i watch this film again again i get something new every time this is satire farce comedy tragedy drama or whatever you call it its brilliant there are just so many things this film admire acting script pace camera dialogs humor its masterpiece this film has unparalleled legend best thing i like about this film is its unique narration i e find out dead body sudhir vinod enact whole scene they dont just look around one actually shoots another guy who acts dropping dead then look around body every character is stretched its maximum ashok is spy so he spies with binoculars sudhir vinod uses same script woo their customers demello is corrupt mayor so he himself gives plan not just take bribes they are simple things which brings out characters ashok greets tarneja every time he sees him even when he enters stage during mahabharat he says good morning sir then gets into his character ahuja drinks so much that he takes coffin sports car priya is bait tarneja uses so she has romantic angle with everyone she meets including ashok commissioner falsely crying mike talking about gutter demello giving interview times magazine ashok walks with loud sycophant lattu ho jayegee lattu threaten shobha by mistake kicks her back she actually twists his nose with wrench every scene every character is stretched its like mythology pandu gives hul camera person before realizing he is tv tarneja shamelessly talking about his success shobha changes her color unabashedly time bomb dinner party dead body stage how can someone think this one i have no idea if one can write this kind script paper this movie is unparalleled as far as great actors one film is concerned pankaj kapoor is most underrated actor our times imagine tarneja kallu mal koyle wala is played by one man brilliant actor my favorite line is ashok ye press confrenece kyun bulayee gayee thee satish kaushik has given genius performance i love it when he say time bomb main time bahut kam hai by way he has also written dialogs this film naseer is too good his best line is tum commissioner ka bawarchee hai satish shah has done genius work as dead body he has maintained wacky smiley expression throughout ravi vasvani is too good i love him when he sing ek duje ke liye om puri is genius his best line are paalan hamnin apne baap kee agya ka nahin kiya tu cheej kya hai pul tutegaaee if you have not watched this film you have no idea what indian films are 10 10,0.47006709956709963,0.263060606060606,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.34, 'Sad': 0.15, 'Fear': 0.34}"
,One of India's best comedies,"This is one of India's best comedy movies. Well made, well directed, very well acted, the movies picks up more laughs as it develops and the climax is certainly the most hilarious. The theme is corruption in business, government and the media. Everybody is on the take, the Police Commissioner, the big bucks businessman, newspaper editor, etc.Two hungry-for-work photo studio owners accidentally take the picture of a murder and then ""all hell breaks loose"". The climax at a small theater where ""The Mahabharata"" is being staged will have you in splits. Crime has never been so much fun. Yet the film never loses its edge, its cynicism of what happens in the real world. The good guys always win in the end, right? Yeah, right... See the movie. I have no doubt this is one of India's classic comedy films.",one indias best comedies,this is one indias best comedy movies well made well directed very well acted movies picks up more laughs as it develops climax is certainly most hilarious theme is corruption business government media everybody is take police commissioner big bucks businessman newspaper editor etc two hungry work photo studio owners accidentally take picture murder then all hell breaks loose climax at small theater where mahabharata is being staged will have you splits crime has never been so much fun yet film never loses its edge its cynicism what happens real world good guys always win end right yeah right see movie i have no doubt this is one indias classic comedy films,0.3827838827838828,0.36830424477483303,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.35}"
10.0,Hum Honge Kamyaab...,"Hum Honge Kamyaab....and they did with Jaane Bhi Do Yaaro! JBDY is one of those rare Indian comedies where you don't have to wait for a funny situation to crop up from under the weight of suspense, action, romance, and tragedy. The most recognizable genres of the film world, practically all of them, have been realized, exploited and stretched to such an extent in this film that they almost border on the edge of not just satire but surrealism and you are left wondering – How in the world did they ever find humor in this one? Who could ever come up with the idea of a male corpse dressed as a woman, on roller skates, ""standing"" as a prop in a stage production of Mahabharata? It's bizarre but it works because of the stellar performances of the lead cast and some bitingly clever writing by Kundan Shah.The film takes its central idea from Antonioni's Blow Up and explores the investigation of two struggling photographers Vinod (Naseeruddin Shah) and Sudhir (Vinod Baswani) who in their desperation accept the offer of a local self-serving tabloid editor Shobha Sen (Bhakti Barve) to photograph a clandestine meeting between the corrupt Municipal Commissioner D'Mello (Satish Shah) and the real estate developers who intend on bribing him to get the best deal in town. As the rivalry between the builders, the smooth and vile Tarneja (Pankaj Kapur) and the alcoholic Ahuja (Om Puri) escalates, the threat of murder looms large. The two knuckle-headed photographers, caught in a web of deceit and double crosses, to their horror, inadvertently capture murder on camera that further leads them into the dark recesses of corruption that plagues news media, business, politicians, bureaucracy, and police. We along with our heroes later learn about the extent to which the guilty parties will go to preserve their survival.It is this very struggle for survival of each character fueled by greed that not just exudes cynicism while adding weight to the story but also acts as a source of non-stop side-splitting fun. Case in point: the scene in which the entire entourage of Tarneja and Ahuja, including the city commissioner, unabashedly usurp the play of Mahabharata because Vinod and Sudhir have hidden the dead body that could serve as the proof of the builder's wrongdoing and our heroes' innocence somewhere in that production. This has to be the most original idea ever to come out of Bollywood. The film clearly hints at the deterioration of the social structure of a society where the entire machinery is immoral and corrupt; breaking allegiances is commonplace, and all we have left to fight for us are two dunderheads who drew inspiration from a monkey and the only weapon that they have is a dead body. And this is where the blackness in this comedy works so wonderfully.Despite a more somber theme, Kundan Shah and team have done a great job in keeping the tone of the movie light. Even the most intense scenes are so multi-layered and laced with such farce and symbolism that it would be unfair and impossible to reveal all of them here. This movie is an experience and if you want to know why the lines ""Thoda Khao, Thoda Phenko"" (Eat a little, throw a little) and ""Tum commissioner ka bawarchi hai?"" (Are you the chef of the commissioner?) still induce a belly laugh among the loyalists, you have to OWN this movie and watch it again and again till your belly hurts.",hum honge kamyaab,hum honge kamyaab they did with jaane bhi do yaaro jbdy is one those rare indian comedies where you dont have wait funny situation crop up under weight suspense action romance tragedy most recognizable genres film world practically all them have been realized exploited stretched such extent this film that they almost border edge not just satire but surrealism you are left wondering how world did they ever find humor this one who could ever come up with idea male corpse dressed as woman roller skates standing as prop stage production mahabharata its bizarre but it works because stellar performances lead cast some bitingly clever writing by kundan shah film takes its central idea antonionis blow up explores investigation two struggling photographers vinod naseeruddin shah sudhir vinod baswani who their desperation accept offer local self serving tabloid editor shobha sen bhakti barve photograph clandestine meeting between corrupt municipal commissioner dmello satish shah real estate developers who intend bribing him get best deal town as rivalry between builders smooth vile tarneja pankaj kapur alcoholic ahuja om puri escalates threat murder looms large two knuckle headed photographers caught web deceit double crosses their horror inadvertently capture murder camera that further leads them into dark recesses corruption that plagues news media business politicians bureaucracy police we along with our heroes later learn about extent which guilty parties will go preserve their survival it is this very struggle survival each character fueled by greed that not just exudes cynicism while adding weight story but also acts as source non stop side splitting fun case point scene which entire entourage tarneja ahuja including city commissioner unabashedly usurp play mahabharata because vinod sudhir have hidden dead body that could serve as proof builders wrongdoing our heroes innocence somewhere that production this has be most original idea ever come out bollywood film clearly hints at deterioration social structure society where entire machinery is immoral corrupt breaking allegiances is commonplace all we have left fight us are two dunderheads who drew inspiration monkey only weapon that they have is dead body this is where blackness this comedy works so wonderfully despite more somber theme kundan shah team have done great job keeping tone movie light even most intense scenes are so multi layered laced with such farce symbolism that it would be unfair impossible reveal all them here this movie is experience if you want know why lines thoda khao thoda phenko eat little throw little tum commissioner ka bawarchi hai are you chef commissioner still induce belly laugh among loyalists you have own this movie watch it again again till your belly hurts,0.4878747795414462,0.09872134038800703,Positive,"{'Happy': 0.06, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.17, 'Fear': 0.45}"
9.0,"Sharp, stinging satire","They've never quite managed to make a movie like this one. Naseeruddin Shah and Ravi Vaswani play photographers caught in a messy affair involving corrupt politicians, wicked businessmen, canny journalists (and some hammy actors). Giving director Kundan Shah (who has, surprising, gone on to the make some of the most awful films of the last decade) the chance to unleash his brilliant satire. He hits all his targets. Satish Shah is hilarious as a dead body on roller skates, and the 'Disrobing of Draupadi' scene in the theatre is one of the funniest ever shot. Like the rest of the film, it could have been cringe-inducingly-awful. If it weren't so funny, that is.",sharp stinging satire,theyve never quite managed make movie like this one naseeruddin shah ravi vaswani play photographers caught messy affair involving corrupt politicians wicked businessmen canny journalists some hammy actors giving director kundan shah who has surprising gone make some most awful films last decade chance unleash his brilliant satire he hits all his targets satish shah is hilarious as dead body roller skates disrobing draupadi scene theatre is one funniest ever shot like rest film it could have been cringe inducingly awful if it werent so funny that is,0.7180555555555556,-0.014583333333333337,Negative,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.26, 'Sad': 0.11, 'Fear': 0.42}"
2.0,"Not for me, unfortunately","I feel a real spoilsport, when so many have thoroughly enjoyed this Indian farce, that I couldn't go beyond the first hour.The film looked promising (I'm a photographer, for starts) but the broad, base humour jarred after a while and whilst I could see that it might be neatly meshing social comment, satire and slapstick, I could take no more!Maybe it's because I'm non-Indian, in an older age group or just wasn't in the mood. I can't help thinking that if this was a Hollywood affair, with the genre's usual crass, boorish and sweary 'stars', this wouldn't have worked for anybody and it would be less popular. Sorry if I can't add much more to this, but feel I should add my, less than praising comments, too.",not me unfortunately,i feel real spoilsport when so many have thoroughly enjoyed this indian farce that i couldnt go beyond first hour film looked promising im photographer starts but broad base humour jarred after while whilst i could see that it might be neatly meshing social comment satire slapstick i could take no more maybe its because im non indian older age group or just wasnt mood i cant help thinking that if this was hollywood affair with genres usual crass boorish sweary stars this wouldnt have worked anybody it would be less popular sorry if i cant add much more this but feel i should add my less than praising comments too,0.4905092592592592,-0.001157407407407411,Negative,"{'Happy': 0.04, 'Angry': 0.09, 'Surprise': 0.26, 'Sad': 0.39, 'Fear': 0.22}"
