Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Jai Bhim,Excellent Movie. Everybody acted well in the movie. Songs and BGM in the movie were excellent. The movie was so interesting and thrilling. This is the Best Tamil Movie of 2021. Excellent Movie.,jai bhim,excellent movie everybody acted well movie songs bgm movie were excellent movie was so interesting thrilling this is best tamil movie 2021 excellent movie,0.7999999999999999,0.7916666666666666,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0}"
10,The Powerful Film,"The film is based on true story which was happened 28 years ago.Despite given an 'A' rating for its strong content, the film was real and brutal what we see it is similar to Visaranai and Kavalthurai Ungal Nanban. This is one of the best and powerful legal films. Thus, it's a must.watch.",powerful film,film is based true story which was happened 28 years ago despite given rating its strong content film was real brutal what we see it is similar visaranai kavalthurai ungal nanban this is one best powerful legal films thus its must watch,0.6604166666666667,0.19791666666666666,Positive,"{'Happy': 0.11, 'Angry': 0.22, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.22}"
10,"Suriya's Jai Bhim Deserves To Get An Oscar Award For The Best Movie, And Suriya Deserves To Get The Best Actor Award !!!","In a scene in Jai Bhim, a group of tribals man meet a police office who is heading an inquiry commission about the disappearance of three missing tribals who were being interrogated by the police about a theft case. One man tells him that he was once arrested by cops just for greeting them. Another tells him about how he was arrested just because he tried to slink away fearing them. A woman narrates how her husband was forced to 'confess' to a crime which he had not committed after the cops started molesting her. A young boy mentions that the police picked him up just because they could not get his father, and how that one incident made him a perennial suspect at school. These people are clearly damned if they did, and damned if they didn't.This scene is an echo of the scene that opens the film. We see many prisoners being let out of prison. A few cops from the surrounding police stations are waiting. As each prisoner comes out, he is asked for his caste. If they mention a dominant caste's name, they are asked to leave. But those who belong to a scheduled caste or scheduled tribe, they are told to stand in a corner, only for the waiting cops to pick them up as suspects in the many cases that remain unsolved in their station. When some of them complain that there are too few for them to foist cases on, they are told that they could accuses a few of committing more than one crime.With scenes like these, Jai Bhim powerfully captures the abuse and humiliation that is heaped upon the underprivileged by those in power and the kind of defiance it will take to get them justice. Like Visaaranai and the recent Kavalthurai Ungal Nanban, the film is also a fierce criticism of police brutality. The plot revolves around Rajakannu (Manikandan) and Sengani (Lijomol Jose), a couple who live at Konamalai near Viluppuram. They belong to the Irular tribe, and despite their poverty - they still cannot afford a brick house - they are contented and happy. Especially with their daughter Alli going to school and a second child on its way.But their happiness is dashed when cops come in search of Rajakannu over a robbery. The poor man has become the main suspect just because he happened to be the one who had visited the house where the robbery happened that day to catch a snake. Unable to find him, the police pick up the pregnant Sengani and a few other men from the tribe, including Rajakannu's brother Irutappan. Sengani is later let go - not before being beaten and kicked multiple times - but for Rajakannu and a couple of others, there is no respite from the harrowing violence unleashed upon by the men in khakhi. When Sengani hears that the three men have escaped and their whereabouts unknown, she reached out to Chandru (Suriya), a righteous lawyer who fights for the downtrodden. But can they uncover the truth with an entire system standing against them?Jai Bhim is an unexpected sophomore effort from TJ Gnanavel, who had previously directed the uneven drama Kootathil Oruvan. This is a film that is raw, real and brutal, with gritty filmmaking enhancing the solid writing. It effectively portrays the wrongs that are done to the underprivileged without seeming exploitative or overly melodramatic. Despite being one of the oldest communities in the country, these tribes do not even have any proof to show that they are its citizens and cannot even own a piece of the land. When Mythra (Rajisha Vijayan), a teacher who is part of an adult literacy programme, tries to get them a voter id, the local big shot, who belongs to a dominant caste, retorts, ""Isn't it enough we have to request the lower castes to vote for us? Should we also go to the homes of these fellows?""Gnanavel gives us some terrific moments of defiance. Lijomol Jose is quietly powerful as Sengani, who gets a couple of rousing scenes when she turns down efforts at a compromise from cops. Manikandan, too, is effective and stands out in the scene when he urges his men to not give in as that will result in their community being branded as criminals. The director also portrays the intimacy between Sengani and Rajakannu in a charming manner.The film is based on a real-life incident involving Justice K Chandru, from his days as a lawyer. Suriya plays this role with the right amount of intensity and earnestness, which helps the character seem grounded even while the film and Sean Roldan's score try to build him up as a can-do-no-wrong superhero. In fact, his introduction scene wouldn't be out of place in a masala movie. But after Soorarai Pottru, this is another notable film for the star as a performer.And his scenes with Prakash Raj, who plays the inquiry commission head, Perumalsamy, give us calm and composed dialogue that act as a counterpoint to the flinching violence and the moving melodrama. The latter lends the role with a great deal of dignity to a character who believes one has to take up a little bit of authoritarianism to protect democracy. So, we have a lawyer who considers the police as the worst and a cop who finds lawyers the worst working together to ensure justice is done. Through these scenes, Gnanavel - as one of the judges in the film mentions - shows how justice can be upheld when law and order work hand in hand.There are only a couple of missteps. After a point, the violence begins to feel like torture porn, even though the film presents these episodes as flashbacks of events that happened over a day or two. And in a narrative sense, Chandru's efforts to unravel the mystery and his battle in court feels somewhat easier because there are no strong antagonists. Both Rao Ramesh as the advocate general and Guru Somasundaram as the public prosecutor never come across as formidable foes for Chandru in court. That said, as Chandru unravels one cover-up after another, the film makes us realise the extent to which unchecked power can go to maintain status quo.But these doesn't lessen the emotional impact of the film, which, along with films like Visaaranai, Kirumi and Kavalthurai Ungal Nanban, is a much-needed antidote to restore the balance in portrayals of the police in an industry overrun by the Singams and the Saamys.",suriyas jai bhim deserves get oscar award best movie suriya deserves get best actor award,scene jai bhim group tribals man meet police office who is heading inquiry commission about disappearance three missing tribals who were being interrogated by police about theft case one man tells him that he was once arrested by cops just greeting them another tells him about how he was arrested just because he tried slink away fearing them woman narrates how her husband was forced confess crime which he had not committed after cops started molesting her young boy mentions that police picked him up just because they could not get his father how that one incident made him perennial suspect at school these people are clearly damned if they did damned if they didnt this scene is echo scene that opens film we see many prisoners being let out prison few cops surrounding police stations are waiting as each prisoner comes out he is asked his caste if they mention dominant castes name they are asked leave but those who belong scheduled caste or scheduled tribe they are told stand corner only waiting cops pick them up as suspects many cases that remain unsolved their station when some them complain that there are too few them foist cases they are told that they could accuses few committing more than one crime with scenes like these jai bhim powerfully captures abuse humiliation that is heaped upon underprivileged by those power kind defiance it will take get them justice like visaaranai recent kavalthurai ungal nanban film is also fierce criticism police brutality plot revolves around rajakannu manikandan sengani lijomol jose couple who live at konamalai near viluppuram they belong irular tribe despite their poverty they still cannot afford brick house they are contented happy especially with their daughter alli going school second child its way but their happiness is dashed when cops come search rajakannu over robbery poor man has become main suspect just because he happened be one who had visited house where robbery happened that day catch snake unable find him police pick up pregnant sengani few other men tribe including rajakannus brother irutappan sengani is later let go not before being beaten kicked multiple times but rajakannu couple others there is no respite harrowing violence unleashed upon by men khakhi when sengani hears that three men have escaped their whereabouts unknown she reached out chandru suriya righteous lawyer who fights downtrodden but can they uncover truth with entire system standing against them jai bhim is unexpected sophomore effort tj gnanavel who had previously directed uneven drama kootathil oruvan this is film that is raw real brutal with gritty filmmaking enhancing solid writing it effectively portrays wrongs that are done underprivileged without seeming exploitative or overly melodramatic despite being one oldest communities country these tribes do not even have any proof show that they are its citizens cannot even own piece land when mythra rajisha vijayan teacher who is part adult literacy programme tries get them voter id local big shot who belongs dominant caste retorts isnt it enough we have request lower castes vote us should we also go homes these fellows gnanavel gives us some terrific moments defiance lijomol jose is quietly powerful as sengani who gets couple rousing scenes when she turns down efforts at compromise cops manikandan too is effective stands out scene when he urges his men not give as that will result their community being branded as criminals director also portrays intimacy between sengani rajakannu charming manner film is based real life incident involving justice k chandru his days as lawyer suriya plays this role with right amount intensity earnestness which helps character seem grounded even while film sean roldans score try build him up as can do no wrong superhero fact his introduction scene wouldnt be out place masala movie but after soorarai pottru this is another notable film star as performer his scenes with prakash raj who plays inquiry commission head perumalsamy give us calm composed dialogue that act as counterpoint flinching violence moving melodrama latter lends role with great deal dignity character who believes one has take up little bit authoritarianism protect democracy so we have lawyer who considers police as worst cop who finds lawyers worst working together ensure justice is done through these scenes gnanavel as one judges film mentions shows how justice can be upheld when law order work hand hand there are only couple missteps after point violence begins feel like torture porn even though film presents these episodes as flashbacks events that happened over day or two narrative sense chandrus efforts unravel mystery his battle court feels somewhat easier because there are no strong antagonists both rao ramesh as advocate general guru somasundaram as public prosecutor never come across as formidable foes chandru court that said as chandru unravels one cover up after another film makes us realise extent which unchecked power can go maintain status quo but these doesnt lessen emotional impact film which along with films like visaaranai kirumi kavalthurai ungal nanban is much needed antidote restore balance portrayals police industry overrun by singams saamys,0.49376050680398514,0.07449159133941742,Positive,"{'Happy': 0.13, 'Angry': 0.09, 'Surprise': 0.14, 'Sad': 0.25, 'Fear': 0.38}"
7,What a great film,I'm not a native tamil speaker but I had seen the film trailer which had intrigued me.This film is what I call raw hitting. It hits where it hurts the cast did a great job the casting director did better job of finding such cast.The direction of this film is very grounded it never feels like cliche so does the acting of all cast member.The cinematography of the Film is very simple which gives it more of an indie film vibe .As an Indian you should definitely watch this film because I haven't seen more important film than this in a decade.,what great film,im not native tamil speaker but i had seen film trailer which had intrigued me this film is what i call raw hitting it hits where it hurts cast did great job casting director did better job finding such cast direction this film is very grounded it never feels like cliche so does acting all cast member cinematography film is very simple which gives it more indie film vibe as indian you should definitely watch this film because i havent seen more important film than this decade,0.47890955198647506,0.2668639053254438,Positive,"{'Happy': 0.19, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.06, 'Fear': 0.38}"
10,Brilliant movie,"The best movie i have seen in a long time. This movie should be send to Oscar , cause it really deserves an oscar for the wonderful performance . Really brilliant cast and directions ..",brilliant movie,best movie i have seen long time this movie should be send oscar cause it really deserves oscar wonderful performance really brilliant cast directions,0.65,0.6583333333333333,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.25}"
10,OSCAR LEVEL 🔥,This is a movie which all the people in India should watch. It shows the pain and the problems which the 'Tribes' are faced by Police brutality. Manikandan and Anumol has done a national award peformance. Suriya beautifully carried the movie. Please watch.,oscar level,this is movie which all people india should watch it shows pain problems which tribes are faced by police brutality manikandan anumol has done national award peformance suriya beautifully carried movie please watch,1.0,0.85,Positive,"{'Happy': 0.14, 'Angry': 0.29, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.14}"
10,Jai bhim - tears Must watch,"Suriya is acting in a wonderful movie again in Tamil cinema. Everyone who starred in the film lived up to that character better. Advocate Chandru who fought for the tribe had great compliments and thanks to them. Every scene of the film is commendable. The story of the film is directed by the director with a fantastic screenplay. Prakash raj , manikandan , liii mol jose superb acting.",jai bhim tears must watch,suriya is acting wonderful movie again tamil cinema everyone who starred film lived up that character better advocate chandru who fought tribe had great compliments thanks them every scene film is commendable story film is directed by director with fantastic screenplay prakash raj manikandan liii mol jose superb acting,0.54375,0.4875,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
10,Intense must watch,Very excellent Film After soorori Pottru another masterpiece from surya.The film has an excellent story plot with good character's sketch The film successfully narrates the realistic lives in india.,intense must watch,very excellent film after soorori pottru another masterpiece surya film has excellent story plot with good characters sketch film successfully narrates realistic lives india,0.8138888888888888,0.6361111111111112,Positive,"{'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.14}"
10,"It could have become documentary at any point, but not....","RATED 10/10 Language: Tamil Source: Amazon Prime RECOMMENDEDTribal life and their rights are cleverly delivered...at some point i forgot that i am watching movie and seeing their pain in real. The cast and locations are so real...The court room drama and the flashbacks are well balanced and at end credits makes the awe... Kudos to Jo and Surya for producing this movie... At any point this movie could become a documentary, but director brilliantly maintained the mainstream movie entertainment throughout the story telling.... Another big advantage is that you will never feel the preaching/advising tone and it is not biased.It delivers the same pain and feeling of the movie ""Visaranai"".... Must watch.",it could have become documentary at any point but not,rated 10 10 language tamil source amazon prime recommendedtribal life their rights are cleverly delivered at some point i forgot that i am watching movie seeing their pain real cast locations are so real court room drama flashbacks are well balanced at end credits makes awe kudos jo surya producing this movie at any point this movie could become documentary but director brilliantly maintained mainstream movie entertainment throughout story telling another big advantage is that you will never feel preaching advising tone it is not biased it delivers same pain feeling movie visaranai must watch,0.3322916666666667,0.18333333333333335,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.36, 'Sad': 0.18, 'Fear': 0.36}"
8,"""It will be quite an uphill battle.""","There's some serious upvoting for this film here on IMDb; if not for a weighted averaging of the film's rating by viewers, this would be the number one movie of all time having just come out this year, and that by a wide margin. I thought the movie was good for it's portrayal of corrupt authorities taken down by a dedicated attorney, it hit on many of the points that social justice advocates clamor for here in this country. Based on a true story, one can only marvel at the dedication of a man like Chandru (Suriya), who utilized every bit of means and cunning to humiliate the brutal police authorities and their corrupt political allies. Many times it's a difficult story to watch, as the beatings and punishment doled out by district police against members of lower castes approach grotesquely inhumane treatment. Chandru's efforts eventually pay off, and it was inspiring to see him honored by the citizens he represented at the finale, reminiscent of that final scene of Gregory Peck in ""To Kill A Mockingbird"".One note of caution when coming to the IMDb title page - the names of characters listed in the credits don't match the corresponding identification of characters in the film. As an example, actress Lijo Mol Jose portrayed the agonized wife Sengoni in the credits, but in the film, captioning described her as 'Sannamma'. I'm not versed well enough in Indian nomenclature to know if that's a result of translation or some other factor. I would also question the narrative offered at the end of the story that stated the attorney portrayed in the picture was responsible for ninety six thousand cases in six years. To do that, he would have to have been involved with over forty cases per day, every single day for six years, with no days off!",it will be quite uphill battle,theres some serious upvoting this film here imdb if not weighted averaging films rating by viewers this would be number one movie all time having just come out this year that by wide margin i thought movie was good its portrayal corrupt authorities taken down by dedicated attorney it hit many points that social justice advocates clamor here this country based true story one can only marvel at dedication man like chandru suriya who utilized every bit means cunning humiliate brutal police authorities their corrupt political allies many times its difficult story watch as beatings punishment doled out by district police against members lower castes approach grotesquely inhumane treatment chandrus efforts eventually pay off it was inspiring see him honored by citizens he represented at finale reminiscent that final scene gregory peck kill mockingbird one note caution when coming imdb title page names characters listed credits dont match corresponding identification characters film as example actress lijo mol jose portrayed agonized wife sengoni credits but film captioning described her as sannamma im not versed well enough indian nomenclature know if thats result translation or some other factor i would also question narrative offered at end story that stated attorney portrayed picture was responsible ninety six thousand cases six years do that he would have have been involved with over forty cases per day every single day six years with no days off,0.6309351276742581,-0.055521048999309874,Negative,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.07, 'Fear': 0.52}"
