Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,DARK DARK DARK,This movis is not for light hearted people. Darkest screenplay that Fahadh Faasil ever played. Background score and visuals are extrordinary. Fahadh ikkas acting was one hell of a visual treat. Screenplay and story was so good. Ending is little dissapointment for me. Maybe that is the only way to end.,dark dark dark,this movis is not light hearted people darkest screenplay that fahadh faasil ever played background score visuals are extrordinary fahadh ikkas acting was one hell visual treat screenplay story was so good ending is little dissapointment me maybe that is only way end,0.4444444444444444,-0.015277777777777772,Negative,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.22}"
8,A Slow Burning Thriller with great BGM,"Joji is the best 2021 Indian film i have watched so far. The script has brilliantly taken certain elements from Shakespeare's Macbeth and used it in rural kerala's setting in it's own unique way. Fahadh proves why he is the talk of the whole country right now by delivering a spectacular performance but it's the background score which made this slow burning thriller so effective. Top tier stuff. That said first hour of it's slightly slow but the music, performances and those beautiful wide angled shots builds the tension very well in it and we as viewer's are aware that something hideous is simmering and it's gonna blow up and it takes it's time in that but when it blows up the last 40 minutes of it are all worth it and makes our skin crawl with uncertainty and tension. It's streaming on Prime video, do check it out.",slow burning thriller with great bgm,joji is best 2021 indian film i have watched so far script has brilliantly taken certain elements shakespeares macbeth used it rural keralas setting its own unique way fahadh proves why he is talk whole country right now by delivering spectacular performance but its background score which made this slow burning thriller so effective top tier stuff that said first hour its slightly slow but music performances those beautiful wide angled shots builds tension very well it we as viewers are aware that something hideous is simmering its gonna blow up it takes its time that but when it blows up last 40 minutes it are all worth it makes our skin crawl with uncertainty tension its streaming prime video do check it out,0.5169642857142859,0.3052083333333333,Positive,"{'Happy': 0.06, 'Angry': 0.1, 'Surprise': 0.32, 'Sad': 0.16, 'Fear': 0.35}"
8,Pothen-Fahadh magic strikes again!,"#MovieReview #Joji #SpoilerFree #Fahadh #AmazonPrimeVideoWho knew that the mask worn during Covid times can be used as such an effective narrative device, hiding and screening the protagonist's Machiavellian intentions!Dileesh Pothen's Joji is a tantalising tale of deceit, greed and family politics, told in painstaking detail by a director clearly on the top of his game.On the flip side, Fahadh is seriously in danger of being typecast as the archetype of a scheming protagonist who is constantly in the grey area between right and wrong.But after the fall from grace that was Irul, it is encouraging to see him back at his best, in a role tailor-made to play to his strengths.Baburaj is a revelation in his best role since Salt N Pepper while the secondary characters played by Unnimaya Prasad, Shammi Thilakan, Basil Joseph and even the relative unknowns PK Sunny and Joji Mundakkayam all shine in equal measure.Joji is a super fun, Tarantino-esque ride infused with copious amounts of dark humour. It is a nice departure from the feel-good style of Maheshinte Prathikaram and the quirkiness of Thondimothalum Driksakshiyum,Recommended.",pothen fahadh magic strikes again,knew that mask worn during covid times can be used as such effective narrative device hiding screening protagonists machiavellian intentions dileesh pothens joji is tantalising tale deceit greed family politics told painstaking detail by director clearly top his game flip side fahadh is seriously danger being typecast as archetype scheming protagonist who is constantly grey area between right wrong but after fall grace that was irul it is encouraging see him back at his best role tailor made play his strengths baburaj is revelation his best role since salt n pepper while secondary characters played by unnimaya prasad shammi thilakan basil joseph even relative unknowns pk sunny joji mundakkayam all shine equal measure joji is super fun tarantino esque ride infused with copious amounts dark humour it is nice departure feel good style maheshinte prathikaram quirkiness thondimothalum driksakshiyum recommended,0.47095238095238096,0.20428571428571432,Positive,"{'Happy': 0.14, 'Angry': 0.07, 'Surprise': 0.29, 'Sad': 0.25, 'Fear': 0.25}"
10,Technically perfect.,"The total film is developing around a single family. A rich family. The plot is great. The story line is narrow and pitch perfect. All the actors does the great work. The screenplay is done well too. The main attraction of the film is the cinematography,art, and the background score. They given a great treatment with the bg score towards the scenes. Some the top angle shots are amazing. The climax is gives morality to the bad things is much notable. A different story yet again in malayalam cinema. Worth every minute.",technically perfect,total film is developing around single family rich family plot is great story line is narrow pitch perfect all actors does great work screenplay is done well too main attraction film is cinematography art background score they given great treatment with bg score towards scenes some top angle shots are amazing climax is gives morality bad things is much notable different story yet again malayalam cinema worth every minute,0.622767857142857,0.36688988095238095,Positive,"{'Happy': 0.14, 'Angry': 0.09, 'Surprise': 0.23, 'Sad': 0.18, 'Fear': 0.36}"
10,Bloody hell.,What a movie. Pothettan outsmarted himself. I can't convey how good this movie is in words. You should just experience it.,bloody hell,what movie pothettan outsmarted himself i cant convey how good this movie is words you should just experience it,0.75,-0.050000000000000044,Negative,"{'Happy': 0.33, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0}"
9,Pothan and Fahad= magic 💫💫,"The magic combo did it again. Great performance by the entire cast .Fahad and baburaj was top notch .Movie is a dark ,gritty ,twisted slow burn thriller great movie .",pothan fahad magic,magic combo did it again great performance by entire cast fahad baburaj was top notch movie is dark gritty twisted slow burn thriller great movie,0.7175,0.215,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.12}"
7,Fahadh is to movies what salt is to cooking. You could add every available spice to a dish but without salt its pretty much unpalatable.,"There is this Jason Bateman directed movie called, Bad Words. That was the first time I came across the concept of active actors with a flourishing career trying to direct a movie just to figure out if they will be as good behind the camera as they are in front of it. I still remember the movie coz the kid who plays the lead has done a really good job. However it felt that the idea was to make a movie by spending as little money as possible. In most cases the actor himself invests his own money and the idea is that even if the movie doesn't do well the losses should be as minimal as possible. Recently there was another movie directed by Manoj Bajpai that again seemed to have been made on a shoe string budget.I would say that Joji falls in the same category. It doesnt look like they spend much on the movie but what separates Joji from other movies directed by first time directors is that none of them have Fahadh to boast of. Its like God made Fahadh just to act. If Fahadh acted in RGV ki Aag even that would become a watchable movie.I went in with very high expectations after watching the trailer but it is just about ok as a movie. Its not brilliant like the likes of Maheshinthe Prathikaram or even a Thondimuthalum Driksakshiyum. Its just a simple story elevated to a higher level by the brilliant acting all around.I think one of the measure of a good director is his/her ability to get the best out of their cast. Take someone like Nimisha Sajayan for example who cannot act to save her life. If you watched her in Thondimuthalum Driksakshiyum you will not be able to tell that she cannot act. However if you watched Oru Kuprasidha Payyan your first thought would be...did this lady win a contest or did they just cast someone randomly off the street.The ensemble cast of Joji are not all actors of the same calibre as a Fahadh. Unnimaya Prasad is someone with a very limited acting range but watching Joji you will not be able to figure it out. Shami Tilakan is another accidental actor who is not even close to being a natural. But if you watched him in Joji you would assume that this guy was born to act. Basil Joseph is another actor who is not a natural when it comes to dialogue delivery. But he is nothing short of brilliant in Joji. The 5-10 mins that Basil Joseph has in Joji is without doubt his best work as an actor. Dileesh Pothen has done a great job of getting the best out of each & every cast member.",fahadh is movies what salt is cooking you could add every available spice dish but without salt its pretty much unpalatable,there is this jason bateman directed movie called bad words that was first time i came across concept active actors with flourishing career trying direct movie just figure out if they will be as good behind camera as they are front it i still remember movie coz kid who plays lead has done really good job however it felt that idea was make movie by spending as little money as possible most cases actor himself invests his own money idea is that even if movie doesnt do well losses should be as minimal as possible recently there was another movie directed by manoj bajpai that again seemed have been made shoe string budget i would say that joji falls same category it doesnt look like they spend much movie but what separates joji other movies directed by first time directors is that none them have fahadh boast its like god made fahadh just act if fahadh acted rgv ki aag even that would become watchable movie i went with very high expectations after watching trailer but it is just about ok as movie its not brilliant like likes maheshinthe prathikaram or even thondimuthalum driksakshiyum its just simple story elevated higher level by brilliant acting all around i think one measure good director is his her ability get best out their cast take someone like nimisha sajayan example who cannot act save her life if you watched her thondimuthalum driksakshiyum you will not be able tell that she cannot act however if you watched oru kuprasidha payyan your first thought would be did this lady win contest or did they just cast someone randomly off street ensemble cast joji are not all actors same calibre as fahadh unnimaya prasad is someone with very limited acting range but watching joji you will not be able figure it out shami tilakan is another accidental actor who is not even close being natural but if you watched him joji you would assume that this guy was born act basil joseph is another actor who is not natural when it comes dialogue delivery but he is nothing short brilliant joji 5 10 mins that basil joseph has joji is without doubt his best work as actor dileesh pothen has done great job getting best out each every cast member,0.5019227513227513,0.24042910052910055,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.34, 'Sad': 0.19, 'Fear': 0.28}"
8,Exciting anti-hero drama,"The theme has been said in various movies. But in here we get to see a very interesting anti-hero angle to it. The central character is one which viewers won't forget, whether they like the whole movie or not.The events and situations escalate at a fast pace which makes it all the more interesting. There are several other characters apart from the protagonist who too have a sinister shade to them. But none of them are as dark as the protagonist.It takes skill to keep the viewers invested in such a story with such a set of characters, and the makers surely have succeeded in it. I was never bored for the entire runtime of the movie.I was a bit disappointed with the ending of the movie. Can't go into details without getting into spoilers.It goes without saying that the cinematography and camera etc are great as usual, given the people who have handled those areas.As far as acting, Fahadh's acting didn't seem like anything new. He has acted here in the same way as in the roles which he came in before. There's no surprising elements in his acting in here. That's not to say his acting was bad in it. It was of course good.Others too mostly did a good job, with Unnimaya Prasad doing a very interesting role. The guy who played the father character was surprisingly very good. But, the guy who came as one of the brothers felt like a miscast.The music resembled the ones you would hear in some melodramatic movies. Maybe it was used as this movie is kind of inspired from Macbeth. The music at times gives an eerie vibe and complements the particular tone of the movie.If you like anti-hero movies which have a serious tone, this one is for you. The character Joji is on the same level as the character Kammaran in Kammara Sambhavam.",exciting anti hero drama,theme has been said various movies but here we get see very interesting anti hero angle it central character is one which viewers wont forget whether they like whole movie or not events situations escalate at fast pace which makes it all more interesting there are several other characters apart protagonist who too have sinister shade them but none them are as dark as protagonist it takes skill keep viewers invested such story with such set characters makers surely have succeeded it i was never bored entire runtime movie i was bit disappointed with ending movie cant go into details without getting into spoilers it goes without saying that cinematography camera etc are great as usual given people who have handled those areas as far as acting fahadhs acting didnt seem like anything new he has acted here same way as roles which he came before theres no surprising elements his acting here thats not say his acting was bad it it was course good others too mostly did good job with unnimaya prasad doing very interesting role guy who played father character was surprisingly very good but guy who came as one brothers felt like miscast music resembled ones you would hear some melodramatic movies maybe it was used as this movie is kind inspired macbeth music at times gives eerie vibe complements particular tone movie if you like anti hero movies which have serious tone this one is you character joji is same level as character kammaran kammara sambhavam,0.5164128464128463,0.12063325563325564,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.23, 'Sad': 0.17, 'Fear': 0.42}"
10,This is why we love Malayalam cinema.,"This is just a general review. I won't reveal any specific details but just share some of my general insights.This film is the perfect reason why the Malayalam Film Industry is considered far superior than Bollywood and other South Indian film industries. This film is firstly a treat to the eye. This level of film making I've seen only in Malayalam films. Yes the cinematography is breathtaking, showing the lush green landscapes of Kerala and the camerawork and all, but the acting is what stands out for me. Fahad Fazil, like what can be said that hasn't already been said about this guy? This guy is a joy to look at. His voice, mannerisms, the way he conveys with his eyes, feels so natural. The guy's a born performer. I'm a fan of his and think he's the best actor I've seen to date in India. He's god damn Brilliant. And so are the other actors. They all are so natural and so amazing. The casting is simply perfect.These guys take care of the technical aspects so well, the end result being a spectacular, technically perfect film. Mallus imo have surely mastered the art of film making.Another thing I appreciate is that there are no unnecessary songs or stuff like that or even Product Placements that can ruin the fun for people like me and make a film hard to be taken seriously. Except for the Jeep lol. But it was quite subtle. The BGM is tense and adds gravitas to the scenes. Splendid job, Joji team. Loved it.",this is why we love malayalam cinema,this is just general review i wont reveal any specific details but just share some my general insights this film is perfect reason why malayalam film industry is considered far superior than bollywood other south indian film industries this film is firstly treat eye this level film making ive seen only malayalam films yes cinematography is breathtaking showing lush green landscapes kerala camerawork all but acting is what stands out me fahad fazil like what can be said that hasnt already been said about this guy this guy is joy look at his voice mannerisms way he conveys with his eyes feels so natural guys born performer im fan his think hes best actor ive seen date india hes god damn brilliant so are other actors they all are so natural so amazing casting is simply perfect these guys take care technical aspects so well end result being spectacular technically perfect film mallus imo have surely mastered art film making another thing i appreciate is that there are no unnecessary songs or stuff like that or even product placements that can ruin fun people like me make film hard be taken seriously except jeep lol but it was quite subtle bgm is tense adds gravitas scenes splendid job joji team loved it,0.605873015873016,0.3269047619047619,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.28, 'Sad': 0.33, 'Fear': 0.18}"
7,Story lacking in conviction,"Speaking of the director's previous movies - Maheshinte Prathikaaram and Thondimuthal were classes apart.The problem with Joji is there is an element of predictability lingering in the air, right from the start till the very end.Characters have no great depth, all we know about Joji is he is frustrated with his life, but to what level and due to what reason is not clearly conveyed. Same goes with his accomplice Bincy.Acting performances are good.Movie has a steady pace and it does not drag.Background score could have been scores better, all one remembers of the background music is that eerie western classical playing all the time, offering nothing fresh.Overall an ok-ok watch !",story lacking conviction,speaking directors previous movies maheshinte prathikaaram thondimuthal were classes apart problem with joji is there is element predictability lingering air right start till very end characters have no great depth all we know about joji is he is frustrated with his life but what level due what reason is not clearly conveyed same goes with his accomplice bincy acting performances are good movie has steady pace it does not drag background score could have been scores better all one remembers background music is that eerie western classical playing all time offering nothing fresh overall ok ok watch,0.350327380952381,0.06303571428571428,Positive,"{'Happy': 0.08, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.08, 'Fear': 0.46}"
